USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Asphalt_Tar GDS346 Blck_Roof W1R1Fa AREF
copy of splib05a r 9759                                     
       0.350000       0.027603       0.000000
       0.351000       0.027603       0.000000
       0.352000       0.027514       0.000000
       0.353000       0.027426       0.000000
       0.354000       0.027342       0.000000
       0.355000       0.027262       0.000000
       0.356000       0.027189       0.000000
       0.357000       0.027125       0.000000
       0.358000       0.027069       0.000000
       0.359000       0.027018       0.000000
       0.360000       0.026963       0.000000
       0.361000       0.026902       0.000000
       0.362000       0.026844       0.000000
       0.363000       0.026805       0.000000
       0.364000       0.026792       0.000000
       0.365000       0.026786       0.000000
       0.366000       0.026764       0.000000
       0.367000       0.026711       0.000000
       0.368000       0.026648       0.000000
       0.369000       0.026610       0.000000
       0.370000       0.026616       0.000000
       0.371000       0.026646       0.000000
       0.372000       0.026668       0.000000
       0.373000       0.026657       0.000000
       0.374000       0.026623       0.000000
       0.375000       0.026581       0.000000
       0.376000       0.026546       0.000000
       0.377000       0.026526       0.000000
       0.378000       0.026527       0.000000
       0.379000       0.026550       0.000000
       0.380000       0.026579       0.000000
       0.381000       0.026590       0.000000
       0.382000       0.026568       0.000000
       0.383000       0.026524       0.000000
       0.384000       0.026474       0.000000
       0.385000       0.026433       0.000000
       0.386000       0.026406       0.000000
       0.387000       0.026396       0.000000
       0.388000       0.026404       0.000000
       0.389000       0.026418       0.000000
       0.390000       0.026423       0.000000
       0.391000       0.026410       0.000000
       0.392000       0.026385       0.000000
       0.393000       0.026357       0.000000
       0.394000       0.026336       0.000000
       0.395000       0.026318       0.000000
       0.396000       0.026297       0.000000
       0.397000       0.026268       0.000000
       0.398000       0.026238       0.000000
       0.399000       0.026211       0.000000
       0.400000       0.026194       0.000000
       0.401000       0.026185       0.000000
       0.402000       0.026180       0.000000
       0.403000       0.026176       0.000000
       0.404000       0.026170       0.000000
       0.405000       0.026156       0.000000
       0.406000       0.026133       0.000000
       0.407000       0.026105       0.000000
       0.408000       0.026081       0.000000
       0.409000       0.026064       0.000000
       0.410000       0.026050       0.000000
       0.411000       0.026031       0.000000
       0.412000       0.026004       0.000000
       0.413000       0.025976       0.000000
       0.414000       0.025959       0.000000
       0.415000       0.025960       0.000000
       0.416000       0.025972       0.000000
       0.417000       0.025985       0.000000
       0.418000       0.025992       0.000000
       0.419000       0.025992       0.000000
       0.420000       0.025986       0.000000
       0.421000       0.025976       0.000000
       0.422000       0.025961       0.000000
       0.423000       0.025941       0.000000
       0.424000       0.025915       0.000000
       0.425000       0.025888       0.000000
       0.426000       0.025864       0.000000
       0.427000       0.025845       0.000000
       0.428000       0.025832       0.000000
       0.429000       0.025826       0.000000
       0.430000       0.025823       0.000000
       0.431000       0.025820       0.000000
       0.432000       0.025812       0.000000
       0.433000       0.025796       0.000000
       0.434000       0.025776       0.000000
       0.435000       0.025759       0.000000
       0.436000       0.025750       0.000000
       0.437000       0.025746       0.000000
       0.438000       0.025744       0.000000
       0.439000       0.025742       0.000000
       0.440000       0.025740       0.000000
       0.441000       0.025740       0.000000
       0.442000       0.025744       0.000000
       0.443000       0.025749       0.000000
       0.444000       0.025751       0.000000
       0.445000       0.025746       0.000000
       0.446000       0.025736       0.000000
       0.447000       0.025725       0.000000
       0.448000       0.025715       0.000000
       0.449000       0.025707       0.000000
       0.450000       0.025703       0.000000
       0.451000       0.025704       0.000000
       0.452000       0.025706       0.000000
       0.453000       0.025707       0.000000
       0.454000       0.025704       0.000000
       0.455000       0.025697       0.000000
       0.456000       0.025688       0.000000
       0.457000       0.025678       0.000000
       0.458000       0.025668       0.000000
       0.459000       0.025661       0.000000
       0.460000       0.025658       0.000000
       0.461000       0.025657       0.000000
       0.462000       0.025656       0.000000
       0.463000       0.025650       0.000000
       0.464000       0.025643       0.000000
       0.465000       0.025634       0.000000
       0.466000       0.025625       0.000000
       0.467000       0.025618       0.000000
       0.468000       0.025611       0.000000
       0.469000       0.025606       0.000000
       0.470000       0.025603       0.000000
       0.471000       0.025601       0.000000
       0.472000       0.025599       0.000000
       0.473000       0.025596       0.000000
       0.474000       0.025592       0.000000
       0.475000       0.025584       0.000000
       0.476000       0.025574       0.000000
       0.477000       0.025564       0.000000
       0.478000       0.025555       0.000000
       0.479000       0.025547       0.000000
       0.480000       0.025541       0.000000
       0.481000       0.025538       0.000000
       0.482000       0.025535       0.000000
       0.483000       0.025530       0.000000
       0.484000       0.025524       0.000000
       0.485000       0.025515       0.000000
       0.486000       0.025507       0.000000
       0.487000       0.025499       0.000000
       0.488000       0.025492       0.000000
       0.489000       0.025484       0.000000
       0.490000       0.025475       0.000000
       0.491000       0.025467       0.000000
       0.492000       0.025461       0.000000
       0.493000       0.025458       0.000000
       0.494000       0.025457       0.000000
       0.495000       0.025455       0.000000
       0.496000       0.025449       0.000000
       0.497000       0.025441       0.000000
       0.498000       0.025434       0.000000
       0.499000       0.025429       0.000000
       0.500000       0.025426       0.000000
       0.501000       0.025423       0.000000
       0.502000       0.025418       0.000000
       0.503000       0.025412       0.000000
       0.504000       0.025406       0.000000
       0.505000       0.025399       0.000000
       0.506000       0.025394       0.000000
       0.507000       0.025390       0.000000
       0.508000       0.025389       0.000000
       0.509000       0.025388       0.000000
       0.510000       0.025385       0.000000
       0.511000       0.025380       0.000000
       0.512000       0.025373       0.000000
       0.513000       0.025367       0.000000
       0.514000       0.025362       0.000000
       0.515000       0.025358       0.000000
       0.516000       0.025353       0.000000
       0.517000       0.025347       0.000000
       0.518000       0.025340       0.000000
       0.519000       0.025333       0.000000
       0.520000       0.025329       0.000000
       0.521000       0.025326       0.000000
       0.522000       0.025324       0.000000
       0.523000       0.025324       0.000000
       0.524000       0.025324       0.000000
       0.525000       0.025323       0.000000
       0.526000       0.025321       0.000000
       0.527000       0.025318       0.000000
       0.528000       0.025315       0.000000
       0.529000       0.025312       0.000000
       0.530000       0.025309       0.000000
       0.531000       0.025304       0.000000
       0.532000       0.025298       0.000000
       0.533000       0.025291       0.000000
       0.534000       0.025284       0.000000
       0.535000       0.025278       0.000000
       0.536000       0.025274       0.000000
       0.537000       0.025270       0.000000
       0.538000       0.025267       0.000000
       0.539000       0.025265       0.000000
       0.540000       0.025263       0.000000
       0.541000       0.025262       0.000000
       0.542000       0.025261       0.000000
       0.543000       0.025259       0.000000
       0.544000       0.025257       0.000000
       0.545000       0.025254       0.000000
       0.546000       0.025250       0.000000
       0.547000       0.025246       0.000000
       0.548000       0.025242       0.000000
       0.549000       0.025238       0.000000
       0.550000       0.025234       0.000000
       0.551000       0.025230       0.000000
       0.552000       0.025226       0.000000
       0.553000       0.025221       0.000000
       0.554000       0.025216       0.000000
       0.555000       0.025212       0.000000
       0.556000       0.025208       0.000000
       0.557000       0.025205       0.000000
       0.558000       0.025203       0.000000
       0.559000       0.025202       0.000000
       0.560000       0.025202       0.000000
       0.561000       0.025201       0.000000
       0.562000       0.025199       0.000000
       0.563000       0.025196       0.000000
       0.564000       0.025193       0.000000
       0.565000       0.025189       0.000000
       0.566000       0.025184       0.000000
       0.567000       0.025180       0.000000
       0.568000       0.025176       0.000000
       0.569000       0.025172       0.000000
       0.570000       0.025168       0.000000
       0.571000       0.025163       0.000000
       0.572000       0.025158       0.000000
       0.573000       0.025153       0.000000
       0.574000       0.025147       0.000000
       0.575000       0.025141       0.000000
       0.576000       0.025135       0.000000
       0.577000       0.025129       0.000000
       0.578000       0.025122       0.000000
       0.579000       0.025114       0.000000
       0.580000       0.025103       0.000000
       0.581000       0.025092       0.000000
       0.582000       0.025080       0.000000
       0.583000       0.025070       0.000000
       0.584000       0.025061       0.000000
       0.585000       0.025052       0.000000
       0.586000       0.025043       0.000000
       0.587000       0.025035       0.000000
       0.588000       0.025028       0.000000
       0.589000       0.025025       0.000000
       0.590000       0.025023       0.000000
       0.591000       0.025022       0.000000
       0.592000       0.025020       0.000000
       0.593000       0.025019       0.000000
       0.594000       0.025018       0.000000
       0.595000       0.025019       0.000000
       0.596000       0.025020       0.000000
       0.597000       0.025021       0.000000
       0.598000       0.025020       0.000000
       0.599000       0.025018       0.000000
       0.600000       0.025016       0.000000
       0.601000       0.025014       0.000000
       0.602000       0.025014       0.000000
       0.603000       0.025017       0.000000
       0.604000       0.025024       0.000000
       0.605000       0.025034       0.000000
       0.606000       0.025044       0.000000
       0.607000       0.025053       0.000000
       0.608000       0.025061       0.000000
       0.609000       0.025067       0.000000
       0.610000       0.025071       0.000000
       0.611000       0.025075       0.000000
       0.612000       0.025077       0.000000
       0.613000       0.025079       0.000000
       0.614000       0.025079       0.000000
       0.615000       0.025077       0.000000
       0.616000       0.025073       0.000000
       0.617000       0.025066       0.000000
       0.618000       0.025058       0.000000
       0.619000       0.025051       0.000000
       0.620000       0.025043       0.000000
       0.621000       0.025034       0.000000
       0.622000       0.025025       0.000000
       0.623000       0.025014       0.000000
       0.624000       0.025003       0.000000
       0.625000       0.024992       0.000000
       0.626000       0.024982       0.000000
       0.627000       0.024973       0.000000
       0.628000       0.024966       0.000000
       0.629000       0.024961       0.000000
       0.630000       0.024957       0.000000
       0.631000       0.024953       0.000000
       0.632000       0.024949       0.000000
       0.633000       0.024944       0.000000
       0.634000       0.024937       0.000000
       0.635000       0.024929       0.000000
       0.636000       0.024920       0.000000
       0.637000       0.024911       0.000000
       0.638000       0.024902       0.000000
       0.639000       0.024895       0.000000
       0.640000       0.024890       0.000000
       0.641000       0.024886       0.000000
       0.642000       0.024883       0.000000
       0.643000       0.024880       0.000000
       0.644000       0.024876       0.000000
       0.645000       0.024871       0.000000
       0.646000       0.024866       0.000000
       0.647000       0.024859       0.000000
       0.648000       0.024854       0.000000
       0.649000       0.024850       0.000000
       0.650000       0.024847       0.000000
       0.651000       0.024846       0.000000
       0.652000       0.024846       0.000000
       0.653000       0.024846       0.000000
       0.654000       0.024845       0.000000
       0.655000       0.024843       0.000000
       0.656000       0.024839       0.000000
       0.657000       0.024835       0.000000
       0.658000       0.024830       0.000000
       0.659000       0.024825       0.000000
       0.660000       0.024820       0.000000
       0.661000       0.024815       0.000000
       0.662000       0.024811       0.000000
       0.663000       0.024807       0.000000
       0.664000       0.024805       0.000000
       0.665000       0.024802       0.000000
       0.666000       0.024800       0.000000
       0.667000       0.024798       0.000000
       0.668000       0.024795       0.000000
       0.669000       0.024793       0.000000
       0.670000       0.024791       0.000000
       0.671000       0.024788       0.000000
       0.672000       0.024785       0.000000
       0.673000       0.024781       0.000000
       0.674000       0.024777       0.000000
       0.675000       0.024771       0.000000
       0.676000       0.024766       0.000000
       0.677000       0.024761       0.000000
       0.678000       0.024756       0.000000
       0.679000       0.024752       0.000000
       0.680000       0.024749       0.000000
       0.681000       0.024746       0.000000
       0.682000       0.024742       0.000000
       0.683000       0.024738       0.000000
       0.684000       0.024734       0.000000
       0.685000       0.024731       0.000000
       0.686000       0.024728       0.000000
       0.687000       0.024726       0.000000
       0.688000       0.024724       0.000000
       0.689000       0.024721       0.000000
       0.690000       0.024718       0.000000
       0.691000       0.024713       0.000000
       0.692000       0.024708       0.000000
       0.693000       0.024702       0.000000
       0.694000       0.024698       0.000000
       0.695000       0.024693       0.000000
       0.696000       0.024689       0.000000
       0.697000       0.024685       0.000000
       0.698000       0.024681       0.000000
       0.699000       0.024676       0.000000
       0.700000       0.024671       0.000000
       0.701000       0.024666       0.000000
       0.702000       0.024661       0.000000
       0.703000       0.024657       0.000000
       0.704000       0.024653       0.000000
       0.705000       0.024649       0.000000
       0.706000       0.024643       0.000000
       0.707000       0.024638       0.000000
       0.708000       0.024633       0.000000
       0.709000       0.024629       0.000000
       0.710000       0.024626       0.000000
       0.711000       0.024622       0.000000
       0.712000       0.024618       0.000000
       0.713000       0.024614       0.000000
       0.714000       0.024610       0.000000
       0.715000       0.024607       0.000000
       0.716000       0.024604       0.000000
       0.717000       0.024601       0.000000
       0.718000       0.024596       0.000000
       0.719000       0.024591       0.000000
       0.720000       0.024585       0.000000
       0.721000       0.024579       0.000000
       0.722000       0.024574       0.000000
       0.723000       0.024570       0.000000
       0.724000       0.024567       0.000000
       0.725000       0.024564       0.000000
       0.726000       0.024560       0.000000
       0.727000       0.024556       0.000000
       0.728000       0.024551       0.000000
       0.729000       0.024546       0.000000
       0.730000       0.024541       0.000000
       0.731000       0.024535       0.000000
       0.732000       0.024531       0.000000
       0.733000       0.024526       0.000000
       0.734000       0.024522       0.000000
       0.735000       0.024518       0.000000
       0.736000       0.024513       0.000000
       0.737000       0.024508       0.000000
       0.738000       0.024503       0.000000
       0.739000       0.024497       0.000000
       0.740000       0.024492       0.000000
       0.741000       0.024487       0.000000
       0.742000       0.024483       0.000000
       0.743000       0.024480       0.000000
       0.744000       0.024476       0.000000
       0.745000       0.024471       0.000000
       0.746000       0.024465       0.000000
       0.747000       0.024460       0.000000
       0.748000       0.024455       0.000000
       0.749000       0.024451       0.000000
       0.750000       0.024448       0.000000
       0.751000       0.024445       0.000000
       0.752000       0.024441       0.000000
       0.753000       0.024435       0.000000
       0.754000       0.024428       0.000000
       0.755000       0.024419       0.000000
       0.756000       0.024411       0.000000
       0.757000       0.024406       0.000000
       0.758000       0.024403       0.000000
       0.759000       0.024399       0.000000
       0.760000       0.024395       0.000000
       0.761000       0.024390       0.000000
       0.762000       0.024386       0.000000
       0.763000       0.024381       0.000000
       0.764000       0.024377       0.000000
       0.765000       0.024372       0.000000
       0.766000       0.024367       0.000000
       0.767000       0.024362       0.000000
       0.768000       0.024356       0.000000
       0.769000       0.024351       0.000000
       0.770000       0.024345       0.000000
       0.771000       0.024339       0.000000
       0.772000       0.024333       0.000000
       0.773000       0.024327       0.000000
       0.774000       0.024321       0.000000
       0.775000       0.024315       0.000000
       0.776000       0.024309       0.000000
       0.777000       0.024303       0.000000
       0.778000       0.024297       0.000000
       0.779000       0.024290       0.000000
       0.780000       0.024285       0.000000
       0.781000       0.024280       0.000000
       0.782000       0.024275       0.000000
       0.783000       0.024270       0.000000
       0.784000       0.024264       0.000000
       0.785000       0.024258       0.000000
       0.786000       0.024251       0.000000
       0.787000       0.024246       0.000000
       0.788000       0.024241       0.000000
       0.789000       0.024236       0.000000
       0.790000       0.024231       0.000000
       0.791000       0.024226       0.000000
       0.792000       0.024222       0.000000
       0.793000       0.024217       0.000000
       0.794000       0.024211       0.000000
       0.795000       0.024206       0.000000
       0.796000       0.024200       0.000000
       0.797000       0.024195       0.000000
       0.798000       0.024189       0.000000
       0.799000       0.024183       0.000000
       0.800000       0.024178       0.000000
       0.801000       0.024174       0.000000
       0.802000       0.024170       0.000000
       0.803000       0.024167       0.000000
       0.804000       0.024164       0.000000
       0.805000       0.024160       0.000000
