USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Strand_Board GDS362 Oriented W1R1Fa AREF
copy of sprlf02a r 980                                      
       0.350000       0.064191       0.000000
       0.351000       0.064191       0.000000
       0.352000       0.064191       0.000000
       0.353000       0.064305       0.000000
       0.354000       0.064459       0.000000
       0.355000       0.064592       0.000000
       0.356000       0.064694       0.000000
       0.357000       0.064778       0.000000
       0.358000       0.064874       0.000000
       0.359000       0.065007       0.000000
       0.360000       0.065197       0.000000
       0.361000       0.065455       0.000000
       0.362000       0.065791       0.000000
       0.363000       0.066171       0.000000
       0.364000       0.066539       0.000000
       0.365000       0.066842       0.000000
       0.366000       0.067098       0.000000
       0.367000       0.067362       0.000000
       0.368000       0.067684       0.000000
       0.369000       0.068068       0.000000
       0.370000       0.068488       0.000000
       0.371000       0.068920       0.000000
       0.372000       0.069347       0.000000
       0.373000       0.069754       0.000000
       0.374000       0.070133       0.000000
       0.375000       0.070503       0.000000
       0.376000       0.070899       0.000000
       0.377000       0.071354       0.000000
       0.378000       0.071851       0.000000
       0.379000       0.072348       0.000000
       0.380000       0.072804       0.000000
       0.381000       0.073227       0.000000
       0.382000       0.073654       0.000000
       0.383000       0.074117       0.000000
       0.384000       0.074616       0.000000
       0.385000       0.075130       0.000000
       0.386000       0.075642       0.000000
       0.387000       0.076149       0.000000
       0.388000       0.076659       0.000000
       0.389000       0.077179       0.000000
       0.390000       0.077706       0.000000
       0.391000       0.078232       0.000000
       0.392000       0.078747       0.000000
       0.393000       0.079254       0.000000
       0.394000       0.079759       0.000000
       0.395000       0.080266       0.000000
       0.396000       0.080778       0.000000
       0.397000       0.081292       0.000000
       0.398000       0.081807       0.000000
       0.399000       0.082319       0.000000
       0.400000       0.082827       0.000000
       0.401000       0.083328       0.000000
       0.402000       0.083826       0.000000
       0.403000       0.084328       0.000000
       0.404000       0.084839       0.000000
       0.405000       0.085357       0.000000
       0.406000       0.085876       0.000000
       0.407000       0.086389       0.000000
       0.408000       0.086897       0.000000
       0.409000       0.087406       0.000000
       0.410000       0.087918       0.000000
       0.411000       0.088434       0.000000
       0.412000       0.088950       0.000000
       0.413000       0.089464       0.000000
       0.414000       0.089978       0.000000
       0.415000       0.090499       0.000000
       0.416000       0.091032       0.000000
       0.417000       0.091579       0.000000
       0.418000       0.092135       0.000000
       0.419000       0.092698       0.000000
       0.420000       0.093263       0.000000
       0.421000       0.093823       0.000000
       0.422000       0.094373       0.000000
       0.423000       0.094919       0.000000
       0.424000       0.095473       0.000000
       0.425000       0.096048       0.000000
       0.426000       0.096640       0.000000
       0.427000       0.097235       0.000000
       0.428000       0.097820       0.000000
       0.429000       0.098399       0.000000
       0.430000       0.098985       0.000000
       0.431000       0.099588       0.000000
       0.432000       0.100206       0.000000
       0.433000       0.100830       0.000000
       0.434000       0.101451       0.000000
       0.435000       0.102068       0.000000
       0.436000       0.102685       0.000000
       0.437000       0.103305       0.000000
       0.438000       0.103930       0.000000
       0.439000       0.104560       0.000000
       0.440000       0.105195       0.000000
       0.441000       0.105835       0.000000
       0.442000       0.106480       0.000000
       0.443000       0.107128       0.000000
       0.444000       0.107777       0.000000
       0.445000       0.108421       0.000000
       0.446000       0.109056       0.000000
       0.447000       0.109685       0.000000
       0.448000       0.110317       0.000000
       0.449000       0.110961       0.000000
       0.450000       0.111614       0.000000
       0.451000       0.112267       0.000000
       0.452000       0.112913       0.000000
       0.453000       0.113551       0.000000
       0.454000       0.114185       0.000000
       0.455000       0.114822       0.000000
       0.456000       0.115462       0.000000
       0.457000       0.116103       0.000000
       0.458000       0.116746       0.000000
       0.459000       0.117390       0.000000
       0.460000       0.118034       0.000000
       0.461000       0.118677       0.000000
       0.462000       0.119320       0.000000
       0.463000       0.119964       0.000000
       0.464000       0.120608       0.000000
       0.465000       0.121250       0.000000
       0.466000       0.121890       0.000000
       0.467000       0.122523       0.000000
       0.468000       0.123153       0.000000
       0.469000       0.123785       0.000000
       0.470000       0.124423       0.000000
       0.471000       0.125065       0.000000
       0.472000       0.125704       0.000000
       0.473000       0.126336       0.000000
       0.474000       0.126959       0.000000
       0.475000       0.127579       0.000000
       0.476000       0.128200       0.000000
       0.477000       0.128824       0.000000
       0.478000       0.129454       0.000000
       0.479000       0.130093       0.000000
       0.480000       0.130739       0.000000
       0.481000       0.131383       0.000000
       0.482000       0.132020       0.000000
       0.483000       0.132653       0.000000
       0.484000       0.133286       0.000000
       0.485000       0.133927       0.000000
       0.486000       0.134573       0.000000
       0.487000       0.135219       0.000000
       0.488000       0.135860       0.000000
       0.489000       0.136495       0.000000
       0.490000       0.137128       0.000000
       0.491000       0.137763       0.000000
       0.492000       0.138398       0.000000
       0.493000       0.139035       0.000000
       0.494000       0.139673       0.000000
       0.495000       0.140309       0.000000
       0.496000       0.140945       0.000000
       0.497000       0.141577       0.000000
       0.498000       0.142210       0.000000
       0.499000       0.142844       0.000000
       0.500000       0.143483       0.000000
       0.501000       0.144125       0.000000
       0.502000       0.144764       0.000000
       0.503000       0.145396       0.000000
       0.504000       0.146022       0.000000
       0.505000       0.146646       0.000000
       0.506000       0.147273       0.000000
       0.507000       0.147902       0.000000
       0.508000       0.148531       0.000000
       0.509000       0.149158       0.000000
       0.510000       0.149782       0.000000
       0.511000       0.150402       0.000000
       0.512000       0.151018       0.000000
       0.513000       0.151631       0.000000
       0.514000       0.152242       0.000000
       0.515000       0.152855       0.000000
       0.516000       0.153468       0.000000
       0.517000       0.154081       0.000000
       0.518000       0.154690       0.000000
       0.519000       0.155297       0.000000
       0.520000       0.155903       0.000000
       0.521000       0.156507       0.000000
       0.522000       0.157113       0.000000
       0.523000       0.157720       0.000000
       0.524000       0.158328       0.000000
       0.525000       0.158938       0.000000
       0.526000       0.159546       0.000000
       0.527000       0.160151       0.000000
       0.528000       0.160752       0.000000
       0.529000       0.161352       0.000000
       0.530000       0.161952       0.000000
       0.531000       0.162551       0.000000
       0.532000       0.163150       0.000000
       0.533000       0.163748       0.000000
       0.534000       0.164346       0.000000
       0.535000       0.164943       0.000000
       0.536000       0.165540       0.000000
       0.537000       0.166137       0.000000
       0.538000       0.166732       0.000000
       0.539000       0.167325       0.000000
       0.540000       0.167917       0.000000
       0.541000       0.168510       0.000000
       0.542000       0.169106       0.000000
       0.543000       0.169704       0.000000
       0.544000       0.170301       0.000000
       0.545000       0.170895       0.000000
       0.546000       0.171486       0.000000
       0.547000       0.172078       0.000000
       0.548000       0.172670       0.000000
       0.549000       0.173265       0.000000
       0.550000       0.173862       0.000000
       0.551000       0.174460       0.000000
       0.552000       0.175059       0.000000
       0.553000       0.175658       0.000000
       0.554000       0.176256       0.000000
       0.555000       0.176852       0.000000
       0.556000       0.177448       0.000000
       0.557000       0.178043       0.000000
       0.558000       0.178639       0.000000
       0.559000       0.179236       0.000000
       0.560000       0.179835       0.000000
       0.561000       0.180436       0.000000
       0.562000       0.181038       0.000000
       0.563000       0.181640       0.000000
       0.564000       0.182242       0.000000
       0.565000       0.182844       0.000000
       0.566000       0.183447       0.000000
       0.567000       0.184050       0.000000
       0.568000       0.184653       0.000000
       0.569000       0.185254       0.000000
       0.570000       0.185854       0.000000
       0.571000       0.186456       0.000000
       0.572000       0.187061       0.000000
       0.573000       0.187668       0.000000
       0.574000       0.188274       0.000000
       0.575000       0.188878       0.000000
       0.576000       0.189478       0.000000
       0.577000       0.190076       0.000000
       0.578000       0.190674       0.000000
       0.579000       0.191271       0.000000
       0.580000       0.191865       0.000000
       0.581000       0.192457       0.000000
       0.582000       0.193050       0.000000
       0.583000       0.193647       0.000000
       0.584000       0.194252       0.000000
       0.585000       0.194866       0.000000
       0.586000       0.195487       0.000000
       0.587000       0.196115       0.000000
       0.588000       0.196749       0.000000
       0.589000       0.197393       0.000000
       0.590000       0.198048       0.000000
       0.591000       0.198715       0.000000
       0.592000       0.199393       0.000000
       0.593000       0.200083       0.000000
       0.594000       0.200782       0.000000
       0.595000       0.201487       0.000000
       0.596000       0.202195       0.000000
       0.597000       0.202905       0.000000
       0.598000       0.203617       0.000000
       0.599000       0.204331       0.000000
       0.600000       0.205047       0.000000
       0.601000       0.205763       0.000000
       0.602000       0.206480       0.000000
       0.603000       0.207199       0.000000
       0.604000       0.207925       0.000000
       0.605000       0.208663       0.000000
       0.606000       0.209410       0.000000
       0.607000       0.210161       0.000000
       0.608000       0.210910       0.000000
       0.609000       0.211658       0.000000
       0.610000       0.212408       0.000000
       0.611000       0.213165       0.000000
       0.612000       0.213928       0.000000
       0.613000       0.214691       0.000000
       0.614000       0.215453       0.000000
       0.615000       0.216210       0.000000
       0.616000       0.216964       0.000000
       0.617000       0.217714       0.000000
       0.618000       0.218462       0.000000
       0.619000       0.219206       0.000000
       0.620000       0.219949       0.000000
       0.621000       0.220690       0.000000
       0.622000       0.221431       0.000000
       0.623000       0.222171       0.000000
       0.624000       0.222913       0.000000
       0.625000       0.223656       0.000000
       0.626000       0.224403       0.000000
       0.627000       0.225152       0.000000
       0.628000       0.225901       0.000000
       0.629000       0.226648       0.000000
       0.630000       0.227391       0.000000
       0.631000       0.228129       0.000000
       0.632000       0.228862       0.000000
       0.633000       0.229591       0.000000
       0.634000       0.230319       0.000000
       0.635000       0.231050       0.000000
       0.636000       0.231784       0.000000
       0.637000       0.232520       0.000000
       0.638000       0.233256       0.000000
       0.639000       0.233994       0.000000
       0.640000       0.234737       0.000000
       0.641000       0.235488       0.000000
       0.642000       0.236245       0.000000
       0.643000       0.237004       0.000000
       0.644000       0.237762       0.000000
       0.645000       0.238518       0.000000
       0.646000       0.239275       0.000000
       0.647000       0.240034       0.000000
       0.648000       0.240795       0.000000
       0.649000       0.241557       0.000000
       0.650000       0.242318       0.000000
       0.651000       0.243078       0.000000
       0.652000       0.243836       0.000000
       0.653000       0.244592       0.000000
       0.654000       0.245346       0.000000
       0.655000       0.246099       0.000000
       0.656000       0.246849       0.000000
       0.657000       0.247598       0.000000
       0.658000       0.248345       0.000000
       0.659000       0.249091       0.000000
       0.660000       0.249836       0.000000
       0.661000       0.250581       0.000000
       0.662000       0.251325       0.000000
       0.663000       0.252068       0.000000
       0.664000       0.252811       0.000000
       0.665000       0.253553       0.000000
       0.666000       0.254293       0.000000
       0.667000       0.255032       0.000000
       0.668000       0.255769       0.000000
       0.669000       0.256506       0.000000
       0.670000       0.257244       0.000000
       0.671000       0.257987       0.000000
       0.672000       0.258731       0.000000
       0.673000       0.259473       0.000000
       0.674000       0.260208       0.000000
       0.675000       0.260937       0.000000
       0.676000       0.261667       0.000000
       0.677000       0.262399       0.000000
       0.678000       0.263135       0.000000
       0.679000       0.263871       0.000000
       0.680000       0.264605       0.000000
       0.681000       0.265337       0.000000
       0.682000       0.266068       0.000000
       0.683000       0.266801       0.000000
       0.684000       0.267536       0.000000
       0.685000       0.268271       0.000000
       0.686000       0.269004       0.000000
       0.687000       0.269737       0.000000
       0.688000       0.270470       0.000000
       0.689000       0.271202       0.000000
       0.690000       0.271933       0.000000
       0.691000       0.272664       0.000000
       0.692000       0.273393       0.000000
       0.693000       0.274121       0.000000
       0.694000       0.274849       0.000000
       0.695000       0.275580       0.000000
       0.696000       0.276312       0.000000
       0.697000       0.277044       0.000000
       0.698000       0.277773       0.000000
       0.699000       0.278500       0.000000
       0.700000       0.279227       0.000000
       0.701000       0.279953       0.000000
       0.702000       0.280679       0.000000
       0.703000       0.281404       0.000000
       0.704000       0.282129       0.000000
       0.705000       0.282853       0.000000
       0.706000       0.283578       0.000000
       0.707000       0.284303       0.000000
       0.708000       0.285028       0.000000
       0.709000       0.285751       0.000000
       0.710000       0.286471       0.000000
       0.711000       0.287188       0.000000
       0.712000       0.287904       0.000000
       0.713000       0.288620       0.000000
       0.714000       0.289334       0.000000
       0.715000       0.290045       0.000000
       0.716000       0.290749       0.000000
       0.717000       0.291449       0.000000
       0.718000       0.292148       0.000000
       0.719000       0.292851       0.000000
       0.720000       0.293555       0.000000
       0.721000       0.294257       0.000000
       0.722000       0.294953       0.000000
       0.723000       0.295644       0.000000
       0.724000       0.296333       0.000000
       0.725000       0.297022       0.000000
       0.726000       0.297710       0.000000
       0.727000       0.298397       0.000000
       0.728000       0.299079       0.000000
       0.729000       0.299759       0.000000
       0.730000       0.300436       0.000000
       0.731000       0.301113       0.000000
       0.732000       0.301788       0.000000
       0.733000       0.302461       0.000000
       0.734000       0.303130       0.000000
       0.735000       0.303795       0.000000
       0.736000       0.304460       0.000000
       0.737000       0.305124       0.000000
       0.738000       0.305789       0.000000
       0.739000       0.306453       0.000000
       0.740000       0.307113       0.000000
       0.741000       0.307772       0.000000
       0.742000       0.308427       0.000000
       0.743000       0.309081       0.000000
       0.744000       0.309733       0.000000
       0.745000       0.310381       0.000000
       0.746000       0.311027       0.000000
       0.747000       0.311670       0.000000
       0.748000       0.312312       0.000000
       0.749000       0.312952       0.000000
       0.750000       0.313589       0.000000
       0.751000       0.314220       0.000000
       0.752000       0.314840       0.000000
       0.753000       0.315451       0.000000
       0.754000       0.316061       0.000000
       0.755000       0.316674       0.000000
       0.756000       0.317290       0.000000
       0.757000       0.317907       0.000000
       0.758000       0.318522       0.000000
       0.759000       0.319134       0.000000
       0.760000       0.319744       0.000000
       0.761000       0.320354       0.000000
       0.762000       0.320962       0.000000
       0.763000       0.321567       0.000000
       0.764000       0.322168       0.000000
       0.765000       0.322764       0.000000
       0.766000       0.323355       0.000000
       0.767000       0.323942       0.000000
       0.768000       0.324525       0.000000
       0.769000       0.325105       0.000000
       0.770000       0.325683       0.000000
       0.771000       0.326260       0.000000
       0.772000       0.326836       0.000000
       0.773000       0.327410       0.000000
       0.774000       0.327982       0.000000
       0.775000       0.328553       0.000000
       0.776000       0.329121       0.000000
       0.777000       0.329685       0.000000
       0.778000       0.330245       0.000000
       0.779000       0.330800       0.000000
       0.780000       0.331349       0.000000
       0.781000       0.331895       0.000000
       0.782000       0.332441       0.000000
       0.783000       0.332987       0.000000
       0.784000       0.333532       0.000000
       0.785000       0.334078       0.000000
       0.786000       0.334621       0.000000
       0.787000       0.335159       0.000000
       0.788000       0.335690       0.000000
       0.789000       0.336215       0.000000
       0.790000       0.336738       0.000000
       0.791000       0.337262       0.000000
       0.792000       0.337786       0.000000
       0.793000       0.338307       0.000000
       0.794000       0.338819       0.000000
       0.795000       0.339325       0.000000
       0.796000       0.339825       0.000000
       0.797000       0.340324       0.000000
       0.798000       0.340822       0.000000
       0.799000       0.341318       0.000000
       0.800000       0.341814       0.000000
       0.801000       0.342308       0.000000
       0.802000       0.342800       0.000000
       0.803000       0.343291       0.000000
       0.804000       0.343778       0.000000
       0.805000       0.344261       0.000000
