USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cedar_Shake GDS360 H Weamoss W1R1Fa AREF
copy of sprlf02a r 974                                      
       0.350000       0.045455       0.000000
       0.351000       0.045455       0.000000
       0.352000       0.045455       0.000000
       0.353000       0.045517       0.000000
       0.354000       0.045610       0.000000
       0.355000       0.045717       0.000000
       0.356000       0.045843       0.000000
       0.357000       0.045972       0.000000
       0.358000       0.046075       0.000000
       0.359000       0.046128       0.000000
       0.360000       0.046152       0.000000
       0.361000       0.046196       0.000000
       0.362000       0.046304       0.000000
       0.363000       0.046465       0.000000
       0.364000       0.046640       0.000000
       0.365000       0.046791       0.000000
       0.366000       0.046914       0.000000
       0.367000       0.047027       0.000000
       0.368000       0.047149       0.000000
       0.369000       0.047290       0.000000
       0.370000       0.047455       0.000000
       0.371000       0.047651       0.000000
       0.372000       0.047861       0.000000
       0.373000       0.048062       0.000000
       0.374000       0.048230       0.000000
       0.375000       0.048372       0.000000
       0.376000       0.048509       0.000000
       0.377000       0.048663       0.000000
       0.378000       0.048840       0.000000
       0.379000       0.049037       0.000000
       0.380000       0.049252       0.000000
       0.381000       0.049476       0.000000
       0.382000       0.049698       0.000000
       0.383000       0.049908       0.000000
       0.384000       0.050112       0.000000
       0.385000       0.050327       0.000000
       0.386000       0.050566       0.000000
       0.387000       0.050822       0.000000
       0.388000       0.051075       0.000000
       0.389000       0.051308       0.000000
       0.390000       0.051525       0.000000
       0.391000       0.051743       0.000000
       0.392000       0.051977       0.000000
       0.393000       0.052223       0.000000
       0.394000       0.052467       0.000000
       0.395000       0.052697       0.000000
       0.396000       0.052918       0.000000
       0.397000       0.053148       0.000000
       0.398000       0.053402       0.000000
       0.399000       0.053674       0.000000
       0.400000       0.053943       0.000000
       0.401000       0.054192       0.000000
       0.402000       0.054422       0.000000
       0.403000       0.054644       0.000000
       0.404000       0.054869       0.000000
       0.405000       0.055096       0.000000
       0.406000       0.055317       0.000000
       0.407000       0.055525       0.000000
       0.408000       0.055725       0.000000
       0.409000       0.055932       0.000000
       0.410000       0.056158       0.000000
       0.411000       0.056400       0.000000
       0.412000       0.056647       0.000000
       0.413000       0.056891       0.000000
       0.414000       0.057129       0.000000
       0.415000       0.057367       0.000000
       0.416000       0.057608       0.000000
       0.417000       0.057849       0.000000
       0.418000       0.058084       0.000000
       0.419000       0.058305       0.000000
       0.420000       0.058516       0.000000
       0.421000       0.058725       0.000000
       0.422000       0.058938       0.000000
       0.423000       0.059160       0.000000
       0.424000       0.059393       0.000000
       0.425000       0.059640       0.000000
       0.426000       0.059897       0.000000
       0.427000       0.060159       0.000000
       0.428000       0.060419       0.000000
       0.429000       0.060676       0.000000
       0.430000       0.060929       0.000000
       0.431000       0.061177       0.000000
       0.432000       0.061425       0.000000
       0.433000       0.061675       0.000000
       0.434000       0.061932       0.000000
       0.435000       0.062194       0.000000
       0.436000       0.062458       0.000000
       0.437000       0.062720       0.000000
       0.438000       0.062979       0.000000
       0.439000       0.063237       0.000000
       0.440000       0.063497       0.000000
       0.441000       0.063758       0.000000
       0.442000       0.064021       0.000000
       0.443000       0.064284       0.000000
       0.444000       0.064546       0.000000
       0.445000       0.064803       0.000000
       0.446000       0.065051       0.000000
       0.447000       0.065293       0.000000
       0.448000       0.065534       0.000000
       0.449000       0.065780       0.000000
       0.450000       0.066028       0.000000
       0.451000       0.066272       0.000000
       0.452000       0.066508       0.000000
       0.453000       0.066737       0.000000
       0.454000       0.066964       0.000000
       0.455000       0.067193       0.000000
       0.456000       0.067423       0.000000
       0.457000       0.067651       0.000000
       0.458000       0.067872       0.000000
       0.459000       0.068087       0.000000
       0.460000       0.068298       0.000000
       0.461000       0.068507       0.000000
       0.462000       0.068715       0.000000
       0.463000       0.068919       0.000000
       0.464000       0.069120       0.000000
       0.465000       0.069317       0.000000
       0.466000       0.069516       0.000000
       0.467000       0.069718       0.000000
       0.468000       0.069921       0.000000
       0.469000       0.070120       0.000000
       0.470000       0.070311       0.000000
       0.471000       0.070496       0.000000
       0.472000       0.070682       0.000000
       0.473000       0.070873       0.000000
       0.474000       0.071070       0.000000
       0.475000       0.071267       0.000000
       0.476000       0.071461       0.000000
       0.477000       0.071651       0.000000
       0.478000       0.071841       0.000000
       0.479000       0.072032       0.000000
       0.480000       0.072227       0.000000
       0.481000       0.072427       0.000000
       0.482000       0.072633       0.000000
       0.483000       0.072843       0.000000
       0.484000       0.073056       0.000000
       0.485000       0.073269       0.000000
       0.486000       0.073483       0.000000
       0.487000       0.073703       0.000000
       0.488000       0.073929       0.000000
       0.489000       0.074163       0.000000
       0.490000       0.074399       0.000000
       0.491000       0.074636       0.000000
       0.492000       0.074874       0.000000
       0.493000       0.075113       0.000000
       0.494000       0.075355       0.000000
       0.495000       0.075602       0.000000
       0.496000       0.075854       0.000000
       0.497000       0.076114       0.000000
       0.498000       0.076379       0.000000
       0.499000       0.076647       0.000000
       0.500000       0.076913       0.000000
       0.501000       0.077178       0.000000
       0.502000       0.077442       0.000000
       0.503000       0.077707       0.000000
       0.504000       0.077973       0.000000
       0.505000       0.078242       0.000000
       0.506000       0.078513       0.000000
       0.507000       0.078788       0.000000
       0.508000       0.079065       0.000000
       0.509000       0.079344       0.000000
       0.510000       0.079624       0.000000
       0.511000       0.079906       0.000000
       0.512000       0.080190       0.000000
       0.513000       0.080476       0.000000
       0.514000       0.080762       0.000000
       0.515000       0.081046       0.000000
       0.516000       0.081330       0.000000
       0.517000       0.081617       0.000000
       0.518000       0.081907       0.000000
       0.519000       0.082201       0.000000
       0.520000       0.082494       0.000000
       0.521000       0.082785       0.000000
       0.522000       0.083072       0.000000
       0.523000       0.083356       0.000000
       0.524000       0.083637       0.000000
       0.525000       0.083917       0.000000
       0.526000       0.084196       0.000000
       0.527000       0.084477       0.000000
       0.528000       0.084759       0.000000
       0.529000       0.085038       0.000000
       0.530000       0.085313       0.000000
       0.531000       0.085584       0.000000
       0.532000       0.085850       0.000000
       0.533000       0.086114       0.000000
       0.534000       0.086375       0.000000
       0.535000       0.086636       0.000000
       0.536000       0.086897       0.000000
       0.537000       0.087158       0.000000
       0.538000       0.087416       0.000000
       0.539000       0.087669       0.000000
       0.540000       0.087918       0.000000
       0.541000       0.088166       0.000000
       0.542000       0.088413       0.000000
       0.543000       0.088660       0.000000
       0.544000       0.088908       0.000000
       0.545000       0.089158       0.000000
       0.546000       0.089407       0.000000
       0.547000       0.089653       0.000000
       0.548000       0.089894       0.000000
       0.549000       0.090131       0.000000
       0.550000       0.090366       0.000000
       0.551000       0.090603       0.000000
       0.552000       0.090841       0.000000
       0.553000       0.091077       0.000000
       0.554000       0.091309       0.000000
       0.555000       0.091537       0.000000
       0.556000       0.091762       0.000000
       0.557000       0.091985       0.000000
       0.558000       0.092207       0.000000
       0.559000       0.092425       0.000000
       0.560000       0.092638       0.000000
       0.561000       0.092847       0.000000
       0.562000       0.093052       0.000000
       0.563000       0.093253       0.000000
       0.564000       0.093450       0.000000
       0.565000       0.093643       0.000000
       0.566000       0.093831       0.000000
       0.567000       0.094015       0.000000
       0.568000       0.094195       0.000000
       0.569000       0.094374       0.000000
       0.570000       0.094550       0.000000
       0.571000       0.094724       0.000000
       0.572000       0.094895       0.000000
       0.573000       0.095064       0.000000
       0.574000       0.095231       0.000000
       0.575000       0.095396       0.000000
       0.576000       0.095559       0.000000
       0.577000       0.095720       0.000000
       0.578000       0.095876       0.000000
       0.579000       0.096030       0.000000
       0.580000       0.096180       0.000000
       0.581000       0.096327       0.000000
       0.582000       0.096472       0.000000
       0.583000       0.096612       0.000000
       0.584000       0.096747       0.000000
       0.585000       0.096878       0.000000
       0.586000       0.097005       0.000000
       0.587000       0.097130       0.000000
       0.588000       0.097253       0.000000
       0.589000       0.097377       0.000000
       0.590000       0.097502       0.000000
       0.591000       0.097628       0.000000
       0.592000       0.097753       0.000000
       0.593000       0.097875       0.000000
       0.594000       0.097995       0.000000
       0.595000       0.098114       0.000000
       0.596000       0.098232       0.000000
       0.597000       0.098349       0.000000
       0.598000       0.098461       0.000000
       0.599000       0.098568       0.000000
       0.600000       0.098671       0.000000
       0.601000       0.098774       0.000000
       0.602000       0.098882       0.000000
       0.603000       0.098995       0.000000
       0.604000       0.099110       0.000000
       0.605000       0.099224       0.000000
       0.606000       0.099338       0.000000
       0.607000       0.099452       0.000000
       0.608000       0.099567       0.000000
       0.609000       0.099684       0.000000
       0.610000       0.099803       0.000000
       0.611000       0.099922       0.000000
       0.612000       0.100042       0.000000
       0.613000       0.100161       0.000000
       0.614000       0.100278       0.000000
       0.615000       0.100393       0.000000
       0.616000       0.100508       0.000000
       0.617000       0.100623       0.000000
       0.618000       0.100739       0.000000
       0.619000       0.100856       0.000000
       0.620000       0.100973       0.000000
       0.621000       0.101091       0.000000
       0.622000       0.101210       0.000000
       0.623000       0.101332       0.000000
       0.624000       0.101456       0.000000
       0.625000       0.101583       0.000000
       0.626000       0.101712       0.000000
       0.627000       0.101845       0.000000
       0.628000       0.101980       0.000000
       0.629000       0.102118       0.000000
       0.630000       0.102259       0.000000
       0.631000       0.102400       0.000000
       0.632000       0.102540       0.000000
       0.633000       0.102676       0.000000
       0.634000       0.102807       0.000000
       0.635000       0.102933       0.000000
       0.636000       0.103051       0.000000
       0.637000       0.103162       0.000000
       0.638000       0.103263       0.000000
       0.639000       0.103354       0.000000
       0.640000       0.103434       0.000000
       0.641000       0.103504       0.000000
       0.642000       0.103564       0.000000
       0.643000       0.103617       0.000000
       0.644000       0.103665       0.000000
       0.645000       0.103711       0.000000
       0.646000       0.103755       0.000000
       0.647000       0.103800       0.000000
       0.648000       0.103848       0.000000
       0.649000       0.103901       0.000000
       0.650000       0.103963       0.000000
       0.651000       0.104032       0.000000
       0.652000       0.104108       0.000000
       0.653000       0.104189       0.000000
       0.654000       0.104272       0.000000
       0.655000       0.104354       0.000000
       0.656000       0.104433       0.000000
       0.657000       0.104506       0.000000
       0.658000       0.104572       0.000000
       0.659000       0.104629       0.000000
       0.660000       0.104678       0.000000
       0.661000       0.104720       0.000000
       0.662000       0.104757       0.000000
       0.663000       0.104791       0.000000
       0.664000       0.104825       0.000000
       0.665000       0.104864       0.000000
       0.666000       0.104908       0.000000
       0.667000       0.104959       0.000000
       0.668000       0.105017       0.000000
       0.669000       0.105084       0.000000
       0.670000       0.105161       0.000000
       0.671000       0.105251       0.000000
       0.672000       0.105355       0.000000
       0.673000       0.105473       0.000000
       0.674000       0.105605       0.000000
       0.675000       0.105748       0.000000
       0.676000       0.105902       0.000000
       0.677000       0.106063       0.000000
       0.678000       0.106232       0.000000
       0.679000       0.106409       0.000000
       0.680000       0.106597       0.000000
       0.681000       0.106798       0.000000
       0.682000       0.107016       0.000000
       0.683000       0.107254       0.000000
       0.684000       0.107517       0.000000
       0.685000       0.107806       0.000000
       0.686000       0.108125       0.000000
       0.687000       0.108477       0.000000
       0.688000       0.108866       0.000000
       0.689000       0.109292       0.000000
       0.690000       0.109754       0.000000
       0.691000       0.110244       0.000000
       0.692000       0.110758       0.000000
       0.693000       0.111291       0.000000
       0.694000       0.111838       0.000000
       0.695000       0.112394       0.000000
       0.696000       0.112958       0.000000
       0.697000       0.113527       0.000000
       0.698000       0.114098       0.000000
       0.699000       0.114670       0.000000
       0.700000       0.115239       0.000000
       0.701000       0.115802       0.000000
       0.702000       0.116360       0.000000
       0.703000       0.116913       0.000000
       0.704000       0.117460       0.000000
       0.705000       0.118001       0.000000
       0.706000       0.118536       0.000000
       0.707000       0.119065       0.000000
       0.708000       0.119585       0.000000
       0.709000       0.120095       0.000000
       0.710000       0.120594       0.000000
       0.711000       0.121081       0.000000
       0.712000       0.121557       0.000000
       0.713000       0.122023       0.000000
       0.714000       0.122478       0.000000
       0.715000       0.122924       0.000000
       0.716000       0.123363       0.000000
       0.717000       0.123793       0.000000
       0.718000       0.124214       0.000000
       0.719000       0.124623       0.000000
       0.720000       0.125024       0.000000
       0.721000       0.125416       0.000000
       0.722000       0.125803       0.000000
       0.723000       0.126185       0.000000
       0.724000       0.126563       0.000000
       0.725000       0.126937       0.000000
       0.726000       0.127307       0.000000
       0.727000       0.127672       0.000000
       0.728000       0.128032       0.000000
       0.729000       0.128387       0.000000
       0.730000       0.128738       0.000000
       0.731000       0.129087       0.000000
       0.732000       0.129433       0.000000
       0.733000       0.129778       0.000000
       0.734000       0.130120       0.000000
       0.735000       0.130460       0.000000
       0.736000       0.130796       0.000000
       0.737000       0.131128       0.000000
       0.738000       0.131456       0.000000
       0.739000       0.131783       0.000000
       0.740000       0.132112       0.000000
       0.741000       0.132441       0.000000
       0.742000       0.132768       0.000000
       0.743000       0.133094       0.000000
       0.744000       0.133416       0.000000
       0.745000       0.133738       0.000000
       0.746000       0.134058       0.000000
       0.747000       0.134379       0.000000
       0.748000       0.134700       0.000000
       0.749000       0.135021       0.000000
       0.750000       0.135342       0.000000
       0.751000       0.135661       0.000000
       0.752000       0.135977       0.000000
       0.753000       0.136289       0.000000
       0.754000       0.136599       0.000000
       0.755000       0.136908       0.000000
       0.756000       0.137217       0.000000
       0.757000       0.137526       0.000000
       0.758000       0.137836       0.000000
       0.759000       0.138147       0.000000
       0.760000       0.138458       0.000000
       0.761000       0.138768       0.000000
       0.762000       0.139077       0.000000
       0.763000       0.139387       0.000000
       0.764000       0.139700       0.000000
       0.765000       0.140015       0.000000
       0.766000       0.140329       0.000000
       0.767000       0.140642       0.000000
       0.768000       0.140954       0.000000
       0.769000       0.141266       0.000000
       0.770000       0.141581       0.000000
       0.771000       0.141897       0.000000
       0.772000       0.142212       0.000000
       0.773000       0.142524       0.000000
       0.774000       0.142833       0.000000
       0.775000       0.143142       0.000000
       0.776000       0.143454       0.000000
       0.777000       0.143770       0.000000
       0.778000       0.144086       0.000000
       0.779000       0.144400       0.000000
       0.780000       0.144713       0.000000
       0.781000       0.145026       0.000000
       0.782000       0.145339       0.000000
       0.783000       0.145654       0.000000
       0.784000       0.145970       0.000000
       0.785000       0.146289       0.000000
       0.786000       0.146610       0.000000
       0.787000       0.146930       0.000000
       0.788000       0.147248       0.000000
       0.789000       0.147566       0.000000
       0.790000       0.147885       0.000000
       0.791000       0.148206       0.000000
       0.792000       0.148530       0.000000
       0.793000       0.148856       0.000000
       0.794000       0.149181       0.000000
       0.795000       0.149506       0.000000
       0.796000       0.149832       0.000000
       0.797000       0.150159       0.000000
       0.798000       0.150489       0.000000
       0.799000       0.150820       0.000000
       0.800000       0.151152       0.000000
       0.801000       0.151485       0.000000
       0.802000       0.151818       0.000000
       0.803000       0.152151       0.000000
       0.804000       0.152486       0.000000
       0.805000       0.152823       0.000000
