USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cyanide_Potassium_Ferro      W1R1Ba AREF
copy of splib05a r 10537                                    
       0.205100      -0.018652      -0.000000
       0.213100       0.025051       0.000000
       0.221100       0.030983       0.000000
       0.229100       0.026755       0.000000
       0.236100       0.025667       0.000000
       0.242100       0.024962       0.000000
       0.248100       0.023512       0.000000
       0.253600       0.022153       0.000000
       0.258600       0.021684       0.000000
       0.263600       0.021675       0.000000
       0.268600       0.020835       0.000000
       0.273100       0.021022       0.000000
       0.277100       0.019315       0.000000
       0.281100       0.019283       0.000000
       0.285100       0.019548       0.000000
       0.289100       0.018407       0.000000
       0.293100       0.018378       0.000000
       0.297100       0.018296       0.000000
       0.301100       0.019277       0.000000
       0.305100       0.019356       0.000000
       0.309100       0.020063       0.000000
       0.313100       0.019992       0.000000
       0.317100       0.020190       0.000000
       0.321100       0.020532       0.000000
       0.325100       0.019722       0.000000
       0.329100       0.020433       0.000000
       0.333100       0.020363       0.000000
       0.337100       0.019880       0.000000
       0.341100       0.020384       0.000000
       0.345100       0.020009       0.000000
       0.349100       0.019678       0.000000
       0.353100       0.019772       0.000000
       0.357100       0.019117       0.000000
       0.360600       0.019039       0.000000
       0.363600       0.018678       0.000000
       0.366600       0.018591       0.000000
       0.369600       0.018304       0.000000
       0.372600       0.018304       0.000000
       0.375600       0.017253       0.000000
       0.378600       0.017157       0.000000
       0.381100       0.017855       0.000000
       0.383100       0.019538       0.000000
       0.385100       0.018122       0.000000
       0.387100       0.016541       0.000000
       0.389100       0.016644       0.000000
       0.391100       0.017752       0.000000
       0.393100       0.017906       0.000000
       0.395100       0.016845       0.000000
       0.397100       0.018657       0.000000
       0.399100       0.017433       0.000000
       0.401100       0.017923       0.000000
       0.403100       0.017887       0.000000
       0.405100       0.019183       0.000000
       0.407100       0.017473       0.000000
       0.409100       0.018412       0.000000
       0.411100       0.018609       0.000000
       0.412800       0.018135       0.000000
       0.415800       0.020075       0.000000
       0.418800       0.018889       0.000000
       0.421800       0.018782       0.000000
       0.424800       0.019196       0.000000
       0.427800       0.018992       0.000000
       0.430800       0.019917       0.000000
       0.433800       0.019302       0.000000
       0.436800       0.020072       0.000000
       0.439800       0.019614       0.000000
       0.442800       0.019994       0.000000
       0.445800       0.020106       0.000000
       0.448800       0.020441       0.000000
       0.451300       0.020618       0.000000
       0.453300       0.020945       0.000000
       0.455300       0.020334       0.000000
       0.457300       0.021414       0.000000
       0.459300       0.021050       0.000000
       0.461300       0.021192       0.000000
       0.463300       0.021495       0.000000
       0.465300       0.021394       0.000000
       0.467300       0.021770       0.000000
       0.469300       0.022353       0.000000
       0.471300       0.021861       0.000000
       0.473300       0.021709       0.000000
       0.475300       0.022224       0.000000
       0.477300       0.021477       0.000000
       0.479300       0.021751       0.000000
       0.481300       0.022483       0.000000
       0.483300       0.021639       0.000000
       0.485300       0.022589       0.000000
       0.487300       0.021829       0.000000
       0.489300       0.022051       0.000000
       0.491300       0.021659       0.000000
       0.493300       0.021930       0.000000
       0.495300       0.022335       0.000000
       0.497300       0.021998       0.000000
       0.499300       0.022645       0.000000
       0.501300       0.021977       0.000000
       0.503300       0.022213       0.000000
       0.505300       0.022558       0.000000
       0.507300       0.022628       0.000000
       0.509300       0.022828       0.000000
       0.511300       0.022382       0.000000
       0.513300       0.023105       0.000000
       0.515300       0.022625       0.000000
       0.517300       0.022721       0.000000
       0.519300       0.022864       0.000000
       0.521300       0.022651       0.000000
       0.523300       0.023329       0.000000
       0.525300       0.023226       0.000000
       0.527300       0.024217       0.000000
       0.529300       0.023239       0.000000
       0.531300       0.024078       0.000000
       0.533300       0.023268       0.000000
       0.535300       0.024748       0.000000
       0.537300       0.025172       0.000000
       0.539300       0.024875       0.000000
       0.541300       0.025617       0.000000
       0.543300       0.026033       0.000000
       0.545300       0.026371       0.000000
       0.547300       0.027841       0.000000
       0.549300       0.027717       0.000000
       0.551300       0.029382       0.000000
       0.553300       0.030458       0.000000
       0.555300       0.032141       0.000000
       0.557300       0.034155       0.000000
       0.559300       0.035985       0.000000
       0.561300       0.037997       0.000000
       0.563300       0.040814       0.000000
       0.565300       0.043920       0.000000
       0.567300       0.047063       0.000000
       0.569300       0.050590       0.000000
       0.571300       0.054477       0.000000
       0.573300       0.059905       0.000000
       0.575300       0.064787       0.000000
       0.577300       0.070215       0.000000
       0.579300       0.075674       0.000000
       0.581300       0.082124       0.000000
       0.583300       0.088751       0.000000
       0.585300       0.096864       0.000000
       0.587300       0.104128       0.000000
       0.589300       0.112198       0.000000
       0.591300       0.122308       0.000000
       0.593300       0.132336       0.000000
       0.595300       0.142004       0.000000
       0.597300       0.151145       0.000000
       0.599300       0.162515       0.000000
       0.601100       0.170848       0.000000
       0.602700       0.179636       0.000000
       0.604300       0.190315       0.000000
       0.605900       0.197760       0.000000
       0.607500       0.207812       0.000000
       0.609100       0.216314       0.000000
       0.610700       0.227374       0.000000
       0.612300       0.236240       0.000000
       0.613900       0.245159       0.000000
       0.615500       0.255225       0.000000
       0.617100       0.264195       0.000000
       0.618700       0.274361       0.000000
       0.620300       0.284739       0.000000
       0.621900       0.293832       0.000000
       0.623500       0.304900       0.000000
       0.625100       0.313208       0.000000
       0.626700       0.322229       0.000000
       0.628300       0.332262       0.000000
       0.629900       0.340730       0.000000
       0.631700       0.351748       0.000000
       0.633700       0.362739       0.000000
       0.635700       0.373330       0.000000
       0.637700       0.384422       0.000000
       0.639700       0.394022       0.000000
       0.641700       0.404918       0.000000
       0.643700       0.412954       0.000000
       0.645700       0.422003       0.000000
       0.647700       0.432120       0.000000
       0.649700       0.440625       0.000000
       0.651700       0.448813       0.000000
       0.653700       0.457420       0.000000
       0.655700       0.467209       0.000000
       0.657700       0.472896       0.000000
       0.659700       0.480070       0.000000
       0.661700       0.486151       0.000000
       0.663700       0.494985       0.000000
       0.665700       0.496939       0.000000
       0.667700       0.505734       0.000000
       0.670200       0.509353       0.000000
       0.673200       0.515840       0.000000
       0.676200       0.522705       0.000000
       0.679200       0.528511       0.000000
       0.682200       0.534688       0.000000
       0.685200       0.542301       0.000000
       0.688200       0.548546       0.000000
       0.691200       0.550607       0.000000
       0.694200       0.556951       0.000000
       0.697200       0.561148       0.000000
       0.700200       0.560493       0.000000
       0.702000       0.561989       0.000000
       0.704000       0.565433       0.000000
       0.706000       0.568128       0.000000
       0.708000       0.568222       0.000000
       0.710000       0.571336       0.000000
       0.712000       0.572218       0.000000
       0.714000       0.574040       0.000000
       0.716000       0.574526       0.000000
       0.718000       0.575230       0.000000
       0.720000       0.575588       0.000000
       0.722000       0.576905       0.000000
       0.724000       0.579430       0.000000
       0.726000       0.578504       0.000000
       0.728000       0.581305       0.000000
       0.730000       0.579858       0.000000
       0.732000       0.584574       0.000000
       0.734000       0.583726       0.000000
       0.736000       0.583076       0.000000
       0.738000       0.583513       0.000000
       0.740000       0.583717       0.000000
       0.742000       0.584432       0.000000
       0.744000       0.584980       0.000000
       0.746000       0.586155       0.000000
       0.748000       0.586292       0.000000
       0.750500       0.587241       0.000000
       0.753500       0.585323       0.000000
       0.756500       0.586200       0.000000
       0.759500       0.588851       0.000000
       0.762500       0.588861       0.000000
       0.765500       0.589046       0.000000
       0.768500       0.589655       0.000000
       0.771500       0.588245       0.000000
       0.774500       0.589049       0.000000
       0.777500       0.589368       0.000000
       0.781000       0.589477       0.000000
       0.785000       0.588496       0.000000
       0.789000       0.588543       0.000000
       0.793000       0.588231       0.000000
       0.797000       0.589765       0.000000
       0.801500       0.588088       0.000000
       0.806500       0.588979       0.000000
       0.811500       0.590409       0.000000
       0.816500       0.589626       0.000000
       0.822000       0.588291       0.000000
       0.828000       0.587610       0.000000
       0.835000       0.588334       0.000000
       0.843000       0.589504       0.000000
       0.851000       0.560826       0.000000
       0.859000       0.590972       0.000000
       0.871000       0.587125       0.000000
       0.883000       0.587459       0.000000
       0.894000       0.584454       0.000000
       0.904000       0.586170       0.000000
       0.914000       0.587357       0.000000
       0.924000       0.589429       0.000000
       0.933000       0.589589       0.000000
       0.941000       0.587748       0.000000
       0.949000       0.588759       0.000000
       0.957000       0.589893       0.000000
       0.964000       0.586525       0.000000
       0.970000       0.590230       0.000000
       0.976000       0.589581       0.000000
       0.982000       0.586913       0.000000
       0.988000       0.588926       0.000000
       0.994000       0.588904       0.000000
       1.000000       0.589518       0.000000
       1.006000       0.588258       0.000000
       1.012000       0.588246       0.000000
       1.018000       0.588612       0.000000
       1.023500       0.589519       0.000000
       1.028500       0.589514       0.000000
       1.033500       0.588918       0.000000
       1.038500       0.588025       0.000000
       1.043500       0.591843       0.000000
       1.048500       0.589193       0.000000
       1.053500       0.590335       0.000000
       1.058500       0.590337       0.000000
       1.063500       0.590601       0.000000
       1.068500       0.589772       0.000000
       1.073500       0.591601       0.000000
       1.078500       0.592642       0.000000
       1.083500       0.589837       0.000000
       1.088500       0.592345       0.000000
       1.093500       0.591548       0.000000
       1.098500       0.591819       0.000000
       1.103500       0.588363       0.000000
       1.108500       0.587184       0.000000
       1.113500       0.585013       0.000000
       1.118500       0.584403       0.000000
       1.123500       0.581344       0.000000
       1.128500       0.574585       0.000000
       1.133500       0.574405       0.000000
       1.138500       0.572313       0.000000
       1.143500       0.574540       0.000000
       1.148500       0.578676       0.000000
       1.153500       0.582707       0.000000
       1.158500       0.584855       0.000000
       1.163500       0.583892       0.000000
       1.168500       0.584921       0.000000
       1.173500       0.586120       0.000000
       1.178500       0.580490       0.000000
       1.183500       0.579032       0.000000
       1.188500       0.576884       0.000000
       1.193500       0.578263       0.000000
       1.198500       0.586692       0.000000
       1.203500       0.587889       0.000000
       1.208500       0.586686       0.000000
       1.213500       0.591236       0.000000
       1.218500       0.594141       0.000000
       1.223500       0.592475       0.000000
       1.228500       0.595361       0.000000
       1.233500       0.593620       0.000000
       1.238500       0.594882       0.000000
       1.243500       0.594160       0.000000
       1.248500       0.596386       0.000000
       1.253500       0.595913       0.000000
       1.258500       0.595127       0.000000
       1.263500       0.598760       0.000000
       1.268500       0.594917       0.000000
       1.273500       0.594602       0.000000
       1.278500       0.594820       0.000000
       1.283500       0.594552       0.000000
       1.288500       0.596317       0.000000
       1.293500       0.592556       0.000000
       1.298500       0.593643       0.000000
       1.303500       0.593031       0.000000
       1.308500       0.595766       0.000000
       1.313500       0.595975       0.000000
       1.318500       0.595574       0.000000
       1.323500       0.594880       0.000000
       1.328500       0.594187       0.000000
       1.333500       0.595042       0.000000
       1.338500       0.593733       0.000000
       1.343500       0.590422       0.000000
       1.348500       0.591335       0.000000
       1.353500       0.588882       0.000000
       1.358500       0.588251       0.000000
       1.363500       0.584058       0.000000
       1.368500       0.581453       0.000000
       1.373500       0.581064       0.000000
       1.378500       0.581119       0.000000
       1.383500       0.581145       0.000000
       1.388500       0.580369       0.000000
       1.393500       0.582906       0.000000
       1.398500       0.581952       0.000000
       1.403500       0.581162       0.000000
       1.408500       0.585125       0.000000
       1.413500       0.586251       0.000000
       1.418500       0.587965       0.000000
       1.423500       0.587775       0.000000
       1.428500       0.589472       0.000000
       1.433500       0.589884       0.000000
       1.438500       0.591869       0.000000
       1.443500       0.591831       0.000000
       1.448500       0.591042       0.000000
       1.453500       0.590721       0.000000
       1.458500       0.587417       0.000000
       1.463500       0.590619       0.000000
       1.468500       0.588935       0.000000
       1.473500       0.589836       0.000000
       1.478500       0.593134       0.000000
       1.483500       0.593847       0.000000
       1.488500       0.592106       0.000000
       1.493500       0.590806       0.000000
       1.498500       0.593612       0.000000
       1.503500       0.596842       0.000000
       1.508500       0.594449       0.000000
       1.513500       0.597480       0.000000
       1.518500       0.597151       0.000000
       1.523500       0.598733       0.000000
       1.528500       0.596509       0.000000
       1.534000       0.597234       0.000000
       1.540000       0.596365       0.000000
       1.546000       0.598604       0.000000
       1.552000       0.599328       0.000000
       1.558000       0.597401       0.000000
       1.564000       0.595492       0.000000
       1.570500       0.590888       0.000000
       1.577500       0.585898       0.000000
       1.584500       0.589770       0.000000
       1.591500       0.579962       0.000000
       1.598500       0.586212       0.000000
       1.605500       0.581686       0.000000
       1.612500       0.574170       0.000000
       1.619500       0.568105       0.000000
       1.626500       0.562911       0.000000
       1.633500       0.556557       0.000000
       1.640500       0.549568       0.000000
       1.647500       0.536259       0.000000
       1.654500       0.530042       0.000000
       1.661500       0.520994       0.000000
       1.668500       0.512951       0.000000
       1.676000       0.516520       0.000000
       1.684000       0.520103       0.000000
       1.692000       0.518952       0.000000
       1.700000       0.522545       0.000000
       1.708000       0.528777       0.000000
       1.716000       0.532125       0.000000
       1.724000       0.530708       0.000000
       1.732000       0.525158       0.000000
       1.740000       0.523178       0.000000
       1.748000       0.531346       0.000000
       1.756000       0.531559       0.000000
       1.764000       0.526193       0.000000
       1.772000       0.525504       0.000000
       1.780000       0.529974       0.000000
       1.788000       0.529473       0.000000
       1.796000       0.524762       0.000000
       1.805000       0.524635       0.000000
       1.815000       0.522513       0.000000
       1.825000       0.515057       0.000000
       1.835000       0.512922       0.000000
       1.845000       0.512562       0.000000
       1.855000       0.507553       0.000000
       1.865000       0.503403       0.000000
       1.875000       0.495149       0.000000
       1.885000       0.490046       0.000000
       1.895000       0.477503       0.000000
       1.905000       0.467328       0.000000
       1.915000       0.467367       0.000000
       1.925000       0.464650       0.000000
       1.935000       0.456930       0.000000
       1.945000       0.455682       0.000000
       1.955000       0.454852       0.000000
       1.965000       0.448956       0.000000
       1.975000       0.445575       0.000000
       1.985000       0.441767       0.000000
       1.995000       0.437044       0.000000
       2.005000       0.429858       0.000000
       2.015000       0.425899       0.000000
       2.025000       0.416658       0.000000
       2.035000       0.407165       0.000000
       2.045000       0.406475       0.000000
       2.055000       0.405402       0.000000
       2.065000       0.398993       0.000000
       2.075000       0.398475       0.000000
       2.085000       0.394769       0.000000
       2.095000       0.378665       0.000000
       2.105000       0.361937       0.000000
       2.115000       0.341387       0.000000
       2.125000       0.342470       0.000000
       2.135000       0.340645       0.000000
       2.145000       0.329181       0.000000
       2.155000       0.312132       0.000000
       2.165000       0.283170       0.000000
       2.175000       0.286841       0.000000
       2.185000       0.308932       0.000000
       2.195000       0.305649       0.000000
       2.205000       0.259024       0.000000
       2.215000       0.271314       0.000000
       2.225000       0.271370       0.000000
       2.235000       0.262583       0.000000
       2.245000       0.264698       0.000000
       2.255000       0.252065       0.000000
       2.265000       0.255076       0.000000
       2.275000       0.239199       0.000000
       2.285000       0.231184       0.000000
       2.295000       0.234510       0.000000
       2.305000       0.212620       0.000000
       2.315000       0.210023       0.000000
       2.325000       0.205276       0.000000
       2.335000       0.197089       0.000000
       2.345000       0.180752       0.000000
