USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cyanide_Trihydrate CT1       W1R1Ba AREF
copy of splib05a r 9914                                     
       0.205100      -0.063383      -0.000000
       0.213100       0.013167       0.000000
       0.221100       0.040272       0.000000
       0.229100       0.037145       0.000000
       0.236100       0.033755       0.000000
       0.242100       0.030742       0.000000
       0.248100       0.029623       0.000000
       0.253600       0.028529       0.000000
       0.258600       0.029265       0.000000
       0.263600       0.028663       0.000000
       0.268600       0.027950       0.000000
       0.273100       0.026339       0.000000
       0.277100       0.025573       0.000000
       0.281100       0.025887       0.000000
       0.285100       0.025767       0.000000
       0.289100       0.025711       0.000000
       0.293100       0.024801       0.000000
       0.297100       0.025208       0.000000
       0.301100       0.025217       0.000000
       0.305100       0.025365       0.000000
       0.309100       0.025839       0.000000
       0.313100       0.024738       0.000000
       0.317100       0.023359       0.000000
       0.321100       0.023750       0.000000
       0.325100       0.023000       0.000000
       0.329100       0.024081       0.000000
       0.333100       0.023082       0.000000
       0.337100       0.023232       0.000000
       0.341100       0.024676       0.000000
       0.345100       0.024133       0.000000
       0.349100       0.024447       0.000000
       0.353100       0.024599       0.000000
       0.357100       0.025933       0.000000
       0.360600       0.026577       0.000000
       0.363600       0.028473       0.000000
       0.366600       0.031105       0.000000
       0.369600       0.031980       0.000000
       0.372600       0.034201       0.000000
       0.375600       0.037451       0.000000
       0.378600       0.041590       0.000000
       0.381100       0.046692       0.000000
       0.383100       0.051544       0.000000
       0.385100       0.055144       0.000000
       0.387100       0.060278       0.000000
       0.389100       0.065402       0.000000
       0.391100       0.073544       0.000000
       0.393100       0.082206       0.000000
       0.395100       0.088857       0.000000
       0.397100       0.099822       0.000000
       0.399100       0.110893       0.000000
       0.401100       0.124328       0.000000
       0.403100       0.136263       0.000000
       0.405100       0.150986       0.000000
       0.407100       0.165003       0.000000
       0.409100       0.181282       0.000000
       0.411100       0.197415       0.000000
       0.412800       0.210727       0.000000
       0.415800       0.235028       0.000000
       0.418800       0.257820       0.000000
       0.421800       0.278288       0.000000
       0.424800       0.297486       0.000000
       0.427800       0.314333       0.000000
       0.430800       0.329084       0.000000
       0.433800       0.344328       0.000000
       0.436800       0.354925       0.000000
       0.439800       0.366483       0.000000
       0.442800       0.377636       0.000000
       0.445800       0.388380       0.000000
       0.448800       0.401111       0.000000
       0.451300       0.408632       0.000000
       0.453300       0.416078       0.000000
       0.455300       0.421605       0.000000
       0.457300       0.429503       0.000000
       0.459300       0.436921       0.000000
       0.461300       0.443721       0.000000
       0.463300       0.450510       0.000000
       0.465300       0.457959       0.000000
       0.467300       0.466061       0.000000
       0.469300       0.472611       0.000000
       0.471300       0.480766       0.000000
       0.473300       0.487950       0.000000
       0.475300       0.497144       0.000000
       0.477300       0.502282       0.000000
       0.479300       0.510830       0.000000
       0.481300       0.519161       0.000000
       0.483300       0.526564       0.000000
       0.485300       0.533188       0.000000
       0.487300       0.539580       0.000000
       0.489300       0.549887       0.000000
       0.491300       0.556597       0.000000
       0.493300       0.563945       0.000000
       0.495300       0.570861       0.000000
       0.497300       0.577612       0.000000
       0.499300       0.584168       0.000000
       0.501300       0.592757       0.000000
       0.503300       0.597178       0.000000
       0.505300       0.605524       0.000000
       0.507300       0.609565       0.000000
       0.509300       0.617882       0.000000
       0.511300       0.624650       0.000000
       0.513300       0.629995       0.000000
       0.515300       0.635807       0.000000
       0.517300       0.641679       0.000000
       0.519300       0.646382       0.000000
       0.521300       0.652955       0.000000
       0.523300       0.657023       0.000000
       0.525300       0.662861       0.000000
       0.527300       0.666326       0.000000
       0.529300       0.670861       0.000000
       0.531300       0.673836       0.000000
       0.533300       0.678998       0.000000
       0.535300       0.682616       0.000000
       0.537300       0.685397       0.000000
       0.539300       0.689324       0.000000
       0.541300       0.691906       0.000000
       0.543300       0.696448       0.000000
       0.545300       0.697709       0.000000
       0.547300       0.697495       0.000000
       0.549300       0.701424       0.000000
       0.551300       0.704949       0.000000
       0.553300       0.704398       0.000000
       0.555300       0.707477       0.000000
       0.557300       0.710441       0.000000
       0.559300       0.710152       0.000000
       0.561300       0.710309       0.000000
       0.563300       0.714561       0.000000
       0.565300       0.714891       0.000000
       0.567300       0.714902       0.000000
       0.569300       0.717052       0.000000
       0.571300       0.717605       0.000000
       0.573300       0.718990       0.000000
       0.575300       0.720779       0.000000
       0.577300       0.721190       0.000000
       0.579300       0.722304       0.000000
       0.581300       0.721050       0.000000
       0.583300       0.721556       0.000000
       0.585300       0.722115       0.000000
       0.587300       0.725256       0.000000
       0.589300       0.723603       0.000000
       0.591300       0.724292       0.000000
       0.593300       0.724839       0.000000
       0.595300       0.723641       0.000000
       0.597300       0.724440       0.000000
       0.599300       0.726192       0.000000
       0.601100       0.724405       0.000000
       0.602700       0.722702       0.000000
       0.604300       0.723577       0.000000
       0.605900       0.724432       0.000000
       0.607500       0.724822       0.000000
       0.609100       0.724565       0.000000
       0.610700       0.725950       0.000000
       0.612300       0.725829       0.000000
       0.613900       0.725998       0.000000
       0.615500       0.725278       0.000000
       0.617100       0.727468       0.000000
       0.618700       0.728121       0.000000
       0.620300       0.725978       0.000000
       0.621900       0.726852       0.000000
       0.623500       0.729435       0.000000
       0.625100       0.727310       0.000000
       0.626700       0.727497       0.000000
       0.628300       0.730137       0.000000
       0.629900       0.728936       0.000000
       0.631700       0.729915       0.000000
       0.633700       0.729291       0.000000
       0.635700       0.729142       0.000000
       0.637700       0.730699       0.000000
       0.639700       0.728464       0.000000
       0.641700       0.730520       0.000000
       0.643700       0.729674       0.000000
       0.645700       0.730952       0.000000
       0.647700       0.732369       0.000000
       0.649700       0.730797       0.000000
       0.651700       0.728531       0.000000
       0.653700       0.731418       0.000000
       0.655700       0.732388       0.000000
       0.657700       0.732715       0.000000
       0.659700       0.730136       0.000000
       0.661700       0.729684       0.000000
       0.663700       0.731749       0.000000
       0.665700       0.731311       0.000000
       0.667700       0.729590       0.000000
       0.670200       0.729845       0.000000
       0.673200       0.727837       0.000000
       0.676200       0.726987       0.000000
       0.679200       0.726532       0.000000
       0.682200       0.727101       0.000000
       0.685200       0.732725       0.000000
       0.688200       0.732049       0.000000
       0.691200       0.731742       0.000000
       0.694200       0.730657       0.000000
       0.697200       0.733887       0.000000
       0.700200       0.733950       0.000000
       0.702000       0.733559       0.000000
       0.704000       0.735171       0.000000
       0.706000       0.734821       0.000000
       0.708000       0.736058       0.000000
       0.710000       0.736216       0.000000
       0.712000       0.734736       0.000000
       0.714000       0.735149       0.000000
       0.716000       0.735168       0.000000
       0.718000       0.735118       0.000000
       0.720000       0.733210       0.000000
       0.722000       0.734604       0.000000
       0.724000       0.735979       0.000000
       0.726000       0.734805       0.000000
       0.728000       0.733986       0.000000
       0.730000       0.735584       0.000000
       0.732000       0.734547       0.000000
       0.734000       0.734928       0.000000
       0.736000       0.736349       0.000000
       0.738000       0.736585       0.000000
       0.740000       0.732845       0.000000
       0.742000       0.735258       0.000000
       0.744000       0.732671       0.000000
       0.746000       0.733585       0.000000
       0.748000       0.732472       0.000000
       0.750500       0.733299       0.000000
       0.753500       0.733432       0.000000
       0.756500       0.731522       0.000000
       0.759500       0.731086       0.000000
       0.762500       0.734641       0.000000
       0.765500       0.734825       0.000000
       0.768500       0.736631       0.000000
       0.771500       0.734693       0.000000
       0.774500       0.733099       0.000000
       0.777500       0.734917       0.000000
       0.781000       0.735423       0.000000
       0.785000       0.734581       0.000000
       0.789000       0.734845       0.000000
       0.793000       0.735091       0.000000
       0.797000       0.737047       0.000000
       0.801500       0.734194       0.000000
       0.806500       0.736761       0.000000
       0.811500       0.735926       0.000000
       0.816500       0.736987       0.000000
       0.822000       0.734632       0.000000
       0.828000       0.733005       0.000000
       0.835000       0.734302       0.000000
       0.843000       0.731888       0.000000
       0.851000       0.732477       0.000000
       0.859000       0.736124       0.000000
       0.871000       0.734331       0.000000
       0.883000       0.737176       0.000000
       0.894000       0.731949       0.000000
       0.904000       0.733576       0.000000
       0.914000       0.734902       0.000000
       0.924000       0.732787       0.000000
       0.933000       0.730388       0.000000
       0.941000       0.723455       0.000000
       0.949000       0.718171       0.000000
       0.957000       0.712396       0.000000
       0.964000       0.703884       0.000000
       0.970000       0.697064       0.000000
       0.976000       0.682589       0.000000
       0.982000       0.679196       0.000000
       0.988000       0.683716       0.000000
       0.994000       0.688663       0.000000
       1.000000       0.699604       0.000000
       1.006000       0.707090       0.000000
       1.012000       0.712316       0.000000
       1.018000       0.717417       0.000000
       1.023500       0.723481       0.000000
       1.028500       0.723669       0.000000
       1.033500       0.725425       0.000000
       1.038500       0.725920       0.000000
       1.043500       0.729379       0.000000
       1.048500       0.726502       0.000000
       1.053500       0.728684       0.000000
       1.058500       0.726490       0.000000
       1.063500       0.728017       0.000000
       1.068500       0.727591       0.000000
       1.073500       0.728171       0.000000
       1.078500       0.728922       0.000000
       1.083500       0.724323       0.000000
       1.088500       0.724904       0.000000
       1.093500       0.724698       0.000000
       1.098500       0.723721       0.000000
       1.103500       0.716864       0.000000
       1.108500       0.716182       0.000000
       1.113500       0.711332       0.000000
       1.118500       0.710066       0.000000
       1.123500       0.704276       0.000000
       1.128500       0.696489       0.000000
       1.133500       0.689421       0.000000
       1.138500       0.687074       0.000000
       1.143500       0.683389       0.000000
       1.148500       0.674146       0.000000
       1.153500       0.663454       0.000000
       1.158500       0.646869       0.000000
       1.163500       0.621178       0.000000
       1.168500       0.596087       0.000000
       1.173500       0.590353       0.000000
       1.178500       0.599928       0.000000
       1.183500       0.617880       0.000000
       1.188500       0.632453       0.000000
       1.193500       0.642851       0.000000
       1.198500       0.650970       0.000000
       1.203500       0.654969       0.000000
       1.208500       0.659809       0.000000
       1.213500       0.666695       0.000000
       1.218500       0.674115       0.000000
       1.223500       0.676876       0.000000
       1.228500       0.682249       0.000000
       1.233500       0.681774       0.000000
       1.238500       0.684213       0.000000
       1.243500       0.686836       0.000000
       1.248500       0.687818       0.000000
       1.253500       0.688069       0.000000
       1.258500       0.690870       0.000000
       1.263500       0.692433       0.000000
       1.268500       0.695145       0.000000
       1.273500       0.697247       0.000000
       1.278500       0.697566       0.000000
       1.283500       0.697067       0.000000
       1.288500       0.695167       0.000000
       1.293500       0.691402       0.000000
       1.298500       0.686078       0.000000
       1.303500       0.683169       0.000000
       1.308500       0.678371       0.000000
       1.313500       0.673940       0.000000
       1.318500       0.668254       0.000000
       1.323500       0.658834       0.000000
       1.328500       0.649444       0.000000
       1.333500       0.636450       0.000000
       1.338500       0.618417       0.000000
       1.343500       0.605976       0.000000
       1.348500       0.600168       0.000000
       1.353500       0.596378       0.000000
       1.358500       0.591326       0.000000
       1.363500       0.584443       0.000000
       1.368500       0.574166       0.000000
       1.373500       0.566069       0.000000
       1.378500       0.555397       0.000000
       1.383500       0.543970       0.000000
       1.388500       0.530751       0.000000
       1.393500       0.505886       0.000000
       1.398500       0.465197       0.000000
       1.403500       0.416972       0.000000
       1.408500       0.389126       0.000000
       1.413500       0.369929       0.000000
       1.418500       0.350539       0.000000
       1.423500       0.328393       0.000000
       1.428500       0.315041       0.000000
       1.433500       0.300939       0.000000
       1.438500       0.295676       0.000000
       1.443500       0.304327       0.000000
       1.448500       0.330992       0.000000
       1.453500       0.368591       0.000000
       1.458500       0.395741       0.000000
       1.463500       0.411745       0.000000
       1.468500       0.414099       0.000000
       1.473500       0.410676       0.000000
       1.478500       0.401449       0.000000
       1.483500       0.415980       0.000000
       1.488500       0.455410       0.000000
       1.493500       0.482250       0.000000
       1.498500       0.508165       0.000000
       1.503500       0.526049       0.000000
       1.508500       0.537054       0.000000
       1.513500       0.545338       0.000000
       1.518500       0.553145       0.000000
       1.523500       0.559256       0.000000
       1.528500       0.561532       0.000000
       1.534000       0.563414       0.000000
       1.540000       0.563382       0.000000
       1.546000       0.568017       0.000000
       1.552000       0.570452       0.000000
       1.558000       0.573540       0.000000
       1.564000       0.578426       0.000000
       1.570500       0.580165       0.000000
       1.577500       0.585802       0.000000
       1.584500       0.590834       0.000000
       1.591500       0.591259       0.000000
       1.598500       0.596812       0.000000
       1.605500       0.596528       0.000000
       1.612500       0.595183       0.000000
       1.619500       0.592308       0.000000
       1.626500       0.589564       0.000000
       1.633500       0.588189       0.000000
       1.640500       0.581981       0.000000
       1.647500       0.575916       0.000000
       1.654500       0.574475       0.000000
       1.661500       0.573326       0.000000
       1.668500       0.563241       0.000000
       1.676000       0.567225       0.000000
       1.684000       0.568237       0.000000
       1.692000       0.564206       0.000000
       1.700000       0.565742       0.000000
       1.708000       0.563723       0.000000
       1.716000       0.556358       0.000000
       1.724000       0.543429       0.000000
       1.732000       0.524581       0.000000
       1.740000       0.505132       0.000000
       1.748000       0.481481       0.000000
       1.756000       0.449984       0.000000
       1.764000       0.410976       0.000000
       1.772000       0.370483       0.000000
       1.780000       0.363890       0.000000
       1.788000       0.364555       0.000000
       1.796000       0.357473       0.000000
       1.805000       0.351245       0.000000
       1.815000       0.333698       0.000000
       1.825000       0.319440       0.000000
       1.835000       0.317394       0.000000
       1.845000       0.325731       0.000000
       1.855000       0.355552       0.000000
       1.865000       0.367330       0.000000
       1.875000       0.356794       0.000000
       1.885000       0.320329       0.000000
       1.895000       0.264856       0.000000
       1.905000       0.200968       0.000000
       1.915000       0.140903       0.000000
       1.925000       0.106934       0.000000
       1.935000       0.117397       0.000000
       1.945000       0.146661       0.000000
       1.955000       0.178833       0.000000
       1.965000       0.194997       0.000000
       1.975000       0.218267       0.000000
       1.985000       0.237757       0.000000
       1.995000       0.262454       0.000000
       2.005000       0.291481       0.000000
       2.015000       0.318074       0.000000
       2.025000       0.336829       0.000000
       2.035000       0.348037       0.000000
       2.045000       0.355749       0.000000
       2.055000       0.355253       0.000000
       2.065000       0.355369       0.000000
       2.075000       0.358161       0.000000
       2.085000       0.356700       0.000000
       2.095000       0.348235       0.000000
       2.105000       0.346839       0.000000
       2.115000       0.344700       0.000000
       2.125000       0.345117       0.000000
       2.135000       0.340739       0.000000
       2.145000       0.340052       0.000000
       2.155000       0.336962       0.000000
       2.165000       0.342975       0.000000
       2.175000       0.345265       0.000000
       2.185000       0.346973       0.000000
       2.195000       0.301455       0.000000
       2.205000       0.309958       0.000000
       2.215000       0.320353       0.000000
       2.225000       0.321715       0.000000
       2.235000       0.328042       0.000000
       2.245000       0.346327       0.000000
       2.255000       0.344756       0.000000
       2.265000       0.330708       0.000000
       2.275000       0.341219       0.000000
       2.285000       0.344140       0.000000
       2.295000       0.323246       0.000000
       2.305000       0.356686       0.000000
       2.315000       0.330129       0.000000
       2.325000       0.316283       0.000000
       2.335000       0.313052       0.000000
       2.345000       0.309322       0.000000
