USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Burlap_Fabric GDS430 Brown   W1R1Fa AREF
copy of sprlf02a r 1346                                     
       0.350000       0.037411       0.000000
       0.351000       0.037411       0.000000
       0.352000       0.037411       0.000000
       0.353000       0.037497       0.000000
       0.354000       0.037619       0.000000
       0.355000       0.037739       0.000000
       0.356000       0.037856       0.000000
       0.357000       0.037982       0.000000
       0.358000       0.038134       0.000000
       0.359000       0.038331       0.000000
       0.360000       0.038573       0.000000
       0.361000       0.038856       0.000000
       0.362000       0.039171       0.000000
       0.363000       0.039499       0.000000
       0.364000       0.039815       0.000000
       0.365000       0.040095       0.000000
       0.366000       0.040364       0.000000
       0.367000       0.040675       0.000000
       0.368000       0.041073       0.000000
       0.369000       0.041552       0.000000
       0.370000       0.042071       0.000000
       0.371000       0.042593       0.000000
       0.372000       0.043100       0.000000
       0.373000       0.043587       0.000000
       0.374000       0.044051       0.000000
       0.375000       0.044515       0.000000
       0.376000       0.045018       0.000000
       0.377000       0.045592       0.000000
       0.378000       0.046212       0.000000
       0.379000       0.046818       0.000000
       0.380000       0.047359       0.000000
       0.381000       0.047850       0.000000
       0.382000       0.048346       0.000000
       0.383000       0.048898       0.000000
       0.384000       0.049500       0.000000
       0.385000       0.050109       0.000000
       0.386000       0.050688       0.000000
       0.387000       0.051243       0.000000
       0.388000       0.051805       0.000000
       0.389000       0.052404       0.000000
       0.390000       0.053022       0.000000
       0.391000       0.053617       0.000000
       0.392000       0.054152       0.000000
       0.393000       0.054636       0.000000
       0.394000       0.055103       0.000000
       0.395000       0.055588       0.000000
       0.396000       0.056107       0.000000
       0.397000       0.056665       0.000000
       0.398000       0.057263       0.000000
       0.399000       0.057868       0.000000
       0.400000       0.058428       0.000000
       0.401000       0.058898       0.000000
       0.402000       0.059297       0.000000
       0.403000       0.059684       0.000000
       0.404000       0.060114       0.000000
       0.405000       0.060575       0.000000
       0.406000       0.061019       0.000000
       0.407000       0.061401       0.000000
       0.408000       0.061731       0.000000
       0.409000       0.062046       0.000000
       0.410000       0.062381       0.000000
       0.411000       0.062742       0.000000
       0.412000       0.063111       0.000000
       0.413000       0.063474       0.000000
       0.414000       0.063820       0.000000
       0.415000       0.064141       0.000000
       0.416000       0.064430       0.000000
       0.417000       0.064697       0.000000
       0.418000       0.064960       0.000000
       0.419000       0.065235       0.000000
       0.420000       0.065517       0.000000
       0.421000       0.065790       0.000000
       0.422000       0.066039       0.000000
       0.423000       0.066273       0.000000
       0.424000       0.066515       0.000000
       0.425000       0.066786       0.000000
       0.426000       0.067084       0.000000
       0.427000       0.067393       0.000000
       0.428000       0.067698       0.000000
       0.429000       0.067999       0.000000
       0.430000       0.068300       0.000000
       0.431000       0.068608       0.000000
       0.432000       0.068922       0.000000
       0.433000       0.069239       0.000000
       0.434000       0.069555       0.000000
       0.435000       0.069869       0.000000
       0.436000       0.070181       0.000000
       0.437000       0.070492       0.000000
       0.438000       0.070802       0.000000
       0.439000       0.071115       0.000000
       0.440000       0.071429       0.000000
       0.441000       0.071747       0.000000
       0.442000       0.072066       0.000000
       0.443000       0.072386       0.000000
       0.444000       0.072710       0.000000
       0.445000       0.073048       0.000000
       0.446000       0.073404       0.000000
       0.447000       0.073776       0.000000
       0.448000       0.074150       0.000000
       0.449000       0.074518       0.000000
       0.450000       0.074880       0.000000
       0.451000       0.075245       0.000000
       0.452000       0.075621       0.000000
       0.453000       0.076010       0.000000
       0.454000       0.076409       0.000000
       0.455000       0.076816       0.000000
       0.456000       0.077230       0.000000
       0.457000       0.077655       0.000000
       0.458000       0.078092       0.000000
       0.459000       0.078543       0.000000
       0.460000       0.079006       0.000000
       0.461000       0.079480       0.000000
       0.462000       0.079967       0.000000
       0.463000       0.080470       0.000000
       0.464000       0.080988       0.000000
       0.465000       0.081523       0.000000
       0.466000       0.082072       0.000000
       0.467000       0.082634       0.000000
       0.468000       0.083211       0.000000
       0.469000       0.083806       0.000000
       0.470000       0.084422       0.000000
       0.471000       0.085056       0.000000
       0.472000       0.085701       0.000000
       0.473000       0.086353       0.000000
       0.474000       0.087014       0.000000
       0.475000       0.087695       0.000000
       0.476000       0.088404       0.000000
       0.477000       0.089138       0.000000
       0.478000       0.089892       0.000000
       0.479000       0.090659       0.000000
       0.480000       0.091439       0.000000
       0.481000       0.092238       0.000000
       0.482000       0.093063       0.000000
       0.483000       0.093910       0.000000
       0.484000       0.094772       0.000000
       0.485000       0.095645       0.000000
       0.486000       0.096531       0.000000
       0.487000       0.097436       0.000000
       0.488000       0.098368       0.000000
       0.489000       0.099322       0.000000
       0.490000       0.100287       0.000000
       0.491000       0.101252       0.000000
       0.492000       0.102223       0.000000
       0.493000       0.103212       0.000000
       0.494000       0.104231       0.000000
       0.495000       0.105273       0.000000
       0.496000       0.106319       0.000000
       0.497000       0.107352       0.000000
       0.498000       0.108371       0.000000
       0.499000       0.109382       0.000000
       0.500000       0.110391       0.000000
       0.501000       0.111401       0.000000
       0.502000       0.112410       0.000000
       0.503000       0.113415       0.000000
       0.504000       0.114415       0.000000
       0.505000       0.115409       0.000000
       0.506000       0.116395       0.000000
       0.507000       0.117373       0.000000
       0.508000       0.118341       0.000000
       0.509000       0.119300       0.000000
       0.510000       0.120249       0.000000
       0.511000       0.121184       0.000000
       0.512000       0.122103       0.000000
       0.513000       0.123010       0.000000
       0.514000       0.123908       0.000000
       0.515000       0.124802       0.000000
       0.516000       0.125692       0.000000
       0.517000       0.126576       0.000000
       0.518000       0.127452       0.000000
       0.519000       0.128321       0.000000
       0.520000       0.129185       0.000000
       0.521000       0.130044       0.000000
       0.522000       0.130901       0.000000
       0.523000       0.131758       0.000000
       0.524000       0.132614       0.000000
       0.525000       0.133468       0.000000
       0.526000       0.134313       0.000000
       0.527000       0.135143       0.000000
       0.528000       0.135959       0.000000
       0.529000       0.136767       0.000000
       0.530000       0.137571       0.000000
       0.531000       0.138367       0.000000
       0.532000       0.139149       0.000000
       0.533000       0.139913       0.000000
       0.534000       0.140657       0.000000
       0.535000       0.141387       0.000000
       0.536000       0.142106       0.000000
       0.537000       0.142811       0.000000
       0.538000       0.143496       0.000000
       0.539000       0.144154       0.000000
       0.540000       0.144788       0.000000
       0.541000       0.145403       0.000000
       0.542000       0.146007       0.000000
       0.543000       0.146599       0.000000
       0.544000       0.147176       0.000000
       0.545000       0.147735       0.000000
       0.546000       0.148279       0.000000
       0.547000       0.148817       0.000000
       0.548000       0.149355       0.000000
       0.549000       0.149896       0.000000
       0.550000       0.150440       0.000000
       0.551000       0.150989       0.000000
       0.552000       0.151544       0.000000
       0.553000       0.152107       0.000000
       0.554000       0.152681       0.000000
       0.555000       0.153271       0.000000
       0.556000       0.153882       0.000000
       0.557000       0.154520       0.000000
       0.558000       0.155183       0.000000
       0.559000       0.155870       0.000000
       0.560000       0.156580       0.000000
       0.561000       0.157313       0.000000
       0.562000       0.158076       0.000000
       0.563000       0.158871       0.000000
       0.564000       0.159698       0.000000
       0.565000       0.160552       0.000000
       0.566000       0.161427       0.000000
       0.567000       0.162322       0.000000
       0.568000       0.163236       0.000000
       0.569000       0.164167       0.000000
       0.570000       0.165111       0.000000
       0.571000       0.166061       0.000000
       0.572000       0.167010       0.000000
       0.573000       0.167955       0.000000
       0.574000       0.168895       0.000000
       0.575000       0.169829       0.000000
       0.576000       0.170752       0.000000
       0.577000       0.171658       0.000000
       0.578000       0.172539       0.000000
       0.579000       0.173392       0.000000
       0.580000       0.174218       0.000000
       0.581000       0.175014       0.000000
       0.582000       0.175782       0.000000
       0.583000       0.176520       0.000000
       0.584000       0.177230       0.000000
       0.585000       0.177912       0.000000
       0.586000       0.178568       0.000000
       0.587000       0.179198       0.000000
       0.588000       0.179806       0.000000
       0.589000       0.180395       0.000000
       0.590000       0.180970       0.000000
       0.591000       0.181531       0.000000
       0.592000       0.182078       0.000000
       0.593000       0.182610       0.000000
       0.594000       0.183131       0.000000
       0.595000       0.183646       0.000000
       0.596000       0.184160       0.000000
       0.597000       0.184676       0.000000
       0.598000       0.185197       0.000000
       0.599000       0.185723       0.000000
       0.600000       0.186256       0.000000
       0.601000       0.186798       0.000000
       0.602000       0.187350       0.000000
       0.603000       0.187912       0.000000
       0.604000       0.188483       0.000000
       0.605000       0.189062       0.000000
       0.606000       0.189649       0.000000
       0.607000       0.190241       0.000000
       0.608000       0.190834       0.000000
       0.609000       0.191424       0.000000
       0.610000       0.192007       0.000000
       0.611000       0.192578       0.000000
       0.612000       0.193139       0.000000
       0.613000       0.193696       0.000000
       0.614000       0.194257       0.000000
       0.615000       0.194816       0.000000
       0.616000       0.195364       0.000000
       0.617000       0.195893       0.000000
       0.618000       0.196401       0.000000
       0.619000       0.196893       0.000000
       0.620000       0.197371       0.000000
       0.621000       0.197837       0.000000
       0.622000       0.198290       0.000000
       0.623000       0.198729       0.000000
       0.624000       0.199151       0.000000
       0.625000       0.199558       0.000000
       0.626000       0.199948       0.000000
       0.627000       0.200324       0.000000
       0.628000       0.200689       0.000000
       0.629000       0.201048       0.000000
       0.630000       0.201405       0.000000
       0.631000       0.201765       0.000000
       0.632000       0.202134       0.000000
       0.633000       0.202513       0.000000
       0.634000       0.202903       0.000000
       0.635000       0.203305       0.000000
       0.636000       0.203720       0.000000
       0.637000       0.204153       0.000000
       0.638000       0.204605       0.000000
       0.639000       0.205081       0.000000
       0.640000       0.205587       0.000000
       0.641000       0.206127       0.000000
       0.642000       0.206705       0.000000
       0.643000       0.207322       0.000000
       0.644000       0.207983       0.000000
       0.645000       0.208689       0.000000
       0.646000       0.209447       0.000000
       0.647000       0.210260       0.000000
       0.648000       0.211130       0.000000
       0.649000       0.212057       0.000000
       0.650000       0.213042       0.000000
       0.651000       0.214085       0.000000
       0.652000       0.215190       0.000000
       0.653000       0.216361       0.000000
       0.654000       0.217599       0.000000
       0.655000       0.218902       0.000000
       0.656000       0.220272       0.000000
       0.657000       0.221711       0.000000
       0.658000       0.223221       0.000000
       0.659000       0.224807       0.000000
       0.660000       0.226467       0.000000
       0.661000       0.228199       0.000000
       0.662000       0.230001       0.000000
       0.663000       0.231873       0.000000
       0.664000       0.233816       0.000000
       0.665000       0.235831       0.000000
       0.666000       0.237921       0.000000
       0.667000       0.240087       0.000000
       0.668000       0.242331       0.000000
       0.669000       0.244651       0.000000
       0.670000       0.247039       0.000000
       0.671000       0.249491       0.000000
       0.672000       0.252006       0.000000
       0.673000       0.254588       0.000000
       0.674000       0.257240       0.000000
       0.675000       0.259957       0.000000
       0.676000       0.262731       0.000000
       0.677000       0.265553       0.000000
       0.678000       0.268420       0.000000
       0.679000       0.271332       0.000000
       0.680000       0.274288       0.000000
       0.681000       0.277281       0.000000
       0.682000       0.280301       0.000000
       0.683000       0.283339       0.000000
       0.684000       0.286392       0.000000
       0.685000       0.289458       0.000000
       0.686000       0.292537       0.000000
       0.687000       0.295624       0.000000
       0.688000       0.298714       0.000000
       0.689000       0.301800       0.000000
       0.690000       0.304880       0.000000
       0.691000       0.307954       0.000000
       0.692000       0.311021       0.000000
       0.693000       0.314077       0.000000
       0.694000       0.317114       0.000000
       0.695000       0.320126       0.000000
       0.696000       0.323111       0.000000
       0.697000       0.326073       0.000000
       0.698000       0.329014       0.000000
       0.699000       0.331931       0.000000
       0.700000       0.334820       0.000000
       0.701000       0.337679       0.000000
       0.702000       0.340505       0.000000
       0.703000       0.343299       0.000000
       0.704000       0.346061       0.000000
       0.705000       0.348788       0.000000
       0.706000       0.351474       0.000000
       0.707000       0.354116       0.000000
       0.708000       0.356713       0.000000
       0.709000       0.359269       0.000000
       0.710000       0.361790       0.000000
       0.711000       0.364273       0.000000
       0.712000       0.366715       0.000000
       0.713000       0.369114       0.000000
       0.714000       0.371468       0.000000
       0.715000       0.373779       0.000000
       0.716000       0.376050       0.000000
       0.717000       0.378278       0.000000
       0.718000       0.380460       0.000000
       0.719000       0.382594       0.000000
       0.720000       0.384681       0.000000
       0.721000       0.386725       0.000000
       0.722000       0.388731       0.000000
       0.723000       0.390697       0.000000
       0.724000       0.392621       0.000000
       0.725000       0.394500       0.000000
       0.726000       0.396336       0.000000
       0.727000       0.398130       0.000000
       0.728000       0.399885       0.000000
       0.729000       0.401604       0.000000
       0.730000       0.403292       0.000000
       0.731000       0.404952       0.000000
       0.732000       0.406584       0.000000
       0.733000       0.408188       0.000000
       0.734000       0.409764       0.000000
       0.735000       0.411310       0.000000
       0.736000       0.412826       0.000000
       0.737000       0.414312       0.000000
       0.738000       0.415770       0.000000
       0.739000       0.417204       0.000000
       0.740000       0.418617       0.000000
       0.741000       0.420011       0.000000
       0.742000       0.421385       0.000000
       0.743000       0.422741       0.000000
       0.744000       0.424078       0.000000
       0.745000       0.425395       0.000000
       0.746000       0.426693       0.000000
       0.747000       0.427971       0.000000
       0.748000       0.429231       0.000000
       0.749000       0.430474       0.000000
       0.750000       0.431701       0.000000
       0.751000       0.432916       0.000000
       0.752000       0.434120       0.000000
       0.753000       0.435315       0.000000
       0.754000       0.436499       0.000000
       0.755000       0.437674       0.000000
       0.756000       0.438841       0.000000
       0.757000       0.439999       0.000000
       0.758000       0.441150       0.000000
       0.759000       0.442293       0.000000
       0.760000       0.443428       0.000000
       0.761000       0.444553       0.000000
       0.762000       0.445669       0.000000
       0.763000       0.446777       0.000000
       0.764000       0.447879       0.000000
       0.765000       0.448974       0.000000
       0.766000       0.450064       0.000000
       0.767000       0.451147       0.000000
       0.768000       0.452226       0.000000
       0.769000       0.453302       0.000000
       0.770000       0.454375       0.000000
       0.771000       0.455445       0.000000
       0.772000       0.456508       0.000000
       0.773000       0.457562       0.000000
       0.774000       0.458608       0.000000
       0.775000       0.459651       0.000000
       0.776000       0.460694       0.000000
       0.777000       0.461737       0.000000
       0.778000       0.462775       0.000000
       0.779000       0.463805       0.000000
       0.780000       0.464828       0.000000
       0.781000       0.465848       0.000000
       0.782000       0.466869       0.000000
       0.783000       0.467889       0.000000
       0.784000       0.468907       0.000000
       0.785000       0.469919       0.000000
       0.786000       0.470923       0.000000
       0.787000       0.471920       0.000000
       0.788000       0.472907       0.000000
       0.789000       0.473888       0.000000
       0.790000       0.474868       0.000000
       0.791000       0.475852       0.000000
       0.792000       0.476839       0.000000
       0.793000       0.477823       0.000000
       0.794000       0.478801       0.000000
       0.795000       0.479771       0.000000
       0.796000       0.480737       0.000000
       0.797000       0.481699       0.000000
       0.798000       0.482658       0.000000
       0.799000       0.483615       0.000000
       0.800000       0.484570       0.000000
       0.801000       0.485523       0.000000
       0.802000       0.486476       0.000000
       0.803000       0.487429       0.000000
       0.804000       0.488379       0.000000
       0.805000       0.489323       0.000000
