USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Plastic_PVC GDS338 White     W1R1Fa AREF
copy of splib05a r 10382                                    
       0.350000       0.083408       0.000000
       0.351000       0.083408       0.000000
       0.352000       0.083505       0.000000
       0.353000       0.083646       0.000000
       0.354000       0.083872       0.000000
       0.355000       0.084220       0.000000
       0.356000       0.084690       0.000000
       0.357000       0.085278       0.000000
       0.358000       0.085977       0.000000
       0.359000       0.086776       0.000000
       0.360000       0.087665       0.000000
       0.361000       0.088634       0.000000
       0.362000       0.089685       0.000000
       0.363000       0.090820       0.000000
       0.364000       0.092043       0.000000
       0.365000       0.093368       0.000000
       0.366000       0.094808       0.000000
       0.367000       0.096375       0.000000
       0.368000       0.098075       0.000000
       0.369000       0.099913       0.000000
       0.370000       0.101891       0.000000
       0.371000       0.104013       0.000000
       0.372000       0.106284       0.000000
       0.373000       0.108711       0.000000
       0.374000       0.111320       0.000000
       0.375000       0.114138       0.000000
       0.376000       0.117194       0.000000
       0.377000       0.120511       0.000000
       0.378000       0.124110       0.000000
       0.379000       0.128014       0.000000
       0.380000       0.132249       0.000000
       0.381000       0.136844       0.000000
       0.382000       0.141834       0.000000
       0.383000       0.147275       0.000000
       0.384000       0.153228       0.000000
       0.385000       0.159753       0.000000
       0.386000       0.166910       0.000000
       0.387000       0.174754       0.000000
       0.388000       0.183340       0.000000
       0.389000       0.192711       0.000000
       0.390000       0.202905       0.000000
       0.391000       0.213954       0.000000
       0.392000       0.225866       0.000000
       0.393000       0.238637       0.000000
       0.394000       0.252260       0.000000
       0.395000       0.266699       0.000000
       0.396000       0.281914       0.000000
       0.397000       0.297851       0.000000
       0.398000       0.314418       0.000000
       0.399000       0.331510       0.000000
       0.400000       0.349013       0.000000
       0.401000       0.366772       0.000000
       0.402000       0.384622       0.000000
       0.403000       0.402392       0.000000
       0.404000       0.419899       0.000000
       0.405000       0.436955       0.000000
       0.406000       0.453378       0.000000
       0.407000       0.469015       0.000000
       0.408000       0.483722       0.000000
       0.409000       0.497368       0.000000
       0.410000       0.509884       0.000000
       0.411000       0.521216       0.000000
       0.412000       0.531324       0.000000
       0.413000       0.540234       0.000000
       0.414000       0.547984       0.000000
       0.415000       0.554632       0.000000
       0.416000       0.560293       0.000000
       0.417000       0.565101       0.000000
       0.418000       0.569186       0.000000
       0.419000       0.572679       0.000000
       0.420000       0.575709       0.000000
       0.421000       0.578394       0.000000
       0.422000       0.580811       0.000000
       0.423000       0.583030       0.000000
       0.424000       0.585110       0.000000
       0.425000       0.587084       0.000000
       0.426000       0.588974       0.000000
       0.427000       0.590800       0.000000
       0.428000       0.592560       0.000000
       0.429000       0.594244       0.000000
       0.430000       0.595844       0.000000
       0.431000       0.597350       0.000000
       0.432000       0.598750       0.000000
       0.433000       0.600037       0.000000
       0.434000       0.601217       0.000000
       0.435000       0.602296       0.000000
       0.436000       0.603283       0.000000
       0.437000       0.604183       0.000000
       0.438000       0.605001       0.000000
       0.439000       0.605745       0.000000
       0.440000       0.606433       0.000000
       0.441000       0.607087       0.000000
       0.442000       0.607728       0.000000
       0.443000       0.608379       0.000000
       0.444000       0.609064       0.000000
       0.445000       0.609803       0.000000
       0.446000       0.610602       0.000000
       0.447000       0.611463       0.000000
       0.448000       0.612386       0.000000
       0.449000       0.613365       0.000000
       0.450000       0.614396       0.000000
       0.451000       0.615467       0.000000
       0.452000       0.616559       0.000000
       0.453000       0.617648       0.000000
       0.454000       0.618713       0.000000
       0.455000       0.619742       0.000000
       0.456000       0.620725       0.000000
       0.457000       0.621652       0.000000
       0.458000       0.622524       0.000000
       0.459000       0.623344       0.000000
       0.460000       0.624112       0.000000
       0.461000       0.624832       0.000000
       0.462000       0.625507       0.000000
       0.463000       0.626141       0.000000
       0.464000       0.626755       0.000000
       0.465000       0.627372       0.000000
       0.466000       0.628010       0.000000
       0.467000       0.628677       0.000000
       0.468000       0.629377       0.000000
       0.469000       0.630112       0.000000
       0.470000       0.630875       0.000000
       0.471000       0.631657       0.000000
       0.472000       0.632450       0.000000
       0.473000       0.633251       0.000000
       0.474000       0.634056       0.000000
       0.475000       0.634861       0.000000
       0.476000       0.635659       0.000000
       0.477000       0.636441       0.000000
       0.478000       0.637199       0.000000
       0.479000       0.637928       0.000000
       0.480000       0.638626       0.000000
       0.481000       0.639291       0.000000
       0.482000       0.639929       0.000000
       0.483000       0.640545       0.000000
       0.484000       0.641147       0.000000
       0.485000       0.641740       0.000000
       0.486000       0.642331       0.000000
       0.487000       0.642926       0.000000
       0.488000       0.643524       0.000000
       0.489000       0.644128       0.000000
       0.490000       0.644737       0.000000
       0.491000       0.645352       0.000000
       0.492000       0.645973       0.000000
       0.493000       0.646599       0.000000
       0.494000       0.647224       0.000000
       0.495000       0.647838       0.000000
       0.496000       0.648434       0.000000
       0.497000       0.649006       0.000000
       0.498000       0.649553       0.000000
       0.499000       0.650072       0.000000
       0.500000       0.650567       0.000000
       0.501000       0.651043       0.000000
       0.502000       0.651505       0.000000
       0.503000       0.651952       0.000000
       0.504000       0.652383       0.000000
       0.505000       0.652798       0.000000
       0.506000       0.653198       0.000000
       0.507000       0.653587       0.000000
       0.508000       0.653968       0.000000
       0.509000       0.654341       0.000000
       0.510000       0.654705       0.000000
       0.511000       0.655059       0.000000
       0.512000       0.655403       0.000000
       0.513000       0.655734       0.000000
       0.514000       0.656051       0.000000
       0.515000       0.656356       0.000000
       0.516000       0.656649       0.000000
       0.517000       0.656933       0.000000
       0.518000       0.657209       0.000000
       0.519000       0.657478       0.000000
       0.520000       0.657741       0.000000
       0.521000       0.657997       0.000000
       0.522000       0.658249       0.000000
       0.523000       0.658494       0.000000
       0.524000       0.658732       0.000000
       0.525000       0.658962       0.000000
       0.526000       0.659183       0.000000
       0.527000       0.659394       0.000000
       0.528000       0.659596       0.000000
       0.529000       0.659788       0.000000
       0.530000       0.659970       0.000000
       0.531000       0.660141       0.000000
       0.532000       0.660302       0.000000
       0.533000       0.660450       0.000000
       0.534000       0.660583       0.000000
       0.535000       0.660700       0.000000
       0.536000       0.660804       0.000000
       0.537000       0.660898       0.000000
       0.538000       0.660984       0.000000
       0.539000       0.661063       0.000000
       0.540000       0.661136       0.000000
       0.541000       0.661203       0.000000
       0.542000       0.661263       0.000000
       0.543000       0.661317       0.000000
       0.544000       0.661365       0.000000
       0.545000       0.661409       0.000000
       0.546000       0.661453       0.000000
       0.547000       0.661499       0.000000
       0.548000       0.661544       0.000000
       0.549000       0.661586       0.000000
       0.550000       0.661622       0.000000
       0.551000       0.661657       0.000000
       0.552000       0.661699       0.000000
       0.553000       0.661753       0.000000
       0.554000       0.661818       0.000000
       0.555000       0.661894       0.000000
       0.556000       0.661979       0.000000
       0.557000       0.662072       0.000000
       0.558000       0.662172       0.000000
       0.559000       0.662279       0.000000
       0.560000       0.662394       0.000000
       0.561000       0.662519       0.000000
       0.562000       0.662654       0.000000
       0.563000       0.662796       0.000000
       0.564000       0.662942       0.000000
       0.565000       0.663088       0.000000
       0.566000       0.663235       0.000000
       0.567000       0.663388       0.000000
       0.568000       0.663545       0.000000
       0.569000       0.663704       0.000000
       0.570000       0.663859       0.000000
       0.571000       0.664006       0.000000
       0.572000       0.664145       0.000000
       0.573000       0.664278       0.000000
       0.574000       0.664407       0.000000
       0.575000       0.664531       0.000000
       0.576000       0.664649       0.000000
       0.577000       0.664761       0.000000
       0.578000       0.664865       0.000000
       0.579000       0.664960       0.000000
       0.580000       0.665046       0.000000
       0.581000       0.665121       0.000000
       0.582000       0.665184       0.000000
       0.583000       0.665235       0.000000
       0.584000       0.665274       0.000000
       0.585000       0.665302       0.000000
       0.586000       0.665318       0.000000
       0.587000       0.665325       0.000000
       0.588000       0.665325       0.000000
       0.589000       0.665322       0.000000
       0.590000       0.665320       0.000000
       0.591000       0.665327       0.000000
       0.592000       0.665349       0.000000
       0.593000       0.665387       0.000000
       0.594000       0.665444       0.000000
       0.595000       0.665523       0.000000
       0.596000       0.665626       0.000000
       0.597000       0.665757       0.000000
       0.598000       0.665917       0.000000
       0.599000       0.666095       0.000000
       0.600000       0.666279       0.000000
       0.601000       0.666460       0.000000
       0.602000       0.666640       0.000000
       0.603000       0.666824       0.000000
       0.604000       0.667017       0.000000
       0.605000       0.667225       0.000000
       0.606000       0.667456       0.000000
       0.607000       0.667714       0.000000
       0.608000       0.667997       0.000000
       0.609000       0.668300       0.000000
       0.610000       0.668619       0.000000
       0.611000       0.668955       0.000000
       0.612000       0.669309       0.000000
       0.613000       0.669681       0.000000
       0.614000       0.670069       0.000000
       0.615000       0.670472       0.000000
       0.616000       0.670888       0.000000
       0.617000       0.671318       0.000000
       0.618000       0.671764       0.000000
       0.619000       0.672230       0.000000
       0.620000       0.672716       0.000000
       0.621000       0.673222       0.000000
       0.622000       0.673747       0.000000
       0.623000       0.674285       0.000000
       0.624000       0.674830       0.000000
       0.625000       0.675374       0.000000
       0.626000       0.675918       0.000000
       0.627000       0.676461       0.000000
       0.628000       0.677004       0.000000
       0.629000       0.677545       0.000000
       0.630000       0.678084       0.000000
       0.631000       0.678620       0.000000
       0.632000       0.679157       0.000000
       0.633000       0.679697       0.000000
       0.634000       0.680245       0.000000
       0.635000       0.680800       0.000000
       0.636000       0.681362       0.000000
       0.637000       0.681933       0.000000
       0.638000       0.682511       0.000000
       0.639000       0.683097       0.000000
       0.640000       0.683690       0.000000
       0.641000       0.684290       0.000000
       0.642000       0.684893       0.000000
       0.643000       0.685496       0.000000
       0.644000       0.686099       0.000000
       0.645000       0.686699       0.000000
       0.646000       0.687295       0.000000
       0.647000       0.687887       0.000000
       0.648000       0.688476       0.000000
       0.649000       0.689061       0.000000
       0.650000       0.689638       0.000000
       0.651000       0.690204       0.000000
       0.652000       0.690756       0.000000
       0.653000       0.691294       0.000000
       0.654000       0.691824       0.000000
       0.655000       0.692347       0.000000
       0.656000       0.692861       0.000000
       0.657000       0.693365       0.000000
       0.658000       0.693856       0.000000
       0.659000       0.694336       0.000000
       0.660000       0.694808       0.000000
       0.661000       0.695275       0.000000
       0.662000       0.695738       0.000000
       0.663000       0.696196       0.000000
       0.664000       0.696649       0.000000
       0.665000       0.697094       0.000000
       0.666000       0.697526       0.000000
       0.667000       0.697940       0.000000
       0.668000       0.698339       0.000000
       0.669000       0.698726       0.000000
       0.670000       0.699104       0.000000
       0.671000       0.699476       0.000000
       0.672000       0.699844       0.000000
       0.673000       0.700209       0.000000
       0.674000       0.700568       0.000000
       0.675000       0.700919       0.000000
       0.676000       0.701257       0.000000
       0.677000       0.701585       0.000000
       0.678000       0.701901       0.000000
       0.679000       0.702208       0.000000
       0.680000       0.702505       0.000000
       0.681000       0.702795       0.000000
       0.682000       0.703078       0.000000
       0.683000       0.703354       0.000000
       0.684000       0.703624       0.000000
       0.685000       0.703888       0.000000
       0.686000       0.704145       0.000000
       0.687000       0.704394       0.000000
       0.688000       0.704634       0.000000
       0.689000       0.704864       0.000000
       0.690000       0.705083       0.000000
       0.691000       0.705290       0.000000
       0.692000       0.705486       0.000000
       0.693000       0.705672       0.000000
       0.694000       0.705849       0.000000
       0.695000       0.706019       0.000000
       0.696000       0.706184       0.000000
       0.697000       0.706347       0.000000
       0.698000       0.706505       0.000000
       0.699000       0.706658       0.000000
       0.700000       0.706802       0.000000
       0.701000       0.706937       0.000000
       0.702000       0.707063       0.000000
       0.703000       0.707177       0.000000
       0.704000       0.707284       0.000000
       0.705000       0.707384       0.000000
       0.706000       0.707481       0.000000
       0.707000       0.707575       0.000000
       0.708000       0.707665       0.000000
       0.709000       0.707752       0.000000
       0.710000       0.707834       0.000000
       0.711000       0.707909       0.000000
       0.712000       0.707974       0.000000
       0.713000       0.708031       0.000000
       0.714000       0.708078       0.000000
       0.715000       0.708116       0.000000
       0.716000       0.708146       0.000000
       0.717000       0.708168       0.000000
       0.718000       0.708182       0.000000
       0.719000       0.708188       0.000000
       0.720000       0.708182       0.000000
       0.721000       0.708164       0.000000
       0.722000       0.708134       0.000000
       0.723000       0.708095       0.000000
       0.724000       0.708047       0.000000
       0.725000       0.707991       0.000000
       0.726000       0.707928       0.000000
       0.727000       0.707858       0.000000
       0.728000       0.707780       0.000000
       0.729000       0.707694       0.000000
       0.730000       0.707599       0.000000
       0.731000       0.707497       0.000000
       0.732000       0.707394       0.000000
       0.733000       0.707291       0.000000
       0.734000       0.707193       0.000000
       0.735000       0.707105       0.000000
       0.736000       0.707031       0.000000
       0.737000       0.706966       0.000000
       0.738000       0.706906       0.000000
       0.739000       0.706848       0.000000
       0.740000       0.706791       0.000000
       0.741000       0.706732       0.000000
       0.742000       0.706673       0.000000
       0.743000       0.706615       0.000000
       0.744000       0.706560       0.000000
       0.745000       0.706512       0.000000
       0.746000       0.706473       0.000000
       0.747000       0.706448       0.000000
       0.748000       0.706438       0.000000
       0.749000       0.706447       0.000000
       0.750000       0.706474       0.000000
       0.751000       0.706522       0.000000
       0.752000       0.706591       0.000000
       0.753000       0.706684       0.000000
       0.754000       0.706802       0.000000
       0.755000       0.706939       0.000000
       0.756000       0.707088       0.000000
       0.757000       0.707243       0.000000
       0.758000       0.707394       0.000000
       0.759000       0.707533       0.000000
       0.760000       0.707654       0.000000
       0.761000       0.707759       0.000000
       0.762000       0.707850       0.000000
       0.763000       0.707931       0.000000
       0.764000       0.708005       0.000000
       0.765000       0.708071       0.000000
       0.766000       0.708132       0.000000
       0.767000       0.708188       0.000000
       0.768000       0.708241       0.000000
       0.769000       0.708289       0.000000
       0.770000       0.708330       0.000000
       0.771000       0.708360       0.000000
       0.772000       0.708377       0.000000
       0.773000       0.708384       0.000000
       0.774000       0.708384       0.000000
       0.775000       0.708379       0.000000
       0.776000       0.708372       0.000000
       0.777000       0.708360       0.000000
       0.778000       0.708344       0.000000
       0.779000       0.708326       0.000000
       0.780000       0.708305       0.000000
       0.781000       0.708284       0.000000
       0.782000       0.708259       0.000000
       0.783000       0.708228       0.000000
       0.784000       0.708189       0.000000
       0.785000       0.708147       0.000000
       0.786000       0.708105       0.000000
       0.787000       0.708067       0.000000
       0.788000       0.708033       0.000000
       0.789000       0.707999       0.000000
       0.790000       0.707965       0.000000
       0.791000       0.707925       0.000000
       0.792000       0.707876       0.000000
       0.793000       0.707816       0.000000
       0.794000       0.707749       0.000000
       0.795000       0.707683       0.000000
       0.796000       0.707624       0.000000
       0.797000       0.707568       0.000000
       0.798000       0.707514       0.000000
       0.799000       0.707456       0.000000
       0.800000       0.707393       0.000000
       0.801000       0.707321       0.000000
       0.802000       0.707238       0.000000
       0.803000       0.707147       0.000000
       0.804000       0.707052       0.000000
       0.805000       0.706956       0.000000
