USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Plastic_LDPE GDS406 WhTrnslu W1R1Fa AREF
copy of sprlf02a r 1256                                     
       0.350000       0.047552       0.000000
       0.351000       0.047552       0.000000
       0.352000       0.047552       0.000000
       0.353000       0.047957       0.000000
       0.354000       0.048574       0.000000
       0.355000       0.049288       0.000000
       0.356000       0.050153       0.000000
       0.357000       0.051192       0.000000
       0.358000       0.052413       0.000000
       0.359000       0.053815       0.000000
       0.360000       0.055348       0.000000
       0.361000       0.056929       0.000000
       0.362000       0.058488       0.000000
       0.363000       0.060081       0.000000
       0.364000       0.061841       0.000000
       0.365000       0.063888       0.000000
       0.366000       0.066201       0.000000
       0.367000       0.068677       0.000000
       0.368000       0.071224       0.000000
       0.369000       0.073870       0.000000
       0.370000       0.076715       0.000000
       0.371000       0.079850       0.000000
       0.372000       0.083287       0.000000
       0.373000       0.086989       0.000000
       0.374000       0.090926       0.000000
       0.375000       0.095110       0.000000
       0.376000       0.099585       0.000000
       0.377000       0.104394       0.000000
       0.378000       0.109589       0.000000
       0.379000       0.115231       0.000000
       0.380000       0.121377       0.000000
       0.381000       0.128068       0.000000
       0.382000       0.135337       0.000000
       0.383000       0.143220       0.000000
       0.384000       0.151796       0.000000
       0.385000       0.161172       0.000000
       0.386000       0.171449       0.000000
       0.387000       0.182676       0.000000
       0.388000       0.194874       0.000000
       0.389000       0.208071       0.000000
       0.390000       0.222346       0.000000
       0.391000       0.237812       0.000000
       0.392000       0.254572       0.000000
       0.393000       0.272623       0.000000
       0.394000       0.291901       0.000000
       0.395000       0.312338       0.000000
       0.396000       0.333888       0.000000
       0.397000       0.356506       0.000000
       0.398000       0.380146       0.000000
       0.399000       0.404706       0.000000
       0.400000       0.430049       0.000000
       0.401000       0.456035       0.000000
       0.402000       0.482487       0.000000
       0.403000       0.509203       0.000000
       0.404000       0.535987       0.000000
       0.405000       0.562651       0.000000
       0.406000       0.589022       0.000000
       0.407000       0.614923       0.000000
       0.408000       0.640179       0.000000
       0.409000       0.664617       0.000000
       0.410000       0.688062       0.000000
       0.411000       0.710353       0.000000
       0.412000       0.731335       0.000000
       0.413000       0.750860       0.000000
       0.414000       0.768863       0.000000
       0.415000       0.785322       0.000000
       0.416000       0.800224       0.000000
       0.417000       0.813585       0.000000
       0.418000       0.825439       0.000000
       0.419000       0.835827       0.000000
       0.420000       0.844840       0.000000
       0.421000       0.852597       0.000000
       0.422000       0.859220       0.000000
       0.423000       0.864821       0.000000
       0.424000       0.869506       0.000000
       0.425000       0.873382       0.000000
       0.426000       0.876558       0.000000
       0.427000       0.879140       0.000000
       0.428000       0.881235       0.000000
       0.429000       0.882946       0.000000
       0.430000       0.884370       0.000000
       0.431000       0.885601       0.000000
       0.432000       0.886663       0.000000
       0.433000       0.887543       0.000000
       0.434000       0.888231       0.000000
       0.435000       0.888749       0.000000
       0.436000       0.889136       0.000000
       0.437000       0.889433       0.000000
       0.438000       0.889641       0.000000
       0.439000       0.889746       0.000000
       0.440000       0.889734       0.000000
       0.441000       0.889633       0.000000
       0.442000       0.889494       0.000000
       0.443000       0.889366       0.000000
       0.444000       0.889262       0.000000
       0.445000       0.889179       0.000000
       0.446000       0.889108       0.000000
       0.447000       0.889042       0.000000
       0.448000       0.888967       0.000000
       0.449000       0.888875       0.000000
       0.450000       0.888766       0.000000
       0.451000       0.888650       0.000000
       0.452000       0.888533       0.000000
       0.453000       0.888415       0.000000
       0.454000       0.888289       0.000000
       0.455000       0.888148       0.000000
       0.456000       0.887997       0.000000
       0.457000       0.887844       0.000000
       0.458000       0.887698       0.000000
       0.459000       0.887555       0.000000
       0.460000       0.887401       0.000000
       0.461000       0.887226       0.000000
       0.462000       0.887035       0.000000
       0.463000       0.886842       0.000000
       0.464000       0.886661       0.000000
       0.465000       0.886487       0.000000
       0.466000       0.886305       0.000000
       0.467000       0.886099       0.000000
       0.468000       0.885873       0.000000
       0.469000       0.885638       0.000000
       0.470000       0.885406       0.000000
       0.471000       0.885181       0.000000
       0.472000       0.884960       0.000000
       0.473000       0.884742       0.000000
       0.474000       0.884520       0.000000
       0.475000       0.884289       0.000000
       0.476000       0.884042       0.000000
       0.477000       0.883781       0.000000
       0.478000       0.883516       0.000000
       0.479000       0.883254       0.000000
       0.480000       0.882990       0.000000
       0.481000       0.882714       0.000000
       0.482000       0.882418       0.000000
       0.483000       0.882101       0.000000
       0.484000       0.881770       0.000000
       0.485000       0.881429       0.000000
       0.486000       0.881083       0.000000
       0.487000       0.880733       0.000000
       0.488000       0.880380       0.000000
       0.489000       0.880022       0.000000
       0.490000       0.879655       0.000000
       0.491000       0.879279       0.000000
       0.492000       0.878890       0.000000
       0.493000       0.878488       0.000000
       0.494000       0.878075       0.000000
       0.495000       0.877649       0.000000
       0.496000       0.877214       0.000000
       0.497000       0.876770       0.000000
       0.498000       0.876319       0.000000
       0.499000       0.875864       0.000000
       0.500000       0.875406       0.000000
       0.501000       0.874942       0.000000
       0.502000       0.874468       0.000000
       0.503000       0.873981       0.000000
       0.504000       0.873482       0.000000
       0.505000       0.872977       0.000000
       0.506000       0.872472       0.000000
       0.507000       0.871966       0.000000
       0.508000       0.871455       0.000000
       0.509000       0.870935       0.000000
       0.510000       0.870406       0.000000
       0.511000       0.869870       0.000000
       0.512000       0.869330       0.000000
       0.513000       0.868785       0.000000
       0.514000       0.868237       0.000000
       0.515000       0.867684       0.000000
       0.516000       0.867125       0.000000
       0.517000       0.866558       0.000000
       0.518000       0.865981       0.000000
       0.519000       0.865396       0.000000
       0.520000       0.864809       0.000000
       0.521000       0.864226       0.000000
       0.522000       0.863646       0.000000
       0.523000       0.863066       0.000000
       0.524000       0.862484       0.000000
       0.525000       0.861897       0.000000
       0.526000       0.861304       0.000000
       0.527000       0.860703       0.000000
       0.528000       0.860097       0.000000
       0.529000       0.859486       0.000000
       0.530000       0.858873       0.000000
       0.531000       0.858259       0.000000
       0.532000       0.857644       0.000000
       0.533000       0.857030       0.000000
       0.534000       0.856414       0.000000
       0.535000       0.855794       0.000000
       0.536000       0.855167       0.000000
       0.537000       0.854532       0.000000
       0.538000       0.853887       0.000000
       0.539000       0.853234       0.000000
       0.540000       0.852582       0.000000
       0.541000       0.851950       0.000000
       0.542000       0.851353       0.000000
       0.543000       0.850789       0.000000
       0.544000       0.850245       0.000000
       0.545000       0.849705       0.000000
       0.546000       0.849142       0.000000
       0.547000       0.848523       0.000000
       0.548000       0.847817       0.000000
       0.549000       0.847046       0.000000
       0.550000       0.846264       0.000000
       0.551000       0.845519       0.000000
       0.552000       0.844820       0.000000
       0.553000       0.844150       0.000000
       0.554000       0.843495       0.000000
       0.555000       0.842848       0.000000
       0.556000       0.842205       0.000000
       0.557000       0.841566       0.000000
       0.558000       0.840932       0.000000
       0.559000       0.840309       0.000000
       0.560000       0.839699       0.000000
       0.561000       0.839101       0.000000
       0.562000       0.838510       0.000000
       0.563000       0.837923       0.000000
       0.564000       0.837339       0.000000
       0.565000       0.836760       0.000000
       0.566000       0.836189       0.000000
       0.567000       0.835627       0.000000
       0.568000       0.835079       0.000000
       0.569000       0.834546       0.000000
       0.570000       0.834027       0.000000
       0.571000       0.833519       0.000000
       0.572000       0.833019       0.000000
       0.573000       0.832530       0.000000
       0.574000       0.832059       0.000000
       0.575000       0.831611       0.000000
       0.576000       0.831182       0.000000
       0.577000       0.830763       0.000000
       0.578000       0.830345       0.000000
       0.579000       0.829926       0.000000
       0.580000       0.829510       0.000000
       0.581000       0.829100       0.000000
       0.582000       0.828695       0.000000
       0.583000       0.828294       0.000000
       0.584000       0.827896       0.000000
       0.585000       0.827500       0.000000
       0.586000       0.827108       0.000000
       0.587000       0.826720       0.000000
       0.588000       0.826335       0.000000
       0.589000       0.825950       0.000000
       0.590000       0.825563       0.000000
       0.591000       0.825175       0.000000
       0.592000       0.824790       0.000000
       0.593000       0.824413       0.000000
       0.594000       0.824045       0.000000
       0.595000       0.823690       0.000000
       0.596000       0.823352       0.000000
       0.597000       0.823031       0.000000
       0.598000       0.822731       0.000000
       0.599000       0.822452       0.000000
       0.600000       0.822186       0.000000
       0.601000       0.821920       0.000000
       0.602000       0.821642       0.000000
       0.603000       0.821353       0.000000
       0.604000       0.821064       0.000000
       0.605000       0.820787       0.000000
       0.606000       0.820526       0.000000
       0.607000       0.820286       0.000000
       0.608000       0.820070       0.000000
       0.609000       0.819880       0.000000
       0.610000       0.819719       0.000000
       0.611000       0.819588       0.000000
       0.612000       0.819483       0.000000
       0.613000       0.819396       0.000000
       0.614000       0.819317       0.000000
       0.615000       0.819245       0.000000
       0.616000       0.819183       0.000000
       0.617000       0.819133       0.000000
       0.618000       0.819098       0.000000
       0.619000       0.819082       0.000000
       0.620000       0.819091       0.000000
       0.621000       0.819122       0.000000
       0.622000       0.819174       0.000000
       0.623000       0.819243       0.000000
       0.624000       0.819325       0.000000
       0.625000       0.819412       0.000000
       0.626000       0.819499       0.000000
       0.627000       0.819587       0.000000
       0.628000       0.819681       0.000000
       0.629000       0.819783       0.000000
       0.630000       0.819892       0.000000
       0.631000       0.820003       0.000000
       0.632000       0.820112       0.000000
       0.633000       0.820222       0.000000
       0.634000       0.820342       0.000000
       0.635000       0.820478       0.000000
       0.636000       0.820628       0.000000
       0.637000       0.820784       0.000000
       0.638000       0.820938       0.000000
       0.639000       0.821090       0.000000
       0.640000       0.821247       0.000000
       0.641000       0.821415       0.000000
       0.642000       0.821591       0.000000
       0.643000       0.821774       0.000000
       0.644000       0.821959       0.000000
       0.645000       0.822144       0.000000
       0.646000       0.822324       0.000000
       0.647000       0.822500       0.000000
       0.648000       0.822674       0.000000
       0.649000       0.822856       0.000000
       0.650000       0.823054       0.000000
       0.651000       0.823271       0.000000
       0.652000       0.823505       0.000000
       0.653000       0.823755       0.000000
       0.654000       0.824020       0.000000
       0.655000       0.824296       0.000000
       0.656000       0.824581       0.000000
       0.657000       0.824870       0.000000
       0.658000       0.825159       0.000000
       0.659000       0.825445       0.000000
       0.660000       0.825724       0.000000
       0.661000       0.825997       0.000000
       0.662000       0.826264       0.000000
       0.663000       0.826528       0.000000
       0.664000       0.826798       0.000000
       0.665000       0.827079       0.000000
       0.666000       0.827367       0.000000
       0.667000       0.827651       0.000000
       0.668000       0.827920       0.000000
       0.669000       0.828175       0.000000
       0.670000       0.828424       0.000000
       0.671000       0.828676       0.000000
       0.672000       0.828934       0.000000
       0.673000       0.829195       0.000000
       0.674000       0.829461       0.000000
       0.675000       0.829732       0.000000
       0.676000       0.830011       0.000000
       0.677000       0.830297       0.000000
       0.678000       0.830584       0.000000
       0.679000       0.830859       0.000000
       0.680000       0.831113       0.000000
       0.681000       0.831350       0.000000
       0.682000       0.831584       0.000000
       0.683000       0.831828       0.000000
       0.684000       0.832081       0.000000
       0.685000       0.832328       0.000000
       0.686000       0.832559       0.000000
       0.687000       0.832771       0.000000
       0.688000       0.832968       0.000000
       0.689000       0.833154       0.000000
       0.690000       0.833332       0.000000
       0.691000       0.833507       0.000000
       0.692000       0.833684       0.000000
       0.693000       0.833860       0.000000
       0.694000       0.834034       0.000000
       0.695000       0.834201       0.000000
       0.696000       0.834363       0.000000
       0.697000       0.834525       0.000000
       0.698000       0.834689       0.000000
       0.699000       0.834854       0.000000
       0.700000       0.835017       0.000000
       0.701000       0.835172       0.000000
       0.702000       0.835318       0.000000
       0.703000       0.835453       0.000000
       0.704000       0.835576       0.000000
       0.705000       0.835687       0.000000
       0.706000       0.835790       0.000000
       0.707000       0.835888       0.000000
       0.708000       0.835978       0.000000
       0.709000       0.836053       0.000000
       0.710000       0.836107       0.000000
       0.711000       0.836146       0.000000
       0.712000       0.836180       0.000000
       0.713000       0.836219       0.000000
       0.714000       0.836262       0.000000
       0.715000       0.836303       0.000000
       0.716000       0.836335       0.000000
       0.717000       0.836356       0.000000
       0.718000       0.836366       0.000000
       0.719000       0.836366       0.000000
       0.720000       0.836354       0.000000
       0.721000       0.836332       0.000000
       0.722000       0.836300       0.000000
       0.723000       0.836257       0.000000
       0.724000       0.836204       0.000000
       0.725000       0.836140       0.000000
       0.726000       0.836069       0.000000
       0.727000       0.835998       0.000000
       0.728000       0.835930       0.000000
       0.729000       0.835863       0.000000
       0.730000       0.835789       0.000000
       0.731000       0.835701       0.000000
       0.732000       0.835600       0.000000
       0.733000       0.835497       0.000000
       0.734000       0.835399       0.000000
       0.735000       0.835305       0.000000
       0.736000       0.835211       0.000000
       0.737000       0.835114       0.000000
       0.738000       0.835008       0.000000
       0.739000       0.834886       0.000000
       0.740000       0.834743       0.000000
       0.741000       0.834580       0.000000
       0.742000       0.834403       0.000000
       0.743000       0.834216       0.000000
       0.744000       0.834020       0.000000
       0.745000       0.833811       0.000000
       0.746000       0.833586       0.000000
       0.747000       0.833340       0.000000
       0.748000       0.833070       0.000000
       0.749000       0.832770       0.000000
       0.750000       0.832446       0.000000
       0.751000       0.832108       0.000000
       0.752000       0.831767       0.000000
       0.753000       0.831426       0.000000
       0.754000       0.831086       0.000000
       0.755000       0.830747       0.000000
       0.756000       0.830404       0.000000
       0.757000       0.830048       0.000000
       0.758000       0.829672       0.000000
       0.759000       0.829291       0.000000
       0.760000       0.828932       0.000000
       0.761000       0.828622       0.000000
       0.762000       0.828383       0.000000
       0.763000       0.828235       0.000000
       0.764000       0.828195       0.000000
       0.765000       0.828255       0.000000
       0.766000       0.828395       0.000000
       0.767000       0.828592       0.000000
       0.768000       0.828821       0.000000
       0.769000       0.829052       0.000000
       0.770000       0.829260       0.000000
       0.771000       0.829435       0.000000
       0.772000       0.829578       0.000000
       0.773000       0.829690       0.000000
       0.774000       0.829772       0.000000
       0.775000       0.829826       0.000000
       0.776000       0.829855       0.000000
       0.777000       0.829857       0.000000
       0.778000       0.829832       0.000000
       0.779000       0.829778       0.000000
       0.780000       0.829700       0.000000
       0.781000       0.829607       0.000000
       0.782000       0.829505       0.000000
       0.783000       0.829396       0.000000
       0.784000       0.829279       0.000000
       0.785000       0.829153       0.000000
       0.786000       0.829019       0.000000
       0.787000       0.828879       0.000000
       0.788000       0.828735       0.000000
       0.789000       0.828591       0.000000
       0.790000       0.828450       0.000000
       0.791000       0.828317       0.000000
       0.792000       0.828185       0.000000
       0.793000       0.828047       0.000000
       0.794000       0.827894       0.000000
       0.795000       0.827728       0.000000
       0.796000       0.827554       0.000000
       0.797000       0.827379       0.000000
       0.798000       0.827208       0.000000
       0.799000       0.827042       0.000000
       0.800000       0.826883       0.000000
       0.801000       0.826729       0.000000
       0.802000       0.826575       0.000000
       0.803000       0.826415       0.000000
       0.804000       0.826252       0.000000
       0.805000       0.826094       0.000000
