USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Plastic_HDPE GDS391 Blu-Grn  W1R1Fa AREF
copy of splib05a r 10211                                    
       0.350000       0.070182       0.000000
       0.351000       0.070182       0.000000
       0.352000       0.070329       0.000000
       0.353000       0.070491       0.000000
       0.354000       0.070679       0.000000
       0.355000       0.070902       0.000000
       0.356000       0.071147       0.000000
       0.357000       0.071394       0.000000
       0.358000       0.071634       0.000000
       0.359000       0.071880       0.000000
       0.360000       0.072156       0.000000
       0.361000       0.072483       0.000000
       0.362000       0.072874       0.000000
       0.363000       0.073343       0.000000
       0.364000       0.073899       0.000000
       0.365000       0.074531       0.000000
       0.366000       0.075224       0.000000
       0.367000       0.075965       0.000000
       0.368000       0.076754       0.000000
       0.369000       0.077596       0.000000
       0.370000       0.078493       0.000000
       0.371000       0.079441       0.000000
       0.372000       0.080438       0.000000
       0.373000       0.081483       0.000000
       0.374000       0.082592       0.000000
       0.375000       0.083785       0.000000
       0.376000       0.085071       0.000000
       0.377000       0.086427       0.000000
       0.378000       0.087820       0.000000
       0.379000       0.089222       0.000000
       0.380000       0.090638       0.000000
       0.381000       0.092077       0.000000
       0.382000       0.093546       0.000000
       0.383000       0.095038       0.000000
       0.384000       0.096543       0.000000
       0.385000       0.098047       0.000000
       0.386000       0.099529       0.000000
       0.387000       0.100964       0.000000
       0.388000       0.102336       0.000000
       0.389000       0.103671       0.000000
       0.390000       0.105005       0.000000
       0.391000       0.106365       0.000000
       0.392000       0.107740       0.000000
       0.393000       0.109110       0.000000
       0.394000       0.110460       0.000000
       0.395000       0.111789       0.000000
       0.396000       0.113103       0.000000
       0.397000       0.114405       0.000000
       0.398000       0.115694       0.000000
       0.399000       0.116967       0.000000
       0.400000       0.118222       0.000000
       0.401000       0.119468       0.000000
       0.402000       0.120713       0.000000
       0.403000       0.121965       0.000000
       0.404000       0.123218       0.000000
       0.405000       0.124466       0.000000
       0.406000       0.125703       0.000000
       0.407000       0.126929       0.000000
       0.408000       0.128148       0.000000
       0.409000       0.129362       0.000000
       0.410000       0.130580       0.000000
       0.411000       0.131812       0.000000
       0.412000       0.133062       0.000000
       0.413000       0.134328       0.000000
       0.414000       0.135600       0.000000
       0.415000       0.136874       0.000000
       0.416000       0.138150       0.000000
       0.417000       0.139430       0.000000
       0.418000       0.140715       0.000000
       0.419000       0.142006       0.000000
       0.420000       0.143306       0.000000
       0.421000       0.144614       0.000000
       0.422000       0.145938       0.000000
       0.423000       0.147284       0.000000
       0.424000       0.148659       0.000000
       0.425000       0.150071       0.000000
       0.426000       0.151526       0.000000
       0.427000       0.153029       0.000000
       0.428000       0.154574       0.000000
       0.429000       0.156153       0.000000
       0.430000       0.157759       0.000000
       0.431000       0.159389       0.000000
       0.432000       0.161041       0.000000
       0.433000       0.162714       0.000000
       0.434000       0.164400       0.000000
       0.435000       0.166094       0.000000
       0.436000       0.167790       0.000000
       0.437000       0.169489       0.000000
       0.438000       0.171195       0.000000
       0.439000       0.172914       0.000000
       0.440000       0.174665       0.000000
       0.441000       0.176469       0.000000
       0.442000       0.178346       0.000000
       0.443000       0.180304       0.000000
       0.444000       0.182351       0.000000
       0.445000       0.184488       0.000000
       0.446000       0.186714       0.000000
       0.447000       0.189021       0.000000
       0.448000       0.191403       0.000000
       0.449000       0.193842       0.000000
       0.450000       0.196318       0.000000
       0.451000       0.198816       0.000000
       0.452000       0.201328       0.000000
       0.453000       0.203849       0.000000
       0.454000       0.206376       0.000000
       0.455000       0.208923       0.000000
       0.456000       0.211505       0.000000
       0.457000       0.214134       0.000000
       0.458000       0.216811       0.000000
       0.459000       0.219531       0.000000
       0.460000       0.222289       0.000000
       0.461000       0.225070       0.000000
       0.462000       0.227858       0.000000
       0.463000       0.230637       0.000000
       0.464000       0.233386       0.000000
       0.465000       0.236086       0.000000
       0.466000       0.238721       0.000000
       0.467000       0.241279       0.000000
       0.468000       0.243754       0.000000
       0.469000       0.246140       0.000000
       0.470000       0.248438       0.000000
       0.471000       0.250650       0.000000
       0.472000       0.252781       0.000000
       0.473000       0.254835       0.000000
       0.474000       0.256818       0.000000
       0.475000       0.258736       0.000000
       0.476000       0.260598       0.000000
       0.477000       0.262412       0.000000
       0.478000       0.264186       0.000000
       0.479000       0.265919       0.000000
       0.480000       0.267607       0.000000
       0.481000       0.269247       0.000000
       0.482000       0.270834       0.000000
       0.483000       0.272360       0.000000
       0.484000       0.273821       0.000000
       0.485000       0.275216       0.000000
       0.486000       0.276546       0.000000
       0.487000       0.277811       0.000000
       0.488000       0.279007       0.000000
       0.489000       0.280129       0.000000
       0.490000       0.281173       0.000000
       0.491000       0.282140       0.000000
       0.492000       0.283033       0.000000
       0.493000       0.283854       0.000000
       0.494000       0.284601       0.000000
       0.495000       0.285271       0.000000
       0.496000       0.285863       0.000000
       0.497000       0.286372       0.000000
       0.498000       0.286796       0.000000
       0.499000       0.287133       0.000000
       0.500000       0.287384       0.000000
       0.501000       0.287553       0.000000
       0.502000       0.287640       0.000000
       0.503000       0.287645       0.000000
       0.504000       0.287565       0.000000
       0.505000       0.287401       0.000000
       0.506000       0.287157       0.000000
       0.507000       0.286837       0.000000
       0.508000       0.286445       0.000000
       0.509000       0.285984       0.000000
       0.510000       0.285455       0.000000
       0.511000       0.284858       0.000000
       0.512000       0.284194       0.000000
       0.513000       0.283463       0.000000
       0.514000       0.282664       0.000000
       0.515000       0.281802       0.000000
       0.516000       0.280878       0.000000
       0.517000       0.279895       0.000000
       0.518000       0.278856       0.000000
       0.519000       0.277758       0.000000
       0.520000       0.276604       0.000000
       0.521000       0.275395       0.000000
       0.522000       0.274134       0.000000
       0.523000       0.272822       0.000000
       0.524000       0.271461       0.000000
       0.525000       0.270051       0.000000
       0.526000       0.268591       0.000000
       0.527000       0.267080       0.000000
       0.528000       0.265519       0.000000
       0.529000       0.263907       0.000000
       0.530000       0.262244       0.000000
       0.531000       0.260530       0.000000
       0.532000       0.258766       0.000000
       0.533000       0.256951       0.000000
       0.534000       0.255088       0.000000
       0.535000       0.253174       0.000000
       0.536000       0.251210       0.000000
       0.537000       0.249194       0.000000
       0.538000       0.247127       0.000000
       0.539000       0.245006       0.000000
       0.540000       0.242830       0.000000
       0.541000       0.240598       0.000000
       0.542000       0.238309       0.000000
       0.543000       0.235959       0.000000
       0.544000       0.233549       0.000000
       0.545000       0.231080       0.000000
       0.546000       0.228552       0.000000
       0.547000       0.225966       0.000000
       0.548000       0.223327       0.000000
       0.549000       0.220637       0.000000
       0.550000       0.217898       0.000000
       0.551000       0.215111       0.000000
       0.552000       0.212278       0.000000
       0.553000       0.209401       0.000000
       0.554000       0.206487       0.000000
       0.555000       0.203541       0.000000
       0.556000       0.200573       0.000000
       0.557000       0.197589       0.000000
       0.558000       0.194597       0.000000
       0.559000       0.191604       0.000000
       0.560000       0.188620       0.000000
       0.561000       0.185653       0.000000
       0.562000       0.182712       0.000000
       0.563000       0.179806       0.000000
       0.564000       0.176947       0.000000
       0.565000       0.174143       0.000000
       0.566000       0.171397       0.000000
       0.567000       0.168710       0.000000
       0.568000       0.166086       0.000000
       0.569000       0.163521       0.000000
       0.570000       0.161014       0.000000
       0.571000       0.158562       0.000000
       0.572000       0.156159       0.000000
       0.573000       0.153802       0.000000
       0.574000       0.151485       0.000000
       0.575000       0.149202       0.000000
       0.576000       0.146944       0.000000
       0.577000       0.144704       0.000000
       0.578000       0.142476       0.000000
       0.579000       0.140253       0.000000
       0.580000       0.138030       0.000000
       0.581000       0.135801       0.000000
       0.582000       0.133561       0.000000
       0.583000       0.131306       0.000000
       0.584000       0.129029       0.000000
       0.585000       0.126726       0.000000
       0.586000       0.124392       0.000000
       0.587000       0.122026       0.000000
       0.588000       0.119629       0.000000
       0.589000       0.117202       0.000000
       0.590000       0.114752       0.000000
       0.591000       0.112289       0.000000
       0.592000       0.109822       0.000000
       0.593000       0.107360       0.000000
       0.594000       0.104915       0.000000
       0.595000       0.102494       0.000000
       0.596000       0.100108       0.000000
       0.597000       0.097767       0.000000
       0.598000       0.095481       0.000000
       0.599000       0.093260       0.000000
       0.600000       0.091114       0.000000
       0.601000       0.089053       0.000000
       0.602000       0.087082       0.000000
       0.603000       0.085206       0.000000
       0.604000       0.083430       0.000000
       0.605000       0.081761       0.000000
       0.606000       0.080207       0.000000
       0.607000       0.078774       0.000000
       0.608000       0.077460       0.000000
       0.609000       0.076261       0.000000
       0.610000       0.075171       0.000000
       0.611000       0.074185       0.000000
       0.612000       0.073296       0.000000
       0.613000       0.072497       0.000000
       0.614000       0.071786       0.000000
       0.615000       0.071161       0.000000
       0.616000       0.070621       0.000000
       0.617000       0.070160       0.000000
       0.618000       0.069774       0.000000
       0.619000       0.069457       0.000000
       0.620000       0.069204       0.000000
       0.621000       0.069009       0.000000
       0.622000       0.068870       0.000000
       0.623000       0.068782       0.000000
       0.624000       0.068742       0.000000
       0.625000       0.068749       0.000000
       0.626000       0.068798       0.000000
       0.627000       0.068886       0.000000
       0.628000       0.069010       0.000000
       0.629000       0.069162       0.000000
       0.630000       0.069337       0.000000
       0.631000       0.069528       0.000000
       0.632000       0.069733       0.000000
       0.633000       0.069949       0.000000
       0.634000       0.070176       0.000000
       0.635000       0.070410       0.000000
       0.636000       0.070651       0.000000
       0.637000       0.070898       0.000000
       0.638000       0.071149       0.000000
       0.639000       0.071406       0.000000
       0.640000       0.071667       0.000000
       0.641000       0.071937       0.000000
       0.642000       0.072220       0.000000
       0.643000       0.072518       0.000000
       0.644000       0.072835       0.000000
       0.645000       0.073175       0.000000
       0.646000       0.073541       0.000000
       0.647000       0.073936       0.000000
       0.648000       0.074365       0.000000
       0.649000       0.074832       0.000000
       0.650000       0.075343       0.000000
       0.651000       0.075904       0.000000
       0.652000       0.076521       0.000000
       0.653000       0.077197       0.000000
       0.654000       0.077931       0.000000
       0.655000       0.078725       0.000000
       0.656000       0.079580       0.000000
       0.657000       0.080496       0.000000
       0.658000       0.081473       0.000000
       0.659000       0.082509       0.000000
       0.660000       0.083600       0.000000
       0.661000       0.084743       0.000000
       0.662000       0.085932       0.000000
       0.663000       0.087160       0.000000
       0.664000       0.088422       0.000000
       0.665000       0.089710       0.000000
       0.666000       0.091018       0.000000
       0.667000       0.092337       0.000000
       0.668000       0.093663       0.000000
       0.669000       0.094990       0.000000
       0.670000       0.096313       0.000000
       0.671000       0.097630       0.000000
       0.672000       0.098943       0.000000
       0.673000       0.100250       0.000000
       0.674000       0.101547       0.000000
       0.675000       0.102827       0.000000
       0.676000       0.104085       0.000000
       0.677000       0.105315       0.000000
       0.678000       0.106509       0.000000
       0.679000       0.107663       0.000000
       0.680000       0.108778       0.000000
       0.681000       0.109857       0.000000
       0.682000       0.110904       0.000000
       0.683000       0.111923       0.000000
       0.684000       0.112919       0.000000
       0.685000       0.113896       0.000000
       0.686000       0.114859       0.000000
       0.687000       0.115813       0.000000
       0.688000       0.116761       0.000000
       0.689000       0.117707       0.000000
       0.690000       0.118653       0.000000
       0.691000       0.119600       0.000000
       0.692000       0.120547       0.000000
       0.693000       0.121494       0.000000
       0.694000       0.122439       0.000000
       0.695000       0.123380       0.000000
       0.696000       0.124315       0.000000
       0.697000       0.125243       0.000000
       0.698000       0.126158       0.000000
       0.699000       0.127054       0.000000
       0.700000       0.127923       0.000000
       0.701000       0.128760       0.000000
       0.702000       0.129555       0.000000
       0.703000       0.130303       0.000000
       0.704000       0.130996       0.000000
       0.705000       0.131631       0.000000
       0.706000       0.132203       0.000000
       0.707000       0.132707       0.000000
       0.708000       0.133139       0.000000
       0.709000       0.133496       0.000000
       0.710000       0.133778       0.000000
       0.711000       0.133984       0.000000
       0.712000       0.134116       0.000000
       0.713000       0.134179       0.000000
       0.714000       0.134181       0.000000
       0.715000       0.134131       0.000000
       0.716000       0.134040       0.000000
       0.717000       0.133922       0.000000
       0.718000       0.133791       0.000000
       0.719000       0.133662       0.000000
       0.720000       0.133549       0.000000
       0.721000       0.133467       0.000000
       0.722000       0.133431       0.000000
       0.723000       0.133454       0.000000
       0.724000       0.133549       0.000000
       0.725000       0.133729       0.000000
       0.726000       0.134008       0.000000
       0.727000       0.134397       0.000000
       0.728000       0.134902       0.000000
       0.729000       0.135528       0.000000
       0.730000       0.136280       0.000000
       0.731000       0.137160       0.000000
       0.732000       0.138169       0.000000
       0.733000       0.139309       0.000000
       0.734000       0.140579       0.000000
       0.735000       0.141982       0.000000
       0.736000       0.143515       0.000000
       0.737000       0.145174       0.000000
       0.738000       0.146950       0.000000
       0.739000       0.148836       0.000000
       0.740000       0.150825       0.000000
       0.741000       0.152909       0.000000
       0.742000       0.155079       0.000000
       0.743000       0.157324       0.000000
       0.744000       0.159633       0.000000
       0.745000       0.161992       0.000000
       0.746000       0.164390       0.000000
       0.747000       0.166814       0.000000
       0.748000       0.169249       0.000000
       0.749000       0.171687       0.000000
       0.750000       0.174117       0.000000
       0.751000       0.176530       0.000000
       0.752000       0.178917       0.000000
       0.753000       0.181273       0.000000
       0.754000       0.183591       0.000000
       0.755000       0.185861       0.000000
       0.756000       0.188077       0.000000
       0.757000       0.190231       0.000000
       0.758000       0.192318       0.000000
       0.759000       0.194333       0.000000
       0.760000       0.196271       0.000000
       0.761000       0.198131       0.000000
       0.762000       0.199909       0.000000
       0.763000       0.201606       0.000000
       0.764000       0.203219       0.000000
       0.765000       0.204746       0.000000
       0.766000       0.206188       0.000000
       0.767000       0.207544       0.000000
       0.768000       0.208817       0.000000
       0.769000       0.210010       0.000000
       0.770000       0.211130       0.000000
       0.771000       0.212183       0.000000
       0.772000       0.213178       0.000000
       0.773000       0.214120       0.000000
       0.774000       0.215015       0.000000
       0.775000       0.215866       0.000000
       0.776000       0.216685       0.000000
       0.777000       0.217480       0.000000
       0.778000       0.218263       0.000000
       0.779000       0.219043       0.000000
       0.780000       0.219832       0.000000
       0.781000       0.220639       0.000000
       0.782000       0.221474       0.000000
       0.783000       0.222344       0.000000
       0.784000       0.223257       0.000000
       0.785000       0.224219       0.000000
       0.786000       0.225236       0.000000
       0.787000       0.226312       0.000000
       0.788000       0.227450       0.000000
       0.789000       0.228655       0.000000
       0.790000       0.229926       0.000000
       0.791000       0.231262       0.000000
       0.792000       0.232660       0.000000
       0.793000       0.234117       0.000000
       0.794000       0.235632       0.000000
       0.795000       0.237203       0.000000
       0.796000       0.238828       0.000000
       0.797000       0.240503       0.000000
       0.798000       0.242223       0.000000
       0.799000       0.243984       0.000000
       0.800000       0.245779       0.000000
       0.801000       0.247600       0.000000
       0.802000       0.249441       0.000000
       0.803000       0.251298       0.000000
       0.804000       0.253167       0.000000
       0.805000       0.255045       0.000000
