USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sheet_Metal GDS352 crg Galvn W1R1Fa AREF
copy of sprlf02a r 1262                                     
       0.350000       0.293074       0.000000
       0.351000       0.293074       0.000000
       0.352000       0.293074       0.000000
       0.353000       0.293072       0.000000
       0.354000       0.293072       0.000000
       0.355000       0.293076       0.000000
       0.356000       0.293087       0.000000
       0.357000       0.293100       0.000000
       0.358000       0.293107       0.000000
       0.359000       0.293103       0.000000
       0.360000       0.293114       0.000000
       0.361000       0.293180       0.000000
       0.362000       0.293339       0.000000
       0.363000       0.293569       0.000000
       0.364000       0.293815       0.000000
       0.365000       0.294023       0.000000
       0.366000       0.294182       0.000000
       0.367000       0.294304       0.000000
       0.368000       0.294401       0.000000
       0.369000       0.294481       0.000000
       0.370000       0.294546       0.000000
       0.371000       0.294601       0.000000
       0.372000       0.294647       0.000000
       0.373000       0.294682       0.000000
       0.374000       0.294705       0.000000
       0.375000       0.294711       0.000000
       0.376000       0.294693       0.000000
       0.377000       0.294647       0.000000
       0.378000       0.294575       0.000000
       0.379000       0.294488       0.000000
       0.380000       0.294395       0.000000
       0.381000       0.294301       0.000000
       0.382000       0.294206       0.000000
       0.383000       0.294112       0.000000
       0.384000       0.294024       0.000000
       0.385000       0.293946       0.000000
       0.386000       0.293883       0.000000
       0.387000       0.293830       0.000000
       0.388000       0.293777       0.000000
       0.389000       0.293715       0.000000
       0.390000       0.293647       0.000000
       0.391000       0.293581       0.000000
       0.392000       0.293525       0.000000
       0.393000       0.293486       0.000000
       0.394000       0.293466       0.000000
       0.395000       0.293469       0.000000
       0.396000       0.293483       0.000000
       0.397000       0.293488       0.000000
       0.398000       0.293469       0.000000
       0.399000       0.293434       0.000000
       0.400000       0.293408       0.000000
       0.401000       0.293413       0.000000
       0.402000       0.293443       0.000000
       0.403000       0.293475       0.000000
       0.404000       0.293487       0.000000
       0.405000       0.293484       0.000000
       0.406000       0.293484       0.000000
       0.407000       0.293506       0.000000
       0.408000       0.293549       0.000000
       0.409000       0.293603       0.000000
       0.410000       0.293660       0.000000
       0.411000       0.293710       0.000000
       0.412000       0.293748       0.000000
       0.413000       0.293770       0.000000
       0.414000       0.293783       0.000000
       0.415000       0.293805       0.000000
       0.416000       0.293849       0.000000
       0.417000       0.293917       0.000000
       0.418000       0.293998       0.000000
       0.419000       0.294082       0.000000
       0.420000       0.294164       0.000000
       0.421000       0.294244       0.000000
       0.422000       0.294318       0.000000
       0.423000       0.294392       0.000000
       0.424000       0.294476       0.000000
       0.425000       0.294575       0.000000
       0.426000       0.294687       0.000000
       0.427000       0.294802       0.000000
       0.428000       0.294909       0.000000
       0.429000       0.295010       0.000000
       0.430000       0.295110       0.000000
       0.431000       0.295215       0.000000
       0.432000       0.295324       0.000000
       0.433000       0.295434       0.000000
       0.434000       0.295539       0.000000
       0.435000       0.295641       0.000000
       0.436000       0.295743       0.000000
       0.437000       0.295846       0.000000
       0.438000       0.295952       0.000000
       0.439000       0.296058       0.000000
       0.440000       0.296160       0.000000
       0.441000       0.296259       0.000000
       0.442000       0.296355       0.000000
       0.443000       0.296449       0.000000
       0.444000       0.296540       0.000000
       0.445000       0.296631       0.000000
       0.446000       0.296720       0.000000
       0.447000       0.296808       0.000000
       0.448000       0.296893       0.000000
       0.449000       0.296974       0.000000
       0.450000       0.297047       0.000000
       0.451000       0.297108       0.000000
       0.452000       0.297151       0.000000
       0.453000       0.297182       0.000000
       0.454000       0.297211       0.000000
       0.455000       0.297250       0.000000
       0.456000       0.297301       0.000000
       0.457000       0.297360       0.000000
       0.458000       0.297426       0.000000
       0.459000       0.297488       0.000000
       0.460000       0.297538       0.000000
       0.461000       0.297563       0.000000
       0.462000       0.297570       0.000000
       0.463000       0.297570       0.000000
       0.464000       0.297578       0.000000
       0.465000       0.297598       0.000000
       0.466000       0.297633       0.000000
       0.467000       0.297682       0.000000
       0.468000       0.297733       0.000000
       0.469000       0.297766       0.000000
       0.470000       0.297762       0.000000
       0.471000       0.297717       0.000000
       0.472000       0.297636       0.000000
       0.473000       0.297526       0.000000
       0.474000       0.297404       0.000000
       0.475000       0.297293       0.000000
       0.476000       0.297215       0.000000
       0.477000       0.297166       0.000000
       0.478000       0.297127       0.000000
       0.479000       0.297079       0.000000
       0.480000       0.297023       0.000000
       0.481000       0.296968       0.000000
       0.482000       0.296922       0.000000
       0.483000       0.296883       0.000000
       0.484000       0.296843       0.000000
       0.485000       0.296793       0.000000
       0.486000       0.296735       0.000000
       0.487000       0.296677       0.000000
       0.488000       0.296626       0.000000
       0.489000       0.296582       0.000000
       0.490000       0.296538       0.000000
       0.491000       0.296489       0.000000
       0.492000       0.296436       0.000000
       0.493000       0.296383       0.000000
       0.494000       0.296335       0.000000
       0.495000       0.296287       0.000000
       0.496000       0.296232       0.000000
       0.497000       0.296163       0.000000
       0.498000       0.296085       0.000000
       0.499000       0.296009       0.000000
       0.500000       0.295945       0.000000
       0.501000       0.295891       0.000000
       0.502000       0.295834       0.000000
       0.503000       0.295764       0.000000
       0.504000       0.295684       0.000000
       0.505000       0.295604       0.000000
       0.506000       0.295533       0.000000
       0.507000       0.295471       0.000000
       0.508000       0.295411       0.000000
       0.509000       0.295345       0.000000
       0.510000       0.295274       0.000000
       0.511000       0.295202       0.000000
       0.512000       0.295133       0.000000
       0.513000       0.295065       0.000000
       0.514000       0.294992       0.000000
       0.515000       0.294909       0.000000
       0.516000       0.294818       0.000000
       0.517000       0.294722       0.000000
       0.518000       0.294626       0.000000
       0.519000       0.294531       0.000000
       0.520000       0.294432       0.000000
       0.521000       0.294329       0.000000
       0.522000       0.294224       0.000000
       0.523000       0.294127       0.000000
       0.524000       0.294044       0.000000
       0.525000       0.293973       0.000000
       0.526000       0.293911       0.000000
       0.527000       0.293850       0.000000
       0.528000       0.293785       0.000000
       0.529000       0.293711       0.000000
       0.530000       0.293622       0.000000
       0.531000       0.293519       0.000000
       0.532000       0.293405       0.000000
       0.533000       0.293283       0.000000
       0.534000       0.293159       0.000000
       0.535000       0.293037       0.000000
       0.536000       0.292922       0.000000
       0.537000       0.292811       0.000000
       0.538000       0.292698       0.000000
       0.539000       0.292578       0.000000
       0.540000       0.292452       0.000000
       0.541000       0.292327       0.000000
       0.542000       0.292208       0.000000
       0.543000       0.292092       0.000000
       0.544000       0.291972       0.000000
       0.545000       0.291842       0.000000
       0.546000       0.291703       0.000000
       0.547000       0.291560       0.000000
       0.548000       0.291418       0.000000
       0.549000       0.291278       0.000000
       0.550000       0.291136       0.000000
       0.551000       0.290990       0.000000
       0.552000       0.290837       0.000000
       0.553000       0.290677       0.000000
       0.554000       0.290509       0.000000
       0.555000       0.290336       0.000000
       0.556000       0.290165       0.000000
       0.557000       0.289999       0.000000
       0.558000       0.289839       0.000000
       0.559000       0.289681       0.000000
       0.560000       0.289521       0.000000
       0.561000       0.289358       0.000000
       0.562000       0.289191       0.000000
       0.563000       0.289019       0.000000
       0.564000       0.288842       0.000000
       0.565000       0.288658       0.000000
       0.566000       0.288467       0.000000
       0.567000       0.288264       0.000000
       0.568000       0.288040       0.000000
       0.569000       0.287788       0.000000
       0.570000       0.287513       0.000000
       0.571000       0.287225       0.000000
       0.572000       0.286935       0.000000
       0.573000       0.286640       0.000000
       0.574000       0.286326       0.000000
       0.575000       0.285985       0.000000
       0.576000       0.285614       0.000000
       0.577000       0.285218       0.000000
       0.578000       0.284801       0.000000
       0.579000       0.284367       0.000000
       0.580000       0.283919       0.000000
       0.581000       0.283460       0.000000
       0.582000       0.283007       0.000000
       0.583000       0.282583       0.000000
       0.584000       0.282208       0.000000
       0.585000       0.281887       0.000000
       0.586000       0.281611       0.000000
       0.587000       0.281371       0.000000
       0.588000       0.281159       0.000000
       0.589000       0.280962       0.000000
       0.590000       0.280770       0.000000
       0.591000       0.280578       0.000000
       0.592000       0.280389       0.000000
       0.593000       0.280205       0.000000
       0.594000       0.280022       0.000000
       0.595000       0.279837       0.000000
       0.596000       0.279647       0.000000
       0.597000       0.279455       0.000000
       0.598000       0.279264       0.000000
       0.599000       0.279082       0.000000
       0.600000       0.278920       0.000000
       0.601000       0.278795       0.000000
       0.602000       0.278722       0.000000
       0.603000       0.278685       0.000000
       0.604000       0.278650       0.000000
       0.605000       0.278588       0.000000
       0.606000       0.278487       0.000000
       0.607000       0.278350       0.000000
       0.608000       0.278178       0.000000
       0.609000       0.277973       0.000000
       0.610000       0.277733       0.000000
       0.611000       0.277461       0.000000
       0.612000       0.277167       0.000000
       0.613000       0.276868       0.000000
       0.614000       0.276578       0.000000
       0.615000       0.276297       0.000000
       0.616000       0.276017       0.000000
       0.617000       0.275730       0.000000
       0.618000       0.275432       0.000000
       0.619000       0.275124       0.000000
       0.620000       0.274806       0.000000
       0.621000       0.274483       0.000000
       0.622000       0.274163       0.000000
       0.623000       0.273854       0.000000
       0.624000       0.273571       0.000000
       0.625000       0.273333       0.000000
       0.626000       0.273156       0.000000
       0.627000       0.273031       0.000000
       0.628000       0.272934       0.000000
       0.629000       0.272841       0.000000
       0.630000       0.272734       0.000000
       0.631000       0.272595       0.000000
       0.632000       0.272409       0.000000
       0.633000       0.272178       0.000000
       0.634000       0.271913       0.000000
       0.635000       0.271623       0.000000
       0.636000       0.271314       0.000000
       0.637000       0.270984       0.000000
       0.638000       0.270637       0.000000
       0.639000       0.270287       0.000000
       0.640000       0.269953       0.000000
       0.641000       0.269656       0.000000
       0.642000       0.269392       0.000000
       0.643000       0.269148       0.000000
       0.644000       0.268910       0.000000
       0.645000       0.268677       0.000000
       0.646000       0.268457       0.000000
       0.647000       0.268256       0.000000
       0.648000       0.268072       0.000000
       0.649000       0.267901       0.000000
       0.650000       0.267736       0.000000
       0.651000       0.267574       0.000000
       0.652000       0.267413       0.000000
       0.653000       0.267252       0.000000
       0.654000       0.267092       0.000000
       0.655000       0.266934       0.000000
       0.656000       0.266779       0.000000
       0.657000       0.266626       0.000000
       0.658000       0.266472       0.000000
       0.659000       0.266314       0.000000
       0.660000       0.266152       0.000000
       0.661000       0.265993       0.000000
       0.662000       0.265839       0.000000
       0.663000       0.265688       0.000000
       0.664000       0.265535       0.000000
       0.665000       0.265374       0.000000
       0.666000       0.265208       0.000000
       0.667000       0.265041       0.000000
       0.668000       0.264877       0.000000
       0.669000       0.264718       0.000000
       0.670000       0.264565       0.000000
       0.671000       0.264416       0.000000
       0.672000       0.264268       0.000000
       0.673000       0.264112       0.000000
       0.674000       0.263943       0.000000
       0.675000       0.263766       0.000000
       0.676000       0.263594       0.000000
       0.677000       0.263437       0.000000
       0.678000       0.263290       0.000000
       0.679000       0.263139       0.000000
       0.680000       0.262969       0.000000
       0.681000       0.262784       0.000000
       0.682000       0.262594       0.000000
       0.683000       0.262409       0.000000
       0.684000       0.262230       0.000000
       0.685000       0.262053       0.000000
       0.686000       0.261875       0.000000
       0.687000       0.261693       0.000000
       0.688000       0.261507       0.000000
       0.689000       0.261316       0.000000
       0.690000       0.261120       0.000000
       0.691000       0.260923       0.000000
       0.692000       0.260729       0.000000
       0.693000       0.260538       0.000000
       0.694000       0.260354       0.000000
       0.695000       0.260178       0.000000
       0.696000       0.260004       0.000000
       0.697000       0.259819       0.000000
       0.698000       0.259613       0.000000
       0.699000       0.259392       0.000000
       0.700000       0.259170       0.000000
       0.701000       0.258958       0.000000
       0.702000       0.258761       0.000000
       0.703000       0.258572       0.000000
       0.704000       0.258390       0.000000
       0.705000       0.258205       0.000000
       0.706000       0.258009       0.000000
       0.707000       0.257795       0.000000
       0.708000       0.257569       0.000000
       0.709000       0.257348       0.000000
       0.710000       0.257147       0.000000
       0.711000       0.256960       0.000000
       0.712000       0.256774       0.000000
       0.713000       0.256573       0.000000
       0.714000       0.256357       0.000000
       0.715000       0.256130       0.000000
       0.716000       0.255899       0.000000
       0.717000       0.255670       0.000000
       0.718000       0.255445       0.000000
       0.719000       0.255230       0.000000
       0.720000       0.255022       0.000000
       0.721000       0.254817       0.000000
       0.722000       0.254611       0.000000
       0.723000       0.254402       0.000000
       0.724000       0.254189       0.000000
       0.725000       0.253973       0.000000
       0.726000       0.253754       0.000000
       0.727000       0.253533       0.000000
       0.728000       0.253309       0.000000
       0.729000       0.253084       0.000000
       0.730000       0.252859       0.000000
       0.731000       0.252636       0.000000
       0.732000       0.252412       0.000000
       0.733000       0.252187       0.000000
       0.734000       0.251956       0.000000
       0.735000       0.251725       0.000000
       0.736000       0.251498       0.000000
       0.737000       0.251283       0.000000
       0.738000       0.251076       0.000000
       0.739000       0.250866       0.000000
       0.740000       0.250645       0.000000
       0.741000       0.250412       0.000000
       0.742000       0.250172       0.000000
       0.743000       0.249930       0.000000
       0.744000       0.249694       0.000000
       0.745000       0.249471       0.000000
       0.746000       0.249267       0.000000
       0.747000       0.249080       0.000000
       0.748000       0.248899       0.000000
       0.749000       0.248716       0.000000
       0.750000       0.248519       0.000000
       0.751000       0.248300       0.000000
       0.752000       0.248050       0.000000
       0.753000       0.247774       0.000000
       0.754000       0.247482       0.000000
       0.755000       0.247186       0.000000
       0.756000       0.246895       0.000000
       0.757000       0.246618       0.000000
       0.758000       0.246365       0.000000
       0.759000       0.246130       0.000000
       0.760000       0.245903       0.000000
       0.761000       0.245671       0.000000
       0.762000       0.245433       0.000000
       0.763000       0.245192       0.000000
       0.764000       0.244948       0.000000
       0.765000       0.244702       0.000000
       0.766000       0.244451       0.000000
       0.767000       0.244192       0.000000
       0.768000       0.243926       0.000000
       0.769000       0.243655       0.000000
       0.770000       0.243384       0.000000
       0.771000       0.243115       0.000000
       0.772000       0.242851       0.000000
       0.773000       0.242597       0.000000
       0.774000       0.242348       0.000000
       0.775000       0.242101       0.000000
       0.776000       0.241851       0.000000
       0.777000       0.241594       0.000000
       0.778000       0.241330       0.000000
       0.779000       0.241058       0.000000
       0.780000       0.240781       0.000000
       0.781000       0.240506       0.000000
       0.782000       0.240236       0.000000
       0.783000       0.239973       0.000000
       0.784000       0.239711       0.000000
       0.785000       0.239447       0.000000
       0.786000       0.239180       0.000000
       0.787000       0.238913       0.000000
       0.788000       0.238648       0.000000
       0.789000       0.238387       0.000000
       0.790000       0.238129       0.000000
       0.791000       0.237873       0.000000
       0.792000       0.237614       0.000000
       0.793000       0.237345       0.000000
       0.794000       0.237057       0.000000
       0.795000       0.236756       0.000000
       0.796000       0.236454       0.000000
       0.797000       0.236161       0.000000
       0.798000       0.235879       0.000000
       0.799000       0.235601       0.000000
       0.800000       0.235324       0.000000
       0.801000       0.235046       0.000000
       0.802000       0.234769       0.000000
       0.803000       0.234494       0.000000
       0.804000       0.234222       0.000000
       0.805000       0.233951       0.000000
