USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Tar_Paper GDS285B Weath Blk  W1R1Fa AREF
copy of sprlf02a r 956                                      
       0.350000       0.037233       0.000000
       0.351000       0.037233       0.000000
       0.352000       0.037233       0.000000
       0.353000       0.037227       0.000000
       0.354000       0.037216       0.000000
       0.355000       0.037198       0.000000
       0.356000       0.037171       0.000000
       0.357000       0.037143       0.000000
       0.358000       0.037131       0.000000
       0.359000       0.037146       0.000000
       0.360000       0.037175       0.000000
       0.361000       0.037186       0.000000
       0.362000       0.037152       0.000000
       0.363000       0.037082       0.000000
       0.364000       0.037008       0.000000
       0.365000       0.036962       0.000000
       0.366000       0.036941       0.000000
       0.367000       0.036926       0.000000
       0.368000       0.036901       0.000000
       0.369000       0.036881       0.000000
       0.370000       0.036904       0.000000
       0.371000       0.036999       0.000000
       0.372000       0.037128       0.000000
       0.373000       0.037214       0.000000
       0.374000       0.037189       0.000000
       0.375000       0.037082       0.000000
       0.376000       0.036981       0.000000
       0.377000       0.036967       0.000000
       0.378000       0.037043       0.000000
       0.379000       0.037164       0.000000
       0.380000       0.037289       0.000000
       0.381000       0.037392       0.000000
       0.382000       0.037462       0.000000
       0.383000       0.037488       0.000000
       0.384000       0.037483       0.000000
       0.385000       0.037475       0.000000
       0.386000       0.037489       0.000000
       0.387000       0.037535       0.000000
       0.388000       0.037612       0.000000
       0.389000       0.037718       0.000000
       0.390000       0.037828       0.000000
       0.391000       0.037907       0.000000
       0.392000       0.037923       0.000000
       0.393000       0.037899       0.000000
       0.394000       0.037887       0.000000
       0.395000       0.037937       0.000000
       0.396000       0.038037       0.000000
       0.397000       0.038141       0.000000
       0.398000       0.038205       0.000000
       0.399000       0.038223       0.000000
       0.400000       0.038214       0.000000
       0.401000       0.038195       0.000000
       0.402000       0.038182       0.000000
       0.403000       0.038194       0.000000
       0.404000       0.038244       0.000000
       0.405000       0.038323       0.000000
       0.406000       0.038404       0.000000
       0.407000       0.038465       0.000000
       0.408000       0.038506       0.000000
       0.409000       0.038545       0.000000
       0.410000       0.038596       0.000000
       0.411000       0.038653       0.000000
       0.412000       0.038699       0.000000
       0.413000       0.038717       0.000000
       0.414000       0.038718       0.000000
       0.415000       0.038727       0.000000
       0.416000       0.038766       0.000000
       0.417000       0.038831       0.000000
       0.418000       0.038904       0.000000
       0.419000       0.038967       0.000000
       0.420000       0.039020       0.000000
       0.421000       0.039070       0.000000
       0.422000       0.039126       0.000000
       0.423000       0.039185       0.000000
       0.424000       0.039242       0.000000
       0.425000       0.039291       0.000000
       0.426000       0.039336       0.000000
       0.427000       0.039385       0.000000
       0.428000       0.039447       0.000000
       0.429000       0.039518       0.000000
       0.430000       0.039588       0.000000
       0.431000       0.039645       0.000000
       0.432000       0.039690       0.000000
       0.433000       0.039731       0.000000
       0.434000       0.039774       0.000000
       0.435000       0.039822       0.000000
       0.436000       0.039876       0.000000
       0.437000       0.039934       0.000000
       0.438000       0.039995       0.000000
       0.439000       0.040055       0.000000
       0.440000       0.040111       0.000000
       0.441000       0.040164       0.000000
       0.442000       0.040214       0.000000
       0.443000       0.040266       0.000000
       0.444000       0.040319       0.000000
       0.445000       0.040377       0.000000
       0.446000       0.040441       0.000000
       0.447000       0.040507       0.000000
       0.448000       0.040571       0.000000
       0.449000       0.040628       0.000000
       0.450000       0.040682       0.000000
       0.451000       0.040736       0.000000
       0.452000       0.040797       0.000000
       0.453000       0.040863       0.000000
       0.454000       0.040927       0.000000
       0.455000       0.040983       0.000000
       0.456000       0.041033       0.000000
       0.457000       0.041082       0.000000
       0.458000       0.041134       0.000000
       0.459000       0.041190       0.000000
       0.460000       0.041248       0.000000
       0.461000       0.041305       0.000000
       0.462000       0.041365       0.000000
       0.463000       0.041428       0.000000
       0.464000       0.041500       0.000000
       0.465000       0.041574       0.000000
       0.466000       0.041642       0.000000
       0.467000       0.041696       0.000000
       0.468000       0.041739       0.000000
       0.469000       0.041782       0.000000
       0.470000       0.041834       0.000000
       0.471000       0.041897       0.000000
       0.472000       0.041965       0.000000
       0.473000       0.042034       0.000000
       0.474000       0.042100       0.000000
       0.475000       0.042163       0.000000
       0.476000       0.042222       0.000000
       0.477000       0.042277       0.000000
       0.478000       0.042332       0.000000
       0.479000       0.042391       0.000000
       0.480000       0.042453       0.000000
       0.481000       0.042518       0.000000
       0.482000       0.042585       0.000000
       0.483000       0.042653       0.000000
       0.484000       0.042719       0.000000
       0.485000       0.042782       0.000000
       0.486000       0.042843       0.000000
       0.487000       0.042905       0.000000
       0.488000       0.042973       0.000000
       0.489000       0.043044       0.000000
       0.490000       0.043116       0.000000
       0.491000       0.043185       0.000000
       0.492000       0.043252       0.000000
       0.493000       0.043319       0.000000
       0.494000       0.043389       0.000000
       0.495000       0.043461       0.000000
       0.496000       0.043529       0.000000
       0.497000       0.043590       0.000000
       0.498000       0.043646       0.000000
       0.499000       0.043705       0.000000
       0.500000       0.043773       0.000000
       0.501000       0.043848       0.000000
       0.502000       0.043924       0.000000
       0.503000       0.043996       0.000000
       0.504000       0.044063       0.000000
       0.505000       0.044127       0.000000
       0.506000       0.044191       0.000000
       0.507000       0.044256       0.000000
       0.508000       0.044323       0.000000
       0.509000       0.044394       0.000000
       0.510000       0.044466       0.000000
       0.511000       0.044540       0.000000
       0.512000       0.044614       0.000000
       0.513000       0.044687       0.000000
       0.514000       0.044760       0.000000
       0.515000       0.044832       0.000000
       0.516000       0.044905       0.000000
       0.517000       0.044977       0.000000
       0.518000       0.045050       0.000000
       0.519000       0.045124       0.000000
       0.520000       0.045197       0.000000
       0.521000       0.045270       0.000000
       0.522000       0.045343       0.000000
       0.523000       0.045418       0.000000
       0.524000       0.045496       0.000000
       0.525000       0.045576       0.000000
       0.526000       0.045655       0.000000
       0.527000       0.045733       0.000000
       0.528000       0.045809       0.000000
       0.529000       0.045885       0.000000
       0.530000       0.045961       0.000000
       0.531000       0.046038       0.000000
       0.532000       0.046117       0.000000
       0.533000       0.046200       0.000000
       0.534000       0.046285       0.000000
       0.535000       0.046367       0.000000
       0.536000       0.046443       0.000000
       0.537000       0.046516       0.000000
       0.538000       0.046592       0.000000
       0.539000       0.046674       0.000000
       0.540000       0.046763       0.000000
       0.541000       0.046855       0.000000
       0.542000       0.046945       0.000000
       0.543000       0.047032       0.000000
       0.544000       0.047117       0.000000
       0.545000       0.047199       0.000000
       0.546000       0.047281       0.000000
       0.547000       0.047363       0.000000
       0.548000       0.047446       0.000000
       0.549000       0.047531       0.000000
       0.550000       0.047618       0.000000
       0.551000       0.047705       0.000000
       0.552000       0.047794       0.000000
       0.553000       0.047884       0.000000
       0.554000       0.047975       0.000000
       0.555000       0.048066       0.000000
       0.556000       0.048156       0.000000
       0.557000       0.048245       0.000000
       0.558000       0.048333       0.000000
       0.559000       0.048421       0.000000
       0.560000       0.048511       0.000000
       0.561000       0.048602       0.000000
       0.562000       0.048695       0.000000
       0.563000       0.048788       0.000000
       0.564000       0.048881       0.000000
       0.565000       0.048974       0.000000
       0.566000       0.049066       0.000000
       0.567000       0.049159       0.000000
       0.568000       0.049251       0.000000
       0.569000       0.049344       0.000000
       0.570000       0.049438       0.000000
       0.571000       0.049531       0.000000
       0.572000       0.049624       0.000000
       0.573000       0.049717       0.000000
       0.574000       0.049809       0.000000
       0.575000       0.049899       0.000000
       0.576000       0.049989       0.000000
       0.577000       0.050080       0.000000
       0.578000       0.050172       0.000000
       0.579000       0.050268       0.000000
       0.580000       0.050365       0.000000
       0.581000       0.050464       0.000000
       0.582000       0.050564       0.000000
       0.583000       0.050661       0.000000
       0.584000       0.050754       0.000000
       0.585000       0.050843       0.000000
       0.586000       0.050931       0.000000
       0.587000       0.051021       0.000000
       0.588000       0.051112       0.000000
       0.589000       0.051203       0.000000
       0.590000       0.051291       0.000000
       0.591000       0.051376       0.000000
       0.592000       0.051457       0.000000
       0.593000       0.051534       0.000000
       0.594000       0.051608       0.000000
       0.595000       0.051680       0.000000
       0.596000       0.051753       0.000000
       0.597000       0.051825       0.000000
       0.598000       0.051900       0.000000
       0.599000       0.051976       0.000000
       0.600000       0.052056       0.000000
       0.601000       0.052138       0.000000
       0.602000       0.052225       0.000000
       0.603000       0.052312       0.000000
       0.604000       0.052396       0.000000
       0.605000       0.052473       0.000000
       0.606000       0.052545       0.000000
       0.607000       0.052615       0.000000
       0.608000       0.052688       0.000000
       0.609000       0.052764       0.000000
       0.610000       0.052839       0.000000
       0.611000       0.052911       0.000000
       0.612000       0.052981       0.000000
       0.613000       0.053052       0.000000
       0.614000       0.053127       0.000000
       0.615000       0.053205       0.000000
       0.616000       0.053284       0.000000
       0.617000       0.053363       0.000000
       0.618000       0.053442       0.000000
       0.619000       0.053522       0.000000
       0.620000       0.053606       0.000000
       0.621000       0.053692       0.000000
       0.622000       0.053779       0.000000
       0.623000       0.053865       0.000000
       0.624000       0.053951       0.000000
       0.625000       0.054036       0.000000
       0.626000       0.054121       0.000000
       0.627000       0.054206       0.000000
       0.628000       0.054291       0.000000
       0.629000       0.054376       0.000000
       0.630000       0.054461       0.000000
       0.631000       0.054549       0.000000
       0.632000       0.054642       0.000000
       0.633000       0.054740       0.000000
       0.634000       0.054837       0.000000
       0.635000       0.054932       0.000000
       0.636000       0.055023       0.000000
       0.637000       0.055114       0.000000
       0.638000       0.055207       0.000000
       0.639000       0.055301       0.000000
       0.640000       0.055395       0.000000
       0.641000       0.055487       0.000000
       0.642000       0.055577       0.000000
       0.643000       0.055667       0.000000
       0.644000       0.055755       0.000000
       0.645000       0.055843       0.000000
       0.646000       0.055930       0.000000
       0.647000       0.056018       0.000000
       0.648000       0.056106       0.000000
       0.649000       0.056196       0.000000
       0.650000       0.056288       0.000000
       0.651000       0.056381       0.000000
       0.652000       0.056474       0.000000
       0.653000       0.056567       0.000000
       0.654000       0.056660       0.000000
       0.655000       0.056751       0.000000
       0.656000       0.056843       0.000000
       0.657000       0.056934       0.000000
       0.658000       0.057027       0.000000
       0.659000       0.057120       0.000000
       0.660000       0.057214       0.000000
       0.661000       0.057308       0.000000
       0.662000       0.057402       0.000000
       0.663000       0.057496       0.000000
       0.664000       0.057589       0.000000
       0.665000       0.057684       0.000000
       0.666000       0.057780       0.000000
       0.667000       0.057877       0.000000
       0.668000       0.057973       0.000000
       0.669000       0.058069       0.000000
       0.670000       0.058165       0.000000
       0.671000       0.058261       0.000000
       0.672000       0.058358       0.000000
       0.673000       0.058454       0.000000
       0.674000       0.058552       0.000000
       0.675000       0.058649       0.000000
       0.676000       0.058746       0.000000
       0.677000       0.058842       0.000000
       0.678000       0.058939       0.000000
       0.679000       0.059037       0.000000
       0.680000       0.059137       0.000000
       0.681000       0.059238       0.000000
       0.682000       0.059338       0.000000
       0.683000       0.059433       0.000000
       0.684000       0.059526       0.000000
       0.685000       0.059621       0.000000
       0.686000       0.059720       0.000000
       0.687000       0.059823       0.000000
       0.688000       0.059928       0.000000
       0.689000       0.060033       0.000000
       0.690000       0.060137       0.000000
       0.691000       0.060241       0.000000
       0.692000       0.060346       0.000000
       0.693000       0.060452       0.000000
       0.694000       0.060558       0.000000
       0.695000       0.060662       0.000000
       0.696000       0.060766       0.000000
       0.697000       0.060869       0.000000
       0.698000       0.060972       0.000000
       0.699000       0.061077       0.000000
       0.700000       0.061182       0.000000
       0.701000       0.061289       0.000000
       0.702000       0.061397       0.000000
       0.703000       0.061504       0.000000
       0.704000       0.061610       0.000000
       0.705000       0.061715       0.000000
       0.706000       0.061819       0.000000
       0.707000       0.061925       0.000000
       0.708000       0.062032       0.000000
       0.709000       0.062139       0.000000
       0.710000       0.062248       0.000000
       0.711000       0.062358       0.000000
       0.712000       0.062468       0.000000
       0.713000       0.062579       0.000000
       0.714000       0.062690       0.000000
       0.715000       0.062800       0.000000
       0.716000       0.062910       0.000000
       0.717000       0.063020       0.000000
       0.718000       0.063130       0.000000
       0.719000       0.063241       0.000000
       0.720000       0.063353       0.000000
       0.721000       0.063465       0.000000
       0.722000       0.063578       0.000000
       0.723000       0.063689       0.000000
       0.724000       0.063799       0.000000
       0.725000       0.063908       0.000000
       0.726000       0.064017       0.000000
       0.727000       0.064124       0.000000
       0.728000       0.064233       0.000000
       0.729000       0.064342       0.000000
       0.730000       0.064454       0.000000
       0.731000       0.064568       0.000000
       0.732000       0.064685       0.000000
       0.733000       0.064802       0.000000
       0.734000       0.064919       0.000000
       0.735000       0.065036       0.000000
       0.736000       0.065151       0.000000
       0.737000       0.065265       0.000000
       0.738000       0.065378       0.000000
       0.739000       0.065490       0.000000
       0.740000       0.065603       0.000000
       0.741000       0.065715       0.000000
       0.742000       0.065829       0.000000
       0.743000       0.065944       0.000000
       0.744000       0.066061       0.000000
       0.745000       0.066177       0.000000
       0.746000       0.066294       0.000000
       0.747000       0.066410       0.000000
       0.748000       0.066526       0.000000
       0.749000       0.066642       0.000000
       0.750000       0.066759       0.000000
       0.751000       0.066876       0.000000
       0.752000       0.066993       0.000000
       0.753000       0.067110       0.000000
       0.754000       0.067228       0.000000
       0.755000       0.067346       0.000000
       0.756000       0.067464       0.000000
       0.757000       0.067584       0.000000
       0.758000       0.067704       0.000000
       0.759000       0.067824       0.000000
       0.760000       0.067945       0.000000
       0.761000       0.068065       0.000000
       0.762000       0.068184       0.000000
       0.763000       0.068302       0.000000
       0.764000       0.068418       0.000000
       0.765000       0.068534       0.000000
       0.766000       0.068650       0.000000
       0.767000       0.068769       0.000000
       0.768000       0.068891       0.000000
       0.769000       0.069014       0.000000
       0.770000       0.069136       0.000000
       0.771000       0.069258       0.000000
       0.772000       0.069380       0.000000
       0.773000       0.069502       0.000000
       0.774000       0.069624       0.000000
       0.775000       0.069746       0.000000
       0.776000       0.069866       0.000000
       0.777000       0.069985       0.000000
       0.778000       0.070104       0.000000
       0.779000       0.070224       0.000000
       0.780000       0.070344       0.000000
       0.781000       0.070465       0.000000
       0.782000       0.070586       0.000000
       0.783000       0.070708       0.000000
       0.784000       0.070830       0.000000
       0.785000       0.070952       0.000000
       0.786000       0.071075       0.000000
       0.787000       0.071198       0.000000
       0.788000       0.071321       0.000000
       0.789000       0.071444       0.000000
       0.790000       0.071566       0.000000
       0.791000       0.071684       0.000000
       0.792000       0.071801       0.000000
       0.793000       0.071920       0.000000
       0.794000       0.072043       0.000000
       0.795000       0.072170       0.000000
       0.796000       0.072298       0.000000
       0.797000       0.072425       0.000000
       0.798000       0.072552       0.000000
       0.799000       0.072678       0.000000
       0.800000       0.072805       0.000000
       0.801000       0.072932       0.000000
       0.802000       0.073060       0.000000
       0.803000       0.073188       0.000000
       0.804000       0.073316       0.000000
       0.805000       0.073443       0.000000
