USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Melting_snow mSnw1a          W1R1Fa AREF
copy of splib05a r 9366                                     
       0.350000       0.817474       0.000000
       0.351000       0.817474       0.000000
       0.352000       0.821453       0.000000
       0.353000       0.824046       0.000000
       0.354000       0.823869       0.000000
       0.355000       0.820286       0.000000
       0.356000       0.815659       0.000000
       0.357000       0.813098       0.000000
       0.358000       0.814675       0.000000
       0.359000       0.818297       0.000000
       0.360000       0.820829       0.000000
       0.361000       0.820005       0.000000
       0.362000       0.817031       0.000000
       0.363000       0.813979       0.000000
       0.364000       0.812473       0.000000
       0.365000       0.812341       0.000000
       0.366000       0.812964       0.000000
       0.367000       0.813757       0.000000
       0.368000       0.814274       0.000000
       0.369000       0.814106       0.000000
       0.370000       0.813032       0.000000
       0.371000       0.811591       0.000000
       0.372000       0.810508       0.000000
       0.373000       0.810300       0.000000
       0.374000       0.810638       0.000000
       0.375000       0.810983       0.000000
       0.376000       0.810896       0.000000
       0.377000       0.810331       0.000000
       0.378000       0.809344       0.000000
       0.379000       0.808056       0.000000
       0.380000       0.806860       0.000000
       0.381000       0.806214       0.000000
       0.382000       0.806417       0.000000
       0.383000       0.807113       0.000000
       0.384000       0.807789       0.000000
       0.385000       0.808048       0.000000
       0.386000       0.807980       0.000000
       0.387000       0.807797       0.000000
       0.388000       0.807713       0.000000
       0.389000       0.807962       0.000000
       0.390000       0.808785       0.000000
       0.391000       0.810273       0.000000
       0.392000       0.811923       0.000000
       0.393000       0.813088       0.000000
       0.394000       0.813344       0.000000
       0.395000       0.813178       0.000000
       0.396000       0.813302       0.000000
       0.397000       0.814259       0.000000
       0.398000       0.815913       0.000000
       0.399000       0.817960       0.000000
       0.400000       0.820116       0.000000
       0.401000       0.822186       0.000000
       0.402000       0.823997       0.000000
       0.403000       0.825421       0.000000
       0.404000       0.826511       0.000000
       0.405000       0.827364       0.000000
       0.406000       0.828059       0.000000
       0.407000       0.828598       0.000000
       0.408000       0.828966       0.000000
       0.409000       0.829156       0.000000
       0.410000       0.829209       0.000000
       0.411000       0.829177       0.000000
       0.412000       0.829119       0.000000
       0.413000       0.829117       0.000000
       0.414000       0.829257       0.000000
       0.415000       0.829599       0.000000
       0.416000       0.830078       0.000000
       0.417000       0.830598       0.000000
       0.418000       0.831084       0.000000
       0.419000       0.831524       0.000000
       0.420000       0.831927       0.000000
       0.421000       0.832288       0.000000
       0.422000       0.832547       0.000000
       0.423000       0.832629       0.000000
       0.424000       0.832506       0.000000
       0.425000       0.832320       0.000000
       0.426000       0.832256       0.000000
       0.427000       0.832447       0.000000
       0.428000       0.832819       0.000000
       0.429000       0.833243       0.000000
       0.430000       0.833615       0.000000
       0.431000       0.833916       0.000000
       0.432000       0.834150       0.000000
       0.433000       0.834321       0.000000
       0.434000       0.834435       0.000000
       0.435000       0.834494       0.000000
       0.436000       0.834503       0.000000
       0.437000       0.834466       0.000000
       0.438000       0.834388       0.000000
       0.439000       0.834272       0.000000
       0.440000       0.834123       0.000000
       0.441000       0.833944       0.000000
       0.442000       0.833740       0.000000
       0.443000       0.833515       0.000000
       0.444000       0.833273       0.000000
       0.445000       0.833027       0.000000
       0.446000       0.832822       0.000000
       0.447000       0.832715       0.000000
       0.448000       0.832735       0.000000
       0.449000       0.832810       0.000000
       0.450000       0.832844       0.000000
       0.451000       0.832775       0.000000
       0.452000       0.832667       0.000000
       0.453000       0.832616       0.000000
       0.454000       0.832690       0.000000
       0.455000       0.832822       0.000000
       0.456000       0.832917       0.000000
       0.457000       0.832903       0.000000
       0.458000       0.832810       0.000000
       0.459000       0.832693       0.000000
       0.460000       0.832601       0.000000
       0.461000       0.832559       0.000000
       0.462000       0.832584       0.000000
       0.463000       0.832680       0.000000
       0.464000       0.832799       0.000000
       0.465000       0.832880       0.000000
       0.466000       0.832881       0.000000
       0.467000       0.832845       0.000000
       0.468000       0.832835       0.000000
       0.469000       0.832895       0.000000
       0.470000       0.832992       0.000000
       0.471000       0.833075       0.000000
       0.472000       0.833099       0.000000
       0.473000       0.833053       0.000000
       0.474000       0.832929       0.000000
       0.475000       0.832742       0.000000
       0.476000       0.832585       0.000000
       0.477000       0.832570       0.000000
       0.478000       0.832762       0.000000
       0.479000       0.833022       0.000000
       0.480000       0.833164       0.000000
       0.481000       0.833057       0.000000
       0.482000       0.832804       0.000000
       0.483000       0.832567       0.000000
       0.484000       0.832469       0.000000
       0.485000       0.832481       0.000000
       0.486000       0.832535       0.000000
       0.487000       0.832574       0.000000
       0.488000       0.832586       0.000000
       0.489000       0.832566       0.000000
       0.490000       0.832514       0.000000
       0.491000       0.832438       0.000000
       0.492000       0.832350       0.000000
       0.493000       0.832260       0.000000
       0.494000       0.832186       0.000000
       0.495000       0.832147       0.000000
       0.496000       0.832153       0.000000
       0.497000       0.832184       0.000000
       0.498000       0.832213       0.000000
       0.499000       0.832215       0.000000
       0.500000       0.832189       0.000000
       0.501000       0.832135       0.000000
       0.502000       0.832057       0.000000
       0.503000       0.831981       0.000000
       0.504000       0.831932       0.000000
       0.505000       0.831927       0.000000
       0.506000       0.831938       0.000000
       0.507000       0.831926       0.000000
       0.508000       0.831866       0.000000
       0.509000       0.831798       0.000000
       0.510000       0.831775       0.000000
       0.511000       0.831829       0.000000
       0.512000       0.831906       0.000000
       0.513000       0.831931       0.000000
       0.514000       0.831853       0.000000
       0.515000       0.831731       0.000000
       0.516000       0.831651       0.000000
       0.517000       0.831673       0.000000
       0.518000       0.831766       0.000000
       0.519000       0.831876       0.000000
       0.520000       0.831957       0.000000
       0.521000       0.831996       0.000000
       0.522000       0.831991       0.000000
       0.523000       0.831946       0.000000
       0.524000       0.831900       0.000000
       0.525000       0.831900       0.000000
       0.526000       0.831976       0.000000
       0.527000       0.832081       0.000000
       0.528000       0.832155       0.000000
       0.529000       0.832149       0.000000
       0.530000       0.832091       0.000000
       0.531000       0.832022       0.000000
       0.532000       0.831978       0.000000
       0.533000       0.831957       0.000000
       0.534000       0.831951       0.000000
       0.535000       0.831954       0.000000
       0.536000       0.831966       0.000000
       0.537000       0.831994       0.000000
       0.538000       0.832039       0.000000
       0.539000       0.832093       0.000000
       0.540000       0.832149       0.000000
       0.541000       0.832197       0.000000
       0.542000       0.832239       0.000000
       0.543000       0.832272       0.000000
       0.544000       0.832300       0.000000
       0.545000       0.832322       0.000000
       0.546000       0.832338       0.000000
       0.547000       0.832351       0.000000
       0.548000       0.832359       0.000000
       0.549000       0.832365       0.000000
       0.550000       0.832368       0.000000
       0.551000       0.832369       0.000000
       0.552000       0.832369       0.000000
       0.553000       0.832371       0.000000
       0.554000       0.832388       0.000000
       0.555000       0.832434       0.000000
       0.556000       0.832513       0.000000
       0.557000       0.832593       0.000000
       0.558000       0.832627       0.000000
       0.559000       0.832589       0.000000
       0.560000       0.832518       0.000000
       0.561000       0.832472       0.000000
       0.562000       0.832489       0.000000
       0.563000       0.832538       0.000000
       0.564000       0.832568       0.000000
       0.565000       0.832543       0.000000
       0.566000       0.832478       0.000000
       0.567000       0.832403       0.000000
       0.568000       0.832339       0.000000
       0.569000       0.832281       0.000000
       0.570000       0.832215       0.000000
       0.571000       0.832136       0.000000
       0.572000       0.832069       0.000000
       0.573000       0.832044       0.000000
       0.574000       0.832088       0.000000
       0.575000       0.832198       0.000000
       0.576000       0.832366       0.000000
       0.577000       0.832568       0.000000
       0.578000       0.832719       0.000000
       0.579000       0.832718       0.000000
       0.580000       0.832503       0.000000
       0.581000       0.832165       0.000000
       0.582000       0.831832       0.000000
       0.583000       0.831607       0.000000
       0.584000       0.831490       0.000000
       0.585000       0.831455       0.000000
       0.586000       0.831471       0.000000
       0.587000       0.831495       0.000000
       0.588000       0.831477       0.000000
       0.589000       0.831384       0.000000
       0.590000       0.831246       0.000000
       0.591000       0.831112       0.000000
       0.592000       0.831015       0.000000
       0.593000       0.830940       0.000000
       0.594000       0.830859       0.000000
       0.595000       0.830750       0.000000
       0.596000       0.830604       0.000000
       0.597000       0.830419       0.000000
       0.598000       0.830199       0.000000
       0.599000       0.829979       0.000000
       0.600000       0.829804       0.000000
       0.601000       0.829702       0.000000
       0.602000       0.829638       0.000000
       0.603000       0.829563       0.000000
       0.604000       0.829441       0.000000
       0.605000       0.829290       0.000000
       0.606000       0.829143       0.000000
       0.607000       0.829025       0.000000
       0.608000       0.828936       0.000000
       0.609000       0.828870       0.000000
       0.610000       0.828819       0.000000
       0.611000       0.828762       0.000000
       0.612000       0.828680       0.000000
       0.613000       0.828555       0.000000
       0.614000       0.828399       0.000000
       0.615000       0.828228       0.000000
       0.616000       0.828057       0.000000
       0.617000       0.827890       0.000000
       0.618000       0.827729       0.000000
       0.619000       0.827573       0.000000
       0.620000       0.827415       0.000000
       0.621000       0.827245       0.000000
       0.622000       0.827054       0.000000
       0.623000       0.826850       0.000000
       0.624000       0.826640       0.000000
       0.625000       0.826430       0.000000
       0.626000       0.826215       0.000000
       0.627000       0.825986       0.000000
       0.628000       0.825739       0.000000
       0.629000       0.825495       0.000000
       0.630000       0.825280       0.000000
       0.631000       0.825113       0.000000
       0.632000       0.824967       0.000000
       0.633000       0.824808       0.000000
       0.634000       0.824611       0.000000
       0.635000       0.824389       0.000000
       0.636000       0.824164       0.000000
       0.637000       0.823958       0.000000
       0.638000       0.823773       0.000000
       0.639000       0.823611       0.000000
       0.640000       0.823470       0.000000
       0.641000       0.823335       0.000000
       0.642000       0.823188       0.000000
       0.643000       0.823016       0.000000
       0.644000       0.822821       0.000000
       0.645000       0.822610       0.000000
       0.646000       0.822392       0.000000
       0.647000       0.822179       0.000000
       0.648000       0.821988       0.000000
       0.649000       0.821825       0.000000
       0.650000       0.821672       0.000000
       0.651000       0.821501       0.000000
       0.652000       0.821294       0.000000
       0.653000       0.821066       0.000000
       0.654000       0.820844       0.000000
       0.655000       0.820645       0.000000
       0.656000       0.820465       0.000000
       0.657000       0.820293       0.000000
       0.658000       0.820121       0.000000
       0.659000       0.819947       0.000000
       0.660000       0.819776       0.000000
       0.661000       0.819608       0.000000
       0.662000       0.819445       0.000000
       0.663000       0.819289       0.000000
       0.664000       0.819141       0.000000
       0.665000       0.819004       0.000000
       0.666000       0.818882       0.000000
       0.667000       0.818776       0.000000
       0.668000       0.818672       0.000000
       0.669000       0.818555       0.000000
       0.670000       0.818417       0.000000
       0.671000       0.818277       0.000000
       0.672000       0.818162       0.000000
       0.673000       0.818090       0.000000
       0.674000       0.818032       0.000000
       0.675000       0.817954       0.000000
       0.676000       0.817831       0.000000
       0.677000       0.817691       0.000000
       0.678000       0.817576       0.000000
       0.679000       0.817517       0.000000
       0.680000       0.817492       0.000000
       0.681000       0.817470       0.000000
       0.682000       0.817425       0.000000
       0.683000       0.817357       0.000000
       0.684000       0.817275       0.000000
       0.685000       0.817187       0.000000
       0.686000       0.817105       0.000000
       0.687000       0.817042       0.000000
       0.688000       0.817008       0.000000
       0.689000       0.816986       0.000000
       0.690000       0.816958       0.000000
       0.691000       0.816907       0.000000
       0.692000       0.816829       0.000000
       0.693000       0.816726       0.000000
       0.694000       0.816599       0.000000
       0.695000       0.816465       0.000000
       0.696000       0.816341       0.000000
       0.697000       0.816239       0.000000
       0.698000       0.816142       0.000000
       0.699000       0.816026       0.000000
       0.700000       0.815873       0.000000
       0.701000       0.815694       0.000000
       0.702000       0.815504       0.000000
       0.703000       0.815317       0.000000
       0.704000       0.815136       0.000000
       0.705000       0.814961       0.000000
       0.706000       0.814793       0.000000
       0.707000       0.814630       0.000000
       0.708000       0.814471       0.000000
       0.709000       0.814315       0.000000
       0.710000       0.814161       0.000000
       0.711000       0.814007       0.000000
       0.712000       0.813852       0.000000
       0.713000       0.813701       0.000000
       0.714000       0.813558       0.000000
       0.715000       0.813427       0.000000
       0.716000       0.813305       0.000000
       0.717000       0.813189       0.000000
       0.718000       0.813075       0.000000
       0.719000       0.812965       0.000000
       0.720000       0.812863       0.000000
       0.721000       0.812769       0.000000
       0.722000       0.812668       0.000000
       0.723000       0.812544       0.000000
       0.724000       0.812388       0.000000
       0.725000       0.812218       0.000000
       0.726000       0.812063       0.000000
       0.727000       0.811939       0.000000
       0.728000       0.811819       0.000000
       0.729000       0.811666       0.000000
       0.730000       0.811454       0.000000
       0.731000       0.811206       0.000000
       0.732000       0.810957       0.000000
       0.733000       0.810733       0.000000
       0.734000       0.810534       0.000000
       0.735000       0.810350       0.000000
       0.736000       0.810170       0.000000
       0.737000       0.809969       0.000000
       0.738000       0.809721       0.000000
       0.739000       0.809410       0.000000
       0.740000       0.809065       0.000000
       0.741000       0.808728       0.000000
       0.742000       0.808426       0.000000
       0.743000       0.808130       0.000000
       0.744000       0.807798       0.000000
       0.745000       0.807400       0.000000
       0.746000       0.806954       0.000000
       0.747000       0.806487       0.000000
       0.748000       0.806023       0.000000
       0.749000       0.805563       0.000000
       0.750000       0.805099       0.000000
       0.751000       0.804626       0.000000
       0.752000       0.804127       0.000000
       0.753000       0.803587       0.000000
       0.754000       0.802992       0.000000
       0.755000       0.802350       0.000000
       0.756000       0.801675       0.000000
       0.757000       0.800977       0.000000
       0.758000       0.800264       0.000000
       0.759000       0.799545       0.000000
       0.760000       0.798822       0.000000
       0.761000       0.798085       0.000000
       0.762000       0.797319       0.000000
       0.763000       0.796514       0.000000
       0.764000       0.795689       0.000000
       0.765000       0.794870       0.000000
       0.766000       0.794072       0.000000
       0.767000       0.793280       0.000000
       0.768000       0.792470       0.000000
       0.769000       0.791623       0.000000
       0.770000       0.790747       0.000000
       0.771000       0.789854       0.000000
       0.772000       0.788957       0.000000
       0.773000       0.788064       0.000000
       0.774000       0.787186       0.000000
       0.775000       0.786329       0.000000
       0.776000       0.785491       0.000000
       0.777000       0.784670       0.000000
       0.778000       0.783863       0.000000
       0.779000       0.783066       0.000000
       0.780000       0.782277       0.000000
       0.781000       0.781494       0.000000
       0.782000       0.780716       0.000000
       0.783000       0.779940       0.000000
       0.784000       0.779171       0.000000
       0.785000       0.778435       0.000000
       0.786000       0.777764       0.000000
       0.787000       0.777178       0.000000
       0.788000       0.776641       0.000000
       0.789000       0.776104       0.000000
       0.790000       0.775534       0.000000
       0.791000       0.774969       0.000000
       0.792000       0.774461       0.000000
       0.793000       0.774049       0.000000
       0.794000       0.773705       0.000000
       0.795000       0.773389       0.000000
       0.796000       0.773069       0.000000
       0.797000       0.772750       0.000000
       0.798000       0.772449       0.000000
       0.799000       0.772178       0.000000
       0.800000       0.771947       0.000000
       0.801000       0.771764       0.000000
       0.802000       0.771635       0.000000
       0.803000       0.771556       0.000000
       0.804000       0.771521       0.000000
       0.805000       0.771523       0.000000
