USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Melting_snow mSnw16+0.5 veg  W1R1Fa AREF
copy of splib05a r 9343                                     
       0.350000       0.086666       0.000000
       0.351000       0.086666       0.000000
       0.352000       0.086964       0.000000
       0.353000       0.087235       0.000000
       0.354000       0.087450       0.000000
       0.355000       0.087609       0.000000
       0.356000       0.087826       0.000000
       0.357000       0.088238       0.000000
       0.358000       0.088908       0.000000
       0.359000       0.089583       0.000000
       0.360000       0.089934       0.000000
       0.361000       0.089743       0.000000
       0.362000       0.089249       0.000000
       0.363000       0.088805       0.000000
       0.364000       0.088665       0.000000
       0.365000       0.088691       0.000000
       0.366000       0.088647       0.000000
       0.367000       0.088374       0.000000
       0.368000       0.088019       0.000000
       0.369000       0.087806       0.000000
       0.370000       0.087896       0.000000
       0.371000       0.088186       0.000000
       0.372000       0.088511       0.000000
       0.373000       0.088735       0.000000
       0.374000       0.088853       0.000000
       0.375000       0.088887       0.000000
       0.376000       0.088869       0.000000
       0.377000       0.088847       0.000000
       0.378000       0.088877       0.000000
       0.379000       0.088998       0.000000
       0.380000       0.089196       0.000000
       0.381000       0.089441       0.000000
       0.382000       0.089707       0.000000
       0.383000       0.089981       0.000000
       0.384000       0.090254       0.000000
       0.385000       0.090528       0.000000
       0.386000       0.090840       0.000000
       0.387000       0.091239       0.000000
       0.388000       0.091747       0.000000
       0.389000       0.092278       0.000000
       0.390000       0.092718       0.000000
       0.391000       0.092998       0.000000
       0.392000       0.093214       0.000000
       0.393000       0.093508       0.000000
       0.394000       0.093980       0.000000
       0.395000       0.094577       0.000000
       0.396000       0.095207       0.000000
       0.397000       0.095796       0.000000
       0.398000       0.096349       0.000000
       0.399000       0.096891       0.000000
       0.400000       0.097442       0.000000
       0.401000       0.097997       0.000000
       0.402000       0.098548       0.000000
       0.403000       0.099091       0.000000
       0.404000       0.099640       0.000000
       0.405000       0.100216       0.000000
       0.406000       0.100828       0.000000
       0.407000       0.101437       0.000000
       0.408000       0.101993       0.000000
       0.409000       0.102461       0.000000
       0.410000       0.102878       0.000000
       0.411000       0.103297       0.000000
       0.412000       0.103756       0.000000
       0.413000       0.104248       0.000000
       0.414000       0.104752       0.000000
       0.415000       0.105251       0.000000
       0.416000       0.105742       0.000000
       0.417000       0.106225       0.000000
       0.418000       0.106700       0.000000
       0.419000       0.107166       0.000000
       0.420000       0.107617       0.000000
       0.421000       0.108054       0.000000
       0.422000       0.108497       0.000000
       0.423000       0.108969       0.000000
       0.424000       0.109484       0.000000
       0.425000       0.110019       0.000000
       0.426000       0.110540       0.000000
       0.427000       0.111023       0.000000
       0.428000       0.111485       0.000000
       0.429000       0.111951       0.000000
       0.430000       0.112438       0.000000
       0.431000       0.112939       0.000000
       0.432000       0.113439       0.000000
       0.433000       0.113929       0.000000
       0.434000       0.114411       0.000000
       0.435000       0.114892       0.000000
       0.436000       0.115375       0.000000
       0.437000       0.115851       0.000000
       0.438000       0.116308       0.000000
       0.439000       0.116737       0.000000
       0.440000       0.117141       0.000000
       0.441000       0.117526       0.000000
       0.442000       0.117895       0.000000
       0.443000       0.118249       0.000000
       0.444000       0.118585       0.000000
       0.445000       0.118911       0.000000
       0.446000       0.119256       0.000000
       0.447000       0.119661       0.000000
       0.448000       0.120139       0.000000
       0.449000       0.120609       0.000000
       0.450000       0.120966       0.000000
       0.451000       0.121142       0.000000
       0.452000       0.121230       0.000000
       0.453000       0.121358       0.000000
       0.454000       0.121625       0.000000
       0.455000       0.121999       0.000000
       0.456000       0.122414       0.000000
       0.457000       0.122810       0.000000
       0.458000       0.123146       0.000000
       0.459000       0.123384       0.000000
       0.460000       0.123506       0.000000
       0.461000       0.123580       0.000000
       0.462000       0.123694       0.000000
       0.463000       0.123907       0.000000
       0.464000       0.124160       0.000000
       0.465000       0.124363       0.000000
       0.466000       0.124456       0.000000
       0.467000       0.124485       0.000000
       0.468000       0.124528       0.000000
       0.469000       0.124644       0.000000
       0.470000       0.124824       0.000000
       0.471000       0.125044       0.000000
       0.472000       0.125277       0.000000
       0.473000       0.125493       0.000000
       0.474000       0.125660       0.000000
       0.475000       0.125758       0.000000
       0.476000       0.125815       0.000000
       0.477000       0.125873       0.000000
       0.478000       0.125964       0.000000
       0.479000       0.126086       0.000000
       0.480000       0.126232       0.000000
       0.481000       0.126388       0.000000
       0.482000       0.126534       0.000000
       0.483000       0.126645       0.000000
       0.484000       0.126711       0.000000
       0.485000       0.126772       0.000000
       0.486000       0.126880       0.000000
       0.487000       0.127068       0.000000
       0.488000       0.127290       0.000000
       0.489000       0.127477       0.000000
       0.490000       0.127585       0.000000
       0.491000       0.127649       0.000000
       0.492000       0.127725       0.000000
       0.493000       0.127863       0.000000
       0.494000       0.128076       0.000000
       0.495000       0.128369       0.000000
       0.496000       0.128738       0.000000
       0.497000       0.129132       0.000000
       0.498000       0.129489       0.000000
       0.499000       0.129768       0.000000
       0.500000       0.130014       0.000000
       0.501000       0.130291       0.000000
       0.502000       0.130647       0.000000
       0.503000       0.131068       0.000000
       0.504000       0.131521       0.000000
       0.505000       0.131983       0.000000
       0.506000       0.132460       0.000000
       0.507000       0.132968       0.000000
       0.508000       0.133521       0.000000
       0.509000       0.134130       0.000000
       0.510000       0.134804       0.000000
       0.511000       0.135544       0.000000
       0.512000       0.136308       0.000000
       0.513000       0.137047       0.000000
       0.514000       0.137728       0.000000
       0.515000       0.138402       0.000000
       0.516000       0.139137       0.000000
       0.517000       0.139989       0.000000
       0.518000       0.140950       0.000000
       0.519000       0.142001       0.000000
       0.520000       0.143111       0.000000
       0.521000       0.144219       0.000000
       0.522000       0.145253       0.000000
       0.523000       0.146166       0.000000
       0.524000       0.146999       0.000000
       0.525000       0.147818       0.000000
       0.526000       0.148670       0.000000
       0.527000       0.149534       0.000000
       0.528000       0.150376       0.000000
       0.529000       0.151160       0.000000
       0.530000       0.151863       0.000000
       0.531000       0.152464       0.000000
       0.532000       0.152962       0.000000
       0.533000       0.153451       0.000000
       0.534000       0.154042       0.000000
       0.535000       0.154794       0.000000
       0.536000       0.155538       0.000000
       0.537000       0.156049       0.000000
       0.538000       0.156182       0.000000
       0.539000       0.156100       0.000000
       0.540000       0.156045       0.000000
       0.541000       0.156201       0.000000
       0.542000       0.156516       0.000000
       0.543000       0.156882       0.000000
       0.544000       0.157206       0.000000
       0.545000       0.157457       0.000000
       0.546000       0.157623       0.000000
       0.547000       0.157707       0.000000
       0.548000       0.157770       0.000000
       0.549000       0.157889       0.000000
       0.550000       0.158117       0.000000
       0.551000       0.158404       0.000000
       0.552000       0.158678       0.000000
       0.553000       0.158870       0.000000
       0.554000       0.158943       0.000000
       0.555000       0.158866       0.000000
       0.556000       0.158637       0.000000
       0.557000       0.158363       0.000000
       0.558000       0.158181       0.000000
       0.559000       0.158176       0.000000
       0.560000       0.158233       0.000000
       0.561000       0.158186       0.000000
       0.562000       0.157921       0.000000
       0.563000       0.157536       0.000000
       0.564000       0.157182       0.000000
       0.565000       0.156960       0.000000
       0.566000       0.156768       0.000000
       0.567000       0.156455       0.000000
       0.568000       0.155920       0.000000
       0.569000       0.155258       0.000000
       0.570000       0.154617       0.000000
       0.571000       0.154107       0.000000
       0.572000       0.153690       0.000000
       0.573000       0.153293       0.000000
       0.574000       0.152858       0.000000
       0.575000       0.152379       0.000000
       0.576000       0.151868       0.000000
       0.577000       0.151342       0.000000
       0.578000       0.150850       0.000000
       0.579000       0.150448       0.000000
       0.580000       0.150174       0.000000
       0.581000       0.149993       0.000000
       0.582000       0.149851       0.000000
       0.583000       0.149694       0.000000
       0.584000       0.149473       0.000000
       0.585000       0.149133       0.000000
       0.586000       0.148652       0.000000
       0.587000       0.148113       0.000000
       0.588000       0.147629       0.000000
       0.589000       0.147279       0.000000
       0.590000       0.147025       0.000000
       0.591000       0.146798       0.000000
       0.592000       0.146542       0.000000
       0.593000       0.146256       0.000000
       0.594000       0.145956       0.000000
       0.595000       0.145654       0.000000
       0.596000       0.145365       0.000000
       0.597000       0.145104       0.000000
       0.598000       0.144877       0.000000
       0.599000       0.144654       0.000000
       0.600000       0.144396       0.000000
       0.601000       0.144081       0.000000
       0.602000       0.143745       0.000000
       0.603000       0.143443       0.000000
       0.604000       0.143206       0.000000
       0.605000       0.142988       0.000000
       0.606000       0.142725       0.000000
       0.607000       0.142373       0.000000
       0.608000       0.141982       0.000000
       0.609000       0.141626       0.000000
       0.610000       0.141350       0.000000
       0.611000       0.141089       0.000000
       0.612000       0.140749       0.000000
       0.613000       0.140280       0.000000
       0.614000       0.139796       0.000000
       0.615000       0.139456       0.000000
       0.616000       0.139354       0.000000
       0.617000       0.139338       0.000000
       0.618000       0.139194       0.000000
       0.619000       0.138779       0.000000
       0.620000       0.138241       0.000000
       0.621000       0.137800       0.000000
       0.622000       0.137616       0.000000
       0.623000       0.137598       0.000000
       0.624000       0.137594       0.000000
       0.625000       0.137488       0.000000
       0.626000       0.137309       0.000000
       0.627000       0.137121       0.000000
       0.628000       0.136976       0.000000
       0.629000       0.136885       0.000000
       0.630000       0.136846       0.000000
       0.631000       0.136849       0.000000
       0.632000       0.136856       0.000000
       0.633000       0.136822       0.000000
       0.634000       0.136713       0.000000
       0.635000       0.136545       0.000000
       0.636000       0.136349       0.000000
       0.637000       0.136149       0.000000
       0.638000       0.135951       0.000000
       0.639000       0.135755       0.000000
       0.640000       0.135558       0.000000
       0.641000       0.135348       0.000000
       0.642000       0.135112       0.000000
       0.643000       0.134838       0.000000
       0.644000       0.134522       0.000000
       0.645000       0.134163       0.000000
       0.646000       0.133758       0.000000
       0.647000       0.133307       0.000000
       0.648000       0.132809       0.000000
       0.649000       0.132281       0.000000
       0.650000       0.131821       0.000000
       0.651000       0.131543       0.000000
       0.652000       0.131512       0.000000
       0.653000       0.131589       0.000000
       0.654000       0.131581       0.000000
       0.655000       0.131349       0.000000
       0.656000       0.130952       0.000000
       0.657000       0.130498       0.000000
       0.658000       0.130077       0.000000
       0.659000       0.129700       0.000000
       0.660000       0.129358       0.000000
       0.661000       0.129037       0.000000
       0.662000       0.128718       0.000000
       0.663000       0.128377       0.000000
       0.664000       0.128002       0.000000
       0.665000       0.127634       0.000000
       0.666000       0.127324       0.000000
       0.667000       0.127108       0.000000
       0.668000       0.126946       0.000000
       0.669000       0.126782       0.000000
       0.670000       0.126579       0.000000
       0.671000       0.126376       0.000000
       0.672000       0.126230       0.000000
       0.673000       0.126178       0.000000
       0.674000       0.126163       0.000000
       0.675000       0.126104       0.000000
       0.676000       0.125950       0.000000
       0.677000       0.125765       0.000000
       0.678000       0.125642       0.000000
       0.679000       0.125643       0.000000
       0.680000       0.125722       0.000000
       0.681000       0.125803       0.000000
       0.682000       0.125836       0.000000
       0.683000       0.125875       0.000000
       0.684000       0.125997       0.000000
       0.685000       0.126266       0.000000
       0.686000       0.126675       0.000000
       0.687000       0.127203       0.000000
       0.688000       0.127841       0.000000
       0.689000       0.128632       0.000000
       0.690000       0.129632       0.000000
       0.691000       0.130877       0.000000
       0.692000       0.132325       0.000000
       0.693000       0.133918       0.000000
       0.694000       0.135617       0.000000
       0.695000       0.137467       0.000000
       0.696000       0.139534       0.000000
       0.697000       0.141857       0.000000
       0.698000       0.144367       0.000000
       0.699000       0.146966       0.000000
       0.700000       0.149587       0.000000
       0.701000       0.152281       0.000000
       0.702000       0.155130       0.000000
       0.703000       0.158190       0.000000
       0.704000       0.161403       0.000000
       0.705000       0.164688       0.000000
       0.706000       0.167979       0.000000
       0.707000       0.171283       0.000000
       0.708000       0.174624       0.000000
       0.709000       0.178022       0.000000
       0.710000       0.181477       0.000000
       0.711000       0.184983       0.000000
       0.712000       0.188548       0.000000
       0.713000       0.192220       0.000000
       0.714000       0.196058       0.000000
       0.715000       0.200091       0.000000
       0.716000       0.204224       0.000000
       0.717000       0.208331       0.000000
       0.718000       0.212339       0.000000
       0.719000       0.216392       0.000000
       0.720000       0.220688       0.000000
       0.721000       0.225348       0.000000
       0.722000       0.230193       0.000000
       0.723000       0.234971       0.000000
       0.724000       0.239487       0.000000
       0.725000       0.243790       0.000000
       0.726000       0.247991       0.000000
       0.727000       0.252180       0.000000
       0.728000       0.256369       0.000000
       0.729000       0.260549       0.000000
       0.730000       0.264712       0.000000
       0.731000       0.268837       0.000000
       0.732000       0.272900       0.000000
       0.733000       0.276879       0.000000
       0.734000       0.280751       0.000000
       0.735000       0.284496       0.000000
       0.736000       0.288097       0.000000
       0.737000       0.291571       0.000000
       0.738000       0.294938       0.000000
       0.739000       0.298218       0.000000
       0.740000       0.301431       0.000000
       0.741000       0.304592       0.000000
       0.742000       0.307696       0.000000
       0.743000       0.310647       0.000000
       0.744000       0.313324       0.000000
       0.745000       0.315650       0.000000
       0.746000       0.317715       0.000000
       0.747000       0.319652       0.000000
       0.748000       0.321566       0.000000
       0.749000       0.323448       0.000000
       0.750000       0.325263       0.000000
       0.751000       0.326970       0.000000
       0.752000       0.328522       0.000000
       0.753000       0.329869       0.000000
       0.754000       0.330980       0.000000
       0.755000       0.331912       0.000000
       0.756000       0.332743       0.000000
       0.757000       0.333542       0.000000
       0.758000       0.334342       0.000000
       0.759000       0.335169       0.000000
       0.760000       0.336030       0.000000
       0.761000       0.336863       0.000000
       0.762000       0.337589       0.000000
       0.763000       0.338154       0.000000
       0.764000       0.338614       0.000000
       0.765000       0.339055       0.000000
       0.766000       0.339535       0.000000
       0.767000       0.340022       0.000000
       0.768000       0.340459       0.000000
       0.769000       0.340805       0.000000
       0.770000       0.341089       0.000000
       0.771000       0.341358       0.000000
       0.772000       0.341643       0.000000
       0.773000       0.341930       0.000000
       0.774000       0.342189       0.000000
       0.775000       0.342393       0.000000
       0.776000       0.342523       0.000000
       0.777000       0.342563       0.000000
       0.778000       0.342511       0.000000
       0.779000       0.342436       0.000000
       0.780000       0.342422       0.000000
       0.781000       0.342536       0.000000
       0.782000       0.342767       0.000000
       0.783000       0.343088       0.000000
       0.784000       0.343466       0.000000
       0.785000       0.343863       0.000000
       0.786000       0.344237       0.000000
       0.787000       0.344550       0.000000
       0.788000       0.344775       0.000000
       0.789000       0.344892       0.000000
       0.790000       0.344895       0.000000
       0.791000       0.344858       0.000000
       0.792000       0.344871       0.000000
       0.793000       0.345004       0.000000
       0.794000       0.345240       0.000000
       0.795000       0.345540       0.000000
       0.796000       0.345864       0.000000
       0.797000       0.346176       0.000000
       0.798000       0.346443       0.000000
       0.799000       0.346635       0.000000
       0.800000       0.346758       0.000000
       0.801000       0.346823       0.000000
       0.802000       0.346846       0.000000
       0.803000       0.346854       0.000000
       0.804000       0.346879       0.000000
       0.805000       0.346953       0.000000
