USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Allanite HS293.3B            W1R1Bb AREF
copy of splib05a r 180                                      
       0.205100      -1.23e34        0.202566
       0.213100      -1.23e34        0.017272
       0.221100       0.022385       0.004154
       0.229100       0.023288       0.001804
       0.236100       0.025546       0.001219
       0.242100       0.027974       0.001137
       0.248100       0.028180       0.001091
       0.253600       0.026463       0.001059
       0.258600       0.028236       0.001045
       0.263600       0.027216       0.001043
       0.268600       0.027755       0.001068
       0.273100       0.026396       0.001090
       0.277100       0.027770       0.001115
       0.281100       0.028504       0.001140
       0.285100       0.027538       0.001183
       0.289100       0.028505       0.001225
       0.293100       0.026332       0.001275
       0.297100       0.028682       0.001298
       0.301100       0.028821       0.001361
       0.305100       0.030349       0.001394
       0.309100       0.030998       0.001415
       0.313100       0.029943       0.001440
       0.317100       0.032971       0.001465
       0.321100       0.030289       0.001498
       0.325100       0.029300       0.001511
       0.329100       0.030094       0.001479
       0.333100       0.031460       0.001475
       0.337100       0.032423       0.001209
       0.341100       0.034584       0.001491
       0.345100       0.034841       0.001516
       0.349100       0.035072       0.001503
       0.353100       0.034173       0.000839
       0.357100       0.034327       0.000890
       0.360600       0.034607       0.001337
       0.363600       0.036174       0.001190
       0.366600       0.037342       0.000797
       0.369600       0.037315       0.000924
       0.372600       0.037074       0.001530
       0.375600       0.039338       0.001370
       0.378600       0.038234       0.000767
       0.381100       0.038600       0.001452
       0.383100       0.037232       0.001014
       0.385100       0.039574       0.000723
       0.387100       0.039356       0.001136
       0.389100       0.039912       0.001111
       0.391100       0.040598       0.001534
       0.393100       0.038772       0.001536
       0.395100       0.041029       0.001512
       0.397100       0.038986       0.001535
       0.399100       0.039381       0.001536
       0.401100       0.041934       0.001545
       0.403100       0.040251       0.001539
       0.405100       0.043007       0.001545
       0.407100       0.039971       0.001074
       0.409100       0.041063       0.000965
       0.411100       0.039736       0.001529
       0.412800       0.044624       0.001499
       0.415800       0.039755       0.001566
       0.418800       0.037445       0.001523
       0.421800       0.040211       0.001552
       0.424800       0.041013       0.001576
       0.427800       0.042768       0.001561
       0.430800       0.044104       0.001384
       0.433800       0.040933       0.001542
       0.436800       0.041888       0.001537
       0.439800       0.041996       0.001530
       0.442800       0.043614       0.001085
       0.445800       0.043300       0.001528
       0.448800       0.044129       0.001587
       0.451300       0.042343       0.001089
       0.453300       0.043479       0.000724
       0.455300       0.043546       0.001010
       0.457300       0.043954       0.001134
       0.459300       0.043180       0.000795
       0.461300       0.043848       0.000891
       0.463300       0.043780       0.001204
       0.465300       0.044591       0.001033
       0.467300       0.044467       0.000593
       0.469300       0.044816       0.001272
       0.471300       0.044459       0.000854
       0.473300       0.044938       0.001188
       0.475300       0.045610       0.000571
       0.477300       0.044754       0.000833
       0.479300       0.043595       0.000943
       0.481300       0.044753       0.000642
       0.483300       0.043841       0.001164
       0.485300       0.044673       0.001421
       0.487300       0.043185       0.001098
       0.489300       0.043479       0.001224
       0.491300       0.045104       0.001044
       0.493300       0.044320       0.001265
       0.495300       0.043673       0.001082
       0.497300       0.045626       0.000684
       0.499300       0.044264       0.001051
       0.501300       0.045737       0.001119
       0.503300       0.044647       0.000663
       0.505300       0.044194       0.001259
       0.507300       0.045389       0.000874
       0.509300       0.044679       0.001055
       0.511300       0.045111       0.000623
       0.513300       0.045136       0.000884
       0.515300       0.044865       0.001029
       0.517300       0.045203       0.000954
       0.519300       0.045331       0.001017
       0.521300       0.044200       0.000735
       0.523300       0.044595       0.000759
       0.525300       0.046161       0.001157
       0.527300       0.046277       0.001096
       0.529300       0.044867       0.000805
       0.531300       0.044753       0.000766
       0.533300       0.045773       0.000854
       0.535300       0.046344       0.001540
       0.537300       0.044515       0.001601
       0.539300       0.043599       0.001605
       0.541300       0.046519       0.001595
       0.543300       0.046741       0.001586
       0.545300       0.046299       0.001617
       0.547300       0.046221       0.001607
       0.549300       0.046433       0.001602
       0.551300       0.046389       0.001597
       0.553300       0.047036       0.001613
       0.555300       0.047835       0.001615
       0.557300       0.045708       0.001083
       0.559300       0.045360       0.001161
       0.561300       0.044741       0.001122
       0.563300       0.047023       0.001580
       0.565300       0.045897       0.001622
       0.567300       0.045688       0.001604
       0.569300       0.046355       0.000730
       0.571300       0.046246       0.001297
       0.573300       0.046429       0.001099
       0.575300       0.045330       0.000956
       0.577300       0.045179       0.001179
       0.579300       0.046082       0.000996
       0.581300       0.045757       0.001385
       0.583300       0.044709       0.001009
       0.585300       0.047261       0.001538
       0.587300       0.046614       0.000699
       0.589300       0.047451       0.000893
       0.591300       0.046598       0.001196
       0.593300       0.046103       0.001289
       0.595300       0.047430       0.000642
       0.597300       0.046545       0.001152
       0.599300       0.046644       0.001154
       0.601100       0.047442       0.000878
       0.602700       0.046827       0.000764
       0.604300       0.045762       0.001246
       0.605900       0.043571       0.001589
       0.607500       0.044566       0.001565
       0.609100       0.044985       0.001614
       0.610700       0.047591       0.001591
       0.612300       0.048945       0.001589
       0.613900       0.046366       0.001580
       0.615500       0.049095       0.001616
       0.617100       0.045904       0.001142
       0.618700       0.048303       0.001583
       0.620300       0.048663       0.001589
       0.621900       0.048355       0.001579
       0.623500       0.045358       0.001598
       0.625100       0.047033       0.001616
       0.626700       0.047596       0.001587
       0.628300       0.047058       0.001017
       0.629900       0.044501       0.001607
       0.631700       0.045896       0.000964
       0.633700       0.047358       0.001595
       0.635700       0.047215       0.001608
       0.637700       0.047132       0.001088
       0.639700       0.049650       0.001613
       0.641700       0.047772       0.000969
       0.643700       0.046459       0.000656
       0.645700       0.046229       0.001260
       0.647700       0.046843       0.000983
       0.649700       0.047269       0.001075
       0.651700       0.046516       0.000711
       0.653700       0.047375       0.001282
       0.655700       0.045430       0.001510
       0.657700       0.045959       0.001474
       0.659700       0.046038       0.001408
       0.661700       0.047891       0.000983
       0.663700       0.049113       0.001266
       0.665700       0.045335       0.001578
       0.667700       0.047562       0.001065
       0.670200       0.048126       0.001618
       0.673200       0.046749       0.000723
       0.676200       0.047238       0.001322
       0.679200       0.047430       0.000661
       0.682200       0.047434       0.001293
       0.685200       0.046836       0.001142
       0.688200       0.046663       0.001283
       0.691200       0.047710       0.000646
       0.694200       0.047796       0.000628
       0.697200       0.046600       0.001321
       0.700200       0.047411       0.001631
       0.702000       0.046882       0.000678
       0.704000       0.046610       0.000899
       0.706000       0.048318       0.000788
       0.708000       0.047200       0.000774
       0.710000       0.047472       0.001190
       0.712000       0.046947       0.000935
       0.714000       0.047486       0.000741
       0.716000       0.045745       0.000886
       0.718000       0.047446       0.000786
       0.720000       0.048296       0.001576
       0.722000       0.047036       0.000894
       0.724000       0.046535       0.001201
       0.726000       0.046527       0.000980
       0.728000       0.048228       0.001091
       0.730000       0.046915       0.001584
       0.732000       0.047543       0.000873
       0.734000       0.046175       0.001456
       0.736000       0.047118       0.001117
       0.738000       0.045309       0.001632
       0.740000       0.048780       0.001283
       0.742000       0.048251       0.000765
       0.744000       0.048000       0.001582
       0.746000       0.048316       0.001643
       0.748000       0.045579       0.001242
       0.750500       0.046946       0.000803
       0.753500       0.047650       0.001065
       0.756500       0.047251       0.001127
       0.759500       0.047315       0.000748
       0.762500       0.047648       0.001486
       0.765500       0.046861       0.000702
       0.768500       0.048087       0.001590
       0.771500       0.047888       0.001472
       0.774500       0.048831       0.001688
       0.777500       0.048477       0.001028
       0.781000       0.046401       0.000644
       0.785000       0.048306       0.001160
       0.789000       0.049106       0.001312
       0.793000       0.047449       0.001655
       0.797000       0.048108       0.001022
       0.801500       0.048534       0.001433
       0.806500       0.047818       0.000960
       0.811500       0.047846       0.001694
       0.816500       0.048484       0.001410
       0.822000       0.047725       0.001220
       0.828000       0.047745       0.000908
       0.835000       0.046625       0.001704
       0.843000      -1.23e34        0.000000
       0.851000       0.044490       0.002269
       0.859000       0.050477       0.001781
       0.871000       0.048286       0.001777
       0.883000       0.049621       0.001742
       0.894000       0.048893       0.001719
       0.904000       0.047599       0.001191
       0.914000       0.045942       0.001757
       0.924000       0.046172       0.001790
       0.933000       0.049915       0.001777
       0.941000       0.046597       0.001775
       0.949000       0.047755       0.001795
       0.957000       0.047626       0.001794
       0.964000       0.045661       0.001796
       0.970000       0.045760       0.001595
       0.976000       0.046719       0.001338
       0.982000       0.048077       0.001774
       0.988000       0.048064       0.001695
       0.994000       0.046574       0.001611
       1.000000       0.048989       0.001609
       1.006000       0.047108       0.001506
       1.012000       0.047358       0.001238
       1.018000       0.047432       0.001764
       1.023500       0.046358       0.001793
       1.028500       0.047846       0.001730
       1.033500       0.047280       0.001377
       1.038500       0.047170       0.001741
       1.043500       0.049983       0.001794
       1.048500       0.046556       0.001242
       1.053500       0.047305       0.001399
       1.058500       0.045255       0.001684
       1.063500       0.049106       0.001210
       1.068500       0.049975       0.001656
       1.073500       0.049387       0.001648
       1.078500       0.047913       0.001433
       1.083500       0.047486       0.001590
       1.088500       0.049852       0.001370
       1.093500       0.047687       0.001361
       1.098500       0.047912       0.001359
       1.103500       0.048476       0.001053
       1.108500       0.049038       0.001353
       1.113500       0.049891       0.000763
       1.118500       0.049457       0.001378
       1.123500       0.049127       0.000998
       1.128500       0.049901       0.000977
       1.133500       0.049253       0.001751
       1.138500       0.048841       0.001014
       1.143500       0.048582       0.001177
       1.148500       0.052719       0.000924
       1.153500       0.052300       0.001713
       1.158500       0.049739       0.000864
       1.163500       0.050984       0.001540
       1.168500       0.049835       0.001440
       1.173500       0.049120       0.000919
       1.178500       0.048563       0.001449
       1.183500       0.052133       0.001721
       1.188500       0.052188       0.001716
       1.193500       0.051533       0.001765
       1.198500       0.051239       0.001253
       1.203500       0.051824       0.001333
       1.208500       0.051499       0.001097
       1.213500       0.051472       0.001350
       1.218500       0.053951       0.001816
       1.223500       0.053179       0.001074
       1.228500       0.054617       0.000881
       1.233500       0.054263       0.001506
       1.238500       0.055328       0.001096
       1.243500       0.053858       0.001196
       1.248500       0.053866       0.001222
       1.253500       0.052926       0.001441
       1.258500       0.055270       0.001305
       1.263500       0.057122       0.000905
       1.268500       0.057715       0.001229
       1.273500       0.057375       0.001182
       1.278500       0.055275       0.001403
       1.283500       0.056071       0.001171
       1.288500       0.057192       0.000964
       1.293500       0.058673       0.000801
       1.298500       0.057344       0.000791
       1.303500       0.057878       0.001348
       1.308500       0.058633       0.001124
       1.313500       0.058431       0.000990
       1.318500       0.057691       0.000970
       1.323500       0.059428       0.000894
       1.328500       0.058430       0.001042
       1.333500       0.059030       0.001056
       1.338500       0.060270       0.001392
       1.343500       0.059552       0.001460
       1.348500       0.060610       0.001748
       1.353500       0.059754       0.000999
       1.358500       0.060818       0.001614
       1.363500       0.061598       0.001775
       1.368500       0.062112       0.001825
       1.373500       0.063476       0.001761
       1.378500       0.063114       0.001779
       1.383500       0.062807       0.001721
       1.388500       0.062440       0.001626
       1.393500       0.061866       0.001582
       1.398500       0.064089       0.001727
       1.403500       0.062613       0.001771
       1.408500       0.063428       0.001486
       1.413500       0.063622       0.001726
       1.418500       0.062381       0.001151
       1.423500       0.064430       0.001809
       1.428500       0.064651       0.001547
       1.433500       0.064858       0.001758
       1.438500       0.063559       0.001642
       1.443500       0.065658       0.001093
       1.448500       0.065549       0.001758
       1.453500       0.063628       0.001117
       1.458500       0.068899       0.001807
       1.463500       0.064159       0.001539
       1.468500       0.064741       0.001533
       1.473500       0.063295       0.001136
       1.478500       0.066606       0.001820
       1.483500       0.066108       0.001339
       1.488500       0.065066       0.001537
       1.493500       0.064384       0.001786
       1.498500       0.064703       0.001771
       1.503500       0.067018       0.001612
       1.508500       0.066728       0.001761
       1.513500       0.066528       0.001419
       1.518500       0.067704       0.001843
       1.523500       0.065864       0.001815
       1.528500       0.066892       0.001831
       1.534000       0.069177       0.000948
       1.540000       0.066613       0.001164
       1.546000       0.066796       0.001025
       1.552000       0.066191       0.001094
       1.558000       0.070396       0.001266
       1.564000       0.069088       0.001765
       1.570500       0.067314       0.000737
       1.577500       0.066659       0.000893
       1.584500       0.066904       0.001390
       1.591500       0.067566       0.000808
       1.598500       0.068172       0.001345
       1.605500       0.067494       0.000798
       1.612500       0.068131       0.001115
       1.619500       0.066963       0.000891
       1.626500       0.067998       0.001797
       1.633500       0.067067       0.001711
       1.640500       0.066547       0.001769
       1.647500       0.066046       0.001183
       1.654500       0.065175       0.001462
       1.661500       0.067846       0.000692
       1.668500       0.067043       0.001359
       1.676000       0.067302       0.001479
       1.684000       0.066915       0.001581
       1.692000       0.068666       0.001467
       1.700000       0.066055       0.001812
       1.708000       0.067457       0.001802
       1.716000       0.065487       0.001077
       1.724000       0.069068       0.001754
       1.732000       0.062037       0.001831
       1.740000       0.066273       0.001807
       1.748000       0.067034       0.001402
       1.756000       0.064615       0.001853
       1.764000       0.066938       0.001841
       1.772000       0.067148       0.001751
       1.780000       0.066321       0.001807
       1.788000       0.071118       0.001827
       1.796000       0.067688       0.001393
       1.805000       0.068246       0.001149
       1.815000       0.067305       0.001070
       1.825000       0.068243       0.000896
       1.835000       0.067987       0.001604
       1.845000       0.067867       0.001313
       1.855000       0.067092       0.001600
       1.865000       0.069596       0.001743
       1.875000       0.068274       0.001711
       1.885000       0.067788       0.001059
       1.895000       0.068125       0.001819
       1.905000       0.069446       0.001791
       1.915000       0.069630       0.001857
       1.925000       0.069724       0.001454
       1.935000       0.070119       0.001826
       1.945000       0.068333       0.001456
       1.955000       0.070063       0.001319
       1.965000       0.068541       0.001342
       1.975000       0.070987       0.001740
       1.985000       0.070118       0.001785
       1.995000       0.073656       0.001355
       2.005000       0.074027       0.001438
       2.015000       0.071657       0.001605
       2.025000       0.071832       0.001765
       2.035000       0.074705       0.001806
       2.045000       0.075066       0.001832
       2.055000       0.073606       0.001822
       2.065000       0.075863       0.001308
       2.075000       0.075751       0.001809
       2.085000       0.072087       0.001787
       2.095000       0.078642       0.001836
       2.105000       0.079565       0.001809
       2.115000       0.073620       0.001805
       2.125000       0.079134       0.001816
       2.135000       0.080860       0.001795
       2.145000       0.081921       0.001808
       2.155000       0.078901       0.001779
       2.165000       0.079723       0.001791
       2.175000       0.079543       0.001821
       2.185000       0.075978       0.001698
       2.195000       0.080895       0.001801
       2.205000       0.079616       0.001860
       2.215000       0.082261       0.001854
       2.225000       0.079392       0.001835
       2.235000       0.078479       0.001854
       2.245000       0.080829       0.001852
       2.255000       0.080231       0.001862
       2.265000       0.081388       0.001862
       2.275000       0.076729       0.002076
       2.285000       0.080744       0.002453
       2.295000       0.081058       0.003355
       2.305000       0.080056       0.003188
       2.315000       0.078530       0.002232
       2.325000       0.078420       0.001841
       2.335000       0.080682       0.001823
       2.345000       0.080324       0.001766
