USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alunite GDS82 Na82           W1R1Bb AREF
copy of splib05a r 320                                      
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100       0.234365       0.000000
       0.229100       0.240131       0.000000
       0.236100       0.233195       0.000000
       0.242100       0.226752       0.000000
       0.248100       0.215871       0.000000
       0.253600       0.212306       0.000000
       0.258600       0.215435       0.000000
       0.263600       0.221676       0.000000
       0.268600       0.233012       0.000000
       0.273100       0.246333       0.000000
       0.277100       0.259880       0.000000
       0.281100       0.275552       0.000000
       0.285100       0.289524       0.000000
       0.289100       0.308886       0.000000
       0.293100       0.324772       0.000000
       0.297100       0.342769       0.000000
       0.301100       0.343365       0.000000
       0.305100       0.356040       0.000000
       0.309100       0.366339       0.000000
       0.313100       0.375711       0.000000
       0.317100       0.384634       0.000000
       0.321100       0.392872       0.000000
       0.325100       0.403448       0.000000
       0.329100       0.410565       0.000000
       0.333100       0.418567       0.000000
       0.337100       0.426463       0.000000
       0.341100       0.434970       0.000000
       0.345100       0.443090       0.000000
       0.349100       0.451066       0.000000
       0.353100       0.458836       0.000000
       0.357100       0.465573       0.000000
       0.360600       0.471702       0.000000
       0.363600       0.477130       0.000000
       0.366600       0.483386       0.000000
       0.369600       0.488609       0.000000
       0.372600       0.494047       0.000000
       0.375600       0.500250       0.000000
       0.378600       0.508747       0.000000
       0.381100       0.515689       0.000000
       0.383100       0.520517       0.000000
       0.385100       0.526276       0.000000
       0.387100       0.529263       0.000000
       0.389100       0.534697       0.000000
       0.391100       0.539629       0.000000
       0.393100       0.544010       0.000000
       0.395100       0.547504       0.000000
       0.397100       0.551739       0.000000
       0.399100       0.555307       0.000000
       0.401100       0.560461       0.000000
       0.403100       0.564539       0.000000
       0.405100       0.568066       0.000000
       0.407100       0.571596       0.000000
       0.409100       0.574460       0.000000
       0.411100       0.580115       0.000000
       0.412800       0.583176       0.000000
       0.415800       0.587673       0.000000
       0.418800       0.592402       0.000000
       0.421800       0.597714       0.000000
       0.424800       0.603233       0.000000
       0.427800       0.609256       0.000000
       0.430800       0.614535       0.000000
       0.433800       0.621109       0.000000
       0.436800       0.626499       0.000000
       0.439800       0.631856       0.000000
       0.442800       0.638316       0.000000
       0.445800       0.642375       0.000000
       0.448800       0.646670       0.000000
       0.451300       0.650471       0.000000
       0.453300       0.653981       0.000000
       0.455300       0.655598       0.000000
       0.457300       0.657137       0.000000
       0.459300       0.658841       0.000000
       0.461300       0.661477       0.000000
       0.463300       0.661908       0.000000
       0.465300       0.664092       0.000000
       0.467300       0.665462       0.000000
       0.469300       0.667879       0.000000
       0.471300       0.669729       0.000000
       0.473300       0.671556       0.000000
       0.475300       0.673695       0.000000
       0.477300       0.677088       0.000000
       0.479300       0.679227       0.000000
       0.481300       0.680115       0.000000
       0.483300       0.683504       0.000000
       0.485300       0.684453       0.000000
       0.487300       0.688472       0.000000
       0.489300       0.690680       0.000000
       0.491300       0.692566       0.000000
       0.493300       0.695126       0.000000
       0.495300       0.697708       0.000000
       0.497300       0.701804       0.000000
       0.499300       0.704151       0.000000
       0.501300       0.708607       0.000000
       0.503300       0.709701       0.000000
       0.505300       0.712709       0.000000
       0.507300       0.715358       0.000000
       0.509300       0.718870       0.000000
       0.511300       0.721432       0.000000
       0.513300       0.725740       0.000000
       0.515300       0.727142       0.000000
       0.517300       0.731978       0.000000
       0.519300       0.734319       0.000000
       0.521300       0.736011       0.000000
       0.523300       0.739345       0.000000
       0.525300       0.742054       0.000000
       0.527300       0.744712       0.000000
       0.529300       0.749128       0.000000
       0.531300       0.752183       0.000000
       0.533300       0.756823       0.000000
       0.535300       0.757186       0.000000
       0.537300       0.759113       0.000000
       0.539300       0.762436       0.000000
       0.541300       0.766613       0.000000
       0.543300       0.767557       0.000000
       0.545300       0.769905       0.000000
       0.547300       0.772391       0.000000
       0.549300       0.773050       0.000000
       0.551300       0.775645       0.000000
       0.553300       0.777875       0.000000
       0.555300       0.779768       0.000000
       0.557300       0.782275       0.000000
       0.559300       0.784492       0.000000
       0.561300       0.781151       0.000000
       0.563300       0.782331       0.000000
       0.565300       0.784891       0.000000
       0.567300       0.786854       0.000000
       0.569300       0.790064       0.000000
       0.571300       0.790698       0.000000
       0.573300       0.792216       0.000000
       0.575300       0.794101       0.000000
       0.577300       0.794921       0.000000
       0.579300       0.797361       0.000000
       0.581300       0.798636       0.000000
       0.583300       0.801460       0.000000
       0.585300       0.800638       0.000000
       0.587300       0.803266       0.000000
       0.589300       0.803262       0.000000
       0.591300       0.804842       0.000000
       0.593300       0.805218       0.000000
       0.595300       0.805793       0.000000
       0.597300       0.806552       0.000000
       0.599300       0.807838       0.000000
       0.601100       0.808935       0.000000
       0.602700       0.808505       0.000000
       0.604300       0.809703       0.000000
       0.605900       0.810618       0.000000
       0.607500       0.811553       0.000000
       0.609100       0.810133       0.000000
       0.610700       0.812182       0.000000
       0.612300       0.812558       0.000000
       0.613900       0.813476       0.000000
       0.615500       0.814939       0.000000
       0.617100       0.813908       0.000000
       0.618700       0.816135       0.000000
       0.620300       0.815403       0.000000
       0.621900       0.816845       0.000000
       0.623500       0.817872       0.000000
       0.625100       0.820460       0.000000
       0.626700       0.819970       0.000000
       0.628300       0.819963       0.000000
       0.629900       0.821723       0.000000
       0.631700       0.821508       0.000000
       0.633700       0.822708       0.000000
       0.635700       0.821581       0.000000
       0.637700       0.825719       0.000000
       0.639700       0.826276       0.000000
       0.641700       0.826169       0.000000
       0.643700       0.826346       0.000000
       0.645700       0.827696       0.000000
       0.647700       0.829925       0.000000
       0.649700       0.831175       0.000000
       0.651700       0.830531       0.000000
       0.653700       0.831339       0.000000
       0.655700       0.832648       0.000000
       0.657700       0.832263       0.000000
       0.659700       0.834453       0.000000
       0.661700       0.834183       0.000000
       0.663700       0.836367       0.000000
       0.665700       0.837105       0.000000
       0.667700       0.837068       0.000000
       0.670200       0.837913       0.000000
       0.673200       0.839640       0.000000
       0.676200       0.840013       0.000000
       0.679200       0.842596       0.000000
       0.682200       0.842400       0.000000
       0.685200       0.845355       0.000000
       0.688200       0.845884       0.000000
       0.691200       0.846471       0.000000
       0.694200       0.848337       0.000000
       0.697200       0.847920       0.000000
       0.700200       0.852244       0.000000
       0.702000       0.852410       0.000000
       0.704000       0.853101       0.000000
       0.706000       0.855063       0.000000
       0.708000       0.854648       0.000000
       0.710000       0.856751       0.000000
       0.712000       0.857895       0.000000
       0.714000       0.857754       0.000000
       0.716000       0.859049       0.000000
       0.718000       0.859407       0.000000
       0.720000       0.861378       0.000000
       0.722000       0.859958       0.000000
       0.724000       0.861042       0.000000
       0.726000       0.861283       0.000000
       0.728000       0.862823       0.000000
       0.730000       0.862965       0.000000
       0.732000       0.863149       0.000000
       0.734000       0.865214       0.000000
       0.736000       0.864113       0.000000
       0.738000       0.865097       0.000000
       0.740000       0.865462       0.000000
       0.742000       0.867534       0.000000
       0.744000       0.867055       0.000000
       0.746000       0.868487       0.000000
       0.748000       0.868776       0.000000
       0.750500       0.869846       0.000000
       0.753500       0.869240       0.000000
       0.756500       0.870885       0.000000
       0.759500       0.871825       0.000000
       0.762500       0.873118       0.000000
       0.765500       0.873387       0.000000
       0.768500       0.872691       0.000000
       0.771500       0.875638       0.000000
       0.774500       0.876357       0.000000
       0.777500       0.875697       0.000000
       0.781000       0.877387       0.000000
       0.785000       0.877647       0.000000
       0.789000       0.877311       0.000000
       0.793000       0.877854       0.000000
       0.797000       0.879468       0.000000
       0.801500       0.881025       0.000000
       0.806500       0.880885       0.000000
       0.811500       0.881513       0.000000
       0.816500       0.881477       0.000000
       0.822000       0.883840       0.000000
       0.828000       0.881874       0.000000
       0.835000       0.881199       0.000000
       0.843000       0.882600       0.000000
       0.851000       0.885871       0.000000
       0.859000       0.882447       0.000000
       0.871000       0.882162       0.000000
       0.883000       0.877315       0.000000
       0.894000       0.881685       0.000000
       0.904000       0.880338       0.000000
       0.914000       0.880494       0.000000
       0.924000       0.877587       0.000000
       0.933000       0.879800       0.000000
       0.941000       0.878590       0.000000
       0.949000       0.876732       0.000000
       0.957000       0.876571       0.000000
       0.964000       0.879046       0.000000
       0.970000       0.876249       0.000000
       0.976000       0.879778       0.000000
       0.982000       0.880708       0.000000
       0.988000       0.878803       0.000000
       0.994000       0.878380       0.000000
       1.000000       0.878008       0.000000
       1.006000       0.878731       0.000000
       1.012000       0.878559       0.000000
       1.018000       0.880793       0.000000
       1.023500       0.880666       0.000000
       1.028500       0.882461       0.000000
       1.033500       0.884647       0.000000
       1.038500       0.883693       0.000000
       1.043500       0.885491       0.000000
       1.048500       0.884287       0.000000
       1.053500       0.885786       0.000000
       1.058500       0.885786       0.000000
       1.063500       0.886136       0.000000
       1.068500       0.887282       0.000000
       1.073500       0.886457       0.000000
       1.078500       0.886885       0.000000
       1.083500       0.886272       0.000000
       1.088500       0.890102       0.000000
       1.093500       0.888268       0.000000
       1.098500       0.890371       0.000000
       1.103500       0.890598       0.000000
       1.108500       0.888416       0.000000
       1.113500       0.889374       0.000000
       1.118500       0.890218       0.000000
       1.123500       0.892023       0.000000
       1.128500       0.890531       0.000000
       1.133500       0.891742       0.000000
       1.138500       0.891834       0.000000
       1.143500       0.890851       0.000000
       1.148500       0.891058       0.000000
       1.153500       0.892132       0.000000
       1.158500       0.889769       0.000000
       1.163500       0.890093       0.000000
       1.168500       0.890380       0.000000
       1.173500       0.890509       0.000000
       1.178500       0.888622       0.000000
       1.183500       0.892419       0.000000
       1.188500       0.892610       0.000000
       1.193500       0.893313       0.000000
       1.198500       0.890834       0.000000
       1.203500       0.891984       0.000000
       1.208500       0.892087       0.000000
       1.213500       0.890986       0.000000
       1.218500       0.891744       0.000000
       1.223500       0.892428       0.000000
       1.228500       0.891703       0.000000
       1.233500       0.889695       0.000000
       1.238500       0.887774       0.000000
       1.243500       0.888852       0.000000
       1.248500       0.890091       0.000000
       1.253500       0.889311       0.000000
       1.258500       0.888094       0.000000
       1.263500       0.886810       0.000000
       1.268500       0.885566       0.000000
       1.273500       0.884815       0.000000
       1.278500       0.884176       0.000000
       1.283500       0.884303       0.000000
       1.288500       0.886573       0.000000
       1.293500       0.887446       0.000000
       1.298500       0.888548       0.000000
       1.303500       0.890350       0.000000
       1.308500       0.887986       0.000000
       1.313500       0.889274       0.000000
       1.318500       0.885108       0.000000
       1.323500       0.886918       0.000000
       1.328500       0.881431       0.000000
       1.333500       0.881401       0.000000
       1.338500       0.878143       0.000000
       1.343500       0.877967       0.000000
       1.348500       0.875140       0.000000
       1.353500       0.872983       0.000000
       1.358500       0.871540       0.000000
       1.363500       0.873565       0.000000
       1.368500       0.869910       0.000000
       1.373500       0.869516       0.000000
       1.378500       0.863354       0.000000
       1.383500       0.852676       0.000000
       1.388500       0.845410       0.000000
       1.393500       0.839755       0.000000
       1.398500       0.831009       0.000000
       1.403500       0.823009       0.000000
       1.408500       0.809166       0.000000
       1.413500       0.797314       0.000000
       1.418500       0.786917       0.000000
       1.423500       0.781122       0.000000
       1.428500       0.763801       0.000000
       1.433500       0.748072       0.000000
       1.438500       0.741198       0.000000
       1.443500       0.748416       0.000000
       1.448500       0.756979       0.000000
       1.453500       0.765401       0.000000
       1.458500       0.767251       0.000000
       1.463500       0.767092       0.000000
       1.468500       0.764978       0.000000
       1.473500       0.761176       0.000000
       1.478500       0.757351       0.000000
       1.483500       0.748512       0.000000
       1.488500       0.741345       0.000000
       1.493500       0.740903       0.000000
       1.498500       0.743333       0.000000
       1.503500       0.759985       0.000000
       1.508500       0.768676       0.000000
       1.513500       0.778569       0.000000
       1.518500       0.785700       0.000000
       1.523500       0.793710       0.000000
       1.528500       0.794347       0.000000
       1.534000       0.802776       0.000000
       1.540000       0.804747       0.000000
       1.546000       0.808880       0.000000
       1.552000       0.811536       0.000000
       1.558000       0.813324       0.000000
       1.564000       0.812855       0.000000
       1.570500       0.812664       0.000000
       1.577500       0.813873       0.000000
       1.584500       0.814017       0.000000
       1.591500       0.814655       0.000000
       1.598500       0.814448       0.000000
       1.605500       0.814793       0.000000
       1.612500       0.814434       0.000000
       1.619500       0.813943       0.000000
       1.626500       0.813467       0.000000
       1.633500       0.811989       0.000000
       1.640500       0.812075       0.000000
       1.647500       0.810781       0.000000
       1.654500       0.808196       0.000000
       1.661500       0.805896       0.000000
       1.668500       0.805958       0.000000
       1.676000       0.801990       0.000000
       1.684000       0.801142       0.000000
       1.692000       0.801186       0.000000
       1.700000       0.798079       0.000000
       1.708000       0.795899       0.000000
       1.716000       0.788040       0.000000
       1.724000       0.779390       0.000000
       1.732000       0.766723       0.000000
       1.740000       0.752058       0.000000
       1.748000       0.737848       0.000000
       1.756000       0.727688       0.000000
       1.764000       0.722185       0.000000
       1.772000       0.723604       0.000000
       1.780000       0.739952       0.000000
       1.788000       0.760117       0.000000
       1.796000       0.766994       0.000000
       1.805000       0.772336       0.000000
       1.815000       0.773655       0.000000
       1.825000       0.773497       0.000000
       1.835000       0.773445       0.000000
       1.845000       0.767480       0.000000
       1.855000       0.763368       0.000000
       1.865000       0.753178       0.000000
       1.875000       0.737805       0.000000
       1.885000       0.710715       0.000000
       1.895000       0.678159       0.000000
       1.905000       0.636947       0.000000
       1.915000       0.605918       0.000000
       1.925000       0.589676       0.000000
       1.935000       0.587648       0.000000
       1.945000       0.593021       0.000000
       1.955000       0.596983       0.000000
       1.965000       0.602144       0.000000
       1.975000       0.606827       0.000000
       1.985000       0.605727       0.000000
       1.995000       0.606955       0.000000
       2.005000       0.604939       0.000000
       2.015000       0.607905       0.000000
       2.025000       0.609737       0.000000
       2.035000       0.608410       0.000000
       2.045000       0.606302       0.000000
       2.055000       0.609720       0.000000
       2.065000       0.609186       0.000000
       2.075000       0.607195       0.000000
       2.085000       0.606118       0.000000
       2.095000       0.603301       0.000000
       2.105000       0.599377       0.000000
       2.115000       0.595649       0.000000
       2.125000       0.578523       0.000000
       2.135000       0.559062       0.000000
       2.145000       0.530314       0.000000
       2.155000       0.499956       0.000000
       2.165000       0.481413       0.000000
       2.175000       0.478206       0.000000
       2.185000       0.488716       0.000000
       2.195000       0.506140       0.000000
       2.205000       0.517807       0.000000
       2.215000       0.527710       0.000000
       2.225000       0.550844       0.000000
       2.235000       0.575879       0.000000
       2.245000       0.599494       0.000000
       2.255000       0.604968       0.000000
       2.265000       0.610938       0.000000
       2.275000       0.607427       0.000000
       2.285000       0.601732       0.000000
       2.295000       0.586874       0.000000
       2.305000       0.566673       0.000000
       2.315000       0.533884       0.000000
       2.325000       0.518832       0.000000
       2.335000       0.512380       0.000000
       2.345000       0.514679       0.000000
