USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alunite HS295.3B             W1R1Ba AREF
copy of splib05a r 577                                      
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.229065
       0.221100      -1.23e34        0.059202
       0.229100      -1.23e34        0.025343
       0.236100      -1.23e34        0.019043
       0.242100      -1.23e34        0.009992
       0.248100       0.094652       0.010744
       0.253600       0.096309       0.009238
       0.258600       0.091916       0.007446
       0.263600       0.084736       0.006613
       0.268600       0.106048       0.006725
       0.273100       0.093010       0.006890
       0.277100       0.081316       0.008215
       0.281100       0.082950       0.007889
       0.285100       0.091823       0.007701
       0.289100       0.105419       0.006189
       0.293100       0.096167       0.006078
       0.297100       0.106470       0.005975
       0.301100       0.104244       0.007353
       0.305100       0.130350       0.007254
       0.309100       0.130835       0.006583
       0.313100       0.135755       0.006500
       0.317100       0.127054       0.006224
       0.321100       0.161453       0.006375
       0.325100       0.161556       0.006614
       0.329100       0.186034       0.005235
       0.333100       0.204030       0.005435
       0.337100       0.205036       0.005621
       0.341100       0.219699       0.005876
       0.345100       0.244532       0.005791
       0.349100       0.253177       0.005593
       0.353100       0.279135       0.001819
       0.357100       0.297792       0.001832
       0.360600       0.311594       0.001841
       0.363600       0.318929       0.001841
       0.366600       0.331553       0.001786
       0.369600       0.347898       0.001812
       0.372600       0.358590       0.001832
       0.375600       0.370434       0.001761
       0.378600       0.377597       0.001823
       0.381100       0.383708       0.001831
       0.383100       0.395141       0.001833
       0.385100       0.397453       0.001817
       0.387100       0.407912       0.001792
       0.389100       0.414204       0.001854
       0.391100       0.416222       0.001847
       0.393100       0.422901       0.001841
       0.395100       0.432149       0.001831
       0.397100       0.432799       0.001842
       0.399100       0.438726       0.001672
       0.401100       0.443169       0.001813
       0.403100       0.446987       0.001829
       0.405100       0.453881       0.001785
       0.407100       0.453641       0.001754
       0.409100       0.452054       0.001744
       0.411100       0.458568       0.002148
       0.412800       0.463002       0.001852
       0.415800       0.468377       0.001832
       0.418800       0.471118       0.001825
       0.421800       0.470476       0.001781
       0.424800       0.475487       0.001739
       0.427800       0.483212       0.001766
       0.430800       0.481952       0.001670
       0.433800       0.484584       0.001821
       0.436800       0.482739       0.001450
       0.439800       0.492382       0.001822
       0.442800       0.494923       0.001738
       0.445800       0.489641       0.001795
       0.448800       0.502123       0.001811
       0.451300       0.503328       0.001869
       0.453300       0.501078       0.001852
       0.455300       0.502625       0.001849
       0.457300       0.499676       0.001795
       0.459300       0.504933       0.001863
       0.461300       0.504893       0.001773
       0.463300       0.508694       0.001847
       0.465300       0.506667       0.001844
       0.467300       0.509679       0.001804
       0.469300       0.510494       0.001856
       0.471300       0.510130       0.001806
       0.473300       0.514908       0.001845
       0.475300       0.513556       0.001806
       0.477300       0.515040       0.001839
       0.479300       0.516931       0.001862
       0.481300       0.518138       0.001831
       0.483300       0.518749       0.001832
       0.485300       0.524473       0.001824
       0.487300       0.525236       0.001857
       0.489300       0.530553       0.001848
       0.491300       0.529384       0.001805
       0.493300       0.535664       0.001849
       0.495300       0.538283       0.001866
       0.497300       0.539496       0.001839
       0.499300       0.542755       0.001856
       0.501300       0.545047       0.001835
       0.503300       0.544808       0.001791
       0.505300       0.545219       0.001826
       0.507300       0.552551       0.001844
       0.509300       0.555291       0.001851
       0.511300       0.556872       0.001826
       0.513300       0.561409       0.001813
       0.515300       0.562523       0.001865
       0.517300       0.567913       0.001810
       0.519300       0.572700       0.001847
       0.521300       0.570319       0.001802
       0.523300       0.573776       0.001841
       0.525300       0.581655       0.001821
       0.527300       0.582180       0.001800
       0.529300       0.585440       0.001838
       0.531300       0.587056       0.001831
       0.533300       0.591233       0.001883
       0.535300       0.598802       0.001809
       0.537300       0.600722       0.001875
       0.539300       0.598866       0.001862
       0.541300       0.607288       0.001877
       0.543300       0.613983       0.001838
       0.545300       0.612015       0.001814
       0.547300       0.619772       0.001841
       0.549300       0.625000       0.001822
       0.551300       0.625540       0.001825
       0.553300       0.630667       0.001788
       0.555300       0.632115       0.001839
       0.557300       0.633907       0.001823
       0.559300       0.643074       0.001844
       0.561300       0.647267       0.001890
       0.563300       0.646960       0.001787
       0.565300       0.652432       0.001849
       0.567300       0.655270       0.001851
       0.569300       0.664707       0.001822
       0.571300       0.667909       0.001824
       0.573300       0.670598       0.001888
       0.575300       0.679842       0.001889
       0.577300       0.679771       0.001915
       0.579300       0.687731       0.001903
       0.581300       0.692020       0.001910
       0.583300       0.695046       0.001900
       0.585300       0.699541       0.001916
       0.587300       0.703763       0.001919
       0.589300       0.707319       0.001895
       0.591300       0.716948       0.001932
       0.593300       0.718135       0.001885
       0.595300       0.715486       0.001894
       0.597300       0.725214       0.001811
       0.599300       0.727417       0.001899
       0.601100       0.734197       0.001845
       0.602700       0.737448       0.001850
       0.604300       0.736255       0.001862
       0.605900       0.743284       0.001841
       0.607500       0.742854       0.001842
       0.609100       0.743903       0.001818
       0.610700       0.749106       0.001865
       0.612300       0.757312       0.001850
       0.613900       0.759748       0.001848
       0.615500       0.752095       0.001886
       0.617100       0.757662       0.001766
       0.618700       0.765116       0.001823
       0.620300       0.760865       0.001892
       0.621900       0.769066       0.001900
       0.623500       0.771875       0.001928
       0.625100       0.769385       0.001917
       0.626700       0.770187       0.001837
       0.628300       0.779088       0.001941
       0.629900       0.778903       0.001842
       0.631700       0.781452       0.001833
       0.633700       0.778696       0.001879
       0.635700       0.784706       0.001893
       0.637700       0.792563       0.001918
       0.639700       0.793670       0.001952
       0.641700       0.791545       0.001914
       0.643700       0.789592       0.001872
       0.645700       0.798090       0.001937
       0.647700       0.802358       0.001916
       0.649700       0.799952       0.001933
       0.651700       0.807619       0.001939
       0.653700       0.806173       0.001916
       0.655700       0.809842       0.001872
       0.657700       0.813426       0.001953
       0.659700       0.812659       0.001959
       0.661700       0.820750       0.001958
       0.663700       0.819387       0.001965
       0.665700       0.822233       0.001966
       0.667700       0.820186       0.001934
       0.670200       0.823196       0.001947
       0.673200       0.827934       0.001900
       0.676200       0.826234       0.001940
       0.679200       0.832377       0.001928
       0.682200       0.835043       0.001970
       0.685200       0.837902       0.001974
       0.688200       0.836303       0.001943
       0.691200       0.840400       0.001979
       0.694200       0.839500       0.001866
       0.697200       0.842378       0.001970
       0.700200       0.844197       0.001958
       0.702000       0.851327       0.001994
       0.704000       0.852343       0.001981
       0.706000       0.849317       0.001999
       0.708000       0.853964       0.001976
       0.710000       0.850642       0.001977
       0.712000       0.854463       0.001988
       0.714000       0.854575       0.001986
       0.716000       0.858369       0.002003
       0.718000       0.861726       0.002010
       0.720000       0.864461       0.002016
       0.722000       0.865325       0.002008
       0.724000       0.864616       0.002028
       0.726000       0.862219       0.001999
       0.728000       0.866145       0.002029
       0.730000       0.861988       0.002022
       0.732000       0.863579       0.002020
       0.734000       0.865319       0.002030
       0.736000       0.866275       0.002033
       0.738000       0.863758       0.002102
       0.740000       0.867983       0.002088
       0.742000       0.865821       0.002265
       0.744000       0.866269       0.002058
       0.746000       0.868943       0.002279
       0.748000       0.872186       0.002047
       0.750500       0.869958       0.001932
       0.753500       0.874983       0.002038
       0.756500       0.871763       0.002031
       0.759500       0.874614       0.002052
       0.762500       0.877666       0.002065
       0.765500       0.868992       0.002059
       0.768500       0.865878       0.002056
       0.771500       0.868944       0.002073
       0.774500       0.868525       0.002139
       0.777500       0.870172       0.002077
       0.781000       0.872693       0.002057
       0.785000       0.869605       0.002062
       0.789000       0.873115       0.002090
       0.793000       0.873577       0.002098
       0.797000       0.871475       0.002097
       0.801500       0.873822       0.001998
       0.806500       0.877075       0.002056
       0.811500       0.881956       0.002113
       0.816500       0.879110       0.002122
       0.822000       0.878696       0.002124
       0.828000       0.876866       0.002136
       0.835000       0.876822       0.002147
       0.843000       0.871198       0.003209
       0.851000       0.892405       0.004236
       0.859000       0.881702       0.002134
       0.871000       0.886351       0.002034
       0.883000       0.874011       0.002070
       0.894000       0.875229       0.001998
       0.904000       0.879059       0.002003
       0.914000       0.877610       0.001990
       0.924000       0.878011       0.001913
       0.933000       0.876458       0.001890
       0.941000       0.878313       0.001857
       0.949000       0.877587       0.001802
       0.957000       0.873471       0.001863
       0.964000       0.872309       0.001834
       0.970000       0.863825       0.001763
       0.976000       0.854539       0.001880
       0.982000       0.850887       0.001710
       0.988000       0.835412       0.001902
       0.994000       0.826083       0.001954
       1.000000       0.817279       0.001702
       1.006000       0.822838       0.001838
       1.012000       0.827884       0.001592
       1.018000       0.844882       0.001762
       1.023500       0.858877       0.002020
       1.028500       0.874129       0.001893
       1.033500       0.880084       0.001894
       1.038500       0.879644       0.001828
       1.043500       0.886211       0.001928
       1.048500       0.884321       0.001836
       1.053500       0.886170       0.001981
       1.058500       0.884782       0.001403
       1.063500       0.891098       0.001862
       1.068500       0.888013       0.001516
       1.073500       0.883541       0.001080
       1.078500       0.886056       0.001556
       1.083500       0.886474       0.001646
       1.088500       0.880880       0.001917
       1.093500       0.885292       0.002022
       1.098500       0.881327       0.001957
       1.103500       0.882481       0.001852
       1.108500       0.883146       0.001998
       1.113500       0.881437       0.001840
       1.118500       0.885301       0.001751
       1.123500       0.886321       0.001969
       1.128500       0.889259       0.001993
       1.133500       0.888731       0.001801
       1.138500       0.891382       0.001497
       1.143500       0.892119       0.001667
       1.148500       0.886232       0.001873
       1.153500       0.887353       0.001945
       1.158500       0.886958       0.001978
       1.163500       0.881966       0.001883
       1.168500       0.880505       0.001879
       1.173500       0.874782       0.001690
       1.178500       0.872016       0.001848
       1.183500       0.874937       0.001883
       1.188500       0.870082       0.001676
       1.193500       0.866611       0.001828
       1.198500       0.865925       0.001798
       1.203500       0.863079       0.001876
       1.208500       0.854243       0.001109
       1.213500       0.853488       0.001744
       1.218500       0.844190       0.001574
       1.223500       0.830779       0.001345
       1.228500       0.821349       0.001172
       1.233500       0.810889       0.001687
       1.238500       0.801387       0.001841
       1.243500       0.796498       0.001878
       1.248500       0.791412       0.001517
       1.253500       0.780401       0.001521
       1.258500       0.749029       0.001074
       1.263500       0.721285       0.001639
       1.268500       0.713950       0.001704
       1.273500       0.728247       0.001784
       1.278500       0.762928       0.001694
       1.283500       0.786951       0.001656
       1.288500       0.816128       0.001555
       1.293500       0.829012       0.001834
       1.298500       0.827257       0.001692
       1.303500       0.826246       0.001862
       1.308500       0.822455       0.001326
       1.313500       0.813704       0.001345
       1.318500       0.794514       0.001855
       1.323500       0.783210       0.001375
       1.328500       0.781565       0.001888
       1.333500       0.748847       0.001745
       1.338500       0.734912       0.001553
       1.343500       0.742501       0.001547
       1.348500       0.743944       0.001090
       1.353500       0.741431       0.001906
       1.358500       0.739716       0.001610
       1.363500       0.751338       0.001735
       1.368500       0.763085       0.001917
       1.373500       0.756305       0.001865
       1.378500       0.747671       0.001901
       1.383500       0.739968       0.001888
       1.388500       0.738774       0.001868
       1.393500       0.714203       0.001953
       1.398500       0.695541       0.001939
       1.403500       0.671009       0.001889
       1.408500       0.631168       0.001483
       1.413500       0.591579       0.001634
       1.418500       0.509677       0.001768
       1.423500       0.350588       0.001753
       1.428500       0.313877       0.001731
       1.433500       0.377167       0.001787
       1.438500       0.453984       0.001186
       1.443500       0.470347       0.001669
       1.448500       0.443554       0.001859
       1.453500       0.407439       0.001093
       1.458500       0.385298       0.001780
       1.463500       0.381569       0.001747
       1.468500       0.356430       0.001609
       1.473500       0.266079       0.001807
       1.478500       0.202597       0.001746
       1.483500       0.324332       0.001603
       1.488500       0.429859       0.001793
       1.493500       0.468041       0.001859
       1.498500       0.482119       0.001793
       1.503500       0.507127       0.001801
       1.508500       0.539371       0.001822
       1.513500       0.563387       0.001851
       1.518500       0.574870       0.001819
       1.523500       0.584207       0.001936
       1.528500       0.590157       0.001877
       1.534000       0.594353       0.001712
       1.540000       0.592995       0.001081
       1.546000       0.598932       0.001706
       1.552000       0.599044       0.001829
       1.558000       0.598141       0.001723
       1.564000       0.596694       0.001271
       1.570500       0.597711       0.001819
       1.577500       0.595983       0.001181
       1.584500       0.592596       0.001452
       1.591500       0.591474       0.001456
       1.598500       0.591092       0.001848
       1.605500       0.587585       0.001849
       1.612500       0.585053       0.001698
       1.619500       0.587521       0.001796
       1.626500       0.582238       0.001823
       1.633500       0.582139       0.001495
       1.640500       0.577000       0.001847
       1.647500       0.574431       0.001917
       1.654500       0.568031       0.001351
       1.661500       0.561015       0.001830
       1.668500       0.555230       0.001819
       1.676000       0.545705       0.001738
       1.684000       0.540386       0.001903
       1.692000       0.526719       0.001920
       1.700000       0.520389       0.001890
       1.708000       0.511439       0.001874
       1.716000       0.499727       0.001829
       1.724000       0.474530       0.001834
       1.732000       0.439447       0.001884
       1.740000       0.402007       0.001872
       1.748000       0.368644       0.001837
       1.756000       0.347085       0.001875
       1.764000       0.329044       0.001854
       1.772000       0.338534       0.001754
       1.780000       0.370850       0.001884
       1.788000       0.426311       0.001888
       1.796000       0.468164       0.001934
       1.805000       0.490511       0.001881
       1.815000       0.495808       0.001818
       1.825000       0.492564       0.001879
       1.835000       0.487905       0.001788
       1.845000       0.482419       0.001830
       1.855000       0.475254       0.001898
       1.865000       0.464490       0.001875
       1.875000       0.449783       0.001592
       1.885000       0.424014       0.001845
       1.895000       0.397958       0.001414
       1.905000       0.370808       0.001519
       1.915000       0.339436       0.001828
       1.925000       0.323262       0.001717
       1.935000       0.315769       0.001819
       1.945000       0.302950       0.001800
       1.955000       0.295518       0.001821
       1.965000       0.296570       0.001783
       1.975000       0.295179       0.001853
       1.985000       0.294859       0.001827
       1.995000       0.280472       0.001758
       2.005000       0.265388       0.001834
       2.015000       0.260152       0.001833
       2.025000       0.261172       0.001855
       2.035000       0.257432       0.001825
       2.045000       0.246802       0.001845
       2.055000       0.242393       0.001828
       2.065000       0.235050       0.001824
       2.075000       0.236195       0.001832
       2.085000       0.233658       0.001821
       2.095000       0.224538       0.001820
       2.105000       0.202729       0.001822
       2.115000       0.170399       0.001813
       2.125000       0.129260       0.001795
       2.135000       0.112731       0.001802
       2.145000       0.095221       0.001812
       2.155000       0.080094       0.001798
       2.165000       0.081014       0.001798
       2.175000       0.082718       0.001834
       2.185000       0.091463       0.002111
       2.195000       0.121028       0.002476
       2.205000       0.125395       0.002403
       2.215000       0.147073       0.003211
       2.225000       0.234480       0.003497
       2.235000       0.275000       0.003609
       2.245000       0.297535       0.003933
       2.255000       0.295100       0.004580
       2.265000       0.301175       0.005591
       2.275000       0.284503       0.007432
       2.285000       0.279517       0.009095
       2.295000       0.255148       0.013832
       2.305000       0.216034       0.012758
       2.315000       0.156511       0.007519
       2.325000       0.151747       0.003579
       2.335000       0.192385       0.002231
       2.345000       0.220422       0.001826
