USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Andalusite NMNHR17898        W1R1Bc AREF
copy of splib05a r 949                                      
       0.205100      -1.23e34        0.020618
       0.213100      -1.23e34        0.004511
       0.221100      -1.23e34        0.001530
       0.229100      -1.23e34        0.001300
       0.236100      -1.23e34        0.001185
       0.242100      -1.23e34        0.000915
       0.248100      -1.23e34        0.001010
       0.253600      -1.23e34        0.000660
       0.258600       0.046506       0.000643
       0.263600       0.046134       0.000965
       0.268600       0.044538       0.000905
       0.273100       0.044117       0.000585
       0.277100       0.043238       0.000807
       0.281100       0.043578       0.000813
       0.285100       0.041735       0.000821
       0.289100       0.040896       0.000623
       0.293100       0.041666       0.000772
       0.297100       0.041951       0.000598
       0.301100       0.041526       0.000760
       0.305100       0.042690       0.000925
       0.309100       0.041989       0.000732
       0.313100       0.043049       0.000865
       0.317100       0.043578       0.000793
       0.321100       0.045069       0.000685
       0.325100       0.045395       0.000729
       0.329100       0.046903       0.000641
       0.333100       0.048222       0.000701
       0.337100       0.051276       0.000555
       0.341100       0.056147       0.000781
       0.345100       0.064355       0.000562
       0.349100       0.076147       0.000884
       0.353100       0.085875       0.001288
       0.357100       0.111183       0.000598
       0.360600       0.137882       0.000503
       0.363600       0.165090       0.000509
       0.366600       0.191367       0.000650
       0.369600       0.217970       0.000644
       0.372600       0.244138       0.000616
       0.375600       0.265071       0.000559
       0.378600       0.281414       0.000685
       0.381100       0.289791       0.000482
       0.383100       0.295013       0.000626
       0.385100       0.299043       0.000559
       0.387100       0.299317       0.000893
       0.389100       0.299006       0.000766
       0.391100       0.298838       0.000537
       0.393100       0.296423       0.001146
       0.395100       0.295168       0.000551
       0.397100       0.291221       0.000633
       0.399100       0.289510       0.000653
       0.401100       0.285576       0.000551
       0.403100       0.283293       0.000587
       0.405100       0.280810       0.000517
       0.407100       0.279408       0.000487
       0.409100       0.276841       0.000694
       0.411100       0.276184       0.000647
       0.412800       0.273761       0.000528
       0.415800       0.270365       0.000527
       0.418800       0.265902       0.000485
       0.421800       0.260715       0.000589
       0.424800       0.257332       0.000603
       0.427800       0.251881       0.000519
       0.430800       0.247737       0.000405
       0.433800       0.242960       0.000470
       0.436800       0.238466       0.000528
       0.439800       0.234793       0.000441
       0.442800       0.231326       0.000801
       0.445800       0.227774       0.000496
       0.448800       0.225003       0.000553
       0.451300       0.222085       0.000560
       0.453300       0.221465       0.000580
       0.455300       0.218054       0.000730
       0.457300       0.216794       0.000759
       0.459300       0.215578       0.000723
       0.461300       0.214855       0.001240
       0.463300       0.214265       0.000529
       0.465300       0.213105       0.000704
       0.467300       0.211960       0.000612
       0.469300       0.210876       0.000632
       0.471300       0.210265       0.000592
       0.473300       0.209212       0.000644
       0.475300       0.209302       0.000630
       0.477300       0.208901       0.000650
       0.479300       0.208675       0.000748
       0.481300       0.208543       0.000678
       0.483300       0.208316       0.000590
       0.485300       0.208433       0.000714
       0.487300       0.207975       0.001080
       0.489300       0.207937       0.000841
       0.491300       0.208507       0.000666
       0.493300       0.209316       0.000628
       0.495300       0.210876       0.000511
       0.497300       0.211104       0.000654
       0.499300       0.212258       0.000619
       0.501300       0.212932       0.000623
       0.503300       0.213771       0.000647
       0.505300       0.214248       0.000964
       0.507300       0.215906       0.000667
       0.509300       0.217191       0.000563
       0.511300       0.218666       0.000641
       0.513300       0.220222       0.000587
       0.515300       0.222106       0.000790
       0.517300       0.223454       0.001156
       0.519300       0.225457       0.000839
       0.521300       0.228030       0.000673
       0.523300       0.231170       0.000482
       0.525300       0.233780       0.000813
       0.527300       0.235436       0.000749
       0.529300       0.238944       0.000634
       0.531300       0.240666       0.000638
       0.533300       0.243830       0.000807
       0.535300       0.247238       0.000717
       0.537300       0.251066       0.000618
       0.539300       0.254776       0.000635
       0.541300       0.257684       0.000597
       0.543300       0.261545       0.000722
       0.545300       0.265719       0.000641
       0.547300       0.269830       0.000493
       0.549300       0.273856       0.000717
       0.551300       0.278843       0.000442
       0.553300       0.284091       0.000480
       0.555300       0.288218       0.000489
       0.557300       0.292625       0.000965
       0.559300       0.297210       0.000672
       0.561300       0.302339       0.000704
       0.563300       0.307259       0.000933
       0.565300       0.312369       0.000681
       0.567300       0.317724       0.000542
       0.569300       0.321232       0.001047
       0.571300       0.326252       0.000574
       0.573300       0.329919       0.001015
       0.575300       0.334615       0.000691
       0.577300       0.339512       0.000507
       0.579300       0.342218       0.000524
       0.581300       0.345800       0.000573
       0.583300       0.350120       0.000483
       0.585300       0.353035       0.000433
       0.587300       0.356649       0.000540
       0.589300       0.358276       0.001332
       0.591300       0.362756       0.000913
       0.593300       0.365445       0.000814
       0.595300       0.368716       0.000759
       0.597300       0.370928       0.000601
       0.599300       0.373564       0.001201
       0.601100       0.376375       0.000467
       0.602700       0.378718       0.000789
       0.604300       0.379384       0.001126
       0.605900       0.382894       0.000928
       0.607500       0.384530       0.000747
       0.609100       0.386462       0.000723
       0.610700       0.389201       0.000655
       0.612300       0.390170       0.000646
       0.613900       0.392511       0.000754
       0.615500       0.394549       0.000696
       0.617100       0.396698       0.000600
       0.618700       0.398544       0.000765
       0.620300       0.400831       0.000606
       0.621900       0.402368       0.000970
       0.623500       0.405434       0.000825
       0.625100       0.406587       0.000714
       0.626700       0.409187       0.000539
       0.628300       0.410890       0.000749
       0.629900       0.413202       0.001027
       0.631700       0.415066       0.000490
       0.633700       0.417667       0.000535
       0.635700       0.419989       0.000714
       0.637700       0.423095       0.000562
       0.639700       0.424731       0.000560
       0.641700       0.427326       0.000790
       0.643700       0.430554       0.000717
       0.645700       0.431957       0.000666
       0.647700       0.435390       0.000576
       0.649700       0.437705       0.000443
       0.651700       0.440364       0.000497
       0.653700       0.441967       0.000703
       0.655700       0.445146       0.000429
       0.657700       0.446824       0.000377
       0.659700       0.448072       0.000489
       0.661700       0.450967       0.000602
       0.663700       0.453205       0.000679
       0.665700       0.455166       0.000613
       0.667700       0.456508       0.000705
       0.670200       0.458391       0.000684
       0.673200       0.462045       0.000623
       0.676200       0.464510       0.000744
       0.679200       0.466589       0.000769
       0.682200       0.470130       0.000901
       0.685200       0.471818       0.000473
       0.688200       0.473761       0.000393
       0.691200       0.476972       0.000362
       0.694200       0.479336       0.000675
       0.697200       0.480841       0.000479
       0.700200       0.483977       0.000950
       0.702000       0.485308       0.000776
       0.704000       0.485763       0.000499
       0.706000       0.488150       0.000500
       0.708000       0.489153       0.000521
       0.710000       0.490628       0.000582
       0.712000       0.491987       0.000458
       0.714000       0.493377       0.000810
       0.716000       0.495462       0.000439
       0.718000       0.496381       0.000564
       0.720000       0.497706       0.000579
       0.722000       0.498958       0.000619
       0.724000       0.500425       0.000606
       0.726000       0.501310       0.000645
       0.728000       0.503987       0.000581
       0.730000       0.505635       0.000655
       0.732000       0.505685       0.000650
       0.734000       0.507434       0.000666
       0.736000       0.508551       0.000598
       0.738000       0.510602       0.000550
       0.740000       0.511215       0.000810
       0.742000       0.513558       0.000771
       0.744000       0.513302       0.000724
       0.746000       0.516754       0.000653
       0.748000       0.517328       0.000672
       0.750500       0.518182       0.000454
       0.753500       0.519468       0.000491
       0.756500       0.521884       0.000560
       0.759500       0.523351       0.000699
       0.762500       0.525166       0.000604
       0.765500       0.526918       0.000587
       0.768500       0.528932       0.000865
       0.771500       0.530592       0.000561
       0.774500       0.531634       0.000722
       0.777500       0.534228       0.000779
       0.781000       0.534179       0.000486
       0.785000       0.537265       0.000418
       0.789000       0.539302       0.000586
       0.793000       0.540474       0.000671
       0.797000       0.542175       0.000588
       0.801500       0.543524       0.000597
       0.806500       0.545046       0.000549
       0.811500       0.547755       0.000654
       0.816500       0.548407       0.001153
       0.822000       0.551437       0.000561
       0.828000       0.550780       0.000717
       0.835000       0.552710       0.000585
       0.843000       0.555037       0.001014
       0.851000       0.565211       0.002081
       0.859000       0.568766       0.001563
       0.871000       0.573595       0.001532
       0.883000       0.575657       0.001480
       0.894000       0.584890       0.001562
       0.904000       0.584365       0.001514
       0.914000       0.587349       0.001186
       0.924000       0.592514       0.001205
       0.933000       0.598798       0.001124
       0.941000       0.599371       0.001144
       0.949000       0.602313       0.000966
       0.957000       0.604143       0.001065
       0.964000       0.616039       0.001601
       0.970000       0.615490       0.001118
       0.976000       0.619562       0.001009
       0.982000       0.622045       0.001353
       0.988000       0.622275       0.001045
       0.994000       0.626197       0.000999
       1.000000       0.628616       0.001078
       1.006000       0.631263       0.000916
       1.012000       0.632055       0.000907
       1.018000       0.632644       0.001207
       1.023500       0.637653       0.001227
       1.028500       0.640624       0.001134
       1.033500       0.643313       0.001617
       1.038500       0.645169       0.001615
       1.043500       0.645021       0.001215
       1.048500       0.644881       0.001097
       1.053500       0.649415       0.001045
       1.058500       0.649283       0.000906
       1.063500       0.653340       0.001082
       1.068500       0.651650       0.001187
       1.073500       0.653509       0.000946
       1.078500       0.656161       0.001045
       1.083500       0.656497       0.001030
       1.088500       0.660862       0.001249
       1.093500       0.660558       0.001146
       1.098500       0.662952       0.000864
       1.103500       0.663387       0.000801
       1.108500       0.663940       0.001003
       1.113500       0.667765       0.000776
       1.118500       0.668408       0.001180
       1.123500       0.670650       0.001157
       1.128500       0.671584       0.000994
       1.133500       0.671022       0.000863
       1.138500       0.671026       0.000796
       1.143500       0.673262       0.001050
       1.148500       0.672703       0.001037
       1.153500       0.676418       0.000819
       1.158500       0.675361       0.000927
       1.163500       0.678484       0.000951
       1.168500       0.678587       0.000793
       1.173500       0.678163       0.001190
       1.178500       0.679582       0.001214
       1.183500       0.680618       0.001160
       1.188500       0.682402       0.001258
       1.193500       0.685256       0.001224
       1.198500       0.684244       0.000974
       1.203500       0.683377       0.000772
       1.208500       0.683637       0.000672
       1.213500       0.685049       0.000833
       1.218500       0.686158       0.000776
       1.223500       0.686363       0.000922
       1.228500       0.687408       0.000977
       1.233500       0.688662       0.000893
       1.238500       0.687739       0.000843
       1.243500       0.688313       0.000994
       1.248500       0.691384       0.001018
       1.253500       0.688420       0.001050
       1.258500       0.692689       0.001118
       1.263500       0.692799       0.000667
       1.268500       0.693499       0.001074
       1.273500       0.691384       0.001051
       1.278500       0.693849       0.000988
       1.283500       0.695601       0.000939
       1.288500       0.695447       0.000815
       1.293500       0.697004       0.000891
       1.298500       0.696404       0.000913
       1.303500       0.695488       0.000923
       1.308500       0.699651       0.000775
       1.313500       0.698360       0.000858
       1.318500       0.698602       0.001305
       1.323500       0.699906       0.000925
       1.328500       0.699819       0.000930
       1.333500       0.699970       0.000543
       1.338500       0.701941       0.000773
       1.343500       0.701476       0.001016
       1.348500       0.701699       0.000684
       1.353500       0.703366       0.000966
       1.358500       0.702998       0.001269
       1.363500       0.705752       0.001175
       1.368500       0.704349       0.001257
       1.373500       0.703019       0.001146
       1.378500       0.703403       0.000953
       1.383500       0.704352       0.001559
       1.388500       0.705014       0.001083
       1.393500       0.706030       0.001431
       1.398500       0.709118       0.001435
       1.403500       0.705683       0.000998
       1.408500       0.709917       0.001104
       1.413500       0.705416       0.000987
       1.418500       0.705799       0.001533
       1.423500       0.707540       0.000903
       1.428500       0.708513       0.001238
       1.433500       0.711089       0.001032
       1.438500       0.709057       0.001286
       1.443500       0.710030       0.001233
       1.448500       0.708497       0.001377
       1.453500       0.707157       0.001294
       1.458500       0.709223       0.001051
       1.463500       0.711507       0.000922
       1.468500       0.711726       0.001061
       1.473500       0.711281       0.001091
       1.478500       0.713039       0.001214
       1.483500       0.709750       0.001121
       1.488500       0.712359       0.001201
       1.493500       0.713755       0.001401
       1.498500       0.711936       0.001071
       1.503500       0.712876       0.001377
       1.508500       0.713769       0.001138
       1.513500       0.717570       0.001595
       1.518500       0.716429       0.001607
       1.523500       0.716214       0.001606
       1.528500       0.715670       0.001313
       1.534000       0.717024       0.001082
       1.540000       0.717044       0.001333
       1.546000       0.717131       0.000969
       1.552000       0.716321       0.001599
       1.558000       0.719351       0.000987
       1.564000       0.718984       0.000756
       1.570500       0.718274       0.000974
       1.577500       0.719695       0.000667
       1.584500       0.717723       0.001266
       1.591500       0.720819       0.000815
       1.598500       0.717773       0.000727
       1.605500       0.721283       0.000788
       1.612500       0.720028       0.001130
       1.619500       0.721594       0.000772
       1.626500       0.721982       0.000857
       1.633500       0.719396       0.000986
       1.640500       0.722388       0.001229
       1.647500       0.721458       0.001453
       1.654500       0.723222       0.001018
       1.661500       0.722347       0.001207
       1.668500       0.722603       0.001086
       1.676000       0.721298       0.000789
       1.684000       0.724277       0.001236
       1.692000       0.725033       0.001599
       1.700000       0.726814       0.001503
       1.708000       0.728941       0.001596
       1.716000       0.722591       0.001437
       1.724000       0.723266       0.000936
       1.732000       0.725554       0.001508
       1.740000       0.730275       0.001561
       1.748000       0.730322       0.001484
       1.756000       0.728896       0.001636
       1.764000       0.729840       0.001384
       1.772000       0.728162       0.001450
       1.780000       0.731752       0.001659
       1.788000       0.731147       0.001651
       1.796000       0.731885       0.001060
       1.805000       0.727868       0.000824
       1.815000       0.727739       0.000761
       1.825000       0.729563       0.001264
       1.835000       0.728329       0.001178
       1.845000       0.731945       0.001028
       1.855000       0.731568       0.001513
       1.865000       0.732448       0.000829
       1.875000       0.730690       0.001013
       1.885000       0.730133       0.001119
       1.895000       0.731936       0.001344
       1.905000       0.732782       0.001149
       1.915000       0.727777       0.000972
       1.925000       0.731477       0.001081
       1.935000       0.730075       0.000995
       1.945000       0.734211       0.001642
       1.955000       0.733303       0.001451
       1.965000       0.732773       0.000836
       1.975000       0.735670       0.001363
       1.985000       0.738269       0.001412
       1.995000       0.738776       0.001002
       2.005000       0.738112       0.001158
       2.015000       0.739255       0.001582
       2.025000       0.740238       0.001574
       2.035000       0.742974       0.001609
       2.045000       0.744582       0.001416
       2.055000       0.739674       0.001630
       2.065000       0.745631       0.001622
       2.075000       0.737982       0.001591
       2.085000       0.745260       0.001642
       2.095000       0.745670       0.001630
       2.105000       0.746675       0.001595
       2.115000       0.747709       0.001629
       2.125000       0.748985       0.001610
       2.135000       0.751175       0.001610
       2.145000       0.752106       0.001596
       2.155000       0.747430       0.001554
       2.165000       0.745534       0.001199
       2.175000       0.740122       0.001618
       2.185000       0.738481       0.001533
       2.195000       0.733092       0.001648
       2.205000       0.718690       0.001616
       2.215000       0.717021       0.001642
       2.225000       0.722881       0.001655
       2.235000       0.718475       0.001656
       2.245000       0.729505       0.001663
       2.255000       0.723632       0.001660
       2.265000       0.731064       0.001671
       2.275000       0.738309       0.002088
       2.285000       0.744414       0.003010
       2.295000       0.739983       0.003668
       2.305000       0.743618       0.003746
       2.315000       0.742721       0.002418
       2.325000       0.743414       0.001656
       2.335000       0.741098       0.001658
