USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Andradite HS111.3B Garnet    W1R1Bb AREF
copy of splib05a r 986                                      
       0.205100      -1.23e34        0.047791
       0.213100      -1.23e34        0.007957
       0.221100       0.041607       0.002490
       0.229100       0.036807       0.001301
       0.236100       0.034409       0.001196
       0.242100       0.033420       0.001132
       0.248100       0.030925       0.001071
       0.253600       0.032623       0.000904
       0.258600       0.032373       0.001031
       0.263600       0.035657       0.001047
       0.268600       0.035769       0.001055
       0.273100       0.036012       0.001090
       0.277100       0.039557       0.001114
       0.281100       0.039870       0.001136
       0.285100       0.041657       0.001149
       0.289100       0.042221       0.001212
       0.293100       0.042613       0.001269
       0.297100       0.041597       0.001300
       0.301100       0.044785       0.001359
       0.305100       0.042038       0.001379
       0.309100       0.042081       0.001404
       0.313100       0.042782       0.001417
       0.317100       0.042714       0.001480
       0.321100       0.044489       0.001464
       0.325100       0.044806       0.001250
       0.329100       0.046477       0.001519
       0.333100       0.050639       0.001485
       0.337100       0.052753       0.001493
       0.341100       0.054923       0.001495
       0.345100       0.055491       0.001445
       0.349100       0.059648       0.000692
       0.353100       0.061079       0.000883
       0.357100       0.063286       0.000914
       0.360600       0.065054       0.001281
       0.363600       0.064049       0.001500
       0.366600       0.067770       0.001476
       0.369600       0.067451       0.001501
       0.372600       0.068640       0.001470
       0.375600       0.070034       0.001108
       0.378600       0.070353       0.001512
       0.381100       0.071654       0.001279
       0.383100       0.073907       0.001494
       0.385100       0.075044       0.001470
       0.387100       0.078035       0.001479
       0.389100       0.083454       0.001489
       0.391100       0.086881       0.001524
       0.393100       0.089285       0.001373
       0.395100       0.090766       0.000979
       0.397100       0.094306       0.001067
       0.399100       0.097563       0.001507
       0.401100       0.099751       0.001535
       0.403100       0.104134       0.001536
       0.405100       0.104730       0.001200
       0.407100       0.103516       0.000787
       0.409100       0.107030       0.001209
       0.411100       0.109613       0.001510
       0.412800       0.108717       0.001457
       0.415800       0.111952       0.001054
       0.418800       0.113049       0.001009
       0.421800       0.115302       0.001260
       0.424800       0.113958       0.000887
       0.427800       0.113161       0.001410
       0.430800       0.109971       0.001345
       0.433800       0.107599       0.000886
       0.436800       0.101564       0.000927
       0.439800       0.107550       0.001311
       0.442800       0.125654       0.001544
       0.445800       0.133373       0.001501
       0.448800       0.137181       0.001505
       0.451300       0.142539       0.001544
       0.453300       0.143257       0.001541
       0.455300       0.146459       0.001321
       0.457300       0.149669       0.001534
       0.459300       0.154632       0.001331
       0.461300       0.155412       0.001520
       0.463300       0.154651       0.001102
       0.465300       0.158898       0.001526
       0.467300       0.161010       0.001524
       0.469300       0.161443       0.001557
       0.471300       0.164790       0.001576
       0.473300       0.166754       0.001507
       0.475300       0.170381       0.001568
       0.477300       0.173232       0.001557
       0.479300       0.176372       0.001541
       0.481300       0.180408       0.001573
       0.483300       0.180531       0.001151
       0.485300       0.185087       0.001211
       0.487300       0.187267       0.001580
       0.489300       0.194191       0.001429
       0.491300       0.193996       0.001262
       0.493300       0.196889       0.001566
       0.495300       0.201971       0.001568
       0.497300       0.201827       0.001571
       0.499300       0.206664       0.001565
       0.501300       0.208930       0.001514
       0.503300       0.211754       0.001091
       0.505300       0.216281       0.001591
       0.507300       0.219038       0.001586
       0.509300       0.220542       0.001592
       0.511300       0.226709       0.001575
       0.513300       0.226348       0.001576
       0.515300       0.230590       0.001145
       0.517300       0.236111       0.001572
       0.519300       0.238469       0.001579
       0.521300       0.241277       0.001558
       0.523300       0.244201       0.001532
       0.525300       0.243256       0.001350
       0.527300       0.249444       0.001535
       0.529300       0.253216       0.001604
       0.531300       0.256554       0.001366
       0.533300       0.256302       0.001568
       0.535300       0.261174       0.001608
       0.537300       0.263006       0.001603
       0.539300       0.264917       0.001562
       0.541300       0.269038       0.001422
       0.543300       0.271051       0.001566
       0.545300       0.271633       0.001565
       0.547300       0.271742       0.000981
       0.549300       0.275244       0.001183
       0.551300       0.278585       0.001284
       0.553300       0.282053       0.001566
       0.555300       0.282368       0.001377
       0.557300       0.284516       0.001563
       0.559300       0.284862       0.001577
       0.561300       0.288813       0.001085
       0.563300       0.290247       0.001138
       0.565300       0.290643       0.000933
       0.567300       0.292448       0.001235
       0.569300       0.295914       0.001536
       0.571300       0.295227       0.001530
       0.573300       0.298146       0.001592
       0.575300       0.297032       0.001078
       0.577300       0.299918       0.000832
       0.579300       0.299508       0.000702
       0.581300       0.302801       0.001558
       0.583300       0.301806       0.001088
       0.585300       0.305137       0.001216
       0.587300       0.309303       0.001602
       0.589300       0.307534       0.001597
       0.591300       0.309913       0.001576
       0.593300       0.309553       0.001604
       0.595300       0.311449       0.001475
       0.597300       0.313247       0.001567
       0.599300       0.314749       0.001585
       0.601100       0.313305       0.001488
       0.602700       0.312662       0.001533
       0.604300       0.317048       0.001574
       0.605900       0.319086       0.001405
       0.607500       0.316851       0.000989
       0.609100       0.319299       0.001596
       0.610700       0.321039       0.001563
       0.612300       0.322080       0.001532
       0.613900       0.323716       0.001556
       0.615500       0.324104       0.001578
       0.617100       0.324433       0.001462
       0.618700       0.325614       0.001247
       0.620300       0.324870       0.000865
       0.621900       0.327137       0.001565
       0.623500       0.329177       0.001575
       0.625100       0.326806       0.001585
       0.626700       0.330899       0.001609
       0.628300       0.331402       0.001543
       0.629900       0.330821       0.001581
       0.631700       0.333489       0.001563
       0.633700       0.336213       0.001553
       0.635700       0.336954       0.001568
       0.637700       0.337903       0.001059
       0.639700       0.337960       0.001535
       0.641700       0.340968       0.001562
       0.643700       0.341474       0.001604
       0.645700       0.344972       0.001520
       0.647700       0.346478       0.001262
       0.649700       0.347935       0.000737
       0.651700       0.350635       0.001590
       0.653700       0.351650       0.001147
       0.655700       0.353459       0.000839
       0.657700       0.355691       0.000924
       0.659700       0.357325       0.001247
       0.661700       0.358925       0.001257
       0.663700       0.361777       0.001242
       0.665700       0.362553       0.001546
       0.667700       0.361657       0.001613
       0.670200       0.367025       0.001605
       0.673200       0.369952       0.001140
       0.676200       0.373524       0.001590
       0.679200       0.375120       0.001364
       0.682200       0.376274       0.000697
       0.685200       0.378193       0.000883
       0.688200       0.382097       0.001251
       0.691200       0.384356       0.000655
       0.694200       0.387265       0.000743
       0.697200       0.388710       0.001227
       0.700200       0.391298       0.001620
       0.702000       0.391755       0.000881
       0.704000       0.391540       0.001394
       0.706000       0.395754       0.001042
       0.708000       0.395627       0.001340
       0.710000       0.395384       0.001614
       0.712000       0.396473       0.001395
       0.714000       0.400004       0.001045
       0.716000       0.401010       0.001332
       0.718000       0.402172       0.000959
       0.720000       0.401094       0.001142
       0.722000       0.404159       0.000906
       0.724000       0.403866       0.001242
       0.726000       0.405490       0.001130
       0.728000       0.405970       0.000893
       0.730000       0.405373       0.000852
       0.732000       0.410174       0.001605
       0.734000       0.407466       0.000740
       0.736000       0.411239       0.001404
       0.738000       0.411769       0.001528
       0.740000       0.414995       0.001461
       0.742000       0.414220       0.001629
       0.744000       0.415685       0.001648
       0.746000       0.414374       0.001611
       0.748000       0.415783       0.001369
       0.750500       0.414634       0.000752
       0.753500       0.416426       0.001293
       0.756500       0.417529       0.001080
       0.759500       0.417956       0.000925
       0.762500       0.419737       0.001566
       0.765500       0.417485       0.001307
       0.768500       0.416345       0.001456
       0.771500       0.415669       0.001449
       0.774500       0.416415       0.001592
       0.777500       0.415014       0.001216
       0.781000       0.414437       0.001083
       0.785000       0.413350       0.001365
       0.789000       0.412788       0.000909
       0.793000       0.410278       0.001259
       0.797000       0.406177       0.000916
       0.801500       0.407976       0.001478
       0.806500       0.402784       0.001562
       0.811500       0.396980       0.001189
       0.816500       0.396339       0.000882
       0.822000       0.394313       0.001620
       0.828000       0.392939       0.001692
       0.835000       0.386191       0.001650
       0.843000       0.384965       0.001536
       0.851000       0.381436       0.002020
       0.859000       0.385791       0.001751
       0.871000       0.388462       0.001769
       0.883000       0.386710       0.001745
       0.894000       0.394675       0.001795
       0.904000       0.397685       0.001791
       0.914000       0.405940       0.001772
       0.924000       0.411417       0.001730
       0.933000       0.419944       0.001594
       0.941000       0.427596       0.001704
       0.949000       0.426976       0.001355
       0.957000       0.430676       0.001249
       0.964000       0.439541       0.001765
       0.970000       0.445578       0.001780
       0.976000       0.447700       0.001573
       0.982000       0.451688       0.001266
       0.988000       0.458195       0.001249
       0.994000       0.457734       0.001177
       1.000000       0.461811       0.001129
       1.006000       0.468682       0.001529
       1.012000       0.470170       0.001846
       1.018000       0.476071       0.001447
       1.023500       0.476003       0.001709
       1.028500       0.481010       0.001667
       1.033500       0.484023       0.001655
       1.038500       0.487335       0.001625
       1.043500       0.488403       0.001829
       1.048500       0.492573       0.001273
       1.053500       0.496731       0.001616
       1.058500       0.498527       0.001814
       1.063500       0.503371       0.001168
       1.068500       0.505711       0.001433
       1.073500       0.508054       0.001365
       1.078500       0.512429       0.001562
       1.083500       0.512772       0.000981
       1.088500       0.517778       0.001129
       1.093500       0.518185       0.001521
       1.098500       0.521292       0.001579
       1.103500       0.528055       0.001545
       1.108500       0.528879       0.001023
       1.113500       0.532353       0.001410
       1.118500       0.536042       0.001158
       1.123500       0.537204       0.001550
       1.128500       0.541052       0.000831
       1.133500       0.544925       0.001605
       1.138500       0.545389       0.001519
       1.143500       0.550200       0.001379
       1.148500       0.553805       0.001156
       1.153500       0.558444       0.001086
       1.158500       0.558377       0.001467
       1.163500       0.564609       0.001284
       1.168500       0.566603       0.001397
       1.173500       0.566107       0.001068
       1.178500       0.571181       0.001175
       1.183500       0.574083       0.001745
       1.188500       0.577054       0.001563
       1.193500       0.577725       0.001138
       1.198500       0.580009       0.000787
       1.203500       0.583221       0.001558
       1.208500       0.585400       0.001131
       1.213500       0.588489       0.001414
       1.218500       0.589431       0.001185
       1.223500       0.591749       0.001584
       1.228500       0.592419       0.001182
       1.233500       0.595442       0.001486
       1.238500       0.598379       0.001840
       1.243500       0.599196       0.001472
       1.248500       0.599760       0.001321
       1.253500       0.604956       0.000893
       1.258500       0.603909       0.000810
       1.263500       0.607395       0.001385
       1.268500       0.608649       0.000915
       1.273500       0.610136       0.000913
       1.278500       0.612861       0.001070
       1.283500       0.614596       0.000836
       1.288500       0.616811       0.001390
       1.293500       0.615467       0.001020
       1.298500       0.618903       0.001219
       1.303500       0.619968       0.000854
       1.308500       0.623789       0.001290
       1.313500       0.624096       0.001379
       1.318500       0.625451       0.001362
       1.323500       0.625113       0.001223
       1.328500       0.627543       0.000865
       1.333500       0.631197       0.001216
       1.338500       0.630913       0.001222
       1.343500       0.632820       0.001507
       1.348500       0.633157       0.001508
       1.353500       0.637232       0.001928
       1.358500       0.632416       0.001527
       1.363500       0.637653       0.001960
       1.368500       0.636064       0.001691
       1.373500       0.639449       0.001572
       1.378500       0.638931       0.001741
       1.383500       0.641258       0.001899
       1.388500       0.637092       0.001847
       1.393500       0.631470       0.001905
       1.398500       0.629955       0.001499
       1.403500       0.617656       0.001703
       1.408500       0.609587       0.001565
       1.413500       0.607149       0.001843
       1.418500       0.613248       0.001948
       1.423500       0.626817       0.001636
       1.428500       0.633835       0.001865
       1.433500       0.634910       0.001565
       1.438500       0.640643       0.001310
       1.443500       0.649068       0.001816
       1.448500       0.652864       0.001355
       1.453500       0.653461       0.001363
       1.458500       0.660386       0.001557
       1.463500       0.660455       0.001880
       1.468500       0.661458       0.001567
       1.473500       0.668115       0.001882
       1.478500       0.664280       0.001700
       1.483500       0.669056       0.001802
       1.488500       0.670275       0.001644
       1.493500       0.673396       0.001952
       1.498500       0.673732       0.001977
       1.503500       0.677741       0.001882
       1.508500       0.674761       0.001895
       1.513500       0.679481       0.001982
       1.518500       0.680845       0.001945
       1.523500       0.682426       0.001951
       1.528500       0.682671       0.001933
       1.534000       0.685666       0.001845
       1.540000       0.686746       0.001501
       1.546000       0.687162       0.001627
       1.552000       0.690885       0.000986
       1.558000       0.696306       0.001425
       1.564000       0.692670       0.001122
       1.570500       0.696235       0.001044
       1.577500       0.698473       0.000987
       1.584500       0.697564       0.001324
       1.591500       0.700603       0.001112
       1.598500       0.702402       0.001113
       1.605500       0.702438       0.001539
       1.612500       0.702829       0.001149
       1.619500       0.705451       0.001175
       1.626500       0.706691       0.001508
       1.633500       0.703931       0.001285
       1.640500       0.709804       0.001651
       1.647500       0.706182       0.001663
       1.654500       0.708458       0.001118
       1.661500       0.709567       0.001091
       1.668500       0.712047       0.001930
       1.676000       0.711702       0.001382
       1.684000       0.711643       0.001637
       1.692000       0.712880       0.001826
       1.700000       0.715305       0.002022
       1.708000       0.717770       0.001419
       1.716000       0.719220       0.001417
       1.724000       0.718232       0.001975
       1.732000       0.721564       0.001790
       1.740000       0.724654       0.002033
       1.748000       0.724880       0.002034
       1.756000       0.721941       0.001982
       1.764000       0.727874       0.001389
       1.772000       0.730191       0.002028
       1.780000       0.724386       0.002000
       1.788000       0.723230       0.001931
       1.796000       0.727709       0.001292
       1.805000       0.729523       0.001008
       1.815000       0.726754       0.000972
       1.825000       0.729376       0.001208
       1.835000       0.731889       0.001498
       1.845000       0.732734       0.002037
       1.855000       0.735437       0.001877
       1.865000       0.732774       0.001923
       1.875000       0.731487       0.001592
       1.885000       0.728041       0.001673
       1.895000       0.724689       0.001897
       1.905000       0.716725       0.001224
       1.915000       0.701814       0.001568
       1.925000       0.701343       0.001595
       1.935000       0.697806       0.001571
       1.945000       0.700463       0.001881
       1.955000       0.696861       0.001482
       1.965000       0.705305       0.001740
       1.975000       0.712101       0.001514
       1.985000       0.712961       0.001608
       1.995000       0.717554       0.001947
       2.005000       0.721021       0.001480
       2.015000       0.728304       0.001876
       2.025000       0.731882       0.002051
       2.035000       0.735576       0.001973
       2.045000       0.739218       0.002039
       2.055000       0.743305       0.001594
       2.065000       0.742105       0.001998
       2.075000       0.751185       0.001912
       2.085000       0.744546       0.001908
       2.095000       0.746253       0.001991
       2.105000       0.747584       0.001999
       2.115000       0.751964       0.002033
       2.125000       0.753404       0.001812
       2.135000       0.748105       0.001931
       2.145000       0.750005       0.001637
       2.155000       0.743039       0.001680
       2.165000       0.733999       0.001555
       2.175000       0.725450       0.001801
       2.185000       0.708033       0.002003
       2.195000       0.700757       0.002048
       2.205000       0.681100       0.002001
       2.215000       0.660833       0.001999
       2.225000       0.644609       0.002021
       2.235000       0.638233       0.002023
       2.245000       0.636685       0.002016
       2.255000       0.643406       0.002023
       2.265000       0.644337       0.002067
       2.275000       0.652431       0.002263
       2.285000       0.650167       0.003010
       2.295000       0.655858       0.003950
       2.305000       0.654527       0.003662
       2.315000       0.644271       0.002144
       2.325000       0.646578       0.002000
       2.335000       0.648969       0.001639
       2.345000       0.643921       0.001868
