USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Andradite WS488 Garnet       W1R1Bc AREF
copy of splib05a r 1037                                     
       0.205100      -1.23e34        0.299038
       0.213100      -1.23e34        0.028310
       0.221100       0.019886       0.006683
       0.229100       0.024925       0.002824
       0.236100       0.026014       0.001857
       0.242100       0.026726       0.001143
       0.248100       0.025976       0.001090
       0.253600       0.025921       0.001058
       0.258600       0.025338       0.001039
       0.263600       0.024874       0.001051
       0.268600       0.025033       0.001065
       0.273100       0.028375       0.001090
       0.277100       0.027621       0.001107
       0.281100       0.028208       0.001140
       0.285100       0.027555       0.001184
       0.289100       0.027853       0.001215
       0.293100       0.028795       0.001248
       0.297100       0.028984       0.001320
       0.301100       0.030497       0.001363
       0.305100       0.030903       0.001388
       0.309100       0.031754       0.001425
       0.313100       0.033141       0.001443
       0.317100       0.033729       0.001464
       0.321100       0.034391       0.001493
       0.325100       0.036142       0.001448
       0.329100       0.035844       0.001462
       0.333100       0.037358       0.001508
       0.337100       0.040002       0.001518
       0.341100       0.038488       0.001523
       0.345100       0.039851       0.001525
       0.349100       0.040855       0.001538
       0.353100       0.041034       0.001407
       0.357100       0.042458       0.001286
       0.360600       0.045632       0.001509
       0.363600       0.047121       0.001525
       0.366600       0.050132       0.001478
       0.369600       0.047821       0.001509
       0.372600       0.046476       0.000878
       0.375600       0.045585       0.001516
       0.378600       0.048448       0.001517
       0.381100       0.049733       0.000843
       0.383100       0.052528       0.001511
       0.385100       0.050646       0.001539
       0.387100       0.050476       0.000896
       0.389100       0.054259       0.001399
       0.391100       0.056602       0.001547
       0.393100       0.058571       0.001548
       0.395100       0.057612       0.001534
       0.397100       0.060859       0.001469
       0.399100       0.063806       0.001543
       0.401100       0.064934       0.001552
       0.403100       0.068296       0.000908
       0.405100       0.070004       0.000785
       0.407100       0.069696       0.000662
       0.409100       0.070311       0.001560
       0.411100       0.069908       0.001563
       0.412800       0.072810       0.001247
       0.415800       0.077102       0.001537
       0.418800       0.079614       0.001031
       0.421800       0.082202       0.001552
       0.424800       0.086378       0.001229
       0.427800       0.088156       0.001444
       0.430800       0.091335       0.001561
       0.433800       0.089276       0.001503
       0.436800       0.090720       0.001048
       0.439800       0.091446       0.001486
       0.442800       0.094888       0.000939
       0.445800       0.103145       0.001134
       0.448800       0.112163       0.001405
       0.451300       0.115455       0.001571
       0.453300       0.120926       0.001596
       0.455300       0.123019       0.001531
       0.457300       0.126306       0.001586
       0.459300       0.128038       0.001568
       0.461300       0.131774       0.001575
       0.463300       0.134524       0.001572
       0.465300       0.135943       0.001094
       0.467300       0.134762       0.001275
       0.469300       0.141551       0.001609
       0.471300       0.140664       0.001255
       0.473300       0.145200       0.001576
       0.475300       0.144739       0.001075
       0.477300       0.146988       0.001490
       0.479300       0.148645       0.001265
       0.481300       0.150505       0.001587
       0.483300       0.154246       0.001536
       0.485300       0.154624       0.001586
       0.487300       0.156462       0.001601
       0.489300       0.158520       0.001606
       0.491300       0.159985       0.000834
       0.493300       0.164466       0.001574
       0.495300       0.164259       0.001049
       0.497300       0.166602       0.001576
       0.499300       0.167893       0.001585
       0.501300       0.169287       0.001576
       0.503300       0.172136       0.001458
       0.505300       0.173305       0.001166
       0.507300       0.172521       0.001621
       0.509300       0.173883       0.001086
       0.511300       0.177255       0.001013
       0.513300       0.176860       0.001605
       0.515300       0.179786       0.001625
       0.517300       0.181165       0.001586
       0.519300       0.182009       0.001623
       0.521300       0.182315       0.001578
       0.523300       0.182598       0.001603
       0.525300       0.187072       0.001602
       0.527300       0.187146       0.001617
       0.529300       0.186532       0.001569
       0.531300       0.189007       0.001569
       0.533300       0.191602       0.001615
       0.535300       0.192396       0.001603
       0.537300       0.194483       0.001602
       0.539300       0.197917       0.001600
       0.541300       0.196759       0.001027
       0.543300       0.197824       0.001141
       0.545300       0.200835       0.001579
       0.547300       0.203262       0.000871
       0.549300       0.203479       0.001172
       0.551300       0.207079       0.001616
       0.553300       0.209000       0.001041
       0.555300       0.210260       0.001488
       0.557300       0.209644       0.001617
       0.559300       0.217052       0.001615
       0.561300       0.216756       0.001018
       0.563300       0.215485       0.001552
       0.565300       0.218698       0.001619
       0.567300       0.221122       0.001623
       0.569300       0.221987       0.001599
       0.571300       0.224777       0.001573
       0.573300       0.225991       0.001069
       0.575300       0.228527       0.001394
       0.577300       0.230888       0.001302
       0.579300       0.231693       0.001432
       0.581300       0.232054       0.001605
       0.583300       0.233988       0.000712
       0.585300       0.234900       0.000809
       0.587300       0.237019       0.001332
       0.589300       0.238089       0.000814
       0.591300       0.238230       0.001086
       0.593300       0.243233       0.001652
       0.595300       0.243002       0.001612
       0.597300       0.244014       0.001602
       0.599300       0.245964       0.001610
       0.601100       0.248121       0.001045
       0.602700       0.248627       0.001633
       0.604300       0.250631       0.001601
       0.605900       0.249828       0.001499
       0.607500       0.251444       0.001630
       0.609100       0.249051       0.000821
       0.610700       0.254589       0.001617
       0.612300       0.254179       0.001625
       0.613900       0.254694       0.000981
       0.615500       0.258083       0.001482
       0.617100       0.259004       0.001628
       0.618700       0.258328       0.001441
       0.620300       0.261431       0.001615
       0.621900       0.261520       0.001192
       0.623500       0.264099       0.001647
       0.625100       0.264223       0.001608
       0.626700       0.264527       0.001616
       0.628300       0.263873       0.001621
       0.629900       0.266038       0.001622
       0.631700       0.265731       0.001382
       0.633700       0.269771       0.001602
       0.635700       0.270089       0.001627
       0.637700       0.272685       0.001408
       0.639700       0.272860       0.001642
       0.641700       0.275947       0.001309
       0.643700       0.274490       0.001301
       0.645700       0.275976       0.000678
       0.647700       0.278372       0.000901
       0.649700       0.280800       0.000600
       0.651700       0.282753       0.001214
       0.653700       0.284740       0.000984
       0.655700       0.284970       0.001057
       0.657700       0.286904       0.001136
       0.659700       0.288030       0.000878
       0.661700       0.288212       0.001073
       0.663700       0.290154       0.001381
       0.665700       0.294061       0.001619
       0.667700       0.297015       0.001603
       0.670200       0.296126       0.001286
       0.673200       0.300041       0.001651
       0.676200       0.302112       0.001368
       0.679200       0.303587       0.001622
       0.682200       0.303365       0.000657
       0.685200       0.305162       0.000692
       0.688200       0.308312       0.001169
       0.691200       0.312414       0.001384
       0.694200       0.313469       0.001131
       0.697200       0.311419       0.001127
       0.700200       0.316082       0.001649
       0.702000       0.317586       0.001490
       0.704000       0.316597       0.001336
       0.706000       0.318768       0.001616
       0.708000       0.317982       0.000868
       0.710000       0.320393       0.001365
       0.712000       0.321178       0.000552
       0.714000       0.322785       0.001581
       0.716000       0.322284       0.001532
       0.718000       0.324726       0.001359
       0.720000       0.323256       0.000999
       0.722000       0.325510       0.001072
       0.724000       0.326169       0.000718
       0.726000       0.327161       0.001103
       0.728000       0.328778       0.001201
       0.730000       0.331245       0.001273
       0.732000       0.332506       0.001630
       0.734000       0.331122       0.001663
       0.736000       0.331306       0.000751
       0.738000       0.332534       0.001530
       0.740000       0.333283       0.001680
       0.742000       0.333650       0.001655
       0.744000       0.336284       0.001671
       0.746000       0.336235       0.001064
       0.748000       0.337224       0.001276
       0.750500       0.336673       0.001289
       0.753500       0.339164       0.001023
       0.756500       0.338686       0.001377
       0.759500       0.341005       0.001175
       0.762500       0.340692       0.001254
       0.765500       0.344862       0.001131
       0.768500       0.345297       0.001216
       0.771500       0.342502       0.001281
       0.774500       0.347968       0.001230
       0.777500       0.349803       0.001691
       0.781000       0.347724       0.000950
       0.785000       0.350002       0.000988
       0.789000       0.351345       0.001177
       0.793000       0.351466       0.001347
       0.797000       0.354272       0.001182
       0.801500       0.352481       0.001237
       0.806500       0.357175       0.001340
       0.811500       0.356900       0.000779
       0.816500       0.357984       0.001378
       0.822000       0.358686       0.001297
       0.828000       0.358948       0.001701
       0.835000       0.360906       0.001756
       0.843000      -1.23e34        0.000000
       0.851000       0.362922       0.002032
       0.859000       0.361568       0.001834
       0.871000       0.364510       0.001823
       0.883000       0.370028       0.001760
       0.894000       0.373715       0.001754
       0.904000       0.372958       0.001534
       0.914000       0.374778       0.001815
       0.924000       0.378088       0.001539
       0.933000       0.385403       0.001436
       0.941000       0.389039       0.001561
       0.949000       0.392412       0.001162
       0.957000       0.398602       0.001412
       0.964000       0.404308       0.001782
       0.970000       0.405303       0.001838
       0.976000       0.407861       0.001445
       0.982000       0.412789       0.001525
       0.988000       0.411598       0.001181
       0.994000       0.418375       0.001005
       1.000000       0.419821       0.001751
       1.006000       0.423659       0.001146
       1.012000       0.425604       0.001564
       1.018000       0.428890       0.001455
       1.023500       0.432086       0.001484
       1.028500       0.436007       0.001654
       1.033500       0.437997       0.001197
       1.038500       0.440341       0.001184
       1.043500       0.443387       0.001484
       1.048500       0.447580       0.001837
       1.053500       0.447010       0.001426
       1.058500       0.449939       0.001295
       1.063500       0.452331       0.001735
       1.068500       0.454416       0.001006
       1.073500       0.453162       0.001206
       1.078500       0.456787       0.001535
       1.083500       0.455532       0.001320
       1.088500       0.458884       0.001163
       1.093500       0.461886       0.001136
       1.098500       0.461105       0.001209
       1.103500       0.467139       0.001477
       1.108500       0.465438       0.001270
       1.113500       0.466067       0.000904
       1.118500       0.468644       0.001147
       1.123500       0.468227       0.001333
       1.128500       0.468777       0.001131
       1.133500       0.471606       0.001574
       1.138500       0.474628       0.001251
       1.143500       0.475100       0.001145
       1.148500       0.476472       0.001296
       1.153500       0.476886       0.001075
       1.158500       0.480527       0.001089
       1.163500       0.479847       0.000920
       1.168500       0.480334       0.001323
       1.173500       0.482728       0.000769
       1.178500       0.482359       0.001049
       1.183500       0.484695       0.001826
       1.188500       0.487564       0.001343
       1.193500       0.488405       0.001323
       1.198500       0.488882       0.000985
       1.203500       0.490371       0.000768
       1.208500       0.494411       0.001341
       1.213500       0.495113       0.001114
       1.218500       0.496458       0.001434
       1.223500       0.495872       0.000916
       1.228500       0.498707       0.000946
       1.233500       0.499725       0.000987
       1.238500       0.500752       0.000911
       1.243500       0.503480       0.000740
       1.248500       0.505436       0.001052
       1.253500       0.504433       0.000987
       1.258500       0.507398       0.001062
       1.263500       0.509239       0.001334
       1.268500       0.508658       0.001215
       1.273500       0.512986       0.001019
       1.278500       0.512992       0.000862
       1.283500       0.515383       0.000955
       1.288500       0.515837       0.000769
       1.293500       0.518446       0.000760
       1.298500       0.520462       0.001004
       1.303500       0.523122       0.000831
       1.308500       0.522765       0.001607
       1.313500       0.525884       0.000951
       1.318500       0.525728       0.000761
       1.323500       0.528560       0.001377
       1.328500       0.529991       0.000889
       1.333500       0.530644       0.000878
       1.338500       0.533568       0.000934
       1.343500       0.536316       0.001061
       1.348500       0.537050       0.001116
       1.353500       0.536893       0.001207
       1.358500       0.536878       0.001427
       1.363500       0.540564       0.001791
       1.368500       0.541707       0.001158
       1.373500       0.546538       0.001292
       1.378500       0.546240       0.001414
       1.383500       0.549803       0.001451
       1.388500       0.550787       0.001588
       1.393500       0.550343       0.001443
       1.398500       0.551902       0.001156
       1.403500       0.549896       0.001514
       1.408500       0.556985       0.001356
       1.413500       0.559675       0.001645
       1.418500       0.559693       0.001269
       1.423500       0.559442       0.001249
       1.428500       0.563651       0.001237
       1.433500       0.564757       0.001636
       1.438500       0.564673       0.001533
       1.443500       0.568858       0.001252
       1.448500       0.568923       0.001309
       1.453500       0.572836       0.001244
       1.458500       0.574781       0.001381
       1.463500       0.575584       0.001119
       1.468500       0.577515       0.001434
       1.473500       0.580419       0.001370
       1.478500       0.581897       0.001539
       1.483500       0.581056       0.001783
       1.488500       0.583672       0.001359
       1.493500       0.584493       0.001470
       1.498500       0.587737       0.001954
       1.503500       0.588053       0.001574
       1.508500       0.589337       0.001927
       1.513500       0.586670       0.001881
       1.518500       0.586475       0.001446
       1.523500       0.590661       0.001862
       1.528500       0.594398       0.001713
       1.534000       0.597644       0.001886
       1.540000       0.597879       0.001323
       1.546000       0.599495       0.001447
       1.552000       0.599156       0.001279
       1.558000       0.599466       0.001200
       1.564000       0.603949       0.001121
       1.570500       0.605459       0.000777
       1.577500       0.609094       0.001183
       1.584500       0.608716       0.001040
       1.591500       0.607684       0.001059
       1.598500       0.610540       0.001093
       1.605500       0.613154       0.000701
       1.612500       0.616587       0.000978
       1.619500       0.617673       0.001004
       1.626500       0.615086       0.001213
       1.633500       0.620153       0.001026
       1.640500       0.619514       0.001107
       1.647500       0.623326       0.001321
       1.654500       0.624715       0.001267
       1.661500       0.627804       0.001277
       1.668500       0.628207       0.001433
       1.676000       0.629303       0.001563
       1.684000       0.632040       0.001546
       1.692000       0.629159       0.001998
       1.700000       0.639084       0.002003
       1.708000       0.636537       0.001976
       1.716000       0.638089       0.001913
       1.724000       0.638319       0.001870
       1.732000       0.641400       0.001995
       1.740000       0.643276       0.001983
       1.748000       0.644424       0.002005
       1.756000       0.646713       0.001961
       1.764000       0.644671       0.001464
       1.772000       0.651128       0.001531
       1.780000       0.650750       0.001767
       1.788000       0.652015       0.001922
       1.796000       0.656218       0.001557
       1.805000       0.656606       0.001112
       1.815000       0.658498       0.001217
       1.825000       0.657639       0.001112
       1.835000       0.662752       0.001760
       1.845000       0.660939       0.001482
       1.855000       0.663705       0.001713
       1.865000       0.665786       0.001630
       1.875000       0.667974       0.001099
       1.885000       0.667127       0.001619
       1.895000       0.667733       0.001653
       1.905000       0.665981       0.001650
       1.915000       0.668188       0.001921
       1.925000       0.671345       0.001783
       1.935000       0.667134       0.001795
       1.945000       0.669350       0.001424
       1.955000       0.667464       0.001777
       1.965000       0.676358       0.001167
       1.975000       0.677515       0.001691
       1.985000       0.679494       0.001425
       1.995000       0.679635       0.001493
       2.005000       0.679980       0.001507
       2.015000       0.683616       0.001671
       2.025000       0.689481       0.001473
       2.035000       0.687957       0.001983
       2.045000       0.694696       0.001699
       2.055000       0.696155       0.001493
       2.065000       0.697006       0.001935
       2.075000       0.698414       0.002035
       2.085000       0.702472       0.001801
       2.095000       0.705931       0.002042
       2.105000       0.703803       0.002036
       2.115000       0.710945       0.001993
       2.125000       0.709479       0.002015
       2.135000       0.712581       0.002006
       2.145000       0.710214       0.001940
       2.155000       0.715630       0.001586
       2.165000       0.713053       0.001776
       2.175000       0.716041       0.002018
       2.185000       0.707991       0.002029
       2.195000       0.709596       0.001867
       2.205000       0.714600       0.002073
       2.215000       0.711891       0.002078
       2.225000       0.715180       0.002091
       2.235000       0.697068       0.002046
       2.245000       0.710232       0.002090
       2.255000       0.706238       0.002078
       2.265000       0.701115       0.002088
       2.275000       0.710435       0.002311
       2.285000       0.700705       0.002985
       2.295000       0.705596       0.004255
       2.305000       0.704733       0.003920
       2.315000       0.705446       0.002533
       2.325000       0.706871       0.002066
       2.335000       0.704261       0.001999
       2.345000       0.706979       0.001838
