USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Carbon_Black GDS68 sm.ap.    W1R1Ba AREF
copy of splib05a r 1533                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100       0.002721       0.001184
       0.229100       0.008786       0.000825
       0.236100       0.013754       0.000567
       0.242100       0.012971       0.000384
       0.248100       0.015192       0.000378
       0.253600       0.016015       0.000379
       0.258600       0.016301       0.000384
       0.263600       0.015714       0.000373
       0.268600       0.017018       0.000390
       0.273100       0.017663       0.000410
       0.277100       0.017654       0.000410
       0.281100       0.017172       0.000430
       0.285100       0.017023       0.000435
       0.289100       0.016445       0.000431
       0.293100       0.016399       0.000417
       0.297100       0.017463       0.000437
       0.301100       0.016749       0.000501
       0.305100       0.018451       0.000509
       0.309100       0.016660       0.000454
       0.313100       0.017720       0.000529
       0.317100       0.016891       0.000492
       0.321100       0.017755       0.000515
       0.325100       0.019053       0.000545
       0.329100       0.017013       0.000506
       0.333100       0.016861       0.000470
       0.337100       0.016676       0.000495
       0.341100       0.016858       0.000515
       0.345100       0.017227       0.000495
       0.349100       0.016772       0.000515
       0.353100       0.016322       0.000239
       0.357100       0.016205       0.000184
       0.360600       0.016375       0.000171
       0.363600       0.016476       0.000135
       0.366600       0.016426       0.000172
       0.369600       0.016370       0.000106
       0.372600       0.016386       0.000147
       0.375600       0.016272       0.000121
       0.378600       0.016295       0.000178
       0.381100       0.016285       0.000246
       0.383100       0.016457       0.000177
       0.385100       0.016173       0.000137
       0.387100       0.016199       0.000118
       0.389100       0.016399       0.000162
       0.391100       0.016264       0.000157
       0.393100       0.016298       0.000097
       0.395100       0.016100       0.000212
       0.397100       0.016323       0.000111
       0.399100       0.016057       0.000259
       0.401100       0.016001       0.000177
       0.403100       0.016063       0.000174
       0.405100       0.015972       0.000123
       0.407100       0.016088       0.000083
       0.409100       0.016024       0.000101
       0.411100       0.016088       0.000324
       0.412800       0.015848       0.000258
       0.415800       0.015988       0.000121
       0.418800       0.016131       0.000157
       0.421800       0.015685       0.000178
       0.424800       0.016079       0.000151
       0.427800       0.015894       0.000142
       0.430800       0.015923       0.000143
       0.433800       0.015851       0.000177
       0.436800       0.015749       0.000113
       0.439800       0.015768       0.000200
       0.442800       0.015707       0.000156
       0.445800       0.015771       0.000175
       0.448800       0.015828       0.000170
       0.451300       0.015712       0.000250
       0.453300       0.015762       0.000267
       0.455300       0.015754       0.000160
       0.457300       0.015760       0.000159
       0.459300       0.015553       0.000226
       0.461300       0.015740       0.000112
       0.463300       0.015575       0.000142
       0.465300       0.015811       0.000129
       0.467300       0.015563       0.000164
       0.469300       0.015821       0.000194
       0.471300       0.015660       0.000128
       0.473300       0.015693       0.000165
       0.475300       0.015658       0.000206
       0.477300       0.015752       0.000216
       0.479300       0.015692       0.000154
       0.481300       0.015582       0.000155
       0.483300       0.015621       0.000155
       0.485300       0.015613       0.000132
       0.487300       0.015586       0.000164
       0.489300       0.015677       0.000142
       0.491300       0.015704       0.000146
       0.493300       0.015431       0.000105
       0.495300       0.015701       0.000206
       0.497300       0.015704       0.000185
       0.499300       0.015386       0.000206
       0.501300       0.015640       0.000172
       0.503300       0.015436       0.000132
       0.505300       0.015711       0.000162
       0.507300       0.015620       0.000128
       0.509300       0.015704       0.000120
       0.511300       0.015599       0.000171
       0.513300       0.015470       0.000150
       0.515300       0.015380       0.000145
       0.517300       0.015523       0.000162
       0.519300       0.015590       0.000118
       0.521300       0.015625       0.000299
       0.523300       0.015394       0.000160
       0.525300       0.015493       0.000153
       0.527300       0.015619       0.000171
       0.529300       0.015613       0.000192
       0.531300       0.015581       0.000152
       0.533300       0.015644       0.000195
       0.535300       0.015796       0.000109
       0.537300       0.015800       0.000158
       0.539300       0.015540       0.000135
       0.541300       0.015708       0.000143
       0.543300       0.015635       0.000206
       0.545300       0.015600       0.000123
       0.547300       0.015535       0.000181
       0.549300       0.015656       0.000135
       0.551300       0.015586       0.000154
       0.553300       0.015463       0.000158
       0.555300       0.015400       0.000119
       0.557300       0.015456       0.000137
       0.559300       0.015389       0.000129
       0.561300       0.015459       0.000200
       0.563300       0.015437       0.000188
       0.565300       0.015423       0.000137
       0.567300       0.015351       0.000155
       0.569300       0.015402       0.000141
       0.571300       0.015371       0.000168
       0.573300       0.015562       0.000240
       0.575300       0.015710       0.000241
       0.577300       0.015536       0.000220
       0.579300       0.015568       0.000148
       0.581300       0.015724       0.000143
       0.583300       0.015588       0.000150
       0.585300       0.015538       0.000242
       0.587300       0.015674       0.000174
       0.589300       0.015527       0.000161
       0.591300       0.015538       0.000192
       0.593300       0.015709       0.000152
       0.595300       0.015700       0.000112
       0.597300       0.015407       0.000115
       0.599300       0.015180       0.000106
       0.601100       0.015502       0.000169
       0.602700       0.015287       0.000127
       0.604300       0.015362       0.000179
       0.605900       0.015337       0.000108
       0.607500       0.015335       0.000172
       0.609100       0.015367       0.000121
       0.610700       0.015350       0.000163
       0.612300       0.015370       0.000153
       0.613900       0.015404       0.000163
       0.615500       0.015228       0.000117
       0.617100       0.015288       0.000104
       0.618700       0.015173       0.000194
       0.620300       0.015265       0.000149
       0.621900       0.015090       0.000200
       0.623500       0.015401       0.000151
       0.625100       0.015419       0.000198
       0.626700       0.015398       0.000163
       0.628300       0.015324       0.000171
       0.629900       0.015206       0.000193
       0.631700       0.015392       0.000125
       0.633700       0.015279       0.000139
       0.635700       0.015209       0.000171
       0.637700       0.015147       0.000174
       0.639700       0.015260       0.000148
       0.641700       0.015412       0.000206
       0.643700       0.015274       0.000208
       0.645700       0.015107       0.000125
       0.647700       0.015439       0.000178
       0.649700       0.015346       0.000251
       0.651700       0.015313       0.000174
       0.653700       0.015330       0.000187
       0.655700       0.015392       0.000204
       0.657700       0.015396       0.000187
       0.659700       0.015315       0.000208
       0.661700       0.015381       0.000220
       0.663700       0.015557       0.000210
       0.665700       0.015291       0.000223
       0.667700       0.015495       0.000231
       0.670200       0.015327       0.000112
       0.673200       0.015258       0.000137
       0.676200       0.015425       0.000265
       0.679200       0.015384       0.000181
       0.682200       0.015393       0.000137
       0.685200       0.015435       0.000203
       0.688200       0.015386       0.000105
       0.691200       0.015481       0.000181
       0.694200       0.015611       0.000156
       0.697200       0.015592       0.000304
       0.700200       0.015714       0.000207
       0.702000       0.015473       0.000119
       0.704000       0.015542       0.000155
       0.706000       0.015185       0.000131
       0.708000       0.015584       0.000139
       0.710000       0.015583       0.000233
       0.712000       0.015596       0.000193
       0.714000       0.015287       0.000189
       0.716000       0.015597       0.000145
       0.718000       0.015635       0.000171
       0.720000       0.015531       0.000172
       0.722000       0.015568       0.000180
       0.724000       0.015543       0.000182
       0.726000       0.015335       0.000203
       0.728000       0.015302       0.000251
       0.730000       0.015182       0.000159
       0.732000       0.015648       0.000232
       0.734000       0.015629       0.000290
       0.736000       0.015554       0.000213
       0.738000       0.015756       0.000226
       0.740000       0.015634       0.000186
       0.742000       0.015292       0.000252
       0.744000       0.015274       0.000403
       0.746000       0.015594       0.000232
       0.748000       0.015491       0.000161
       0.750500       0.015786       0.000168
       0.753500       0.015473       0.000134
       0.756500       0.015752       0.000177
       0.759500       0.015216       0.000199
       0.762500       0.015446       0.000213
       0.765500       0.015462       0.000270
       0.768500       0.016138       0.000190
       0.771500       0.015438       0.000239
       0.774500       0.015588       0.000356
       0.777500       0.015732       0.000171
       0.781000       0.015560       0.000089
       0.785000       0.015343       0.000219
       0.789000       0.015514       0.000135
       0.793000       0.015325       0.000319
       0.797000       0.015508       0.000151
       0.801500       0.015100       0.000193
       0.806500       0.014987       0.000187
       0.811500       0.014972       0.000261
       0.816500       0.014705       0.000205
       0.822000       0.014656       0.000241
       0.828000       0.013027       0.000246
       0.835000       0.012935       0.000155
       0.843000       0.013046       0.000222
       0.851000       0.015463       0.003117
       0.859000       0.015425       0.001452
       0.871000       0.016764       0.000961
       0.883000       0.016568       0.000786
       0.894000       0.015990       0.000744
       0.904000       0.016345       0.000760
       0.914000       0.016506       0.000549
       0.924000       0.015914       0.000555
       0.933000       0.017375       0.000560
       0.941000       0.016684       0.000538
       0.949000       0.016191       0.000511
       0.957000       0.016533       0.000514
       0.964000       0.016732       0.000521
       0.970000       0.016724       0.000618
       0.976000       0.015860       0.000518
       0.982000       0.016493       0.000521
       0.988000       0.016110       0.000519
       0.994000       0.016609       0.000518
       1.000000       0.015922       0.000519
       1.006000       0.015561       0.000517
       1.012000       0.014963       0.000517
       1.018000       0.016585       0.000519
       1.023500       0.015582       0.000518
       1.028500       0.016353       0.000520
       1.033500       0.016228       0.000519
       1.038500       0.015920       0.000518
       1.043500       0.014816       0.000519
       1.048500       0.015613       0.000519
       1.053500       0.015486       0.000518
       1.058500       0.014701       0.000519
       1.063500       0.015888       0.000518
       1.068500       0.015701       0.000519
       1.073500       0.015888       0.000520
       1.078500       0.014844       0.000519
       1.083500       0.015543       0.000520
       1.088500       0.014533       0.000520
       1.093500       0.015835       0.000519
       1.098500       0.015569       0.000518
       1.103500       0.015558       0.000520
       1.108500       0.015194       0.000517
       1.113500       0.015457       0.000519
       1.118500       0.014566       0.000519
       1.123500       0.015802       0.000519
       1.128500       0.015222       0.000520
       1.133500       0.015631       0.000518
       1.138500       0.014985       0.000520
       1.143500       0.015181       0.000519
       1.148500       0.014211       0.000520
       1.153500       0.014456       0.000517
       1.158500       0.014990       0.000518
       1.163500       0.014856       0.000519
       1.168500       0.016273       0.000520
       1.173500       0.015100       0.000521
       1.178500       0.013701       0.000520
       1.183500       0.013750       0.000519
       1.188500       0.013517       0.000517
       1.193500       0.015457       0.000516
       1.198500       0.014116       0.000516
       1.203500       0.014533       0.000517
       1.208500       0.014883       0.000517
       1.213500       0.014629       0.000519
       1.218500       0.014970       0.000517
       1.223500       0.014740       0.000517
       1.228500       0.014483       0.000519
       1.233500       0.014518       0.000517
       1.238500       0.014797       0.000518
       1.243500       0.015113       0.000518
       1.248500       0.015188       0.000519
       1.253500       0.013342       0.000520
       1.258500       0.014749       0.000518
       1.263500       0.014590       0.000516
       1.268500       0.013965       0.000519
       1.273500       0.014539       0.000518
       1.278500       0.014820       0.000518
       1.283500       0.014767       0.000518
       1.288500       0.013842       0.000518
       1.293500       0.014763       0.000518
       1.298500       0.014430       0.000521
       1.303500       0.015087       0.000526
       1.308500       0.013502       0.000519
       1.313500       0.015338       0.000520
       1.318500       0.014615       0.000519
       1.323500       0.014410       0.000517
       1.328500       0.015206       0.000517
       1.333500       0.013168       0.000517
       1.338500       0.014521       0.000517
       1.343500       0.014449       0.000518
       1.348500       0.014383       0.000519
       1.353500       0.013907       0.000518
       1.358500       0.014564       0.000518
       1.363500       0.014461       0.000519
       1.368500       0.014209       0.000517
       1.373500       0.013964       0.000516
       1.378500       0.014885       0.000521
       1.383500       0.013861       0.000514
       1.388500       0.013856       0.000518
       1.393500       0.014942       0.000521
       1.398500       0.013934       0.000518
       1.403500       0.014084       0.000515
       1.408500       0.013742       0.000515
       1.413500       0.013974       0.000516
       1.418500       0.013801       0.000517
       1.423500       0.013041       0.000520
       1.428500       0.014642       0.000516
       1.433500       0.013609       0.000517
       1.438500       0.013568       0.000517
       1.443500       0.013207       0.000516
       1.448500       0.013490       0.000517
       1.453500       0.013695       0.000516
       1.458500       0.014381       0.000519
       1.463500       0.013837       0.000518
       1.468500       0.013609       0.000518
       1.473500       0.013661       0.000519
       1.478500       0.014210       0.000518
       1.483500       0.013586       0.000518
       1.488500       0.012697       0.000518
       1.493500       0.014231       0.000518
       1.498500       0.014304       0.000516
       1.503500       0.013463       0.000554
       1.508500       0.013563       0.000516
       1.513500       0.013772       0.000612
       1.518500       0.014155       0.000516
       1.523500       0.014390       0.000576
       1.528500       0.013631       0.000515
       1.534000       0.014109       0.000512
       1.540000       0.013668       0.000513
       1.546000       0.013138       0.000514
       1.552000       0.013198       0.000514
       1.558000       0.012999       0.000513
       1.564000       0.013362       0.000515
       1.570500       0.014446       0.000523
       1.577500       0.014166       0.000512
       1.584500       0.012840       0.000519
       1.591500       0.013083       0.000512
       1.598500       0.013362       0.000501
       1.605500       0.013025       0.000509
       1.612500       0.013167       0.000511
       1.619500       0.013871       0.000513
       1.626500       0.013397       0.000510
       1.633500       0.014006       0.000513
       1.640500       0.013367       0.000511
       1.647500       0.012997       0.000511
       1.654500       0.012416       0.000509
       1.661500       0.013828       0.000512
       1.668500       0.013358       0.000510
       1.676000       0.013065       0.000510
       1.684000       0.012508       0.000573
       1.692000       0.012901       0.000700
       1.700000       0.012980       0.000704
       1.708000       0.012716       0.000584
       1.716000       0.012931       0.000510
       1.724000       0.012222       0.000636
       1.732000       0.013276       0.000635
       1.740000       0.013192       0.000895
       1.748000       0.012479       0.000737
       1.756000       0.012344       0.000718
       1.764000       0.012629       0.000509
       1.772000       0.011318       0.000574
       1.780000       0.013322       0.000597
       1.788000       0.012536       0.000642
       1.796000       0.013000       0.000506
       1.805000       0.012928       0.000505
       1.815000       0.011660       0.000505
       1.825000       0.013093       0.000506
       1.835000       0.012025       0.000526
       1.845000       0.012722       0.000503
       1.855000       0.013050       0.000499
       1.865000       0.012459       0.000505
       1.875000       0.012397       0.000533
       1.885000       0.012970       0.000504
       1.895000       0.012766       0.000513
       1.905000       0.012537       0.000502
       1.915000       0.012926       0.000537
       1.925000       0.012237       0.000511
       1.935000       0.012493       0.000537
       1.945000       0.012658       0.000549
       1.955000       0.011391       0.000524
       1.965000       0.013103       0.000597
       1.975000       0.011879       0.000620
       1.985000       0.010794       0.000560
       1.995000       0.011736       0.000605
       2.005000       0.012200       0.000618
       2.015000       0.012308       0.000720
       2.025000       0.012845       0.000732
       2.035000       0.012798       0.000817
       2.045000       0.010699       0.000728
       2.055000       0.011626       0.000804
       2.065000       0.012245       0.000851
       2.075000       0.012066       0.000836
       2.085000       0.010706       0.000870
       2.095000       0.010910       0.000874
       2.105000       0.011157       0.000859
       2.115000       0.012976       0.001041
       2.125000       0.009893       0.001071
       2.135000       0.010919       0.001006
       2.145000       0.012042       0.000725
       2.155000       0.012388       0.000702
       2.165000       0.011616       0.000611
       2.175000       0.012505       0.000885
       2.185000       0.012450       0.000911
       2.195000       0.011233       0.001084
       2.205000       0.011169       0.001286
       2.215000       0.011299       0.001430
       2.225000       0.010382       0.001578
       2.235000       0.012662       0.001682
       2.245000       0.009511       0.002236
       2.255000       0.011015       0.002320
       2.265000       0.006687       0.003228
       2.275000       0.010379       0.003181
       2.285000       0.009173       0.005189
       2.295000       0.007942       0.005845
       2.305000       0.004912       0.005935
       2.315000       0.018854       0.003462
       2.325000       0.011073       0.001769
       2.335000       0.012291       0.000873
       2.345000       0.010858       0.000765
