USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chrysocolla HS297.3B         W1R1Bb AREF
copy of splib05a r 1821                                     
       0.205100      -1.23e34        0.058173
       0.213100      -1.23e34        0.010412
       0.221100       0.012708       0.002895
       0.229100       0.015600       0.001408
       0.236100       0.015288       0.001197
       0.242100       0.012822       0.001140
       0.248100       0.013034       0.001072
       0.253600       0.013932       0.001060
       0.258600       0.015157       0.001037
       0.263600       0.016693       0.001052
       0.268600       0.016081       0.001062
       0.273100       0.020187       0.001083
       0.277100       0.022555       0.001105
       0.281100       0.025010       0.001139
       0.285100       0.025757       0.001177
       0.289100       0.028687       0.001222
       0.293100       0.028732       0.001136
       0.297100       0.028685       0.001324
       0.301100       0.028244       0.001356
       0.305100       0.032704       0.001393
       0.309100       0.033778       0.001418
       0.313100       0.036725       0.001427
       0.317100       0.038030       0.001464
       0.321100       0.042021       0.001305
       0.325100       0.043072       0.001433
       0.329100       0.044857       0.001488
       0.333100       0.045451       0.001504
       0.337100       0.049049       0.001346
       0.341100       0.053556       0.001463
       0.345100       0.058517       0.001493
       0.349100       0.061521       0.001254
       0.353100       0.068904       0.001001
       0.357100       0.075993       0.001216
       0.360600       0.082556       0.000532
       0.363600       0.090263       0.001481
       0.366600       0.097897       0.001440
       0.369600       0.108991       0.001510
       0.372600       0.119439       0.001418
       0.375600       0.130208       0.001221
       0.378600       0.143599       0.001508
       0.381100       0.157859       0.001153
       0.383100       0.166613       0.001364
       0.385100       0.176214       0.000975
       0.387100       0.186111       0.001515
       0.389100       0.198924       0.001492
       0.391100       0.214026       0.001365
       0.393100       0.225273       0.001438
       0.395100       0.235803       0.001537
       0.397100       0.245052       0.001542
       0.399100       0.259151       0.001556
       0.401100       0.272762       0.001545
       0.403100       0.282789       0.001042
       0.405100       0.294293       0.000829
       0.407100       0.302245       0.001059
       0.409100       0.315617       0.001104
       0.411100       0.325957       0.001532
       0.412800       0.334420       0.001354
       0.415800       0.347521       0.001055
       0.418800       0.360984       0.001533
       0.421800       0.373669       0.001202
       0.424800       0.387432       0.001163
       0.427800       0.400524       0.000933
       0.430800       0.409925       0.001582
       0.433800       0.421775       0.001538
       0.436800       0.433045       0.001401
       0.439800       0.446810       0.001274
       0.442800       0.460345       0.001598
       0.445800       0.470498       0.001322
       0.448800       0.483919       0.001415
       0.451300       0.497179       0.001437
       0.453300       0.507393       0.001371
       0.455300       0.512630       0.001458
       0.457300       0.523157       0.001287
       0.459300       0.530156       0.001614
       0.461300       0.537963       0.001643
       0.463300       0.544272       0.001545
       0.465300       0.552142       0.001559
       0.467300       0.559664       0.001615
       0.469300       0.567548       0.001637
       0.471300       0.576318       0.001654
       0.473300       0.579279       0.001613
       0.475300       0.587482       0.001652
       0.477300       0.591961       0.001661
       0.479300       0.594602       0.001642
       0.481300       0.596885       0.001638
       0.483300       0.600598       0.001053
       0.485300       0.603181       0.001692
       0.487300       0.604264       0.001648
       0.489300       0.605581       0.001380
       0.491300       0.607347       0.001669
       0.493300       0.608722       0.001650
       0.495300       0.604765       0.001455
       0.497300       0.604182       0.001634
       0.499300       0.602328       0.001710
       0.501300       0.597506       0.001233
       0.503300       0.596650       0.001701
       0.505300       0.592017       0.001460
       0.507300       0.588628       0.001687
       0.509300       0.583714       0.001694
       0.511300       0.576273       0.001682
       0.513300       0.570435       0.001309
       0.515300       0.564018       0.001645
       0.517300       0.554313       0.001331
       0.519300       0.547617       0.001622
       0.521300       0.538366       0.001638
       0.523300       0.525333       0.001348
       0.525300       0.520140       0.001005
       0.527300       0.509180       0.001608
       0.529300       0.499765       0.001645
       0.531300       0.483599       0.001348
       0.533300       0.472628       0.001639
       0.535300       0.461891       0.001659
       0.537300       0.452493       0.001618
       0.539300       0.437878       0.001451
       0.541300       0.426458       0.001626
       0.543300       0.414075       0.001633
       0.545300       0.403756       0.001426
       0.547300       0.388250       0.001478
       0.549300       0.377024       0.001012
       0.551300       0.369292       0.000991
       0.553300       0.355284       0.001545
       0.555300       0.340330       0.001153
       0.557300       0.330084       0.001099
       0.559300       0.321930       0.001587
       0.561300       0.310410       0.001278
       0.563300       0.298948       0.001551
       0.565300       0.289223       0.001261
       0.567300       0.279174       0.001584
       0.569300       0.268389       0.001570
       0.571300       0.256562       0.001594
       0.573300       0.246768       0.000930
       0.575300       0.237804       0.001210
       0.577300       0.230720       0.001012
       0.579300       0.222689       0.001514
       0.581300       0.213055       0.000737
       0.583300       0.204552       0.000760
       0.585300       0.195750       0.001264
       0.587300       0.184608       0.001159
       0.589300       0.183169       0.001576
       0.591300       0.174756       0.001591
       0.593300       0.171218       0.001562
       0.595300       0.162745       0.001516
       0.597300       0.159374       0.001197
       0.599300       0.152223       0.001525
       0.601100       0.145959       0.001579
       0.602700       0.143999       0.001581
       0.604300       0.137684       0.001540
       0.605900       0.136854       0.001336
       0.607500       0.131037       0.001534
       0.609100       0.126885       0.001525
       0.610700       0.125314       0.001534
       0.612300       0.120832       0.001527
       0.613900       0.117290       0.001536
       0.615500       0.115570       0.001570
       0.617100       0.110486       0.001562
       0.618700       0.107951       0.001413
       0.620300       0.106141       0.001555
       0.621900       0.105631       0.001537
       0.623500       0.103109       0.001556
       0.625100       0.097582       0.001557
       0.626700       0.095531       0.001578
       0.628300       0.097277       0.001563
       0.629900       0.093526       0.001578
       0.631700       0.091594       0.001562
       0.633700       0.088088       0.001564
       0.635700       0.086536       0.001480
       0.637700       0.082534       0.001555
       0.639700       0.083519       0.001542
       0.641700       0.080997       0.001270
       0.643700       0.078190       0.001295
       0.645700       0.077406       0.000932
       0.647700       0.075271       0.001098
       0.649700       0.074292       0.001233
       0.651700       0.072623       0.001117
       0.653700       0.070695       0.001027
       0.655700       0.070038       0.001096
       0.657700       0.067087       0.000752
       0.659700       0.068157       0.001032
       0.661700       0.066474       0.001489
       0.663700       0.066385       0.001546
       0.665700       0.064583       0.001320
       0.667700       0.064301       0.001537
       0.670200       0.062899       0.001376
       0.673200       0.061613       0.001529
       0.676200       0.060729       0.001472
       0.679200       0.058404       0.001566
       0.682200       0.057561       0.001033
       0.685200       0.057433       0.000998
       0.688200       0.057985       0.001339
       0.691200       0.055270       0.001143
       0.694200       0.057253       0.000812
       0.697200       0.054570       0.001429
       0.700200       0.052679       0.001001
       0.702000       0.053956       0.001572
       0.704000       0.052383       0.001232
       0.706000       0.054111       0.000732
       0.708000       0.053390       0.001037
       0.710000       0.053143       0.000982
       0.712000       0.053122       0.000623
       0.714000       0.053104       0.001058
       0.716000       0.052093       0.000834
       0.718000       0.052671       0.001245
       0.720000       0.052394       0.000959
       0.722000       0.052273       0.001129
       0.724000       0.051622       0.000639
       0.726000       0.052400       0.001556
       0.728000       0.051841       0.000796
       0.730000       0.050363       0.001528
       0.732000       0.052019       0.001213
       0.734000       0.052954       0.001319
       0.736000       0.050614       0.001575
       0.738000       0.051109       0.001544
       0.740000       0.052223       0.001568
       0.742000       0.052112       0.001191
       0.744000       0.052205       0.001070
       0.746000       0.053339       0.001532
       0.748000       0.052880       0.001139
       0.750500       0.052071       0.001062
       0.753500       0.052863       0.001494
       0.756500       0.053009       0.001534
       0.759500       0.053499       0.001006
       0.762500       0.053179       0.000886
       0.765500       0.052235       0.000797
       0.768500       0.051971       0.001313
       0.771500       0.054215       0.001602
       0.774500       0.052847       0.000823
       0.777500       0.054162       0.001430
       0.781000       0.054645       0.001265
       0.785000       0.054835       0.001243
       0.789000       0.054878       0.001584
       0.793000       0.055337       0.000926
       0.797000       0.056455       0.000641
       0.801500       0.056978       0.001215
       0.806500       0.056805       0.001228
       0.811500       0.056660       0.001291
       0.816500       0.059968       0.001208
       0.822000       0.059923       0.000790
       0.828000       0.060055       0.001596
       0.835000       0.060168       0.000724
       0.843000       0.061072       0.001672
       0.851000       0.067237       0.001854
       0.859000       0.067995       0.001725
       0.871000       0.069744       0.001742
       0.883000       0.074769       0.001692
       0.894000       0.077817       0.001739
       0.904000       0.080675       0.001726
       0.914000       0.081533       0.001742
       0.924000       0.086237       0.001742
       0.933000       0.089112       0.001731
       0.941000       0.092491       0.001714
       0.949000       0.095559       0.001572
       0.957000       0.100061       0.001712
       0.964000       0.105689       0.001706
       0.970000       0.109106       0.001548
       0.976000       0.110412       0.001321
       0.982000       0.113822       0.001198
       0.988000       0.118729       0.001143
       0.994000       0.121576       0.001751
       1.000000       0.122952       0.001738
       1.006000       0.131268       0.001270
       1.012000       0.133091       0.001562
       1.018000       0.136138       0.001506
       1.023500       0.139508       0.001333
       1.028500       0.143453       0.001506
       1.033500       0.146688       0.001458
       1.038500       0.148786       0.001765
       1.043500       0.155294       0.001530
       1.048500       0.158848       0.001530
       1.053500       0.160113       0.001714
       1.058500       0.162639       0.001346
       1.063500       0.164862       0.001184
       1.068500       0.169733       0.001227
       1.073500       0.175996       0.001475
       1.078500       0.175245       0.001457
       1.083500       0.181776       0.001695
       1.088500       0.185702       0.001050
       1.093500       0.187118       0.001651
       1.098500       0.192161       0.001094
       1.103500       0.195239       0.000910
       1.108500       0.199711       0.000750
       1.113500       0.202944       0.001345
       1.118500       0.207456       0.000715
       1.123500       0.209844       0.001286
       1.128500       0.214866       0.000790
       1.133500       0.219600       0.000939
       1.138500       0.222364       0.001726
       1.143500       0.222971       0.001396
       1.148500       0.230441       0.001515
       1.153500       0.232442       0.001128
       1.158500       0.238371       0.001787
       1.163500       0.243804       0.001482
       1.168500       0.244049       0.001442
       1.173500       0.249726       0.001439
       1.178500       0.254274       0.001787
       1.183500       0.259640       0.001185
       1.188500       0.263689       0.001304
       1.193500       0.268991       0.001370
       1.198500       0.270989       0.001241
       1.203500       0.277297       0.001104
       1.208500       0.280096       0.001152
       1.213500       0.285170       0.000988
       1.218500       0.288464       0.001002
       1.223500       0.291125       0.001070
       1.228500       0.297666       0.001429
       1.233500       0.304031       0.001392
       1.238500       0.305107       0.000890
       1.243500       0.311433       0.001084
       1.248500       0.316005       0.001281
       1.253500       0.319675       0.001031
       1.258500       0.324100       0.001450
       1.263500       0.330073       0.000891
       1.268500       0.333187       0.001169
       1.273500       0.336743       0.001426
       1.278500       0.344022       0.001377
       1.283500       0.343979       0.000991
       1.288500       0.350301       0.001293
       1.293500       0.354544       0.001087
       1.298500       0.359213       0.001189
       1.303500       0.361193       0.000936
       1.308500       0.365372       0.000857
       1.313500       0.368599       0.001297
       1.318500       0.372867       0.001065
       1.323500       0.374853       0.001134
       1.328500       0.379416       0.001488
       1.333500       0.380855       0.000838
       1.338500       0.384150       0.001338
       1.343500       0.385769       0.001395
       1.348500       0.388735       0.001282
       1.353500       0.390712       0.001059
       1.358500       0.392076       0.001003
       1.363500       0.392234       0.001607
       1.368500       0.383650       0.001527
       1.373500       0.379830       0.001064
       1.378500       0.369726       0.000954
       1.383500       0.364026       0.001237
       1.388500       0.348117       0.001785
       1.393500       0.322229       0.001797
       1.398500       0.286304       0.001570
       1.403500       0.257219       0.001809
       1.408500       0.240623       0.001693
       1.413500       0.255068       0.001807
       1.418500       0.271904       0.001523
       1.423500       0.286029       0.001209
       1.428500       0.300362       0.001657
       1.433500       0.309188       0.001810
       1.438500       0.317131       0.001329
       1.443500       0.323103       0.001569
       1.448500       0.325207       0.001346
       1.453500       0.330639       0.001317
       1.458500       0.335647       0.001602
       1.463500       0.340634       0.001146
       1.468500       0.348411       0.001563
       1.473500       0.355787       0.001628
       1.478500       0.366475       0.001113
       1.483500       0.374203       0.001670
       1.488500       0.381745       0.001576
       1.493500       0.390832       0.001743
       1.498500       0.398974       0.001801
       1.503500       0.404456       0.001436
       1.508500       0.408567       0.001861
       1.513500       0.417066       0.001761
       1.518500       0.422082       0.001708
       1.523500       0.428081       0.001497
       1.528500       0.433726       0.001172
       1.534000       0.443224       0.001591
       1.540000       0.447894       0.001519
       1.546000       0.455662       0.001583
       1.552000       0.459135       0.001603
       1.558000       0.466864       0.001733
       1.564000       0.472904       0.001623
       1.570500       0.476631       0.001249
       1.577500       0.482314       0.000983
       1.584500       0.487414       0.001120
       1.591500       0.492719       0.000911
       1.598500       0.496812       0.001016
       1.605500       0.498252       0.001226
       1.612500       0.501492       0.001045
       1.619500       0.507598       0.001196
       1.626500       0.508949       0.000942
       1.633500       0.510768       0.001553
       1.640500       0.515243       0.001584
       1.647500       0.516202       0.001620
       1.654500       0.519140       0.001824
       1.661500       0.521217       0.001376
       1.668500       0.523869       0.001540
       1.676000       0.522425       0.001638
       1.684000       0.522346       0.001903
       1.692000       0.520207       0.001515
       1.700000       0.518823       0.001914
       1.708000       0.526822       0.001587
       1.716000       0.520677       0.001775
       1.724000       0.519962       0.001767
       1.732000       0.516924       0.001945
       1.740000       0.508642       0.001922
       1.748000       0.510452       0.001922
       1.756000       0.499692       0.001871
       1.764000       0.500262       0.001203
       1.772000       0.498213       0.001923
       1.780000       0.490170       0.001900
       1.788000       0.490607       0.001553
       1.796000       0.486922       0.001464
       1.805000       0.487745       0.001492
       1.815000       0.487227       0.001444
       1.825000       0.482750       0.001718
       1.835000       0.481025       0.001744
       1.845000       0.469553       0.001870
       1.855000       0.447799       0.001630
       1.865000       0.404488       0.001518
       1.875000       0.318640       0.001780
       1.885000       0.243244       0.001804
       1.895000       0.172512       0.001762
       1.905000       0.138659       0.001527
       1.915000       0.144721       0.001466
       1.925000       0.153691       0.001395
       1.935000       0.166760       0.001796
       1.945000       0.177148       0.001349
       1.955000       0.187407       0.001761
       1.965000       0.197214       0.001773
       1.975000       0.211971       0.001836
       1.985000       0.227155       0.001799
       1.995000       0.244798       0.001757
       2.005000       0.259628       0.001823
       2.015000       0.274650       0.001792
       2.025000       0.291203       0.001816
       2.035000       0.306028       0.001792
       2.045000       0.316940       0.001840
       2.055000       0.329751       0.001574
       2.065000       0.330711       0.001740
       2.075000       0.339971       0.001572
       2.085000       0.346088       0.001852
       2.095000       0.349626       0.001545
       2.105000       0.355789       0.001847
       2.115000       0.358853       0.001865
       2.125000       0.365788       0.001813
       2.135000       0.364465       0.001806
       2.145000       0.366365       0.001614
       2.155000       0.359421       0.001594
       2.165000       0.354598       0.001865
       2.175000       0.351078       0.001796
       2.185000       0.338886       0.001853
       2.195000       0.327558       0.001853
       2.205000       0.314738       0.001835
       2.215000       0.297498       0.001866
       2.225000       0.273135       0.001871
       2.235000       0.238173       0.001863
       2.245000       0.205968       0.001853
       2.255000       0.194641       0.001851
       2.265000       0.201965       0.001877
       2.275000       0.210511       0.002145
       2.285000       0.229634       0.003116
       2.295000       0.248520       0.003741
       2.305000       0.257320       0.003522
       2.315000       0.255501       0.001957
       2.325000       0.255813       0.001842
       2.335000       0.248570       0.001813
       2.345000       0.240651       0.001606
