USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chrysotile ML99-12A Coar Fib W1R1Fb AREF
copy of splib05a r 1844                                     
       0.350000       0.348873       0.000000
       0.351000       0.348873       0.000000
       0.352000       0.348873       0.000000
       0.353000       0.348873       0.000000
       0.354000       0.348873       0.000000
       0.355000       0.350621       0.000000
       0.356000       0.352293       0.000000
       0.357000       0.353815       0.000000
       0.358000       0.355143       0.000000
       0.359000       0.356368       0.000000
       0.360000       0.357615       0.000000
       0.361000       0.358974       0.000000
       0.362000       0.360403       0.000000
       0.363000       0.361827       0.000000
       0.364000       0.363183       0.000000
       0.365000       0.364465       0.000000
       0.366000       0.365676       0.000000
       0.367000       0.366833       0.000000
       0.368000       0.368003       0.000000
       0.369000       0.369261       0.000000
       0.370000       0.370660       0.000000
       0.371000       0.372141       0.000000
       0.372000       0.373623       0.000000
       0.373000       0.375029       0.000000
       0.374000       0.376318       0.000000
       0.375000       0.377453       0.000000
       0.376000       0.378411       0.000000
       0.377000       0.379214       0.000000
       0.378000       0.379896       0.000000
       0.379000       0.380487       0.000000
       0.380000       0.381006       0.000000
       0.381000       0.381466       0.000000
       0.382000       0.381897       0.000000
       0.383000       0.382392       0.000000
       0.384000       0.383058       0.000000
       0.385000       0.383978       0.000000
       0.386000       0.385139       0.000000
       0.387000       0.386504       0.000000
       0.388000       0.388042       0.000000
       0.389000       0.389752       0.000000
       0.390000       0.391641       0.000000
       0.391000       0.393702       0.000000
       0.392000       0.395881       0.000000
       0.393000       0.398109       0.000000
       0.394000       0.400312       0.000000
       0.395000       0.402393       0.000000
       0.396000       0.404248       0.000000
       0.397000       0.405796       0.000000
       0.398000       0.407042       0.000000
       0.399000       0.408011       0.000000
       0.400000       0.408730       0.000000
       0.401000       0.409221       0.000000
       0.402000       0.409504       0.000000
       0.403000       0.409603       0.000000
       0.404000       0.409547       0.000000
       0.405000       0.409367       0.000000
       0.406000       0.409093       0.000000
       0.407000       0.408744       0.000000
       0.408000       0.408340       0.000000
       0.409000       0.407899       0.000000
       0.410000       0.407450       0.000000
       0.411000       0.407023       0.000000
       0.412000       0.406642       0.000000
       0.413000       0.406308       0.000000
       0.414000       0.406020       0.000000
       0.415000       0.405772       0.000000
       0.416000       0.405562       0.000000
       0.417000       0.405389       0.000000
       0.418000       0.405247       0.000000
       0.419000       0.405114       0.000000
       0.420000       0.404967       0.000000
       0.421000       0.404784       0.000000
       0.422000       0.404556       0.000000
       0.423000       0.404274       0.000000
       0.424000       0.403935       0.000000
       0.425000       0.403545       0.000000
       0.426000       0.403116       0.000000
       0.427000       0.402656       0.000000
       0.428000       0.402181       0.000000
       0.429000       0.401702       0.000000
       0.430000       0.401232       0.000000
       0.431000       0.400779       0.000000
       0.432000       0.400349       0.000000
       0.433000       0.399953       0.000000
       0.434000       0.399611       0.000000
       0.435000       0.399350       0.000000
       0.436000       0.399190       0.000000
       0.437000       0.399129       0.000000
       0.438000       0.399162       0.000000
       0.439000       0.399283       0.000000
       0.440000       0.399499       0.000000
       0.441000       0.399814       0.000000
       0.442000       0.400230       0.000000
       0.443000       0.400722       0.000000
       0.444000       0.401257       0.000000
       0.445000       0.401809       0.000000
       0.446000       0.402359       0.000000
       0.447000       0.402893       0.000000
       0.448000       0.403397       0.000000
       0.449000       0.403868       0.000000
       0.450000       0.404304       0.000000
       0.451000       0.404704       0.000000
       0.452000       0.405077       0.000000
       0.453000       0.405431       0.000000
       0.454000       0.405776       0.000000
       0.455000       0.406131       0.000000
       0.456000       0.406514       0.000000
       0.457000       0.406949       0.000000
       0.458000       0.407489       0.000000
       0.459000       0.408194       0.000000
       0.460000       0.409119       0.000000
       0.461000       0.410307       0.000000
       0.462000       0.411798       0.000000
       0.463000       0.413624       0.000000
       0.464000       0.415782       0.000000
       0.465000       0.418261       0.000000
       0.466000       0.421046       0.000000
       0.467000       0.424105       0.000000
       0.468000       0.427400       0.000000
       0.469000       0.430888       0.000000
       0.470000       0.434498       0.000000
       0.471000       0.438149       0.000000
       0.472000       0.441770       0.000000
       0.473000       0.445309       0.000000
       0.474000       0.448725       0.000000
       0.475000       0.451976       0.000000
       0.476000       0.455043       0.000000
       0.477000       0.457906       0.000000
       0.478000       0.460551       0.000000
       0.479000       0.462976       0.000000
       0.480000       0.465180       0.000000
       0.481000       0.467168       0.000000
       0.482000       0.468953       0.000000
       0.483000       0.470553       0.000000
       0.484000       0.471985       0.000000
       0.485000       0.473267       0.000000
       0.486000       0.474418       0.000000
       0.487000       0.475452       0.000000
       0.488000       0.476379       0.000000
       0.489000       0.477204       0.000000
       0.490000       0.477937       0.000000
       0.491000       0.478606       0.000000
       0.492000       0.479240       0.000000
       0.493000       0.479872       0.000000
       0.494000       0.480528       0.000000
       0.495000       0.481237       0.000000
       0.496000       0.482022       0.000000
       0.497000       0.482885       0.000000
       0.498000       0.483826       0.000000
       0.499000       0.484838       0.000000
       0.500000       0.485898       0.000000
       0.501000       0.486976       0.000000
       0.502000       0.488047       0.000000
       0.503000       0.489106       0.000000
       0.504000       0.490149       0.000000
       0.505000       0.491174       0.000000
       0.506000       0.492177       0.000000
       0.507000       0.493156       0.000000
       0.508000       0.494108       0.000000
       0.509000       0.495032       0.000000
       0.510000       0.495931       0.000000
       0.511000       0.496803       0.000000
       0.512000       0.497647       0.000000
       0.513000       0.498456       0.000000
       0.514000       0.499227       0.000000
       0.515000       0.499962       0.000000
       0.516000       0.500661       0.000000
       0.517000       0.501326       0.000000
       0.518000       0.501954       0.000000
       0.519000       0.502541       0.000000
       0.520000       0.503084       0.000000
       0.521000       0.503587       0.000000
       0.522000       0.504055       0.000000
       0.523000       0.504494       0.000000
       0.524000       0.504907       0.000000
       0.525000       0.505302       0.000000
       0.526000       0.505681       0.000000
       0.527000       0.506045       0.000000
       0.528000       0.506395       0.000000
       0.529000       0.506730       0.000000
       0.530000       0.507053       0.000000
       0.531000       0.507368       0.000000
       0.532000       0.507675       0.000000
       0.533000       0.507978       0.000000
       0.534000       0.508276       0.000000
       0.535000       0.508571       0.000000
       0.536000       0.508861       0.000000
       0.537000       0.509147       0.000000
       0.538000       0.509428       0.000000
       0.539000       0.509701       0.000000
       0.540000       0.509962       0.000000
       0.541000       0.510208       0.000000
       0.542000       0.510441       0.000000
       0.543000       0.510662       0.000000
       0.544000       0.510870       0.000000
       0.545000       0.511065       0.000000
       0.546000       0.511245       0.000000
       0.547000       0.511409       0.000000
       0.548000       0.511554       0.000000
       0.549000       0.511680       0.000000
       0.550000       0.511784       0.000000
       0.551000       0.511868       0.000000
       0.552000       0.511935       0.000000
       0.553000       0.511984       0.000000
       0.554000       0.512013       0.000000
       0.555000       0.512019       0.000000
       0.556000       0.511998       0.000000
       0.557000       0.511950       0.000000
       0.558000       0.511877       0.000000
       0.559000       0.511781       0.000000
       0.560000       0.511661       0.000000
       0.561000       0.511519       0.000000
       0.562000       0.511356       0.000000
       0.563000       0.511173       0.000000
       0.564000       0.510973       0.000000
       0.565000       0.510759       0.000000
       0.566000       0.510529       0.000000
       0.567000       0.510284       0.000000
       0.568000       0.510021       0.000000
       0.569000       0.509742       0.000000
       0.570000       0.509447       0.000000
       0.571000       0.509138       0.000000
       0.572000       0.508813       0.000000
       0.573000       0.508472       0.000000
       0.574000       0.508115       0.000000
       0.575000       0.507742       0.000000
       0.576000       0.507353       0.000000
       0.577000       0.506947       0.000000
       0.578000       0.506524       0.000000
       0.579000       0.506083       0.000000
       0.580000       0.505621       0.000000
       0.581000       0.505138       0.000000
       0.582000       0.504634       0.000000
       0.583000       0.504106       0.000000
       0.584000       0.503553       0.000000
       0.585000       0.502970       0.000000
       0.586000       0.502355       0.000000
       0.587000       0.501708       0.000000
       0.588000       0.501033       0.000000
       0.589000       0.500329       0.000000
       0.590000       0.499602       0.000000
       0.591000       0.498853       0.000000
       0.592000       0.498086       0.000000
       0.593000       0.497300       0.000000
       0.594000       0.496495       0.000000
       0.595000       0.495671       0.000000
       0.596000       0.494831       0.000000
       0.597000       0.493977       0.000000
       0.598000       0.493111       0.000000
       0.599000       0.492232       0.000000
       0.600000       0.491335       0.000000
       0.601000       0.490420       0.000000
       0.602000       0.489487       0.000000
       0.603000       0.488539       0.000000
       0.604000       0.487578       0.000000
       0.605000       0.486603       0.000000
       0.606000       0.485612       0.000000
       0.607000       0.484604       0.000000
       0.608000       0.483584       0.000000
       0.609000       0.482558       0.000000
       0.610000       0.481531       0.000000
       0.611000       0.480503       0.000000
       0.612000       0.479472       0.000000
       0.613000       0.478438       0.000000
       0.614000       0.477398       0.000000
       0.615000       0.476349       0.000000
       0.616000       0.475291       0.000000
       0.617000       0.474229       0.000000
       0.618000       0.473168       0.000000
       0.619000       0.472111       0.000000
       0.620000       0.471058       0.000000
       0.621000       0.470002       0.000000
       0.622000       0.468942       0.000000
       0.623000       0.467877       0.000000
       0.624000       0.466812       0.000000
       0.625000       0.465746       0.000000
       0.626000       0.464680       0.000000
       0.627000       0.463613       0.000000
       0.628000       0.462544       0.000000
       0.629000       0.461471       0.000000
       0.630000       0.460393       0.000000
       0.631000       0.459310       0.000000
       0.632000       0.458221       0.000000
       0.633000       0.457128       0.000000
       0.634000       0.456033       0.000000
       0.635000       0.454935       0.000000
       0.636000       0.453835       0.000000
       0.637000       0.452733       0.000000
       0.638000       0.451630       0.000000
       0.639000       0.450529       0.000000
       0.640000       0.449430       0.000000
       0.641000       0.448335       0.000000
       0.642000       0.447246       0.000000
       0.643000       0.446162       0.000000
       0.644000       0.445084       0.000000
       0.645000       0.444007       0.000000
       0.646000       0.442933       0.000000
       0.647000       0.441861       0.000000
       0.648000       0.440794       0.000000
       0.649000       0.439735       0.000000
       0.650000       0.438686       0.000000
       0.651000       0.437650       0.000000
       0.652000       0.436630       0.000000
       0.653000       0.435621       0.000000
       0.654000       0.434621       0.000000
       0.655000       0.433628       0.000000
       0.656000       0.432641       0.000000
       0.657000       0.431665       0.000000
       0.658000       0.430700       0.000000
       0.659000       0.429746       0.000000
       0.660000       0.428802       0.000000
       0.661000       0.427868       0.000000
       0.662000       0.426941       0.000000
       0.663000       0.426022       0.000000
       0.664000       0.425110       0.000000
       0.665000       0.424207       0.000000
       0.666000       0.423314       0.000000
       0.667000       0.422433       0.000000
       0.668000       0.421566       0.000000
       0.669000       0.420712       0.000000
       0.670000       0.419872       0.000000
       0.671000       0.419043       0.000000
       0.672000       0.418222       0.000000
       0.673000       0.417407       0.000000
       0.674000       0.416597       0.000000
       0.675000       0.415792       0.000000
       0.676000       0.414991       0.000000
       0.677000       0.414194       0.000000
       0.678000       0.413402       0.000000
       0.679000       0.412616       0.000000
       0.680000       0.411836       0.000000
       0.681000       0.411064       0.000000
       0.682000       0.410301       0.000000
       0.683000       0.409544       0.000000
       0.684000       0.408793       0.000000
       0.685000       0.408044       0.000000
       0.686000       0.407299       0.000000
       0.687000       0.406558       0.000000
       0.688000       0.405820       0.000000
       0.689000       0.405086       0.000000
       0.690000       0.404356       0.000000
       0.691000       0.403630       0.000000
       0.692000       0.402909       0.000000
       0.693000       0.402192       0.000000
       0.694000       0.401481       0.000000
       0.695000       0.400776       0.000000
       0.696000       0.400076       0.000000
       0.697000       0.399381       0.000000
       0.698000       0.398691       0.000000
       0.699000       0.398006       0.000000
       0.700000       0.397328       0.000000
       0.701000       0.396655       0.000000
       0.702000       0.395992       0.000000
       0.703000       0.395336       0.000000
       0.704000       0.394688       0.000000
       0.705000       0.394042       0.000000
       0.706000       0.393399       0.000000
       0.707000       0.392758       0.000000
       0.708000       0.392122       0.000000
       0.709000       0.391494       0.000000
       0.710000       0.390873       0.000000
       0.711000       0.390262       0.000000
       0.712000       0.389659       0.000000
       0.713000       0.389064       0.000000
       0.714000       0.388474       0.000000
       0.715000       0.387890       0.000000
       0.716000       0.387307       0.000000
       0.717000       0.386723       0.000000
       0.718000       0.386135       0.000000
       0.719000       0.385545       0.000000
       0.720000       0.384955       0.000000
       0.721000       0.384369       0.000000
       0.722000       0.383796       0.000000
       0.723000       0.383249       0.000000
       0.724000       0.382734       0.000000
       0.725000       0.382247       0.000000
       0.726000       0.381778       0.000000
       0.727000       0.381319       0.000000
       0.728000       0.380868       0.000000
       0.729000       0.380423       0.000000
       0.730000       0.379984       0.000000
       0.731000       0.379557       0.000000
       0.732000       0.379145       0.000000
       0.733000       0.378753       0.000000
       0.734000       0.378380       0.000000
       0.735000       0.378025       0.000000
       0.736000       0.377685       0.000000
       0.737000       0.377357       0.000000
       0.738000       0.377038       0.000000
       0.739000       0.376726       0.000000
       0.740000       0.376421       0.000000
       0.741000       0.376125       0.000000
       0.742000       0.375840       0.000000
       0.743000       0.375566       0.000000
       0.744000       0.375306       0.000000
       0.745000       0.375060       0.000000
       0.746000       0.374829       0.000000
       0.747000       0.374615       0.000000
       0.748000       0.374419       0.000000
       0.749000       0.374239       0.000000
       0.750000       0.374071       0.000000
       0.751000       0.373916       0.000000
       0.752000       0.373774       0.000000
       0.753000       0.373645       0.000000
       0.754000       0.373532       0.000000
       0.755000       0.373435       0.000000
       0.756000       0.373352       0.000000
       0.757000       0.373283       0.000000
       0.758000       0.373227       0.000000
       0.759000       0.373183       0.000000
       0.760000       0.373149       0.000000
       0.761000       0.373126       0.000000
       0.762000       0.373113       0.000000
       0.763000       0.373108       0.000000
       0.764000       0.373113       0.000000
       0.765000       0.373128       0.000000
       0.766000       0.373154       0.000000
       0.767000       0.373189       0.000000
       0.768000       0.373236       0.000000
       0.769000       0.373292       0.000000
       0.770000       0.373358       0.000000
       0.771000       0.373432       0.000000
       0.772000       0.373512       0.000000
       0.773000       0.373598       0.000000
       0.774000       0.373689       0.000000
       0.775000       0.373782       0.000000
       0.776000       0.373877       0.000000
       0.777000       0.373974       0.000000
       0.778000       0.374071       0.000000
       0.779000       0.374169       0.000000
       0.780000       0.374269       0.000000
       0.781000       0.374370       0.000000
       0.782000       0.374472       0.000000
       0.783000       0.374574       0.000000
       0.784000       0.374675       0.000000
       0.785000       0.374774       0.000000
       0.786000       0.374869       0.000000
       0.787000       0.374959       0.000000
       0.788000       0.375046       0.000000
       0.789000       0.375131       0.000000
       0.790000       0.375215       0.000000
       0.791000       0.375295       0.000000
       0.792000       0.375369       0.000000
       0.793000       0.375436       0.000000
       0.794000       0.375494       0.000000
       0.795000       0.375543       0.000000
       0.796000       0.375584       0.000000
       0.797000       0.375616       0.000000
       0.798000       0.375639       0.000000
       0.799000       0.375653       0.000000
       0.800000       0.375660       0.000000
       0.801000       0.375660       0.000000
       0.802000       0.375654       0.000000
       0.803000       0.375641       0.000000
       0.804000       0.375615       0.000000
       0.805000       0.375575       0.000000
