USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Cuprite HS127.3B             W1R1Bb AREF
copy of splib05a r 2296                                     
       0.205100      -1.23e34        0.362461
       0.213100      -1.23e34        0.490884
       0.221100      -1.23e34        0.220321
       0.229100      -1.23e34        0.043348
       0.236100      -1.23e34        0.020441
       0.242100      -1.23e34        0.008214
       0.248100      -1.23e34        0.005353
       0.253600      -1.23e34        0.004354
       0.258600       0.019638       0.003261
       0.263600       0.022134       0.002423
       0.268600       0.020186       0.002365
       0.273100       0.017940       0.002871
       0.277100       0.016223       0.002361
       0.281100       0.022854       0.002015
       0.285100       0.022319       0.001962
       0.289100       0.024609       0.001691
       0.293100       0.025591       0.001541
       0.297100       0.024437       0.001370
       0.301100       0.024712       0.001886
       0.305100       0.027114       0.001546
       0.309100       0.028840       0.001293
       0.313100       0.027554       0.001312
       0.317100       0.028682       0.001329
       0.321100       0.030400       0.001336
       0.325100       0.030905       0.001341
       0.329100       0.031761       0.001346
       0.333100       0.030601       0.001352
       0.337100       0.031508       0.001348
       0.341100       0.030718       0.001354
       0.345100       0.031760       0.001359
       0.349100       0.034726       0.001356
       0.353100       0.034464       0.001371
       0.357100       0.034844       0.001318
       0.360600       0.035194       0.000968
       0.363600       0.034951       0.000668
       0.366600       0.035286       0.001027
       0.369600       0.035363       0.001265
       0.372600       0.035564       0.000911
       0.375600       0.036751       0.000846
       0.378600       0.035995       0.000962
       0.381100       0.036120       0.000912
       0.383100       0.036695       0.000835
       0.385100       0.036662       0.000903
       0.387100       0.035900       0.000880
       0.389100       0.036481       0.000700
       0.391100       0.035785       0.000760
       0.393100       0.035786       0.000828
       0.395100       0.037195       0.001130
       0.397100       0.036558       0.000725
       0.399100       0.036716       0.000595
       0.401100       0.036299       0.000721
       0.403100       0.036532       0.000687
       0.405100       0.036723       0.000569
       0.407100       0.036930       0.000877
       0.409100       0.036491       0.000648
       0.411100       0.036453       0.000886
       0.412800       0.036643       0.000797
       0.415800       0.036352       0.000825
       0.418800       0.036688       0.000811
       0.421800       0.036756       0.001015
       0.424800       0.036633       0.000654
       0.427800       0.036372       0.000678
       0.430800       0.037021       0.000694
       0.433800       0.036664       0.000950
       0.436800       0.036335       0.000815
       0.439800       0.036379       0.000950
       0.442800       0.036718       0.000733
       0.445800       0.036188       0.000636
       0.448800       0.037033       0.000899
       0.451300       0.036360       0.000996
       0.453300       0.036980       0.001179
       0.455300       0.036593       0.000966
       0.457300       0.036621       0.000921
       0.459300       0.037325       0.001385
       0.461300       0.036756       0.001186
       0.463300       0.037012       0.000813
       0.465300       0.036572       0.000881
       0.467300       0.036275       0.000850
       0.469300       0.037216       0.000783
       0.471300       0.037827       0.001188
       0.473300       0.036543       0.000772
       0.475300       0.036962       0.000808
       0.477300       0.036737       0.001213
       0.479300       0.036967       0.000707
       0.481300       0.036823       0.000941
       0.483300       0.037006       0.000722
       0.485300       0.037251       0.001274
       0.487300       0.037351       0.000981
       0.489300       0.037618       0.000795
       0.491300       0.036911       0.000725
       0.493300       0.037919       0.000838
       0.495300       0.037209       0.000843
       0.497300       0.037090       0.000931
       0.499300       0.037396       0.000740
       0.501300       0.037410       0.001153
       0.503300       0.037938       0.000812
       0.505300       0.037624       0.000801
       0.507300       0.037570       0.000952
       0.509300       0.037564       0.000768
       0.511300       0.036827       0.001176
       0.513300       0.037046       0.000897
       0.515300       0.037437       0.000857
       0.517300       0.037623       0.000892
       0.519300       0.038621       0.000826
       0.521300       0.037489       0.000712
       0.523300       0.037681       0.000767
       0.525300       0.038022       0.000859
       0.527300       0.037656       0.000779
       0.529300       0.038006       0.000996
       0.531300       0.037717       0.000828
       0.533300       0.037335       0.000728
       0.535300       0.037776       0.000951
       0.537300       0.037219       0.000883
       0.539300       0.037726       0.000997
       0.541300       0.038658       0.000884
       0.543300       0.037960       0.000905
       0.545300       0.037795       0.000759
       0.547300       0.037601       0.000856
       0.549300       0.037983       0.000754
       0.551300       0.037858       0.000762
       0.553300       0.038432       0.000688
       0.555300       0.038613       0.000692
       0.557300       0.038074       0.000682
       0.559300       0.038041       0.000654
       0.561300       0.037538       0.000947
       0.563300       0.038747       0.000972
       0.565300       0.038245       0.000721
       0.567300       0.038467       0.000784
       0.569300       0.038718       0.000639
       0.571300       0.039168       0.000704
       0.573300       0.037947       0.000683
       0.575300       0.038400       0.000774
       0.577300       0.038328       0.000851
       0.579300       0.038438       0.001451
       0.581300       0.037417       0.001040
       0.583300       0.038905       0.000820
       0.585300       0.038999       0.001044
       0.587300       0.038753       0.000653
       0.589300       0.037416       0.000846
       0.591300       0.038392       0.000666
       0.593300       0.038503       0.000998
       0.595300       0.038854       0.000854
       0.597300       0.038805       0.000929
       0.599300       0.039554       0.000983
       0.601100       0.039380       0.000868
       0.602700       0.040589       0.000876
       0.604300       0.039827       0.000839
       0.605900       0.040866       0.001142
       0.607500       0.039396       0.000800
       0.609100       0.039546       0.000819
       0.610700       0.039546       0.000777
       0.612300       0.040298       0.000996
       0.613900       0.040923       0.000671
       0.615500       0.040680       0.000775
       0.617100       0.040910       0.000963
       0.618700       0.040030       0.000679
       0.620300       0.040680       0.000466
       0.621900       0.040926       0.000817
       0.623500       0.040942       0.000789
       0.625100       0.041534       0.000796
       0.626700       0.040926       0.000880
       0.628300       0.040932       0.000780
       0.629900       0.041969       0.000785
       0.631700       0.042377       0.000792
       0.633700       0.042386       0.000616
       0.635700       0.042365       0.000801
       0.637700       0.043702       0.001030
       0.639700       0.043218       0.000837
       0.641700       0.043414       0.000935
       0.643700       0.042610       0.000916
       0.645700       0.044643       0.000931
       0.647700       0.044111       0.001005
       0.649700       0.044223       0.000752
       0.651700       0.043496       0.001377
       0.653700       0.044502       0.000636
       0.655700       0.045027       0.000588
       0.657700       0.044928       0.000661
       0.659700       0.045452       0.000812
       0.661700       0.045275       0.000673
       0.663700       0.045891       0.000529
       0.665700       0.046926       0.000937
       0.667700       0.046475       0.000938
       0.670200       0.046549       0.000906
       0.673200       0.047371       0.000859
       0.676200       0.047945       0.001340
       0.679200       0.047476       0.000950
       0.682200       0.047675       0.000899
       0.685200       0.049583       0.000954
       0.688200       0.049039       0.001094
       0.691200       0.050054       0.000928
       0.694200       0.049103       0.001082
       0.697200       0.050956       0.001247
       0.700200       0.050981       0.000923
       0.702000       0.051360       0.000920
       0.704000       0.051973       0.001196
       0.706000       0.051127       0.001091
       0.708000       0.052252       0.001038
       0.710000       0.052268       0.000626
       0.712000       0.053157       0.000811
       0.714000       0.053170       0.000560
       0.716000       0.053470       0.000706
       0.718000       0.054136       0.000760
       0.720000       0.054056       0.000685
       0.722000       0.054441       0.000605
       0.724000       0.054933       0.000630
       0.726000       0.055441       0.000746
       0.728000       0.055599       0.000560
       0.730000       0.056488       0.000783
       0.732000       0.056704       0.000707
       0.734000       0.057072       0.000863
       0.736000       0.058435       0.000802
       0.738000       0.058208       0.000814
       0.740000       0.059053       0.000962
       0.742000       0.059121       0.000855
       0.744000       0.060561       0.000687
       0.746000       0.060534       0.000917
       0.748000       0.061393       0.000524
       0.750500       0.061648       0.000681
       0.753500       0.062805       0.000720
       0.756500       0.064400       0.000658
       0.759500       0.065000       0.000640
       0.762500       0.066232       0.000993
       0.765500       0.067448       0.000609
       0.768500       0.068067       0.000789
       0.771500       0.069894       0.000733
       0.774500       0.070883       0.000981
       0.777500       0.072957       0.000517
       0.781000       0.074998       0.000815
       0.785000       0.076777       0.000730
       0.789000       0.079155       0.000854
       0.793000       0.081546       0.000688
       0.797000       0.084380       0.000681
       0.801500       0.086798       0.000717
       0.806500       0.090500       0.000598
       0.811500       0.094182       0.000874
       0.816500       0.098135       0.000771
       0.822000       0.101234       0.000842
       0.828000       0.105953       0.001046
       0.835000       0.110571       0.000972
       0.843000       0.115063       0.001189
       0.851000       0.125311       0.001627
       0.859000       0.128841       0.001583
       0.871000       0.131797       0.001571
       0.883000       0.138353       0.001603
       0.894000       0.142523       0.001599
       0.904000       0.147376       0.001576
       0.914000       0.148738       0.001160
       0.924000       0.153236       0.001545
       0.933000       0.158314       0.001546
       0.941000       0.156642       0.001226
       0.949000       0.157331       0.001519
       0.957000       0.160952       0.001306
       0.964000       0.161478       0.000997
       0.970000       0.164532       0.001346
       0.976000       0.164998       0.001599
       0.982000       0.166767       0.001446
       0.988000       0.166579       0.000711
       0.994000       0.169469       0.001028
       1.000000       0.168064       0.000949
       1.006000       0.168712       0.000825
       1.012000       0.169087       0.000923
       1.018000       0.170439       0.000808
       1.023500       0.168582       0.001337
       1.028500       0.172014       0.001386
       1.033500       0.172606       0.001229
       1.038500       0.173680       0.000891
       1.043500       0.175935       0.001233
       1.048500       0.174274       0.001013
       1.053500       0.176439       0.001049
       1.058500       0.178009       0.000730
       1.063500       0.176146       0.001226
       1.068500       0.175710       0.000834
       1.073500       0.176120       0.000809
       1.078500       0.176441       0.001312
       1.083500       0.176906       0.000730
       1.088500       0.178849       0.001023
       1.093500       0.177887       0.000882
       1.098500       0.177768       0.000690
       1.103500       0.178535       0.001001
       1.108500       0.177839       0.001111
       1.113500       0.178765       0.001287
       1.118500       0.177987       0.000915
       1.123500       0.180045       0.000825
       1.128500       0.179108       0.000838
       1.133500       0.179522       0.000838
       1.138500       0.179900       0.000693
       1.143500       0.178210       0.000968
       1.148500       0.180110       0.000916
       1.153500       0.179842       0.000584
       1.158500       0.180315       0.001312
       1.163500       0.179453       0.000522
       1.168500       0.180687       0.000651
       1.173500       0.181803       0.000598
       1.178500       0.180084       0.000930
       1.183500       0.181457       0.001041
       1.188500       0.183370       0.001393
       1.193500       0.182011       0.000858
       1.198500       0.180283       0.000974
       1.203500       0.181848       0.001027
       1.208500       0.183048       0.000704
       1.213500       0.182580       0.000872
       1.218500       0.182174       0.000823
       1.223500       0.182465       0.000454
       1.228500       0.180977       0.000883
       1.233500       0.182197       0.001056
       1.238500       0.183478       0.001059
       1.243500       0.183068       0.000684
       1.248500       0.183855       0.000767
       1.253500       0.184483       0.000713
       1.258500       0.183481       0.000636
       1.263500       0.185010       0.000591
       1.268500       0.184101       0.000591
       1.273500       0.184609       0.000705
       1.278500       0.185741       0.001174
       1.283500       0.184834       0.000944
       1.288500       0.185133       0.000692
       1.293500       0.186101       0.001071
       1.298500       0.184536       0.000750
       1.303500       0.186794       0.000769
       1.308500       0.184441       0.001205
       1.313500       0.185330       0.000611
       1.318500       0.187264       0.000848
       1.323500       0.186451       0.000691
       1.328500       0.186939       0.000869
       1.333500       0.186038       0.000835
       1.338500       0.186734       0.000596
       1.343500       0.187995       0.001041
       1.348500       0.186439       0.001069
       1.353500       0.188419       0.001336
       1.358500       0.186784       0.001191
       1.363500       0.187473       0.000917
       1.368500       0.189465       0.001113
       1.373500       0.188703       0.001059
       1.378500       0.190048       0.001137
       1.383500       0.190574       0.000894
       1.388500       0.188866       0.001308
       1.393500       0.190415       0.001104
       1.398500       0.190595       0.001362
       1.403500       0.189787       0.001127
       1.408500       0.190486       0.000960
       1.413500       0.190012       0.001041
       1.418500       0.189225       0.001386
       1.423500       0.192008       0.001268
       1.428500       0.190305       0.001074
       1.433500       0.191838       0.001121
       1.438500       0.191982       0.001087
       1.443500       0.191979       0.001166
       1.448500       0.193423       0.001013
       1.453500       0.193417       0.001070
       1.458500       0.194349       0.000687
       1.463500       0.193561       0.000926
       1.468500       0.195222       0.001487
       1.473500       0.196020       0.001075
       1.478500       0.194382       0.000865
       1.483500       0.194695       0.001217
       1.488500       0.196571       0.001109
       1.493500       0.194832       0.001283
       1.498500       0.196581       0.001589
       1.503500       0.196306       0.001152
       1.508500       0.196728       0.001123
       1.513500       0.197114       0.000925
       1.518500       0.196911       0.001006
       1.523500       0.197567       0.001169
       1.528500       0.198101       0.000736
       1.534000       0.198724       0.001028
       1.540000       0.198563       0.001157
       1.546000       0.198509       0.001008
       1.552000       0.200955       0.001367
       1.558000       0.199828       0.001066
       1.564000       0.201004       0.000972
       1.570500       0.200509       0.000719
       1.577500       0.200894       0.000932
       1.584500       0.201207       0.000941
       1.591500       0.201544       0.000590
       1.598500       0.201916       0.000682
       1.605500       0.204256       0.000838
       1.612500       0.203449       0.001167
       1.619500       0.203378       0.001033
       1.626500       0.204268       0.001144
       1.633500       0.205058       0.000512
       1.640500       0.205088       0.001249
       1.647500       0.206467       0.001115
       1.654500       0.205080       0.001131
       1.661500       0.206957       0.001041
       1.668500       0.206771       0.001461
       1.676000       0.206531       0.000833
       1.684000       0.205959       0.001158
       1.692000       0.207941       0.001598
       1.700000       0.207629       0.001190
       1.708000       0.209617       0.001020
       1.716000       0.209868       0.001026
       1.724000       0.208266       0.001318
       1.732000       0.208383       0.000976
       1.740000       0.208898       0.001472
       1.748000       0.210311       0.001486
       1.756000       0.212332       0.001630
       1.764000       0.212937       0.001440
       1.772000       0.211917       0.001232
       1.780000       0.211999       0.001166
       1.788000       0.213176       0.001553
       1.796000       0.212279       0.000707
       1.805000       0.211131       0.000973
       1.815000       0.212137       0.000841
       1.825000       0.210737       0.001152
       1.835000       0.213808       0.001240
       1.845000       0.213410       0.001034
       1.855000       0.212694       0.001573
       1.865000       0.214693       0.000928
       1.875000       0.213054       0.001027
       1.885000       0.209678       0.000831
       1.895000       0.209716       0.001080
       1.905000       0.208797       0.000998
       1.915000       0.209082       0.001397
       1.925000       0.205738       0.001298
       1.935000       0.207601       0.001270
       1.945000       0.208287       0.001167
       1.955000       0.207615       0.001649
       1.965000       0.207260       0.001587
       1.975000       0.208352       0.001296
       1.985000       0.209175       0.001617
       1.995000       0.211995       0.001575
       2.005000       0.210256       0.001575
       2.015000       0.209225       0.001596
       2.025000       0.210177       0.001598
       2.035000       0.211878       0.001549
       2.045000       0.211466       0.001576
       2.055000       0.213336       0.001217
       2.065000       0.211146       0.001615
       2.075000       0.214859       0.001257
       2.085000       0.215389       0.001594
       2.095000       0.214717       0.001617
       2.105000       0.215073       0.001616
       2.115000       0.209857       0.001319
       2.125000       0.216247       0.001614
       2.135000       0.214912       0.001578
       2.145000       0.217533       0.001614
       2.155000       0.215617       0.001622
       2.165000       0.211559       0.001243
       2.175000       0.211042       0.001635
       2.185000       0.210748       0.001625
       2.195000       0.208598       0.001618
       2.205000       0.207197       0.001643
       2.215000       0.205134       0.001638
       2.225000       0.204943       0.001624
       2.235000       0.203458       0.001640
       2.245000       0.202125       0.001637
       2.255000       0.200560       0.001639
       2.265000       0.199169       0.001644
       2.275000       0.197143       0.001777
       2.285000       0.195541       0.002560
       2.295000       0.201503       0.003639
       2.305000       0.201857       0.002850
       2.315000       0.202102       0.001914
       2.325000       0.203163       0.001631
       2.335000       0.203440       0.001627
