USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Datolite HS442.3B            W1R1Bb AREF
copy of splib05a r 2307                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.084604
       0.221100      -1.23e34        0.020830
       0.229100      -1.23e34        0.008958
       0.236100      -1.23e34        0.006280
       0.242100      -1.23e34        0.003534
       0.248100       0.374196       0.003016
       0.253600       0.389230       0.002964
       0.258600       0.393711       0.002283
       0.263600       0.414518       0.002375
       0.268600       0.422220       0.002616
       0.273100       0.421017       0.002739
       0.277100       0.415702       0.002478
       0.281100       0.413418       0.002491
       0.285100       0.414423       0.002286
       0.289100       0.415120       0.002344
       0.293100       0.421046       0.002331
       0.297100       0.415495       0.002082
       0.301100       0.422438       0.002608
       0.305100       0.423591       0.002414
       0.309100       0.432971       0.002442
       0.313100       0.439049       0.002463
       0.317100       0.438861       0.002128
       0.321100       0.447409       0.002238
       0.325100       0.459143       0.002318
       0.329100       0.465202       0.002271
       0.333100       0.464233       0.002076
       0.337100       0.463787       0.001988
       0.341100       0.470013       0.002071
       0.345100       0.480506       0.002066
       0.349100       0.488499       0.002005
       0.353100       0.501341       0.001393
       0.357100       0.509559       0.001813
       0.360600       0.519770       0.001730
       0.363600       0.530228       0.001731
       0.366600       0.538751       0.001480
       0.369600       0.550733       0.001728
       0.372600       0.557978       0.001132
       0.375600       0.563234       0.001073
       0.378600       0.577690       0.001569
       0.381100       0.581336       0.001734
       0.383100       0.586098       0.001244
       0.385100       0.592966       0.001654
       0.387100       0.598951       0.001491
       0.389100       0.604105       0.001494
       0.391100       0.611254       0.001492
       0.393100       0.614507       0.001241
       0.395100       0.621434       0.001407
       0.397100       0.626038       0.001644
       0.399100       0.628696       0.001416
       0.401100       0.635990       0.001236
       0.403100       0.640318       0.001488
       0.405100       0.643088       0.001237
       0.407100       0.647620       0.001324
       0.409100       0.657220       0.004286
       0.411100       0.657385       0.001844
       0.412800       0.658031       0.001103
       0.415800       0.665442       0.001260
       0.418800       0.670276       0.001017
       0.421800       0.673974       0.001393
       0.424800       0.682294       0.001666
       0.427800       0.683065       0.001272
       0.430800       0.691694       0.001388
       0.433800       0.694980       0.001236
       0.436800       0.696800       0.001102
       0.439800       0.703755       0.000994
       0.442800       0.706453       0.001391
       0.445800       0.715051       0.002769
       0.448800       0.718087       0.001009
       0.451300       0.721954       0.001838
       0.453300       0.726519       0.001679
       0.455300       0.724613       0.001845
       0.457300       0.726970       0.001604
       0.459300       0.730727       0.001760
       0.461300       0.735130       0.001665
       0.463300       0.733982       0.001511
       0.465300       0.733148       0.001350
       0.467300       0.738606       0.001510
       0.469300       0.736003       0.001433
       0.471300       0.743032       0.001433
       0.473300       0.742450       0.001578
       0.475300       0.747139       0.001680
       0.477300       0.747513       0.001434
       0.479300       0.747739       0.001349
       0.481300       0.751655       0.001430
       0.483300       0.750267       0.001593
       0.485300       0.751964       0.001353
       0.487300       0.760732       0.001740
       0.489300       0.753763       0.001717
       0.491300       0.761380       0.001582
       0.493300       0.766260       0.001606
       0.495300       0.764413       0.001434
       0.497300       0.764434       0.001271
       0.499300       0.765389       0.001369
       0.501300       0.769786       0.001757
       0.503300       0.769776       0.001587
       0.505300       0.769044       0.001433
       0.507300       0.771769       0.001274
       0.509300       0.773640       0.001674
       0.511300       0.770685       0.001432
       0.513300       0.774953       0.001651
       0.515300       0.774872       0.001370
       0.517300       0.777888       0.001509
       0.519300       0.781276       0.001592
       0.521300       0.786534       0.001830
       0.523300       0.788331       0.001575
       0.525300       0.784726       0.001759
       0.527300       0.781132       0.001434
       0.529300       0.785151       0.001746
       0.531300       0.790050       0.001749
       0.533300       0.782908       0.001284
       0.535300       0.787113       0.001517
       0.537300       0.792253       0.001759
       0.539300       0.789763       0.001441
       0.541300       0.793180       0.001674
       0.543300       0.791033       0.001673
       0.545300       0.789052       0.001054
       0.547300       0.789234       0.001422
       0.549300       0.788624       0.001344
       0.551300       0.790415       0.001649
       0.553300       0.790411       0.001351
       0.555300       0.790495       0.001631
       0.557300       0.792444       0.001481
       0.559300       0.797054       0.001738
       0.561300       0.791417       0.001270
       0.563300       0.793378       0.001652
       0.565300       0.789887       0.001423
       0.567300       0.793123       0.001733
       0.569300       0.792783       0.001423
       0.571300       0.791421       0.001514
       0.573300       0.794826       0.001740
       0.575300       0.794913       0.001733
       0.577300       0.795683       0.001833
       0.579300       0.795687       0.001578
       0.581300       0.790470       0.001369
       0.583300       0.791081       0.001748
       0.585300       0.794584       0.001833
       0.587300       0.792798       0.001752
       0.589300       0.793572       0.001444
       0.591300       0.794594       0.001351
       0.593300       0.793664       0.001503
       0.595300       0.792567       0.000979
       0.597300       0.793759       0.001493
       0.599300       0.792493       0.001425
       0.601100       0.797907       0.001065
       0.602700       0.802984       0.001740
       0.604300       0.797057       0.001501
       0.605900       0.796982       0.001508
       0.607500       0.800006       0.001765
       0.609100       0.796977       0.001637
       0.610700       0.797645       0.001182
       0.612300       0.802024       0.001549
       0.613900       0.798992       0.001167
       0.615500       0.799244       0.001329
       0.617100       0.797649       0.001309
       0.618700       0.801442       0.001238
       0.620300       0.802850       0.001257
       0.621900       0.800587       0.001252
       0.623500       0.798732       0.001042
       0.625100       0.804859       0.001255
       0.626700       0.803853       0.001491
       0.628300       0.801500       0.001327
       0.629900       0.806098       0.001710
       0.631700       0.807456       0.001321
       0.633700       0.808728       0.001631
       0.635700       0.807475       0.001086
       0.637700       0.806842       0.001560
       0.639700       0.811554       0.001478
       0.641700       0.806508       0.001324
       0.643700       0.809584       0.001700
       0.645700       0.811604       0.001727
       0.647700       0.810583       0.001716
       0.649700       0.812698       0.001415
       0.651700       0.813040       0.001408
       0.653700       0.812682       0.001715
       0.655700       0.811163       0.001716
       0.657700       0.812776       0.001809
       0.659700       0.816429       0.001495
       0.661700       0.809090       0.001570
       0.663700       0.815596       0.001574
       0.665700       0.818058       0.001654
       0.667700       0.809979       0.001344
       0.670200       0.816710       0.001154
       0.673200       0.817435       0.001641
       0.676200       0.819624       0.001699
       0.679200       0.816300       0.001480
       0.682200       0.817129       0.001343
       0.685200       0.820153       0.001336
       0.688200       0.821157       0.001573
       0.691200       0.821005       0.001431
       0.694200       0.820995       0.001737
       0.697200       0.821337       0.001815
       0.700200       0.820968       0.001726
       0.702000       0.822714       0.001417
       0.704000       0.821375       0.001733
       0.706000       0.822158       0.001421
       0.708000       0.826246       0.001736
       0.710000       0.824000       0.001651
       0.712000       0.826632       0.001577
       0.714000       0.817906       0.001804
       0.716000       0.824388       0.001733
       0.718000       0.827491       0.001826
       0.720000       0.827498       0.001509
       0.722000       0.826841       0.001438
       0.724000       0.829656       0.001367
       0.726000       0.823027       0.001835
       0.728000       0.825050       0.001665
       0.730000       0.825759       0.001844
       0.732000       0.827214       0.001851
       0.734000       0.822414       0.001614
       0.736000       0.820982       0.001841
       0.738000       0.820658       0.001618
       0.740000       0.823299       0.001768
       0.742000       0.823852       0.001848
       0.744000       0.831627       0.001867
       0.746000       0.829706       0.001870
       0.748000       0.830953       0.001783
       0.750500       0.820292       0.001770
       0.753500       0.828254       0.001162
       0.756500       0.831606       0.001777
       0.759500       0.831551       0.001704
       0.762500       0.829668       0.001783
       0.765500       0.833211       0.001871
       0.768500       0.829686       0.001808
       0.771500       0.832360       0.001873
       0.774500       0.824324       0.001810
       0.777500       0.826142       0.001895
       0.781000       0.830835       0.001809
       0.785000       0.833221       0.001804
       0.789000       0.836714       0.001568
       0.793000       0.838613       0.001905
       0.797000       0.838141       0.001655
       0.801500       0.842685       0.001908
       0.806500       0.841302       0.001837
       0.811500       0.844275       0.001833
       0.816500       0.845952       0.001759
       0.822000       0.843657       0.001860
       0.828000       0.849164       0.001862
       0.835000       0.846219       0.003010
       0.843000       0.856827       0.002476
       0.851000       0.846216       0.002532
       0.859000       0.853816       0.001963
       0.871000       0.844203       0.001947
       0.883000       0.846183       0.001951
       0.894000       0.840928       0.001951
       0.904000       0.842379       0.001956
       0.914000       0.841940       0.001918
       0.924000       0.841845       0.001610
       0.933000       0.841829       0.001903
       0.941000       0.843956       0.001740
       0.949000       0.842537       0.001685
       0.957000       0.845023       0.001842
       0.964000       0.840256       0.001695
       0.970000       0.835596       0.001447
       0.976000       0.833980       0.001379
       0.982000       0.829725       0.001590
       0.988000       0.816535       0.001817
       0.994000       0.801128       0.001797
       1.000000       0.791423       0.001591
       1.006000       0.749107       0.001522
       1.012000       0.737193       0.001643
       1.018000       0.793856       0.001402
       1.023500       0.821497       0.001900
       1.028500       0.830226       0.001604
       1.033500       0.836814       0.001455
       1.038500       0.844062       0.001837
       1.043500       0.841754       0.001594
       1.048500       0.847015       0.001509
       1.053500       0.847359       0.001383
       1.058500       0.847521       0.001277
       1.063500       0.847672       0.001410
       1.068500       0.847003       0.001422
       1.073500       0.844517       0.001911
       1.078500       0.845704       0.001573
       1.083500       0.843202       0.001560
       1.088500       0.844956       0.001157
       1.093500       0.842209       0.001466
       1.098500       0.840384       0.001348
       1.103500       0.840667       0.001202
       1.108500       0.842807       0.001404
       1.113500       0.841986       0.001213
       1.118500       0.843702       0.001318
       1.123500       0.844468       0.001269
       1.128500       0.846381       0.001278
       1.133500       0.846628       0.001301
       1.138500       0.846808       0.001204
       1.143500       0.846341       0.001193
       1.148500       0.847120       0.001377
       1.153500       0.846656       0.001035
       1.158500       0.847779       0.001313
       1.163500       0.846025       0.001304
       1.168500       0.846907       0.001329
       1.173500       0.847686       0.001162
       1.178500       0.845824       0.001827
       1.183500       0.850011       0.001463
       1.188500       0.849197       0.001108
       1.193500       0.847523       0.001112
       1.198500       0.845355       0.001250
       1.203500       0.843913       0.001295
       1.208500       0.845016       0.001546
       1.213500       0.839762       0.001235
       1.218500       0.836691       0.001196
       1.223500       0.833455       0.001730
       1.228500       0.819834       0.001136
       1.233500       0.807821       0.001335
       1.238500       0.808176       0.001445
       1.243500       0.783702       0.001818
       1.248500       0.739887       0.001197
       1.253500       0.730086       0.001260
       1.258500       0.706585       0.001088
       1.263500       0.718090       0.001344
       1.268500       0.744555       0.001026
       1.273500       0.768337       0.001521
       1.278500       0.785302       0.001280
       1.283500       0.771883       0.001197
       1.288500       0.787176       0.001115
       1.293500       0.794544       0.001434
       1.298500       0.791828       0.001513
       1.303500       0.795060       0.001622
       1.308500       0.815206       0.001129
       1.313500       0.811408       0.001549
       1.318500       0.803871       0.001428
       1.323500       0.804234       0.001053
       1.328500       0.816516       0.001129
       1.333500       0.814047       0.001026
       1.338500       0.807248       0.001387
       1.343500       0.802053       0.001160
       1.348500       0.803619       0.001624
       1.353500       0.798355       0.001540
       1.358500       0.797945       0.001380
       1.363500       0.798276       0.001428
       1.368500       0.803055       0.001731
       1.373500       0.802124       0.001391
       1.378500       0.802759       0.001418
       1.383500       0.799876       0.001354
       1.388500       0.791887       0.001489
       1.393500       0.784169       0.001491
       1.398500       0.771322       0.001373
       1.403500       0.758766       0.001801
       1.408500       0.754518       0.001396
       1.413500       0.737724       0.001399
       1.418500       0.714867       0.001400
       1.423500       0.682816       0.001866
       1.428500       0.635309       0.001702
       1.433500       0.616813       0.001687
       1.438500       0.612570       0.001519
       1.443500       0.591081       0.001779
       1.448500       0.568241       0.001677
       1.453500       0.547724       0.001700
       1.458500       0.493149       0.001575
       1.463500       0.376577       0.001395
       1.468500       0.202764       0.001187
       1.473500       0.182740       0.001093
       1.478500       0.362431       0.001565
       1.483500       0.521801       0.001606
       1.488500       0.613153       0.001879
       1.493500       0.658117       0.001455
       1.498500       0.688945       0.001830
       1.503500       0.715627       0.001907
       1.508500       0.737076       0.001837
       1.513500       0.749715       0.001503
       1.518500       0.761553       0.001934
       1.523500       0.779515       0.001850
       1.528500       0.800294       0.001580
       1.534000       0.806825       0.001407
       1.540000       0.817724       0.001662
       1.546000       0.823218       0.001579
       1.552000       0.825470       0.001317
       1.558000       0.825525       0.001417
       1.564000       0.828026       0.001339
       1.570500       0.833814       0.001405
       1.577500       0.834635       0.001232
       1.584500       0.831923       0.001025
       1.591500       0.840693       0.001516
       1.598500       0.831900       0.001287
       1.605500       0.832990       0.001227
       1.612500       0.826345       0.001111
       1.619500       0.824767       0.001489
       1.626500       0.825981       0.001195
       1.633500       0.824115       0.001346
       1.640500       0.819978       0.001443
       1.647500       0.813225       0.001683
       1.654500       0.803265       0.001293
       1.661500       0.797324       0.001747
       1.668500       0.783087       0.001498
       1.676000       0.768556       0.001581
       1.684000       0.744338       0.001494
       1.692000       0.714881       0.001931
       1.700000       0.692432       0.001921
       1.708000       0.663523       0.001921
       1.716000       0.637086       0.001803
       1.724000       0.626198       0.001643
       1.732000       0.626178       0.001914
       1.740000       0.633997       0.001910
       1.748000       0.646383       0.001817
       1.756000       0.651669       0.001918
       1.764000       0.651472       0.001485
       1.772000       0.643171       0.001484
       1.780000       0.634056       0.001826
       1.788000       0.630837       0.001469
       1.796000       0.627762       0.001717
       1.805000       0.659963       0.001001
       1.815000       0.660920       0.001014
       1.825000       0.667565       0.001546
       1.835000       0.678346       0.001484
       1.845000       0.683236       0.001547
       1.855000       0.685795       0.001500
       1.865000       0.685748       0.001226
       1.875000       0.684803       0.001657
       1.885000       0.683646       0.001390
       1.895000       0.680255       0.001310
       1.905000       0.681185       0.001492
       1.915000       0.674944       0.001382
       1.925000       0.675161       0.001407
       1.935000       0.672440       0.001819
       1.945000       0.670213       0.001305
       1.955000       0.668604       0.001489
       1.965000       0.664151       0.001809
       1.975000       0.662481       0.001832
       1.985000       0.662743       0.001916
       1.995000       0.662021       0.001747
       2.005000       0.660688       0.001908
       2.015000       0.653347       0.001821
       2.025000       0.644132       0.001652
       2.035000       0.636934       0.001902
       2.045000       0.619487       0.001897
       2.055000       0.563902       0.001877
       2.065000       0.515266       0.001864
       2.075000       0.497707       0.001770
       2.085000       0.506487       0.001857
       2.095000       0.497305       0.001859
       2.105000       0.396413       0.001833
       2.115000       0.253639       0.001809
       2.125000       0.199432       0.001800
       2.135000       0.217300       0.001806
       2.145000       0.195391       0.001712
       2.155000       0.152147       0.001803
       2.165000       0.161695       0.001806
       2.175000       0.193688       0.001728
       2.185000       0.225473       0.001827
       2.195000       0.244166       0.001832
       2.205000       0.264467       0.001837
       2.215000       0.230668       0.001833
       2.225000       0.195781       0.001830
       2.235000       0.209377       0.001832
       2.245000       0.220712       0.001836
       2.255000       0.199933       0.001830
       2.265000       0.197424       0.001835
       2.275000       0.196257       0.002208
       2.285000       0.201773       0.003561
       2.295000       0.292198       0.004142
       2.305000       0.324472       0.003438
       2.315000       0.297313       0.002565
       2.325000       0.294806       0.001823
       2.335000       0.298200       0.001818
       2.345000       0.270694       0.001810
