USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Epidote GDS301 75-150um      W1R1Fb AREF
copy of splib05a r 2609                                     
       0.350000       0.038500       0.000000
       0.351000       0.038500       0.000000
       0.352000       0.038302       0.000000
       0.353000       0.038181       0.000000
       0.354000       0.038213       0.000000
       0.355000       0.038433       0.000000
       0.356000       0.038708       0.000000
       0.357000       0.038862       0.000000
       0.358000       0.038773       0.000000
       0.359000       0.038522       0.000000
       0.360000       0.038243       0.000000
       0.361000       0.038052       0.000000
       0.362000       0.037985       0.000000
       0.363000       0.038060       0.000000
       0.364000       0.038274       0.000000
       0.365000       0.038533       0.000000
       0.366000       0.038721       0.000000
       0.367000       0.038764       0.000000
       0.368000       0.038747       0.000000
       0.369000       0.038796       0.000000
       0.370000       0.038995       0.000000
       0.371000       0.039256       0.000000
       0.372000       0.039451       0.000000
       0.373000       0.039493       0.000000
       0.374000       0.039477       0.000000
       0.375000       0.039539       0.000000
       0.376000       0.039776       0.000000
       0.377000       0.040112       0.000000
       0.378000       0.040429       0.000000
       0.379000       0.040637       0.000000
       0.380000       0.040752       0.000000
       0.381000       0.040817       0.000000
       0.382000       0.040868       0.000000
       0.383000       0.040920       0.000000
       0.384000       0.040981       0.000000
       0.385000       0.041056       0.000000
       0.386000       0.041134       0.000000
       0.387000       0.041201       0.000000
       0.388000       0.041250       0.000000
       0.389000       0.041302       0.000000
       0.390000       0.041388       0.000000
       0.391000       0.041522       0.000000
       0.392000       0.041662       0.000000
       0.393000       0.041754       0.000000
       0.394000       0.041758       0.000000
       0.395000       0.041700       0.000000
       0.396000       0.041622       0.000000
       0.397000       0.041559       0.000000
       0.398000       0.041512       0.000000
       0.399000       0.041475       0.000000
       0.400000       0.041440       0.000000
       0.401000       0.041408       0.000000
       0.402000       0.041376       0.000000
       0.403000       0.041348       0.000000
       0.404000       0.041333       0.000000
       0.405000       0.041345       0.000000
       0.406000       0.041393       0.000000
       0.407000       0.041475       0.000000
       0.408000       0.041586       0.000000
       0.409000       0.041728       0.000000
       0.410000       0.041925       0.000000
       0.411000       0.042209       0.000000
       0.412000       0.042597       0.000000
       0.413000       0.043051       0.000000
       0.414000       0.043517       0.000000
       0.415000       0.043962       0.000000
       0.416000       0.044419       0.000000
       0.417000       0.044937       0.000000
       0.418000       0.045553       0.000000
       0.419000       0.046244       0.000000
       0.420000       0.046975       0.000000
       0.421000       0.047719       0.000000
       0.422000       0.048492       0.000000
       0.423000       0.049318       0.000000
       0.424000       0.050217       0.000000
       0.425000       0.051191       0.000000
       0.426000       0.052232       0.000000
       0.427000       0.053335       0.000000
       0.428000       0.054491       0.000000
       0.429000       0.055690       0.000000
       0.430000       0.056925       0.000000
       0.431000       0.058204       0.000000
       0.432000       0.059539       0.000000
       0.433000       0.060934       0.000000
       0.434000       0.062364       0.000000
       0.435000       0.063798       0.000000
       0.436000       0.065211       0.000000
       0.437000       0.066606       0.000000
       0.438000       0.067989       0.000000
       0.439000       0.069357       0.000000
       0.440000       0.070658       0.000000
       0.441000       0.071827       0.000000
       0.442000       0.072814       0.000000
       0.443000       0.073624       0.000000
       0.444000       0.074276       0.000000
       0.445000       0.074779       0.000000
       0.446000       0.075101       0.000000
       0.447000       0.075199       0.000000
       0.448000       0.075035       0.000000
       0.449000       0.074584       0.000000
       0.450000       0.073828       0.000000
       0.451000       0.072763       0.000000
       0.452000       0.071460       0.000000
       0.453000       0.070006       0.000000
       0.454000       0.068498       0.000000
       0.455000       0.067073       0.000000
       0.456000       0.065876       0.000000
       0.457000       0.065035       0.000000
       0.458000       0.064603       0.000000
       0.459000       0.064616       0.000000
       0.460000       0.065069       0.000000
       0.461000       0.065803       0.000000
       0.462000       0.066621       0.000000
       0.463000       0.067348       0.000000
       0.464000       0.067896       0.000000
       0.465000       0.068198       0.000000
       0.466000       0.068210       0.000000
       0.467000       0.067972       0.000000
       0.468000       0.067546       0.000000
       0.469000       0.066999       0.000000
       0.470000       0.066409       0.000000
       0.471000       0.065860       0.000000
       0.472000       0.065429       0.000000
       0.473000       0.065169       0.000000
       0.474000       0.065129       0.000000
       0.475000       0.065347       0.000000
       0.476000       0.065819       0.000000
       0.477000       0.066529       0.000000
       0.478000       0.067467       0.000000
       0.479000       0.068637       0.000000
       0.480000       0.070048       0.000000
       0.481000       0.071703       0.000000
       0.482000       0.073583       0.000000
       0.483000       0.075665       0.000000
       0.484000       0.077930       0.000000
       0.485000       0.080378       0.000000
       0.486000       0.083015       0.000000
       0.487000       0.085838       0.000000
       0.488000       0.088813       0.000000
       0.489000       0.091902       0.000000
       0.490000       0.095071       0.000000
       0.491000       0.098326       0.000000
       0.492000       0.101678       0.000000
       0.493000       0.105132       0.000000
       0.494000       0.108663       0.000000
       0.495000       0.112241       0.000000
       0.496000       0.115838       0.000000
       0.497000       0.119447       0.000000
       0.498000       0.123065       0.000000
       0.499000       0.126689       0.000000
       0.500000       0.130311       0.000000
       0.501000       0.133921       0.000000
       0.502000       0.137507       0.000000
       0.503000       0.141051       0.000000
       0.504000       0.144535       0.000000
       0.505000       0.147942       0.000000
       0.506000       0.151274       0.000000
       0.507000       0.154538       0.000000
       0.508000       0.157737       0.000000
       0.509000       0.160861       0.000000
       0.510000       0.163899       0.000000
       0.511000       0.166842       0.000000
       0.512000       0.169687       0.000000
       0.513000       0.172436       0.000000
       0.514000       0.175088       0.000000
       0.515000       0.177643       0.000000
       0.516000       0.180101       0.000000
       0.517000       0.182459       0.000000
       0.518000       0.184716       0.000000
       0.519000       0.186869       0.000000
       0.520000       0.188916       0.000000
       0.521000       0.190861       0.000000
       0.522000       0.192712       0.000000
       0.523000       0.194472       0.000000
       0.524000       0.196138       0.000000
       0.525000       0.197705       0.000000
       0.526000       0.199169       0.000000
       0.527000       0.200539       0.000000
       0.528000       0.201824       0.000000
       0.529000       0.203032       0.000000
       0.530000       0.204164       0.000000
       0.531000       0.205218       0.000000
       0.532000       0.206192       0.000000
       0.533000       0.207088       0.000000
       0.534000       0.207907       0.000000
       0.535000       0.208650       0.000000
       0.536000       0.209317       0.000000
       0.537000       0.209906       0.000000
       0.538000       0.210417       0.000000
       0.539000       0.210855       0.000000
       0.540000       0.211226       0.000000
       0.541000       0.211533       0.000000
       0.542000       0.211779       0.000000
       0.543000       0.211966       0.000000
       0.544000       0.212095       0.000000
       0.545000       0.212165       0.000000
       0.546000       0.212176       0.000000
       0.547000       0.212127       0.000000
       0.548000       0.212014       0.000000
       0.549000       0.211833       0.000000
       0.550000       0.211583       0.000000
       0.551000       0.211275       0.000000
       0.552000       0.210921       0.000000
       0.553000       0.210532       0.000000
       0.554000       0.210115       0.000000
       0.555000       0.209674       0.000000
       0.556000       0.209214       0.000000
       0.557000       0.208737       0.000000
       0.558000       0.208245       0.000000
       0.559000       0.207741       0.000000
       0.560000       0.207225       0.000000
       0.561000       0.206699       0.000000
       0.562000       0.206165       0.000000
       0.563000       0.205624       0.000000
       0.564000       0.205078       0.000000
       0.565000       0.204526       0.000000
       0.566000       0.203972       0.000000
       0.567000       0.203419       0.000000
       0.568000       0.202868       0.000000
       0.569000       0.202314       0.000000
       0.570000       0.201749       0.000000
       0.571000       0.201170       0.000000
       0.572000       0.200580       0.000000
       0.573000       0.199990       0.000000
       0.574000       0.199407       0.000000
       0.575000       0.198828       0.000000
       0.576000       0.198253       0.000000
       0.577000       0.197679       0.000000
       0.578000       0.197104       0.000000
       0.579000       0.196525       0.000000
       0.580000       0.195943       0.000000
       0.581000       0.195369       0.000000
       0.582000       0.194817       0.000000
       0.583000       0.194300       0.000000
       0.584000       0.193817       0.000000
       0.585000       0.193366       0.000000
       0.586000       0.192943       0.000000
       0.587000       0.192546       0.000000
       0.588000       0.192173       0.000000
       0.589000       0.191822       0.000000
       0.590000       0.191494       0.000000
       0.591000       0.191187       0.000000
       0.592000       0.190903       0.000000
       0.593000       0.190643       0.000000
       0.594000       0.190409       0.000000
       0.595000       0.190202       0.000000
       0.596000       0.190006       0.000000
       0.597000       0.189804       0.000000
       0.598000       0.189585       0.000000
       0.599000       0.189363       0.000000
       0.600000       0.189157       0.000000
       0.601000       0.188983       0.000000
       0.602000       0.188836       0.000000
       0.603000       0.188709       0.000000
       0.604000       0.188601       0.000000
       0.605000       0.188546       0.000000
       0.606000       0.188589       0.000000
       0.607000       0.188755       0.000000
       0.608000       0.189000       0.000000
       0.609000       0.189261       0.000000
       0.610000       0.189494       0.000000
       0.611000       0.189727       0.000000
       0.612000       0.190002       0.000000
       0.613000       0.190346       0.000000
       0.614000       0.190708       0.000000
       0.615000       0.191017       0.000000
       0.616000       0.191227       0.000000
       0.617000       0.191394       0.000000
       0.618000       0.191594       0.000000
       0.619000       0.191890       0.000000
       0.620000       0.192262       0.000000
       0.621000       0.192674       0.000000
       0.622000       0.193100       0.000000
       0.623000       0.193555       0.000000
       0.624000       0.194064       0.000000
       0.625000       0.194645       0.000000
       0.626000       0.195283       0.000000
       0.627000       0.195953       0.000000
       0.628000       0.196640       0.000000
       0.629000       0.197349       0.000000
       0.630000       0.198092       0.000000
       0.631000       0.198877       0.000000
       0.632000       0.199695       0.000000
       0.633000       0.200534       0.000000
       0.634000       0.201383       0.000000
       0.635000       0.202249       0.000000
       0.636000       0.203140       0.000000
       0.637000       0.204063       0.000000
       0.638000       0.205020       0.000000
       0.639000       0.206007       0.000000
       0.640000       0.207025       0.000000
       0.641000       0.208072       0.000000
       0.642000       0.209147       0.000000
       0.643000       0.210251       0.000000
       0.644000       0.211382       0.000000
       0.645000       0.212540       0.000000
       0.646000       0.213725       0.000000
       0.647000       0.214934       0.000000
       0.648000       0.216161       0.000000
       0.649000       0.217405       0.000000
       0.650000       0.218668       0.000000
       0.651000       0.219956       0.000000
       0.652000       0.221272       0.000000
       0.653000       0.222610       0.000000
       0.654000       0.223961       0.000000
       0.655000       0.225321       0.000000
       0.656000       0.226690       0.000000
       0.657000       0.228074       0.000000
       0.658000       0.229475       0.000000
       0.659000       0.230891       0.000000
       0.660000       0.232317       0.000000
       0.661000       0.233748       0.000000
       0.662000       0.235185       0.000000
       0.663000       0.236626       0.000000
       0.664000       0.238074       0.000000
       0.665000       0.239531       0.000000
       0.666000       0.241003       0.000000
       0.667000       0.242493       0.000000
       0.668000       0.243988       0.000000
       0.669000       0.245475       0.000000
       0.670000       0.246943       0.000000
       0.671000       0.248398       0.000000
       0.672000       0.249849       0.000000
       0.673000       0.251303       0.000000
       0.674000       0.252755       0.000000
       0.675000       0.254197       0.000000
       0.676000       0.255625       0.000000
       0.677000       0.257041       0.000000
       0.678000       0.258453       0.000000
       0.679000       0.259866       0.000000
       0.680000       0.261276       0.000000
       0.681000       0.262682       0.000000
       0.682000       0.264078       0.000000
       0.683000       0.265460       0.000000
       0.684000       0.266823       0.000000
       0.685000       0.268164       0.000000
       0.686000       0.269483       0.000000
       0.687000       0.270781       0.000000
       0.688000       0.272062       0.000000
       0.689000       0.273333       0.000000
       0.690000       0.274604       0.000000
       0.691000       0.275878       0.000000
       0.692000       0.277142       0.000000
       0.693000       0.278379       0.000000
       0.694000       0.279576       0.000000
       0.695000       0.280742       0.000000
       0.696000       0.281895       0.000000
       0.697000       0.283044       0.000000
       0.698000       0.284185       0.000000
       0.699000       0.285308       0.000000
       0.700000       0.286408       0.000000
       0.701000       0.287485       0.000000
       0.702000       0.288544       0.000000
       0.703000       0.289588       0.000000
       0.704000       0.290614       0.000000
       0.705000       0.291620       0.000000
       0.706000       0.292603       0.000000
       0.707000       0.293561       0.000000
       0.708000       0.294490       0.000000
       0.709000       0.295390       0.000000
       0.710000       0.296269       0.000000
       0.711000       0.297134       0.000000
       0.712000       0.297995       0.000000
       0.713000       0.298850       0.000000
       0.714000       0.299696       0.000000
       0.715000       0.300532       0.000000
       0.716000       0.301363       0.000000
       0.717000       0.302193       0.000000
       0.718000       0.303024       0.000000
       0.719000       0.303850       0.000000
       0.720000       0.304660       0.000000
       0.721000       0.305446       0.000000
       0.722000       0.306212       0.000000
       0.723000       0.306961       0.000000
       0.724000       0.307697       0.000000
       0.725000       0.308422       0.000000
       0.726000       0.309135       0.000000
       0.727000       0.309837       0.000000
       0.728000       0.310537       0.000000
       0.729000       0.311244       0.000000
       0.730000       0.311967       0.000000
       0.731000       0.312701       0.000000
       0.732000       0.313435       0.000000
       0.733000       0.314163       0.000000
       0.734000       0.314877       0.000000
       0.735000       0.315572       0.000000
       0.736000       0.316244       0.000000
       0.737000       0.316901       0.000000
       0.738000       0.317553       0.000000
       0.739000       0.318208       0.000000
       0.740000       0.318865       0.000000
       0.741000       0.319522       0.000000
       0.742000       0.320176       0.000000
       0.743000       0.320825       0.000000
       0.744000       0.321470       0.000000
       0.745000       0.322110       0.000000
       0.746000       0.322750       0.000000
       0.747000       0.323394       0.000000
       0.748000       0.324045       0.000000
       0.749000       0.324702       0.000000
       0.750000       0.325361       0.000000
       0.751000       0.326018       0.000000
       0.752000       0.326677       0.000000
       0.753000       0.327345       0.000000
       0.754000       0.328024       0.000000
       0.755000       0.328706       0.000000
       0.756000       0.329381       0.000000
       0.757000       0.330042       0.000000
       0.758000       0.330701       0.000000
       0.759000       0.331375       0.000000
       0.760000       0.332072       0.000000
       0.761000       0.332780       0.000000
       0.762000       0.333482       0.000000
       0.763000       0.334163       0.000000
       0.764000       0.334826       0.000000
       0.765000       0.335480       0.000000
       0.766000       0.336131       0.000000
       0.767000       0.336790       0.000000
       0.768000       0.337466       0.000000
       0.769000       0.338163       0.000000
       0.770000       0.338871       0.000000
       0.771000       0.339572       0.000000
       0.772000       0.340254       0.000000
       0.773000       0.340919       0.000000
       0.774000       0.341572       0.000000
       0.775000       0.342219       0.000000
       0.776000       0.342861       0.000000
       0.777000       0.343500       0.000000
       0.778000       0.344138       0.000000
       0.779000       0.344778       0.000000
       0.780000       0.345422       0.000000
       0.781000       0.346073       0.000000
       0.782000       0.346724       0.000000
       0.783000       0.347368       0.000000
       0.784000       0.347999       0.000000
       0.785000       0.348618       0.000000
       0.786000       0.349230       0.000000
       0.787000       0.349836       0.000000
       0.788000       0.350434       0.000000
       0.789000       0.351021       0.000000
       0.790000       0.351596       0.000000
       0.791000       0.352164       0.000000
       0.792000       0.352735       0.000000
       0.793000       0.353314       0.000000
       0.794000       0.353891       0.000000
       0.795000       0.354455       0.000000
       0.796000       0.354996       0.000000
       0.797000       0.355521       0.000000
       0.798000       0.356039       0.000000
       0.799000       0.356558       0.000000
       0.800000       0.357074       0.000000
       0.801000       0.357581       0.000000
       0.802000       0.358075       0.000000
       0.803000       0.358560       0.000000
       0.804000       0.359044       0.000000
       0.805000       0.359530       0.000000
