USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Galena S105-2                W1R1Bb AREF
copy of splib05a r 2747                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.474198
       0.221100      -1.23e34        0.231342
       0.229100      -1.23e34        0.039031
       0.236100      -1.23e34        0.018737
       0.242100       0.015965       0.008821
       0.248100       0.031522       0.004652
       0.253600       0.025762       0.004411
       0.258600       0.036438       0.003370
       0.263600       0.035582       0.002497
       0.268600       0.038036       0.002624
       0.273100       0.044514       0.002583
       0.277100       0.048073       0.002567
       0.281100       0.050983       0.002218
       0.285100       0.052584       0.001795
       0.289100       0.055521       0.001692
       0.293100       0.055228       0.001543
       0.297100       0.059747       0.001302
       0.301100       0.060224       0.001781
       0.305100       0.062036       0.001584
       0.309100       0.065576       0.001413
       0.313100       0.067617       0.001326
       0.317100       0.070705       0.001327
       0.321100       0.072233       0.001337
       0.325100       0.072781       0.001345
       0.329100       0.073374       0.001343
       0.333100       0.075068       0.001347
       0.337100       0.076505       0.001349
       0.341100       0.076355       0.001356
       0.345100       0.077430       0.001360
       0.349100       0.078097       0.001365
       0.353100       0.080072       0.001339
       0.357100       0.080141       0.000653
       0.360600       0.080178       0.000625
       0.363600       0.080543       0.000654
       0.366600       0.079796       0.001234
       0.369600       0.078463       0.000950
       0.372600       0.078962       0.000807
       0.375600       0.079008       0.001316
       0.378600       0.077940       0.000937
       0.381100       0.078403       0.000673
       0.383100       0.078327       0.000994
       0.385100       0.077072       0.001106
       0.387100       0.077792       0.000925
       0.389100       0.076479       0.001010
       0.391100       0.076544       0.000774
       0.393100       0.076372       0.000910
       0.395100       0.076822       0.000781
       0.397100       0.075758       0.000798
       0.399100       0.075228       0.000839
       0.401100       0.075407       0.001066
       0.403100       0.074122       0.000828
       0.405100       0.074375       0.000742
       0.407100       0.073610       0.001004
       0.409100       0.073654       0.000660
       0.411100       0.073615       0.000797
       0.412800       0.073884       0.000915
       0.415800       0.072336       0.000826
       0.418800       0.072632       0.000872
       0.421800       0.071643       0.000838
       0.424800       0.071364       0.000858
       0.427800       0.071662       0.001118
       0.430800       0.070552       0.000679
       0.433800       0.070316       0.000680
       0.436800       0.069735       0.000669
       0.439800       0.069980       0.000662
       0.442800       0.069404       0.000677
       0.445800       0.068835       0.000676
       0.448800       0.067974       0.000866
       0.451300       0.068457       0.001311
       0.453300       0.067624       0.000988
       0.455300       0.067146       0.000890
       0.457300       0.067327       0.001416
       0.459300       0.067589       0.000991
       0.461300       0.066183       0.001018
       0.463300       0.067683       0.000910
       0.465300       0.066780       0.000813
       0.467300       0.066596       0.000812
       0.469300       0.066150       0.000774
       0.471300       0.066420       0.000856
       0.473300       0.065538       0.000824
       0.475300       0.065772       0.000786
       0.477300       0.064962       0.001111
       0.479300       0.065536       0.000751
       0.481300       0.065297       0.000892
       0.483300       0.065282       0.000832
       0.485300       0.065432       0.001281
       0.487300       0.064305       0.000946
       0.489300       0.064904       0.001062
       0.491300       0.064071       0.000794
       0.493300       0.063494       0.000711
       0.495300       0.064041       0.001249
       0.497300       0.063148       0.000849
       0.499300       0.063695       0.000751
       0.501300       0.062721       0.000861
       0.503300       0.062726       0.000642
       0.505300       0.062327       0.000845
       0.507300       0.062629       0.000865
       0.509300       0.061988       0.000728
       0.511300       0.062675       0.000910
       0.513300       0.062242       0.000733
       0.515300       0.062617       0.000886
       0.517300       0.061725       0.000714
       0.519300       0.061923       0.000795
       0.521300       0.060873       0.000788
       0.523300       0.061749       0.000743
       0.525300       0.060819       0.000823
       0.527300       0.062060       0.000927
       0.529300       0.061041       0.000873
       0.531300       0.060794       0.000759
       0.533300       0.059959       0.001271
       0.535300       0.061036       0.000867
       0.537300       0.060511       0.000876
       0.539300       0.061497       0.000791
       0.541300       0.060331       0.000798
       0.543300       0.060306       0.000820
       0.545300       0.059459       0.000749
       0.547300       0.060262       0.000701
       0.549300       0.060023       0.000636
       0.551300       0.060185       0.000727
       0.553300       0.060213       0.000658
       0.555300       0.059901       0.000902
       0.557300       0.059388       0.000616
       0.559300       0.059671       0.001055
       0.561300       0.058752       0.001288
       0.563300       0.059117       0.000777
       0.565300       0.058894       0.001032
       0.567300       0.059351       0.000714
       0.569300       0.059776       0.000778
       0.571300       0.058892       0.000816
       0.573300       0.059077       0.000710
       0.575300       0.059523       0.001238
       0.577300       0.059079       0.000909
       0.579300       0.059284       0.001077
       0.581300       0.058500       0.001025
       0.583300       0.058715       0.001240
       0.585300       0.058708       0.001112
       0.587300       0.057805       0.000943
       0.589300       0.059923       0.000882
       0.591300       0.059008       0.000984
       0.593300       0.059074       0.000865
       0.595300       0.059447       0.001196
       0.597300       0.058577       0.000910
       0.599300       0.058968       0.000940
       0.601100       0.058850       0.000866
       0.602700       0.058458       0.001096
       0.604300       0.059521       0.000911
       0.605900       0.058288       0.000837
       0.607500       0.058581       0.000790
       0.609100       0.057963       0.001204
       0.610700       0.058889       0.000770
       0.612300       0.059541       0.001104
       0.613900       0.059012       0.000719
       0.615500       0.058850       0.000768
       0.617100       0.059272       0.000695
       0.618700       0.058494       0.000689
       0.620300       0.058407       0.000838
       0.621900       0.059220       0.000883
       0.623500       0.058535       0.000724
       0.625100       0.059462       0.000855
       0.626700       0.059685       0.000841
       0.628300       0.059096       0.000820
       0.629900       0.058969       0.000866
       0.631700       0.058754       0.000780
       0.633700       0.059383       0.001091
       0.635700       0.059184       0.000797
       0.637700       0.059539       0.000732
       0.639700       0.060645       0.000673
       0.641700       0.059285       0.000766
       0.643700       0.059171       0.000898
       0.645700       0.059629       0.001271
       0.647700       0.059520       0.000984
       0.649700       0.060609       0.001280
       0.651700       0.059385       0.001056
       0.653700       0.059964       0.000748
       0.655700       0.059938       0.000692
       0.657700       0.059846       0.000530
       0.659700       0.059932       0.000593
       0.661700       0.060068       0.000752
       0.663700       0.060148       0.000774
       0.665700       0.059854       0.000713
       0.667700       0.060862       0.000954
       0.670200       0.059415       0.000758
       0.673200       0.060859       0.000833
       0.676200       0.059483       0.000793
       0.679200       0.059801       0.001048
       0.682200       0.059728       0.000942
       0.685200       0.060359       0.000787
       0.688200       0.059880       0.000991
       0.691200       0.060298       0.001189
       0.694200       0.061207       0.001452
       0.697200       0.059968       0.001136
       0.700200       0.060711       0.001370
       0.702000       0.060495       0.000958
       0.704000       0.059961       0.000871
       0.706000       0.059462       0.001190
       0.708000       0.060715       0.001416
       0.710000       0.058948       0.001114
       0.712000       0.060178       0.000637
       0.714000       0.059800       0.000722
       0.716000       0.060092       0.000615
       0.718000       0.059845       0.000607
       0.720000       0.059985       0.000649
       0.722000       0.059379       0.000754
       0.724000       0.059167       0.000733
       0.726000       0.059388       0.000878
       0.728000       0.059821       0.000746
       0.730000       0.059479       0.000782
       0.732000       0.059294       0.000700
       0.734000       0.059839       0.000761
       0.736000       0.059401       0.000592
       0.738000       0.059875       0.000740
       0.740000       0.059644       0.000807
       0.742000       0.059897       0.000800
       0.744000       0.059400       0.000820
       0.746000       0.059780       0.000862
       0.748000       0.059373       0.000663
       0.750500       0.059181       0.001014
       0.753500       0.059493       0.000573
       0.756500       0.059398       0.000533
       0.759500       0.058953       0.000662
       0.762500       0.059203       0.000850
       0.765500       0.058974       0.000906
       0.768500       0.059004       0.000820
       0.771500       0.058984       0.000746
       0.774500       0.059133       0.000977
       0.777500       0.058953       0.001081
       0.781000       0.058445       0.000707
       0.785000       0.059141       0.001082
       0.789000       0.058766       0.001003
       0.793000       0.058884       0.000823
       0.797000       0.058772       0.001197
       0.801500       0.058221       0.001002
       0.806500       0.058956       0.000680
       0.811500       0.058251       0.000786
       0.816500       0.058652       0.001140
       0.822000       0.058583       0.000796
       0.828000       0.057985       0.000668
       0.835000       0.058524       0.001212
       0.843000       0.057687       0.001155
       0.851000       0.060467       0.001765
       0.859000       0.057498       0.001598
       0.871000       0.055926       0.001562
       0.883000       0.058160       0.001599
       0.894000       0.058085       0.001564
       0.904000       0.060346       0.001596
       0.914000       0.056035       0.001164
       0.924000       0.056459       0.001514
       0.933000       0.059427       0.001586
       0.941000       0.058091       0.001575
       0.949000       0.057836       0.001187
       0.957000       0.055584       0.001349
       0.964000       0.054715       0.001217
       0.970000       0.057268       0.001553
       0.976000       0.056378       0.001161
       0.982000       0.056414       0.001089
       0.988000       0.056036       0.001202
       0.994000       0.054297       0.001179
       1.000000       0.054225       0.001180
       1.006000       0.054279       0.001041
       1.012000       0.054614       0.001045
       1.018000       0.051531       0.000954
       1.023500       0.055464       0.001423
       1.028500       0.055402       0.001567
       1.033500       0.056923       0.001010
       1.038500       0.054942       0.000847
       1.043500       0.055455       0.001093
       1.048500       0.055380       0.001390
       1.053500       0.055101       0.000989
       1.058500       0.053857       0.001189
       1.063500       0.052896       0.001124
       1.068500       0.052308       0.001181
       1.073500       0.053114       0.001088
       1.078500       0.053920       0.001217
       1.083500       0.052024       0.000939
       1.088500       0.054720       0.000922
       1.093500       0.054506       0.001249
       1.098500       0.052193       0.000875
       1.103500       0.055185       0.000878
       1.108500       0.052805       0.000930
       1.113500       0.053617       0.000787
       1.118500       0.053836       0.000821
       1.123500       0.054807       0.000725
       1.128500       0.052090       0.000680
       1.133500       0.053871       0.000999
       1.138500       0.053407       0.001224
       1.143500       0.052413       0.000947
       1.148500       0.052338       0.000726
       1.153500       0.052544       0.000963
       1.158500       0.052957       0.000919
       1.163500       0.052041       0.001214
       1.168500       0.051552       0.000727
       1.173500       0.052793       0.001127
       1.178500       0.052686       0.000880
       1.183500       0.051703       0.000702
       1.188500       0.055010       0.001196
       1.193500       0.054065       0.000808
       1.198500       0.051287       0.000704
       1.203500       0.051273       0.000866
       1.208500       0.052463       0.001047
       1.213500       0.052000       0.000877
       1.218500       0.052027       0.000793
       1.223500       0.052222       0.000975
       1.228500       0.052641       0.000539
       1.233500       0.051158       0.000966
       1.238500       0.050661       0.000924
       1.243500       0.052612       0.000685
       1.248500       0.051914       0.001058
       1.253500       0.050845       0.000744
       1.258500       0.051729       0.000914
       1.263500       0.051639       0.000860
       1.268500       0.052164       0.000625
       1.273500       0.051605       0.001063
       1.278500       0.051979       0.001102
       1.283500       0.051251       0.000817
       1.288500       0.051261       0.000856
       1.293500       0.051754       0.000976
       1.298500       0.050327       0.000691
       1.303500       0.050385       0.000838
       1.308500       0.051585       0.001035
       1.313500       0.050380       0.000781
       1.318500       0.051672       0.000860
       1.323500       0.050478       0.000828
       1.328500       0.051276       0.000907
       1.333500       0.051598       0.000633
       1.338500       0.051093       0.001169
       1.343500       0.050668       0.000729
       1.348500       0.050433       0.000845
       1.353500       0.051104       0.001242
       1.358500       0.049866       0.000889
       1.363500       0.050285       0.001077
       1.368500       0.050273       0.001088
       1.373500       0.053271       0.001395
       1.378500       0.050132       0.001184
       1.383500       0.052235       0.001073
       1.388500       0.049678       0.001622
       1.393500       0.051028       0.001123
       1.398500       0.050060       0.001568
       1.403500       0.051678       0.001034
       1.408500       0.051696       0.001086
       1.413500       0.051570       0.001213
       1.418500       0.049388       0.001011
       1.423500       0.051427       0.000835
       1.428500       0.051658       0.001141
       1.433500       0.050704       0.000923
       1.438500       0.050881       0.001070
       1.443500       0.053113       0.001281
       1.448500       0.050449       0.001226
       1.453500       0.050946       0.000918
       1.458500       0.050402       0.000858
       1.463500       0.050981       0.001237
       1.468500       0.052652       0.001439
       1.473500       0.051310       0.001254
       1.478500       0.050288       0.001147
       1.483500       0.051844       0.001369
       1.488500       0.051701       0.001109
       1.493500       0.051701       0.001288
       1.498500       0.049939       0.001333
       1.503500       0.051218       0.001610
       1.508500       0.049131       0.001277
       1.513500       0.051990       0.001430
       1.518500       0.052002       0.001052
       1.523500       0.050716       0.001286
       1.528500       0.051853       0.000707
       1.534000       0.051092       0.000865
       1.540000       0.049916       0.000872
       1.546000       0.050108       0.000979
       1.552000       0.050826       0.001146
       1.558000       0.050910       0.000925
       1.564000       0.052597       0.000984
       1.570500       0.051307       0.000822
       1.577500       0.050406       0.000962
       1.584500       0.049629       0.000793
       1.591500       0.049537       0.000752
       1.598500       0.051267       0.000755
       1.605500       0.050806       0.000851
       1.612500       0.050630       0.000726
       1.619500       0.050123       0.001016
       1.626500       0.049478       0.000942
       1.633500       0.049461       0.001016
       1.640500       0.049513       0.000795
       1.647500       0.050111       0.001052
       1.654500       0.051700       0.000743
       1.661500       0.048635       0.001272
       1.668500       0.050231       0.001591
       1.676000       0.049255       0.001255
       1.684000       0.048868       0.001481
       1.692000       0.049924       0.001581
       1.700000       0.050095       0.001583
       1.708000       0.049721       0.001532
       1.716000       0.052048       0.001334
       1.724000       0.047934       0.001228
       1.732000       0.049201       0.001645
       1.740000       0.049336       0.001636
       1.748000       0.052868       0.001594
       1.756000       0.048811       0.001581
       1.764000       0.049644       0.001545
       1.772000       0.049906       0.001460
       1.780000       0.050682       0.001616
       1.788000       0.051072       0.001626
       1.796000       0.050192       0.001596
       1.805000       0.049092       0.001210
       1.815000       0.049366       0.000712
       1.825000       0.050587       0.001134
       1.835000       0.050276       0.001155
       1.845000       0.046494       0.001115
       1.855000       0.050604       0.001565
       1.865000       0.050153       0.001294
       1.875000       0.051733       0.001072
       1.885000       0.049204       0.001273
       1.895000       0.050064       0.001157
       1.905000       0.050012       0.000824
       1.915000       0.050615       0.001515
       1.925000       0.049444       0.001226
       1.935000       0.048505       0.000849
       1.945000       0.050700       0.001104
       1.955000       0.049312       0.001554
       1.965000       0.050553       0.001604
       1.975000       0.050404       0.001562
       1.985000       0.051147       0.001016
       1.995000       0.048371       0.001431
       2.005000       0.050413       0.001150
       2.015000       0.049680       0.001592
       2.025000       0.049211       0.001625
       2.035000       0.049654       0.001472
       2.045000       0.051916       0.001397
       2.055000       0.051007       0.001601
       2.065000       0.049695       0.001515
       2.075000       0.051136       0.000909
       2.085000       0.051572       0.001565
       2.095000       0.050056       0.001588
       2.105000       0.051036       0.001615
       2.115000       0.052235       0.001605
       2.125000       0.052354       0.001603
       2.135000       0.052948       0.001585
       2.145000       0.053787       0.001508
       2.155000       0.051152       0.001586
       2.165000       0.051247       0.001616
       2.175000       0.050054       0.001287
       2.185000       0.049154       0.001147
       2.195000       0.048554       0.001577
       2.205000       0.050488       0.001598
       2.215000       0.048942       0.001640
       2.225000       0.050953       0.001627
       2.235000       0.052843       0.001638
       2.245000       0.049536       0.001641
       2.255000       0.052972       0.001637
       2.265000       0.053650       0.001637
       2.275000       0.052759       0.001877
       2.285000       0.051610       0.002500
       2.295000       0.052918       0.003245
       2.305000       0.053964       0.002768
       2.315000       0.052327       0.002014
       2.325000       0.053954       0.001634
       2.335000       0.051509       0.001495
       2.345000       0.052203       0.001185
