USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Gibbsite HS423.3B            W1R1Bb AREF
copy of splib05a r 2793                                     
       0.205100      -1.23e34        0.303805
       0.213100      -1.23e34        0.028763
       0.221100       0.188988       0.006331
       0.229100       0.191790       0.002681
       0.236100       0.187257       0.001752
       0.242100       0.186853       0.001153
       0.248100       0.187620       0.001096
       0.253600       0.191007       0.001066
       0.258600       0.192944       0.001049
       0.263600       0.197762       0.001059
       0.268600       0.200066       0.001072
       0.273100       0.210032       0.001100
       0.277100       0.213441       0.001122
       0.281100       0.218662       0.001153
       0.285100       0.226442       0.001195
       0.289100       0.233728       0.001229
       0.293100       0.242092       0.001284
       0.297100       0.250186       0.001330
       0.301100       0.257263       0.001387
       0.305100       0.264450       0.001405
       0.309100       0.267042       0.001424
       0.313100       0.277443       0.001445
       0.317100       0.283237       0.001499
       0.321100       0.292286       0.001524
       0.325100       0.298212       0.001539
       0.329100       0.305346       0.001544
       0.333100       0.309303       0.001525
       0.337100       0.314401       0.001466
       0.341100       0.319695       0.001541
       0.345100       0.323441       0.001553
       0.349100       0.327413       0.001543
       0.353100       0.326903       0.001372
       0.357100       0.332087       0.001532
       0.360600       0.334522       0.001559
       0.363600       0.334653       0.001543
       0.366600       0.336725       0.001549
       0.369600       0.338082       0.001108
       0.372600       0.341826       0.001532
       0.375600       0.343837       0.001086
       0.378600       0.346011       0.001558
       0.381100       0.348509       0.001567
       0.383100       0.352058       0.001578
       0.385100       0.353032       0.001592
       0.387100       0.355407       0.001568
       0.389100       0.356192       0.001598
       0.391100       0.359023       0.001041
       0.393100       0.361497       0.001140
       0.395100       0.362871       0.001338
       0.397100       0.364184       0.001168
       0.399100       0.367228       0.001540
       0.401100       0.367404       0.001392
       0.403100       0.369970       0.001360
       0.405100       0.373367       0.001561
       0.407100       0.373691       0.000903
       0.409100       0.375464       0.001387
       0.411100       0.378381       0.001557
       0.412800       0.379906       0.001506
       0.415800       0.381789       0.001562
       0.418800       0.386801       0.001422
       0.421800       0.389694       0.001597
       0.424800       0.392827       0.001436
       0.427800       0.395344       0.000786
       0.430800       0.402563       0.001619
       0.433800       0.402844       0.000983
       0.436800       0.408118       0.001579
       0.439800       0.413245       0.000907
       0.442800       0.416188       0.001328
       0.445800       0.419506       0.001412
       0.448800       0.424417       0.000950
       0.451300       0.427415       0.001639
       0.453300       0.429813       0.001652
       0.455300       0.431388       0.001662
       0.457300       0.434937       0.001564
       0.459300       0.435052       0.001653
       0.461300       0.437624       0.001621
       0.463300       0.437241       0.001659
       0.465300       0.437989       0.001205
       0.467300       0.440071       0.001214
       0.469300       0.441007       0.001340
       0.471300       0.442120       0.001592
       0.473300       0.448431       0.001660
       0.475300       0.444087       0.001631
       0.477300       0.449107       0.001463
       0.479300       0.449792       0.001647
       0.481300       0.447626       0.001228
       0.483300       0.452994       0.001640
       0.485300       0.449387       0.001219
       0.487300       0.454239       0.001639
       0.489300       0.456649       0.001643
       0.491300       0.460428       0.001605
       0.493300       0.462026       0.001056
       0.495300       0.461903       0.001643
       0.497300       0.467535       0.001645
       0.499300       0.464099       0.001655
       0.501300       0.470920       0.000931
       0.503300       0.470731       0.001690
       0.505300       0.471477       0.001684
       0.507300       0.474382       0.001693
       0.509300       0.475924       0.001657
       0.511300       0.477436       0.001278
       0.513300       0.482010       0.000956
       0.515300       0.483841       0.001340
       0.517300       0.488320       0.001492
       0.519300       0.487993       0.001420
       0.521300       0.492679       0.001385
       0.523300       0.494151       0.001705
       0.525300       0.498613       0.001590
       0.527300       0.499778       0.001711
       0.529300       0.499152       0.001620
       0.531300       0.501464       0.001534
       0.533300       0.508921       0.001682
       0.535300       0.508003       0.001247
       0.537300       0.515694       0.001726
       0.539300       0.514890       0.001675
       0.541300       0.516532       0.001678
       0.543300       0.517844       0.001558
       0.545300       0.524462       0.001712
       0.547300       0.527442       0.001691
       0.549300       0.531114       0.001663
       0.551300       0.532399       0.001655
       0.553300       0.537614       0.001712
       0.555300       0.538888       0.001189
       0.557300       0.538387       0.001152
       0.559300       0.544425       0.001627
       0.561300       0.548135       0.001391
       0.563300       0.552101       0.001700
       0.565300       0.552646       0.001719
       0.567300       0.556461       0.001698
       0.569300       0.559730       0.001732
       0.571300       0.562169       0.001699
       0.573300       0.568082       0.001731
       0.575300       0.565489       0.001121
       0.577300       0.571626       0.001209
       0.579300       0.574255       0.001145
       0.581300       0.575396       0.001449
       0.583300       0.576357       0.000841
       0.585300       0.577688       0.000940
       0.587300       0.578227       0.001094
       0.589300       0.584998       0.001703
       0.591300       0.586107       0.001717
       0.593300       0.587815       0.001732
       0.595300       0.589223       0.001685
       0.597300       0.592640       0.001736
       0.599300       0.591466       0.001461
       0.601100       0.595935       0.001736
       0.602700       0.591339       0.001546
       0.604300       0.594656       0.001749
       0.605900       0.596043       0.001736
       0.607500       0.593868       0.001736
       0.609100       0.596950       0.001071
       0.610700       0.599948       0.001700
       0.612300       0.600095       0.001379
       0.613900       0.600486       0.001726
       0.615500       0.604364       0.001541
       0.617100       0.601246       0.001619
       0.618700       0.602446       0.001736
       0.620300       0.601669       0.001715
       0.621900       0.602690       0.001272
       0.623500       0.603856       0.001231
       0.625100       0.606534       0.001724
       0.626700       0.607638       0.001310
       0.628300       0.605396       0.001739
       0.629900       0.606587       0.001695
       0.631700       0.608256       0.001183
       0.633700       0.607951       0.001246
       0.635700       0.607745       0.001695
       0.637700       0.610533       0.001258
       0.639700       0.612663       0.001742
       0.641700       0.613255       0.001336
       0.643700       0.613334       0.001531
       0.645700       0.615066       0.001728
       0.647700       0.614060       0.001288
       0.649700       0.617194       0.001034
       0.651700       0.616922       0.000866
       0.653700       0.619162       0.001018
       0.655700       0.618498       0.000976
       0.657700       0.618874       0.001308
       0.659700       0.621312       0.001394
       0.661700       0.621336       0.000858
       0.663700       0.623536       0.001422
       0.665700       0.625410       0.001639
       0.667700       0.627007       0.001687
       0.670200       0.627319       0.001701
       0.673200       0.629606       0.001775
       0.676200       0.634359       0.001017
       0.679200       0.632361       0.001739
       0.682200       0.632318       0.001756
       0.685200       0.633745       0.001535
       0.688200       0.637293       0.001766
       0.691200       0.642370       0.001768
       0.694200       0.639958       0.001785
       0.697200       0.640530       0.001770
       0.700200       0.642725       0.001776
       0.702000       0.643856       0.001773
       0.704000       0.642183       0.001320
       0.706000       0.644490       0.000877
       0.708000       0.644011       0.001019
       0.710000       0.648114       0.001240
       0.712000       0.649398       0.001088
       0.714000       0.647596       0.001222
       0.716000       0.650265       0.001218
       0.718000       0.649124       0.000917
       0.720000       0.650423       0.001671
       0.722000       0.651849       0.000970
       0.724000       0.650246       0.001174
       0.726000       0.652094       0.001633
       0.728000       0.654980       0.001149
       0.730000       0.657407       0.001309
       0.732000       0.656325       0.001031
       0.734000       0.656146       0.001042
       0.736000       0.657826       0.001765
       0.738000       0.657303       0.001707
       0.740000       0.660422       0.001795
       0.742000       0.658426       0.001560
       0.744000       0.659526       0.001789
       0.746000       0.665325       0.001425
       0.748000       0.661762       0.001265
       0.750500       0.664299       0.001331
       0.753500       0.664962       0.001393
       0.756500       0.662733       0.001625
       0.759500       0.665257       0.001251
       0.762500       0.665141       0.000956
       0.765500       0.669347       0.001472
       0.768500       0.668604       0.001091
       0.771500       0.668042       0.001196
       0.774500       0.671444       0.001700
       0.777500       0.671145       0.001522
       0.781000       0.673339       0.001406
       0.785000       0.674824       0.001038
       0.789000       0.676382       0.001757
       0.793000       0.676461       0.001125
       0.797000       0.676803       0.001423
       0.801500       0.675186       0.001760
       0.806500       0.677841       0.001744
       0.811500       0.680049       0.001313
       0.816500       0.681807       0.001324
       0.822000       0.681901       0.001811
       0.828000       0.681450       0.001790
       0.835000       0.681837       0.001479
       0.843000      -1.23e34        0.000000
       0.851000       0.687649       0.002062
       0.859000       0.680444       0.001962
       0.871000       0.681751       0.001973
       0.883000       0.684951       0.001913
       0.894000       0.683056       0.001652
       0.904000       0.683701       0.001824
       0.914000       0.685594       0.001776
       0.924000       0.685865       0.001245
       0.933000       0.684255       0.001591
       0.941000       0.679963       0.001454
       0.949000       0.685040       0.001143
       0.957000       0.679052       0.001723
       0.964000       0.677102       0.001798
       0.970000       0.674372       0.001903
       0.976000       0.672386       0.001897
       0.982000       0.674427       0.001626
       0.988000       0.673104       0.001324
       0.994000       0.666237       0.001400
       1.000000       0.669335       0.001326
       1.006000       0.682815       0.001392
       1.012000       0.691673       0.001510
       1.018000       0.694029       0.001426
       1.023500       0.699977       0.001810
       1.028500       0.704658       0.001884
       1.033500       0.703329       0.001406
       1.038500       0.706317       0.001892
       1.043500       0.707784       0.001845
       1.048500       0.706867       0.001262
       1.053500       0.710450       0.001352
       1.058500       0.715275       0.001109
       1.063500       0.713136       0.001674
       1.068500       0.714779       0.001392
       1.073500       0.711544       0.001060
       1.078500       0.713512       0.001712
       1.083500       0.715523       0.001246
       1.088500       0.717917       0.001363
       1.093500       0.717692       0.001311
       1.098500       0.721858       0.001263
       1.103500       0.720140       0.001145
       1.108500       0.720431       0.001097
       1.113500       0.721703       0.001268
       1.118500       0.724588       0.001388
       1.123500       0.720813       0.001273
       1.128500       0.721314       0.001109
       1.133500       0.724478       0.001275
       1.138500       0.721611       0.001326
       1.143500       0.726158       0.001565
       1.148500       0.724018       0.001240
       1.153500       0.724236       0.001310
       1.158500       0.728160       0.001230
       1.163500       0.721668       0.001269
       1.168500       0.725842       0.001384
       1.173500       0.725883       0.001419
       1.178500       0.726496       0.001551
       1.183500       0.727211       0.001402
       1.188500       0.725441       0.001747
       1.193500       0.727918       0.001364
       1.198500       0.727635       0.001400
       1.203500       0.729700       0.001429
       1.208500       0.729572       0.001363
       1.213500       0.727349       0.001058
       1.218500       0.727829       0.001402
       1.223500       0.723538       0.001053
       1.228500       0.722580       0.000966
       1.233500       0.717126       0.001199
       1.238500       0.712569       0.001028
       1.243500       0.710370       0.001081
       1.248500       0.699008       0.001291
       1.253500       0.689053       0.000902
       1.258500       0.680993       0.000957
       1.263500       0.669683       0.001060
       1.268500       0.655205       0.001161
       1.273500       0.647562       0.001385
       1.278500       0.649512       0.001453
       1.283500       0.647929       0.001116
       1.288500       0.646572       0.001421
       1.293500       0.643100       0.001138
       1.298500       0.636017       0.001345
       1.303500       0.628969       0.001121
       1.308500       0.623062       0.001003
       1.313500       0.625364       0.001432
       1.318500       0.621966       0.001098
       1.323500       0.624509       0.001159
       1.328500       0.623101       0.001215
       1.333500       0.630120       0.000983
       1.338500       0.630982       0.001218
       1.343500       0.629677       0.001293
       1.348500       0.629613       0.001074
       1.353500       0.631121       0.001026
       1.358500       0.625081       0.001612
       1.363500       0.612234       0.001142
       1.368500       0.597997       0.001738
       1.373500       0.580363       0.001286
       1.378500       0.582194       0.001417
       1.383500       0.524982       0.001726
       1.388500       0.489742       0.001250
       1.393500       0.417613       0.001368
       1.398500       0.350384       0.001556
       1.403500       0.367432       0.001241
       1.408500       0.353267       0.001862
       1.413500       0.301548       0.001372
       1.418500       0.270570       0.001000
       1.423500       0.286474       0.001733
       1.428500       0.284086       0.001699
       1.433500       0.253473       0.001807
       1.438500       0.236077       0.001398
       1.443500       0.237831       0.001811
       1.448500       0.233876       0.001027
       1.453500       0.212172       0.001764
       1.458500       0.231882       0.001209
       1.463500       0.255674       0.001808
       1.468500       0.307870       0.001309
       1.473500       0.349219       0.001272
       1.478500       0.373644       0.001683
       1.483500       0.389772       0.001792
       1.488500       0.401690       0.001394
       1.493500       0.401796       0.001375
       1.498500       0.397773       0.001260
       1.503500       0.390404       0.001850
       1.508500       0.388295       0.001885
       1.513500       0.372977       0.001858
       1.518500       0.360134       0.001823
       1.523500       0.348529       0.001233
       1.528500       0.353145       0.001842
       1.534000       0.350447       0.001277
       1.540000       0.344210       0.001823
       1.546000       0.337772       0.001782
       1.552000       0.337408       0.000997
       1.558000       0.353630       0.001326
       1.564000       0.371160       0.001077
       1.570500       0.389342       0.001525
       1.577500       0.395205       0.000972
       1.584500       0.411650       0.001398
       1.591500       0.434894       0.001031
       1.598500       0.447775       0.000766
       1.605500       0.463855       0.001226
       1.612500       0.476251       0.001075
       1.619500       0.486868       0.000924
       1.626500       0.493185       0.001438
       1.633500       0.501602       0.001188
       1.640500       0.502508       0.000971
       1.647500       0.506655       0.001505
       1.654500       0.513398       0.001487
       1.661500       0.517939       0.001205
       1.668500       0.520653       0.001594
       1.676000       0.524422       0.001478
       1.684000       0.523401       0.001609
       1.692000       0.521811       0.001946
       1.700000       0.522236       0.001813
       1.708000       0.528615       0.001926
       1.716000       0.525462       0.001404
       1.724000       0.525107       0.001809
       1.732000       0.520543       0.001946
       1.740000       0.517145       0.001946
       1.748000       0.515226       0.001919
       1.756000       0.510819       0.001914
       1.764000       0.501443       0.001931
       1.772000       0.491259       0.001553
       1.780000       0.479799       0.001807
       1.788000       0.463936       0.001842
       1.796000       0.458012       0.001379
       1.805000       0.448471       0.001109
       1.815000       0.434298       0.001754
       1.825000       0.423658       0.001135
       1.835000       0.422730       0.001483
       1.845000       0.415810       0.001768
       1.855000       0.407041       0.001056
       1.865000       0.405794       0.001344
       1.875000       0.396355       0.001883
       1.885000       0.381292       0.001672
       1.895000       0.373399       0.001127
       1.905000       0.341406       0.001597
       1.915000       0.325052       0.001442
       1.925000       0.315734       0.001213
       1.935000       0.310223       0.001786
       1.945000       0.306006       0.001820
       1.955000       0.302880       0.001770
       1.965000       0.301296       0.001846
       1.975000       0.297676       0.001820
       1.985000       0.299646       0.001857
       1.995000       0.295950       0.001343
       2.005000       0.298750       0.001814
       2.015000       0.290281       0.001821
       2.025000       0.293596       0.001779
       2.035000       0.287902       0.001657
       2.045000       0.289470       0.001803
       2.055000       0.292432       0.001794
       2.065000       0.285405       0.001862
       2.075000       0.282244       0.001435
       2.085000       0.280921       0.001843
       2.095000       0.279783       0.001846
       2.105000       0.278141       0.001830
       2.115000       0.275508       0.001845
       2.125000       0.257065       0.001838
       2.135000       0.249749       0.001827
       2.145000       0.230855       0.001797
       2.155000       0.226582       0.001839
       2.165000       0.184560       0.001648
       2.175000       0.161008       0.001822
       2.185000       0.148857       0.001839
       2.195000       0.134818       0.001842
       2.205000       0.117341       0.001848
       2.215000       0.109176       0.001829
       2.225000       0.097769       0.001859
       2.235000       0.086546       0.001843
       2.245000       0.068308       0.001860
       2.255000       0.055054       0.001858
       2.265000       0.047090       0.001865
       2.275000       0.045635       0.002193
       2.285000       0.053053       0.002406
       2.295000       0.064667       0.004297
       2.305000       0.067876       0.003518
       2.315000       0.064776       0.002536
       2.325000       0.071931       0.001844
       2.335000       0.074227       0.001802
       2.345000       0.076960       0.001806
