USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Goethite WS222 Medium Gr.    W1R1Ba AREF
copy of splib05a r 2903                                     
       0.205100      -1.23e34        0.043434
       0.213100      -1.23e34        0.007528
       0.221100       0.012394       0.002187
       0.229100       0.012101       0.001301
       0.236100       0.013214       0.001193
       0.242100       0.012856       0.001140
       0.248100       0.012519       0.001079
       0.253600       0.012054       0.001049
       0.258600       0.012473       0.001046
       0.263600       0.014122       0.001046
       0.268600       0.012432       0.001057
       0.273100       0.013044       0.001020
       0.277100       0.013339       0.001106
       0.281100       0.011573       0.001096
       0.285100       0.014098       0.001178
       0.289100       0.013888       0.001225
       0.293100       0.014698       0.001242
       0.297100       0.014904       0.001308
       0.301100       0.015592       0.001338
       0.305100       0.013693       0.001314
       0.309100       0.016119       0.001433
       0.313100       0.017235       0.001423
       0.317100       0.015407       0.001464
       0.321100       0.016600       0.001345
       0.325100       0.015332       0.001493
       0.329100       0.012627       0.001084
       0.333100       0.014636       0.001527
       0.337100       0.016972       0.001048
       0.341100       0.014387       0.001517
       0.345100       0.014353       0.001502
       0.349100       0.015153       0.000612
       0.353100       0.013866       0.001501
       0.357100       0.015573       0.001495
       0.360600       0.015385       0.001507
       0.363600       0.015308       0.001481
       0.366600       0.015952       0.001380
       0.369600       0.017317       0.001437
       0.372600       0.017152       0.001450
       0.375600       0.014972       0.000826
       0.378600       0.018346       0.001521
       0.381100       0.015234       0.001511
       0.383100       0.017436       0.001472
       0.385100       0.017334       0.000968
       0.387100       0.017762       0.001010
       0.389100       0.017806       0.001456
       0.391100       0.018243       0.001442
       0.393100       0.016392       0.001096
       0.395100       0.017365       0.000958
       0.397100       0.016037       0.001463
       0.399100       0.018273       0.001500
       0.401100       0.017253       0.001290
       0.403100       0.017436       0.001118
       0.405100       0.019461       0.000740
       0.407100       0.019678       0.000964
       0.409100       0.019400       0.001071
       0.411100       0.019485       0.001151
       0.412800       0.020695       0.001318
       0.415800       0.021031       0.001516
       0.418800       0.020106       0.001048
       0.421800       0.020928       0.001527
       0.424800       0.020674       0.001484
       0.427800       0.024621       0.001128
       0.430800       0.022916       0.000647
       0.433800       0.023240       0.001379
       0.436800       0.026625       0.001246
       0.439800       0.027180       0.001538
       0.442800       0.029814       0.001477
       0.445800       0.030816       0.001066
       0.448800       0.031259       0.001534
       0.451300       0.030812       0.001534
       0.453300       0.031802       0.001534
       0.455300       0.033050       0.001529
       0.457300       0.031321       0.001358
       0.459300       0.033148       0.001543
       0.461300       0.032929       0.001050
       0.463300       0.032105       0.000855
       0.465300       0.033115       0.001146
       0.467300       0.034317       0.001563
       0.469300       0.034133       0.001532
       0.471300       0.033169       0.001520
       0.473300       0.033389       0.001094
       0.475300       0.034611       0.001153
       0.477300       0.033609       0.001151
       0.479300       0.035465       0.001513
       0.481300       0.034836       0.001488
       0.483300       0.034529       0.001566
       0.485300       0.035939       0.001004
       0.487300       0.038123       0.001054
       0.489300       0.037771       0.001182
       0.491300       0.038081       0.001120
       0.493300       0.040222       0.001559
       0.495300       0.041254       0.001343
       0.497300       0.041294       0.001559
       0.499300       0.042062       0.001006
       0.501300       0.045535       0.001487
       0.503300       0.046656       0.001524
       0.505300       0.046596       0.001405
       0.507300       0.048243       0.001211
       0.509300       0.051397       0.001533
       0.511300       0.053410       0.001523
       0.513300       0.054644       0.000898
       0.515300       0.058143       0.001557
       0.517300       0.060277       0.001584
       0.519300       0.062771       0.001532
       0.521300       0.064031       0.001546
       0.523300       0.067216       0.001513
       0.525300       0.069780       0.001559
       0.527300       0.074185       0.001096
       0.529300       0.076478       0.001550
       0.531300       0.079236       0.001558
       0.533300       0.084704       0.001542
       0.535300       0.087791       0.001550
       0.537300       0.092199       0.001570
       0.539300       0.096610       0.001562
       0.541300       0.099799       0.001584
       0.543300       0.104886       0.001569
       0.545300       0.109172       0.001524
       0.547300       0.112094       0.001447
       0.549300       0.119070       0.001268
       0.551300       0.123592       0.000932
       0.553300       0.128198       0.001552
       0.555300       0.133288       0.001568
       0.557300       0.137643       0.001532
       0.559300       0.142268       0.001563
       0.561300       0.146300       0.001568
       0.563300       0.152446       0.000665
       0.565300       0.156622       0.001585
       0.567300       0.161216       0.000955
       0.569300       0.162945       0.001535
       0.571300       0.166317       0.000762
       0.573300       0.170255       0.001518
       0.575300       0.177078       0.001558
       0.577300       0.179652       0.001574
       0.579300       0.182145       0.001574
       0.581300       0.184826       0.001577
       0.583300       0.186920       0.001278
       0.585300       0.184227       0.000999
       0.587300       0.192436       0.001600
       0.589300       0.192615       0.001569
       0.591300       0.194888       0.001460
       0.593300       0.196149       0.000744
       0.595300       0.194300       0.001543
       0.597300       0.195514       0.000996
       0.599300       0.198726       0.001472
       0.601100       0.198834       0.001571
       0.602700       0.199879       0.001572
       0.604300       0.199648       0.001549
       0.605900       0.200967       0.001422
       0.607500       0.199805       0.001579
       0.609100       0.202246       0.001545
       0.610700       0.201175       0.001512
       0.612300       0.199725       0.000849
       0.613900       0.200506       0.001578
       0.615500       0.201895       0.001578
       0.617100       0.202413       0.001170
       0.618700       0.200157       0.001591
       0.620300       0.201295       0.001580
       0.621900       0.200170       0.001503
       0.623500       0.201557       0.001585
       0.625100       0.200784       0.001569
       0.626700       0.200183       0.000897
       0.628300       0.202669       0.001590
       0.629900       0.200725       0.000828
       0.631700       0.200568       0.001578
       0.633700       0.201593       0.001510
       0.635700       0.201461       0.000700
       0.637700       0.200614       0.001004
       0.639700       0.201062       0.001440
       0.641700       0.203313       0.001556
       0.643700       0.201484       0.001583
       0.645700       0.204350       0.001377
       0.647700       0.202907       0.001055
       0.649700       0.202830       0.001192
       0.651700       0.203029       0.000911
       0.653700       0.203977       0.001000
       0.655700       0.206252       0.000887
       0.657700       0.205534       0.001144
       0.659700       0.205094       0.001122
       0.661700       0.206317       0.000940
       0.663700       0.208880       0.000952
       0.665700       0.208836       0.001507
       0.667700       0.210163       0.001562
       0.670200       0.210341       0.001593
       0.673200       0.210576       0.001048
       0.676200       0.212460       0.001363
       0.679200       0.215985       0.001580
       0.682200       0.217811       0.001580
       0.685200       0.219818       0.001554
       0.688200       0.221492       0.001064
       0.691200       0.224684       0.000720
       0.694200       0.227852       0.000979
       0.697200       0.229892       0.000643
       0.700200       0.232954       0.001578
       0.702000       0.234163       0.001391
       0.704000       0.236651       0.001501
       0.706000       0.237480       0.001346
       0.708000       0.239086       0.001553
       0.710000       0.244006       0.001551
       0.712000       0.244892       0.001061
       0.714000       0.246546       0.000962
       0.716000       0.247776       0.000881
       0.718000       0.251357       0.000791
       0.720000       0.253541       0.001227
       0.722000       0.254731       0.000614
       0.724000       0.257025       0.001554
       0.726000       0.259971       0.000774
       0.728000       0.262060       0.001562
       0.730000       0.263833       0.001569
       0.732000       0.267749       0.001442
       0.734000       0.268365       0.001002
       0.736000       0.269221       0.000693
       0.738000       0.270027       0.001193
       0.740000       0.272984       0.001585
       0.742000       0.276628       0.001568
       0.744000       0.276597       0.001584
       0.746000       0.277934       0.001118
       0.748000       0.278911       0.001343
       0.750500       0.281329       0.001369
       0.753500       0.280579       0.000881
       0.756500       0.284187       0.000716
       0.759500       0.282876       0.001125
       0.762500       0.282908       0.000631
       0.765500       0.283325       0.001093
       0.768500       0.283550       0.001367
       0.771500       0.284227       0.001391
       0.774500       0.283662       0.001485
       0.777500       0.281464       0.001032
       0.781000       0.279586       0.000967
       0.785000       0.276530       0.000842
       0.789000       0.276297       0.001198
       0.793000       0.271826       0.000720
       0.797000       0.269272       0.000931
       0.801500       0.267879       0.001371
       0.806500       0.263317       0.001232
       0.811500       0.259593       0.001587
       0.816500       0.255892       0.001381
       0.822000       0.251014       0.001633
       0.828000       0.248904       0.001677
       0.835000       0.241229       0.000754
       0.843000       0.237976       0.001685
       0.851000       0.230287       0.001949
       0.859000       0.227211       0.001745
       0.871000       0.225295       0.001749
       0.883000       0.222352       0.001743
       0.894000       0.218285       0.001753
       0.904000       0.222416       0.001376
       0.914000       0.219420       0.001352
       0.924000       0.219066       0.001558
       0.933000       0.221181       0.001738
       0.941000       0.220426       0.001203
       0.949000       0.221369       0.001741
       0.957000       0.226056       0.001749
       0.964000       0.228599       0.001725
       0.970000       0.230282       0.001749
       0.976000       0.234023       0.001523
       0.982000       0.235098       0.001461
       0.988000       0.239444       0.001775
       0.994000       0.238834       0.001767
       1.000000       0.240962       0.001687
       1.006000       0.246452       0.001497
       1.012000       0.247160       0.001191
       1.018000       0.251106       0.001386
       1.023500       0.256300       0.001626
       1.028500       0.257119       0.001303
       1.033500       0.259782       0.001395
       1.038500       0.264172       0.001619
       1.043500       0.266981       0.001252
       1.048500       0.271951       0.000986
       1.053500       0.276481       0.001412
       1.058500       0.281037       0.001794
       1.063500       0.283638       0.001129
       1.068500       0.290977       0.001631
       1.073500       0.294233       0.001412
       1.078500       0.300868       0.001385
       1.083500       0.304581       0.001236
       1.088500       0.309498       0.001084
       1.093500       0.316913       0.001769
       1.098500       0.322390       0.000970
       1.103500       0.329095       0.001539
       1.108500       0.335612       0.001305
       1.113500       0.343088       0.001282
       1.118500       0.351435       0.001289
       1.123500       0.353804       0.001449
       1.128500       0.363569       0.000981
       1.133500       0.371412       0.001065
       1.138500       0.377423       0.000913
       1.143500       0.386674       0.001702
       1.148500       0.393371       0.000784
       1.153500       0.402231       0.001071
       1.158500       0.407387       0.000872
       1.163500       0.418577       0.001756
       1.168500       0.421369       0.001655
       1.173500       0.430069       0.001381
       1.178500       0.441090       0.001823
       1.183500       0.445366       0.001486
       1.188500       0.454192       0.001788
       1.193500       0.457994       0.001182
       1.198500       0.463191       0.001054
       1.203500       0.473489       0.001389
       1.208500       0.476994       0.001605
       1.213500       0.483321       0.000946
       1.218500       0.486610       0.001138
       1.223500       0.492761       0.001268
       1.228500       0.498666       0.001063
       1.233500       0.502635       0.000880
       1.238500       0.506144       0.001290
       1.243500       0.508794       0.001310
       1.248500       0.512450       0.000809
       1.253500       0.517267       0.001183
       1.258500       0.519455       0.000956
       1.263500       0.523067       0.001082
       1.268500       0.523940       0.001407
       1.273500       0.528808       0.001089
       1.278500       0.529416       0.000908
       1.283500       0.532398       0.000967
       1.288500       0.532343       0.001191
       1.293500       0.532910       0.001415
       1.298500       0.533773       0.000863
       1.303500       0.536547       0.000783
       1.308500       0.538009       0.001040
       1.313500       0.538332       0.001031
       1.318500       0.538449       0.000940
       1.323500       0.540049       0.001076
       1.328500       0.538138       0.001143
       1.333500       0.542328       0.001173
       1.338500       0.541704       0.001117
       1.343500       0.542264       0.001444
       1.348500       0.543916       0.000851
       1.353500       0.545405       0.001885
       1.358500       0.544384       0.001866
       1.363500       0.543959       0.001928
       1.368500       0.544563       0.001820
       1.373500       0.546786       0.001892
       1.378500       0.548237       0.001674
       1.383500       0.549509       0.001522
       1.388500       0.547208       0.001366
       1.393500       0.547884       0.001881
       1.398500       0.545618       0.001443
       1.403500       0.548431       0.001789
       1.408500       0.543804       0.001543
       1.413500       0.545711       0.001664
       1.418500       0.548440       0.001379
       1.423500       0.546891       0.001238
       1.428500       0.550038       0.001778
       1.433500       0.547354       0.001276
       1.438500       0.547851       0.001315
       1.443500       0.550729       0.001898
       1.448500       0.546112       0.001785
       1.453500       0.551195       0.001793
       1.458500       0.548167       0.001712
       1.463500       0.547471       0.001469
       1.468500       0.550068       0.001315
       1.473500       0.549060       0.001264
       1.478500       0.550925       0.001546
       1.483500       0.553324       0.001846
       1.488500       0.552507       0.001465
       1.493500       0.548789       0.001864
       1.498500       0.551869       0.001481
       1.503500       0.555312       0.001475
       1.508500       0.549159       0.001860
       1.513500       0.553907       0.001871
       1.518500       0.551373       0.001833
       1.523500       0.554483       0.001829
       1.528500       0.551604       0.001812
       1.534000       0.555420       0.001718
       1.540000       0.555000       0.001687
       1.546000       0.553308       0.001837
       1.552000       0.553417       0.001275
       1.558000       0.554937       0.001845
       1.564000       0.553794       0.001212
       1.570500       0.554684       0.001012
       1.577500       0.551849       0.001073
       1.584500       0.551670       0.001204
       1.591500       0.549680       0.001021
       1.598500       0.547663       0.001272
       1.605500       0.546911       0.001243
       1.612500       0.544142       0.001179
       1.619500       0.543049       0.001034
       1.626500       0.542270       0.001579
       1.633500       0.539260       0.001393
       1.640500       0.539449       0.001191
       1.647500       0.535473       0.001375
       1.654500       0.533598       0.001796
       1.661500       0.536715       0.001819
       1.668500       0.533012       0.001680
       1.676000       0.532848       0.001413
       1.684000       0.536304       0.001893
       1.692000       0.529845       0.001875
       1.700000       0.532993       0.001891
       1.708000       0.534237       0.001745
       1.716000       0.531641       0.001283
       1.724000       0.531678       0.001792
       1.732000       0.531960       0.001934
       1.740000       0.534028       0.001941
       1.748000       0.529348       0.001935
       1.756000       0.528411       0.001812
       1.764000       0.531184       0.001261
       1.772000       0.530828       0.001957
       1.780000       0.530502       0.001921
       1.788000       0.530865       0.001601
       1.796000       0.533470       0.001882
       1.805000       0.534287       0.001163
       1.815000       0.532499       0.001104
       1.825000       0.530814       0.001051
       1.835000       0.537291       0.001630
       1.845000       0.535828       0.001859
       1.855000       0.537897       0.001324
       1.865000       0.536587       0.001911
       1.875000       0.537436       0.001864
       1.885000       0.534561       0.001081
       1.895000       0.535603       0.001231
       1.905000       0.532811       0.001746
       1.915000       0.530408       0.001818
       1.925000       0.524637       0.001775
       1.935000       0.524802       0.001836
       1.945000       0.526298       0.001363
       1.955000       0.525037       0.001827
       1.965000       0.528984       0.001132
       1.975000       0.530892       0.001881
       1.985000       0.527172       0.001563
       1.995000       0.527195       0.001783
       2.005000       0.529244       0.001916
       2.015000       0.536065       0.001696
       2.025000       0.537497       0.001907
       2.035000       0.545039       0.001872
       2.045000       0.549302       0.001926
       2.055000       0.550948       0.001924
       2.065000       0.553639       0.001931
       2.075000       0.553310       0.001869
       2.085000       0.556200       0.001927
       2.095000       0.561853       0.001862
       2.105000       0.560732       0.001939
       2.115000       0.568632       0.001909
       2.125000       0.565444       0.001928
       2.135000       0.563901       0.001608
       2.145000       0.564483       0.001542
       2.155000       0.559679       0.001926
       2.165000       0.559475       0.001944
       2.175000       0.561889       0.001901
       2.185000       0.553941       0.001898
       2.195000       0.547591       0.001906
       2.205000       0.544148       0.001939
       2.215000       0.538960       0.001923
       2.225000       0.539914       0.001975
       2.235000       0.534192       0.001968
       2.245000       0.525987       0.001956
       2.255000       0.524900       0.001964
       2.265000       0.523323       0.001997
       2.275000       0.518689       0.002182
       2.285000       0.516177       0.003242
       2.295000       0.509183       0.003885
       2.305000       0.505529       0.003486
       2.315000       0.502801       0.002048
       2.325000       0.494961       0.001930
       2.335000       0.490002       0.001901
       2.345000       0.478303       0.001742
