USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hornblende_Fe HS115.3B       W1R1Bc AREF
copy of splib05a r 3357                                     
       0.205100      -1.23e34        0.319268
       0.213100      -1.23e34        0.422508
       0.221100      -1.23e34        0.172234
       0.229100      -1.23e34        0.031122
       0.236100      -1.23e34        0.012999
       0.242100      -1.23e34        0.005946
       0.248100       0.028140       0.003943
       0.253600       0.028892       0.003468
       0.258600       0.029960       0.002843
       0.263600       0.029948       0.002105
       0.268600       0.029391       0.001953
       0.273100       0.033878       0.001910
       0.277100       0.035314       0.001693
       0.281100       0.037385       0.001483
       0.285100       0.040954       0.001383
       0.289100       0.043953       0.001322
       0.293100       0.046396       0.001178
       0.297100       0.051314       0.001204
       0.301100       0.053450       0.001295
       0.305100       0.059649       0.001273
       0.309100       0.062955       0.001292
       0.313100       0.065804       0.001309
       0.317100       0.068147       0.001321
       0.321100       0.071442       0.001333
       0.325100       0.071054       0.001338
       0.329100       0.072310       0.001346
       0.333100       0.074935       0.001350
       0.337100       0.077174       0.001351
       0.341100       0.076891       0.001359
       0.345100       0.078638       0.001343
       0.349100       0.078972       0.001352
       0.353100       0.081430       0.000595
       0.357100       0.082451       0.000706
       0.360600       0.084529       0.000583
       0.363600       0.085720       0.001185
       0.366600       0.086744       0.001240
       0.369600       0.086779       0.001027
       0.372600       0.087697       0.000910
       0.375600       0.087411       0.001014
       0.378600       0.086900       0.001299
       0.381100       0.087443       0.000975
       0.383100       0.087025       0.000901
       0.385100       0.088724       0.001350
       0.387100       0.088706       0.000863
       0.389100       0.089258       0.001251
       0.391100       0.088981       0.000739
       0.393100       0.089300       0.000827
       0.395100       0.089917       0.000805
       0.397100       0.089898       0.001016
       0.399100       0.089931       0.000834
       0.401100       0.089658       0.000992
       0.403100       0.089470       0.000709
       0.405100       0.090091       0.000842
       0.407100       0.089961       0.000695
       0.409100       0.090155       0.000605
       0.411100       0.091390       0.000752
       0.412800       0.091045       0.001005
       0.415800       0.091816       0.001226
       0.418800       0.093865       0.000814
       0.421800       0.093879       0.001055
       0.424800       0.096246       0.000806
       0.427800       0.096854       0.000792
       0.430800       0.098901       0.000757
       0.433800       0.100077       0.000701
       0.436800       0.102100       0.000601
       0.439800       0.101176       0.000972
       0.442800       0.099845       0.000700
       0.445800       0.099901       0.000661
       0.448800       0.100856       0.000901
       0.451300       0.101900       0.000856
       0.453300       0.103334       0.001381
       0.455300       0.103065       0.001016
       0.457300       0.104790       0.001336
       0.459300       0.104260       0.000993
       0.461300       0.105916       0.001396
       0.463300       0.105855       0.000770
       0.465300       0.107189       0.000737
       0.467300       0.107598       0.000807
       0.469300       0.108551       0.000912
       0.471300       0.109062       0.000836
       0.473300       0.110934       0.000777
       0.475300       0.112009       0.000758
       0.477300       0.112474       0.000791
       0.479300       0.113753       0.000844
       0.481300       0.114192       0.000724
       0.483300       0.114921       0.001099
       0.485300       0.115356       0.000773
       0.487300       0.116002       0.000753
       0.489300       0.116424       0.000771
       0.491300       0.116730       0.000703
       0.493300       0.114701       0.000958
       0.495300       0.114041       0.000776
       0.497300       0.114540       0.000852
       0.499300       0.115440       0.000822
       0.501300       0.116281       0.000835
       0.503300       0.117382       0.000820
       0.505300       0.117338       0.000827
       0.507300       0.117383       0.000849
       0.509300       0.118270       0.000698
       0.511300       0.117926       0.000909
       0.513300       0.118553       0.000795
       0.515300       0.118961       0.000868
       0.517300       0.119992       0.000808
       0.519300       0.118935       0.000824
       0.521300       0.119113       0.000874
       0.523300       0.118528       0.000741
       0.525300       0.119211       0.000840
       0.527300       0.118797       0.000826
       0.529300       0.118974       0.001152
       0.531300       0.118215       0.000798
       0.533300       0.117884       0.000893
       0.535300       0.117539       0.000990
       0.537300       0.117846       0.000747
       0.539300       0.118096       0.000795
       0.541300       0.117919       0.000757
       0.543300       0.117139       0.000814
       0.545300       0.117068       0.000812
       0.547300       0.117302       0.001078
       0.549300       0.116292       0.000857
       0.551300       0.116420       0.000655
       0.553300       0.115984       0.000801
       0.555300       0.115982       0.000775
       0.557300       0.115955       0.001011
       0.559300       0.114816       0.000742
       0.561300       0.114898       0.000772
       0.563300       0.114815       0.000763
       0.565300       0.114427       0.000730
       0.567300       0.114068       0.000809
       0.569300       0.113356       0.000680
       0.571300       0.112834       0.000730
       0.573300       0.112529       0.000839
       0.575300       0.113220       0.000999
       0.577300       0.111603       0.000830
       0.579300       0.111984       0.001063
       0.581300       0.112106       0.000959
       0.583300       0.110930       0.001456
       0.585300       0.111619       0.001003
       0.587300       0.110328       0.001045
       0.589300       0.109903       0.001060
       0.591300       0.109722       0.001354
       0.593300       0.109958       0.001024
       0.595300       0.110476       0.001235
       0.597300       0.108916       0.000918
       0.599300       0.109171       0.001125
       0.601100       0.108884       0.000923
       0.602700       0.107999       0.000802
       0.604300       0.108121       0.000801
       0.605900       0.107728       0.001160
       0.607500       0.106866       0.000684
       0.609100       0.106550       0.000820
       0.610700       0.106673       0.000779
       0.612300       0.107166       0.000716
       0.613900       0.106359       0.000721
       0.615500       0.107017       0.000716
       0.617100       0.105982       0.000660
       0.618700       0.105932       0.000650
       0.620300       0.106060       0.000964
       0.621900       0.105280       0.000842
       0.623500       0.104947       0.001011
       0.625100       0.105091       0.000808
       0.626700       0.105601       0.000876
       0.628300       0.104466       0.000857
       0.629900       0.103650       0.000772
       0.631700       0.104730       0.000715
       0.633700       0.104031       0.000698
       0.635700       0.104277       0.000750
       0.637700       0.103514       0.000633
       0.639700       0.103734       0.001218
       0.641700       0.103394       0.000895
       0.643700       0.103850       0.000790
       0.645700       0.103155       0.000835
       0.647700       0.102419       0.001229
       0.649700       0.102002       0.001162
       0.651700       0.102688       0.000914
       0.653700       0.101306       0.000972
       0.655700       0.102404       0.000527
       0.657700       0.101824       0.000604
       0.659700       0.101770       0.000729
       0.661700       0.101530       0.000611
       0.663700       0.101857       0.000732
       0.665700       0.101613       0.000716
       0.667700       0.101207       0.000935
       0.670200       0.100772       0.000773
       0.673200       0.101616       0.000885
       0.676200       0.100608       0.000775
       0.679200       0.100725       0.001015
       0.682200       0.100623       0.000786
       0.685200       0.101849       0.000682
       0.688200       0.100948       0.000982
       0.691200       0.100701       0.000938
       0.694200       0.100943       0.000949
       0.697200       0.100695       0.001062
       0.700200       0.100854       0.001416
       0.702000       0.102030       0.000894
       0.704000       0.101929       0.000873
       0.706000       0.101753       0.001185
       0.708000       0.103420       0.001097
       0.710000       0.101464       0.000903
       0.712000       0.102593       0.000529
       0.714000       0.102496       0.000632
       0.716000       0.103030       0.000608
       0.718000       0.103850       0.000618
       0.720000       0.103515       0.000718
       0.722000       0.103922       0.001029
       0.724000       0.104195       0.000854
       0.726000       0.104271       0.000925
       0.728000       0.104802       0.000698
       0.730000       0.105826       0.000609
       0.732000       0.105591       0.000766
       0.734000       0.106336       0.000578
       0.736000       0.107399       0.000812
       0.738000       0.106619       0.000864
       0.740000       0.107625       0.000691
       0.742000       0.108099       0.001002
       0.744000       0.108575       0.000804
       0.746000       0.109949       0.000981
       0.748000       0.109143       0.000664
       0.750500       0.110011       0.000692
       0.753500       0.111173       0.000633
       0.756500       0.111906       0.000680
       0.759500       0.112551       0.000582
       0.762500       0.113791       0.000717
       0.765500       0.115007       0.000771
       0.768500       0.115512       0.000664
       0.771500       0.116107       0.000898
       0.774500       0.117988       0.001088
       0.777500       0.117809       0.001352
       0.781000       0.119327       0.000755
       0.785000       0.119852       0.000846
       0.789000       0.121243       0.000690
       0.793000       0.121768       0.000774
       0.797000       0.123078       0.000748
       0.801500       0.123059       0.000661
       0.806500       0.124215       0.000690
       0.811500       0.125057       0.000743
       0.816500       0.124757       0.000734
       0.822000       0.125128       0.001158
       0.828000       0.124346       0.000775
       0.835000       0.125067       0.000862
       0.843000       0.124062       0.001198
       0.851000       0.122929       0.001728
       0.859000       0.124552       0.001586
       0.871000       0.120814       0.001545
       0.883000       0.119827       0.001221
       0.894000       0.124227       0.001437
       0.904000       0.122483       0.001591
       0.914000       0.120782       0.001011
       0.924000       0.122799       0.001092
       0.933000       0.121556       0.001051
       0.941000       0.124751       0.001117
       0.949000       0.123669       0.000977
       0.957000       0.125026       0.001316
       0.964000       0.124633       0.001400
       0.970000       0.126826       0.001305
       0.976000       0.128256       0.001428
       0.982000       0.129517       0.001078
       0.988000       0.128182       0.001371
       0.994000       0.128510       0.001121
       1.000000       0.128398       0.001368
       1.006000       0.132294       0.000903
       1.012000       0.132316       0.000964
       1.018000       0.132797       0.000885
       1.023500       0.133740       0.001357
       1.028500       0.134725       0.001010
       1.033500       0.136320       0.001237
       1.038500       0.139620       0.001219
       1.043500       0.138478       0.000914
       1.048500       0.139593       0.000826
       1.053500       0.144042       0.001025
       1.058500       0.145823       0.000833
       1.063500       0.145837       0.000873
       1.068500       0.147918       0.001042
       1.073500       0.150200       0.001181
       1.078500       0.154110       0.001034
       1.083500       0.152093       0.000943
       1.088500       0.158836       0.001086
       1.093500       0.160353       0.000857
       1.098500       0.162567       0.000679
       1.103500       0.164217       0.001103
       1.108500       0.165524       0.000949
       1.113500       0.168148       0.000969
       1.118500       0.169543       0.000846
       1.123500       0.172397       0.000711
       1.128500       0.173388       0.000871
       1.133500       0.175898       0.001056
       1.138500       0.176917       0.000814
       1.143500       0.179821       0.000977
       1.148500       0.182606       0.000701
       1.153500       0.183872       0.000710
       1.158500       0.186918       0.000822
       1.163500       0.187108       0.000930
       1.168500       0.191574       0.000911
       1.173500       0.193495       0.001022
       1.178500       0.196125       0.000753
       1.183500       0.197805       0.001122
       1.188500       0.201501       0.001031
       1.193500       0.203524       0.001197
       1.198500       0.205949       0.000823
       1.203500       0.207593       0.001079
       1.208500       0.213310       0.000698
       1.213500       0.214613       0.001317
       1.218500       0.217600       0.000867
       1.223500       0.219534       0.000859
       1.228500       0.222970       0.000909
       1.233500       0.226404       0.000707
       1.238500       0.229597       0.000941
       1.243500       0.234071       0.000833
       1.248500       0.236867       0.000807
       1.253500       0.239801       0.000553
       1.258500       0.243814       0.000859
       1.263500       0.247815       0.000934
       1.268500       0.251658       0.000660
       1.273500       0.252938       0.000666
       1.278500       0.256853       0.000811
       1.283500       0.260709       0.001066
       1.288500       0.263909       0.000653
       1.293500       0.267859       0.000870
       1.298500       0.272844       0.000822
       1.303500       0.275069       0.000682
       1.308500       0.279760       0.000732
       1.313500       0.284012       0.000804
       1.318500       0.288851       0.000575
       1.323500       0.291196       0.000906
       1.328500       0.296204       0.000731
       1.333500       0.299231       0.000820
       1.338500       0.304408       0.000980
       1.343500       0.308580       0.000787
       1.348500       0.311459       0.000773
       1.353500       0.313620       0.001102
       1.358500       0.318309       0.001076
       1.363500       0.322620       0.001046
       1.368500       0.321106       0.001383
       1.373500       0.313297       0.000918
       1.378500       0.303135       0.001229
       1.383500       0.303911       0.001343
       1.388500       0.302857       0.001096
       1.393500       0.294994       0.001162
       1.398500       0.308390       0.001068
       1.403500       0.327774       0.001320
       1.408500       0.342389       0.001259
       1.413500       0.354109       0.000997
       1.418500       0.361384       0.001010
       1.423500       0.368810       0.001098
       1.428500       0.374342       0.001191
       1.433500       0.379296       0.000643
       1.438500       0.382886       0.001210
       1.443500       0.386958       0.000908
       1.448500       0.391827       0.000726
       1.453500       0.395575       0.000962
       1.458500       0.398687       0.001037
       1.463500       0.403121       0.001042
       1.468500       0.407175       0.000989
       1.473500       0.412375       0.000956
       1.478500       0.414580       0.001430
       1.483500       0.419267       0.001093
       1.488500       0.423544       0.001501
       1.493500       0.425706       0.001065
       1.498500       0.431253       0.001223
       1.503500       0.432666       0.001298
       1.508500       0.437959       0.001388
       1.513500       0.441643       0.001646
       1.518500       0.446711       0.001151
       1.523500       0.450324       0.001114
       1.528500       0.453067       0.001235
       1.534000       0.456860       0.000835
       1.540000       0.462657       0.001006
       1.546000       0.466391       0.000728
       1.552000       0.469564       0.000909
       1.558000       0.474388       0.000796
       1.564000       0.480039       0.000798
       1.570500       0.484506       0.001047
       1.577500       0.488541       0.000819
       1.584500       0.494654       0.000684
       1.591500       0.498635       0.000498
       1.598500       0.503574       0.000764
       1.605500       0.507568       0.001081
       1.612500       0.511466       0.000873
       1.619500       0.515233       0.000821
       1.626500       0.520482       0.000837
       1.633500       0.523340       0.001098
       1.640500       0.530701       0.001018
       1.647500       0.534486       0.001031
       1.654500       0.542180       0.000785
       1.661500       0.542733       0.001254
       1.668500       0.547515       0.001162
       1.676000       0.549752       0.000915
       1.684000       0.552427       0.001179
       1.692000       0.560274       0.001188
       1.700000       0.562107       0.001640
       1.708000       0.567454       0.001050
       1.716000       0.571529       0.001326
       1.724000       0.573575       0.001299
       1.732000       0.580662       0.001659
       1.740000       0.580378       0.001629
       1.748000       0.589665       0.001673
       1.756000       0.589069       0.001661
       1.764000       0.592971       0.001256
       1.772000       0.593454       0.000859
       1.780000       0.598957       0.001304
       1.788000       0.600968       0.001648
       1.796000       0.605283       0.001162
       1.805000       0.606024       0.000771
       1.815000       0.606701       0.000989
       1.825000       0.607890       0.001119
       1.835000       0.611881       0.001063
       1.845000       0.612618       0.000984
       1.855000       0.609414       0.001321
       1.865000       0.610612       0.001067
       1.875000       0.609349       0.001234
       1.885000       0.610721       0.001569
       1.895000       0.607806       0.001246
       1.905000       0.604600       0.001284
       1.915000       0.603232       0.001043
       1.925000       0.601765       0.001595
       1.935000       0.600495       0.001069
       1.945000       0.597287       0.001266
       1.955000       0.599972       0.001652
       1.965000       0.598681       0.001633
       1.975000       0.593710       0.001387
       1.985000       0.593947       0.001467
       1.995000       0.590101       0.001459
       2.005000       0.589028       0.001355
       2.015000       0.584974       0.001240
       2.025000       0.582946       0.001653
       2.035000       0.584215       0.001520
       2.045000       0.579300       0.001475
       2.055000       0.576029       0.001645
       2.065000       0.566567       0.001597
       2.075000       0.559809       0.001650
       2.085000       0.553410       0.001596
       2.095000       0.548207       0.001607
       2.105000       0.537443       0.001475
       2.115000       0.528653       0.001625
       2.125000       0.526490       0.001606
       2.135000       0.534086       0.001599
       2.145000       0.534949       0.001591
       2.155000       0.533002       0.001333
       2.165000       0.533063       0.001505
       2.175000       0.531631       0.001653
       2.185000       0.527442       0.001494
       2.195000       0.523422       0.001669
       2.205000       0.519723       0.001610
       2.215000       0.515056       0.001656
       2.225000       0.506508       0.001649
       2.235000       0.485841       0.001668
       2.245000       0.430507       0.001654
       2.255000       0.414298       0.001648
       2.265000       0.440029       0.001662
       2.275000       0.425407       0.001750
       2.285000       0.387856       0.002415
       2.295000       0.336747       0.003466
       2.305000       0.307759       0.002878
       2.315000       0.284037       0.002043
       2.325000       0.294420       0.001646
       2.335000       0.327661       0.001614
