USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hypersthene NMNHC2368        W1R1Bb AREF
copy of splib05a r 3416                                     
       0.205100      -1.23e34        0.094390
       0.213100      -1.23e34        0.065677
       0.221100      -1.23e34        0.041915
       0.229100      -1.23e34        0.018789
       0.236100      -1.23e34        0.012258
       0.242100      -1.23e34        0.006926
       0.248100      -1.23e34        0.005061
       0.253600      -1.23e34        0.004405
       0.258600       0.030881       0.003758
       0.263600       0.029296       0.003294
       0.268600       0.033659       0.003685
       0.273100       0.028850       0.003825
       0.277100       0.041918       0.003474
       0.281100       0.041728       0.003439
       0.285100       0.039032       0.003145
       0.289100       0.044792       0.003047
       0.293100       0.042377       0.002785
       0.297100       0.049878       0.002786
       0.301100       0.052213       0.003067
       0.305100       0.050237       0.002651
       0.309100       0.052006       0.002591
       0.313100       0.054540       0.002326
       0.317100       0.057810       0.002198
       0.321100       0.060799       0.002273
       0.325100       0.062973       0.002001
       0.329100       0.069886       0.001901
       0.333100       0.073634       0.001903
       0.337100       0.079174       0.002034
       0.341100       0.086528       0.001857
       0.345100       0.088746       0.001904
       0.349100       0.091509       0.001890
       0.353100       0.099194       0.000757
       0.357100       0.104408       0.000502
       0.360600       0.108581       0.000502
       0.363600       0.113228       0.000605
       0.366600       0.116364       0.000386
       0.369600       0.118203       0.000778
       0.372600       0.120837       0.000687
       0.375600       0.122774       0.000995
       0.378600       0.125456       0.000551
       0.381100       0.127589       0.000720
       0.383100       0.129995       0.000471
       0.385100       0.131961       0.000447
       0.387100       0.134681       0.000755
       0.389100       0.135698       0.000662
       0.391100       0.138041       0.000785
       0.393100       0.140960       0.000693
       0.395100       0.142451       0.000650
       0.397100       0.145087       0.000603
       0.399100       0.146518       0.000607
       0.401100       0.148681       0.000717
       0.403100       0.150852       0.000461
       0.405100       0.153457       0.000459
       0.407100       0.155417       0.000439
       0.409100       0.157320       0.000423
       0.411100       0.159328       0.000737
       0.412800       0.161787       0.000677
       0.415800       0.164466       0.000618
       0.418800       0.166814       0.000638
       0.421800       0.168369       0.001009
       0.424800       0.169680       0.000615
       0.427800       0.170070       0.000619
       0.430800       0.173115       0.000517
       0.433800       0.174624       0.000529
       0.436800       0.176655       0.000558
       0.439800       0.177473       0.000538
       0.442800       0.177134       0.000596
       0.445800       0.175481       0.000513
       0.448800       0.175912       0.001241
       0.451300       0.178681       0.000433
       0.453300       0.180458       0.000763
       0.455300       0.181285       0.000415
       0.457300       0.182941       0.000559
       0.459300       0.183898       0.000441
       0.461300       0.186900       0.000739
       0.463300       0.186230       0.000633
       0.465300       0.186879       0.000829
       0.467300       0.186724       0.000719
       0.469300       0.188010       0.000706
       0.471300       0.187517       0.000723
       0.473300       0.188448       0.000795
       0.475300       0.188773       0.000629
       0.477300       0.188397       0.000702
       0.479300       0.188923       0.000735
       0.481300       0.189173       0.000687
       0.483300       0.189283       0.000691
       0.485300       0.191159       0.000859
       0.487300       0.191995       0.001174
       0.489300       0.193552       0.000678
       0.491300       0.193686       0.001185
       0.493300       0.196260       0.000618
       0.495300       0.196428       0.000609
       0.497300       0.197357       0.000728
       0.499300       0.197676       0.000731
       0.501300       0.199441       0.001194
       0.503300       0.199514       0.000723
       0.505300       0.198724       0.000647
       0.507300       0.198968       0.001109
       0.509300       0.201405       0.000755
       0.511300       0.203027       0.000699
       0.513300       0.202789       0.000639
       0.515300       0.204496       0.000614
       0.517300       0.205332       0.001147
       0.519300       0.205537       0.000721
       0.521300       0.206770       0.000810
       0.523300       0.206454       0.000726
       0.525300       0.207396       0.000837
       0.527300       0.208801       0.001202
       0.529300       0.209045       0.000675
       0.531300       0.209628       0.001148
       0.533300       0.209362       0.000842
       0.535300       0.211165       0.001340
       0.537300       0.210878       0.000753
       0.539300       0.211111       0.000884
       0.541300       0.210799       0.000772
       0.543300       0.211136       0.000671
       0.545300       0.210950       0.000805
       0.547300       0.211524       0.000570
       0.549300       0.212879       0.000672
       0.551300       0.213153       0.000541
       0.553300       0.213840       0.000575
       0.555300       0.215169       0.000595
       0.557300       0.216072       0.000692
       0.559300       0.217386       0.000651
       0.561300       0.217516       0.001067
       0.563300       0.217873       0.000566
       0.565300       0.218737       0.000721
       0.567300       0.220020       0.000740
       0.569300       0.221156       0.000597
       0.571300       0.220643       0.000469
       0.573300       0.221871       0.000506
       0.575300       0.222368       0.000483
       0.577300       0.222990       0.000601
       0.579300       0.223685       0.000569
       0.581300       0.224368       0.000562
       0.583300       0.225551       0.000477
       0.585300       0.226266       0.000544
       0.587300       0.226915       0.000507
       0.589300       0.227749       0.000522
       0.591300       0.228352       0.000460
       0.593300       0.228132       0.000459
       0.595300       0.228999       0.000394
       0.597300       0.230071       0.000521
       0.599300       0.230845       0.000545
       0.601100       0.231716       0.000607
       0.602700       0.231836       0.000556
       0.604300       0.232305       0.000582
       0.605900       0.233005       0.000526
       0.607500       0.233269       0.000763
       0.609100       0.234428       0.000796
       0.610700       0.235568       0.001200
       0.612300       0.235128       0.000793
       0.613900       0.235559       0.000930
       0.615500       0.236821       0.000765
       0.617100       0.236562       0.000709
       0.618700       0.237676       0.000729
       0.620300       0.238377       0.000870
       0.621900       0.239208       0.000792
       0.623500       0.240286       0.000715
       0.625100       0.240508       0.000706
       0.626700       0.241200       0.000829
       0.628300       0.241589       0.000978
       0.629900       0.241162       0.000631
       0.631700       0.242547       0.000959
       0.633700       0.244400       0.000610
       0.635700       0.243587       0.000639
       0.637700       0.244831       0.000710
       0.639700       0.245008       0.001158
       0.641700       0.246064       0.000384
       0.643700       0.247423       0.000454
       0.645700       0.248001       0.000511
       0.647700       0.249124       0.000454
       0.649700       0.250257       0.000711
       0.651700       0.251172       0.000486
       0.653700       0.251870       0.000559
       0.655700       0.252554       0.000586
       0.657700       0.253734       0.000531
       0.659700       0.254103       0.000768
       0.661700       0.255275       0.000604
       0.663700       0.256067       0.000489
       0.665700       0.257497       0.000763
       0.667700       0.257700       0.000367
       0.670200       0.258946       0.000779
       0.673200       0.261159       0.000526
       0.676200       0.262345       0.000378
       0.679200       0.263959       0.000735
       0.682200       0.265358       0.000587
       0.685200       0.266881       0.000545
       0.688200       0.268668       0.000528
       0.691200       0.270228       0.000734
       0.694200       0.271436       0.000678
       0.697200       0.272668       0.000644
       0.700200       0.274551       0.001474
       0.702000       0.275371       0.000504
       0.704000       0.276687       0.000501
       0.706000       0.277191       0.000375
       0.708000       0.278613       0.000437
       0.710000       0.279252       0.000792
       0.712000       0.280520       0.000605
       0.714000       0.281184       0.000551
       0.716000       0.281654       0.000619
       0.718000       0.283079       0.000680
       0.720000       0.283652       0.000682
       0.722000       0.283652       0.000683
       0.724000       0.284591       0.000950
       0.726000       0.285588       0.000502
       0.728000       0.286309       0.000628
       0.730000       0.286650       0.000816
       0.732000       0.287625       0.000696
       0.734000       0.287981       0.000762
       0.736000       0.288897       0.000824
       0.738000       0.289924       0.000899
       0.740000       0.289534       0.000729
       0.742000       0.289399       0.000644
       0.744000       0.290055       0.000747
       0.746000       0.291982       0.000872
       0.748000       0.290024       0.000607
       0.750500       0.290250       0.000560
       0.753500       0.291439       0.000529
       0.756500       0.290372       0.000503
       0.759500       0.290372       0.000511
       0.762500       0.289393       0.000648
       0.765500       0.289043       0.000620
       0.768500       0.289261       0.001078
       0.771500       0.288169       0.000785
       0.774500       0.287703       0.001219
       0.777500       0.286330       0.000508
       0.781000       0.283889       0.000504
       0.785000       0.281566       0.000516
       0.789000       0.279161       0.000688
       0.793000       0.275567       0.000631
       0.797000       0.273057       0.001171
       0.801500       0.269078       0.000598
       0.806500       0.263825       0.000603
       0.811500       0.258967       0.000956
       0.816500       0.253425       0.000685
       0.822000       0.246650       0.000534
       0.828000       0.240885       0.000620
       0.835000       0.232477       0.001160
       0.843000       0.223509       0.001061
       0.851000       0.214962       0.001867
       0.859000       0.204785       0.001576
       0.871000       0.194170       0.001599
       0.883000       0.186520       0.000998
       0.894000       0.181159       0.001577
       0.904000       0.178164       0.001589
       0.914000       0.176043       0.001200
       0.924000       0.175378       0.001371
       0.933000       0.180452       0.001464
       0.941000       0.182983       0.001198
       0.949000       0.186958       0.001046
       0.957000       0.191212       0.000960
       0.964000       0.197907       0.001410
       0.970000       0.202007       0.001632
       0.976000       0.210562       0.001406
       0.982000       0.215208       0.001562
       0.988000       0.224490       0.001060
       0.994000       0.231051       0.001259
       1.000000       0.238024       0.001261
       1.006000       0.246850       0.001472
       1.012000       0.253768       0.001009
       1.018000       0.261486       0.001208
       1.023500       0.267871       0.001155
       1.028500       0.272439       0.001290
       1.033500       0.278726       0.001372
       1.038500       0.286113       0.001397
       1.043500       0.289372       0.001289
       1.048500       0.293476       0.001008
       1.053500       0.301640       0.001102
       1.058500       0.303558       0.001404
       1.063500       0.306953       0.000942
       1.068500       0.310959       0.001411
       1.073500       0.314756       0.001044
       1.078500       0.317474       0.001063
       1.083500       0.321949       0.001073
       1.088500       0.323306       0.001331
       1.093500       0.325541       0.001023
       1.098500       0.326871       0.001092
       1.103500       0.328348       0.001101
       1.108500       0.331772       0.000981
       1.113500       0.333078       0.000763
       1.118500       0.334019       0.000833
       1.123500       0.334345       0.001112
       1.128500       0.334800       0.001023
       1.133500       0.337602       0.000694
       1.138500       0.337407       0.001057
       1.143500       0.338540       0.001077
       1.148500       0.339646       0.000983
       1.153500       0.339808       0.001132
       1.158500       0.339410       0.000898
       1.163500       0.340443       0.000913
       1.168500       0.339768       0.000990
       1.173500       0.342400       0.001227
       1.178500       0.342381       0.001016
       1.183500       0.343921       0.001489
       1.188500       0.343635       0.001436
       1.193500       0.341611       0.001061
       1.198500       0.343775       0.001089
       1.203500       0.341532       0.001186
       1.208500       0.341196       0.001060
       1.213500       0.343320       0.001018
       1.218500       0.344972       0.000983
       1.223500       0.344093       0.000755
       1.228500       0.342512       0.000952
       1.233500       0.345092       0.001181
       1.238500       0.342029       0.000845
       1.243500       0.344724       0.000780
       1.248500       0.342905       0.001389
       1.253500       0.344214       0.000962
       1.258500       0.343601       0.000805
       1.263500       0.344565       0.001118
       1.268500       0.343703       0.000823
       1.273500       0.341489       0.000993
       1.278500       0.343542       0.000660
       1.283500       0.342384       0.000950
       1.288500       0.343366       0.000703
       1.293500       0.342551       0.000765
       1.298500       0.343343       0.000917
       1.303500       0.342169       0.000900
       1.308500       0.342286       0.000707
       1.313500       0.340669       0.000855
       1.318500       0.340760       0.000755
       1.323500       0.339429       0.000786
       1.328500       0.338983       0.001035
       1.333500       0.338552       0.001058
       1.338500       0.338049       0.000895
       1.343500       0.337145       0.000664
       1.348500       0.337304       0.001278
       1.353500       0.333587       0.000995
       1.358500       0.334941       0.001052
       1.363500       0.333592       0.000993
       1.368500       0.332935       0.001077
       1.373500       0.331753       0.001380
       1.378500       0.331399       0.001395
       1.383500       0.333281       0.001184
       1.388500       0.330311       0.001191
       1.393500       0.330225       0.001054
       1.398500       0.325446       0.001099
       1.403500       0.326506       0.001162
       1.408500       0.327965       0.001011
       1.413500       0.326115       0.001123
       1.418500       0.323509       0.000894
       1.423500       0.325730       0.001151
       1.428500       0.321857       0.001007
       1.433500       0.322472       0.000875
       1.438500       0.320510       0.000969
       1.443500       0.317897       0.000932
       1.448500       0.317099       0.001177
       1.453500       0.315951       0.001351
       1.458500       0.315168       0.001412
       1.463500       0.313951       0.001070
       1.468500       0.313236       0.001541
       1.473500       0.310554       0.001174
       1.478500       0.312089       0.001289
       1.483500       0.309497       0.001184
       1.488500       0.308480       0.001012
       1.493500       0.305149       0.001122
       1.498500       0.305467       0.001079
       1.503500       0.301209       0.001651
       1.508500       0.299555       0.001647
       1.513500       0.298204       0.001671
       1.518500       0.298628       0.001638
       1.523500       0.295550       0.001307
       1.528500       0.293941       0.001288
       1.534000       0.294006       0.000949
       1.540000       0.290836       0.001146
       1.546000       0.289483       0.001188
       1.552000       0.287653       0.001116
       1.558000       0.287071       0.001282
       1.564000       0.283290       0.000907
       1.570500       0.282570       0.000913
       1.577500       0.280291       0.000958
       1.584500       0.277359       0.000741
       1.591500       0.275864       0.000929
       1.598500       0.273852       0.000871
       1.605500       0.272232       0.000707
       1.612500       0.269734       0.001182
       1.619500       0.267620       0.001003
       1.626500       0.265276       0.000857
       1.633500       0.262313       0.000979
       1.640500       0.263353       0.000939
       1.647500       0.258407       0.001198
       1.654500       0.259619       0.001145
       1.661500       0.256375       0.001157
       1.668500       0.254476       0.001102
       1.676000       0.252770       0.001064
       1.684000       0.251581       0.001298
       1.692000       0.249945       0.001659
       1.700000       0.249798       0.001662
       1.708000       0.248377       0.001666
       1.716000       0.245645       0.000970
       1.724000       0.244440       0.001380
       1.732000       0.244552       0.001633
       1.740000       0.242769       0.001634
       1.748000       0.245002       0.001528
       1.756000       0.242525       0.001619
       1.764000       0.240478       0.001685
       1.772000       0.236800       0.001679
       1.780000       0.240413       0.001506
       1.788000       0.245397       0.001688
       1.796000       0.236436       0.000954
       1.805000       0.238822       0.000918
       1.815000       0.237719       0.000839
       1.825000       0.238103       0.000987
       1.835000       0.239806       0.000832
       1.845000       0.237857       0.001045
       1.855000       0.239204       0.001147
       1.865000       0.240403       0.001020
       1.875000       0.240359       0.001185
       1.885000       0.241749       0.001117
       1.895000       0.243343       0.001146
       1.905000       0.244116       0.000975
       1.915000       0.245806       0.001158
       1.925000       0.245318       0.001665
       1.935000       0.251862       0.001628
       1.945000       0.252277       0.001355
       1.955000       0.254073       0.001225
       1.965000       0.256341       0.001524
       1.975000       0.259721       0.001270
       1.985000       0.263027       0.001435
       1.995000       0.267620       0.001563
       2.005000       0.266405       0.001452
       2.015000       0.272503       0.001072
       2.025000       0.274157       0.001676
       2.035000       0.278823       0.001566
       2.045000       0.283869       0.001465
       2.055000       0.285045       0.001460
       2.065000       0.292641       0.001671
       2.075000       0.293621       0.001639
       2.085000       0.298692       0.001613
       2.095000       0.303025       0.001635
       2.105000       0.307870       0.001644
       2.115000       0.308119       0.001663
       2.125000       0.313227       0.001661
       2.135000       0.319151       0.001638
       2.145000       0.320918       0.001638
       2.155000       0.322543       0.001652
       2.165000       0.328130       0.001643
       2.175000       0.327710       0.001660
       2.185000       0.333163       0.001653
       2.195000       0.333352       0.001662
       2.205000       0.333923       0.001677
       2.215000       0.335536       0.001682
       2.225000       0.337423       0.001688
       2.235000       0.338729       0.001680
       2.245000       0.342570       0.001686
       2.255000       0.345461       0.001680
       2.265000       0.343333       0.001683
       2.275000       0.347045       0.001922
       2.285000       0.348613       0.002814
       2.295000       0.353181       0.003924
       2.305000       0.347890       0.003570
       2.315000       0.349580       0.002438
       2.325000       0.352944       0.001690
       2.335000       0.357406       0.001683
