USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Hypersthene PYX02.c 180um    W1R1Bc AREF
copy of splib05a r 3459                                     
       0.205100      -1.23e34        0.471450
       0.213100      -1.23e34        0.093005
       0.221100      -1.23e34        0.015995
       0.229100       0.019630       0.005286
       0.236100       0.015437       0.003331
       0.242100       0.024980       0.001784
       0.248100       0.026644       0.001309
       0.253600       0.030173       0.001080
       0.258600       0.030891       0.000854
       0.263600       0.031305       0.000691
       0.268600       0.033379       0.000761
       0.273100       0.034257       0.000750
       0.277100       0.034818       0.000711
       0.281100       0.036288       0.000730
       0.285100       0.036683       0.000754
       0.289100       0.037837       0.000778
       0.293100       0.039126       0.000808
       0.297100       0.039839       0.000834
       0.301100       0.041206       0.000867
       0.305100       0.041469       0.000893
       0.309100       0.045465       0.000913
       0.313100       0.046241       0.000927
       0.317100       0.049099       0.000942
       0.321100       0.051696       0.000951
       0.325100       0.054866       0.000960
       0.329100       0.058829       0.000966
       0.333100       0.062290       0.000973
       0.337100       0.067190       0.000970
       0.341100       0.073112       0.000983
       0.345100       0.078003       0.000979
       0.349100       0.083535       0.000981
       0.353100       0.089671       0.000984
       0.357100       0.096544       0.000898
       0.360600       0.103927       0.000791
       0.363600       0.109093       0.000880
       0.366600       0.114585       0.000693
       0.369600       0.118485       0.000731
       0.372600       0.122658       0.000610
       0.375600       0.125910       0.000610
       0.378600       0.129634       0.000577
       0.381100       0.132996       0.000886
       0.383100       0.135640       0.000766
       0.385100       0.138456       0.000738
       0.387100       0.141745       0.000722
       0.389100       0.144207       0.000710
       0.391100       0.147131       0.000920
       0.393100       0.149972       0.000670
       0.395100       0.151449       0.000664
       0.397100       0.154977       0.000656
       0.399100       0.158255       0.000787
       0.401100       0.161304       0.000782
       0.403100       0.164696       0.000609
       0.405100       0.167716       0.000552
       0.407100       0.170682       0.000539
       0.409100       0.173662       0.000636
       0.411100       0.177033       0.000808
       0.412800       0.179408       0.000677
       0.415800       0.182631       0.000527
       0.418800       0.185433       0.000611
       0.421800       0.186643       0.000724
       0.424800       0.185038       0.000725
       0.427800       0.184215       0.000567
       0.430800       0.189789       0.000526
       0.433800       0.195720       0.000563
       0.436800       0.200001       0.000514
       0.439800       0.202373       0.000474
       0.442800       0.202605       0.000528
       0.445800       0.202429       0.000457
       0.448800       0.204300       0.000762
       0.451300       0.206022       0.000772
       0.453300       0.207185       0.000857
       0.455300       0.208026       0.000792
       0.457300       0.209573       0.000927
       0.459300       0.211813       0.000734
       0.461300       0.212592       0.000798
       0.463300       0.214528       0.000589
       0.465300       0.215497       0.000617
       0.467300       0.216157       0.000692
       0.469300       0.216699       0.000880
       0.471300       0.218645       0.000801
       0.473300       0.220876       0.000693
       0.475300       0.222172       0.000608
       0.477300       0.222768       0.000868
       0.479300       0.223917       0.000598
       0.481300       0.224614       0.000563
       0.483300       0.226901       0.000668
       0.485300       0.229530       0.000656
       0.487300       0.231220       0.000612
       0.489300       0.233072       0.000690
       0.491300       0.234768       0.000573
       0.493300       0.236222       0.000661
       0.495300       0.237534       0.000593
       0.497300       0.238817       0.000780
       0.499300       0.239752       0.000582
       0.501300       0.239019       0.000661
       0.503300       0.238734       0.000748
       0.505300       0.224249       0.000623
       0.507300       0.219464       0.000586
       0.509300       0.242472       0.000644
       0.511300       0.247143       0.000782
       0.513300       0.250865       0.000790
       0.515300       0.252985       0.000687
       0.517300       0.254401       0.000778
       0.519300       0.255855       0.000577
       0.521300       0.256400       0.000671
       0.523300       0.257037       0.000857
       0.525300       0.258220       0.000725
       0.527300       0.258496       0.000642
       0.529300       0.258620       0.000655
       0.531300       0.259835       0.000732
       0.533300       0.258847       0.000660
       0.535300       0.259175       0.000874
       0.537300       0.258931       0.000749
       0.539300       0.258359       0.000877
       0.541300       0.256274       0.000701
       0.543300       0.255008       0.000682
       0.545300       0.253827       0.000592
       0.547300       0.252361       0.000732
       0.549300       0.252623       0.000622
       0.551300       0.253378       0.000569
       0.553300       0.255596       0.000569
       0.555300       0.258256       0.000611
       0.557300       0.260935       0.000716
       0.559300       0.263175       0.000536
       0.561300       0.264855       0.000718
       0.563300       0.265667       0.000739
       0.565300       0.267167       0.000603
       0.567300       0.267862       0.000632
       0.569300       0.268604       0.000854
       0.571300       0.269798       0.000640
       0.573300       0.270230       0.000714
       0.575300       0.271017       0.000840
       0.577300       0.271944       0.000745
       0.579300       0.272156       0.001031
       0.581300       0.272973       0.000885
       0.583300       0.273153       0.000831
       0.585300       0.274980       0.000825
       0.587300       0.274921       0.000805
       0.589300       0.275154       0.001058
       0.591300       0.276724       0.000746
       0.593300       0.276637       0.000664
       0.595300       0.278117       0.000831
       0.597300       0.278150       0.000640
       0.599300       0.278677       0.000936
       0.601100       0.279245       0.000775
       0.602700       0.279255       0.000828
       0.604300       0.280032       0.000870
       0.605900       0.280008       0.000752
       0.607500       0.280022       0.000646
       0.609100       0.281320       0.000621
       0.610700       0.280915       0.000677
       0.612300       0.281231       0.000694
       0.613900       0.281369       0.000750
       0.615500       0.282107       0.000581
       0.617100       0.282366       0.000655
       0.618700       0.282558       0.000797
       0.620300       0.284102       0.000605
       0.621900       0.283641       0.000665
       0.623500       0.285041       0.000642
       0.625100       0.284662       0.000565
       0.626700       0.285205       0.000789
       0.628300       0.286062       0.000837
       0.629900       0.286234       0.000602
       0.631700       0.286601       0.000708
       0.633700       0.287379       0.000586
       0.635700       0.288183       0.000690
       0.637700       0.288443       0.000758
       0.639700       0.288896       0.000753
       0.641700       0.288807       0.000695
       0.643700       0.289587       0.000701
       0.645700       0.289958       0.000772
       0.647700       0.290634       0.000792
       0.649700       0.291305       0.000973
       0.651700       0.291386       0.000825
       0.653700       0.291705       0.000783
       0.655700       0.292693       0.000901
       0.657700       0.292745       0.001043
       0.659700       0.292743       0.000891
       0.661700       0.293238       0.001061
       0.663700       0.293400       0.000982
       0.665700       0.294560       0.001059
       0.667700       0.294588       0.000732
       0.670200       0.294568       0.000692
       0.673200       0.295599       0.000679
       0.676200       0.295828       0.000722
       0.679200       0.296369       0.000703
       0.682200       0.296633       0.001010
       0.685200       0.297527       0.000721
       0.688200       0.297197       0.000736
       0.691200       0.297219       0.000823
       0.694200       0.297186       0.000818
       0.697200       0.297914       0.000800
       0.700200       0.295490       0.000978
       0.702000       0.295840       0.000681
       0.704000       0.295004       0.000608
       0.706000       0.294121       0.000735
       0.708000       0.293200       0.000638
       0.710000       0.292867       0.000747
       0.712000       0.292062       0.000922
       0.714000       0.290280       0.000778
       0.716000       0.288920       0.000776
       0.718000       0.288102       0.000822
       0.720000       0.285741       0.001057
       0.722000       0.284156       0.000918
       0.724000       0.281703       0.000627
       0.726000       0.279732       0.000588
       0.728000       0.278149       0.000526
       0.730000       0.275400       0.000474
       0.732000       0.272253       0.000587
       0.734000       0.268872       0.000741
       0.736000       0.266064       0.000665
       0.738000       0.262700       0.000676
       0.740000       0.259646       0.000691
       0.742000       0.255621       0.000610
       0.744000       0.252587       0.000644
       0.746000       0.248545       0.000676
       0.748000       0.243709       0.000987
       0.750500       0.238306       0.000807
       0.753500       0.231797       0.000890
       0.756500       0.224764       0.000591
       0.759500       0.217803       0.000531
       0.762500       0.210573       0.000690
       0.765500       0.202911       0.000613
       0.768500       0.195580       0.000642
       0.771500       0.188009       0.000674
       0.774500       0.180434       0.000790
       0.777500       0.173133       0.000672
       0.781000       0.163789       0.000591
       0.785000       0.154316       0.000611
       0.789000       0.145784       0.000974
       0.793000       0.136695       0.000650
       0.797000       0.128092       0.000611
       0.801500       0.120211       0.000571
       0.806500       0.110859       0.000526
       0.811500       0.103214       0.000599
       0.816500       0.095871       0.000505
       0.822000       0.088870       0.000673
       0.828000       0.082330       0.000798
       0.835000       0.075176       0.000575
       0.843000       0.069447       0.000945
       0.851000       0.065200       0.001168
       0.859000       0.059279       0.001166
       0.871000       0.057065       0.001157
       0.883000       0.051388       0.001162
       0.894000       0.050539       0.001170
       0.904000       0.051612       0.000940
       0.914000       0.048769       0.000956
       0.924000       0.049058       0.000980
       0.933000       0.052240       0.001000
       0.941000       0.053406       0.000996
       0.949000       0.055279       0.000881
       0.957000       0.057487       0.001163
       0.964000       0.061414       0.001033
       0.970000       0.066398       0.001020
       0.976000       0.070170       0.000853
       0.982000       0.074725       0.001032
       0.988000       0.079799       0.000839
       0.994000       0.086107       0.001090
       1.000000       0.093413       0.000727
       1.006000       0.101562       0.000838
       1.012000       0.111477       0.000645
       1.018000       0.122172       0.000871
       1.023500       0.133380       0.001003
       1.028500       0.142492       0.000885
       1.033500       0.152615       0.000808
       1.038500       0.164560       0.000894
       1.043500       0.176142       0.001031
       1.048500       0.186434       0.000982
       1.053500       0.198745       0.000736
       1.058500       0.212486       0.000698
       1.063500       0.220766       0.000690
       1.068500       0.232390       0.000880
       1.073500       0.242742       0.000777
       1.078500       0.252973       0.000830
       1.083500       0.259447       0.000802
       1.088500       0.268730       0.000681
       1.093500       0.275861       0.000721
       1.098500       0.282916       0.000702
       1.103500       0.287990       0.000784
       1.108500       0.292980       0.000691
       1.113500       0.296582       0.000608
       1.118500       0.302024       0.000817
       1.123500       0.304240       0.000748
       1.128500       0.307600       0.000675
       1.133500       0.311171       0.000819
       1.138500       0.314914       0.000687
       1.143500       0.315864       0.000663
       1.148500       0.316713       0.000584
       1.153500       0.318432       0.000691
       1.158500       0.320407       0.000706
       1.163500       0.320160       0.000546
       1.168500       0.321549       0.000942
       1.173500       0.322985       0.000804
       1.178500       0.323762       0.000892
       1.183500       0.325204       0.000872
       1.188500       0.325815       0.000803
       1.193500       0.326463       0.000758
       1.198500       0.326576       0.000673
       1.203500       0.326789       0.000728
       1.208500       0.327020       0.000667
       1.213500       0.327966       0.000644
       1.218500       0.329165       0.000707
       1.223500       0.329853       0.000648
       1.228500       0.330134       0.000648
       1.233500       0.329899       0.000546
       1.238500       0.329948       0.000640
       1.243500       0.329905       0.000661
       1.248500       0.330257       0.000604
       1.253500       0.330418       0.000753
       1.258500       0.330176       0.000729
       1.263500       0.330105       0.000642
       1.268500       0.329787       0.000635
       1.273500       0.329292       0.000639
       1.278500       0.329510       0.000752
       1.283500       0.327655       0.000670
       1.288500       0.327958       0.000547
       1.293500       0.326515       0.000701
       1.298500       0.325186       0.000802
       1.303500       0.324342       0.000660
       1.308500       0.323278       0.000605
       1.313500       0.322072       0.000616
       1.318500       0.321001       0.000751
       1.323500       0.318341       0.000754
       1.328500       0.317622       0.000631
       1.333500       0.315181       0.000623
       1.338500       0.313192       0.000751
       1.343500       0.311210       0.000653
       1.348500       0.308931       0.000616
       1.353500       0.306378       0.000718
       1.358500       0.304535       0.000767
       1.363500       0.302118       0.000824
       1.368500       0.299003       0.000907
       1.373500       0.295162       0.000946
       1.378500       0.291761       0.000782
       1.383500       0.282634       0.000693
       1.388500       0.272501       0.000848
       1.393500       0.265489       0.000873
       1.398500       0.269500       0.000677
       1.403500       0.271295       0.000785
       1.408500       0.268622       0.000966
       1.413500       0.265985       0.000681
       1.418500       0.262855       0.000696
       1.423500       0.259664       0.000899
       1.428500       0.255957       0.000717
       1.433500       0.251815       0.000696
       1.438500       0.247623       0.000823
       1.443500       0.244475       0.001016
       1.448500       0.239678       0.000921
       1.453500       0.237364       0.000796
       1.458500       0.232468       0.000884
       1.463500       0.227349       0.000912
       1.468500       0.224844       0.000990
       1.473500       0.218636       0.000858
       1.478500       0.215829       0.001030
       1.483500       0.212018       0.000983
       1.488500       0.205820       0.000743
       1.493500       0.203878       0.000980
       1.498500       0.198952       0.000688
       1.503500       0.193995       0.000975
       1.508500       0.191064       0.000955
       1.513500       0.187230       0.001046
       1.518500       0.182598       0.000929
       1.523500       0.180516       0.000997
       1.528500       0.176830       0.001094
       1.534000       0.171857       0.000895
       1.540000       0.166557       0.000973
       1.546000       0.164397       0.000783
       1.552000       0.159449       0.000922
       1.558000       0.153704       0.000912
       1.564000       0.151278       0.000545
       1.570500       0.146103       0.000581
       1.577500       0.140934       0.000723
       1.584500       0.137211       0.000662
       1.591500       0.133313       0.000800
       1.598500       0.129031       0.000677
       1.605500       0.125219       0.000684
       1.612500       0.120975       0.000623
       1.619500       0.116501       0.000806
       1.626500       0.113784       0.000688
       1.633500       0.110972       0.000684
       1.640500       0.109488       0.000944
       1.647500       0.103659       0.001015
       1.654500       0.103001       0.000859
       1.661500       0.098759       0.000835
       1.668500       0.095894       0.000851
       1.676000       0.094948       0.001015
       1.684000       0.090948       0.001065
       1.692000       0.089120       0.001193
       1.700000       0.087254       0.001195
       1.708000       0.084516       0.001173
       1.716000       0.083532       0.001114
       1.724000       0.083010       0.001055
       1.732000       0.078891       0.001190
       1.740000       0.077074       0.001187
       1.748000       0.075118       0.001170
       1.756000       0.075120       0.001180
       1.764000       0.073621       0.001181
       1.772000       0.071758       0.000914
       1.780000       0.071018       0.001198
       1.788000       0.072792       0.001166
       1.796000       0.070146       0.000935
       1.805000       0.069981       0.000644
       1.815000       0.068062       0.000662
       1.825000       0.068819       0.000910
       1.835000       0.066439       0.000936
       1.845000       0.067244       0.001041
       1.855000       0.067087       0.001058
       1.865000       0.067539       0.001016
       1.875000       0.068334       0.000874
       1.885000       0.067900       0.000871
       1.895000       0.067721       0.001036
       1.905000       0.069139       0.001181
       1.915000       0.070779       0.001148
       1.925000       0.070050       0.001111
       1.935000       0.070858       0.001091
       1.945000       0.074160       0.001188
       1.955000       0.073774       0.000895
       1.965000       0.076107       0.001191
       1.975000       0.079435       0.001127
       1.985000       0.079968       0.001174
       1.995000       0.085219       0.001172
       2.005000       0.086383       0.001186
       2.015000       0.090956       0.001191
       2.025000       0.091916       0.001184
       2.035000       0.094112       0.001181
       2.045000       0.098878       0.001179
       2.055000       0.102997       0.001168
       2.065000       0.110814       0.001181
       2.075000       0.113693       0.001177
       2.085000       0.116775       0.001179
       2.095000       0.122994       0.001177
       2.105000       0.128067       0.001178
       2.115000       0.136529       0.001170
       2.125000       0.139950       0.001171
       2.135000       0.146668       0.001166
       2.145000       0.153156       0.001148
       2.155000       0.161022       0.001161
       2.165000       0.166414       0.001180
       2.175000       0.173258       0.001166
       2.185000       0.177610       0.001182
       2.195000       0.185054       0.001197
       2.205000       0.193810       0.001189
       2.215000       0.198598       0.001199
       2.225000       0.204847       0.001199
       2.235000       0.211186       0.001201
       2.245000       0.217742       0.001201
       2.255000       0.223014       0.001198
       2.265000       0.227527       0.001197
       2.275000       0.231402       0.001218
       2.285000       0.233967       0.001666
       2.295000       0.233456       0.002283
       2.305000       0.233731       0.001947
       2.315000       0.233413       0.001349
       2.325000       0.245399       0.001201
       2.335000       0.253354       0.001193
       2.345000       0.263820       0.001195
