USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Jarosite WS368 (Pb)          W1R1Bc AREF
copy of splib05a r 3834                                     
       0.205100      -1.23e34        0.011496
       0.213100       0.011538       0.002041
       0.221100       0.015608       0.001044
       0.229100       0.016912       0.000942
       0.236100       0.016070       0.000862
       0.242100       0.017205       0.000819
       0.248100       0.017381       0.000772
       0.253600       0.016831       0.000743
       0.258600       0.016599       0.000748
       0.263600       0.016549       0.000615
       0.268600       0.016809       0.000709
       0.273100       0.017314       0.000612
       0.277100       0.017301       0.000750
       0.281100       0.017845       0.000710
       0.285100       0.017869       0.000568
       0.289100       0.018781       0.000848
       0.293100       0.017729       0.000798
       0.297100       0.018602       0.000886
       0.301100       0.018819       0.000899
       0.305100       0.019002       0.000769
       0.309100       0.019438       0.000674
       0.313100       0.019680       0.000690
       0.317100       0.020115       0.000958
       0.321100       0.020823       0.000799
       0.325100       0.021752       0.000717
       0.329100       0.021413       0.000756
       0.333100       0.021835       0.000667
       0.337100       0.022153       0.000651
       0.341100       0.022635       0.000563
       0.345100       0.023269       0.000661
       0.349100       0.024201       0.000494
       0.353100       0.024512       0.000583
       0.357100       0.025664       0.000677
       0.360600       0.025977       0.000986
       0.363600       0.027410       0.000615
       0.366600       0.028471       0.000911
       0.369600       0.029137       0.000577
       0.372600       0.030463       0.000576
       0.375600       0.031581       0.000697
       0.378600       0.033178       0.000655
       0.381100       0.034786       0.000968
       0.383100       0.035403       0.000678
       0.385100       0.036283       0.000628
       0.387100       0.036778       0.000624
       0.389100       0.037572       0.000634
       0.391100       0.039297       0.000681
       0.393100       0.041230       0.000616
       0.395100       0.042002       0.000629
       0.397100       0.043981       0.000695
       0.399100       0.045614       0.000665
       0.401100       0.047734       0.000675
       0.403100       0.049480       0.000566
       0.405100       0.051251       0.000642
       0.407100       0.053777       0.000555
       0.409100       0.055853       0.000506
       0.411100       0.058472       0.000642
       0.412800       0.060511       0.000972
       0.415800       0.063954       0.000623
       0.418800       0.067471       0.000580
       0.421800       0.070869       0.000953
       0.424800       0.073553       0.000588
       0.427800       0.076747       0.000650
       0.430800       0.078760       0.000601
       0.433800       0.080410       0.000521
       0.436800       0.081860       0.000624
       0.439800       0.084513       0.000569
       0.442800       0.087548       0.000569
       0.445800       0.092178       0.000991
       0.448800       0.097424       0.000974
       0.451300       0.102196       0.000774
       0.453300       0.107090       0.000832
       0.455300       0.109980       0.000845
       0.457300       0.115184       0.000981
       0.459300       0.117929       0.000978
       0.461300       0.122342       0.000696
       0.463300       0.126734       0.000773
       0.465300       0.130494       0.000974
       0.467300       0.134008       0.000906
       0.469300       0.139058       0.000744
       0.471300       0.142307       0.000696
       0.473300       0.147515       0.000724
       0.475300       0.152264       0.000777
       0.477300       0.156492       0.000763
       0.479300       0.161114       0.000965
       0.481300       0.165898       0.000589
       0.483300       0.170818       0.000914
       0.485300       0.176310       0.000720
       0.487300       0.180859       0.000681
       0.489300       0.185455       0.000833
       0.491300       0.192245       0.000755
       0.493300       0.196811       0.000744
       0.495300       0.201470       0.000720
       0.497300       0.207467       0.000783
       0.499300       0.210870       0.000741
       0.501300       0.215827       0.000774
       0.503300       0.220578       0.000644
       0.505300       0.225823       0.000743
       0.507300       0.231133       0.000790
       0.509300       0.234115       0.000841
       0.511300       0.238521       0.000986
       0.513300       0.241997       0.000817
       0.515300       0.246502       0.000766
       0.517300       0.250580       0.000703
       0.519300       0.253747       0.000917
       0.521300       0.257767       0.000992
       0.523300       0.261146       0.000662
       0.525300       0.264489       0.000984
       0.527300       0.267753       0.000740
       0.529300       0.272665       0.000703
       0.531300       0.276089       0.000816
       0.533300       0.277409       0.000872
       0.535300       0.281712       0.000989
       0.537300       0.284244       0.000851
       0.539300       0.287766       0.000823
       0.541300       0.291149       0.000825
       0.543300       0.294199       0.000923
       0.545300       0.296687       0.000963
       0.547300       0.299365       0.000874
       0.549300       0.302580       0.000768
       0.551300       0.304354       0.000699
       0.553300       0.308418       0.000775
       0.555300       0.311508       0.000851
       0.557300       0.313432       0.000965
       0.559300       0.316207       0.000984
       0.561300       0.318500       0.000696
       0.563300       0.321703       0.000683
       0.565300       0.323956       0.000974
       0.567300       0.326974       0.000751
       0.569300       0.329836       0.000778
       0.571300       0.333349       0.000852
       0.573300       0.335711       0.000972
       0.575300       0.339977       0.000842
       0.577300       0.341407       0.000559
       0.579300       0.344668       0.000489
       0.581300       0.347545       0.000568
       0.583300       0.350709       0.000587
       0.585300       0.353650       0.000978
       0.587300       0.356889       0.000979
       0.589300       0.359915       0.000785
       0.591300       0.362687       0.000716
       0.593300       0.365997       0.000639
       0.595300       0.368934       0.000592
       0.597300       0.371868       0.000979
       0.599300       0.374990       0.000975
       0.601100       0.377644       0.000956
       0.602700       0.381214       0.000775
       0.604300       0.383774       0.000634
       0.605900       0.385250       0.000665
       0.607500       0.387752       0.000974
       0.609100       0.390307       0.000629
       0.610700       0.393713       0.000940
       0.612300       0.396202       0.000825
       0.613900       0.399015       0.000965
       0.615500       0.400852       0.000979
       0.617100       0.403381       0.000813
       0.618700       0.405343       0.000957
       0.620300       0.408802       0.000817
       0.621900       0.411501       0.000949
       0.623500       0.413178       0.000919
       0.625100       0.417197       0.000830
       0.626700       0.418389       0.000966
       0.628300       0.420800       0.000826
       0.629900       0.422920       0.000941
       0.631700       0.425512       0.000722
       0.633700       0.427794       0.000795
       0.635700       0.429568       0.000786
       0.637700       0.432724       0.000808
       0.639700       0.435862       0.000851
       0.641700       0.438054       0.000877
       0.643700       0.439386       0.000967
       0.645700       0.441061       0.000805
       0.647700       0.443772       0.000576
       0.649700       0.446318       0.000592
       0.651700       0.448328       0.000808
       0.653700       0.449939       0.000578
       0.655700       0.451625       0.000711
       0.657700       0.454166       0.000979
       0.659700       0.453899       0.000781
       0.661700       0.456321       0.000719
       0.663700       0.458014       0.000771
       0.665700       0.460631       0.000974
       0.667700       0.459810       0.000702
       0.670200       0.461323       0.000816
       0.673200       0.464174       0.000785
       0.676200       0.464745       0.000606
       0.679200       0.466596       0.000543
       0.682200       0.469507       0.000636
       0.685200       0.469768       0.000621
       0.688200       0.471183       0.000637
       0.691200       0.471713       0.000880
       0.694200       0.473181       0.000832
       0.697200       0.474346       0.000652
       0.700200       0.476161       0.000649
       0.702000       0.476989       0.000591
       0.704000       0.478324       0.000572
       0.706000       0.477954       0.000685
       0.708000       0.479568       0.000880
       0.710000       0.479156       0.000615
       0.712000       0.479490       0.000723
       0.714000       0.479586       0.000712
       0.716000       0.480253       0.000667
       0.718000       0.481158       0.000728
       0.720000       0.481338       0.000968
       0.722000       0.482196       0.000975
       0.724000       0.482578       0.000806
       0.726000       0.483400       0.000854
       0.728000       0.482483       0.000736
       0.730000       0.482879       0.000818
       0.732000       0.482737       0.000872
       0.734000       0.482791       0.000957
       0.736000       0.482747       0.000876
       0.738000       0.482533       0.000846
       0.740000       0.483404       0.000966
       0.742000       0.482952       0.000984
       0.744000       0.482304       0.000888
       0.746000       0.484121       0.000932
       0.748000       0.482098       0.000774
       0.750500       0.481581       0.000777
       0.753500       0.481318       0.000634
       0.756500       0.480321       0.000974
       0.759500       0.479697       0.000701
       0.762500       0.480566       0.000812
       0.765500       0.479012       0.000979
       0.768500       0.478471       0.000770
       0.771500       0.476950       0.000914
       0.774500       0.475853       0.000835
       0.777500       0.474507       0.000819
       0.781000       0.473339       0.000744
       0.785000       0.472551       0.000848
       0.789000       0.470903       0.000891
       0.793000       0.468027       0.000734
       0.797000       0.466922       0.000897
       0.801500       0.463497       0.000650
       0.806500       0.462645       0.000687
       0.811500       0.460422       0.000919
       0.816500       0.456322       0.000975
       0.822000       0.453024       0.000870
       0.828000       0.449425       0.000801
       0.835000       0.446130       0.000841
       0.843000       0.442034       0.000783
       0.851000       0.437529       0.001080
       0.859000       0.433385       0.001031
       0.871000       0.429008       0.001043
       0.883000       0.424860       0.001022
       0.894000       0.420879       0.001015
       0.904000       0.418675       0.001028
       0.914000       0.418408       0.001027
       0.924000       0.419649       0.001028
       0.933000       0.418685       0.000842
       0.941000       0.419403       0.000955
       0.949000       0.418645       0.001031
       0.957000       0.421996       0.000828
       0.964000       0.424511       0.001018
       0.970000       0.425013       0.001019
       0.976000       0.427298       0.000962
       0.982000       0.431274       0.000985
       0.988000       0.430976       0.000776
       0.994000       0.435924       0.000892
       1.000000       0.438134       0.000781
       1.006000       0.441465       0.001036
       1.012000       0.444737       0.000884
       1.018000       0.446497       0.001035
       1.023500       0.450567       0.000956
       1.028500       0.451004       0.000684
       1.033500       0.454992       0.000869
       1.038500       0.457333       0.000812
       1.043500       0.460076       0.000806
       1.048500       0.462011       0.000832
       1.053500       0.465257       0.001037
       1.058500       0.466183       0.000846
       1.063500       0.470822       0.000820
       1.068500       0.470779       0.001040
       1.073500       0.475154       0.000753
       1.078500       0.477256       0.000832
       1.083500       0.479885       0.000944
       1.088500       0.481568       0.000783
       1.093500       0.483647       0.000864
       1.098500       0.485741       0.000908
       1.103500       0.488754       0.000745
       1.108500       0.490961       0.000708
       1.113500       0.493408       0.000808
       1.118500       0.495657       0.000984
       1.123500       0.497828       0.000894
       1.128500       0.500250       0.000629
       1.133500       0.502609       0.000625
       1.138500       0.504633       0.000781
       1.143500       0.505358       0.000814
       1.148500       0.508780       0.000846
       1.153500       0.509897       0.000736
       1.158500       0.512048       0.000647
       1.163500       0.514526       0.001038
       1.168500       0.518106       0.000737
       1.173500       0.518801       0.000694
       1.178500       0.522672       0.000772
       1.183500       0.523611       0.001016
       1.188500       0.526329       0.000952
       1.193500       0.528889       0.000766
       1.198500       0.530165       0.000726
       1.203500       0.534959       0.000808
       1.208500       0.535999       0.000712
       1.213500       0.539676       0.000828
       1.218500       0.542497       0.000808
       1.223500       0.543450       0.000744
       1.228500       0.546504       0.000810
       1.233500       0.550023       0.000963
       1.238500       0.551327       0.000788
       1.243500       0.553775       0.000904
       1.248500       0.556524       0.000914
       1.253500       0.558742       0.000850
       1.258500       0.561880       0.000755
       1.263500       0.565228       0.000922
       1.268500       0.566505       0.000865
       1.273500       0.569939       0.000567
       1.278500       0.571095       0.001007
       1.283500       0.573488       0.000680
       1.288500       0.577294       0.000877
       1.293500       0.579046       0.000840
       1.298500       0.581334       0.000741
       1.303500       0.584212       0.000783
       1.308500       0.586094       0.000714
       1.313500       0.588550       0.000724
       1.318500       0.590486       0.000841
       1.323500       0.593160       0.000924
       1.328500       0.593537       0.000759
       1.333500       0.598456       0.000871
       1.338500       0.600141       0.000775
       1.343500       0.602328       0.000683
       1.348500       0.604172       0.000929
       1.353500       0.606165       0.000888
       1.358500       0.607949       0.000937
       1.363500       0.611135       0.000808
       1.368500       0.612589       0.000902
       1.373500       0.615436       0.000974
       1.378500       0.613533       0.000872
       1.383500       0.617666       0.001024
       1.388500       0.619552       0.001046
       1.393500       0.621561       0.000988
       1.398500       0.620098       0.001024
       1.403500       0.623446       0.001027
       1.408500       0.624051       0.001062
       1.413500       0.626852       0.001024
       1.418500       0.626476       0.000969
       1.423500       0.629272       0.000809
       1.428500       0.628178       0.000851
       1.433500       0.629552       0.000965
       1.438500       0.630372       0.000989
       1.443500       0.632437       0.001056
       1.448500       0.630603       0.000884
       1.453500       0.631816       0.000972
       1.458500       0.630857       0.000900
       1.463500       0.630089       0.001069
       1.468500       0.626005       0.000940
       1.473500       0.623857       0.001040
       1.478500       0.624633       0.001063
       1.483500       0.626820       0.001039
       1.488500       0.628517       0.000869
       1.493500       0.628870       0.000943
       1.498500       0.631801       0.000911
       1.503500       0.632186       0.000931
       1.508500       0.632198       0.001065
       1.513500       0.633883       0.001052
       1.518500       0.635007       0.001050
       1.523500       0.635775       0.001001
       1.528500       0.635768       0.000857
       1.534000       0.638209       0.000762
       1.540000       0.637918       0.001029
       1.546000       0.639329       0.001042
       1.552000       0.640018       0.001049
       1.558000       0.643013       0.000958
       1.564000       0.642760       0.000950
       1.570500       0.644471       0.000798
       1.577500       0.645458       0.000781
       1.584500       0.644386       0.000865
       1.591500       0.645769       0.000784
       1.598500       0.645130       0.001044
       1.605500       0.647739       0.000862
       1.612500       0.646709       0.000716
       1.619500       0.647588       0.000913
       1.626500       0.646264       0.001066
       1.633500       0.647079       0.000753
       1.640500       0.648550       0.001043
       1.647500       0.647585       0.000799
       1.654500       0.647865       0.000876
       1.661500       0.648409       0.001002
       1.668500       0.647181       0.001073
       1.676000       0.646580       0.001066
       1.684000       0.647127       0.001046
       1.692000       0.646521       0.001063
       1.700000       0.647533       0.001056
       1.708000       0.646727       0.001052
       1.716000       0.643729       0.000921
       1.724000       0.646459       0.001052
       1.732000       0.643232       0.001053
       1.740000       0.645215       0.001055
       1.748000       0.641083       0.001060
       1.756000       0.641720       0.001070
       1.764000       0.640013       0.001059
       1.772000       0.638379       0.001059
       1.780000       0.638498       0.001059
       1.788000       0.638398       0.001054
       1.796000       0.638774       0.000951
       1.805000       0.633130       0.000847
       1.815000       0.630609       0.000900
       1.825000       0.628637       0.000774
       1.835000       0.626785       0.001046
       1.845000       0.618655       0.001036
       1.855000       0.614136       0.000891
       1.865000       0.615170       0.000955
       1.875000       0.616152       0.000760
       1.885000       0.620104       0.001050
       1.895000       0.621711       0.000975
       1.905000       0.621211       0.000872
       1.915000       0.618704       0.000872
       1.925000       0.618519       0.001054
       1.935000       0.615891       0.001051
       1.945000       0.614937       0.000974
       1.955000       0.612651       0.001052
       1.965000       0.614476       0.001035
       1.975000       0.619235       0.001062
       1.985000       0.617513       0.001054
       1.995000       0.618987       0.001045
       2.005000       0.616978       0.001055
       2.015000       0.619555       0.001036
       2.025000       0.618165       0.001054
       2.035000       0.619306       0.001055
       2.045000       0.619594       0.001050
       2.055000       0.617326       0.001047
       2.065000       0.618600       0.001038
       2.075000       0.617653       0.001052
       2.085000       0.615631       0.001050
       2.095000       0.615975       0.001049
       2.105000       0.614965       0.001042
       2.115000       0.615984       0.001048
       2.125000       0.615530       0.001042
       2.135000       0.613595       0.001044
       2.145000       0.609386       0.001031
       2.155000       0.605600       0.001035
       2.165000       0.601692       0.001047
       2.175000       0.593539       0.001039
       2.185000       0.590394       0.001042
       2.195000       0.580575       0.001048
       2.205000       0.577334       0.001048
       2.215000       0.570841       0.001047
       2.225000       0.568787       0.001050
       2.235000       0.568340       0.001048
       2.245000       0.560249       0.001085
       2.255000       0.548739       0.001086
       2.265000       0.531828       0.001080
       2.275000       0.529160       0.001183
       2.285000       0.529125       0.001673
       2.295000       0.532474       0.002246
       2.305000       0.543702       0.002059
       2.315000       0.555159       0.001593
       2.325000       0.559682       0.001082
       2.335000       0.564797       0.001034
       2.345000       0.566495       0.001036
