USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Jarosite SJ-1 H3O,10-20%     W1R1Bb AREF
copy of splib05a r 3822                                     
       0.205100      -1.23e34        0.022473
       0.213100      -1.23e34        0.004303
       0.221100       0.012250       0.001218
       0.229100       0.013360       0.000893
       0.236100       0.013076       0.000826
       0.242100       0.013929       0.000776
       0.248100       0.014603       0.000743
       0.253600       0.014233       0.000726
       0.258600       0.014085       0.000730
       0.263600       0.014115       0.000735
       0.268600       0.013661       0.000741
       0.273100       0.015020       0.000757
       0.277100       0.015550       0.000778
       0.281100       0.017227       0.000794
       0.285100       0.017380       0.000823
       0.289100       0.018359       0.000847
       0.293100       0.020071       0.000863
       0.297100       0.019102       0.001098
       0.301100       0.020892       0.000889
       0.305100       0.022195       0.000891
       0.309100       0.020477       0.000883
       0.313100       0.021697       0.000880
       0.317100       0.020471       0.000599
       0.321100       0.020663       0.000632
       0.325100       0.019770       0.000928
       0.329100       0.019246       0.000879
       0.333100       0.019997       0.000754
       0.337100       0.019171       0.000676
       0.341100       0.018568       0.000661
       0.345100       0.019731       0.000637
       0.349100       0.018590       0.000700
       0.353100       0.018940       0.000709
       0.357100       0.017695       0.000810
       0.360600       0.017490       0.000684
       0.363600       0.017722       0.000549
       0.366600       0.017173       0.000648
       0.369600       0.017499       0.000591
       0.372600       0.017080       0.000638
       0.375600       0.017270       0.000782
       0.378600       0.017117       0.000582
       0.381100       0.017155       0.000715
       0.383100       0.016950       0.000653
       0.385100       0.016721       0.000693
       0.387100       0.017764       0.000583
       0.389100       0.018025       0.000658
       0.391100       0.017470       0.000703
       0.393100       0.018475       0.000643
       0.395100       0.018268       0.000591
       0.397100       0.019313       0.000849
       0.399100       0.019696       0.000592
       0.401100       0.020907       0.000657
       0.403100       0.022652       0.000923
       0.405100       0.024033       0.000551
       0.407100       0.026241       0.000912
       0.409100       0.028656       0.000556
       0.411100       0.030766       0.000788
       0.412800       0.031836       0.000596
       0.415800       0.034350       0.000607
       0.418800       0.034991       0.000646
       0.421800       0.034815       0.000645
       0.424800       0.033282       0.000540
       0.427800       0.030637       0.000630
       0.430800       0.028157       0.000620
       0.433800       0.026825       0.000633
       0.436800       0.026193       0.000606
       0.439800       0.028148       0.000833
       0.442800       0.031588       0.000613
       0.445800       0.035736       0.000946
       0.448800       0.041109       0.000946
       0.451300       0.046840       0.000801
       0.453300       0.050334       0.000771
       0.455300       0.055614       0.000733
       0.457300       0.059930       0.000750
       0.459300       0.064877       0.000959
       0.461300       0.068671       0.000604
       0.463300       0.073657       0.000705
       0.465300       0.077450       0.000731
       0.467300       0.080902       0.000797
       0.469300       0.085284       0.000634
       0.471300       0.089137       0.000704
       0.473300       0.091830       0.000863
       0.475300       0.096768       0.000946
       0.477300       0.099147       0.000707
       0.479300       0.103437       0.000741
       0.481300       0.106581       0.000735
       0.483300       0.111327       0.000931
       0.485300       0.115082       0.000775
       0.487300       0.119243       0.000677
       0.489300       0.123013       0.000891
       0.491300       0.127811       0.000690
       0.493300       0.131341       0.000776
       0.495300       0.135954       0.000937
       0.497300       0.140100       0.000838
       0.499300       0.145189       0.000716
       0.501300       0.149274       0.000714
       0.503300       0.153878       0.000673
       0.505300       0.158804       0.000939
       0.507300       0.162948       0.000700
       0.509300       0.168854       0.000632
       0.511300       0.172903       0.000944
       0.513300       0.178965       0.000826
       0.515300       0.185019       0.000704
       0.517300       0.189394       0.000764
       0.519300       0.194742       0.000755
       0.521300       0.200679       0.000730
       0.523300       0.206171       0.000741
       0.525300       0.212967       0.000732
       0.527300       0.218250       0.000731
       0.529300       0.224603       0.000663
       0.531300       0.230434       0.000765
       0.533300       0.236368       0.000732
       0.535300       0.243178       0.000715
       0.537300       0.248768       0.000770
       0.539300       0.255278       0.000954
       0.541300       0.262402       0.000696
       0.543300       0.268742       0.000882
       0.545300       0.274796       0.000698
       0.547300       0.280985       0.000802
       0.549300       0.286850       0.000808
       0.551300       0.293952       0.000663
       0.553300       0.298993       0.000947
       0.555300       0.305657       0.000682
       0.557300       0.311151       0.000946
       0.559300       0.316862       0.000743
       0.561300       0.323546       0.000667
       0.563300       0.328502       0.000715
       0.565300       0.334530       0.000657
       0.567300       0.339850       0.000693
       0.569300       0.344188       0.000938
       0.571300       0.349300       0.000777
       0.573300       0.354496       0.000683
       0.575300       0.357938       0.000741
       0.577300       0.362397       0.000938
       0.579300       0.365943       0.000940
       0.581300       0.369602       0.000944
       0.583300       0.373218       0.000743
       0.585300       0.375766       0.000848
       0.587300       0.379775       0.000905
       0.589300       0.382607       0.000888
       0.591300       0.386649       0.000894
       0.593300       0.388604       0.000888
       0.595300       0.391992       0.000862
       0.597300       0.394172       0.000944
       0.599300       0.397849       0.000883
       0.601100       0.399059       0.000944
       0.602700       0.402942       0.000933
       0.604300       0.405742       0.000829
       0.605900       0.407688       0.000813
       0.607500       0.409288       0.000801
       0.609100       0.411168       0.000922
       0.610700       0.414498       0.000818
       0.612300       0.417341       0.000898
       0.613900       0.419995       0.000763
       0.615500       0.421496       0.000853
       0.617100       0.424588       0.000930
       0.618700       0.426886       0.000899
       0.620300       0.429775       0.000687
       0.621900       0.432402       0.000757
       0.623500       0.435443       0.000926
       0.625100       0.437603       0.000784
       0.626700       0.439700       0.000909
       0.628300       0.441525       0.000793
       0.629900       0.444766       0.000763
       0.631700       0.446109       0.000712
       0.633700       0.449751       0.000709
       0.635700       0.454040       0.000812
       0.637700       0.455164       0.000666
       0.639700       0.459515       0.000638
       0.641700       0.460787       0.000781
       0.643700       0.464827       0.000756
       0.645700       0.466968       0.000804
       0.647700       0.469562       0.000936
       0.649700       0.472930       0.000916
       0.651700       0.474697       0.000611
       0.653700       0.478247       0.000615
       0.655700       0.481514       0.000614
       0.657700       0.484481       0.000608
       0.659700       0.487222       0.000597
       0.661700       0.490924       0.000881
       0.663700       0.494349       0.000653
       0.665700       0.497881       0.000541
       0.667700       0.501095       0.000745
       0.670200       0.505174       0.000710
       0.673200       0.508707       0.000865
       0.676200       0.514805       0.000697
       0.679200       0.518350       0.000645
       0.682200       0.523507       0.000743
       0.685200       0.526603       0.000881
       0.688200       0.531352       0.000909
       0.691200       0.532943       0.000913
       0.694200       0.536205       0.000949
       0.697200       0.537085       0.000944
       0.700200       0.538701       0.000783
       0.702000       0.539666       0.000706
       0.704000       0.539789       0.000941
       0.706000       0.540769       0.000730
       0.708000       0.539812       0.000804
       0.710000       0.539989       0.000876
       0.712000       0.538522       0.000938
       0.714000       0.536935       0.000783
       0.716000       0.536065       0.000553
       0.718000       0.534051       0.000610
       0.720000       0.532124       0.000512
       0.722000       0.529388       0.000601
       0.724000       0.528026       0.000882
       0.726000       0.524871       0.000601
       0.728000       0.522693       0.000757
       0.730000       0.519475       0.000582
       0.732000       0.516023       0.000549
       0.734000       0.512628       0.000715
       0.736000       0.508997       0.000715
       0.738000       0.505430       0.000638
       0.740000       0.501292       0.000914
       0.742000       0.498517       0.000653
       0.744000       0.492055       0.000922
       0.746000       0.489472       0.000743
       0.748000       0.485033       0.000627
       0.750500       0.479607       0.000861
       0.753500       0.472882       0.000706
       0.756500       0.467758       0.000713
       0.759500       0.460848       0.000577
       0.762500       0.454096       0.000665
       0.765500       0.446536       0.000925
       0.768500       0.438723       0.000722
       0.771500       0.433235       0.000932
       0.774500       0.426547       0.000849
       0.777500       0.420556       0.000616
       0.781000       0.413231       0.000550
       0.785000       0.405558       0.000596
       0.789000       0.396357       0.000799
       0.793000       0.389072       0.000682
       0.797000       0.381396       0.000630
       0.801500       0.373674       0.000569
       0.806500       0.364597       0.000640
       0.811500       0.356493       0.000843
       0.816500       0.348729       0.000957
       0.822000       0.340621       0.000842
       0.828000       0.333234       0.000761
       0.835000       0.324795       0.000798
       0.843000       0.315071       0.000710
       0.851000       0.306610       0.001044
       0.859000       0.300203       0.000995
       0.871000       0.290357       0.000984
       0.883000       0.286311       0.000996
       0.894000       0.281697       0.000916
       0.904000       0.278586       0.000996
       0.914000       0.276867       0.000686
       0.924000       0.278307       0.000983
       0.933000       0.279096       0.000975
       0.941000       0.282177       0.000574
       0.949000       0.284350       0.000995
       0.957000       0.288186       0.000993
       0.964000       0.294008       0.000916
       0.970000       0.298901       0.000888
       0.976000       0.302639       0.000969
       0.982000       0.307185       0.000851
       0.988000       0.312191       0.000988
       0.994000       0.316173       0.000782
       1.000000       0.321338       0.000773
       1.006000       0.330343       0.000858
       1.012000       0.333557       0.000869
       1.018000       0.339936       0.000974
       1.023500       0.346688       0.000950
       1.028500       0.353218       0.000912
       1.033500       0.360868       0.000832
       1.038500       0.364708       0.000881
       1.043500       0.373075       0.000828
       1.048500       0.378649       0.000781
       1.053500       0.384094       0.000937
       1.058500       0.388607       0.000970
       1.063500       0.396058       0.000860
       1.068500       0.399965       0.000908
       1.073500       0.405488       0.000972
       1.078500       0.412619       0.000752
       1.083500       0.416899       0.000802
       1.088500       0.422992       0.000982
       1.093500       0.427959       0.000873
       1.098500       0.435260       0.000611
       1.103500       0.437013       0.000791
       1.108500       0.444596       0.000922
       1.113500       0.447402       0.000660
       1.118500       0.452887       0.000702
       1.123500       0.457157       0.000747
       1.128500       0.462986       0.000826
       1.133500       0.467200       0.000757
       1.138500       0.472476       0.000663
       1.143500       0.476544       0.000976
       1.148500       0.480373       0.000815
       1.153500       0.485898       0.000993
       1.158500       0.490964       0.000789
       1.163500       0.494646       0.000745
       1.168500       0.498213       0.000870
       1.173500       0.504546       0.000873
       1.178500       0.507784       0.000762
       1.183500       0.515837       0.000978
       1.188500       0.520010       0.000972
       1.193500       0.524182       0.000953
       1.198500       0.529208       0.000691
       1.203500       0.533888       0.000772
       1.208500       0.538933       0.001003
       1.213500       0.545423       0.000798
       1.218500       0.550196       0.000804
       1.223500       0.555772       0.000872
       1.228500       0.562044       0.000999
       1.233500       0.566239       0.000643
       1.238500       0.573024       0.000948
       1.243500       0.578014       0.000851
       1.248500       0.583918       0.000982
       1.253500       0.590488       0.000641
       1.258500       0.594434       0.000763
       1.263500       0.599238       0.000787
       1.268500       0.605071       0.000946
       1.273500       0.610322       0.000799
       1.278500       0.615558       0.000719
       1.283500       0.621907       0.000942
       1.288500       0.628516       0.000742
       1.293500       0.631989       0.000657
       1.298500       0.639389       0.000777
       1.303500       0.643105       0.000650
       1.308500       0.649319       0.000859
       1.313500       0.653443       0.000683
       1.318500       0.658182       0.000745
       1.323500       0.664814       0.000770
       1.328500       0.669124       0.000602
       1.333500       0.674352       0.000746
       1.338500       0.677571       0.000655
       1.343500       0.681848       0.000937
       1.348500       0.684543       0.000865
       1.353500       0.688175       0.000864
       1.358500       0.692426       0.001007
       1.363500       0.694753       0.000717
       1.368500       0.696527       0.000990
       1.373500       0.701193       0.000917
       1.378500       0.703900       0.000999
       1.383500       0.702038       0.000993
       1.388500       0.705173       0.000915
       1.393500       0.704145       0.001001
       1.398500       0.701796       0.001010
       1.403500       0.700095       0.000984
       1.408500       0.693997       0.000943
       1.413500       0.687462       0.000974
       1.418500       0.678400       0.000924
       1.423500       0.669565       0.000876
       1.428500       0.659661       0.000980
       1.433500       0.649835       0.000994
       1.438500       0.642121       0.000991
       1.443500       0.633710       0.000966
       1.448500       0.624734       0.000983
       1.453500       0.608759       0.001010
       1.458500       0.593820       0.000996
       1.463500       0.575727       0.000950
       1.468500       0.562414       0.000988
       1.473500       0.562581       0.000746
       1.478500       0.572746       0.000870
       1.483500       0.576941       0.000989
       1.488500       0.578549       0.000997
       1.493500       0.580045       0.000801
       1.498500       0.583603       0.001012
       1.503500       0.583175       0.000906
       1.508500       0.589578       0.001001
       1.513500       0.590310       0.001012
       1.518500       0.591705       0.001013
       1.523500       0.596235       0.000994
       1.528500       0.599267       0.000992
       1.534000       0.603018       0.000973
       1.540000       0.608556       0.000831
       1.546000       0.614262       0.000967
       1.552000       0.617305       0.000669
       1.558000       0.622619       0.000992
       1.564000       0.624178       0.000964
       1.570500       0.627849       0.000652
       1.577500       0.629780       0.000506
       1.584500       0.633473       0.000610
       1.591500       0.635511       0.000585
       1.598500       0.639162       0.000616
       1.605500       0.637821       0.000657
       1.612500       0.639283       0.000825
       1.619500       0.640449       0.000917
       1.626500       0.640164       0.000694
       1.633500       0.641542       0.000656
       1.640500       0.641315       0.000713
       1.647500       0.641820       0.000984
       1.654500       0.640180       0.001006
       1.661500       0.639319       0.000799
       1.668500       0.639307       0.000948
       1.676000       0.639463       0.000861
       1.684000       0.637798       0.001013
       1.692000       0.638772       0.001015
       1.700000       0.638813       0.001008
       1.708000       0.637258       0.001013
       1.716000       0.634789       0.000709
       1.724000       0.633718       0.001018
       1.732000       0.631206       0.001012
       1.740000       0.629556       0.001013
       1.748000       0.628096       0.001010
       1.756000       0.626495       0.001010
       1.764000       0.622392       0.001013
       1.772000       0.618562       0.001011
       1.780000       0.616729       0.001004
       1.788000       0.617628       0.001009
       1.796000       0.612520       0.000820
       1.805000       0.606916       0.000979
       1.815000       0.600417       0.000772
       1.825000       0.591114       0.000726
       1.835000       0.569824       0.001006
       1.845000       0.539244       0.000999
       1.855000       0.531908       0.000998
       1.865000       0.545187       0.000987
       1.875000       0.569802       0.000986
       1.885000       0.571977       0.000772
       1.895000       0.552446       0.000864
       1.905000       0.520218       0.001007
       1.915000       0.483142       0.000986
       1.925000       0.449528       0.000970
       1.935000       0.426483       0.000968
       1.945000       0.415156       0.001002
       1.955000       0.407585       0.000985
       1.965000       0.397293       0.000991
       1.975000       0.395232       0.000979
       1.985000       0.396404       0.000988
       1.995000       0.401679       0.000822
       2.005000       0.406408       0.000983
       2.015000       0.410694       0.000978
       2.025000       0.414896       0.000990
       2.035000       0.417025       0.000992
       2.045000       0.420412       0.000981
       2.055000       0.423941       0.000992
       2.065000       0.429101       0.000979
       2.075000       0.430104       0.000992
       2.085000       0.435669       0.000979
       2.095000       0.439558       0.000989
       2.105000       0.446290       0.000980
       2.115000       0.448431       0.000982
       2.125000       0.449495       0.000984
       2.135000       0.449064       0.000985
       2.145000       0.447244       0.000983
       2.155000       0.442194       0.000990
       2.165000       0.440303       0.000977
       2.175000       0.434857       0.000988
       2.185000       0.425380       0.000986
       2.195000       0.413940       0.000992
       2.205000       0.407869       0.000996
       2.215000       0.401611       0.000997
       2.225000       0.398752       0.000999
       2.235000       0.391676       0.000998
       2.245000       0.374217       0.001009
       2.255000       0.346958       0.001006
       2.265000       0.331375       0.001052
       2.275000       0.337733       0.001204
       2.285000       0.359025       0.001628
       2.295000       0.378913       0.002273
       2.305000       0.398061       0.002177
       2.315000       0.415094       0.001514
       2.325000       0.419316       0.001032
       2.335000       0.416888       0.000990
       2.345000       0.410889       0.000978
