USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolinite KL502 (pxl)        W1R1Bb AREF
copy of splib05a r 4028                                     
       0.205100      -1.23e34        0.010981
       0.213100       0.159381       0.002353
       0.221100       0.161546       0.001787
       0.229100       0.157350       0.001645
       0.236100       0.150568       0.001320
       0.242100       0.144240       0.000983
       0.248100       0.141435       0.000835
       0.253600       0.142319       0.000644
       0.258600       0.145312       0.000562
       0.263600       0.153380       0.000913
       0.268600       0.167838       0.000813
       0.273100       0.186148       0.000515
       0.277100       0.205007       0.000867
       0.281100       0.229241       0.000758
       0.285100       0.253889       0.000687
       0.289100       0.279487       0.000690
       0.293100       0.305485       0.001545
       0.297100       0.329478       0.000951
       0.301100       0.347765       0.000766
       0.305100       0.365116       0.000881
       0.309100       0.379508       0.000659
       0.313100       0.390336       0.000481
       0.317100       0.400493       0.000752
       0.321100       0.408603       0.001310
       0.325100       0.414270       0.000793
       0.329100       0.422243       0.000726
       0.333100       0.426438       0.000662
       0.337100       0.431503       0.000576
       0.341100       0.435939       0.000477
       0.345100       0.439796       0.000671
       0.349100       0.442687       0.000540
       0.353100       0.446651       0.000473
       0.357100       0.450691       0.000613
       0.360600       0.452322       0.000641
       0.363600       0.455145       0.000556
       0.366600       0.456012       0.000514
       0.369600       0.458385       0.000533
       0.372600       0.460097       0.000582
       0.375600       0.463192       0.000587
       0.378600       0.467072       0.000549
       0.381100       0.470703       0.000646
       0.383100       0.471779       0.000977
       0.385100       0.474962       0.000568
       0.387100       0.476795       0.000632
       0.389100       0.479490       0.000519
       0.391100       0.481227       0.000556
       0.393100       0.483034       0.000900
       0.395100       0.484295       0.000541
       0.397100       0.486430       0.000553
       0.399100       0.488623       0.000780
       0.401100       0.491432       0.000492
       0.403100       0.493005       0.000662
       0.405100       0.493813       0.001244
       0.407100       0.494072       0.000656
       0.409100       0.495732       0.000739
       0.411100       0.499145       0.000763
       0.412800       0.500814       0.000541
       0.415800       0.501911       0.000552
       0.418800       0.504059       0.000630
       0.421800       0.506111       0.000596
       0.424800       0.507070       0.000626
       0.427800       0.509012       0.000637
       0.430800       0.511689       0.001830
       0.433800       0.512186       0.000526
       0.436800       0.516140       0.000551
       0.439800       0.517932       0.000570
       0.442800       0.520527       0.000898
       0.445800       0.522260       0.000595
       0.448800       0.524897       0.001331
       0.451300       0.528075       0.000767
       0.453300       0.527735       0.000780
       0.455300       0.528545       0.001303
       0.457300       0.530261       0.000959
       0.459300       0.529998       0.000891
       0.461300       0.531375       0.000720
       0.463300       0.532006       0.001196
       0.465300       0.532192       0.000755
       0.467300       0.533966       0.000709
       0.469300       0.535356       0.000711
       0.471300       0.534304       0.000859
       0.473300       0.536399       0.000697
       0.475300       0.536207       0.000672
       0.477300       0.536580       0.001165
       0.479300       0.537237       0.000678
       0.481300       0.537944       0.000894
       0.483300       0.540246       0.001446
       0.485300       0.540274       0.000736
       0.487300       0.540479       0.001204
       0.489300       0.542293       0.000718
       0.491300       0.543977       0.000669
       0.493300       0.544664       0.000782
       0.495300       0.545558       0.000909
       0.497300       0.547131       0.000779
       0.499300       0.548426       0.000717
       0.501300       0.549146       0.000929
       0.503300       0.551108       0.000792
       0.505300       0.552842       0.000664
       0.507300       0.553368       0.000585
       0.509300       0.555970       0.000794
       0.511300       0.558436       0.000629
       0.513300       0.558333       0.000716
       0.515300       0.560508       0.000688
       0.517300       0.560253       0.000767
       0.519300       0.562053       0.000665
       0.521300       0.565389       0.000685
       0.523300       0.565379       0.000702
       0.525300       0.568553       0.000804
       0.527300       0.568011       0.000807
       0.529300       0.569132       0.001347
       0.531300       0.571339       0.000825
       0.533300       0.572381       0.001151
       0.535300       0.575473       0.000884
       0.537300       0.576041       0.000877
       0.539300       0.577782       0.001272
       0.541300       0.578739       0.000733
       0.543300       0.580719       0.000670
       0.545300       0.581849       0.000824
       0.547300       0.583659       0.000735
       0.549300       0.584659       0.001259
       0.551300       0.587184       0.000789
       0.553300       0.589117       0.000790
       0.555300       0.590972       0.000721
       0.557300       0.591286       0.001167
       0.559300       0.592179       0.001132
       0.561300       0.597557       0.000724
       0.563300       0.599491       0.000773
       0.565300       0.599609       0.000641
       0.567300       0.601005       0.000628
       0.569300       0.602122       0.000738
       0.571300       0.603661       0.000796
       0.573300       0.605355       0.000796
       0.575300       0.606006       0.000886
       0.577300       0.605819       0.000536
       0.579300       0.607824       0.000516
       0.581300       0.608146       0.000632
       0.583300       0.610146       0.000553
       0.585300       0.611224       0.000546
       0.587300       0.612531       0.000696
       0.589300       0.612806       0.000533
       0.591300       0.613420       0.000623
       0.593300       0.614239       0.000565
       0.595300       0.614690       0.000543
       0.597300       0.615093       0.000478
       0.599300       0.615945       0.000799
       0.601100       0.616939       0.000601
       0.602700       0.617790       0.000638
       0.604300       0.617923       0.000662
       0.605900       0.618206       0.000641
       0.607500       0.618207       0.000550
       0.609100       0.619223       0.000502
       0.610700       0.620315       0.000875
       0.612300       0.618548       0.000870
       0.613900       0.620082       0.000829
       0.615500       0.620273       0.000855
       0.617100       0.618961       0.001094
       0.618700       0.619381       0.001547
       0.620300       0.620456       0.000863
       0.621900       0.620831       0.000786
       0.623500       0.621056       0.000982
       0.625100       0.619800       0.000924
       0.626700       0.622531       0.000840
       0.628300       0.621809       0.000923
       0.629900       0.622014       0.001438
       0.631700       0.621056       0.000915
       0.633700       0.622523       0.000882
       0.635700       0.624065       0.000716
       0.637700       0.622595       0.000930
       0.639700       0.624036       0.000855
       0.641700       0.623495       0.000505
       0.643700       0.623737       0.000503
       0.645700       0.623832       0.000654
       0.647700       0.624899       0.000506
       0.649700       0.625151       0.000505
       0.651700       0.625744       0.000668
       0.653700       0.626727       0.000561
       0.655700       0.627503       0.001072
       0.657700       0.626957       0.000613
       0.659700       0.627116       0.000630
       0.661700       0.629452       0.000687
       0.663700       0.628668       0.000745
       0.665700       0.628887       0.000710
       0.667700       0.629238       0.000661
       0.670200       0.629320       0.000723
       0.673200       0.629958       0.000495
       0.676200       0.631015       0.000471
       0.679200       0.632433       0.000550
       0.682200       0.632399       0.000658
       0.685200       0.634033       0.000542
       0.688200       0.634736       0.000583
       0.691200       0.635189       0.000610
       0.694200       0.637030       0.000871
       0.697200       0.637473       0.001521
       0.700200       0.636994       0.000601
       0.702000       0.638628       0.000514
       0.704000       0.638070       0.000475
       0.706000       0.639169       0.000875
       0.708000       0.639781       0.000542
       0.710000       0.640289       0.001002
       0.712000       0.640732       0.000606
       0.714000       0.641321       0.000746
       0.716000       0.642417       0.000631
       0.718000       0.641544       0.000531
       0.720000       0.642251       0.000610
       0.722000       0.643462       0.000666
       0.724000       0.642878       0.000839
       0.726000       0.644030       0.000678
       0.728000       0.644306       0.000614
       0.730000       0.643802       0.000726
       0.732000       0.644952       0.000868
       0.734000       0.643946       0.000935
       0.736000       0.646265       0.000729
       0.738000       0.646554       0.000714
       0.740000       0.647333       0.000860
       0.742000       0.645512       0.001059
       0.744000       0.648007       0.000889
       0.746000       0.646326       0.000936
       0.748000       0.647809       0.000756
       0.750500       0.647493       0.000660
       0.753500       0.647272       0.000573
       0.756500       0.648937       0.000673
       0.759500       0.648735       0.000622
       0.762500       0.648374       0.000698
       0.765500       0.649378       0.000661
       0.768500       0.648620       0.000745
       0.771500       0.649797       0.000658
       0.774500       0.650729       0.000838
       0.777500       0.649505       0.000712
       0.781000       0.651033       0.000619
       0.785000       0.650272       0.000825
       0.789000       0.649808       0.001235
       0.793000       0.651053       0.000797
       0.797000       0.650117       0.000821
       0.801500       0.650155       0.000625
       0.806500       0.649385       0.000752
       0.811500       0.650811       0.000764
       0.816500       0.649465       0.000862
       0.822000       0.649538       0.000819
       0.828000       0.648815       0.001141
       0.835000       0.647796       0.000869
       0.843000       0.649988       0.001103
       0.851000       0.648963       0.001934
       0.859000       0.646497       0.001557
       0.871000       0.645503       0.000904
       0.883000       0.640422       0.001070
       0.894000       0.644764       0.000874
       0.904000       0.642155       0.001096
       0.914000       0.641895       0.000942
       0.924000       0.639513       0.000813
       0.933000       0.640548       0.000862
       0.941000       0.638246       0.000966
       0.949000       0.632751       0.000843
       0.957000       0.633331       0.000861
       0.964000       0.633691       0.000785
       0.970000       0.632600       0.001056
       0.976000       0.640329       0.001365
       0.982000       0.637871       0.000848
       0.988000       0.639352       0.001019
       0.994000       0.639599       0.000720
       1.000000       0.641397       0.001045
       1.006000       0.639468       0.000733
       1.012000       0.639909       0.000630
       1.018000       0.637971       0.000645
       1.023500       0.643999       0.001079
       1.028500       0.640917       0.001006
       1.033500       0.641302       0.000804
       1.038500       0.642076       0.000905
       1.043500       0.641260       0.000863
       1.048500       0.640385       0.000785
       1.053500       0.642410       0.000919
       1.058500       0.642658       0.000884
       1.063500       0.642271       0.000730
       1.068500       0.641778       0.000721
       1.073500       0.641744       0.000772
       1.078500       0.643306       0.000733
       1.083500       0.642937       0.001113
       1.088500       0.642671       0.000950
       1.093500       0.644530       0.000854
       1.098500       0.642741       0.000997
       1.103500       0.643596       0.001486
       1.108500       0.645674       0.000644
       1.113500       0.642951       0.000770
       1.118500       0.644766       0.000744
       1.123500       0.642823       0.001144
       1.128500       0.644029       0.000676
       1.133500       0.644576       0.000948
       1.138500       0.643041       0.000803
       1.143500       0.642824       0.001089
       1.148500       0.642972       0.000859
       1.153500       0.643022       0.000702
       1.158500       0.641443       0.000762
       1.163500       0.643144       0.001157
       1.168500       0.641670       0.000816
       1.173500       0.642172       0.001018
       1.178500       0.641334       0.000828
       1.183500       0.644015       0.000845
       1.188500       0.644035       0.001487
       1.193500       0.644786       0.000861
       1.198500       0.641238       0.000861
       1.203500       0.641527       0.000766
       1.208500       0.641699       0.000628
       1.213500       0.640933       0.000736
       1.218500       0.642089       0.001225
       1.223500       0.640902       0.000758
       1.228500       0.638484       0.001222
       1.233500       0.636805       0.000740
       1.238500       0.635242       0.000968
       1.243500       0.635871       0.000905
       1.248500       0.635561       0.001165
       1.253500       0.636815       0.000867
       1.258500       0.637500       0.000750
       1.263500       0.637744       0.000950
       1.268500       0.637444       0.000747
       1.273500       0.636472       0.000788
       1.278500       0.635062       0.001074
       1.283500       0.632880       0.000732
       1.288500       0.628185       0.000707
       1.293500       0.624805       0.000757
       1.298500       0.620774       0.000536
       1.303500       0.619825       0.000560
       1.308500       0.615243       0.000666
       1.313500       0.612828       0.000468
       1.318500       0.611586       0.000755
       1.323500       0.609085       0.000619
       1.328500       0.608102       0.000664
       1.333500       0.604341       0.000684
       1.338500       0.603928       0.000759
       1.343500       0.599814       0.000566
       1.348500       0.594728       0.000723
       1.353500       0.579722       0.001076
       1.358500       0.569434       0.000874
       1.363500       0.562322       0.001077
       1.368500       0.559250       0.000971
       1.373500       0.548426       0.000672
       1.378500       0.525778       0.000990
       1.383500       0.490862       0.001019
       1.388500       0.457148       0.000791
       1.393500       0.435656       0.001176
       1.398500       0.441137       0.000826
       1.403500       0.455985       0.001015
       1.408500       0.459608       0.000749
       1.413500       0.410835       0.000878
       1.418500       0.444156       0.000944
       1.423500       0.523542       0.000695
       1.428500       0.547564       0.000802
       1.433500       0.559200       0.000738
       1.438500       0.568691       0.000538
       1.443500       0.577282       0.000828
       1.448500       0.584034       0.000726
       1.453500       0.588148       0.000794
       1.458500       0.590740       0.000645
       1.463500       0.591838       0.000798
       1.468500       0.593582       0.000901
       1.473500       0.597074       0.000825
       1.478500       0.599146       0.000877
       1.483500       0.601520       0.000929
       1.488500       0.604401       0.000768
       1.493500       0.606038       0.000552
       1.498500       0.610268       0.001155
       1.503500       0.610893       0.000803
       1.508500       0.611350       0.000568
       1.513500       0.613851       0.001194
       1.518500       0.614910       0.001053
       1.523500       0.617120       0.001288
       1.528500       0.618652       0.000925
       1.534000       0.615901       0.000990
       1.540000       0.617143       0.000850
       1.546000       0.618503       0.000920
       1.552000       0.618133       0.000948
       1.558000       0.618839       0.000860
       1.564000       0.617936       0.000950
       1.570500       0.618369       0.000597
       1.577500       0.619615       0.000675
       1.584500       0.619343       0.000678
       1.591500       0.619913       0.000595
       1.598500       0.620271       0.000603
       1.605500       0.620477       0.000603
       1.612500       0.618429       0.000487
       1.619500       0.620220       0.000618
       1.626500       0.620109       0.000599
       1.633500       0.620165       0.000599
       1.640500       0.618251       0.000708
       1.647500       0.619917       0.000819
       1.654500       0.620542       0.000912
       1.661500       0.619121       0.000592
       1.668500       0.617809       0.000791
       1.676000       0.616849       0.000741
       1.684000       0.614799       0.001333
       1.692000       0.619997       0.001522
       1.700000       0.620493       0.000737
       1.708000       0.620567       0.001154
       1.716000       0.614202       0.000911
       1.724000       0.611998       0.000919
       1.732000       0.609252       0.001296
       1.740000       0.611342       0.001269
       1.748000       0.612061       0.001090
       1.756000       0.608261       0.001231
       1.764000       0.603891       0.001019
       1.772000       0.598204       0.001067
       1.780000       0.595897       0.001190
       1.788000       0.593790       0.000851
       1.796000       0.589840       0.001449
       1.805000       0.585172       0.000728
       1.815000       0.581857       0.000663
       1.825000       0.578796       0.000742
       1.835000       0.580886       0.000759
       1.845000       0.580385       0.000822
       1.855000       0.582139       0.000768
       1.865000       0.576742       0.000586
       1.875000       0.560014       0.000868
       1.885000       0.532484       0.000896
       1.895000       0.496425       0.000869
       1.905000       0.447047       0.000778
       1.915000       0.423338       0.000657
       1.925000       0.443809       0.000799
       1.935000       0.464887       0.000770
       1.945000       0.473364       0.000703
       1.955000       0.481873       0.000766
       1.965000       0.488081       0.000778
       1.975000       0.494922       0.000884
       1.985000       0.499684       0.001053
       1.995000       0.505647       0.000720
       2.005000       0.506488       0.001109
       2.015000       0.512088       0.000822
       2.025000       0.515832       0.001395
       2.035000       0.516061       0.000874
       2.045000       0.515215       0.000935
       2.055000       0.513170       0.001021
       2.065000       0.509054       0.000730
       2.075000       0.500406       0.001508
       2.085000       0.492362       0.001362
       2.095000       0.486119       0.001221
       2.105000       0.478668       0.001347
       2.115000       0.461359       0.001216
       2.125000       0.452013       0.001493
       2.135000       0.437411       0.001841
       2.145000       0.391237       0.001368
       2.155000       0.332307       0.001065
       2.165000       0.319024       0.001185
       2.175000       0.320440       0.001060
       2.185000       0.314949       0.000745
       2.195000       0.293552       0.001838
       2.205000       0.239259       0.001388
       2.215000       0.258005       0.001924
       2.225000       0.351525       0.001872
       2.235000       0.375365       0.001896
       2.245000       0.381758       0.001911
       2.255000       0.389999       0.001916
       2.265000       0.386738       0.001945
       2.275000       0.377165       0.001946
       2.285000       0.364053       0.002038
       2.295000       0.353717       0.002387
       2.305000       0.332689       0.002164
       2.315000       0.317967       0.001978
       2.325000       0.314783       0.001890
       2.335000       0.310177       0.001829
       2.345000       0.303315       0.001345
