USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lazurite HS418.3B            W1R1Bb AREF
copy of splib05a r 4087                                     
       0.205100      -1.23e34        0.051239
       0.213100      -1.23e34        0.007655
       0.221100      -1.23e34        0.002379
       0.229100      -1.23e34        0.001307
       0.236100      -1.23e34        0.001199
       0.242100       0.117368       0.001144
       0.248100       0.121897       0.001084
       0.253600       0.126735       0.001047
       0.258600       0.128687       0.001051
       0.263600       0.130609       0.001045
       0.268600       0.130633       0.001069
       0.273100       0.132223       0.001093
       0.277100       0.135433       0.001117
       0.281100       0.137530       0.001144
       0.285100       0.139702       0.001192
       0.289100       0.143264       0.001232
       0.293100       0.147888       0.001196
       0.297100       0.151786       0.001330
       0.301100       0.155727       0.001137
       0.305100       0.159871       0.001351
       0.309100       0.170638       0.001440
       0.313100       0.176986       0.001453
       0.317100       0.184198       0.001071
       0.321100       0.188080       0.000952
       0.325100       0.194632       0.001518
       0.329100       0.198828       0.001512
       0.333100       0.204243       0.001543
       0.337100       0.204069       0.001491
       0.341100       0.207906       0.001536
       0.345100       0.209871       0.001532
       0.349100       0.217551       0.001059
       0.353100       0.217685       0.001492
       0.357100       0.217353       0.001500
       0.360600       0.223567       0.001517
       0.363600       0.224715       0.001473
       0.366600       0.226840       0.001510
       0.369600       0.231123       0.001486
       0.372600       0.235098       0.001494
       0.375600       0.236739       0.000919
       0.378600       0.242902       0.001531
       0.381100       0.245504       0.001493
       0.383100       0.248875       0.001537
       0.385100       0.249138       0.001511
       0.387100       0.252019       0.001214
       0.389100       0.257114       0.001536
       0.391100       0.260420       0.001532
       0.393100       0.259918       0.001341
       0.395100       0.264644       0.001100
       0.397100       0.264105       0.001150
       0.399100       0.272273       0.000952
       0.401100       0.272685       0.001175
       0.403100       0.278584       0.001520
       0.405100       0.280288       0.000994
       0.407100       0.284110       0.000961
       0.409100       0.289649       0.000754
       0.411100       0.293359       0.001521
       0.412800       0.297699       0.000867
       0.415800       0.302056       0.000823
       0.418800       0.309855       0.001277
       0.421800       0.317301       0.001578
       0.424800       0.324970       0.001336
       0.427800       0.334144       0.001551
       0.430800       0.338562       0.000823
       0.433800       0.346453       0.001544
       0.436800       0.355978       0.001213
       0.439800       0.363952       0.001594
       0.442800       0.367848       0.001277
       0.445800       0.377666       0.001254
       0.448800       0.380829       0.001034
       0.451300       0.385359       0.001601
       0.453300       0.387102       0.001473
       0.455300       0.390133       0.001593
       0.457300       0.391677       0.001563
       0.459300       0.393948       0.001584
       0.461300       0.391676       0.001575
       0.463300       0.392987       0.001442
       0.465300       0.390725       0.001537
       0.467300       0.391540       0.001605
       0.469300       0.388700       0.001594
       0.471300       0.388010       0.001339
       0.473300       0.382460       0.001614
       0.475300       0.379595       0.001487
       0.477300       0.376963       0.001469
       0.479300       0.371385       0.001380
       0.481300       0.365049       0.001211
       0.483300       0.361007       0.001593
       0.485300       0.353530       0.001612
       0.487300       0.347831       0.001344
       0.489300       0.343431       0.001610
       0.491300       0.331937       0.001313
       0.493300       0.327177       0.001592
       0.495300       0.318916       0.001600
       0.497300       0.310344       0.001023
       0.499300       0.303009       0.001554
       0.501300       0.295184       0.001576
       0.503300       0.285539       0.001582
       0.505300       0.280756       0.001312
       0.507300       0.274080       0.001280
       0.509300       0.266440       0.001602
       0.511300       0.256618       0.000877
       0.513300       0.250448       0.001554
       0.515300       0.245158       0.001534
       0.517300       0.239656       0.000889
       0.519300       0.233671       0.001558
       0.521300       0.227579       0.001588
       0.523300       0.219460       0.001563
       0.525300       0.217956       0.001601
       0.527300       0.209884       0.001016
       0.529300       0.207807       0.001550
       0.531300       0.202098       0.001562
       0.533300       0.198212       0.001590
       0.535300       0.195161       0.001572
       0.537300       0.193642       0.001534
       0.539300       0.188493       0.001537
       0.541300       0.186073       0.001581
       0.543300       0.182105       0.001519
       0.545300       0.179359       0.000978
       0.547300       0.178535       0.001407
       0.549300       0.173070       0.001583
       0.551300       0.172653       0.001526
       0.553300       0.168392       0.001512
       0.555300       0.166050       0.000828
       0.557300       0.165472       0.001527
       0.559300       0.164194       0.001535
       0.561300       0.160489       0.001313
       0.563300       0.161306       0.001589
       0.565300       0.158752       0.001528
       0.567300       0.159872       0.001595
       0.569300       0.155690       0.001206
       0.571300       0.155056       0.001588
       0.573300       0.156502       0.001576
       0.575300       0.153418       0.001112
       0.577300       0.152416       0.001312
       0.579300       0.152508       0.001490
       0.581300       0.150667       0.001546
       0.583300       0.149046       0.001394
       0.585300       0.149659       0.001052
       0.587300       0.149738       0.001553
       0.589300       0.147277       0.001185
       0.591300       0.148783       0.001588
       0.593300       0.147075       0.000881
       0.595300       0.149018       0.001582
       0.597300       0.148326       0.001551
       0.599300       0.149238       0.001220
       0.601100       0.146666       0.001566
       0.602700       0.150453       0.001579
       0.604300       0.146570       0.001543
       0.605900       0.148935       0.000821
       0.607500       0.147444       0.001542
       0.609100       0.149147       0.001540
       0.610700       0.149445       0.001547
       0.612300       0.147681       0.001086
       0.613900       0.146184       0.001396
       0.615500       0.151060       0.001588
       0.617100       0.149064       0.001566
       0.618700       0.151578       0.000909
       0.620300       0.150735       0.000996
       0.621900       0.150545       0.000743
       0.623500       0.151940       0.001555
       0.625100       0.152555       0.001308
       0.626700       0.151676       0.001227
       0.628300       0.149933       0.001535
       0.629900       0.154536       0.001423
       0.631700       0.155974       0.001470
       0.633700       0.156693       0.001509
       0.635700       0.155774       0.001291
       0.637700       0.158353       0.001582
       0.639700       0.158825       0.001236
       0.641700       0.159106       0.000827
       0.643700       0.164018       0.001210
       0.645700       0.163241       0.001546
       0.647700       0.162717       0.001551
       0.649700       0.167260       0.001566
       0.651700       0.167971       0.000674
       0.653700       0.170376       0.000976
       0.655700       0.173452       0.001298
       0.657700       0.173979       0.001238
       0.659700       0.176639       0.000686
       0.661700       0.180189       0.001033
       0.663700       0.182443       0.001520
       0.665700       0.185193       0.000741
       0.667700       0.188196       0.001267
       0.670200       0.192157       0.000792
       0.673200       0.197118       0.000996
       0.676200       0.203591       0.001554
       0.679200       0.208841       0.000879
       0.682200       0.216945       0.001224
       0.685200       0.222571       0.001038
       0.688200       0.230222       0.000831
       0.691200       0.238736       0.000733
       0.694200       0.248518       0.001471
       0.697200       0.257122       0.001047
       0.700200       0.265127       0.001577
       0.702000       0.274055       0.001562
       0.704000       0.278013       0.000997
       0.706000       0.286709       0.001607
       0.708000       0.295384       0.001283
       0.710000       0.303527       0.001285
       0.712000       0.309074       0.000765
       0.714000       0.316610       0.001472
       0.716000       0.323364       0.001056
       0.718000       0.330813       0.000811
       0.720000       0.339375       0.001157
       0.722000       0.345739       0.000607
       0.724000       0.351858       0.001395
       0.726000       0.362120       0.001296
       0.728000       0.367530       0.001606
       0.730000       0.373858       0.001056
       0.732000       0.380812       0.000871
       0.734000       0.388175       0.001037
       0.736000       0.393357       0.001599
       0.738000       0.397787       0.001314
       0.740000       0.404515       0.001446
       0.742000       0.410053       0.001223
       0.744000       0.415685       0.001443
       0.746000       0.418306       0.001008
       0.748000       0.423325       0.001638
       0.750500       0.427234       0.001050
       0.753500       0.434845       0.001608
       0.756500       0.442551       0.001139
       0.759500       0.446020       0.001540
       0.762500       0.450314       0.001626
       0.765500       0.452680       0.001359
       0.768500       0.457000       0.001467
       0.771500       0.460617       0.001497
       0.774500       0.462745       0.001611
       0.777500       0.468011       0.000900
       0.781000       0.471337       0.001322
       0.785000       0.473580       0.001432
       0.789000       0.479439       0.001323
       0.793000       0.480648       0.001690
       0.797000       0.484455       0.001249
       0.801500       0.486282       0.000862
       0.806500       0.488168       0.001315
       0.811500       0.492829       0.001283
       0.816500       0.495551       0.000951
       0.822000       0.501187       0.001105
       0.828000       0.506988       0.001472
       0.835000       0.505689       0.000878
       0.843000       0.511289       0.001750
       0.851000       0.527474       0.001872
       0.859000       0.528356       0.001849
       0.871000       0.530556       0.001736
       0.883000       0.533135       0.001863
       0.894000       0.534639       0.001428
       0.904000       0.542188       0.001836
       0.914000       0.548351       0.001763
       0.924000       0.551532       0.001744
       0.933000       0.554561       0.001527
       0.941000       0.556847       0.001800
       0.949000       0.552698       0.001419
       0.957000       0.557376       0.001570
       0.964000       0.558761       0.001789
       0.970000       0.560056       0.001484
       0.976000       0.561537       0.001510
       0.982000       0.562931       0.001822
       0.988000       0.566291       0.001317
       0.994000       0.564581       0.001251
       1.000000       0.565356       0.001783
       1.006000       0.570774       0.001730
       1.012000       0.566466       0.001088
       1.018000       0.573550       0.001774
       1.023500       0.573963       0.001498
       1.028500       0.571025       0.001777
       1.033500       0.575879       0.001839
       1.038500       0.573255       0.001826
       1.043500       0.575447       0.001451
       1.048500       0.576868       0.001433
       1.053500       0.578383       0.001521
       1.058500       0.575127       0.001536
       1.063500       0.576143       0.001544
       1.068500       0.580343       0.001859
       1.073500       0.578677       0.001602
       1.078500       0.579813       0.001785
       1.083500       0.578563       0.001237
       1.088500       0.579277       0.001524
       1.093500       0.582104       0.001231
       1.098500       0.584716       0.001248
       1.103500       0.582842       0.001579
       1.108500       0.583044       0.001392
       1.113500       0.582099       0.001208
       1.118500       0.583263       0.001045
       1.123500       0.583588       0.001397
       1.128500       0.581858       0.001221
       1.133500       0.583682       0.001320
       1.138500       0.584020       0.001138
       1.143500       0.584542       0.001442
       1.148500       0.582416       0.001459
       1.153500       0.584614       0.001281
       1.158500       0.582650       0.001158
       1.163500       0.585292       0.001746
       1.168500       0.585818       0.001785
       1.173500       0.582453       0.001875
       1.178500       0.586302       0.001840
       1.183500       0.586465       0.001297
       1.188500       0.585721       0.001201
       1.193500       0.587265       0.001206
       1.198500       0.582861       0.001402
       1.203500       0.588055       0.001236
       1.208500       0.585668       0.001335
       1.213500       0.588309       0.001271
       1.218500       0.584076       0.001104
       1.223500       0.586126       0.000752
       1.228500       0.586342       0.000856
       1.233500       0.586036       0.001318
       1.238500       0.589783       0.001628
       1.243500       0.589171       0.000941
       1.248500       0.588667       0.001038
       1.253500       0.588565       0.001250
       1.258500       0.590461       0.001164
       1.263500       0.590062       0.001201
       1.268500       0.588660       0.000932
       1.273500       0.591037       0.001110
       1.278500       0.591124       0.001180
       1.283500       0.587615       0.001069
       1.288500       0.593293       0.001439
       1.293500       0.589679       0.000998
       1.298500       0.588435       0.001489
       1.303500       0.591563       0.001547
       1.308500       0.590555       0.001162
       1.313500       0.592664       0.001198
       1.318500       0.588894       0.001336
       1.323500       0.588721       0.001133
       1.328500       0.590239       0.001150
       1.333500       0.587617       0.001408
       1.338500       0.587568       0.001521
       1.343500       0.588171       0.001092
       1.348500       0.588087       0.001313
       1.353500       0.587856       0.001617
       1.358500       0.585890       0.001425
       1.363500       0.585102       0.001922
       1.368500       0.584432       0.001466
       1.373500       0.586228       0.001685
       1.378500       0.581314       0.001616
       1.383500       0.581806       0.001864
       1.388500       0.577948       0.001883
       1.393500       0.572717       0.001912
       1.398500       0.566590       0.001495
       1.403500       0.561664       0.001878
       1.408500       0.554153       0.001556
       1.413500       0.549129       0.001238
       1.418500       0.546908       0.001627
       1.423500       0.543647       0.001411
       1.428500       0.543356       0.001831
       1.433500       0.546273       0.001830
       1.438500       0.541905       0.001392
       1.443500       0.549826       0.001686
       1.448500       0.545029       0.001839
       1.453500       0.544804       0.001222
       1.458500       0.551237       0.001296
       1.463500       0.549637       0.001577
       1.468500       0.549888       0.001651
       1.473500       0.551681       0.001348
       1.478500       0.555160       0.001601
       1.483500       0.558124       0.001617
       1.488500       0.559302       0.001646
       1.493500       0.561839       0.001721
       1.498500       0.563087       0.001248
       1.503500       0.566756       0.001857
       1.508500       0.566225       0.001854
       1.513500       0.567991       0.001941
       1.518500       0.568823       0.001920
       1.523500       0.575505       0.001856
       1.528500       0.567773       0.001473
       1.534000       0.574104       0.001422
       1.540000       0.575639       0.000946
       1.546000       0.572910       0.001367
       1.552000       0.578147       0.001918
       1.558000       0.579815       0.001408
       1.564000       0.577879       0.001157
       1.570500       0.581248       0.001567
       1.577500       0.577515       0.001509
       1.584500       0.576789       0.000865
       1.591500       0.579573       0.001404
       1.598500       0.579741       0.001086
       1.605500       0.577744       0.000953
       1.612500       0.574606       0.000948
       1.619500       0.579321       0.001707
       1.626500       0.576957       0.001730
       1.633500       0.576491       0.001245
       1.640500       0.580462       0.001287
       1.647500       0.576378       0.001370
       1.654500       0.573516       0.001276
       1.661500       0.575826       0.001163
       1.668500       0.578823       0.001152
       1.676000       0.580122       0.001923
       1.684000       0.575167       0.001892
       1.692000       0.576400       0.001926
       1.700000       0.572145       0.001920
       1.708000       0.577168       0.001423
       1.716000       0.574767       0.001852
       1.724000       0.577905       0.001819
       1.732000       0.575877       0.001980
       1.740000       0.571970       0.001949
       1.748000       0.570061       0.001957
       1.756000       0.573592       0.001766
       1.764000       0.568784       0.001912
       1.772000       0.569322       0.001940
       1.780000       0.568181       0.001929
       1.788000       0.564110       0.001892
       1.796000       0.565111       0.001285
       1.805000       0.566170       0.000819
       1.815000       0.566246       0.001198
       1.825000       0.563619       0.001400
       1.835000       0.564098       0.001805
       1.845000       0.563122       0.001914
       1.855000       0.554876       0.001603
       1.865000       0.548712       0.001464
       1.875000       0.535344       0.001652
       1.885000       0.510284       0.001845
       1.895000       0.467792       0.001923
       1.905000       0.418825       0.001887
       1.915000       0.390291       0.001700
       1.925000       0.380624       0.001473
       1.935000       0.377319       0.001730
       1.945000       0.383277       0.001048
       1.955000       0.392410       0.001838
       1.965000       0.401732       0.001408
       1.975000       0.411365       0.001405
       1.985000       0.420055       0.001755
       1.995000       0.433973       0.001389
       2.005000       0.444949       0.001901
       2.015000       0.454782       0.001875
       2.025000       0.459452       0.001667
       2.035000       0.468152       0.001873
       2.045000       0.473117       0.001875
       2.055000       0.476037       0.001852
       2.065000       0.484893       0.001908
       2.075000       0.486659       0.001847
       2.085000       0.492159       0.001885
       2.095000       0.498519       0.001908
       2.105000       0.496648       0.001870
       2.115000       0.507071       0.001908
       2.125000       0.511819       0.001890
       2.135000       0.512295       0.001881
       2.145000       0.518687       0.001676
       2.155000       0.517344       0.001909
       2.165000       0.516115       0.001878
       2.175000       0.520000       0.001891
       2.185000       0.526603       0.001896
       2.195000       0.523782       0.001931
       2.205000       0.520714       0.001923
       2.215000       0.526545       0.001931
       2.225000       0.527354       0.001959
       2.235000       0.528335       0.001969
       2.245000       0.526445       0.001967
       2.255000       0.528744       0.001967
       2.265000       0.526904       0.002033
       2.275000       0.529252       0.002363
       2.285000       0.530582       0.003482
       2.295000       0.520170       0.004657
       2.305000       0.523742       0.004049
       2.315000       0.522216       0.002720
       2.325000       0.511344       0.001929
       2.335000       0.504453       0.001883
       2.345000       0.496605       0.001875
