USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Lepidolite NMNH105543        W1R1Bc AREF
copy of splib05a r 4146                                     
       0.205100      -1.23e34        0.008302
       0.213100       0.047232       0.001898
       0.221100       0.047310       0.001544
       0.229100       0.046444       0.001323
       0.236100       0.044858       0.000856
       0.242100       0.043999       0.001087
       0.248100       0.044112       0.000565
       0.253600       0.044421       0.000509
       0.258600       0.045161       0.000592
       0.263600       0.046296       0.000477
       0.268600       0.048137       0.000927
       0.273100       0.050399       0.000525
       0.277100       0.051862       0.000470
       0.281100       0.054426       0.000668
       0.285100       0.057338       0.000585
       0.289100       0.059718       0.001058
       0.293100       0.063772       0.000660
       0.297100       0.067770       0.000651
       0.301100       0.072963       0.000815
       0.305100       0.078736       0.000772
       0.309100       0.085448       0.000943
       0.313100       0.093236       0.000649
       0.317100       0.100959       0.000753
       0.321100       0.109441       0.000606
       0.325100       0.119200       0.000855
       0.329100       0.129759       0.000943
       0.333100       0.140928       0.000761
       0.337100       0.152807       0.000731
       0.341100       0.164128       0.000628
       0.345100       0.177359       0.000547
       0.349100       0.188149       0.000752
       0.353100       0.201003       0.000748
       0.357100       0.213072       0.000642
       0.360600       0.222780       0.000753
       0.363600       0.230737       0.000825
       0.366600       0.237100       0.000487
       0.369600       0.243448       0.000823
       0.372600       0.250436       0.000491
       0.375600       0.255758       0.000434
       0.378600       0.262163       0.001297
       0.381100       0.265786       0.000629
       0.383100       0.268018       0.000794
       0.385100       0.271253       0.000595
       0.387100       0.272895       0.000756
       0.389100       0.274323       0.000644
       0.391100       0.275352       0.000456
       0.393100       0.275828       0.000729
       0.395100       0.275409       0.000436
       0.397100       0.277387       0.000669
       0.399100       0.274779       0.001283
       0.401100       0.273986       0.000752
       0.403100       0.272681       0.000588
       0.405100       0.271167       0.000528
       0.407100       0.268571       0.000534
       0.409100       0.266173       0.000489
       0.411100       0.263787       0.001181
       0.412800       0.261380       0.000531
       0.415800       0.257516       0.000601
       0.418800       0.254508       0.000805
       0.421800       0.249768       0.000562
       0.424800       0.245721       0.000485
       0.427800       0.243133       0.000567
       0.430800       0.239152       0.000744
       0.433800       0.236595       0.000531
       0.436800       0.233362       0.000518
       0.439800       0.231791       0.000577
       0.442800       0.229257       0.000495
       0.445800       0.228269       0.000474
       0.448800       0.227972       0.000549
       0.451300       0.228183       0.000690
       0.453300       0.226330       0.000870
       0.455300       0.226468       0.000728
       0.457300       0.226813       0.001212
       0.459300       0.227111       0.000793
       0.461300       0.228205       0.000888
       0.463300       0.228308       0.000626
       0.465300       0.229582       0.000520
       0.467300       0.229194       0.000671
       0.469300       0.230513       0.000581
       0.471300       0.231068       0.001069
       0.473300       0.231491       0.000603
       0.475300       0.231222       0.000677
       0.477300       0.232237       0.000611
       0.479300       0.231393       0.000538
       0.481300       0.232860       0.000589
       0.483300       0.232473       0.000691
       0.485300       0.233119       0.000614
       0.487300       0.233286       0.000984
       0.489300       0.233983       0.000676
       0.491300       0.234179       0.000513
       0.493300       0.233315       0.000606
       0.495300       0.234127       0.000809
       0.497300       0.234085       0.000572
       0.499300       0.232989       0.000962
       0.501300       0.232633       0.000598
       0.503300       0.232019       0.000560
       0.505300       0.230862       0.000660
       0.507300       0.230020       0.000625
       0.509300       0.228877       0.000590
       0.511300       0.226990       0.000654
       0.513300       0.226010       0.000534
       0.515300       0.224844       0.000624
       0.517300       0.223711       0.000581
       0.519300       0.222516       0.000579
       0.521300       0.221770       0.000608
       0.523300       0.219572       0.000762
       0.525300       0.219522       0.000685
       0.527300       0.218379       0.000572
       0.529300       0.218370       0.000727
       0.531300       0.217055       0.000575
       0.533300       0.217625       0.000584
       0.535300       0.216366       0.000623
       0.537300       0.216877       0.000637
       0.539300       0.216117       0.000655
       0.541300       0.215575       0.001026
       0.543300       0.215871       0.000698
       0.545300       0.216405       0.000639
       0.547300       0.215457       0.000671
       0.549300       0.216262       0.000580
       0.551300       0.215524       0.000600
       0.553300       0.215642       0.000673
       0.555300       0.215988       0.000555
       0.557300       0.215867       0.000905
       0.559300       0.216918       0.000531
       0.561300       0.217598       0.000706
       0.563300       0.218411       0.000559
       0.565300       0.219299       0.000594
       0.567300       0.218846       0.000998
       0.569300       0.220479       0.000767
       0.571300       0.221820       0.000658
       0.573300       0.222896       0.000713
       0.575300       0.224593       0.000464
       0.577300       0.226168       0.000429
       0.579300       0.228115       0.000550
       0.581300       0.230231       0.000786
       0.583300       0.232255       0.000550
       0.585300       0.233941       0.000550
       0.587300       0.237095       0.000653
       0.589300       0.239606       0.000480
       0.591300       0.242187       0.000482
       0.593300       0.245726       0.000793
       0.595300       0.248140       0.000689
       0.597300       0.251497       0.000588
       0.599300       0.255081       0.001009
       0.601100       0.257510       0.000498
       0.602700       0.260874       0.000418
       0.604300       0.263314       0.000763
       0.605900       0.265603       0.001214
       0.607500       0.268884       0.000568
       0.609100       0.271648       0.000648
       0.610700       0.274797       0.000606
       0.612300       0.277678       0.000677
       0.613900       0.280167       0.000609
       0.615500       0.284398       0.000783
       0.617100       0.286521       0.000663
       0.618700       0.290697       0.000588
       0.620300       0.291983       0.000586
       0.621900       0.295599       0.000668
       0.623500       0.299315       0.000987
       0.625100       0.300574       0.000672
       0.626700       0.304392       0.000626
       0.628300       0.306806       0.000616
       0.629900       0.309021       0.000536
       0.631700       0.311786       0.000785
       0.633700       0.315392       0.000705
       0.635700       0.318058       0.000608
       0.637700       0.320854       0.001027
       0.639700       0.322687       0.000757
       0.641700       0.325906       0.000729
       0.643700       0.327749       0.000614
       0.645700       0.329246       0.000667
       0.647700       0.331011       0.000455
       0.649700       0.332362       0.000408
       0.651700       0.334225       0.000569
       0.653700       0.335795       0.000458
       0.655700       0.335527       0.000633
       0.657700       0.336651       0.000439
       0.659700       0.337574       0.000646
       0.661700       0.338227       0.000561
       0.663700       0.338426       0.000575
       0.665700       0.338369       0.000627
       0.667700       0.338727       0.000878
       0.670200       0.337802       0.000561
       0.673200       0.337457       0.000574
       0.676200       0.337639       0.000837
       0.679200       0.336228       0.000544
       0.682200       0.334646       0.000763
       0.685200       0.333143       0.000529
       0.688200       0.332940       0.000453
       0.691200       0.330857       0.000533
       0.694200       0.329648       0.000526
       0.697200       0.327003       0.000719
       0.700200       0.325899       0.000892
       0.702000       0.325564       0.000703
       0.704000       0.325260       0.000803
       0.706000       0.323607       0.000441
       0.708000       0.323219       0.000714
       0.710000       0.321863       0.000466
       0.712000       0.320276       0.000460
       0.714000       0.320017       0.000572
       0.716000       0.318474       0.000526
       0.718000       0.317841       0.000589
       0.720000       0.316945       0.000579
       0.722000       0.316541       0.000504
       0.724000       0.315571       0.000611
       0.726000       0.314479       0.000537
       0.728000       0.313557       0.000509
       0.730000       0.312135       0.000762
       0.732000       0.311781       0.000584
       0.734000       0.311323       0.000553
       0.736000       0.310709       0.000758
       0.738000       0.310337       0.000593
       0.740000       0.308431       0.000917
       0.742000       0.308355       0.000530
       0.744000       0.307957       0.000696
       0.746000       0.305291       0.000995
       0.748000       0.306707       0.000810
       0.750500       0.306005       0.000622
       0.753500       0.304825       0.000550
       0.756500       0.303960       0.000521
       0.759500       0.303848       0.000499
       0.762500       0.302889       0.000516
       0.765500       0.302297       0.000576
       0.768500       0.302597       0.000506
       0.771500       0.301600       0.000518
       0.774500       0.300464       0.000688
       0.777500       0.301366       0.000601
       0.781000       0.300400       0.000393
       0.785000       0.300793       0.000558
       0.789000       0.300353       0.000650
       0.793000       0.299973       0.000556
       0.797000       0.299912       0.000496
       0.801500       0.299490       0.000707
       0.806500       0.300292       0.000510
       0.811500       0.300602       0.000562
       0.816500       0.300146       0.000665
       0.822000       0.301733       0.000509
       0.828000       0.301058       0.000709
       0.835000       0.303614       0.000596
       0.843000       0.305020       0.000728
       0.851000       0.305021       0.001647
       0.859000       0.304895       0.001451
       0.871000       0.309258       0.001083
       0.883000       0.309231       0.001556
       0.894000       0.314996       0.001393
       0.904000       0.316405       0.001129
       0.914000       0.319217       0.001206
       0.924000       0.323091       0.001016
       0.933000       0.328161       0.000955
       0.941000       0.330088       0.000820
       0.949000       0.332291       0.001090
       0.957000       0.337854       0.001146
       0.964000       0.343316       0.001220
       0.970000       0.344384       0.001096
       0.976000       0.346926       0.001076
       0.982000       0.351505       0.000898
       0.988000       0.357333       0.000827
       0.994000       0.359687       0.000744
       1.000000       0.364808       0.000970
       1.006000       0.367741       0.001011
       1.012000       0.370842       0.000761
       1.018000       0.372153       0.000702
       1.023500       0.376802       0.001142
       1.028500       0.381354       0.001008
       1.033500       0.385574       0.001177
       1.038500       0.388420       0.000702
       1.043500       0.390305       0.000814
       1.048500       0.394856       0.001070
       1.053500       0.397622       0.000762
       1.058500       0.402351       0.001124
       1.063500       0.405253       0.000684
       1.068500       0.407167       0.000876
       1.073500       0.412992       0.000966
       1.078500       0.414134       0.000952
       1.083500       0.419392       0.000752
       1.088500       0.420669       0.001371
       1.093500       0.425489       0.000761
       1.098500       0.429420       0.000857
       1.103500       0.431658       0.000537
       1.108500       0.435841       0.000695
       1.113500       0.439024       0.000936
       1.118500       0.442645       0.000788
       1.123500       0.447085       0.000631
       1.128500       0.449422       0.000880
       1.133500       0.453255       0.000918
       1.138500       0.458805       0.000736
       1.143500       0.459196       0.001068
       1.148500       0.464337       0.000920
       1.153500       0.467053       0.000966
       1.158500       0.469694       0.000746
       1.163500       0.473533       0.000980
       1.168500       0.476138       0.000880
       1.173500       0.479706       0.000774
       1.178500       0.482538       0.000760
       1.183500       0.487055       0.001360
       1.188500       0.492855       0.000698
       1.193500       0.492478       0.001090
       1.198500       0.496310       0.000595
       1.203500       0.500652       0.000677
       1.208500       0.503093       0.000719
       1.213500       0.506482       0.000868
       1.218500       0.511144       0.000706
       1.223500       0.513767       0.000694
       1.228500       0.516458       0.000878
       1.233500       0.519764       0.000756
       1.238500       0.521182       0.000759
       1.243500       0.523736       0.000564
       1.248500       0.525277       0.000650
       1.253500       0.529610       0.000975
       1.258500       0.532702       0.000959
       1.263500       0.536355       0.000711
       1.268500       0.540158       0.000774
       1.273500       0.542387       0.000825
       1.278500       0.544043       0.000810
       1.283500       0.546901       0.000867
       1.288500       0.548026       0.000787
       1.293500       0.548724       0.000918
       1.298500       0.548287       0.000742
       1.303500       0.549057       0.000797
       1.308500       0.551348       0.000726
       1.313500       0.554055       0.000683
       1.318500       0.556445       0.000933
       1.323500       0.557128       0.000711
       1.328500       0.561035       0.000963
       1.333500       0.562448       0.000805
       1.338500       0.564334       0.000778
       1.343500       0.567033       0.000664
       1.348500       0.569382       0.000918
       1.353500       0.570175       0.001018
       1.358500       0.570515       0.001162
       1.363500       0.567062       0.001059
       1.368500       0.561190       0.001005
       1.373500       0.549965       0.000942
       1.378500       0.513818       0.001446
       1.383500       0.418397       0.001335
       1.388500       0.359125       0.001183
       1.393500       0.371148       0.000983
       1.398500       0.383084       0.000935
       1.403500       0.382370       0.000885
       1.408500       0.374081       0.001205
       1.413500       0.363834       0.000995
       1.418500       0.380176       0.000965
       1.423500       0.409063       0.000823
       1.428500       0.431859       0.000749
       1.433500       0.464490       0.000982
       1.438500       0.502766       0.000720
       1.443500       0.544708       0.000887
       1.448500       0.563032       0.000907
       1.453500       0.571018       0.000903
       1.458500       0.571813       0.000889
       1.463500       0.576787       0.001126
       1.468500       0.579608       0.001082
       1.473500       0.586927       0.001361
       1.478500       0.592011       0.000965
       1.483500       0.599305       0.001148
       1.488500       0.604189       0.000899
       1.493500       0.608561       0.001232
       1.498500       0.612066       0.001125
       1.503500       0.613782       0.001119
       1.508500       0.618403       0.001099
       1.513500       0.621428       0.000902
       1.518500       0.623890       0.001240
       1.523500       0.629254       0.001552
       1.528500       0.629024       0.001009
       1.534000       0.632233       0.000881
       1.540000       0.634884       0.000881
       1.546000       0.634869       0.000941
       1.552000       0.639242       0.001055
       1.558000       0.641145       0.000895
       1.564000       0.644126       0.001276
       1.570500       0.645592       0.001034
       1.577500       0.648650       0.000842
       1.584500       0.650344       0.000870
       1.591500       0.652743       0.000879
       1.598500       0.654577       0.000740
       1.605500       0.656699       0.000884
       1.612500       0.659181       0.000842
       1.619500       0.661630       0.000875
       1.626500       0.662658       0.001009
       1.633500       0.662525       0.000574
       1.640500       0.663790       0.000788
       1.647500       0.664616       0.001024
       1.654500       0.668561       0.001007
       1.661500       0.669212       0.001275
       1.668500       0.670423       0.000969
       1.676000       0.669190       0.000872
       1.684000       0.671452       0.001035
       1.692000       0.673637       0.001162
       1.700000       0.673767       0.001419
       1.708000       0.675908       0.001723
       1.716000       0.673519       0.001241
       1.724000       0.671343       0.001251
       1.732000       0.674289       0.001193
       1.740000       0.673575       0.001089
       1.748000       0.669695       0.001307
       1.756000       0.671757       0.001672
       1.764000       0.670980       0.001333
       1.772000       0.671608       0.001149
       1.780000       0.671170       0.001225
       1.788000       0.671152       0.001571
       1.796000       0.670115       0.001051
       1.805000       0.665561       0.001002
       1.815000       0.663758       0.000945
       1.825000       0.658480       0.000909
       1.835000       0.652746       0.001030
       1.845000       0.647055       0.001052
       1.855000       0.637981       0.001319
       1.865000       0.629384       0.000892
       1.875000       0.617334       0.001137
       1.885000       0.586909       0.000698
       1.895000       0.521852       0.001047
       1.905000       0.445883       0.001356
       1.915000       0.436282       0.001347
       1.925000       0.461670       0.001379
       1.935000       0.486782       0.001185
       1.945000       0.501319       0.001052
       1.955000       0.512730       0.001013
       1.965000       0.522848       0.000900
       1.975000       0.524368       0.001133
       1.985000       0.532694       0.001277
       1.995000       0.540751       0.001138
       2.005000       0.544748       0.001465
       2.015000       0.549347       0.001073
       2.025000       0.556616       0.001551
       2.035000       0.559613       0.001426
       2.045000       0.561718       0.001208
       2.055000       0.562998       0.001332
       2.065000       0.557301       0.001395
       2.075000       0.538856       0.001284
       2.085000       0.521792       0.001702
       2.095000       0.509739       0.001351
       2.105000       0.499532       0.001685
       2.115000       0.496547       0.001661
       2.125000       0.493239       0.001699
       2.135000       0.492345       0.001655
       2.145000       0.483003       0.001116
       2.155000       0.469071       0.001511
       2.165000       0.434871       0.001392
       2.175000       0.385188       0.001391
       2.185000       0.308569       0.001613
       2.195000       0.231755       0.001700
       2.205000       0.172672       0.001559
       2.215000       0.185155       0.001702
       2.225000       0.238041       0.001714
       2.235000       0.294891       0.001712
       2.245000       0.347033       0.001722
       2.255000       0.375601       0.001725
       2.265000       0.392250       0.001734
       2.275000       0.392424       0.001751
       2.285000       0.391990       0.002198
       2.295000       0.375694       0.003019
       2.305000       0.352407       0.002966
       2.315000       0.314225       0.002145
       2.325000       0.274588       0.001727
       2.335000       0.244092       0.001728
       2.345000       0.220939       0.001399
