USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Maghemite GDS81 Syn (M-3)    W1R1Bb AREF
copy of splib05a r 4232                                     
       0.205100      -1.23e34        0.035155
       0.213100      -1.23e34        0.008635
       0.221100       0.002584       0.002357
       0.229100       0.005833       0.001753
       0.236100       0.006428       0.001625
       0.242100       0.006791       0.001499
       0.248100       0.008905       0.001422
       0.253600       0.009546       0.001399
       0.258600       0.008138       0.001389
       0.263600       0.007920       0.001385
       0.268600       0.008113       0.001396
       0.273100       0.009687       0.001407
       0.277100       0.008238       0.001444
       0.281100       0.008380       0.001451
       0.285100       0.007334       0.001510
       0.289100       0.007879       0.001520
       0.293100       0.008546       0.001605
       0.297100       0.008574       0.001773
       0.301100       0.010559       0.000882
       0.305100       0.008191       0.000872
       0.309100       0.009379       0.000695
       0.313100       0.009336       0.000595
       0.317100       0.009756       0.000525
       0.321100       0.009741       0.000698
       0.325100       0.009734       0.000874
       0.329100       0.010090       0.001246
       0.333100       0.010336       0.000647
       0.337100       0.011053       0.000943
       0.341100       0.010220       0.000586
       0.345100       0.010781       0.000631
       0.349100       0.010284       0.000601
       0.353100       0.010334       0.000584
       0.357100       0.011415       0.001170
       0.360600       0.010584       0.000672
       0.363600       0.010939       0.000709
       0.366600       0.010972       0.000754
       0.369600       0.010926       0.000522
       0.372600       0.011314       0.000530
       0.375600       0.011270       0.000578
       0.378600       0.011162       0.000565
       0.381100       0.011185       0.001128
       0.383100       0.011477       0.000722
       0.385100       0.011654       0.000741
       0.387100       0.011494       0.000696
       0.389100       0.011471       0.000600
       0.391100       0.011812       0.000659
       0.393100       0.012233       0.000970
       0.395100       0.011846       0.000560
       0.397100       0.012270       0.001062
       0.399100       0.013533       0.000587
       0.401100       0.012092       0.000672
       0.403100       0.011839       0.000656
       0.405100       0.012925       0.001037
       0.407100       0.012385       0.000636
       0.409100       0.012654       0.000518
       0.411100       0.012834       0.000699
       0.412800       0.012506       0.000840
       0.415800       0.013638       0.000987
       0.418800       0.013057       0.000621
       0.421800       0.013907       0.000607
       0.424800       0.013886       0.000537
       0.427800       0.013569       0.000557
       0.430800       0.014061       0.000548
       0.433800       0.014033       0.000514
       0.436800       0.014864       0.000551
       0.439800       0.014592       0.000547
       0.442800       0.014968       0.000591
       0.445800       0.015407       0.000894
       0.448800       0.014851       0.000574
       0.451300       0.015650       0.000833
       0.453300       0.016307       0.000750
       0.455300       0.015688       0.000858
       0.457300       0.015650       0.001704
       0.459300       0.015188       0.001165
       0.461300       0.016289       0.000849
       0.463300       0.016848       0.000669
       0.465300       0.017006       0.000730
       0.467300       0.016702       0.000740
       0.469300       0.016815       0.000655
       0.471300       0.017176       0.000775
       0.473300       0.018014       0.000704
       0.475300       0.017588       0.000661
       0.477300       0.017979       0.001276
       0.479300       0.017335       0.000860
       0.481300       0.018003       0.000707
       0.483300       0.018426       0.001200
       0.485300       0.019369       0.000630
       0.487300       0.018176       0.000697
       0.489300       0.018543       0.000777
       0.491300       0.019183       0.000723
       0.493300       0.019270       0.000823
       0.495300       0.020867       0.001193
       0.497300       0.019498       0.000926
       0.499300       0.021745       0.001270
       0.501300       0.021997       0.000724
       0.503300       0.021412       0.000739
       0.505300       0.022621       0.000601
       0.507300       0.024024       0.001231
       0.509300       0.023225       0.000905
       0.511300       0.024385       0.000825
       0.513300       0.024662       0.000778
       0.515300       0.024515       0.000807
       0.517300       0.025662       0.000732
       0.519300       0.026130       0.000646
       0.521300       0.027614       0.000700
       0.523300       0.028604       0.001371
       0.525300       0.028843       0.000687
       0.527300       0.028763       0.000742
       0.529300       0.030165       0.000821
       0.531300       0.031535       0.000822
       0.533300       0.030452       0.001041
       0.535300       0.033125       0.000923
       0.537300       0.032789       0.000939
       0.539300       0.034481       0.000850
       0.541300       0.035652       0.000925
       0.543300       0.036843       0.000901
       0.545300       0.037364       0.000817
       0.547300       0.038403       0.000690
       0.549300       0.039508       0.000866
       0.551300       0.040778       0.000695
       0.553300       0.041406       0.000824
       0.555300       0.043253       0.001316
       0.557300       0.042873       0.001490
       0.559300       0.045545       0.000874
       0.561300       0.046756       0.000848
       0.563300       0.048755       0.000652
       0.565300       0.050133       0.000776
       0.567300       0.050497       0.000770
       0.569300       0.051802       0.000940
       0.571300       0.054412       0.000726
       0.573300       0.055730       0.000539
       0.575300       0.057434       0.000609
       0.577300       0.059134       0.000598
       0.579300       0.060953       0.000680
       0.581300       0.062822       0.000680
       0.583300       0.065317       0.000684
       0.585300       0.066865       0.000686
       0.587300       0.069052       0.001015
       0.589300       0.071275       0.000699
       0.591300       0.073004       0.000707
       0.593300       0.075523       0.000639
       0.595300       0.077225       0.000632
       0.597300       0.079699       0.000548
       0.599300       0.082391       0.000643
       0.601100       0.083965       0.000901
       0.602700       0.086164       0.000725
       0.604300       0.087744       0.000626
       0.605900       0.089292       0.000599
       0.607500       0.091614       0.000630
       0.609100       0.092934       0.000612
       0.610700       0.095132       0.000615
       0.612300       0.096917       0.000523
       0.613900       0.098384       0.000593
       0.615500       0.100332       0.000469
       0.617100       0.101365       0.000581
       0.618700       0.103631       0.000769
       0.620300       0.105224       0.000580
       0.621900       0.106542       0.000605
       0.623500       0.108793       0.000847
       0.625100       0.110228       0.000520
       0.626700       0.111761       0.000587
       0.628300       0.113088       0.000594
       0.629900       0.115246       0.000855
       0.631700       0.116505       0.000786
       0.633700       0.118044       0.000513
       0.635700       0.119861       0.000506
       0.637700       0.121511       0.000506
       0.639700       0.124171       0.000676
       0.641700       0.125545       0.000580
       0.643700       0.127840       0.000617
       0.645700       0.128814       0.000616
       0.647700       0.131230       0.000603
       0.649700       0.131982       0.000568
       0.651700       0.135037       0.000567
       0.653700       0.135941       0.000710
       0.655700       0.137883       0.000652
       0.657700       0.140046       0.000686
       0.659700       0.142097       0.000677
       0.661700       0.144283       0.000600
       0.663700       0.146482       0.001140
       0.665700       0.148677       0.000748
       0.667700       0.150300       0.000624
       0.670200       0.154015       0.000573
       0.673200       0.157213       0.000650
       0.676200       0.161121       0.000582
       0.679200       0.165735       0.000616
       0.682200       0.169094       0.000744
       0.685200       0.174448       0.000640
       0.688200       0.177160       0.000600
       0.691200       0.181752       0.000667
       0.694200       0.185873       0.000793
       0.697200       0.190943       0.000796
       0.700200       0.193978       0.000695
       0.702000       0.196139       0.000543
       0.704000       0.199249       0.000621
       0.706000       0.202408       0.000644
       0.708000       0.204569       0.000762
       0.710000       0.207360       0.000612
       0.712000       0.209803       0.000583
       0.714000       0.212682       0.000600
       0.716000       0.214822       0.000771
       0.718000       0.217306       0.000793
       0.720000       0.219929       0.000626
       0.722000       0.221933       0.000910
       0.724000       0.224556       0.001136
       0.726000       0.226521       0.000740
       0.728000       0.228912       0.000613
       0.730000       0.230565       0.000772
       0.732000       0.233017       0.001348
       0.734000       0.234609       0.000726
       0.736000       0.236818       0.000826
       0.738000       0.238538       0.000828
       0.740000       0.240515       0.000870
       0.742000       0.241396       0.001526
       0.744000       0.242724       0.000760
       0.746000       0.245444       0.001609
       0.748000       0.245595       0.000663
       0.750500       0.246892       0.000597
       0.753500       0.248680       0.000647
       0.756500       0.250522       0.000637
       0.759500       0.251912       0.000630
       0.762500       0.253149       0.001130
       0.765500       0.254605       0.000723
       0.768500       0.255594       0.000791
       0.771500       0.255633       0.001004
       0.774500       0.256342       0.000816
       0.777500       0.256516       0.000741
       0.781000       0.258220       0.000624
       0.785000       0.257948       0.000756
       0.789000       0.258526       0.000810
       0.793000       0.260015       0.000648
       0.797000       0.260269       0.000796
       0.801500       0.259131       0.000527
       0.806500       0.259171       0.000736
       0.811500       0.259287       0.000785
       0.816500       0.259473       0.000830
       0.822000       0.258698       0.000532
       0.828000       0.257968       0.000714
       0.835000       0.255432       0.001198
       0.843000       0.255151       0.000841
       0.851000       0.255468       0.001924
       0.859000       0.251429       0.001161
       0.871000       0.249375       0.001042
       0.883000       0.246128       0.001076
       0.894000       0.244850       0.001151
       0.904000       0.245687       0.000880
       0.914000       0.240994       0.001258
       0.924000       0.240658       0.000961
       0.933000       0.240563       0.000931
       0.941000       0.239292       0.000739
       0.949000       0.236206       0.001267
       0.957000       0.238693       0.001220
       0.964000       0.238786       0.000973
       0.970000       0.236792       0.001388
       0.976000       0.237850       0.000862
       0.982000       0.239465       0.000769
       0.988000       0.237932       0.001205
       0.994000       0.239514       0.001123
       1.000000       0.241202       0.000739
       1.006000       0.239591       0.000951
       1.012000       0.238740       0.000891
       1.018000       0.239256       0.000975
       1.023500       0.240499       0.000908
       1.028500       0.242377       0.000993
       1.033500       0.241092       0.000967
       1.038500       0.241089       0.000775
       1.043500       0.243391       0.000832
       1.048500       0.243665       0.000824
       1.053500       0.242921       0.000687
       1.058500       0.245731       0.001078
       1.063500       0.244404       0.000754
       1.068500       0.244720       0.000842
       1.073500       0.244611       0.000785
       1.078500       0.246191       0.000788
       1.083500       0.247529       0.000703
       1.088500       0.247781       0.000739
       1.093500       0.248637       0.000686
       1.098500       0.249241       0.000675
       1.103500       0.249767       0.000835
       1.108500       0.251440       0.000847
       1.113500       0.251042       0.000895
       1.118500       0.251841       0.000703
       1.123500       0.252144       0.000733
       1.128500       0.252526       0.001047
       1.133500       0.251735       0.000634
       1.138500       0.253422       0.000719
       1.143500       0.253887       0.000760
       1.148500       0.254765       0.000737
       1.153500       0.255071       0.000765
       1.158500       0.255214       0.001104
       1.163500       0.255355       0.000662
       1.168500       0.255462       0.000801
       1.173500       0.255364       0.000828
       1.178500       0.254924       0.001056
       1.183500       0.256425       0.000629
       1.188500       0.256583       0.000976
       1.193500       0.257376       0.001259
       1.198500       0.256086       0.000620
       1.203500       0.257525       0.000663
       1.208500       0.257691       0.000679
       1.213500       0.257759       0.000777
       1.218500       0.258050       0.000642
       1.223500       0.257578       0.000585
       1.228500       0.259069       0.000733
       1.233500       0.257023       0.000754
       1.238500       0.257729       0.000909
       1.243500       0.259239       0.000726
       1.248500       0.257398       0.000762
       1.253500       0.258546       0.000767
       1.258500       0.257817       0.000556
       1.263500       0.258634       0.000849
       1.268500       0.258772       0.000699
       1.273500       0.257941       0.000789
       1.278500       0.257783       0.000575
       1.283500       0.258331       0.000806
       1.288500       0.257113       0.000749
       1.293500       0.257122       0.000708
       1.298500       0.257489       0.000800
       1.303500       0.256065       0.000726
       1.308500       0.256481       0.000921
       1.313500       0.257028       0.000911
       1.318500       0.255759       0.000805
       1.323500       0.255812       0.000649
       1.328500       0.255826       0.000645
       1.333500       0.255687       0.000661
       1.338500       0.254505       0.000787
       1.343500       0.255323       0.000662
       1.348500       0.254320       0.000810
       1.353500       0.254352       0.000804
       1.358500       0.253398       0.001010
       1.363500       0.253917       0.001595
       1.368500       0.254648       0.001110
       1.373500       0.253108       0.000847
       1.378500       0.253573       0.000890
       1.383500       0.252679       0.000914
       1.388500       0.253445       0.001000
       1.393500       0.252318       0.000821
       1.398500       0.252806       0.001242
       1.403500       0.251704       0.001053
       1.408500       0.250986       0.001045
       1.413500       0.251161       0.001155
       1.418500       0.249077       0.000912
       1.423500       0.249916       0.000641
       1.428500       0.249056       0.001180
       1.433500       0.249696       0.001010
       1.438500       0.250017       0.001041
       1.443500       0.248709       0.001052
       1.448500       0.247440       0.000908
       1.453500       0.248839       0.001119
       1.458500       0.248437       0.001427
       1.463500       0.249646       0.000997
       1.468500       0.247854       0.000724
       1.473500       0.247768       0.000764
       1.478500       0.248348       0.001243
       1.483500       0.249307       0.001028
       1.488500       0.245972       0.001157
       1.493500       0.247188       0.001720
       1.498500       0.248287       0.001134
       1.503500       0.247547       0.000982
       1.508500       0.247235       0.000981
       1.513500       0.248059       0.001750
       1.518500       0.249339       0.001000
       1.523500       0.248682       0.001091
       1.528500       0.250373       0.001035
       1.534000       0.249632       0.001205
       1.540000       0.248354       0.001040
       1.546000       0.249480       0.000788
       1.552000       0.250261       0.000998
       1.558000       0.250498       0.001248
       1.564000       0.250078       0.000738
       1.570500       0.250606       0.000673
       1.577500       0.251088       0.000776
       1.584500       0.251825       0.000575
       1.591500       0.250992       0.000917
       1.598500       0.251162       0.000857
       1.605500       0.251930       0.000722
       1.612500       0.251183       0.000900
       1.619500       0.252940       0.000730
       1.626500       0.251291       0.000719
       1.633500       0.252330       0.000835
       1.640500       0.252676       0.000620
       1.647500       0.254074       0.000738
       1.654500       0.253767       0.000728
       1.661500       0.254193       0.000847
       1.668500       0.253670       0.000825
       1.676000       0.255081       0.000613
       1.684000       0.255725       0.000861
       1.692000       0.256192       0.000931
       1.700000       0.259166       0.001560
       1.708000       0.259006       0.001103
       1.716000       0.258560       0.000823
       1.724000       0.257775       0.000785
       1.732000       0.258693       0.001374
       1.740000       0.260661       0.000954
       1.748000       0.262299       0.001038
       1.756000       0.260264       0.001349
       1.764000       0.261849       0.000816
       1.772000       0.261621       0.000969
       1.780000       0.262683       0.001145
       1.788000       0.265418       0.000781
       1.796000       0.266917       0.001254
       1.805000       0.265052       0.001046
       1.815000       0.265879       0.000770
       1.825000       0.266235       0.000956
       1.835000       0.268758       0.000746
       1.845000       0.268269       0.000943
       1.855000       0.270811       0.001019
       1.865000       0.270203       0.001027
       1.875000       0.272465       0.000845
       1.885000       0.269130       0.000686
       1.895000       0.268575       0.000736
       1.905000       0.267637       0.000781
       1.915000       0.266589       0.000894
       1.925000       0.264120       0.000767
       1.935000       0.264847       0.000934
       1.945000       0.266789       0.000753
       1.955000       0.267471       0.000661
       1.965000       0.270575       0.001292
       1.975000       0.272764       0.001034
       1.985000       0.273714       0.000948
       1.995000       0.275521       0.001127
       2.005000       0.278888       0.000867
       2.015000       0.282740       0.001449
       2.025000       0.284134       0.000982
       2.035000       0.285269       0.001007
       2.045000       0.287803       0.001376
       2.055000       0.290302       0.001208
       2.065000       0.294179       0.001423
       2.075000       0.293856       0.001390
       2.085000       0.296192       0.001198
       2.095000       0.301600       0.001157
       2.105000       0.299380       0.001178
       2.115000       0.301805       0.001900
       2.125000       0.301083       0.001378
       2.135000       0.305656       0.001304
       2.145000       0.308736       0.001112
       2.155000       0.308831       0.001027
       2.165000       0.310768       0.001249
       2.175000       0.312027       0.001732
       2.185000       0.312569       0.001357
       2.195000       0.314018       0.001898
       2.205000       0.314700       0.001779
       2.215000       0.315460       0.001481
       2.225000       0.316223       0.001923
       2.235000       0.318764       0.001924
       2.245000       0.315708       0.001907
       2.255000       0.323619       0.001911
       2.265000       0.323725       0.001955
       2.275000       0.320057       0.001964
       2.285000       0.324011       0.002054
       2.295000       0.325363       0.002976
       2.305000       0.327516       0.002734
       2.315000       0.326327       0.001991
       2.325000       0.330060       0.001907
       2.335000       0.327025       0.001874
       2.345000       0.328045       0.001502
