USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Magnetite HS195.3B           W1R1Bb AREF
copy of splib05a r 4243                                     
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.424612
       0.221100      -1.23e34        0.241392
       0.229100      -1.23e34        0.042779
       0.236100      -1.23e34        0.019004
       0.242100       0.052183       0.008013
       0.248100       0.053225       0.005130
       0.253600       0.051210       0.004774
       0.258600       0.052689       0.003494
       0.263600       0.055728       0.002884
       0.268600       0.056925       0.002441
       0.273100       0.058461       0.002669
       0.277100       0.057303       0.002362
       0.281100       0.058441       0.002263
       0.285100       0.056516       0.001968
       0.289100       0.057553       0.001722
       0.293100       0.058230       0.001688
       0.297100       0.056956       0.001456
       0.301100       0.055914       0.001730
       0.305100       0.060340       0.001598
       0.309100       0.056816       0.001414
       0.313100       0.059071       0.001351
       0.317100       0.058899       0.001330
       0.321100       0.059831       0.001337
       0.325100       0.059168       0.001345
       0.329100       0.061599       0.001345
       0.333100       0.060106       0.001355
       0.337100       0.057377       0.001350
       0.341100       0.059934       0.001357
       0.345100       0.060848       0.001358
       0.349100       0.059582       0.001365
       0.353100       0.061668       0.001296
       0.357100       0.061655       0.000942
       0.360600       0.061755       0.000840
       0.363600       0.061878       0.000594
       0.366600       0.060654       0.001169
       0.369600       0.061490       0.000935
       0.372600       0.061016       0.000811
       0.375600       0.060906       0.000852
       0.378600       0.061047       0.000939
       0.381100       0.062035       0.001021
       0.383100       0.061548       0.001161
       0.385100       0.062131       0.000877
       0.387100       0.060974       0.000917
       0.389100       0.061021       0.000831
       0.391100       0.061359       0.000655
       0.393100       0.060900       0.000808
       0.395100       0.061729       0.000726
       0.397100       0.060996       0.000738
       0.399100       0.061215       0.000750
       0.401100       0.061086       0.000694
       0.403100       0.060432       0.001011
       0.405100       0.060181       0.000666
       0.407100       0.060930       0.000622
       0.409100       0.060133       0.000578
       0.411100       0.060284       0.000863
       0.412800       0.060266       0.000976
       0.415800       0.060995       0.000840
       0.418800       0.059822       0.000724
       0.421800       0.060420       0.000755
       0.424800       0.059250       0.000632
       0.427800       0.059429       0.000942
       0.430800       0.059268       0.000733
       0.433800       0.059208       0.000653
       0.436800       0.059564       0.000725
       0.439800       0.059048       0.000667
       0.442800       0.059041       0.000704
       0.445800       0.058424       0.000634
       0.448800       0.058403       0.000757
       0.451300       0.058936       0.001062
       0.453300       0.059318       0.001185
       0.455300       0.057998       0.001084
       0.457300       0.057695       0.001109
       0.459300       0.057375       0.001409
       0.461300       0.058581       0.000965
       0.463300       0.058003       0.000944
       0.465300       0.057875       0.000949
       0.467300       0.057233       0.001339
       0.469300       0.057909       0.000921
       0.471300       0.058118       0.001277
       0.473300       0.058005       0.001143
       0.475300       0.057443       0.000887
       0.477300       0.058280       0.000992
       0.479300       0.057712       0.000901
       0.481300       0.058080       0.000868
       0.483300       0.057769       0.000894
       0.485300       0.057830       0.000916
       0.487300       0.058200       0.000909
       0.489300       0.058290       0.000886
       0.491300       0.058010       0.000887
       0.493300       0.057663       0.001263
       0.495300       0.057514       0.000870
       0.497300       0.057746       0.000896
       0.499300       0.057781       0.000888
       0.501300       0.058037       0.000776
       0.503300       0.057377       0.000972
       0.505300       0.058032       0.000912
       0.507300       0.056680       0.000815
       0.509300       0.058215       0.000855
       0.511300       0.057557       0.001160
       0.513300       0.058459       0.001357
       0.515300       0.057488       0.000935
       0.517300       0.058182       0.001163
       0.519300       0.057105       0.001069
       0.521300       0.057661       0.001246
       0.523300       0.057529       0.001071
       0.525300       0.058285       0.000821
       0.527300       0.057074       0.000952
       0.529300       0.057560       0.000932
       0.531300       0.056848       0.001023
       0.533300       0.057409       0.000873
       0.535300       0.057536       0.001024
       0.537300       0.057994       0.001060
       0.539300       0.057260       0.000975
       0.541300       0.057013       0.001004
       0.543300       0.056819       0.000994
       0.545300       0.058448       0.000911
       0.547300       0.057657       0.000953
       0.549300       0.057630       0.000817
       0.551300       0.057475       0.000673
       0.553300       0.057519       0.000822
       0.555300       0.057350       0.000716
       0.557300       0.056918       0.000740
       0.559300       0.058289       0.000714
       0.561300       0.057427       0.000966
       0.563300       0.057483       0.000725
       0.565300       0.058579       0.001241
       0.567300       0.058513       0.000794
       0.569300       0.058026       0.000933
       0.571300       0.057558       0.000848
       0.573300       0.057678       0.000895
       0.575300       0.057543       0.000864
       0.577300       0.058397       0.000686
       0.579300       0.058154       0.000958
       0.581300       0.058478       0.000677
       0.583300       0.058160       0.000670
       0.585300       0.058492       0.000686
       0.587300       0.057985       0.001062
       0.589300       0.059362       0.001227
       0.591300       0.058417       0.001040
       0.593300       0.059246       0.000934
       0.595300       0.058116       0.000963
       0.597300       0.058318       0.000878
       0.599300       0.059270       0.001285
       0.601100       0.058312       0.001100
       0.602700       0.059292       0.001212
       0.604300       0.058444       0.000936
       0.605900       0.058524       0.001261
       0.607500       0.058029       0.000806
       0.609100       0.057712       0.001127
       0.610700       0.057527       0.000811
       0.612300       0.057870       0.000850
       0.613900       0.058553       0.000831
       0.615500       0.057804       0.000874
       0.617100       0.058598       0.000815
       0.618700       0.058228       0.000776
       0.620300       0.057834       0.000765
       0.621900       0.058024       0.000725
       0.623500       0.058012       0.000895
       0.625100       0.058416       0.000770
       0.626700       0.057938       0.000832
       0.628300       0.057979       0.000917
       0.629900       0.058275       0.000780
       0.631700       0.058067       0.000724
       0.633700       0.058166       0.000760
       0.635700       0.057709       0.000658
       0.637700       0.058064       0.000748
       0.639700       0.057960       0.000824
       0.641700       0.058776       0.000844
       0.643700       0.057868       0.000750
       0.645700       0.057674       0.001004
       0.647700       0.058093       0.000987
       0.649700       0.057134       0.001366
       0.651700       0.058532       0.000614
       0.653700       0.058653       0.000759
       0.655700       0.058202       0.000563
       0.657700       0.058167       0.000632
       0.659700       0.058021       0.000654
       0.661700       0.058495       0.000651
       0.663700       0.058481       0.000784
       0.665700       0.058582       0.000700
       0.667700       0.057485       0.000995
       0.670200       0.058099       0.000798
       0.673200       0.058318       0.000939
       0.676200       0.057575       0.001096
       0.679200       0.057804       0.001434
       0.682200       0.058170       0.000822
       0.685200       0.058145       0.000979
       0.688200       0.058091       0.000537
       0.691200       0.057500       0.000632
       0.694200       0.058312       0.000593
       0.697200       0.057476       0.000531
       0.700200       0.058239       0.001170
       0.702000       0.056485       0.000906
       0.704000       0.058322       0.001073
       0.706000       0.057464       0.000940
       0.708000       0.057472       0.000731
       0.710000       0.057456       0.000644
       0.712000       0.056850       0.000713
       0.714000       0.057451       0.000539
       0.716000       0.057102       0.000540
       0.718000       0.057075       0.000702
       0.720000       0.057324       0.000759
       0.722000       0.056928       0.000678
       0.724000       0.057094       0.000494
       0.726000       0.056827       0.000800
       0.728000       0.056590       0.000731
       0.730000       0.057208       0.001070
       0.732000       0.056152       0.000800
       0.734000       0.056763       0.000682
       0.736000       0.056128       0.000839
       0.738000       0.056246       0.000781
       0.740000       0.056352       0.000981
       0.742000       0.056031       0.000875
       0.744000       0.056692       0.000973
       0.746000       0.055903       0.001049
       0.748000       0.055763       0.001043
       0.750500       0.055772       0.000728
       0.753500       0.055965       0.000666
       0.756500       0.055191       0.000552
       0.759500       0.055316       0.001034
       0.762500       0.055013       0.000857
       0.765500       0.054973       0.000644
       0.768500       0.055186       0.001097
       0.771500       0.055238       0.000727
       0.774500       0.054310       0.001191
       0.777500       0.055031       0.000912
       0.781000       0.054229       0.000596
       0.785000       0.054480       0.000661
       0.789000       0.054632       0.000765
       0.793000       0.054009       0.000686
       0.797000       0.053905       0.000876
       0.801500       0.053528       0.000623
       0.806500       0.054142       0.000962
       0.811500       0.053065       0.000814
       0.816500       0.052947       0.001067
       0.822000       0.052773       0.000907
       0.828000       0.051693       0.000772
       0.835000       0.052016       0.000942
       0.843000       0.051077       0.001112
       0.851000       0.052089       0.001937
       0.859000       0.053034       0.001586
       0.871000       0.049726       0.001578
       0.883000       0.051148       0.001605
       0.894000       0.050472       0.001582
       0.904000       0.049617       0.001581
       0.914000       0.047131       0.001213
       0.924000       0.048667       0.001363
       0.933000       0.047961       0.001498
       0.941000       0.047137       0.001362
       0.949000       0.046405       0.001115
       0.957000       0.046483       0.001554
       0.964000       0.045169       0.001347
       0.970000       0.047171       0.001532
       0.976000       0.045931       0.001161
       0.982000       0.045703       0.001061
       0.988000       0.045221       0.001165
       0.994000       0.045337       0.000983
       1.000000       0.044620       0.001104
       1.006000       0.046236       0.000972
       1.012000       0.044857       0.001161
       1.018000       0.043370       0.000635
       1.023500       0.044355       0.000950
       1.028500       0.043095       0.000895
       1.033500       0.046038       0.001305
       1.038500       0.044603       0.001123
       1.043500       0.044788       0.001552
       1.048500       0.043282       0.000925
       1.053500       0.042920       0.001268
       1.058500       0.044803       0.001023
       1.063500       0.042224       0.001148
       1.068500       0.045159       0.001116
       1.073500       0.044311       0.000920
       1.078500       0.043477       0.000846
       1.083500       0.044572       0.001030
       1.088500       0.044553       0.001192
       1.093500       0.044629       0.000868
       1.098500       0.043740       0.000964
       1.103500       0.043731       0.000935
       1.108500       0.044780       0.000746
       1.113500       0.043772       0.000936
       1.118500       0.045641       0.001077
       1.123500       0.045735       0.000594
       1.128500       0.044742       0.001173
       1.133500       0.045116       0.000790
       1.138500       0.045627       0.000825
       1.143500       0.044688       0.001005
       1.148500       0.045621       0.000749
       1.153500       0.045160       0.000787
       1.158500       0.045372       0.001024
       1.163500       0.045095       0.001111
       1.168500       0.046327       0.001062
       1.173500       0.047189       0.000850
       1.178500       0.045246       0.001354
       1.183500       0.047370       0.000752
       1.188500       0.046565       0.001169
       1.193500       0.047023       0.000578
       1.198500       0.047599       0.001168
       1.203500       0.047819       0.000851
       1.208500       0.047516       0.000718
       1.213500       0.047142       0.000901
       1.218500       0.046613       0.000871
       1.223500       0.048232       0.000869
       1.228500       0.047392       0.000856
       1.233500       0.048515       0.000754
       1.238500       0.048448       0.000977
       1.243500       0.048570       0.000606
       1.248500       0.048164       0.000928
       1.253500       0.047885       0.000892
       1.258500       0.047734       0.000867
       1.263500       0.050651       0.000647
       1.268500       0.048556       0.000900
       1.273500       0.047667       0.000900
       1.278500       0.049609       0.000782
       1.283500       0.050920       0.000957
       1.288500       0.050849       0.001137
       1.293500       0.050646       0.000933
       1.298500       0.050286       0.000768
       1.303500       0.050895       0.000691
       1.308500       0.050590       0.000637
       1.313500       0.051206       0.000618
       1.318500       0.051494       0.000903
       1.323500       0.051774       0.000776
       1.328500       0.052305       0.000519
       1.333500       0.052901       0.000853
       1.338500       0.052771       0.000695
       1.343500       0.053026       0.000842
       1.348500       0.053763       0.000913
       1.353500       0.052864       0.000849
       1.358500       0.052956       0.001525
       1.363500       0.053526       0.001169
       1.368500       0.055814       0.001231
       1.373500       0.053279       0.000895
       1.378500       0.054773       0.001257
       1.383500       0.055413       0.001618
       1.388500       0.055516       0.000997
       1.393500       0.055297       0.001326
       1.398500       0.053878       0.001345
       1.403500       0.054913       0.001154
       1.408500       0.056103       0.000908
       1.413500       0.054941       0.001012
       1.418500       0.057286       0.000954
       1.423500       0.056622       0.001043
       1.428500       0.057270       0.001110
       1.433500       0.058072       0.001228
       1.438500       0.057741       0.001117
       1.443500       0.058136       0.001252
       1.448500       0.056208       0.001386
       1.453500       0.056580       0.001160
       1.458500       0.056991       0.001068
       1.463500       0.057128       0.001196
       1.468500       0.058572       0.001013
       1.473500       0.059573       0.000989
       1.478500       0.058331       0.001554
       1.483500       0.060644       0.001065
       1.488500       0.061503       0.001260
       1.493500       0.061030       0.000803
       1.498500       0.059074       0.001281
       1.503500       0.059151       0.001285
       1.508500       0.061099       0.001059
       1.513500       0.059946       0.001194
       1.518500       0.061657       0.001078
       1.523500       0.060103       0.001631
       1.528500       0.060062       0.001351
       1.534000       0.060877       0.001021
       1.540000       0.062002       0.000975
       1.546000       0.062860       0.001276
       1.552000       0.062040       0.000785
       1.558000       0.062849       0.001098
       1.564000       0.063537       0.001058
       1.570500       0.062841       0.001102
       1.577500       0.064271       0.000867
       1.584500       0.062370       0.000911
       1.591500       0.063817       0.000813
       1.598500       0.065249       0.000741
       1.605500       0.064386       0.000779
       1.612500       0.064242       0.000964
       1.619500       0.063707       0.000532
       1.626500       0.065635       0.000846
       1.633500       0.065795       0.000873
       1.640500       0.066421       0.000953
       1.647500       0.066626       0.000872
       1.654500       0.067032       0.001334
       1.661500       0.067644       0.001359
       1.668500       0.067818       0.001028
       1.676000       0.067833       0.001041
       1.684000       0.068283       0.001282
       1.692000       0.067748       0.001604
       1.700000       0.069751       0.001227
       1.708000       0.069069       0.001584
       1.716000       0.069024       0.001140
       1.724000       0.069599       0.001557
       1.732000       0.069498       0.001599
       1.740000       0.070520       0.001622
       1.748000       0.074902       0.001560
       1.756000       0.070170       0.001366
       1.764000       0.069657       0.001578
       1.772000       0.071834       0.001501
       1.780000       0.071588       0.001357
       1.788000       0.073103       0.001599
       1.796000       0.071545       0.001488
       1.805000       0.073004       0.001078
       1.815000       0.072611       0.000822
       1.825000       0.072382       0.001107
       1.835000       0.073680       0.001535
       1.845000       0.073773       0.001633
       1.855000       0.074635       0.001062
       1.865000       0.073059       0.001567
       1.875000       0.077882       0.000629
       1.885000       0.074200       0.001280
       1.895000       0.074200       0.001169
       1.905000       0.075442       0.000980
       1.915000       0.072348       0.001536
       1.925000       0.074161       0.001106
       1.935000       0.074478       0.001276
       1.945000       0.075349       0.001299
       1.955000       0.074625       0.001212
       1.965000       0.077489       0.001651
       1.975000       0.077445       0.001594
       1.985000       0.076777       0.001638
       1.995000       0.079244       0.001629
       2.005000       0.079080       0.001249
       2.015000       0.077628       0.001640
       2.025000       0.077540       0.001475
       2.035000       0.078260       0.001572
       2.045000       0.078601       0.001233
       2.055000       0.081265       0.001564
       2.065000       0.081061       0.001206
       2.075000       0.080604       0.001604
       2.085000       0.076881       0.001625
       2.095000       0.081930       0.001604
       2.105000       0.079237       0.001590
       2.115000       0.084707       0.001604
       2.125000       0.079383       0.001618
       2.135000       0.082056       0.001605
       2.145000       0.081144       0.001607
       2.155000       0.080280       0.001583
       2.165000       0.081273       0.001596
       2.175000       0.082580       0.001609
       2.185000       0.081680       0.001606
       2.195000       0.082716       0.001636
       2.205000       0.083452       0.001632
       2.215000       0.081944       0.001632
       2.225000       0.082661       0.001641
       2.235000       0.083618       0.001641
       2.245000       0.085827       0.001636
       2.255000       0.081691       0.001631
       2.265000       0.081609       0.001636
       2.275000       0.081681       0.001950
       2.285000       0.082661       0.002557
       2.295000       0.084686       0.003403
       2.305000       0.081102       0.003041
       2.315000       0.087376       0.002222
       2.325000       0.084690       0.001634
       2.335000       0.087109       0.001623
       2.345000       0.084930       0.001577
