USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Microcline NMNH135231 Fspar  W1R1Bc AREF
copy of splib05a r 4412                                     
       0.205100      -1.23e34        0.078852
       0.213100      -1.23e34        0.063745
       0.221100      -1.23e34        0.033161
       0.229100      -1.23e34        0.019821
       0.236100      -1.23e34        0.012164
       0.242100       0.159827       0.006813
       0.248100       0.156830       0.005162
       0.253600       0.175841       0.004768
       0.258600       0.193244       0.004436
       0.263600       0.219139       0.003465
       0.268600       0.248496       0.003346
       0.273100       0.275236       0.003604
       0.277100       0.304320       0.003701
       0.281100       0.327563       0.003083
       0.285100       0.343604       0.003101
       0.289100       0.360954       0.002647
       0.293100       0.381859       0.002740
       0.297100       0.398387       0.002518
       0.301100       0.418821       0.002794
       0.305100       0.423677       0.002659
       0.309100       0.431985       0.002670
       0.313100       0.434473       0.002368
       0.317100       0.435488       0.002290
       0.321100       0.446795       0.002184
       0.325100       0.455457       0.001979
       0.329100       0.460855       0.002051
       0.333100       0.465787       0.002015
       0.337100       0.472253       0.002020
       0.341100       0.478238       0.001913
       0.345100       0.485519       0.001789
       0.349100       0.485625       0.001871
       0.353100       0.502071       0.000689
       0.357100       0.506768       0.000441
       0.360600       0.509003       0.000683
       0.363600       0.512369       0.000600
       0.366600       0.512563       0.000396
       0.369600       0.514719       0.000756
       0.372600       0.516118       0.000659
       0.375600       0.518558       0.000674
       0.378600       0.521661       0.000622
       0.381100       0.524890       0.000784
       0.383100       0.527820       0.000789
       0.385100       0.531170       0.000483
       0.387100       0.534671       0.000502
       0.389100       0.537746       0.000524
       0.391100       0.542380       0.000470
       0.393100       0.543163       0.001083
       0.395100       0.548519       0.001126
       0.397100       0.550367       0.000879
       0.399100       0.553112       0.000696
       0.401100       0.556032       0.000960
       0.403100       0.559955       0.000573
       0.405100       0.562617       0.000558
       0.407100       0.567210       0.000617
       0.409100       0.569580       0.000810
       0.411100       0.573373       0.000743
       0.412800       0.575363       0.000711
       0.415800       0.580787       0.000665
       0.418800       0.585222       0.000485
       0.421800       0.590174       0.000678
       0.424800       0.596206       0.000652
       0.427800       0.600531       0.000625
       0.430800       0.607996       0.000490
       0.433800       0.613073       0.000582
       0.436800       0.619282       0.000932
       0.439800       0.623661       0.000615
       0.442800       0.629786       0.000474
       0.445800       0.634191       0.000472
       0.448800       0.639368       0.000709
       0.451300       0.641157       0.000580
       0.453300       0.644818       0.000843
       0.455300       0.648629       0.000594
       0.457300       0.650038       0.000563
       0.459300       0.650116       0.000851
       0.461300       0.651819       0.000555
       0.463300       0.655833       0.000722
       0.465300       0.656581       0.000605
       0.467300       0.660147       0.000652
       0.469300       0.660682       0.000653
       0.471300       0.662348       0.000760
       0.473300       0.664661       0.000794
       0.475300       0.665838       0.000700
       0.477300       0.667410       0.000753
       0.479300       0.669669       0.000570
       0.481300       0.670149       0.000616
       0.483300       0.673017       0.000543
       0.485300       0.674399       0.000522
       0.487300       0.676858       0.000684
       0.489300       0.679300       0.000717
       0.491300       0.678837       0.001131
       0.493300       0.682076       0.000844
       0.495300       0.684898       0.000577
       0.497300       0.686552       0.000753
       0.499300       0.687980       0.000677
       0.501300       0.691272       0.000533
       0.503300       0.691802       0.000609
       0.505300       0.694614       0.000738
       0.507300       0.697882       0.000788
       0.509300       0.699645       0.000847
       0.511300       0.701002       0.000788
       0.513300       0.702185       0.000665
       0.515300       0.702899       0.000706
       0.517300       0.705484       0.000603
       0.519300       0.707398       0.000701
       0.521300       0.710028       0.000746
       0.523300       0.711384       0.000549
       0.525300       0.711216       0.000756
       0.527300       0.713060       0.000778
       0.529300       0.714290       0.000774
       0.531300       0.714966       0.000817
       0.533300       0.715663       0.000843
       0.535300       0.715976       0.000844
       0.537300       0.714589       0.001196
       0.539300       0.716039       0.000792
       0.541300       0.715145       0.001419
       0.543300       0.716284       0.000878
       0.545300       0.715584       0.000733
       0.547300       0.715555       0.001193
       0.549300       0.715781       0.000693
       0.551300       0.713419       0.000749
       0.553300       0.711760       0.000655
       0.555300       0.710852       0.000696
       0.557300       0.710348       0.000769
       0.559300       0.707538       0.000611
       0.561300       0.705613       0.000788
       0.563300       0.704266       0.001136
       0.565300       0.702796       0.000775
       0.567300       0.700757       0.000708
       0.569300       0.698691       0.000806
       0.571300       0.697041       0.000561
       0.573300       0.694711       0.000522
       0.575300       0.691449       0.000489
       0.577300       0.691637       0.000486
       0.579300       0.689114       0.000598
       0.581300       0.687436       0.000891
       0.583300       0.684957       0.000489
       0.585300       0.682922       0.000631
       0.587300       0.680125       0.000569
       0.589300       0.678976       0.000576
       0.591300       0.676128       0.000664
       0.593300       0.673586       0.000400
       0.595300       0.670709       0.000639
       0.597300       0.670437       0.000497
       0.599300       0.668219       0.000806
       0.601100       0.667077       0.000581
       0.602700       0.665100       0.000543
       0.604300       0.664490       0.000575
       0.605900       0.663118       0.000427
       0.607500       0.661829       0.000861
       0.609100       0.662459       0.000687
       0.610700       0.660859       0.000893
       0.612300       0.659244       0.000827
       0.613900       0.659249       0.000829
       0.615500       0.657956       0.000719
       0.617100       0.657126       0.000778
       0.618700       0.657232       0.000627
       0.620300       0.658804       0.000600
       0.621900       0.656382       0.000651
       0.623500       0.656752       0.000701
       0.625100       0.656236       0.000732
       0.626700       0.656051       0.000618
       0.628300       0.656739       0.000770
       0.629900       0.656624       0.000656
       0.631700       0.656516       0.000648
       0.633700       0.658421       0.000602
       0.635700       0.656202       0.000643
       0.637700       0.657623       0.000576
       0.639700       0.658899       0.000806
       0.641700       0.658621       0.000504
       0.643700       0.660064       0.000355
       0.645700       0.660320       0.000428
       0.647700       0.661924       0.000647
       0.649700       0.662489       0.000490
       0.651700       0.664025       0.000750
       0.653700       0.664273       0.000498
       0.655700       0.666191       0.000570
       0.657700       0.666568       0.000600
       0.659700       0.669349       0.000633
       0.661700       0.670701       0.000588
       0.663700       0.670678       0.000922
       0.665700       0.673357       0.000696
       0.667700       0.673745       0.000802
       0.670200       0.675205       0.000875
       0.673200       0.677620       0.000601
       0.676200       0.679344       0.000608
       0.679200       0.681598       0.000572
       0.682200       0.683782       0.000425
       0.685200       0.686712       0.000476
       0.688200       0.689103       0.000585
       0.691200       0.691168       0.000591
       0.694200       0.694417       0.000602
       0.697200       0.695961       0.000611
       0.700200       0.701379       0.000807
       0.702000       0.700206       0.000476
       0.704000       0.701949       0.000707
       0.706000       0.704296       0.000516
       0.708000       0.705548       0.000447
       0.710000       0.707701       0.000537
       0.712000       0.708208       0.000849
       0.714000       0.709904       0.000617
       0.716000       0.711352       0.000573
       0.718000       0.711667       0.000616
       0.720000       0.713072       0.000715
       0.722000       0.713562       0.000590
       0.724000       0.716590       0.000741
       0.726000       0.717080       0.000694
       0.728000       0.718295       0.000806
       0.730000       0.720280       0.000713
       0.732000       0.721514       0.000498
       0.734000       0.723982       0.000669
       0.736000       0.725975       0.000690
       0.738000       0.726483       0.000710
       0.740000       0.727536       0.000963
       0.742000       0.729014       0.000761
       0.744000       0.729332       0.000917
       0.746000       0.731333       0.000738
       0.748000       0.732005       0.000609
       0.750500       0.735290       0.000582
       0.753500       0.737649       0.000476
       0.756500       0.738175       0.000695
       0.759500       0.740906       0.000660
       0.762500       0.740869       0.000801
       0.765500       0.744503       0.000730
       0.768500       0.746543       0.000854
       0.771500       0.749826       0.000742
       0.774500       0.751665       0.000709
       0.777500       0.751521       0.000626
       0.781000       0.754645       0.000583
       0.785000       0.757210       0.000611
       0.789000       0.759808       0.000541
       0.793000       0.761866       0.000645
       0.797000       0.765600       0.000725
       0.801500       0.767322       0.000646
       0.806500       0.770546       0.000879
       0.811500       0.771512       0.000766
       0.816500       0.773871       0.001039
       0.822000       0.778411       0.000517
       0.828000       0.780313       0.000593
       0.835000       0.781599       0.000911
       0.843000       0.784290       0.001083
       0.851000       0.788949       0.001951
       0.859000       0.794130       0.001655
       0.871000       0.792892       0.001645
       0.883000       0.798313       0.001631
       0.894000       0.799795       0.001618
       0.904000       0.799641       0.001443
       0.914000       0.801115       0.001096
       0.924000       0.803605       0.001232
       0.933000       0.803559       0.001606
       0.941000       0.801894       0.001166
       0.949000       0.804572       0.001009
       0.957000       0.805118       0.001166
       0.964000       0.805939       0.001319
       0.970000       0.806671       0.001621
       0.976000       0.809669       0.001269
       0.982000       0.807855       0.001533
       0.988000       0.807086       0.001423
       0.994000       0.805440       0.001170
       1.000000       0.808494       0.001673
       1.006000       0.810744       0.001289
       1.012000       0.809858       0.001382
       1.018000       0.810279       0.001100
       1.023500       0.811342       0.001523
       1.028500       0.812981       0.001122
       1.033500       0.809255       0.001385
       1.038500       0.811006       0.001435
       1.043500       0.810188       0.001094
       1.048500       0.811498       0.001165
       1.053500       0.813139       0.001058
       1.058500       0.809779       0.001210
       1.063500       0.810563       0.000867
       1.068500       0.811945       0.001353
       1.073500       0.810422       0.001283
       1.078500       0.810074       0.001334
       1.083500       0.811004       0.001111
       1.088500       0.811071       0.001313
       1.093500       0.812479       0.001094
       1.098500       0.811101       0.001006
       1.103500       0.812221       0.001170
       1.108500       0.811542       0.001093
       1.113500       0.813058       0.001078
       1.118500       0.809842       0.000799
       1.123500       0.811503       0.001284
       1.128500       0.810681       0.001258
       1.133500       0.808988       0.000997
       1.138500       0.811951       0.001333
       1.143500       0.810305       0.001039
       1.148500       0.809531       0.000925
       1.153500       0.811774       0.000860
       1.158500       0.811019       0.001126
       1.163500       0.812410       0.001158
       1.168500       0.809866       0.001130
       1.173500       0.809617       0.001104
       1.178500       0.811041       0.001119
       1.183500       0.811743       0.001179
       1.188500       0.812279       0.001432
       1.193500       0.810760       0.001496
       1.198500       0.811219       0.000672
       1.203500       0.807971       0.000715
       1.208500       0.810296       0.000859
       1.213500       0.811264       0.001029
       1.218500       0.810899       0.000716
       1.223500       0.810936       0.000805
       1.228500       0.807920       0.001160
       1.233500       0.809499       0.000884
       1.238500       0.807920       0.001010
       1.243500       0.810857       0.000910
       1.248500       0.810811       0.001198
       1.253500       0.809225       0.000737
       1.258500       0.812216       0.000693
       1.263500       0.810367       0.000770
       1.268500       0.811117       0.000737
       1.273500       0.809578       0.000836
       1.278500       0.810337       0.000954
       1.283500       0.809414       0.000868
       1.288500       0.812216       0.000957
       1.293500       0.809006       0.000773
       1.298500       0.810613       0.001008
       1.303500       0.809364       0.000805
       1.308500       0.810071       0.000810
       1.313500       0.809827       0.000838
       1.318500       0.811342       0.000790
       1.323500       0.807600       0.000833
       1.328500       0.810428       0.000765
       1.333500       0.810105       0.000770
       1.338500       0.810935       0.000774
       1.343500       0.810133       0.001025
       1.348500       0.809185       0.001051
       1.353500       0.811521       0.001133
       1.358500       0.810782       0.001074
       1.363500       0.809011       0.001174
       1.368500       0.810628       0.000978
       1.373500       0.812045       0.001305
       1.378500       0.810728       0.001038
       1.383500       0.812206       0.001287
       1.388500       0.811860       0.001249
       1.393500       0.811979       0.001213
       1.398500       0.810602       0.001289
       1.403500       0.810353       0.001365
       1.408500       0.812305       0.001181
       1.413500       0.811509       0.000949
       1.418500       0.809527       0.001376
       1.423500       0.810475       0.001073
       1.428500       0.812102       0.001263
       1.433500       0.811711       0.000940
       1.438500       0.811059       0.001133
       1.443500       0.812353       0.001068
       1.448500       0.813290       0.001174
       1.453500       0.814056       0.001107
       1.458500       0.813301       0.001554
       1.463500       0.814386       0.001341
       1.468500       0.815639       0.001380
       1.473500       0.814266       0.001160
       1.478500       0.813122       0.001170
       1.483500       0.810693       0.001423
       1.488500       0.815693       0.001221
       1.493500       0.814716       0.001214
       1.498500       0.818363       0.001469
       1.503500       0.816008       0.001480
       1.508500       0.816944       0.001246
       1.513500       0.817570       0.001456
       1.518500       0.820104       0.001463
       1.523500       0.819171       0.001108
       1.528500       0.818626       0.001071
       1.534000       0.819095       0.001303
       1.540000       0.818069       0.001123
       1.546000       0.819713       0.001129
       1.552000       0.821500       0.001130
       1.558000       0.823776       0.001603
       1.564000       0.821982       0.001068
       1.570500       0.819875       0.000926
       1.577500       0.822804       0.001019
       1.584500       0.823482       0.000800
       1.591500       0.822644       0.000884
       1.598500       0.822767       0.000800
       1.605500       0.824204       0.001017
       1.612500       0.825758       0.000718
       1.619500       0.824714       0.000871
       1.626500       0.822902       0.000801
       1.633500       0.823793       0.001091
       1.640500       0.825102       0.001384
       1.647500       0.828140       0.001232
       1.654500       0.823841       0.001186
       1.661500       0.826361       0.001224
       1.668500       0.823606       0.001335
       1.676000       0.825945       0.001088
       1.684000       0.824185       0.001441
       1.692000       0.828111       0.001383
       1.700000       0.829670       0.001638
       1.708000       0.827716       0.001646
       1.716000       0.828581       0.001590
       1.724000       0.824455       0.001412
       1.732000       0.826312       0.001722
       1.740000       0.828651       0.001526
       1.748000       0.828588       0.001730
       1.756000       0.833422       0.001683
       1.764000       0.830151       0.001362
       1.772000       0.831046       0.001180
       1.780000       0.828448       0.001494
       1.788000       0.835970       0.001692
       1.796000       0.831627       0.000976
       1.805000       0.830177       0.000931
       1.815000       0.827765       0.000824
       1.825000       0.828028       0.001227
       1.835000       0.830292       0.001373
       1.845000       0.824719       0.001084
       1.855000       0.831654       0.001345
       1.865000       0.827284       0.001180
       1.875000       0.826147       0.001090
       1.885000       0.823510       0.000882
       1.895000       0.820287       0.000955
       1.905000       0.819060       0.001352
       1.915000       0.812556       0.001220
       1.925000       0.813973       0.001261
       1.935000       0.818430       0.001054
       1.945000       0.815133       0.001410
       1.955000       0.820011       0.001199
       1.965000       0.823061       0.001578
       1.975000       0.823494       0.001357
       1.985000       0.827325       0.001636
       1.995000       0.826306       0.001606
       2.005000       0.828462       0.001507
       2.015000       0.827530       0.001705
       2.025000       0.832549       0.001685
       2.035000       0.836257       0.001541
       2.045000       0.829387       0.001562
       2.055000       0.833518       0.001732
       2.065000       0.831186       0.001696
       2.075000       0.832734       0.001704
       2.085000       0.831729       0.001618
       2.095000       0.834124       0.001700
       2.105000       0.839586       0.001659
       2.115000       0.838745       0.001694
       2.125000       0.839748       0.001714
       2.135000       0.841922       0.001718
       2.145000       0.837072       0.001662
       2.155000       0.838190       0.001706
       2.165000       0.839439       0.001698
       2.175000       0.832405       0.001737
       2.185000       0.829866       0.001710
       2.195000       0.832159       0.001698
       2.205000       0.822429       0.001632
       2.215000       0.827772       0.001742
       2.225000       0.825844       0.001742
       2.235000       0.826782       0.001741
       2.245000       0.830491       0.001743
       2.255000       0.828500       0.001739
       2.265000       0.826491       0.001742
       2.275000       0.830260       0.002204
       2.285000       0.828791       0.003052
       2.295000       0.833470       0.004016
       2.305000       0.832286       0.003485
       2.315000       0.828513       0.002538
       2.325000       0.835519       0.001748
       2.335000       0.833804       0.001745
