USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Mizzonite HS351.3BS Scapolte W1R1Bc AREF
copy of splib05a r 4461                                     
       0.205100      -1.23e34        0.017423
       0.213100      -1.23e34        0.002196
       0.221100       0.044538       0.000737
       0.229100       0.048323       0.000640
       0.236100       0.054521       0.000581
       0.242100       0.063010       0.000541
       0.248100       0.070353       0.000514
       0.253600       0.074437       0.000494
       0.258600       0.077917       0.000481
       0.263600       0.082364       0.000478
       0.268600       0.087801       0.000477
       0.273100       0.096037       0.000481
       0.277100       0.103021       0.000490
       0.281100       0.110824       0.000505
       0.285100       0.118179       0.000523
       0.289100       0.124431       0.000532
       0.293100       0.132895       0.000539
       0.297100      -1.23e34        0.000000
       0.301100       0.146497       0.000595
       0.305100       0.157666       0.000622
       0.309100       0.166561       0.000583
       0.313100       0.176204       0.000641
       0.317100       0.185092       0.000579
       0.321100       0.194964       0.000666
       0.325100       0.204052       0.000566
       0.329100       0.215570       0.000669
       0.333100       0.226236       0.000584
       0.337100       0.237772       0.000673
       0.341100       0.250524       0.000683
       0.345100       0.263272       0.000677
       0.349100       0.276810       0.000693
       0.353100       0.289152       0.000660
       0.357100       0.299235       0.000692
       0.360600       0.305760       0.000683
       0.363600       0.312132       0.000623
       0.366600       0.315362       0.000566
       0.369600       0.318451       0.000694
       0.372600       0.322152       0.000665
       0.375600       0.324385       0.000517
       0.378600       0.323890       0.000408
       0.381100       0.323640       0.000533
       0.383100       0.322614       0.000523
       0.385100       0.321321       0.000706
       0.387100       0.319438       0.000703
       0.389100       0.320456       0.000501
       0.391100       0.319223       0.000674
       0.393100       0.317533       0.000647
       0.395100       0.317059       0.000683
       0.397100       0.315298       0.000702
       0.399100       0.316022       0.000598
       0.401100       0.313989       0.000694
       0.403100       0.310358       0.000593
       0.405100       0.308462       0.000515
       0.407100       0.307794       0.000543
       0.409100       0.306769       0.000468
       0.411100       0.307456       0.000686
       0.412800       0.307551       0.000614
       0.415800       0.308614       0.000566
       0.418800       0.309365       0.000566
       0.421800       0.314121       0.000657
       0.424800       0.317773       0.000522
       0.427800       0.322509       0.000559
       0.430800       0.329378       0.000525
       0.433800       0.335473       0.000499
       0.436800       0.343123       0.000549
       0.439800       0.351444       0.000463
       0.442800       0.360489       0.000588
       0.445800       0.367777       0.000490
       0.448800       0.376419       0.000633
       0.451300       0.382462       0.000516
       0.453300       0.386598       0.000531
       0.455300       0.391338       0.000650
       0.457300       0.395350       0.000417
       0.459300       0.399223       0.000487
       0.461300       0.403131       0.000722
       0.463300       0.407382       0.000701
       0.465300       0.409919       0.000648
       0.467300       0.413207       0.000601
       0.469300       0.415021       0.000607
       0.471300       0.417215       0.000710
       0.473300       0.420099       0.000676
       0.475300       0.422819       0.000648
       0.477300       0.424225       0.000668
       0.479300       0.426896       0.000615
       0.481300       0.429736       0.000559
       0.483300       0.433166       0.000707
       0.485300       0.434612       0.000652
       0.487300       0.437790       0.000721
       0.489300       0.439025       0.000575
       0.491300       0.442039       0.000714
       0.493300       0.443449       0.000725
       0.495300       0.445320       0.000578
       0.497300       0.447038       0.000584
       0.499300       0.449763       0.000559
       0.501300       0.450488       0.000611
       0.503300       0.453249       0.000630
       0.505300       0.454478       0.000607
       0.507300       0.457059       0.000695
       0.509300       0.458902       0.000589
       0.511300       0.460175       0.000713
       0.513300       0.460693       0.000503
       0.515300       0.462212       0.000673
       0.517300       0.461947       0.000728
       0.519300       0.464463       0.000631
       0.521300       0.464535       0.000560
       0.523300       0.465709       0.000673
       0.525300       0.467256       0.000700
       0.527300       0.466686       0.000628
       0.529300       0.466334       0.000602
       0.531300       0.467665       0.000739
       0.533300       0.469181       0.000735
       0.535300       0.468160       0.000734
       0.537300       0.470336       0.000640
       0.539300       0.470688       0.000746
       0.541300       0.469347       0.000736
       0.543300       0.470098       0.000658
       0.545300       0.470329       0.000746
       0.547300       0.470384       0.000685
       0.549300       0.471513       0.000725
       0.551300       0.470156       0.000688
       0.553300       0.470865       0.000645
       0.555300       0.470783       0.000677
       0.557300       0.471022       0.000732
       0.559300       0.470213       0.000735
       0.561300       0.471983       0.000663
       0.563300       0.471152       0.000727
       0.565300       0.471206       0.000740
       0.567300       0.472044       0.000658
       0.569300       0.471260       0.000539
       0.571300       0.472331       0.000689
       0.573300       0.471562       0.000543
       0.575300       0.472206       0.000698
       0.577300       0.472176       0.000546
       0.579300       0.471988       0.000563
       0.581300       0.471467       0.000726
       0.583300       0.471493       0.000719
       0.585300       0.471103       0.000635
       0.587300       0.471392       0.000559
       0.589300       0.470730       0.000630
       0.591300       0.470447       0.000730
       0.593300       0.470629       0.000738
       0.595300       0.469633       0.000646
       0.597300       0.469989       0.000731
       0.599300       0.469097       0.000578
       0.601100       0.469344       0.000679
       0.602700       0.468562       0.000702
       0.604300       0.467604       0.000707
       0.605900       0.468914       0.000733
       0.607500       0.467530       0.000729
       0.609100       0.466858       0.000746
       0.610700       0.467875       0.000738
       0.612300       0.467391       0.000584
       0.613900       0.468194       0.000679
       0.615500       0.465843       0.000545
       0.617100       0.465212       0.000644
       0.618700       0.465203       0.000587
       0.620300       0.465364       0.000683
       0.621900       0.464791       0.000728
       0.623500       0.464265       0.000516
       0.625100       0.463814       0.000658
       0.626700       0.463919       0.000638
       0.628300       0.464008       0.000556
       0.629900       0.462563       0.000707
       0.631700       0.462422       0.000617
       0.633700       0.462453       0.000743
       0.635700       0.461952       0.000492
       0.637700       0.462928       0.000674
       0.639700       0.461887       0.000659
       0.641700       0.461470       0.000622
       0.643700       0.460938       0.000629
       0.645700       0.460804       0.000697
       0.647700       0.460385       0.000592
       0.649700       0.459179       0.000548
       0.651700       0.459555       0.000545
       0.653700       0.459590       0.000714
       0.655700       0.459617       0.000657
       0.657700       0.459685       0.000649
       0.659700       0.460236       0.000575
       0.661700       0.459103       0.000723
       0.663700       0.458806       0.000746
       0.665700       0.460328       0.000570
       0.667700       0.458305       0.000595
       0.670200       0.458541       0.000603
       0.673200       0.458260       0.000686
       0.676200       0.459022       0.000581
       0.679200       0.458330       0.000556
       0.682200       0.457504       0.000637
       0.685200       0.458268       0.000616
       0.688200       0.457586       0.000595
       0.691200       0.457923       0.000736
       0.694200       0.457935       0.000620
       0.697200       0.457462       0.000621
       0.700200       0.457682       0.000758
       0.702000       0.456710       0.000681
       0.704000       0.458391       0.000698
       0.706000       0.459562       0.000671
       0.708000       0.457245       0.000744
       0.710000       0.459277       0.000762
       0.712000       0.458271       0.000606
       0.714000       0.457823       0.000710
       0.716000       0.458300       0.000590
       0.718000       0.458364       0.000586
       0.720000       0.456560       0.000727
       0.722000       0.459009       0.000582
       0.724000       0.458020       0.000754
       0.726000       0.458502       0.000615
       0.728000       0.458502       0.000710
       0.730000       0.459112       0.000702
       0.732000       0.459497       0.000759
       0.734000       0.459741       0.000643
       0.736000       0.459245       0.000626
       0.738000       0.459474       0.000691
       0.740000       0.459679       0.000724
       0.742000       0.459653       0.000588
       0.744000       0.460910       0.000603
       0.746000       0.460213       0.000766
       0.748000       0.460109       0.000760
       0.750500       0.460539       0.000566
       0.753500       0.460767       0.000547
       0.756500       0.462134       0.000589
       0.759500       0.461121       0.000630
       0.762500       0.463033       0.000532
       0.765500       0.462955       0.000543
       0.768500       0.463121       0.000789
       0.771500       0.463463       0.000747
       0.774500       0.464100       0.000777
       0.777500       0.464312       0.000686
       0.781000       0.464668       0.000594
       0.785000       0.464125       0.000680
       0.789000       0.465839       0.000692
       0.793000       0.465262       0.000677
       0.797000       0.465970       0.000618
       0.801500       0.465321       0.000604
       0.806500       0.464060       0.000583
       0.811500       0.464929       0.000807
       0.816500       0.464627       0.000633
       0.822000       0.463064       0.000661
       0.828000       0.464146       0.000672
       0.835000       0.462544       0.000767
       0.843000       0.460955       0.000832
       0.851000       0.466858       0.001368
       0.859000       0.461548       0.000854
       0.871000       0.461112       0.000859
       0.883000       0.460190       0.000864
       0.894000       0.459580       0.000863
       0.904000       0.459651       0.000867
       0.914000       0.459358       0.000869
       0.924000       0.458479       0.000875
       0.933000       0.461222       0.000875
       0.941000       0.459072       0.000881
       0.949000       0.458956       0.000873
       0.957000       0.458004       0.000884
       0.964000       0.456675       0.000876
       0.970000       0.457803       0.000885
       0.976000       0.457778       0.000886
       0.982000       0.458802       0.000885
       0.988000       0.458048       0.000884
       0.994000       0.458988       0.000883
       1.000000       0.458569       0.000877
       1.006000       0.459008       0.000884
       1.012000       0.457211       0.000887
       1.018000       0.457192       0.000889
       1.023500       0.456914       0.000892
       1.028500       0.457973       0.000892
       1.033500       0.458861       0.000898
       1.038500       0.456971       0.000893
       1.043500       0.458374       0.000900
       1.048500       0.457194       0.000887
       1.053500       0.457941       0.000889
       1.058500       0.456697       0.000899
       1.063500       0.457589       0.000898
       1.068500       0.456947       0.000899
       1.073500       0.457117       0.000902
       1.078500       0.459002       0.000888
       1.083500       0.458514       0.000893
       1.088500       0.462195       0.000897
       1.093500       0.457797       0.000898
       1.098500       0.461083       0.000900
       1.103500       0.460679       0.000895
       1.108500       0.462001       0.000899
       1.113500       0.461800       0.000906
       1.118500       0.461973       0.000903
       1.123500       0.463825       0.000848
       1.128500       0.466017       0.000894
       1.133500       0.466654       0.000910
       1.138500       0.466872       0.000912
       1.143500       0.468156       0.000878
       1.148500       0.468190       0.000911
       1.153500       0.467540       0.000908
       1.158500       0.468705       0.000915
       1.163500       0.468316       0.000906
       1.168500       0.471767       0.000909
       1.173500       0.472309       0.000914
       1.178500       0.472382       0.000913
       1.183500       0.478177       0.000921
       1.188500       0.476963       0.000914
       1.193500       0.479335       0.000918
       1.198500       0.480701       0.000921
       1.203500       0.480339       0.000919
       1.208500       0.483067       0.000910
       1.213500       0.481344       0.000912
       1.218500       0.486228       0.000927
       1.223500       0.486738       0.000923
       1.228500       0.489139       0.000913
       1.233500       0.489960       0.000863
       1.238500       0.489615       0.000915
       1.243500       0.491715       0.000919
       1.248500       0.493546       0.000923
       1.253500       0.492566       0.000912
       1.258500       0.494481       0.000910
       1.263500       0.496550       0.000910
       1.268500       0.494836       0.000689
       1.273500       0.497548       0.000922
       1.278500       0.498350       0.000930
       1.283500       0.499083       0.000925
       1.288500       0.500046       0.000767
       1.293500       0.500155       0.000925
       1.298500       0.501316       0.000892
       1.303500       0.503618       0.000904
       1.308500       0.501153       0.000887
       1.313500       0.508430       0.000939
       1.318500       0.505764       0.000933
       1.323500       0.507387       0.000914
       1.328500       0.506192       0.000900
       1.333500       0.509538       0.000930
       1.338500       0.508311       0.000936
       1.343500       0.509052       0.000934
       1.348500       0.508211       0.000928
       1.353500       0.509585       0.000928
       1.358500       0.508496       0.000928
       1.363500       0.510428       0.000938
       1.368500       0.509792       0.000929
       1.373500       0.509253       0.000939
       1.378500       0.509793       0.000931
       1.383500       0.505213       0.000937
       1.388500       0.494025       0.000941
       1.393500       0.483707       0.000936
       1.398500       0.483394       0.000937
       1.403500       0.473686       0.000923
       1.408500       0.462743       0.000923
       1.413500       0.454398       0.000931
       1.418500       0.447948       0.000930
       1.423500       0.449362       0.000922
       1.428500       0.457275       0.000920
       1.433500       0.462624       0.000924
       1.438500       0.470442       0.000926
       1.443500       0.480005       0.000932
       1.448500       0.481984       0.000936
       1.453500       0.481317       0.000937
       1.458500       0.480451       0.000935
       1.463500       0.477282       0.000936
       1.468500       0.464295       0.000938
       1.473500       0.441122       0.000933
       1.478500       0.425404       0.000925
       1.483500       0.448876       0.000931
       1.488500       0.477246       0.000927
       1.493500       0.493050       0.000937
       1.498500       0.500727       0.000945
       1.503500       0.508820       0.000948
       1.508500       0.505130       0.000944
       1.513500       0.508844       0.000943
       1.518500       0.510735       0.000942
       1.523500       0.517615       0.000939
       1.528500       0.518891       0.000944
       1.534000       0.522822       0.000950
       1.540000       0.523993       0.000948
       1.546000       0.523705       0.000936
       1.552000       0.526758       0.000862
       1.558000       0.528642       0.000956
       1.564000       0.530780       0.000945
       1.570500       0.531675       0.000895
       1.577500       0.534517       0.000948
       1.584500       0.534398       0.000954
       1.591500       0.533629       0.000941
       1.598500       0.534711       0.000947
       1.605500       0.534223       0.000951
       1.612500       0.536331       0.000958
       1.619500       0.534825       0.000963
       1.626500       0.535849       0.000938
       1.633500       0.535401       0.000955
       1.640500       0.532256       0.000956
       1.647500       0.531883       0.000959
       1.654500       0.533414       0.000952
       1.661500       0.534755       0.000953
       1.668500       0.534212       0.000954
       1.676000       0.531467       0.000956
       1.684000       0.532038       0.000954
       1.692000       0.529031       0.000958
       1.700000       0.531005       0.000960
       1.708000       0.529903       0.000962
       1.716000       0.525470       0.000958
       1.724000       0.526453       0.000953
       1.732000       0.526741       0.000954
       1.740000       0.526341       0.000963
       1.748000       0.525148       0.000960
       1.756000       0.523234       0.000960
       1.764000       0.523807       0.000957
       1.772000       0.520965       0.000956
       1.780000       0.520642       0.000961
       1.788000       0.520279       0.000964
       1.796000       0.519209       0.000958
       1.805000       0.518150       0.000960
       1.815000       0.514566       0.000948
       1.825000       0.514335       0.000940
       1.835000       0.513233       0.000962
       1.845000       0.512623       0.000945
       1.855000       0.508607       0.000957
       1.865000       0.502652       0.000959
       1.875000       0.491584       0.000953
       1.885000       0.476473       0.000946
       1.895000       0.442264       0.000946
       1.905000       0.381493       0.000933
       1.915000       0.337892       0.000909
       1.925000       0.375413       0.000920
       1.935000       0.407227       0.000934
       1.945000       0.425217       0.000942
       1.955000       0.435318       0.000945
       1.965000       0.442250       0.000946
       1.975000       0.451541       0.000947
       1.985000       0.454294       0.000947
       1.995000       0.460165       0.000939
       2.005000       0.470339       0.000949
       2.015000       0.474907       0.000952
       2.025000       0.479319       0.000949
       2.035000       0.484584       0.000948
       2.045000       0.486395       0.000947
       2.055000       0.486193       0.000946
       2.065000       0.487280       0.000946
       2.075000       0.486514       0.000944
       2.085000       0.484402       0.000943
       2.095000       0.482216       0.000944
       2.105000       0.475609       0.000937
       2.115000       0.471460       0.000942
       2.125000       0.465384       0.000936
       2.135000       0.463202       0.000937
       2.145000       0.460321       0.000939
       2.155000       0.448986       0.000932
       2.165000       0.436501       0.000931
       2.175000       0.424262       0.000934
       2.185000       0.412014       0.000932
       2.195000       0.400759       0.000933
       2.205000       0.381759       0.000932
       2.215000       0.364477       0.000927
       2.225000       0.341577       0.000928
       2.235000       0.325066       0.000925
       2.245000       0.329234       0.000924
       2.255000       0.336215       0.000926
       2.265000       0.333559       0.000950
       2.275000       0.330000       0.001294
       2.285000       0.315177       0.001527
       2.295000       0.302885       0.002381
       2.305000       0.309264       0.001991
       2.315000       0.293851       0.001622
       2.325000       0.230733       0.000912
       2.335000       0.200333       0.000904
       2.345000       0.197459       0.000897
