USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Montmorillonite SCa-2.b      W1R1Bb AREF
copy of splib05a r 4580                                     
       0.205100      -1.23e34        0.036474
       0.213100      -1.23e34        0.020837
       0.221100      -1.23e34        0.009361
       0.229100      -1.23e34        0.004942
       0.236100      -1.23e34        0.003373
       0.242100      -1.23e34        0.001892
       0.248100      -1.23e34        0.001453
       0.253600      -1.23e34        0.001284
       0.258600       0.043943       0.001123
       0.263600       0.044048       0.000902
       0.268600       0.047664       0.000958
       0.273100       0.050498       0.001159
       0.277100       0.056910       0.000984
       0.281100       0.058745       0.000864
       0.285100       0.065861       0.000907
       0.289100       0.072176       0.000881
       0.293100       0.078689       0.000771
       0.297100       0.088322       0.000831
       0.301100       0.101736       0.001001
       0.305100       0.111564       0.000731
       0.309100       0.124653       0.000821
       0.313100       0.138189       0.000773
       0.317100       0.153556       0.000862
       0.321100       0.167484       0.000650
       0.325100       0.182841       0.000831
       0.329100       0.194565       0.000845
       0.333100       0.209083       0.000730
       0.337100       0.220962       0.000775
       0.341100       0.233596       0.000714
       0.345100       0.244802       0.000726
       0.349100       0.254287       0.000730
       0.353100       0.260226       0.000444
       0.357100       0.268335       0.000529
       0.360600       0.274721       0.000394
       0.363600       0.278800       0.000363
       0.366600       0.283710       0.000488
       0.369600       0.287073       0.000543
       0.372600       0.290519       0.001029
       0.375600       0.293893       0.000522
       0.378600       0.298478       0.000408
       0.381100       0.302115       0.000550
       0.383100       0.305370       0.000418
       0.385100       0.307793       0.000497
       0.387100       0.309509       0.000527
       0.389100       0.312758       0.000607
       0.391100       0.315587       0.000630
       0.393100       0.316679       0.000530
       0.395100       0.319747       0.000982
       0.397100       0.321342       0.000681
       0.399100       0.322635       0.000673
       0.401100       0.323743       0.000986
       0.403100       0.326027       0.000470
       0.405100       0.327625       0.000445
       0.407100       0.328163       0.000745
       0.409100       0.329686       0.000388
       0.411100       0.332361       0.000574
       0.412800       0.332454       0.000584
       0.415800       0.333694       0.000486
       0.418800       0.335562       0.000634
       0.421800       0.338192       0.000588
       0.424800       0.339706       0.000372
       0.427800       0.341656       0.000514
       0.430800       0.344005       0.000374
       0.433800       0.345874       0.000528
       0.436800       0.347856       0.000457
       0.439800       0.351009       0.000399
       0.442800       0.353196       0.000460
       0.445800       0.357612       0.000497
       0.448800       0.359982       0.000519
       0.451300       0.363699       0.000628
       0.453300       0.365805       0.000731
       0.455300       0.367510       0.000657
       0.457300       0.368396       0.000569
       0.459300       0.371070       0.000584
       0.461300       0.373032       0.000437
       0.463300       0.374977       0.000595
       0.465300       0.376421       0.001041
       0.467300       0.377852       0.001094
       0.469300       0.379732       0.000662
       0.471300       0.380793       0.000588
       0.473300       0.382499       0.000645
       0.475300       0.383870       0.000754
       0.477300       0.386198       0.000659
       0.479300       0.387848       0.000674
       0.481300       0.389516       0.000731
       0.483300       0.390079       0.001026
       0.485300       0.391951       0.000691
       0.487300       0.393923       0.000510
       0.489300       0.394950       0.000516
       0.491300       0.396969       0.000687
       0.493300       0.399607       0.000492
       0.495300       0.400304       0.000488
       0.497300       0.402402       0.000539
       0.499300       0.403693       0.000645
       0.501300       0.406853       0.000518
       0.503300       0.408033       0.000613
       0.505300       0.408975       0.000619
       0.507300       0.411050       0.000608
       0.509300       0.413107       0.000676
       0.511300       0.415529       0.000562
       0.513300       0.417473       0.000429
       0.515300       0.418336       0.000582
       0.517300       0.420789       0.000708
       0.519300       0.422734       0.000512
       0.521300       0.425344       0.000589
       0.523300       0.425895       0.000543
       0.525300       0.428149       0.000682
       0.527300       0.429536       0.000783
       0.529300       0.432984       0.000762
       0.531300       0.434697       0.000712
       0.533300       0.436313       0.000685
       0.535300       0.439752       0.000832
       0.537300       0.441264       0.000701
       0.539300       0.443476       0.000752
       0.541300       0.445768       0.000766
       0.543300       0.448139       0.000738
       0.545300       0.450677       0.000675
       0.547300       0.454281       0.000628
       0.549300       0.454939       0.000548
       0.551300       0.458656       0.000564
       0.553300       0.460699       0.000602
       0.555300       0.464657       0.000617
       0.557300       0.467903       0.000942
       0.559300       0.471461       0.000521
       0.561300       0.474442       0.000931
       0.563300       0.478598       0.000939
       0.565300       0.482533       0.000731
       0.567300       0.486770       0.000548
       0.569300       0.489555       0.000709
       0.571300       0.493471       0.001070
       0.573300       0.499114       0.000597
       0.575300       0.501546       0.000635
       0.577300       0.506508       0.000521
       0.579300       0.509492       0.000465
       0.581300       0.513039       0.000549
       0.583300       0.516480       0.000632
       0.585300       0.519655       0.000617
       0.587300       0.523305       0.000591
       0.589300       0.525419       0.000673
       0.591300       0.527198       0.000656
       0.593300       0.528549       0.000582
       0.595300       0.529778       0.000518
       0.597300       0.532744       0.000534
       0.599300       0.533631       0.000667
       0.601100       0.535013       0.000599
       0.602700       0.537533       0.000630
       0.604300       0.539121       0.000683
       0.605900       0.539737       0.000655
       0.607500       0.540667       0.000648
       0.609100       0.540646       0.000598
       0.610700       0.542212       0.000558
       0.612300       0.542913       0.000793
       0.613900       0.543341       0.000584
       0.615500       0.545985       0.000494
       0.617100       0.546278       0.000703
       0.618700       0.547515       0.000600
       0.620300       0.547815       0.000554
       0.621900       0.549203       0.000634
       0.623500       0.549697       0.000571
       0.625100       0.552531       0.000682
       0.626700       0.552128       0.000817
       0.628300       0.553599       0.000585
       0.629900       0.554457       0.000679
       0.631700       0.556158       0.000624
       0.633700       0.556246       0.000947
       0.635700       0.557037       0.000526
       0.637700       0.558872       0.000562
       0.639700       0.560224       0.000696
       0.641700       0.560577       0.000672
       0.643700       0.562650       0.000599
       0.645700       0.562830       0.000738
       0.647700       0.565562       0.000539
       0.649700       0.565708       0.000386
       0.651700       0.566900       0.000526
       0.653700       0.568121       0.000545
       0.655700       0.569624       0.000575
       0.657700       0.570348       0.000648
       0.659700       0.571090       0.000469
       0.661700       0.572312       0.000505
       0.663700       0.574463       0.001025
       0.665700       0.575955       0.000487
       0.667700       0.576473       0.000471
       0.670200       0.577456       0.000479
       0.673200       0.580424       0.000638
       0.676200       0.581865       0.000687
       0.679200       0.582852       0.000514
       0.682200       0.584897       0.000633
       0.685200       0.586122       0.000417
       0.688200       0.586881       0.000495
       0.691200       0.590296       0.000426
       0.694200       0.591691       0.000435
       0.697200       0.590813       0.000479
       0.700200       0.596434       0.000600
       0.702000       0.594549       0.000697
       0.704000       0.595082       0.000537
       0.706000       0.597056       0.000461
       0.708000       0.597530       0.000450
       0.710000       0.598893       0.000450
       0.712000       0.599607       0.000463
       0.714000       0.600488       0.000510
       0.716000       0.600797       0.000657
       0.718000       0.601098       0.000692
       0.720000       0.601632       0.000686
       0.722000       0.602462       0.000616
       0.724000       0.604116       0.000651
       0.726000       0.604945       0.000638
       0.728000       0.606286       0.000529
       0.730000       0.605030       0.000857
       0.732000       0.606680       0.000581
       0.734000       0.606589       0.000721
       0.736000       0.606555       0.000695
       0.738000       0.606968       0.000660
       0.740000       0.607916       0.000713
       0.742000       0.607889       0.001144
       0.744000       0.609760       0.000787
       0.746000       0.610520       0.000610
       0.748000       0.611167       0.000499
       0.750500       0.611821       0.000561
       0.753500       0.613334       0.000589
       0.756500       0.613834       0.000384
       0.759500       0.614068       0.000932
       0.762500       0.614231       0.000794
       0.765500       0.616096       0.000597
       0.768500       0.617617       0.000623
       0.771500       0.619160       0.000615
       0.774500       0.619408       0.001004
       0.777500       0.618379       0.000581
       0.781000       0.619796       0.000556
       0.785000       0.621038       0.000624
       0.789000       0.621879       0.000673
       0.793000       0.622881       0.000937
       0.797000       0.623369       0.000662
       0.801500       0.622174       0.000542
       0.806500       0.624406       0.000662
       0.811500       0.626297       0.000805
       0.816500       0.625247       0.001019
       0.822000       0.625095       0.000766
       0.828000       0.624540       0.000733
       0.835000       0.622793       0.000962
       0.843000       0.623947       0.001391
       0.851000       0.630267       0.001870
       0.859000       0.629878       0.001616
       0.871000       0.630448       0.001638
       0.883000       0.632450       0.001506
       0.894000       0.635817       0.001615
       0.904000       0.636161       0.001642
       0.914000       0.631910       0.001215
       0.924000       0.636733       0.001012
       0.933000       0.639637       0.001196
       0.941000       0.637345       0.001339
       0.949000       0.635507       0.000955
       0.957000       0.633148       0.000964
       0.964000       0.633999       0.001185
       0.970000       0.635073       0.001383
       0.976000       0.638632       0.000975
       0.982000       0.641911       0.001086
       0.988000       0.642904       0.000931
       0.994000       0.646275       0.000924
       1.000000       0.645740       0.000942
       1.006000       0.649224       0.000956
       1.012000       0.647698       0.000934
       1.018000       0.650175       0.000894
       1.023500       0.652264       0.001403
       1.028500       0.652835       0.001114
       1.033500       0.654444       0.000897
       1.038500       0.655138       0.001094
       1.043500       0.656847       0.001305
       1.048500       0.657925       0.001129
       1.053500       0.658176       0.000998
       1.058500       0.660736       0.001276
       1.063500       0.660397       0.000843
       1.068500       0.662408       0.001097
       1.073500       0.662624       0.001092
       1.078500       0.662638       0.001143
       1.083500       0.666548       0.001023
       1.088500       0.665868       0.000806
       1.093500       0.665758       0.000924
       1.098500       0.667102       0.000686
       1.103500       0.667027       0.000883
       1.108500       0.667147       0.000916
       1.113500       0.668495       0.001003
       1.118500       0.669579       0.000913
       1.123500       0.669269       0.000950
       1.128500       0.669382       0.000933
       1.133500       0.668341       0.000771
       1.138500       0.670085       0.000932
       1.143500       0.665783       0.000840
       1.148500       0.662100       0.001006
       1.153500       0.658331       0.000959
       1.158500       0.658574       0.000727
       1.163500       0.659875       0.000849
       1.168500       0.663251       0.000933
       1.173500       0.667396       0.000856
       1.178500       0.664193       0.001111
       1.183500       0.669725       0.001007
       1.188500       0.673832       0.001040
       1.193500       0.669477       0.000933
       1.198500       0.670769       0.001125
       1.203500       0.671233       0.000738
       1.208500       0.673026       0.001123
       1.213500       0.673397       0.000967
       1.218500       0.675809       0.000851
       1.223500       0.675377       0.000820
       1.228500       0.675556       0.000831
       1.233500       0.676053       0.000860
       1.238500       0.675774       0.001054
       1.243500       0.675845       0.000986
       1.248500       0.677389       0.000683
       1.253500       0.677701       0.000879
       1.258500       0.677980       0.000773
       1.263500       0.679241       0.001020
       1.268500       0.679934       0.000889
       1.273500       0.679168       0.000749
       1.278500       0.679087       0.000750
       1.283500       0.677439       0.000835
       1.288500       0.679136       0.000862
       1.293500       0.675549       0.000781
       1.298500       0.675794       0.000995
       1.303500       0.674310       0.000725
       1.308500       0.672368       0.000751
       1.313500       0.671948       0.000561
       1.318500       0.671129       0.000754
       1.323500       0.667294       0.000612
       1.328500       0.667548       0.000687
       1.333500       0.665267       0.000964
       1.338500       0.660122       0.001169
       1.343500       0.658745       0.000973
       1.348500       0.654908       0.000931
       1.353500       0.651725       0.000738
       1.358500       0.648022       0.000945
       1.363500       0.646712       0.001258
       1.368500       0.640837       0.001110
       1.373500       0.631318       0.001264
       1.378500       0.621015       0.001406
       1.383500       0.599378       0.001152
       1.388500       0.575824       0.001052
       1.393500       0.536691       0.001010
       1.398500       0.496439       0.001197
       1.403500       0.466531       0.001110
       1.408500       0.441261       0.000905
       1.413500       0.420198       0.001182
       1.418500       0.416215       0.001170
       1.423500       0.433198       0.000979
       1.428500       0.457251       0.000937
       1.433500       0.477417       0.001199
       1.438500       0.500778       0.000910
       1.443500       0.512154       0.001159
       1.448500       0.520644       0.000984
       1.453500       0.524978       0.001225
       1.458500       0.526854       0.001405
       1.463500       0.526232       0.000987
       1.468500       0.529876       0.000978
       1.473500       0.537602       0.001108
       1.478500       0.549549       0.001081
       1.483500       0.558712       0.001097
       1.488500       0.567654       0.001272
       1.493500       0.573963       0.000855
       1.498500       0.583864       0.001418
       1.503500       0.586182       0.001389
       1.508500       0.592162       0.001654
       1.513500       0.597591       0.001531
       1.518500       0.605045       0.000963
       1.523500       0.610372       0.001386
       1.528500       0.610874       0.001301
       1.534000       0.615390       0.000860
       1.540000       0.620926       0.000825
       1.546000       0.622979       0.000957
       1.552000       0.627123       0.001051
       1.558000       0.631869       0.001050
       1.564000       0.634904       0.000901
       1.570500       0.636468       0.000864
       1.577500       0.639118       0.000768
       1.584500       0.642825       0.000919
       1.591500       0.644022       0.000846
       1.598500       0.644650       0.000789
       1.605500       0.649550       0.000947
       1.612500       0.649914       0.000703
       1.619500       0.652267       0.000980
       1.626500       0.654001       0.001177
       1.633500       0.654235       0.000710
       1.640500       0.656528       0.001301
       1.647500       0.656340       0.001064
       1.654500       0.657361       0.000989
       1.661500       0.658986       0.000854
       1.668500       0.659497       0.001320
       1.676000       0.657982       0.001243
       1.684000       0.660153       0.001143
       1.692000       0.662525       0.001685
       1.700000       0.659412       0.001684
       1.708000       0.658266       0.001414
       1.716000       0.655011       0.001135
       1.724000       0.649066       0.001124
       1.732000       0.651320       0.001381
       1.740000       0.648856       0.001658
       1.748000       0.645525       0.001577
       1.756000       0.643774       0.001668
       1.764000       0.639093       0.001220
       1.772000       0.634217       0.001501
       1.780000       0.631454       0.001714
       1.788000       0.629527       0.001410
       1.796000       0.627155       0.001056
       1.805000       0.625968       0.000929
       1.815000       0.622382       0.000945
       1.825000       0.619656       0.000792
       1.835000       0.619684       0.001103
       1.845000       0.611114       0.000821
       1.855000       0.596451       0.001125
       1.865000       0.573493       0.000844
       1.875000       0.523995       0.001433
       1.885000       0.443288       0.000944
       1.895000       0.326626       0.001067
       1.905000       0.237662       0.001374
       1.915000       0.228347       0.000887
       1.925000       0.265545       0.000937
       1.935000       0.300206       0.001128
       1.945000       0.326123       0.001179
       1.955000       0.342835       0.001272
       1.965000       0.357139       0.001165
       1.975000       0.369630       0.001576
       1.985000       0.386232       0.001617
       1.995000       0.405560       0.001658
       2.005000       0.421921       0.001026
       2.015000       0.440545       0.001532
       2.025000       0.457231       0.001288
       2.035000       0.473755       0.001527
       2.045000       0.481600       0.001278
       2.055000       0.495052       0.001415
       2.065000       0.502187       0.001633
       2.075000       0.506946       0.001629
       2.085000       0.510666       0.001556
       2.095000       0.511844       0.001670
       2.105000       0.519318       0.001617
       2.115000       0.521721       0.001660
       2.125000       0.523402       0.001669
       2.135000       0.529478       0.001636
       2.145000       0.529462       0.001639
       2.155000       0.530745       0.001261
       2.165000       0.531025       0.001091
       2.175000       0.519682       0.001553
       2.185000       0.502267       0.001663
       2.195000       0.471579       0.001639
       2.205000       0.413442       0.001648
       2.215000       0.372380       0.001678
       2.225000       0.387455       0.001694
       2.235000       0.407055       0.001679
       2.245000       0.427554       0.001689
       2.255000       0.447924       0.001696
       2.265000       0.461543       0.001693
       2.275000       0.465169       0.001864
       2.285000       0.459323       0.002568
       2.295000       0.445751       0.003782
       2.305000       0.425280       0.003519
       2.315000       0.413356       0.002359
       2.325000       0.398391       0.001693
       2.335000       0.385405       0.001668
