USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Montmorillonite STx-1        W1R1Bb AREF
copy of splib05a r 4593                                     
       0.205100      -1.23e34        0.150712
       0.213100      -1.23e34        0.021816
       0.221100       0.183996       0.005341
       0.229100       0.171289       0.001650
       0.236100       0.157085       0.001442
       0.242100       0.146239       0.001373
       0.248100       0.144221       0.001093
       0.253600       0.145897       0.000856
       0.258600       0.158336       0.001240
       0.263600       0.159528       0.001269
       0.268600       0.168816       0.001289
       0.273100       0.184178       0.001312
       0.277100       0.198811       0.001167
       0.281100       0.215579       0.001372
       0.285100       0.236290       0.001425
       0.289100       0.261343       0.000903
       0.293100       0.283839       0.001483
       0.297100       0.311540       0.000654
       0.301100       0.333497       0.001617
       0.305100       0.361440       0.001071
       0.309100       0.386384       0.001669
       0.313100       0.411753       0.000797
       0.317100       0.438549       0.000887
       0.321100       0.457735       0.000851
       0.325100       0.477074       0.001751
       0.329100       0.495375       0.001150
       0.333100       0.515379       0.001756
       0.337100       0.535916       0.001092
       0.341100       0.550010       0.001029
       0.345100       0.568223       0.001776
       0.349100       0.583629       0.001791
       0.353100       0.593998       0.000348
       0.357100       0.606083       0.000730
       0.360600       0.612919       0.001336
       0.363600       0.622340       0.000659
       0.366600       0.629956       0.000247
       0.369600       0.638743       0.000331
       0.372600       0.648534       0.000385
       0.375600       0.657079       0.000434
       0.378600       0.666596       0.000251
       0.381100       0.674359       0.000639
       0.383100       0.680927       0.000316
       0.385100       0.687447       0.001107
       0.387100       0.694106       0.000430
       0.389100       0.699157       0.000333
       0.391100       0.705964       0.000264
       0.393100       0.710863       0.000362
       0.395100       0.714113       0.000324
       0.397100       0.718680       0.000502
       0.399100       0.722304       0.000908
       0.401100       0.726875       0.000690
       0.403100       0.730023       0.000370
       0.405100       0.733031       0.000148
       0.407100       0.735842       0.000857
       0.409100       0.739715       0.000347
       0.411100       0.743548       0.000474
       0.412800       0.744609       0.000461
       0.415800       0.749799       0.000361
       0.418800       0.755549       0.000393
       0.421800       0.759436       0.000430
       0.424800       0.763928       0.000472
       0.427800       0.767472       0.000229
       0.430800       0.773264       0.000264
       0.433800       0.776957       0.000233
       0.436800       0.780893       0.000275
       0.439800       0.785005       0.000233
       0.442800       0.789377       0.000358
       0.445800       0.793240       0.000263
       0.448800       0.796343       0.000287
       0.451300       0.800856       0.000720
       0.453300       0.805196       0.000377
       0.455300       0.803809       0.000518
       0.457300       0.805517       0.000504
       0.459300       0.807177       0.001408
       0.461300       0.809835       0.000769
       0.463300       0.808630       0.000315
       0.465300       0.808324       0.000403
       0.467300       0.810068       0.000288
       0.469300       0.810961       0.000515
       0.471300       0.811931       0.000486
       0.473300       0.811542       0.001217
       0.475300       0.813444       0.000329
       0.477300       0.815374       0.000431
       0.479300       0.815776       0.000613
       0.481300       0.817419       0.000293
       0.483300       0.816787       0.000459
       0.485300       0.818536       0.001019
       0.487300       0.819234       0.000380
       0.489300       0.821454       0.000605
       0.491300       0.821722       0.000382
       0.493300       0.822453       0.001148
       0.495300       0.825838       0.000290
       0.497300       0.826982       0.000518
       0.499300       0.826903       0.001040
       0.501300       0.830757       0.000619
       0.503300       0.830977       0.000579
       0.505300       0.830789       0.000577
       0.507300       0.832741       0.001156
       0.509300       0.834235       0.000322
       0.511300       0.835300       0.000403
       0.513300       0.837074       0.000315
       0.515300       0.838453       0.000492
       0.517300       0.840486       0.000369
       0.519300       0.841313       0.000485
       0.521300       0.842638       0.000610
       0.523300       0.844226       0.000608
       0.525300       0.843986       0.000266
       0.527300       0.845988       0.000491
       0.529300       0.848049       0.000658
       0.531300       0.850962       0.000619
       0.533300       0.850370       0.000381
       0.535300       0.851282       0.001258
       0.537300       0.851764       0.001255
       0.539300       0.854674       0.000544
       0.541300       0.856099       0.000704
       0.543300       0.857495       0.000517
       0.545300       0.857511       0.000288
       0.547300       0.859383       0.000586
       0.549300       0.859850       0.000880
       0.551300       0.862674       0.000378
       0.553300       0.861838       0.000568
       0.555300       0.864643       0.000374
       0.557300       0.865671       0.000315
       0.559300       0.866888       0.000447
       0.561300       0.869331       0.000699
       0.563300       0.868862       0.000377
       0.565300       0.871118       0.000916
       0.567300       0.871212       0.000268
       0.569300       0.872435       0.000402
       0.571300       0.872717       0.000472
       0.573300       0.874130       0.000409
       0.575300       0.875447       0.000520
       0.577300       0.874889       0.001143
       0.579300       0.876966       0.000616
       0.581300       0.877905       0.000719
       0.583300       0.876961       0.000608
       0.585300       0.878745       0.000334
       0.587300       0.878937       0.000428
       0.589300       0.880063       0.000395
       0.591300       0.881187       0.000677
       0.593300       0.883070       0.000282
       0.595300       0.881174       0.000531
       0.597300       0.882864       0.000580
       0.599300       0.884255       0.000321
       0.601100       0.886241       0.000757
       0.602700       0.884531       0.000403
       0.604300       0.885754       0.000442
       0.605900       0.885457       0.000372
       0.607500       0.887330       0.000370
       0.609100       0.886951       0.000588
       0.610700       0.887872       0.000286
       0.612300       0.887603       0.000324
       0.613900       0.887682       0.000498
       0.615500       0.888444       0.000982
       0.617100       0.890889       0.000587
       0.618700       0.888904       0.000459
       0.620300       0.888982       0.000288
       0.621900       0.890965       0.000346
       0.623500       0.891347       0.000618
       0.625100       0.891500       0.000292
       0.626700       0.892263       0.000415
       0.628300       0.891423       0.000626
       0.629900       0.893751       0.000255
       0.631700       0.893368       0.000272
       0.633700       0.893750       0.000475
       0.635700       0.893175       0.000494
       0.637700       0.893822       0.000870
       0.639700       0.893630       0.000348
       0.641700       0.893438       0.000443
       0.643700       0.895115       0.000640
       0.645700       0.896337       0.000568
       0.647700       0.895570       0.000286
       0.649700       0.898206       0.000495
       0.651700       0.897174       0.000600
       0.653700       0.897628       0.000545
       0.655700       0.896597       0.001336
       0.657700       0.899883       0.000630
       0.659700       0.898274       0.000412
       0.661700       0.898466       0.000521
       0.663700       0.900075       0.000928
       0.665700       0.900460       0.000790
       0.667700       0.901107       0.000431
       0.670200       0.901686       0.000599
       0.673200       0.902140       0.000317
       0.676200       0.903108       0.000622
       0.679200       0.902914       0.000507
       0.682200       0.903429       0.001169
       0.685200       0.904078       0.000358
       0.688200       0.906087       0.000595
       0.691200       0.907452       0.000503
       0.694200       0.907976       0.000481
       0.697200       0.908956       0.000768
       0.700200       0.908699       0.000876
       0.702000       0.910605       0.000681
       0.704000       0.907530       0.000385
       0.706000       0.909497       0.000852
       0.708000       0.909115       0.001157
       0.710000       0.910879       0.000370
       0.712000       0.912147       0.000572
       0.714000       0.912008       0.000413
       0.716000       0.911431       0.000503
       0.718000       0.913023       0.000544
       0.720000       0.907876       0.000573
       0.722000       0.910714       0.000456
       0.724000       0.909672       0.001506
       0.726000       0.913646       0.001020
       0.728000       0.913387       0.000516
       0.730000       0.913989       0.000632
       0.732000       0.910346       0.000850
       0.734000       0.910746       0.000847
       0.736000       0.911285       0.000668
       0.738000       0.912548       0.000616
       0.740000       0.911826       0.001022
       0.742000       0.912368       0.000695
       0.744000       0.914905       0.000616
       0.746000       0.910314       0.001710
       0.748000       0.912248       0.000861
       0.750500       0.913542       0.000601
       0.753500       0.914150       0.000540
       0.756500       0.915165       0.000361
       0.759500       0.914379       0.000514
       0.762500       0.913854       0.001587
       0.765500       0.914465       0.000650
       0.768500       0.913447       0.001120
       0.771500       0.911313       0.001571
       0.774500       0.913268       0.000631
       0.777500       0.914989       0.000520
       0.781000       0.915752       0.000541
       0.785000       0.915430       0.000554
       0.789000       0.915313       0.000720
       0.793000       0.914104       0.000662
       0.797000       0.911717       0.000327
       0.801500       0.915373       0.000623
       0.806500       0.914365       0.000407
       0.811500       0.916712       0.000703
       0.816500       0.917316       0.000772
       0.822000       0.916455       0.000585
       0.828000       0.916219       0.000694
       0.835000       0.917252       0.001032
       0.843000       0.918936       0.001627
       0.851000       0.918938       0.002615
       0.859000       0.921313       0.001994
       0.871000       0.922103       0.001992
       0.883000       0.918448       0.001970
       0.894000       0.922089       0.001853
       0.904000       0.917258       0.001587
       0.914000       0.918100       0.000972
       0.924000       0.919999       0.001772
       0.933000       0.919502       0.001451
       0.941000       0.919502       0.001337
       0.949000       0.911824       0.001424
       0.957000       0.909646       0.001594
       0.964000       0.908812       0.001847
       0.970000       0.907613       0.001757
       0.976000       0.913194       0.001388
       0.982000       0.915362       0.001349
       0.988000       0.919152       0.001397
       0.994000       0.917677       0.001178
       1.000000       0.920979       0.001454
       1.006000       0.922806       0.001590
       1.012000       0.921339       0.001177
       1.018000       0.921764       0.001184
       1.023500       0.924722       0.001391
       1.028500       0.926978       0.001586
       1.033500       0.926827       0.001034
       1.038500       0.927466       0.001468
       1.043500       0.924358       0.001277
       1.048500       0.923164       0.001147
       1.053500       0.926328       0.001359
       1.058500       0.925683       0.000898
       1.063500       0.927169       0.000855
       1.068500       0.927651       0.001319
       1.073500       0.926732       0.001282
       1.078500       0.929260       0.001199
       1.083500       0.929414       0.001089
       1.088500       0.928562       0.001213
       1.093500       0.927808       0.001141
       1.098500       0.926753       0.000978
       1.103500       0.927411       0.001262
       1.108500       0.928836       0.001299
       1.113500       0.923857       0.000780
       1.118500       0.929247       0.001072
       1.123500       0.924959       0.001237
       1.128500       0.925458       0.001164
       1.133500       0.925758       0.000941
       1.138500       0.922912       0.000764
       1.143500       0.917954       0.000916
       1.148500       0.907875       0.000871
       1.153500       0.906264       0.000744
       1.158500       0.906639       0.001108
       1.163500       0.911832       0.001023
       1.168500       0.914475       0.000591
       1.173500       0.918503       0.001068
       1.178500       0.917333       0.000989
       1.183500       0.917650       0.001364
       1.188500       0.916637       0.001377
       1.193500       0.918106       0.001315
       1.198500       0.918111       0.000845
       1.203500       0.917152       0.000866
       1.208500       0.923630       0.000727
       1.213500       0.920088       0.000775
       1.218500       0.921716       0.000965
       1.223500       0.918634       0.000870
       1.228500       0.923455       0.000909
       1.233500       0.920226       0.001097
       1.238500       0.922140       0.001077
       1.243500       0.921158       0.000952
       1.248500       0.920293       0.000894
       1.253500       0.921538       0.000932
       1.258500       0.920355       0.000948
       1.263500       0.920074       0.001107
       1.268500       0.922254       0.001164
       1.273500       0.920255       0.000948
       1.278500       0.918806       0.000824
       1.283500       0.919681       0.000904
       1.288500       0.917930       0.000673
       1.293500       0.914827       0.000902
       1.298500       0.910692       0.000903
       1.303500       0.911713       0.000784
       1.308500       0.906030       0.000820
       1.313500       0.904728       0.000977
       1.318500       0.900957       0.000984
       1.323500       0.898370       0.001077
       1.328500       0.893889       0.000957
       1.333500       0.892887       0.000876
       1.338500       0.886582       0.000955
       1.343500       0.885501       0.001135
       1.348500       0.879578       0.000960
       1.353500       0.875960       0.001346
       1.358500       0.872994       0.000802
       1.363500       0.866104       0.001164
       1.368500       0.855549       0.001068
       1.373500       0.842366       0.001269
       1.378500       0.825699       0.001166
       1.383500       0.806027       0.000863
       1.388500       0.775245       0.001224
       1.393500       0.739143       0.001062
       1.398500       0.705554       0.001205
       1.403500       0.677701       0.001214
       1.408500       0.654781       0.000986
       1.413500       0.641723       0.001411
       1.418500       0.650211       0.001129
       1.423500       0.678293       0.001304
       1.428500       0.705413       0.001179
       1.433500       0.724287       0.001127
       1.438500       0.736197       0.001284
       1.443500       0.741452       0.001028
       1.448500       0.746681       0.001295
       1.453500       0.751559       0.001523
       1.458500       0.750010       0.001535
       1.463500       0.750755       0.001334
       1.468500       0.759177       0.001516
       1.473500       0.766642       0.001392
       1.478500       0.775946       0.001135
       1.483500       0.787380       0.001612
       1.488500       0.793733       0.001053
       1.493500       0.803414       0.001254
       1.498500       0.806940       0.001729
       1.503500       0.814069       0.001728
       1.508500       0.815617       0.001316
       1.513500       0.822441       0.001820
       1.518500       0.827093       0.001139
       1.523500       0.828481       0.001454
       1.528500       0.829299       0.001426
       1.534000       0.835482       0.000910
       1.540000       0.839532       0.001164
       1.546000       0.843734       0.000838
       1.552000       0.843681       0.001215
       1.558000       0.849263       0.001583
       1.564000       0.849972       0.000864
       1.570500       0.852853       0.000872
       1.577500       0.855526       0.000763
       1.584500       0.857052       0.000965
       1.591500       0.858889       0.000795
       1.598500       0.860380       0.000949
       1.605500       0.862542       0.000950
       1.612500       0.863658       0.000966
       1.619500       0.866999       0.000867
       1.626500       0.866424       0.000801
       1.633500       0.867155       0.001111
       1.640500       0.867769       0.001175
       1.647500       0.869013       0.001165
       1.654500       0.867749       0.000845
       1.661500       0.869647       0.001013
       1.668500       0.869804       0.001192
       1.676000       0.873733       0.001242
       1.684000       0.868749       0.001687
       1.692000       0.869036       0.001645
       1.700000       0.866580       0.001233
       1.708000       0.864765       0.001355
       1.716000       0.862943       0.001319
       1.724000       0.855962       0.001741
       1.732000       0.856696       0.001611
       1.740000       0.853792       0.001666
       1.748000       0.841649       0.001979
       1.756000       0.840879       0.001705
       1.764000       0.837400       0.001789
       1.772000       0.835818       0.001553
       1.780000       0.830777       0.001495
       1.788000       0.824102       0.001949
       1.796000       0.825607       0.000894
       1.805000       0.820057       0.000873
       1.815000       0.821914       0.000684
       1.825000       0.817592       0.001359
       1.835000       0.813813       0.001402
       1.845000       0.806048       0.001148
       1.855000       0.791652       0.001419
       1.865000       0.765598       0.001279
       1.875000       0.705810       0.001481
       1.885000       0.616997       0.000849
       1.895000       0.498373       0.001161
       1.905000       0.423136       0.000786
       1.915000       0.438023       0.001298
       1.925000       0.492684       0.001103
       1.935000       0.527355       0.001536
       1.945000       0.547251       0.001436
       1.955000       0.562016       0.001223
       1.965000       0.569202       0.001836
       1.975000       0.585059       0.001771
       1.985000       0.601255       0.001152
       1.995000       0.617172       0.001527
       2.005000       0.639241       0.001783
       2.015000       0.664295       0.001670
       2.025000       0.674629       0.001761
       2.035000       0.685013       0.001777
       2.045000       0.694828       0.001887
       2.055000       0.703888       0.001644
       2.065000       0.706483       0.001719
       2.075000       0.712031       0.001864
       2.085000       0.715212       0.001895
       2.095000       0.714763       0.001894
       2.105000       0.720726       0.001927
       2.115000       0.724872       0.001896
       2.125000       0.733900       0.001925
       2.135000       0.731964       0.001909
       2.145000       0.726872       0.001884
       2.155000       0.723823       0.001553
       2.165000       0.715313       0.001727
       2.175000       0.696615       0.001941
       2.185000       0.665112       0.001923
       2.195000       0.625522       0.001884
       2.205000       0.563391       0.001906
       2.215000       0.576909       0.001929
       2.225000       0.621441       0.001936
       2.235000       0.648782       0.001948
       2.245000       0.668922       0.001944
       2.255000       0.671966       0.001950
       2.265000       0.675657       0.001960
       2.275000       0.670874       0.002039
       2.285000       0.655695       0.003169
       2.295000       0.649595       0.003704
       2.305000       0.640827       0.004071
       2.315000       0.626581       0.002417
       2.325000       0.614627       0.001909
       2.335000       0.597656       0.001900
       2.345000       0.587654       0.001883
