USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Nepheline HS19.3             W1R1Bc AREF
copy of splib05a r 4915                                     
       0.205100      -1.23e34        0.277884
       0.213100      -1.23e34        0.373848
       0.221100      -1.23e34        0.171471
       0.229100      -1.23e34        0.035205
       0.236100      -1.23e34        0.015160
       0.242100      -1.23e34        0.006499
       0.248100       0.366107       0.004522
       0.253600       0.368536       0.003794
       0.258600       0.358270       0.002738
       0.263600       0.359299       0.002276
       0.268600       0.368713       0.001962
       0.273100       0.376894       0.002175
       0.277100       0.374550       0.002027
       0.281100       0.377676       0.001721
       0.285100       0.380386       0.001657
       0.289100       0.381348       0.001527
       0.293100       0.383989       0.001309
       0.297100       0.390817       0.001217
       0.301100       0.393304       0.001437
       0.305100       0.402458       0.001397
       0.309100       0.408837       0.001311
       0.313100       0.413020       0.001324
       0.317100       0.417735       0.001348
       0.321100       0.422614       0.001348
       0.325100       0.429049       0.001358
       0.329100       0.427439       0.001358
       0.333100       0.434713       0.001371
       0.337100       0.437128       0.001367
       0.341100       0.440838       0.001367
       0.345100       0.444237       0.001369
       0.349100       0.446699       0.001383
       0.353100       0.454658       0.001254
       0.357100       0.457260       0.001374
       0.360600       0.459111       0.000803
       0.363600       0.459006       0.001379
       0.366600       0.461405       0.000911
       0.369600       0.463108       0.000760
       0.372600       0.464221       0.000785
       0.375600       0.464146       0.001004
       0.378600       0.467846       0.000911
       0.381100       0.467954       0.000629
       0.383100       0.468491       0.000863
       0.385100       0.470349       0.001267
       0.387100       0.472619       0.000777
       0.389100       0.472410       0.000910
       0.391100       0.472594       0.001074
       0.393100       0.473225       0.000871
       0.395100       0.475303       0.000983
       0.397100       0.476446       0.000874
       0.399100       0.477044       0.000787
       0.401100       0.476930       0.000894
       0.403100       0.476498       0.000784
       0.405100       0.478028       0.000782
       0.407100       0.476994       0.000907
       0.409100       0.478634       0.000663
       0.411100       0.479602       0.000928
       0.412800       0.481170       0.001088
       0.415800       0.480942       0.000907
       0.418800       0.483095       0.000804
       0.421800       0.482973       0.000847
       0.424800       0.484533       0.000769
       0.427800       0.485763       0.000878
       0.430800       0.485594       0.001069
       0.433800       0.486694       0.000719
       0.436800       0.488031       0.000692
       0.439800       0.488255       0.000944
       0.442800       0.489694       0.000736
       0.445800       0.489208       0.000686
       0.448800       0.489487       0.000929
       0.451300       0.490880       0.000962
       0.453300       0.492914       0.000911
       0.455300       0.492568       0.001027
       0.457300       0.491412       0.001382
       0.459300       0.492190       0.001087
       0.461300       0.492289       0.000788
       0.463300       0.494323       0.000886
       0.465300       0.494876       0.001013
       0.467300       0.494226       0.001199
       0.469300       0.496446       0.000776
       0.471300       0.496018       0.000879
       0.473300       0.495493       0.001153
       0.475300       0.496190       0.000720
       0.477300       0.496109       0.000960
       0.479300       0.496094       0.000815
       0.481300       0.496294       0.000846
       0.483300       0.496670       0.001228
       0.485300       0.497440       0.000795
       0.487300       0.497735       0.000853
       0.489300       0.497430       0.000827
       0.491300       0.498117       0.000932
       0.493300       0.499217       0.001106
       0.495300       0.499696       0.000788
       0.497300       0.499301       0.000762
       0.499300       0.498652       0.001126
       0.501300       0.500065       0.000920
       0.503300       0.500535       0.000791
       0.505300       0.500345       0.000835
       0.507300       0.501502       0.000908
       0.509300       0.501686       0.000765
       0.511300       0.501757       0.001236
       0.513300       0.502357       0.000711
       0.515300       0.502904       0.000972
       0.517300       0.502156       0.000869
       0.519300       0.503068       0.001272
       0.521300       0.503590       0.000757
       0.523300       0.503916       0.000723
       0.525300       0.505511       0.000840
       0.527300       0.504235       0.000850
       0.529300       0.505336       0.000842
       0.531300       0.504124       0.000927
       0.533300       0.504694       0.000885
       0.535300       0.506492       0.000710
       0.537300       0.506817       0.001144
       0.539300       0.506843       0.000780
       0.541300       0.507798       0.000771
       0.543300       0.505569       0.001264
       0.545300       0.506719       0.000837
       0.547300       0.507089       0.000866
       0.549300       0.506725       0.000850
       0.551300       0.507544       0.000695
       0.553300       0.507830       0.000702
       0.555300       0.508059       0.000818
       0.557300       0.508581       0.000804
       0.559300       0.508110       0.000786
       0.561300       0.508176       0.000762
       0.563300       0.508448       0.000733
       0.565300       0.508271       0.001153
       0.567300       0.509625       0.000804
       0.569300       0.509781       0.000765
       0.571300       0.510041       0.000823
       0.573300       0.509869       0.000872
       0.575300       0.509347       0.001088
       0.577300       0.509676       0.001029
       0.579300       0.511550       0.000780
       0.581300       0.510091       0.001085
       0.583300       0.511729       0.001011
       0.585300       0.510539       0.001061
       0.587300       0.511545       0.000913
       0.589300       0.510903       0.001177
       0.591300       0.511444       0.001003
       0.593300       0.511957       0.001063
       0.595300       0.512186       0.001042
       0.597300       0.513008       0.000909
       0.599300       0.511826       0.000870
       0.601100       0.511367       0.001452
       0.602700       0.512593       0.000893
       0.604300       0.511843       0.001001
       0.605900       0.511582       0.000917
       0.607500       0.512149       0.001222
       0.609100       0.512989       0.000869
       0.610700       0.513175       0.000839
       0.612300       0.513734       0.000909
       0.613900       0.513441       0.000745
       0.615500       0.513104       0.000910
       0.617100       0.513578       0.000874
       0.618700       0.513037       0.000716
       0.620300       0.513290       0.001012
       0.621900       0.512324       0.000895
       0.623500       0.512865       0.000776
       0.625100       0.513841       0.001001
       0.626700       0.513569       0.000920
       0.628300       0.514141       0.000974
       0.629900       0.513542       0.000834
       0.631700       0.514265       0.000945
       0.633700       0.514284       0.000628
       0.635700       0.514040       0.000801
       0.637700       0.513617       0.000854
       0.639700       0.514004       0.001101
       0.641700       0.514965       0.000863
       0.643700       0.514765       0.000831
       0.645700       0.514070       0.000807
       0.647700       0.515639       0.000903
       0.649700       0.513204       0.001274
       0.651700       0.514556       0.001019
       0.653700       0.514371       0.000878
       0.655700       0.516797       0.001042
       0.657700       0.515222       0.001463
       0.659700       0.516840       0.000935
       0.661700       0.515719       0.001340
       0.663700       0.517935       0.001164
       0.665700       0.516617       0.001112
       0.667700       0.516370       0.000974
       0.670200       0.515207       0.001131
       0.673200       0.517607       0.000845
       0.676200       0.516250       0.000824
       0.679200       0.517176       0.000941
       0.682200       0.518665       0.000888
       0.685200       0.517470       0.001339
       0.688200       0.517624       0.000979
       0.691200       0.518759       0.001006
       0.694200       0.518210       0.001433
       0.697200       0.518182       0.001007
       0.700200       0.521276       0.001088
       0.702000       0.519780       0.000791
       0.704000       0.518481       0.001313
       0.706000       0.520377       0.000861
       0.708000       0.519847       0.001024
       0.710000       0.518833       0.000925
       0.712000       0.520334       0.001014
       0.714000       0.520270       0.000745
       0.716000       0.520227       0.000658
       0.718000       0.521093       0.000681
       0.720000       0.520615       0.000688
       0.722000       0.519729       0.000925
       0.724000       0.521210       0.000631
       0.726000       0.521910       0.000700
       0.728000       0.521940       0.000655
       0.730000       0.521309       0.000724
       0.732000       0.523012       0.000843
       0.734000       0.521996       0.000715
       0.736000       0.522444       0.000756
       0.738000       0.522799       0.001011
       0.740000       0.522253       0.000810
       0.742000       0.523581       0.001000
       0.744000       0.522723       0.000963
       0.746000       0.523154       0.000931
       0.748000       0.521093       0.001083
       0.750500       0.523764       0.000799
       0.753500       0.523709       0.000712
       0.756500       0.522607       0.001134
       0.759500       0.524241       0.000590
       0.762500       0.524976       0.000776
       0.765500       0.524594       0.000693
       0.768500       0.525631       0.000884
       0.771500       0.524466       0.001198
       0.774500       0.525462       0.001071
       0.777500       0.525906       0.000851
       0.781000       0.525708       0.000865
       0.785000       0.526326       0.000656
       0.789000       0.527068       0.000743
       0.793000       0.526480       0.000703
       0.797000       0.527063       0.000895
       0.801500       0.527148       0.000838
       0.806500       0.528190       0.000843
       0.811500       0.528479       0.000802
       0.816500       0.529046       0.000938
       0.822000       0.527207       0.000827
       0.828000       0.528000       0.000688
       0.835000       0.526717       0.000811
       0.843000       0.527154       0.001417
       0.851000       0.529783       0.001656
       0.859000       0.527175       0.001626
       0.871000       0.526551       0.001633
       0.883000       0.525718       0.001635
       0.894000       0.524821       0.001595
       0.904000       0.523076       0.001602
       0.914000       0.521893       0.001303
       0.924000       0.521664       0.001417
       0.933000       0.522145       0.001276
       0.941000       0.522193       0.001388
       0.949000       0.521075       0.001248
       0.957000       0.520694       0.000826
       0.964000       0.520039       0.001257
       0.970000       0.522345       0.001106
       0.976000       0.520836       0.001189
       0.982000       0.519368       0.000875
       0.988000       0.519670       0.001034
       0.994000       0.521215       0.000799
       1.000000       0.521377       0.001009
       1.006000       0.518323       0.000883
       1.012000       0.517017       0.001125
       1.018000       0.518825       0.000903
       1.023500       0.519156       0.001354
       1.028500       0.518418       0.001124
       1.033500       0.519285       0.001116
       1.038500       0.518373       0.000992
       1.043500       0.516655       0.001038
       1.048500       0.518593       0.000970
       1.053500       0.517978       0.001086
       1.058500       0.516400       0.001078
       1.063500       0.517165       0.000855
       1.068500       0.517491       0.001296
       1.073500       0.516779       0.001235
       1.078500       0.517666       0.000974
       1.083500       0.517135       0.001047
       1.088500       0.516576       0.001248
       1.093500       0.517384       0.000949
       1.098500       0.517022       0.001316
       1.103500       0.516771       0.000820
       1.108500       0.515819       0.000887
       1.113500       0.515221       0.000826
       1.118500       0.514623       0.001169
       1.123500       0.517107       0.000592
       1.128500       0.517561       0.000766
       1.133500       0.515499       0.001034
       1.138500       0.515098       0.000777
       1.143500       0.515722       0.000839
       1.148500       0.515243       0.001205
       1.153500       0.515014       0.000766
       1.158500       0.513023       0.000880
       1.163500       0.513857       0.001024
       1.168500       0.514472       0.000858
       1.173500       0.513942       0.000852
       1.178500       0.515486       0.001017
       1.183500       0.513331       0.001105
       1.188500       0.516014       0.000932
       1.193500       0.514142       0.000920
       1.198500       0.515627       0.001134
       1.203500       0.515003       0.000780
       1.208500       0.514071       0.000772
       1.213500       0.515424       0.000519
       1.218500       0.513755       0.000753
       1.223500       0.515200       0.000879
       1.228500       0.515465       0.000698
       1.233500       0.515087       0.000969
       1.238500       0.515680       0.001111
       1.243500       0.515514       0.000884
       1.248500       0.516557       0.001160
       1.253500       0.515989       0.000738
       1.258500       0.515309       0.000705
       1.263500       0.516113       0.000811
       1.268500       0.516712       0.000821
       1.273500       0.514449       0.000950
       1.278500       0.515899       0.000651
       1.283500       0.515352       0.000796
       1.288500       0.514716       0.001110
       1.293500       0.515560       0.000676
       1.298500       0.515368       0.000778
       1.303500       0.516186       0.000778
       1.308500       0.514740       0.000682
       1.313500       0.515863       0.001171
       1.318500       0.516551       0.000990
       1.323500       0.514781       0.000671
       1.328500       0.515221       0.000817
       1.333500       0.513886       0.000757
       1.338500       0.515038       0.000863
       1.343500       0.514660       0.000983
       1.348500       0.513694       0.000784
       1.353500       0.513665       0.001294
       1.358500       0.514705       0.001227
       1.363500       0.514402       0.000949
       1.368500       0.512857       0.001365
       1.373500       0.512501       0.001164
       1.378500       0.511891       0.001023
       1.383500       0.513885       0.000924
       1.388500       0.510893       0.001098
       1.393500       0.509579       0.001271
       1.398500       0.506687       0.001224
       1.403500       0.505730       0.001114
       1.408500       0.503217       0.001057
       1.413500       0.499407       0.001102
       1.418500       0.495312       0.001255
       1.423500       0.494066       0.001211
       1.428500       0.493247       0.000961
       1.433500       0.495349       0.001385
       1.438500       0.497801       0.001203
       1.443500       0.499849       0.000910
       1.448500       0.501970       0.000996
       1.453500       0.504917       0.001372
       1.458500       0.502970       0.001101
       1.463500       0.503667       0.000921
       1.468500       0.505050       0.001203
       1.473500       0.506495       0.001439
       1.478500       0.506486       0.001237
       1.483500       0.507678       0.001153
       1.488500       0.509269       0.000982
       1.493500       0.506707       0.000788
       1.498500       0.509694       0.001098
       1.503500       0.510858       0.001063
       1.508500       0.510629       0.000954
       1.513500       0.509500       0.001373
       1.518500       0.512085       0.001488
       1.523500       0.513472       0.001004
       1.528500       0.513967       0.001104
       1.534000       0.512779       0.000789
       1.540000       0.513573       0.001040
       1.546000       0.513722       0.001008
       1.552000       0.515104       0.000814
       1.558000       0.513913       0.001112
       1.564000       0.514063       0.000773
       1.570500       0.515030       0.000860
       1.577500       0.514772       0.000671
       1.584500       0.515347       0.000768
       1.591500       0.514927       0.000744
       1.598500       0.514825       0.000861
       1.605500       0.514660       0.000874
       1.612500       0.513504       0.000735
       1.619500       0.513603       0.001072
       1.626500       0.513067       0.001184
       1.633500       0.513483       0.000912
       1.640500       0.515130       0.001394
       1.647500       0.516390       0.000766
       1.654500       0.515147       0.000990
       1.661500       0.516008       0.001457
       1.668500       0.514606       0.001079
       1.676000       0.513264       0.000767
       1.684000       0.514265       0.001156
       1.692000       0.512321       0.001527
       1.700000       0.515666       0.001646
       1.708000       0.514185       0.001305
       1.716000       0.515895       0.000887
       1.724000       0.513070       0.001280
       1.732000       0.513005       0.001465
       1.740000       0.513369       0.001672
       1.748000       0.512558       0.001675
       1.756000       0.510419       0.001446
       1.764000       0.512071       0.001368
       1.772000       0.512980       0.001615
       1.780000       0.509884       0.001066
       1.788000       0.512815       0.001440
       1.796000       0.511750       0.001058
       1.805000       0.510832       0.000810
       1.815000       0.511650       0.000920
       1.825000       0.508948       0.001437
       1.835000       0.512220       0.001008
       1.845000       0.511168       0.001125
       1.855000       0.508668       0.001634
       1.865000       0.508171       0.001270
       1.875000       0.504268       0.000968
       1.885000       0.496207       0.001159
       1.895000       0.477390       0.001528
       1.905000       0.447534       0.001425
       1.915000       0.420784       0.001478
       1.925000       0.420110       0.001302
       1.935000       0.424165       0.001057
       1.945000       0.438739       0.001039
       1.955000       0.451790       0.001286
       1.965000       0.465547       0.001340
       1.975000       0.478754       0.001574
       1.985000       0.488514       0.001477
       1.995000       0.489684       0.001508
       2.005000       0.489227       0.001090
       2.015000       0.493488       0.001619
       2.025000       0.499542       0.001366
       2.035000       0.499149       0.001444
       2.045000       0.499984       0.001621
       2.055000       0.504474       0.001443
       2.065000       0.504059       0.001591
       2.075000       0.502880       0.001652
       2.085000       0.502839       0.001486
       2.095000       0.506270       0.001623
       2.105000       0.506608       0.001614
       2.115000       0.509529       0.001644
       2.125000       0.511948       0.001648
       2.135000       0.509430       0.001603
       2.145000       0.510195       0.001615
       2.155000       0.506733       0.001597
       2.165000       0.504921       0.001616
       2.175000       0.503666       0.001622
       2.185000       0.499900       0.001640
       2.195000       0.498569       0.001652
       2.205000       0.502532       0.001652
       2.215000       0.501116       0.001668
       2.225000       0.504478       0.001658
       2.235000       0.503586       0.001667
       2.245000       0.503447       0.001670
       2.255000       0.504561       0.001661
       2.265000       0.504873       0.001669
       2.275000       0.504102       0.001913
       2.285000       0.508535       0.002659
       2.295000       0.503640       0.003560
       2.305000       0.499732       0.002865
       2.315000       0.498752       0.002038
       2.325000       0.499223       0.001662
       2.335000       0.496885       0.001659
       2.345000       0.491861       0.001588
