USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Olivine HS285.4B Fo80        W1R1Bb AREF
copy of splib05a r 5115                                     
       0.205100      -1.23e34        0.087673
       0.213100      -1.23e34        0.011511
       0.221100       0.045924       0.003429
       0.229100       0.043159       0.001553
       0.236100       0.044125       0.001193
       0.242100       0.040912       0.001131
       0.248100       0.040455       0.001072
       0.253600       0.039533       0.001055
       0.258600       0.040573       0.001034
       0.263600       0.040073       0.001053
       0.268600       0.040517       0.001061
       0.273100       0.041608       0.001062
       0.277100       0.043169       0.001116
       0.281100       0.043358       0.001140
       0.285100       0.044551       0.001182
       0.289100       0.044116       0.001069
       0.293100       0.044207       0.001259
       0.297100       0.045040       0.001296
       0.301100       0.046272       0.001359
       0.305100       0.047715       0.001401
       0.309100       0.049374       0.001405
       0.313100       0.048845       0.001427
       0.317100       0.050691       0.001465
       0.321100       0.052576       0.001504
       0.325100       0.052759       0.001390
       0.329100       0.057417       0.001483
       0.333100       0.060596       0.001529
       0.337100       0.064299       0.001529
       0.341100       0.068234       0.001530
       0.345100       0.075375       0.001534
       0.349100       0.080426       0.001461
       0.353100       0.090341       0.001110
       0.357100       0.096872       0.001351
       0.360600       0.105307       0.000700
       0.363600       0.111520       0.001495
       0.366600       0.111605       0.001271
       0.369600       0.118792       0.001505
       0.372600       0.124504       0.001064
       0.375600       0.127414       0.001481
       0.378600       0.133146       0.001527
       0.381100       0.134225       0.001179
       0.383100       0.136115       0.001482
       0.385100       0.138048       0.001497
       0.387100       0.139013       0.001486
       0.389100       0.142934       0.001515
       0.391100       0.144702       0.001534
       0.393100       0.148350       0.001520
       0.395100       0.150120       0.001497
       0.397100       0.151464       0.001500
       0.399100       0.154478       0.001466
       0.401100       0.156144       0.000815
       0.403100       0.156805       0.001537
       0.405100       0.165112       0.001330
       0.407100       0.171315       0.001256
       0.409100       0.176098       0.001301
       0.411100       0.175808       0.001489
       0.412800       0.178856       0.001418
       0.415800       0.184850       0.001537
       0.418800       0.183921       0.000844
       0.421800       0.190743       0.000656
       0.424800       0.192094       0.001479
       0.427800       0.192199       0.001530
       0.430800       0.193446       0.001541
       0.433800       0.197739       0.001505
       0.436800       0.199678       0.001077
       0.439800       0.203507       0.001067
       0.442800       0.204064       0.001535
       0.445800       0.205963       0.000834
       0.448800       0.204434       0.001538
       0.451300       0.202719       0.001428
       0.453300       0.206977       0.001567
       0.455300       0.206038       0.001384
       0.457300       0.209178       0.001519
       0.459300       0.210421       0.001549
       0.461300       0.218163       0.001573
       0.463300       0.221457       0.000856
       0.465300       0.224491       0.001575
       0.467300       0.226842       0.001544
       0.469300       0.228842       0.001577
       0.471300       0.230944       0.000916
       0.473300       0.230982       0.000871
       0.475300       0.239469       0.001524
       0.477300       0.246463       0.001556
       0.479300       0.250361       0.001588
       0.481300       0.253623       0.001560
       0.483300       0.255148       0.001526
       0.485300       0.253059       0.001317
       0.487300       0.256349       0.001537
       0.489300       0.256806       0.001543
       0.491300       0.257830       0.001582
       0.493300       0.259167       0.001104
       0.495300       0.258795       0.001540
       0.497300       0.267535       0.001584
       0.499300       0.275841       0.001498
       0.501300       0.286535       0.001489
       0.503300       0.296473       0.001576
       0.505300       0.305742       0.001566
       0.507300       0.308707       0.001604
       0.509300       0.313752       0.001475
       0.511300       0.316828       0.001608
       0.513300       0.321880       0.001597
       0.515300       0.325799       0.001414
       0.517300       0.327971       0.001616
       0.519300       0.328437       0.001180
       0.521300       0.332828       0.001573
       0.523300       0.340170       0.001255
       0.525300       0.342329       0.001554
       0.527300       0.344481       0.001573
       0.529300       0.352167       0.001594
       0.531300       0.356009       0.001604
       0.533300       0.357705       0.001556
       0.535300       0.366101       0.001058
       0.537300       0.372411       0.001570
       0.539300       0.381013       0.001342
       0.541300       0.386669       0.001627
       0.543300       0.391090       0.001592
       0.545300       0.397783       0.001615
       0.547300       0.401475       0.001578
       0.549300       0.407487       0.001607
       0.551300       0.413858       0.001517
       0.553300       0.418052       0.001636
       0.555300       0.418925       0.001287
       0.557300       0.423664       0.001467
       0.559300       0.425090       0.000735
       0.561300       0.427699       0.001638
       0.563300       0.431527       0.001632
       0.565300       0.430265       0.001585
       0.567300       0.431976       0.000955
       0.569300       0.431406       0.001616
       0.571300       0.427366       0.001598
       0.573300       0.431728       0.001557
       0.575300       0.429682       0.001614
       0.577300       0.429290       0.001643
       0.579300       0.428963       0.001322
       0.581300       0.424730       0.001653
       0.583300       0.424916       0.001392
       0.585300       0.425652       0.001654
       0.587300       0.421426       0.001655
       0.589300       0.422297       0.001472
       0.591300       0.416412       0.001616
       0.593300       0.415643       0.001566
       0.595300       0.415582       0.001598
       0.597300       0.411488       0.001045
       0.599300       0.408149       0.001502
       0.601100       0.405070       0.001541
       0.602700       0.406399       0.001589
       0.604300       0.400085       0.001456
       0.605900       0.401359       0.001625
       0.607500       0.396923       0.001398
       0.609100       0.394582       0.001561
       0.610700       0.392799       0.001288
       0.612300       0.388690       0.001557
       0.613900       0.385125       0.001574
       0.615500       0.383831       0.001604
       0.617100       0.378333       0.001608
       0.618700       0.375294       0.001618
       0.620300       0.371740       0.001575
       0.621900       0.369067       0.001587
       0.623500       0.363775       0.001403
       0.625100       0.363272       0.001585
       0.626700       0.361767       0.001587
       0.628300       0.358752       0.001155
       0.629900       0.356464       0.001622
       0.631700       0.356650       0.001618
       0.633700       0.354032       0.000886
       0.635700       0.352419       0.001545
       0.637700       0.350762       0.001558
       0.639700       0.349871       0.001507
       0.641700       0.351666       0.001054
       0.643700       0.356288       0.001577
       0.645700       0.355741       0.001126
       0.647700       0.356291       0.001583
       0.649700       0.357122       0.001006
       0.651700       0.359027       0.000937
       0.653700       0.360364       0.001499
       0.655700       0.362640       0.000844
       0.657700       0.361264       0.000821
       0.659700       0.365242       0.000892
       0.661700       0.364889       0.001257
       0.663700       0.364679       0.001080
       0.665700       0.366324       0.001440
       0.667700       0.363619       0.001548
       0.670200       0.362558       0.003564
       0.673200       0.363577       0.000935
       0.676200       0.362300       0.001079
       0.679200       0.359733       0.001333
       0.682200       0.357784       0.001152
       0.685200       0.351456       0.001065
       0.688200       0.347805       0.000751
       0.691200       0.341808       0.000801
       0.694200       0.338676       0.001306
       0.697200       0.333856       0.001264
       0.700200       0.330894       0.001566
       0.702000       0.327138       0.001583
       0.704000       0.322525       0.001195
       0.706000       0.318869       0.001245
       0.708000       0.317079       0.001604
       0.710000       0.311215       0.001609
       0.712000       0.307331       0.000687
       0.714000       0.304708       0.000772
       0.716000       0.299223       0.001059
       0.718000       0.295252       0.000641
       0.720000       0.290985       0.000654
       0.722000       0.289386       0.000783
       0.724000       0.284493       0.001092
       0.726000       0.279591       0.000876
       0.728000       0.275879       0.001043
       0.730000       0.271057       0.001008
       0.732000       0.268866       0.000931
       0.734000       0.265336       0.000987
       0.736000       0.260600       0.001336
       0.738000       0.255085       0.001219
       0.740000       0.253303       0.000931
       0.742000       0.249221       0.001622
       0.744000       0.244691       0.000920
       0.746000       0.239009       0.001576
       0.748000       0.235106       0.001358
       0.750500       0.230287       0.001603
       0.753500       0.222347       0.001294
       0.756500       0.221228       0.001573
       0.759500       0.213360       0.001327
       0.762500       0.207072       0.000638
       0.765500       0.201393       0.000832
       0.768500       0.196987       0.000743
       0.771500       0.194655       0.001473
       0.774500       0.186871       0.000743
       0.777500       0.182867       0.000837
       0.781000       0.177573       0.000565
       0.785000       0.171861       0.001498
       0.789000       0.165976       0.000687
       0.793000       0.162470       0.001353
       0.797000       0.158323       0.000814
       0.801500       0.153090       0.000597
       0.806500       0.148188       0.000788
       0.811500       0.143963       0.001310
       0.816500       0.141012       0.001256
       0.822000       0.136440       0.001462
       0.828000       0.131948       0.000701
       0.835000       0.122813       0.001677
       0.843000      -1.23e34        0.000000
       0.851000       0.120715       0.001755
       0.859000       0.118938       0.001740
       0.871000       0.115730       0.001718
       0.883000       0.112403       0.001728
       0.894000       0.108922       0.001648
       0.904000       0.102403       0.001594
       0.914000       0.099808       0.001692
       0.924000       0.094929       0.001153
       0.933000       0.089112       0.001753
       0.941000       0.085121       0.001238
       0.949000       0.081192       0.001285
       0.957000       0.078930       0.001718
       0.964000       0.076406       0.001696
       0.970000       0.073819       0.001115
       0.976000       0.070600       0.001119
       0.982000       0.068312       0.001298
       0.988000       0.067161       0.001107
       0.994000       0.066079       0.001367
       1.000000       0.061381       0.001497
       1.006000       0.062493       0.001556
       1.012000       0.059627       0.001123
       1.018000       0.058696       0.001542
       1.023500       0.058434       0.001634
       1.028500       0.059042       0.001699
       1.033500       0.058690       0.001288
       1.038500       0.058123       0.001317
       1.043500       0.056656       0.001748
       1.048500       0.056152       0.001377
       1.053500       0.055045       0.001759
       1.058500       0.053770       0.001062
       1.063500       0.052638       0.001421
       1.068500       0.055615       0.001732
       1.073500       0.056337       0.001374
       1.078500       0.055490       0.000640
       1.083500       0.055186       0.000924
       1.088500       0.055587       0.001375
       1.093500       0.057599       0.001365
       1.098500       0.058169       0.001257
       1.103500       0.058236       0.001321
       1.108500       0.059114       0.000786
       1.113500       0.058717       0.001054
       1.118500       0.060190       0.001166
       1.123500       0.061441       0.000923
       1.128500       0.061930       0.000692
       1.133500       0.061634       0.001280
       1.138500       0.062784       0.001405
       1.143500       0.064570       0.001022
       1.148500       0.064392       0.000740
       1.153500       0.066136       0.000807
       1.158500       0.066642       0.000983
       1.163500       0.066256       0.000838
       1.168500       0.066497       0.001437
       1.173500       0.068142       0.001029
       1.178500       0.067593       0.001410
       1.183500       0.069602       0.001284
       1.188500       0.070773       0.001125
       1.193500       0.070243       0.000985
       1.198500       0.069618       0.000652
       1.203500       0.070668       0.001229
       1.208500       0.073428       0.001082
       1.213500       0.072345       0.001315
       1.218500       0.073387       0.001153
       1.223500       0.072431       0.000814
       1.228500       0.075020       0.001217
       1.233500       0.073231       0.001471
       1.238500       0.075522       0.001214
       1.243500       0.076730       0.000991
       1.248500       0.077829       0.000789
       1.253500       0.077424       0.001035
       1.258500       0.078735       0.001124
       1.263500       0.081264       0.001308
       1.268500       0.080736       0.001024
       1.273500       0.080405       0.001041
       1.278500       0.081147       0.001114
       1.283500       0.085464       0.001443
       1.288500       0.085470       0.001029
       1.293500       0.086548       0.001451
       1.298500       0.087426       0.000839
       1.303500       0.089694       0.001239
       1.308500       0.091056       0.001210
       1.313500       0.092715       0.001083
       1.318500       0.092687       0.000830
       1.323500       0.093668       0.001051
       1.328500       0.098200       0.001078
       1.333500       0.100052       0.000852
       1.338500       0.102403       0.001300
       1.343500       0.104400       0.000958
       1.348500       0.106709       0.001016
       1.353500       0.109026       0.000995
       1.358500       0.113367       0.001337
       1.363500       0.114565       0.001721
       1.368500       0.118845       0.001710
       1.373500       0.121472       0.001589
       1.378500       0.125239       0.001719
       1.383500       0.128835       0.001399
       1.388500       0.125926       0.001314
       1.393500       0.136792       0.001807
       1.398500       0.138331       0.001727
       1.403500       0.143524       0.001138
       1.408500       0.146852       0.001703
       1.413500       0.152969       0.000981
       1.418500       0.156169       0.001391
       1.423500       0.161410       0.001433
       1.428500       0.166178       0.001772
       1.433500       0.169026       0.000961
       1.438500       0.177582       0.001161
       1.443500       0.181819       0.001704
       1.448500       0.188586       0.000731
       1.453500       0.193714       0.000861
       1.458500       0.199143       0.001219
       1.463500       0.204548       0.000931
       1.468500       0.211025       0.001030
       1.473500       0.220280       0.001409
       1.478500       0.226538       0.001766
       1.483500       0.237461       0.001682
       1.488500       0.242960       0.001243
       1.493500       0.248735       0.000929
       1.498500       0.257841       0.001622
       1.503500       0.265406       0.001649
       1.508500       0.270323       0.001387
       1.513500       0.281042       0.001585
       1.518500       0.286010       0.001285
       1.523500       0.297329       0.001666
       1.528500       0.303833       0.001611
       1.534000       0.316243       0.001244
       1.540000       0.325694       0.001374
       1.546000       0.335602       0.001170
       1.552000       0.349305       0.001832
       1.558000       0.357273       0.001695
       1.564000       0.368566       0.001326
       1.570500       0.381294       0.000796
       1.577500       0.393575       0.000846
       1.584500       0.408687       0.000879
       1.591500       0.421723       0.001300
       1.598500       0.433932       0.001509
       1.605500       0.444954       0.001463
       1.612500       0.457204       0.000741
       1.619500       0.471417       0.001292
       1.626500       0.483093       0.000866
       1.633500       0.494656       0.001343
       1.640500       0.507570       0.000966
       1.647500       0.515384       0.001257
       1.654500       0.528051       0.001750
       1.661500       0.539359       0.001134
       1.668500       0.551208       0.000944
       1.676000       0.557903       0.001519
       1.684000       0.569784       0.001428
       1.692000       0.578855       0.001592
       1.700000       0.586043       0.001843
       1.708000       0.596574       0.001790
       1.716000       0.609852       0.001872
       1.724000       0.616351       0.001841
       1.732000       0.628229       0.001952
       1.740000       0.633832       0.001970
       1.748000       0.646375       0.001944
       1.756000       0.650419       0.001958
       1.764000       0.655785       0.001676
       1.772000       0.658806       0.001616
       1.780000       0.665306       0.001835
       1.788000       0.671041       0.001929
       1.796000       0.679058       0.001864
       1.805000       0.682249       0.001066
       1.815000       0.690262       0.001107
       1.825000       0.692460       0.001391
       1.835000       0.693281       0.001588
       1.845000       0.695489       0.001808
       1.855000       0.702209       0.001766
       1.865000       0.707066       0.001420
       1.875000       0.710199       0.001522
       1.885000       0.712070       0.001575
       1.895000       0.709610       0.001915
       1.905000       0.704659       0.001158
       1.915000       0.705463       0.001534
       1.925000       0.709197       0.001609
       1.935000       0.712117       0.001663
       1.945000       0.715441       0.001997
       1.955000       0.717735       0.001482
       1.965000       0.724347       0.001828
       1.975000       0.723432       0.001909
       1.985000       0.727821       0.001738
       1.995000       0.732303       0.001385
       2.005000       0.733024       0.002012
       2.015000       0.740137       0.001508
       2.025000       0.735875       0.002008
       2.035000       0.740024       0.001671
       2.045000       0.746383       0.001974
       2.055000       0.743305       0.002019
       2.065000       0.744180       0.002018
       2.075000       0.746392       0.001919
       2.085000       0.747514       0.001741
       2.095000       0.748963       0.001891
       2.105000       0.751725       0.001980
       2.115000       0.758824       0.002042
       2.125000       0.761322       0.002038
       2.135000       0.756527       0.002034
       2.145000       0.756394       0.001692
       2.155000       0.757150       0.001990
       2.165000       0.757847       0.001994
       2.175000       0.756981       0.001967
       2.185000       0.754142       0.001999
       2.195000       0.745731       0.002074
       2.205000       0.746659       0.002073
       2.215000       0.749293       0.002069
       2.225000       0.753704       0.002088
       2.235000       0.753620       0.002087
       2.245000       0.748299       0.002084
       2.255000       0.749923       0.002085
       2.265000       0.749651       0.002142
       2.275000       0.752187       0.002359
       2.285000       0.755162       0.002825
       2.295000       0.739267       0.004024
       2.305000       0.741199       0.003738
       2.315000       0.740803       0.002630
       2.325000       0.746147       0.002068
       2.335000       0.745885       0.002058
       2.345000       0.743904       0.001811
