USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Olivine NMNH137044.b <74u    W1R1Ba AREF
copy of splib05a r 5244                                     
       0.205100      -1.23e34        0.019303
       0.213100      -1.23e34        0.003893
       0.221100       0.067053       0.001501
       0.229100       0.075096       0.001294
       0.236100       0.082642       0.000975
       0.242100       0.084838       0.000768
       0.248100       0.087413       0.000943
       0.253600       0.090525       0.000696
       0.258600       0.095107       0.000704
       0.263600       0.103325       0.000361
       0.268600       0.113048       0.000596
       0.273100       0.123598       0.000791
       0.277100       0.134467       0.000927
       0.281100       0.145239       0.000499
       0.285100       0.153982       0.000710
       0.289100       0.161098       0.000518
       0.293100       0.170029       0.000675
       0.297100       0.178885       0.000908
       0.301100       0.188239       0.000734
       0.305100       0.200575       0.000455
       0.309100       0.213858       0.000745
       0.313100       0.230203       0.000691
       0.317100       0.246442       0.000938
       0.321100       0.263591       0.000458
       0.325100       0.284614       0.000803
       0.329100       0.304187       0.000640
       0.333100       0.327055       0.000461
       0.337100       0.348295       0.000394
       0.341100       0.370044       0.000504
       0.345100       0.390516       0.000630
       0.349100       0.408078       0.000671
       0.353100       0.419826       0.000540
       0.357100       0.435913       0.000544
       0.360600       0.450068       0.000504
       0.363600       0.459118       0.000541
       0.366600       0.467344       0.000530
       0.369600       0.476127       0.000751
       0.372600       0.481253       0.000687
       0.375600       0.486754       0.000641
       0.378600       0.491881       0.000659
       0.381100       0.494839       0.000567
       0.383100       0.497102       0.000418
       0.385100       0.498845       0.000483
       0.387100       0.501969       0.000533
       0.389100       0.505522       0.000801
       0.391100       0.508979       0.000700
       0.393100       0.511158       0.000733
       0.395100       0.514241       0.000672
       0.397100       0.519163       0.000672
       0.399100       0.522144       0.000614
       0.401100       0.523698       0.000711
       0.403100       0.526332       0.000599
       0.405100       0.530054       0.000506
       0.407100       0.535763       0.000474
       0.409100       0.538932       0.000767
       0.411100       0.541735       0.000803
       0.412800       0.545936       0.000618
       0.415800       0.547185       0.000637
       0.418800       0.552136       0.000746
       0.421800       0.553261       0.000883
       0.424800       0.558664       0.000788
       0.427800       0.559381       0.000559
       0.430800       0.562672       0.000520
       0.433800       0.565731       0.000616
       0.436800       0.568890       0.000532
       0.439800       0.571103       0.000588
       0.442800       0.574700       0.000553
       0.445800       0.575229       0.000687
       0.448800       0.575122       0.000725
       0.451300       0.574673       0.000426
       0.453300       0.576770       0.000477
       0.455300       0.578430       0.000689
       0.457300       0.581190       0.000553
       0.459300       0.584042       0.000531
       0.461300       0.585216       0.001303
       0.463300       0.587281       0.000780
       0.465300       0.589661       0.000721
       0.467300       0.591963       0.000645
       0.469300       0.593776       0.000698
       0.471300       0.595799       0.000652
       0.473300       0.595520       0.001157
       0.475300       0.601242       0.000749
       0.477300       0.603596       0.000727
       0.479300       0.608637       0.000614
       0.481300       0.610323       0.000669
       0.483300       0.612358       0.000712
       0.485300       0.612039       0.000565
       0.487300       0.612723       0.000677
       0.489300       0.613696       0.000636
       0.491300       0.614891       0.000838
       0.493300       0.617086       0.000757
       0.495300       0.617906       0.000738
       0.497300       0.620884       0.000630
       0.499300       0.626274       0.000688
       0.501300       0.631103       0.000681
       0.503300       0.635940       0.000731
       0.505300       0.636722       0.001115
       0.507300       0.640430       0.000661
       0.509300       0.643048       0.000844
       0.511300       0.644488       0.000697
       0.513300       0.648157       0.000735
       0.515300       0.649660       0.000609
       0.517300       0.651512       0.000714
       0.519300       0.652785       0.000819
       0.521300       0.654061       0.000769
       0.523300       0.656440       0.000663
       0.525300       0.657696       0.000819
       0.527300       0.657652       0.001204
       0.529300       0.661443       0.000837
       0.531300       0.662157       0.000862
       0.533300       0.664012       0.001247
       0.535300       0.667597       0.000810
       0.537300       0.668464       0.000818
       0.539300       0.671184       0.000638
       0.541300       0.672121       0.000770
       0.543300       0.674748       0.000681
       0.545300       0.676568       0.000843
       0.547300       0.678897       0.000768
       0.549300       0.678876       0.000699
       0.551300       0.680996       0.000612
       0.553300       0.681670       0.000609
       0.555300       0.682554       0.000615
       0.557300       0.683052       0.000604
       0.559300       0.685320       0.000682
       0.561300       0.683183       0.001156
       0.563300       0.686176       0.000577
       0.565300       0.686001       0.000666
       0.567300       0.686274       0.000661
       0.569300       0.686000       0.000653
       0.571300       0.686667       0.000439
       0.573300       0.685750       0.000441
       0.575300       0.686240       0.000466
       0.577300       0.686516       0.000521
       0.579300       0.686100       0.000590
       0.581300       0.686563       0.000575
       0.583300       0.686382       0.000516
       0.585300       0.685671       0.000670
       0.587300       0.684311       0.000596
       0.589300       0.684126       0.000514
       0.591300       0.682260       0.000550
       0.593300       0.682976       0.000466
       0.595300       0.681786       0.000548
       0.597300       0.680712       0.000497
       0.599300       0.680423       0.000540
       0.601100       0.678662       0.000533
       0.602700       0.678025       0.000631
       0.604300       0.677797       0.000578
       0.605900       0.676739       0.000439
       0.607500       0.676247       0.000817
       0.609100       0.674465       0.000868
       0.610700       0.672614       0.001248
       0.612300       0.673439       0.000745
       0.613900       0.671259       0.000805
       0.615500       0.671053       0.000600
       0.617100       0.669643       0.000846
       0.618700       0.667998       0.000638
       0.620300       0.668107       0.000676
       0.621900       0.668277       0.000776
       0.623500       0.666507       0.000875
       0.625100       0.665954       0.000798
       0.626700       0.664210       0.000831
       0.628300       0.664258       0.000944
       0.629900       0.665038       0.000696
       0.631700       0.662924       0.000703
       0.633700       0.661682       0.000582
       0.635700       0.661506       0.000596
       0.637700       0.661341       0.000710
       0.639700       0.660444       0.000706
       0.641700       0.661819       0.000491
       0.643700       0.663074       0.000742
       0.645700       0.663617       0.000468
       0.647700       0.663864       0.000527
       0.649700       0.664534       0.000478
       0.651700       0.664520       0.000473
       0.653700       0.664912       0.000528
       0.655700       0.666562       0.000517
       0.657700       0.666454       0.000503
       0.659700       0.666171       0.000589
       0.661700       0.665397       0.000603
       0.663700       0.667838       0.000736
       0.665700       0.667897       0.000568
       0.667700       0.667012       0.000788
       0.670200       0.667634       0.000841
       0.673200       0.666511       0.000631
       0.676200       0.666845       0.000475
       0.679200       0.666619       0.000468
       0.682200       0.666095       0.000543
       0.685200       0.664268       0.000513
       0.688200       0.663080       0.000448
       0.691200       0.662230       0.000534
       0.694200       0.660732       0.000679
       0.697200       0.657935       0.000839
       0.700200       0.659930       0.000595
       0.702000       0.656651       0.000674
       0.704000       0.655770       0.000572
       0.706000       0.655084       0.000557
       0.708000       0.653827       0.000549
       0.710000       0.652649       0.000628
       0.712000       0.649989       0.000823
       0.714000       0.649132       0.000443
       0.716000       0.648112       0.000649
       0.718000       0.647063       0.000526
       0.720000       0.645634       0.000693
       0.722000       0.643356       0.000658
       0.724000       0.641295       0.000627
       0.726000       0.641198       0.000608
       0.728000       0.639528       0.000671
       0.730000       0.639079       0.000805
       0.732000       0.637010       0.000733
       0.734000       0.634087       0.001084
       0.736000       0.633206       0.000725
       0.738000       0.630424       0.000689
       0.740000       0.629903       0.000842
       0.742000       0.628378       0.000610
       0.744000       0.626005       0.000817
       0.746000       0.623508       0.000833
       0.748000       0.620783       0.000648
       0.750500       0.618803       0.000960
       0.753500       0.614595       0.000671
       0.756500       0.611618       0.000590
       0.759500       0.608793       0.000675
       0.762500       0.606113       0.000928
       0.765500       0.602662       0.000708
       0.768500       0.599188       0.000784
       0.771500       0.597103       0.000713
       0.774500       0.593507       0.001363
       0.777500       0.589966       0.001155
       0.781000       0.585855       0.000467
       0.785000       0.581625       0.000459
       0.789000       0.578284       0.000643
       0.793000       0.573256       0.001124
       0.797000       0.570281       0.000625
       0.801500       0.566197       0.000631
       0.806500       0.561858       0.000583
       0.811500       0.557874       0.000597
       0.816500       0.553139       0.000555
       0.822000       0.547587       0.000949
       0.828000       0.544441       0.000606
       0.835000       0.539763       0.000732
       0.843000       0.534414       0.000790
       0.851000       0.530752       0.001790
       0.859000       0.523834       0.001550
       0.871000       0.517886       0.001561
       0.883000       0.510390       0.001559
       0.894000       0.508843       0.001546
       0.904000       0.500459       0.001231
       0.914000       0.492205       0.001046
       0.924000       0.480510       0.001278
       0.933000       0.474808       0.000885
       0.941000       0.463535       0.001110
       0.949000       0.455942       0.000946
       0.957000       0.446954       0.000863
       0.964000       0.440722       0.001558
       0.970000       0.431053       0.001150
       0.976000       0.426372       0.001281
       0.982000       0.420940       0.001210
       0.988000       0.414190       0.000976
       0.994000       0.409572       0.001155
       1.000000       0.401563       0.000817
       1.006000       0.397304       0.000968
       1.012000       0.392972       0.001362
       1.018000       0.389249       0.001044
       1.023500       0.389945       0.000959
       1.028500       0.385429       0.001323
       1.033500       0.383370       0.001228
       1.038500       0.380768       0.001524
       1.043500       0.379006       0.000826
       1.048500       0.379263       0.001186
       1.053500       0.379157       0.000766
       1.058500       0.379141       0.000888
       1.063500       0.379706       0.001320
       1.068500       0.380656       0.001104
       1.073500       0.382788       0.001055
       1.078500       0.385846       0.001076
       1.083500       0.387080       0.000831
       1.088500       0.390125       0.000770
       1.093500       0.393313       0.001081
       1.098500       0.396261       0.000970
       1.103500       0.398317       0.000844
       1.108500       0.403370       0.000786
       1.113500       0.406610       0.000773
       1.118500       0.410578       0.000806
       1.123500       0.414431       0.000766
       1.128500       0.415433       0.000971
       1.133500       0.420341       0.000872
       1.138500       0.422719       0.000783
       1.143500       0.426143       0.000930
       1.148500       0.427986       0.000833
       1.153500       0.430015       0.000803
       1.158500       0.432863       0.000965
       1.163500       0.434377       0.000669
       1.168500       0.436032       0.000823
       1.173500       0.440273       0.000975
       1.178500       0.440580       0.000795
       1.183500       0.443834       0.001232
       1.188500       0.445113       0.001334
       1.193500       0.447498       0.000887
       1.198500       0.448996       0.000599
       1.203500       0.449326       0.000776
       1.208500       0.449897       0.000930
       1.213500       0.451876       0.000697
       1.218500       0.453852       0.000799
       1.223500       0.455720       0.000781
       1.228500       0.457002       0.000833
       1.233500       0.458865       0.000845
       1.238500       0.460305       0.000721
       1.243500       0.462426       0.000739
       1.248500       0.464245       0.000757
       1.253500       0.466388       0.000862
       1.258500       0.468055       0.000882
       1.263500       0.470804       0.000865
       1.268500       0.473667       0.000825
       1.273500       0.476611       0.000716
       1.278500       0.477754       0.000837
       1.283500       0.479411       0.000797
       1.288500       0.482676       0.000699
       1.293500       0.485483       0.000728
       1.298500       0.489316       0.000654
       1.303500       0.491960       0.000636
       1.308500       0.493647       0.000710
       1.313500       0.497626       0.000730
       1.318500       0.501462       0.000550
       1.323500       0.506026       0.000711
       1.328500       0.508591       0.000896
       1.333500       0.511975       0.000893
       1.338500       0.514753       0.000895
       1.343500       0.520249       0.000583
       1.348500       0.522583       0.001023
       1.353500       0.527297       0.001215
       1.358500       0.531629       0.001120
       1.363500       0.535481       0.001414
       1.368500       0.538605       0.000909
       1.373500       0.544368       0.001158
       1.378500       0.549003       0.001083
       1.383500       0.552126       0.001171
       1.388500       0.559760       0.000956
       1.393500       0.562319       0.001356
       1.398500       0.565721       0.001322
       1.403500       0.571992       0.001083
       1.408500       0.578568       0.001286
       1.413500       0.581969       0.001037
       1.418500       0.585958       0.000623
       1.423500       0.589908       0.001118
       1.428500       0.595921       0.000899
       1.433500       0.600914       0.001269
       1.438500       0.604895       0.001247
       1.443500       0.608446       0.001267
       1.448500       0.613714       0.000966
       1.453500       0.619854       0.000791
       1.458500       0.625267       0.001489
       1.463500       0.628200       0.001018
       1.468500       0.635173       0.001233
       1.473500       0.638585       0.001159
       1.478500       0.640857       0.001146
       1.483500       0.645572       0.000861
       1.488500       0.658644       0.001284
       1.493500       0.659632       0.001326
       1.498500       0.662711       0.001290
       1.503500       0.667916       0.001466
       1.508500       0.670145       0.000845
       1.513500       0.672817       0.001154
       1.518500       0.679821       0.001389
       1.523500       0.686179       0.001277
       1.528500       0.690337       0.001276
       1.534000       0.690822       0.001015
       1.540000       0.696104       0.001557
       1.546000       0.701676       0.000986
       1.552000       0.704605       0.001141
       1.558000       0.709929       0.000693
       1.564000       0.712321       0.000833
       1.570500       0.719489       0.000914
       1.577500       0.722562       0.000682
       1.584500       0.727160       0.000815
       1.591500       0.731509       0.000831
       1.598500       0.733124       0.000800
       1.605500       0.736841       0.000793
       1.612500       0.740393       0.000814
       1.619500       0.743863       0.000725
       1.626500       0.744794       0.000782
       1.633500       0.748861       0.001116
       1.640500       0.751978       0.000788
       1.647500       0.753094       0.000817
       1.654500       0.757389       0.001119
       1.661500       0.760575       0.001497
       1.668500       0.759237       0.001031
       1.676000       0.758666       0.000710
       1.684000       0.761984       0.001153
       1.692000       0.762103       0.001601
       1.700000       0.768592       0.001573
       1.708000       0.773666       0.001575
       1.716000       0.769373       0.001354
       1.724000       0.769024       0.001287
       1.732000       0.770751       0.001221
       1.740000       0.773732       0.001549
       1.748000       0.773021       0.001622
       1.756000       0.772763       0.001629
       1.764000       0.774256       0.001582
       1.772000       0.775607       0.001371
       1.780000       0.778476       0.001237
       1.788000       0.779421       0.001615
       1.796000       0.778582       0.001046
       1.805000       0.778482       0.000669
       1.815000       0.778030       0.000893
       1.825000       0.778263       0.000945
       1.835000       0.780389       0.001193
       1.845000       0.778518       0.000819
       1.855000       0.781303       0.001601
       1.865000       0.779113       0.001170
       1.875000       0.783366       0.001182
       1.885000       0.782761       0.000967
       1.895000       0.780390       0.000679
       1.905000       0.780679       0.001399
       1.915000       0.782335       0.001162
       1.925000       0.782237       0.001386
       1.935000       0.782571       0.001041
       1.945000       0.785006       0.001050
       1.955000       0.784831       0.001358
       1.965000       0.790432       0.001205
       1.975000       0.787782       0.001382
       1.985000       0.790902       0.001305
       1.995000       0.794917       0.001155
       2.005000       0.795506       0.001220
       2.015000       0.800148       0.001632
       2.025000       0.796395       0.001218
       2.035000       0.799921       0.001587
       2.045000       0.806434       0.001437
       2.055000       0.804342       0.001596
       2.065000       0.808371       0.001539
       2.075000       0.805968       0.001562
       2.085000       0.810484       0.001545
       2.095000       0.809783       0.001613
       2.105000       0.809727       0.001614
       2.115000       0.815922       0.001612
       2.125000       0.818512       0.001611
       2.135000       0.820675       0.001609
       2.145000       0.820428       0.001573
       2.155000       0.820837       0.001562
       2.165000       0.812918       0.001619
       2.175000       0.814555       0.001627
       2.185000       0.812575       0.001620
       2.195000       0.815839       0.001607
       2.205000       0.814944       0.001615
       2.215000       0.816781       0.001631
       2.225000       0.814224       0.001628
       2.235000       0.815254       0.001632
       2.245000       0.819652       0.001635
       2.255000       0.813675       0.001634
       2.265000       0.815825       0.001660
       2.275000       0.821188       0.002068
       2.285000       0.823759       0.002690
       2.295000       0.817014       0.003833
       2.305000       0.817764       0.003351
       2.315000       0.817658       0.002435
       2.325000       0.826733       0.001634
       2.335000       0.821909       0.001618
       2.345000       0.823153       0.001611
