USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Opal TM8896 (Hyalite)        W1R1Ba AREF
copy of splib05a r 5256                                     
       0.205100      -1.23e34        0.005475
       0.213100       0.503237       0.001227
       0.221100       0.468661       0.001012
       0.229100       0.456707       0.000912
       0.236100       0.446508       0.000795
       0.242100       0.441847       0.000628
       0.248100       0.440069       0.000476
       0.253600       0.440383       0.000636
       0.258600       0.440264       0.000387
       0.263600       0.441407       0.000381
       0.268600       0.446218       0.000451
       0.273100       0.452961       0.000443
       0.277100       0.457635       0.000459
       0.281100       0.465237       0.000608
       0.285100       0.471844       0.000779
       0.289100       0.478290       0.000781
       0.293100       0.486833       0.000620
       0.297100       0.493811       0.000731
       0.301100       0.497188       0.000613
       0.305100       0.504354       0.000558
       0.309100       0.510627       0.000478
       0.313100       0.517606       0.000583
       0.317100       0.524378       0.000678
       0.321100       0.530884       0.000592
       0.325100       0.537531       0.000553
       0.329100       0.541270       0.000704
       0.333100       0.546890       0.000551
       0.337100       0.551189       0.000477
       0.341100       0.555816       0.000606
       0.345100       0.560561       0.000493
       0.349100       0.564742       0.000478
       0.353100       0.568931       0.000621
       0.357100       0.572549       0.000544
       0.360600       0.576856       0.000503
       0.363600       0.579036       0.000463
       0.366600       0.580822       0.000487
       0.369600       0.583055       0.000552
       0.372600       0.585656       0.000469
       0.375600       0.589063       0.000440
       0.378600       0.592792       0.000693
       0.381100       0.596444       0.000679
       0.383100       0.598717       0.000514
       0.385100       0.600049       0.000541
       0.387100       0.602891       0.000507
       0.389100       0.605075       0.000499
       0.391100       0.606621       0.000523
       0.393100       0.609060       0.000524
       0.395100       0.610404       0.000607
       0.397100       0.612899       0.000504
       0.399100       0.614771       0.000558
       0.401100       0.616796       0.000531
       0.403100       0.618434       0.000626
       0.405100       0.620278       0.000473
       0.407100       0.621557       0.000516
       0.409100       0.623519       0.000485
       0.411100       0.626466       0.000527
       0.412800       0.627731       0.000547
       0.415800       0.629788       0.000503
       0.418800       0.632420       0.000500
       0.421800       0.634946       0.000533
       0.424800       0.636646       0.000496
       0.427800       0.639003       0.000530
       0.430800       0.641691       0.000614
       0.433800       0.644692       0.000493
       0.436800       0.646655       0.000490
       0.439800       0.648887       0.000590
       0.442800       0.651521       0.000474
       0.445800       0.653486       0.001006
       0.448800       0.655893       0.000692
       0.451300       0.658494       0.000998
       0.453300       0.660435       0.000816
       0.455300       0.661100       0.000603
       0.457300       0.663365       0.000896
       0.459300       0.664021       0.000690
       0.461300       0.665038       0.000769
       0.463300       0.665632       0.000643
       0.465300       0.667874       0.000564
       0.467300       0.668460       0.000623
       0.469300       0.670231       0.000603
       0.471300       0.670517       0.000596
       0.473300       0.671674       0.000604
       0.475300       0.673288       0.000595
       0.477300       0.673431       0.000593
       0.479300       0.675069       0.000551
       0.481300       0.676498       0.000548
       0.483300       0.677652       0.000600
       0.485300       0.678288       0.000612
       0.487300       0.679894       0.000565
       0.489300       0.681846       0.000590
       0.491300       0.682131       0.000579
       0.493300       0.683424       0.000664
       0.495300       0.685173       0.000585
       0.497300       0.686229       0.000621
       0.499300       0.687763       0.000648
       0.501300       0.688542       0.000572
       0.503300       0.689790       0.000797
       0.505300       0.690949       0.000619
       0.507300       0.692245       0.000808
       0.509300       0.693424       0.000656
       0.511300       0.695358       0.000575
       0.513300       0.696499       0.000692
       0.515300       0.698294       0.000571
       0.517300       0.699654       0.000625
       0.519300       0.700578       0.000836
       0.521300       0.702146       0.000609
       0.523300       0.703056       0.000694
       0.525300       0.704000       0.000681
       0.527300       0.705918       0.000702
       0.529300       0.706735       0.000656
       0.531300       0.708781       0.000683
       0.533300       0.709284       0.000693
       0.535300       0.711206       0.000701
       0.537300       0.712059       0.000897
       0.539300       0.713823       0.000750
       0.541300       0.713694       0.000651
       0.543300       0.715671       0.000718
       0.545300       0.716482       0.000670
       0.547300       0.716815       0.000606
       0.549300       0.718124       0.000649
       0.551300       0.719603       0.000611
       0.553300       0.720513       0.000816
       0.555300       0.722808       0.000577
       0.557300       0.722715       0.000907
       0.559300       0.723535       0.000660
       0.561300       0.722738       0.000609
       0.563300       0.723947       0.000619
       0.565300       0.725521       0.000617
       0.567300       0.726066       0.000792
       0.569300       0.727794       0.000687
       0.571300       0.729971       0.000664
       0.573300       0.730767       0.000883
       0.575300       0.731522       0.000485
       0.577300       0.732694       0.000514
       0.579300       0.733908       0.000570
       0.581300       0.734562       0.000511
       0.583300       0.736524       0.000550
       0.585300       0.736223       0.000483
       0.587300       0.737019       0.000585
       0.589300       0.738999       0.000512
       0.591300       0.739061       0.000658
       0.593300       0.739920       0.000535
       0.595300       0.740815       0.000597
       0.597300       0.740778       0.000990
       0.599300       0.741693       0.000983
       0.601100       0.742185       0.000632
       0.602700       0.742127       0.000534
       0.604300       0.742849       0.000602
       0.605900       0.743461       0.000537
       0.607500       0.743807       0.000582
       0.609100       0.743545       0.000805
       0.610700       0.745299       0.000721
       0.612300       0.745249       0.000663
       0.613900       0.746695       0.000688
       0.615500       0.746405       0.000739
       0.617100       0.745737       0.000904
       0.618700       0.746994       0.000754
       0.620300       0.747931       0.000632
       0.621900       0.747710       0.000915
       0.623500       0.749721       0.000637
       0.625100       0.749873       0.000682
       0.626700       0.750060       0.000899
       0.628300       0.751382       0.000725
       0.629900       0.750599       0.000827
       0.631700       0.752005       0.000790
       0.633700       0.752499       0.000890
       0.635700       0.753523       0.000501
       0.637700       0.753907       0.000483
       0.639700       0.754092       0.000667
       0.641700       0.755887       0.000485
       0.643700       0.756042       0.000526
       0.645700       0.755784       0.000522
       0.647700       0.756956       0.000470
       0.649700       0.757964       0.000472
       0.651700       0.758986       0.000526
       0.653700       0.759510       0.000538
       0.655700       0.759560       0.000510
       0.657700       0.761356       0.000667
       0.659700       0.760935       0.000557
       0.661700       0.761781       0.000538
       0.663700       0.761844       0.000557
       0.665700       0.764012       0.000560
       0.667700       0.763134       0.000512
       0.670200       0.763716       0.000648
       0.673200       0.763873       0.000660
       0.676200       0.764434       0.000579
       0.679200       0.766160       0.000511
       0.682200       0.766343       0.000570
       0.685200       0.766894       0.000514
       0.688200       0.767325       0.000608
       0.691200       0.769301       0.000464
       0.694200       0.769753       0.000517
       0.697200       0.770843       0.000604
       0.700200       0.773122       0.000564
       0.702000       0.773291       0.000562
       0.704000       0.773854       0.000517
       0.706000       0.774554       0.000489
       0.708000       0.774365       0.000508
       0.710000       0.775545       0.000475
       0.712000       0.776051       0.000624
       0.714000       0.777231       0.000529
       0.716000       0.777110       0.000681
       0.718000       0.777399       0.000483
       0.720000       0.776705       0.000528
       0.722000       0.777657       0.000526
       0.724000       0.778661       0.000640
       0.726000       0.779057       0.000512
       0.728000       0.779026       0.000558
       0.730000       0.779699       0.000705
       0.732000       0.779832       0.000564
       0.734000       0.780080       0.000623
       0.736000       0.780792       0.000773
       0.738000       0.781339       0.000587
       0.740000       0.780384       0.000803
       0.742000       0.781083       0.000602
       0.744000       0.781623       0.000815
       0.746000       0.782527       0.000828
       0.748000       0.782616       0.000585
       0.750500       0.783045       0.000699
       0.753500       0.784048       0.000526
       0.756500       0.785629       0.000555
       0.759500       0.785322       0.000551
       0.762500       0.786057       0.000709
       0.765500       0.786782       0.000823
       0.768500       0.786502       0.000683
       0.771500       0.787693       0.000626
       0.774500       0.787325       0.000887
       0.777500       0.787507       0.000723
       0.781000       0.787850       0.000533
       0.785000       0.789043       0.000746
       0.789000       0.789411       0.000630
       0.793000       0.789873       0.000830
       0.797000       0.791271       0.000785
       0.801500       0.792297       0.000543
       0.806500       0.793313       0.000593
       0.811500       0.792843       0.000610
       0.816500       0.792458       0.000598
       0.822000       0.792836       0.000699
       0.828000       0.794411       0.000661
       0.835000       0.793847       0.000782
       0.843000       0.795451       0.000670
       0.851000       0.790827       0.001042
       0.859000       0.792168       0.001034
       0.871000       0.793517       0.000942
       0.883000       0.792607       0.000963
       0.894000       0.795479       0.000722
       0.904000       0.795663       0.000823
       0.914000       0.795700       0.000880
       0.924000       0.795927       0.000776
       0.933000       0.795417       0.000811
       0.941000       0.794258       0.000699
       0.949000       0.790892       0.000738
       0.957000       0.787830       0.000796
       0.964000       0.792078       0.000728
       0.970000       0.794837       0.000763
       0.976000       0.794574       0.000687
       0.982000       0.795812       0.000997
       0.988000       0.798571       0.000698
       0.994000       0.799775       0.000686
       1.000000       0.801731       0.000732
       1.006000       0.800694       0.000622
       1.012000       0.800127       0.001035
       1.018000       0.801298       0.000631
       1.023500       0.802160       0.000768
       1.028500       0.804862       0.000711
       1.033500       0.806189       0.000627
       1.038500       0.804729       0.000608
       1.043500       0.805952       0.000649
       1.048500       0.806255       0.000647
       1.053500       0.806303       0.000714
       1.058500       0.806566       0.000601
       1.063500       0.807070       0.000629
       1.068500       0.808037       0.000637
       1.073500       0.808316       0.000661
       1.078500       0.808008       0.000633
       1.083500       0.807992       0.000648
       1.088500       0.808730       0.000635
       1.093500       0.810235       0.000634
       1.098500       0.809811       0.000579
       1.103500       0.810050       0.000610
       1.108500       0.808867       0.000653
       1.113500       0.809717       0.000597
       1.118500       0.809893       0.000554
       1.123500       0.809741       0.000608
       1.128500       0.807903       0.000560
       1.133500       0.807005       0.000588
       1.138500       0.805632       0.000548
       1.143500       0.801384       0.000537
       1.148500       0.794300       0.000651
       1.153500       0.793435       0.000592
       1.158500       0.796799       0.000633
       1.163500       0.800786       0.000602
       1.168500       0.802832       0.000613
       1.173500       0.803635       0.000699
       1.178500       0.804145       0.000638
       1.183500       0.805164       0.000692
       1.188500       0.806522       0.000615
       1.193500       0.807541       0.000597
       1.198500       0.805911       0.000601
       1.203500       0.805551       0.000572
       1.208500       0.806915       0.000574
       1.213500       0.807058       0.000666
       1.218500       0.807520       0.000648
       1.223500       0.807669       0.000615
       1.228500       0.807768       0.000630
       1.233500       0.806402       0.000647
       1.238500       0.804816       0.000652
       1.243500       0.803486       0.000573
       1.248500       0.802503       0.000722
       1.253500       0.802024       0.000608
       1.258500       0.801952       0.000493
       1.263500       0.803504       0.000625
       1.268500       0.804187       0.000540
       1.273500       0.802575       0.000588
       1.278500       0.804025       0.000531
       1.283500       0.802232       0.000578
       1.288500       0.801040       0.000607
       1.293500       0.800398       0.000573
       1.298500       0.800318       0.000529
       1.303500       0.798743       0.000611
       1.308500       0.798522       0.000681
       1.313500       0.797001       0.000561
       1.318500       0.794637       0.000548
       1.323500       0.792184       0.000574
       1.328500       0.787114       0.000516
       1.333500       0.782911       0.000609
       1.338500       0.778422       0.000597
       1.343500       0.772098       0.000558
       1.348500       0.769158       0.000626
       1.353500       0.765153       0.000564
       1.358500       0.759980       0.000778
       1.363500       0.755975       0.000655
       1.368500       0.749159       0.000743
       1.373500       0.736664       0.000665
       1.378500       0.714980       0.000680
       1.383500       0.691465       0.000752
       1.388500       0.671979       0.000720
       1.393500       0.653295       0.000714
       1.398500       0.631294       0.000803
       1.403500       0.608292       0.000713
       1.408500       0.604897       0.000786
       1.413500       0.615005       0.000710
       1.418500       0.629953       0.000634
       1.423500       0.640814       0.000698
       1.428500       0.650927       0.000822
       1.433500       0.655463       0.000678
       1.438500       0.662228       0.000678
       1.443500       0.664612       0.000681
       1.448500       0.667283       0.000827
       1.453500       0.667088       0.000754
       1.458500       0.663963       0.000691
       1.463500       0.661565       0.000717
       1.468500       0.664960       0.000586
       1.473500       0.669741       0.000712
       1.478500       0.674972       0.000731
       1.483500       0.678099       0.000784
       1.488500       0.681677       0.000726
       1.493500       0.684869       0.000706
       1.498500       0.686517       0.000756
       1.503500       0.689498       0.000804
       1.508500       0.690218       0.000744
       1.513500       0.692670       0.000917
       1.518500       0.694235       0.000722
       1.523500       0.695119       0.000873
       1.528500       0.698416       0.000690
       1.534000       0.699100       0.000598
       1.540000       0.700296       0.000726
       1.546000       0.700808       0.000901
       1.552000       0.702589       0.000610
       1.558000       0.704729       0.000654
       1.564000       0.706164       0.000633
       1.570500       0.705997       0.000567
       1.577500       0.705723       0.000673
       1.584500       0.705978       0.000592
       1.591500       0.707698       0.000503
       1.598500       0.707359       0.000592
       1.605500       0.707125       0.000602
       1.612500       0.707252       0.000626
       1.619500       0.705896       0.000623
       1.626500       0.705562       0.000564
       1.633500       0.705790       0.000699
       1.640500       0.705098       0.000569
       1.647500       0.704269       0.000703
       1.654500       0.703423       0.000676
       1.661500       0.704067       0.000760
       1.668500       0.702828       0.000674
       1.676000       0.702323       0.000772
       1.684000       0.699221       0.000914
       1.692000       0.700792       0.001019
       1.700000       0.702167       0.001016
       1.708000       0.699870       0.001017
       1.716000       0.698589       0.000806
       1.724000       0.696012       0.000735
       1.732000       0.692730       0.000898
       1.740000       0.694548       0.001030
       1.748000       0.691604       0.001024
       1.756000       0.688959       0.001029
       1.764000       0.687485       0.001024
       1.772000       0.683041       0.000945
       1.780000       0.682016       0.000948
       1.788000       0.685059       0.000983
       1.796000       0.680131       0.000590
       1.805000       0.677420       0.000646
       1.815000       0.675802       0.000643
       1.825000       0.673813       0.000602
       1.835000       0.672695       0.000764
       1.845000       0.668735       0.000918
       1.855000       0.661486       0.000768
       1.865000       0.650480       0.000704
       1.875000       0.622636       0.000751
       1.885000       0.563255       0.000724
       1.895000       0.456729       0.000655
       1.905000       0.430506       0.000770
       1.915000       0.468393       0.000686
       1.925000       0.497270       0.000947
       1.935000       0.510713       0.000894
       1.945000       0.519874       0.000792
       1.955000       0.524685       0.000729
       1.965000       0.534535       0.001008
       1.975000       0.546912       0.000836
       1.985000       0.559725       0.000866
       1.995000       0.575413       0.000854
       2.005000       0.586792       0.000956
       2.015000       0.597499       0.000997
       2.025000       0.607224       0.001008
       2.035000       0.612793       0.000979
       2.045000       0.618856       0.000999
       2.055000       0.622307       0.001000
       2.065000       0.620347       0.001008
       2.075000       0.622331       0.001002
       2.085000       0.624671       0.001011
       2.095000       0.625811       0.001003
       2.105000       0.626333       0.001005
       2.115000       0.629487       0.001001
       2.125000       0.626199       0.001001
       2.135000       0.623953       0.001002
       2.145000       0.619424       0.001004
       2.155000       0.610389       0.000902
       2.165000       0.599547       0.000999
       2.175000       0.585390       0.001010
       2.185000       0.567300       0.001009
       2.195000       0.541375       0.001006
       2.205000       0.505853       0.001007
       2.215000       0.487517       0.001006
       2.225000       0.486200       0.001009
       2.235000       0.488090       0.001007
       2.245000       0.485866       0.001026
       2.255000       0.484900       0.001023
       2.265000       0.482985       0.001073
       2.275000       0.488431       0.001173
       2.285000       0.494670       0.001632
       2.295000       0.501874       0.002230
       2.305000       0.506960       0.002233
       2.315000       0.516580       0.001481
       2.325000       0.521191       0.001053
       2.335000       0.525457       0.000995
       2.345000       0.529587       0.000989
