USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Opal WS732                   W1R1Ba AREF
copy of splib05a r 5267                                     
       0.205100      -1.23e34        0.012036
       0.213100      -1.23e34        0.003980
       0.221100       0.123699       0.003021
       0.229100       0.097297       0.002354
       0.236100       0.081856       0.001814
       0.242100       0.072011       0.001976
       0.248100       0.064808       0.001222
       0.253600       0.059510       0.001770
       0.258600       0.055137       0.001191
       0.263600       0.054367       0.001401
       0.268600       0.051785       0.001222
       0.273100       0.051845       0.001949
       0.277100       0.050276       0.001856
       0.281100       0.050021       0.001603
       0.285100       0.051356       0.001555
       0.289100       0.050056       0.001840
       0.293100       0.051212       0.001808
       0.297100       0.052055       0.002065
       0.301100       0.056260       0.001062
       0.305100       0.058857       0.001421
       0.309100       0.062813       0.000853
       0.313100       0.066796       0.001353
       0.317100       0.073986       0.001081
       0.321100       0.080333       0.001004
       0.325100       0.084161       0.001122
       0.329100       0.090550       0.001531
       0.333100       0.096702       0.000838
       0.337100       0.101515       0.000985
       0.341100       0.108195       0.000818
       0.345100       0.114464       0.000774
       0.349100       0.121683       0.000888
       0.353100       0.130256       0.000804
       0.357100       0.137445       0.000788
       0.360600       0.142545       0.000802
       0.363600       0.145614       0.000823
       0.366600       0.148366       0.000742
       0.369600       0.151954       0.000720
       0.372600       0.155460       0.000745
       0.375600       0.161574       0.000818
       0.378600       0.167324       0.001243
       0.381100       0.171258       0.001054
       0.383100       0.175858       0.000932
       0.385100       0.180566       0.000863
       0.387100       0.186248       0.001444
       0.389100       0.189276       0.000848
       0.391100       0.194871       0.000865
       0.393100       0.199785       0.000759
       0.395100       0.203131       0.000848
       0.397100       0.206256       0.000973
       0.399100       0.209663       0.000960
       0.401100       0.213797       0.000945
       0.403100       0.215968       0.000779
       0.405100       0.218814       0.000814
       0.407100       0.220922       0.000816
       0.409100       0.223520       0.000757
       0.411100       0.225373       0.001346
       0.412800       0.227431       0.001006
       0.415800       0.229382       0.000889
       0.418800       0.233122       0.000839
       0.421800       0.235632       0.000867
       0.424800       0.238104       0.000871
       0.427800       0.239278       0.001005
       0.430800       0.242994       0.000795
       0.433800       0.244332       0.000826
       0.436800       0.246517       0.000863
       0.439800       0.248599       0.000857
       0.442800       0.252779       0.000820
       0.445800       0.256150       0.000894
       0.448800       0.262944       0.000892
       0.451300       0.267198       0.000960
       0.453300       0.273152       0.001138
       0.455300       0.274739       0.001356
       0.457300       0.277682       0.001255
       0.459300       0.279467       0.001897
       0.461300       0.281658       0.000925
       0.463300       0.281917       0.001099
       0.465300       0.283976       0.000906
       0.467300       0.286382       0.001032
       0.469300       0.286125       0.000885
       0.471300       0.286893       0.001185
       0.473300       0.288182       0.000977
       0.475300       0.289725       0.000916
       0.477300       0.288794       0.001227
       0.479300       0.290609       0.001829
       0.481300       0.291900       0.001026
       0.483300       0.293135       0.001021
       0.485300       0.294560       0.001060
       0.487300       0.295008       0.000970
       0.489300       0.296947       0.001167
       0.491300       0.299209       0.001618
       0.493300       0.300807       0.000972
       0.495300       0.303339       0.000895
       0.497300       0.305070       0.000938
       0.499300       0.306883       0.000984
       0.501300       0.307883       0.001900
       0.503300       0.311098       0.000991
       0.505300       0.313585       0.001743
       0.507300       0.315856       0.001061
       0.509300       0.318118       0.001092
       0.511300       0.320287       0.001087
       0.513300       0.322546       0.000942
       0.515300       0.322592       0.001016
       0.517300       0.325522       0.000964
       0.519300       0.327148       0.001093
       0.521300       0.328228       0.001285
       0.523300       0.330572       0.001178
       0.525300       0.333276       0.001133
       0.527300       0.333364       0.001161
       0.529300       0.335526       0.001297
       0.531300       0.336470       0.001093
       0.533300       0.337641       0.001075
       0.535300       0.340390       0.001041
       0.537300       0.341148       0.001248
       0.539300       0.343537       0.001198
       0.541300       0.343663       0.001089
       0.543300       0.345094       0.001095
       0.545300       0.345942       0.001240
       0.547300       0.347013       0.001321
       0.549300       0.347766       0.001874
       0.551300       0.348282       0.001062
       0.553300       0.350390       0.001294
       0.555300       0.353163       0.000943
       0.557300       0.354461       0.001891
       0.559300       0.356201       0.001431
       0.561300       0.357341       0.001105
       0.563300       0.359685       0.001176
       0.565300       0.361354       0.001106
       0.567300       0.364091       0.001837
       0.569300       0.365747       0.001071
       0.571300       0.368748       0.001077
       0.573300       0.371350       0.001119
       0.575300       0.371603       0.001359
       0.577300       0.373936       0.000686
       0.579300       0.374597       0.000749
       0.581300       0.377018       0.000902
       0.583300       0.379165       0.001390
       0.585300       0.379082       0.000927
       0.587300       0.381873       0.000931
       0.589300       0.384257       0.000907
       0.591300       0.383800       0.001010
       0.593300       0.385276       0.001274
       0.595300       0.386230       0.000784
       0.597300       0.387184       0.001295
       0.599300       0.388669       0.002171
       0.601100       0.388541       0.000758
       0.602700       0.389707       0.000916
       0.604300       0.388958       0.001417
       0.605900       0.390416       0.000833
       0.607500       0.390503       0.000646
       0.609100       0.392846       0.001241
       0.610700       0.392605       0.002458
       0.612300       0.394165       0.001099
       0.613900       0.392744       0.001341
       0.615500       0.394327       0.001153
       0.617100       0.395751       0.001210
       0.618700       0.398329       0.001166
       0.620300       0.395806       0.001250
       0.621900       0.397846       0.001174
       0.623500       0.400343       0.001347
       0.625100       0.397873       0.001290
       0.626700       0.399053       0.001350
       0.628300       0.402193       0.001220
       0.629900       0.399455       0.001373
       0.631700       0.400799       0.001767
       0.633700       0.401310       0.001070
       0.635700       0.402330       0.001092
       0.637700       0.403970       0.001223
       0.639700       0.404184       0.001080
       0.641700       0.403701       0.000701
       0.643700       0.405776       0.001274
       0.645700       0.404590       0.000739
       0.647700       0.405421       0.000932
       0.649700       0.405934       0.001459
       0.651700       0.407278       0.000876
       0.653700       0.406471       0.000896
       0.655700       0.406770       0.000998
       0.657700       0.408059       0.000795
       0.659700       0.408573       0.000962
       0.661700       0.409056       0.000882
       0.663700       0.410210       0.000914
       0.665700       0.408597       0.001052
       0.667700       0.409886       0.001645
       0.670200       0.410471       0.002052
       0.673200       0.411105       0.001137
       0.676200       0.411295       0.000736
       0.679200       0.411564       0.000903
       0.682200       0.413717       0.000694
       0.685200       0.412763       0.000838
       0.688200       0.412707       0.000849
       0.691200       0.413515       0.000940
       0.694200       0.413684       0.001929
       0.697200       0.413392       0.000861
       0.700200       0.413416       0.001289
       0.702000       0.413606       0.001185
       0.704000       0.412576       0.001168
       0.706000       0.414290       0.000716
       0.708000       0.413774       0.000725
       0.710000       0.412934       0.000905
       0.712000       0.414660       0.000859
       0.714000       0.412744       0.000771
       0.716000       0.412878       0.000774
       0.718000       0.413393       0.000829
       0.720000       0.412698       0.000869
       0.722000       0.412271       0.000996
       0.724000       0.412238       0.001007
       0.726000       0.411004       0.000809
       0.728000       0.410244       0.001127
       0.730000       0.410568       0.001572
       0.732000       0.409975       0.001591
       0.734000       0.409492       0.000908
       0.736000       0.408606       0.001185
       0.738000       0.408899       0.000973
       0.740000       0.409120       0.001679
       0.742000       0.407505       0.001205
       0.744000       0.406025       0.001988
       0.746000       0.407829       0.000994
       0.748000       0.406410       0.000996
       0.750500       0.406006       0.002153
       0.753500       0.404574       0.001041
       0.756500       0.404549       0.000737
       0.759500       0.403366       0.001186
       0.762500       0.403581       0.000776
       0.765500       0.402882       0.000928
       0.768500       0.401534       0.001472
       0.771500       0.400967       0.000877
       0.774500       0.399889       0.001500
       0.777500       0.398058       0.000946
       0.781000       0.397735       0.000862
       0.785000       0.396360       0.000823
       0.789000       0.394123       0.000939
       0.793000       0.393099       0.001163
       0.797000       0.391804       0.000756
       0.801500       0.389754       0.001189
       0.806500       0.388669       0.000773
       0.811500       0.385933       0.000876
       0.816500       0.384334       0.000846
       0.822000       0.381475       0.000830
       0.828000       0.379060       0.000948
       0.835000       0.375071       0.001603
       0.843000       0.373682       0.001291
       0.851000      -1.23e34        0.001997
       0.859000       0.371356       0.000900
       0.871000       0.364691       0.000878
       0.883000       0.360258       0.000903
       0.894000       0.358234       0.001307
       0.904000       0.355292       0.000909
       0.914000       0.348989       0.000828
       0.924000       0.347282       0.000832
       0.933000       0.341238       0.000873
       0.941000       0.334224       0.000887
       0.949000       0.324665       0.000694
       0.957000       0.315922       0.000784
       0.964000       0.313646       0.001377
       0.970000       0.315108       0.000763
       0.976000       0.317497       0.000833
       0.982000       0.318941       0.000866
       0.988000       0.322665       0.001008
       0.994000       0.322181       0.001253
       1.000000       0.324475       0.000896
       1.006000       0.325329       0.001133
       1.012000       0.325242       0.000730
       1.018000       0.325567       0.000790
       1.023500       0.327043       0.001436
       1.028500       0.329459       0.001074
       1.033500       0.329327       0.001091
       1.038500       0.330622       0.001246
       1.043500       0.329504       0.000750
       1.048500       0.330530       0.001017
       1.053500       0.331064       0.000824
       1.058500       0.329635       0.001369
       1.063500       0.330347       0.000876
       1.068500       0.330346       0.001030
       1.073500       0.328965       0.000921
       1.078500       0.328562       0.001235
       1.083500       0.327048       0.000990
       1.088500       0.327011       0.001110
       1.093500       0.327545       0.000866
       1.098500       0.324436       0.000832
       1.103500       0.323421       0.000705
       1.108500       0.321027       0.001372
       1.113500       0.321490       0.000741
       1.118500       0.318293       0.000789
       1.123500       0.315099       0.000822
       1.128500       0.310443       0.000864
       1.133500       0.302231       0.000782
       1.138500       0.293926       0.000686
       1.143500       0.283506       0.001285
       1.148500       0.272863       0.000874
       1.153500       0.266516       0.000888
       1.158500       0.267751       0.000936
       1.163500       0.272474       0.000944
       1.168500       0.274932       0.000813
       1.173500       0.276132       0.001070
       1.178500       0.276054       0.001433
       1.183500       0.278362       0.000919
       1.188500       0.278598       0.001298
       1.193500       0.277661       0.001013
       1.198500       0.276945       0.000697
       1.203500       0.278133       0.000930
       1.208500       0.277170       0.000985
       1.213500       0.278619       0.001020
       1.218500       0.278542       0.000974
       1.223500       0.277771       0.000720
       1.228500       0.274239       0.000935
       1.233500       0.273247       0.000914
       1.238500       0.272199       0.000777
       1.243500       0.271596       0.000753
       1.248500       0.272580       0.000780
       1.253500       0.270281       0.000756
       1.258500       0.270374       0.000851
       1.263500       0.270438       0.000870
       1.268500       0.268799       0.001561
       1.273500       0.268714       0.000918
       1.278500       0.267803       0.000877
       1.283500       0.263719       0.000830
       1.288500       0.262398       0.000801
       1.293500       0.258061       0.001369
       1.298500       0.255451       0.000741
       1.303500       0.251448       0.000777
       1.308500       0.248509       0.000984
       1.313500       0.241906       0.000797
       1.318500       0.236129       0.000814
       1.323500       0.227658       0.000858
       1.328500       0.219024       0.000798
       1.333500       0.207447       0.001172
       1.338500       0.201349       0.000846
       1.343500       0.191858       0.000865
       1.348500       0.185156       0.000922
       1.353500       0.179922       0.000844
       1.358500       0.173416       0.001146
       1.363500       0.161301       0.001172
       1.368500       0.141832       0.001328
       1.373500       0.125864       0.001162
       1.378500       0.112246       0.001190
       1.383500       0.098873       0.001180
       1.388500       0.088558       0.001023
       1.393500       0.078019       0.000979
       1.398500       0.066328       0.001239
       1.403500       0.060303       0.001222
       1.408500       0.055313       0.001208
       1.413500       0.053190       0.001453
       1.418500       0.055559       0.001799
       1.423500       0.055903       0.001245
       1.428500       0.056700       0.001207
       1.433500       0.059033       0.001411
       1.438500       0.061576       0.001235
       1.443500       0.060799       0.001670
       1.448500       0.061347       0.000968
       1.453500       0.061607       0.000935
       1.458500       0.060694       0.001310
       1.463500       0.059919       0.001226
       1.468500       0.062880       0.001186
       1.473500       0.067317       0.000906
       1.478500       0.067993       0.001309
       1.483500       0.071465       0.001343
       1.488500       0.073402       0.001143
       1.493500       0.074577       0.001163
       1.498500       0.075487       0.001200
       1.503500       0.080228       0.001999
       1.508500       0.082533       0.001002
       1.513500       0.082192       0.001469
       1.518500       0.085386       0.002048
       1.523500       0.089555       0.001670
       1.528500       0.090992       0.001130
       1.534000       0.092766       0.000969
       1.540000       0.092825       0.001272
       1.546000       0.096419       0.001399
       1.552000       0.099030       0.001142
       1.558000       0.101456       0.001499
       1.564000       0.101931       0.000909
       1.570500       0.103223       0.000879
       1.577500       0.103329       0.001299
       1.584500       0.104610       0.001011
       1.591500       0.104857       0.000755
       1.598500       0.107284       0.001073
       1.605500       0.108300       0.001166
       1.612500       0.107513       0.000952
       1.619500       0.107805       0.001048
       1.626500       0.109238       0.000986
       1.633500       0.107100       0.000999
       1.640500       0.105372       0.001710
       1.647500       0.105608       0.001249
       1.654500       0.106026       0.001638
       1.661500       0.107879       0.001747
       1.668500       0.105203       0.001170
       1.676000       0.106167       0.001387
       1.684000       0.103686       0.001330
       1.692000       0.102552       0.001480
       1.700000       0.102058       0.001198
       1.708000       0.102856       0.001291
       1.716000       0.101810       0.001135
       1.724000       0.097485       0.001073
       1.732000       0.095904       0.001255
       1.740000       0.094741       0.002308
       1.748000       0.093046       0.001966
       1.756000       0.090057       0.001429
       1.764000       0.087055       0.001456
       1.772000       0.086695       0.001603
       1.780000       0.083443       0.001539
       1.788000       0.085316       0.001752
       1.796000       0.081903       0.001049
       1.805000       0.079921       0.001090
       1.815000       0.079127       0.001197
       1.825000       0.077213       0.000993
       1.835000       0.076336       0.001038
       1.845000       0.074848       0.001238
       1.855000       0.070494       0.001757
       1.865000       0.059729       0.001174
       1.875000       0.044101       0.001439
       1.885000       0.032981       0.000883
       1.895000       0.026204       0.001133
       1.905000       0.025658       0.001054
       1.915000       0.023715       0.001341
       1.925000       0.026019       0.000931
       1.935000       0.026512       0.001316
       1.945000       0.027967       0.001079
       1.955000       0.025607       0.000697
       1.965000       0.027138       0.001061
       1.975000       0.027945       0.001137
       1.985000       0.029864       0.001090
       1.995000       0.030345       0.001014
       2.005000       0.031359       0.001199
       2.015000       0.034273       0.001163
       2.025000       0.037189       0.001260
       2.035000       0.035723       0.001165
       2.045000       0.038142       0.001170
       2.055000       0.040946       0.001550
       2.065000       0.042822       0.001027
       2.075000       0.039591       0.001479
       2.085000       0.042091       0.001611
       2.095000       0.044478       0.001479
       2.105000       0.042409       0.001899
       2.115000       0.044414       0.002136
       2.125000       0.043559       0.001586
       2.135000       0.046355       0.002328
       2.145000       0.042792       0.001903
       2.155000       0.045013       0.001382
       2.165000       0.038562       0.001342
       2.175000       0.034398       0.001509
       2.185000       0.034149       0.001561
       2.195000       0.035368       0.001268
       2.205000       0.030751       0.002105
       2.215000       0.026726       0.002499
       2.225000       0.026869       0.001974
       2.235000       0.025661       0.002584
       2.245000       0.024525       0.002573
       2.255000       0.030379       0.002570
       2.265000       0.028170       0.002556
       2.275000       0.023274       0.002569
       2.285000       0.027426       0.002621
       2.295000       0.030938       0.002732
       2.305000       0.026367       0.002625
       2.315000       0.027746       0.002623
       2.325000       0.034542       0.002571
       2.335000       0.034473       0.002562
       2.345000       0.029440       0.001686
