USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Phlogopite WS496             W1R1Bb AREF
copy of splib05a r 5414                                     
       0.205100      -1.23e34        0.338606
       0.213100      -1.23e34        0.024294
       0.221100       0.041469       0.006130
       0.229100       0.058521       0.002948
       0.236100       0.057458       0.001894
       0.242100       0.057367       0.001170
       0.248100       0.058931       0.001088
       0.253600       0.060928       0.001062
       0.258600       0.063581       0.001046
       0.263600       0.067562       0.001046
       0.268600       0.071711       0.001063
       0.273100       0.078674       0.001085
       0.277100       0.083078       0.001111
       0.281100       0.089586       0.001135
       0.285100       0.101202       0.001181
       0.289100       0.113489       0.001232
       0.293100       0.128218       0.001275
       0.297100       0.142891       0.001326
       0.301100       0.157958       0.001371
       0.305100       0.172547       0.001402
       0.309100       0.182489       0.001447
       0.313100       0.193046       0.001450
       0.317100       0.203073       0.001471
       0.321100       0.210689       0.001508
       0.325100       0.218779       0.001495
       0.329100       0.227644       0.001537
       0.333100       0.232729       0.001521
       0.337100       0.239298       0.001550
       0.341100       0.247407       0.001534
       0.345100       0.252460       0.001551
       0.349100       0.257085       0.001536
       0.353100       0.263791       0.001520
       0.357100       0.267052       0.001472
       0.360600       0.278107       0.001523
       0.363600       0.282727       0.000983
       0.366600       0.290562       0.001537
       0.369600       0.295114       0.001061
       0.372600       0.304005       0.001538
       0.375600       0.307901       0.001548
       0.378600       0.314588       0.001571
       0.381100       0.317234       0.001456
       0.383100       0.318705       0.001539
       0.385100       0.319401       0.001564
       0.387100       0.319029       0.001205
       0.389100       0.319825       0.001577
       0.391100       0.322208       0.001037
       0.393100       0.325450       0.001579
       0.395100       0.328333       0.001538
       0.397100       0.328693       0.001580
       0.399100       0.329276       0.000993
       0.401100       0.331787       0.001567
       0.403100       0.330305       0.000884
       0.405100       0.331301       0.001239
       0.407100       0.333072       0.001548
       0.409100       0.335114       0.001209
       0.411100       0.338348       0.000972
       0.412800       0.340679       0.001600
       0.415800       0.342095       0.001201
       0.418800       0.347356       0.001583
       0.421800       0.351571       0.001584
       0.424800       0.354423       0.001588
       0.427800       0.360087       0.000950
       0.430800       0.361899       0.001498
       0.433800       0.367916       0.001591
       0.436800       0.368905       0.001560
       0.439800       0.371984       0.001596
       0.442800       0.377238       0.001095
       0.445800       0.377193       0.001281
       0.448800       0.378139       0.001489
       0.451300       0.376186       0.001491
       0.453300       0.377818       0.001608
       0.455300       0.382499       0.001600
       0.457300       0.386845       0.001091
       0.459300       0.387301       0.001643
       0.461300       0.389899       0.001587
       0.463300       0.391675       0.001467
       0.465300       0.393615       0.001618
       0.467300       0.395659       0.001576
       0.469300       0.402144       0.001656
       0.471300       0.401305       0.001630
       0.473300       0.407840       0.001271
       0.475300       0.407523       0.001299
       0.477300       0.413235       0.001640
       0.479300       0.417201       0.001649
       0.481300       0.420383       0.001607
       0.483300       0.426097       0.001676
       0.485300       0.427825       0.001653
       0.487300       0.429064       0.001640
       0.489300       0.430471       0.001010
       0.491300       0.428272       0.001629
       0.493300       0.432142       0.001670
       0.495300       0.429738       0.001663
       0.497300       0.436726       0.001664
       0.499300       0.437601       0.001656
       0.501300       0.441149       0.001665
       0.503300       0.441200       0.001642
       0.505300       0.445347       0.001387
       0.507300       0.443763       0.001230
       0.509300       0.445559       0.001678
       0.511300       0.450110       0.001312
       0.513300       0.450713       0.001617
       0.515300       0.454791       0.001323
       0.517300       0.454120       0.001661
       0.519300       0.457797       0.001654
       0.521300       0.455020       0.001672
       0.523300       0.455962       0.001661
       0.525300       0.459267       0.001676
       0.527300       0.455312       0.001119
       0.529300       0.457931       0.001640
       0.531300       0.461115       0.001363
       0.533300       0.459910       0.001300
       0.535300       0.463101       0.001690
       0.537300       0.464165       0.001687
       0.539300       0.460123       0.001290
       0.541300       0.464380       0.001407
       0.543300       0.465462       0.001312
       0.545300       0.466683       0.001308
       0.547300       0.466256       0.001678
       0.549300       0.469627       0.001689
       0.551300       0.470433       0.001601
       0.553300       0.469186       0.001439
       0.555300       0.472952       0.000906
       0.557300       0.469933       0.001276
       0.559300       0.474464       0.001455
       0.561300       0.476634       0.001644
       0.563300       0.477665       0.001494
       0.565300       0.474378       0.001554
       0.567300       0.475348       0.000966
       0.569300       0.478448       0.001707
       0.571300       0.479095       0.001661
       0.573300       0.478560       0.001707
       0.575300       0.478099       0.000897
       0.577300       0.479736       0.001021
       0.579300       0.480204       0.000895
       0.581300       0.479924       0.001297
       0.583300       0.482402       0.000858
       0.585300       0.478104       0.001658
       0.587300       0.480394       0.001671
       0.589300       0.477418       0.001467
       0.591300       0.482439       0.001630
       0.593300       0.482816       0.001715
       0.595300       0.481064       0.001225
       0.597300       0.482264       0.001709
       0.599300       0.481118       0.001424
       0.601100       0.479217       0.001685
       0.602700       0.480862       0.001710
       0.604300       0.479014       0.001699
       0.605900       0.479512       0.001683
       0.607500       0.473136       0.001225
       0.609100       0.474940       0.001634
       0.610700       0.478394       0.001546
       0.612300       0.478121       0.001649
       0.613900       0.475322       0.001595
       0.615500       0.478627       0.001680
       0.617100       0.474856       0.001497
       0.618700       0.474819       0.001484
       0.620300       0.474996       0.001696
       0.621900       0.474420       0.001358
       0.623500       0.473885       0.001404
       0.625100       0.473297       0.001686
       0.626700       0.469895       0.001698
       0.628300       0.469430       0.001641
       0.629900       0.469661       0.001658
       0.631700       0.469153       0.001613
       0.633700       0.468592       0.001663
       0.635700       0.471200       0.001247
       0.637700       0.467795       0.001697
       0.639700       0.467516       0.001672
       0.641700       0.466362       0.001689
       0.643700       0.463941       0.001672
       0.645700       0.463074       0.001105
       0.647700       0.462791       0.001305
       0.649700       0.460205       0.001262
       0.651700       0.461792       0.001005
       0.653700       0.460082       0.001031
       0.655700       0.458247       0.001361
       0.657700       0.457992       0.001278
       0.659700       0.456766       0.000937
       0.661700       0.456506       0.001595
       0.663700       0.454874       0.001607
       0.665700       0.454053       0.001336
       0.667700       0.455508       0.001689
       0.670200       0.447883       0.001667
       0.673200       0.448942       0.001305
       0.676200       0.450894       0.001507
       0.679200       0.446336       0.000811
       0.682200       0.447196       0.000983
       0.685200       0.446549       0.001600
       0.688200       0.447987       0.001489
       0.691200       0.448049       0.001191
       0.694200       0.445880       0.001332
       0.697200       0.444698       0.001297
       0.700200       0.447048       0.001390
       0.702000       0.442800       0.000801
       0.704000       0.443453       0.000963
       0.706000       0.441847       0.000889
       0.708000       0.444040       0.001305
       0.710000       0.444622       0.001396
       0.712000       0.442539       0.000897
       0.714000       0.443631       0.000697
       0.716000       0.444726       0.000887
       0.718000       0.441643       0.001440
       0.720000       0.442872       0.001253
       0.722000       0.446770       0.001336
       0.724000       0.443666       0.000916
       0.726000       0.446049       0.001254
       0.728000       0.449892       0.001677
       0.730000       0.448864       0.001649
       0.732000       0.451525       0.001677
       0.734000       0.449716       0.001159
       0.736000       0.452359       0.001690
       0.738000       0.451155       0.001732
       0.740000       0.451740       0.000985
       0.742000       0.453422       0.001440
       0.744000       0.450005       0.001728
       0.746000       0.453602       0.001684
       0.748000       0.455200       0.001471
       0.750500       0.455176       0.000958
       0.753500       0.458565       0.001266
       0.756500       0.455774       0.000933
       0.759500       0.458235       0.001585
       0.762500       0.461850       0.001691
       0.765500       0.465134       0.001689
       0.768500       0.467216       0.001400
       0.771500       0.466457       0.001635
       0.774500       0.468329       0.001561
       0.777500       0.470054       0.001584
       0.781000       0.471740       0.001441
       0.785000       0.472210       0.001170
       0.789000       0.474109       0.000701
       0.793000       0.475076       0.001046
       0.797000       0.475443       0.000932
       0.801500       0.474828       0.001453
       0.806500       0.476904       0.001282
       0.811500       0.476995       0.001672
       0.816500       0.475559       0.001684
       0.822000       0.475488       0.001480
       0.828000       0.472969       0.001757
       0.835000       0.467507       0.001741
       0.843000      -1.23e34        0.000000
       0.851000       0.463501       0.001970
       0.859000       0.464757       0.001879
       0.871000       0.461938       0.001863
       0.883000       0.455835       0.001874
       0.894000       0.455879       0.001855
       0.904000       0.460012       0.001863
       0.914000       0.461924       0.001817
       0.924000       0.463925       0.001870
       0.933000       0.468442       0.001792
       0.941000       0.472568       0.001623
       0.949000       0.473443       0.001256
       0.957000       0.476734       0.001653
       0.964000       0.477783       0.001230
       0.970000       0.480109       0.001203
       0.976000       0.481285       0.001736
       0.982000       0.486260       0.001132
       0.988000       0.483097       0.001713
       0.994000       0.486618       0.001579
       1.000000       0.483210       0.001327
       1.006000       0.487999       0.001524
       1.012000       0.484361       0.001584
       1.018000       0.484378       0.001791
       1.023500       0.485989       0.001477
       1.028500       0.486767       0.001600
       1.033500       0.484466       0.001849
       1.038500       0.485481       0.001284
       1.043500       0.485409       0.001579
       1.048500       0.483089       0.001338
       1.053500       0.482802       0.001257
       1.058500       0.485468       0.000905
       1.063500       0.482573       0.000981
       1.068500       0.480371       0.000934
       1.073500       0.480000       0.001250
       1.078500       0.481512       0.001382
       1.083500       0.479929       0.001751
       1.088500       0.480410       0.001380
       1.093500       0.480834       0.001234
       1.098500       0.479988       0.001344
       1.103500       0.483584       0.001241
       1.108500       0.481070       0.000942
       1.113500       0.481976       0.000955
       1.118500       0.482376       0.001173
       1.123500       0.484047       0.001146
       1.128500       0.484877       0.001066
       1.133500       0.485831       0.000972
       1.138500       0.483400       0.001108
       1.143500       0.486334       0.000836
       1.148500       0.486522       0.001248
       1.153500       0.489380       0.001467
       1.158500       0.492237       0.001015
       1.163500       0.489361       0.000853
       1.168500       0.492655       0.001196
       1.173500       0.493426       0.001309
       1.178500       0.496053       0.001795
       1.183500       0.497830       0.001579
       1.188500       0.498299       0.001855
       1.193500       0.500552       0.001109
       1.198500       0.499751       0.000897
       1.203500       0.503974       0.001163
       1.208500       0.506750       0.000967
       1.213500       0.507169       0.001126
       1.218500       0.510522       0.001335
       1.223500       0.513539       0.001015
       1.228500       0.516432       0.000773
       1.233500       0.515890       0.001286
       1.238500       0.521479       0.001078
       1.243500       0.523149       0.001147
       1.248500       0.524284       0.000970
       1.253500       0.527114       0.001268
       1.258500       0.529484       0.000954
       1.263500       0.531614       0.000901
       1.268500       0.532749       0.001223
       1.273500       0.537934       0.000740
       1.278500       0.538260       0.001441
       1.283500       0.541093       0.000959
       1.288500       0.543618       0.000989
       1.293500       0.544885       0.000953
       1.298500       0.548261       0.001073
       1.303500       0.551931       0.001162
       1.308500       0.552863       0.000900
       1.313500       0.558407       0.001472
       1.318500       0.555263       0.001258
       1.323500       0.560361       0.001085
       1.328500       0.559236       0.001016
       1.333500       0.568687       0.001382
       1.338500       0.567586       0.001428
       1.343500       0.572785       0.001176
       1.348500       0.574257       0.001163
       1.353500       0.572320       0.001002
       1.358500       0.576109       0.001273
       1.363500       0.575126       0.001728
       1.368500       0.556190       0.001395
       1.373500       0.490407       0.001627
       1.378500       0.507092       0.001573
       1.383500       0.527719       0.001664
       1.388500       0.560915       0.001259
       1.393500       0.571170       0.001678
       1.398500       0.581540       0.001501
       1.403500       0.589289       0.000871
       1.408500       0.599133       0.001600
       1.413500       0.604293       0.001216
       1.418500       0.608763       0.001323
       1.423500       0.609090       0.001639
       1.428500       0.616161       0.001431
       1.433500       0.617110       0.001638
       1.438500       0.617278       0.001251
       1.443500       0.618069       0.001371
       1.448500       0.620286       0.001438
       1.453500       0.621572       0.001105
       1.458500       0.629821       0.001378
       1.463500       0.628277       0.001447
       1.468500       0.631756       0.001270
       1.473500       0.634986       0.001517
       1.478500       0.633846       0.001694
       1.483500       0.635669       0.001175
       1.488500       0.641304       0.001437
       1.493500       0.642791       0.001552
       1.498500       0.647077       0.001720
       1.503500       0.647044       0.001934
       1.508500       0.646187       0.001480
       1.513500       0.645617       0.001200
       1.518500       0.649317       0.001496
       1.523500       0.654380       0.001946
       1.528500       0.655652       0.001565
       1.534000       0.657578       0.001219
       1.540000       0.661180       0.001315
       1.546000       0.663175       0.001712
       1.552000       0.660938       0.001424
       1.558000       0.666027       0.001229
       1.564000       0.664748       0.000845
       1.570500       0.672275       0.001052
       1.577500       0.668349       0.001383
       1.584500       0.671644       0.001097
       1.591500       0.677077       0.001062
       1.598500       0.677544       0.001020
       1.605500       0.682082       0.001259
       1.612500       0.681727       0.001640
       1.619500       0.685847       0.001043
       1.626500       0.685611       0.000899
       1.633500       0.691377       0.001471
       1.640500       0.687628       0.001765
       1.647500       0.691353       0.001783
       1.654500       0.691192       0.001446
       1.661500       0.695015       0.001406
       1.668500       0.696709       0.001019
       1.676000       0.698389       0.001426
       1.684000       0.697464       0.001444
       1.692000       0.700725       0.002036
       1.700000       0.703064       0.001999
       1.708000       0.702581       0.001969
       1.716000       0.704536       0.001748
       1.724000       0.711198       0.001991
       1.732000       0.706171       0.002037
       1.740000       0.709344       0.002009
       1.748000       0.711384       0.002064
       1.756000       0.712764       0.001922
       1.764000       0.714712       0.001851
       1.772000       0.719962       0.001841
       1.780000       0.714590       0.002031
       1.788000       0.720886       0.001909
       1.796000       0.720806       0.001669
       1.805000       0.722153       0.000848
       1.815000       0.724183       0.000980
       1.825000       0.722706       0.001513
       1.835000       0.724753       0.001393
       1.845000       0.725574       0.001563
       1.855000       0.726853       0.001885
       1.865000       0.727157       0.001570
       1.875000       0.724889       0.001632
       1.885000       0.727863       0.001698
       1.895000       0.730123       0.001269
       1.905000       0.724516       0.001877
       1.915000       0.724697       0.001948
       1.925000       0.727943       0.001792
       1.935000       0.728976       0.001563
       1.945000       0.730771       0.002006
       1.955000       0.727166       0.001472
       1.965000       0.729885       0.001863
       1.975000       0.732003       0.001932
       1.985000       0.730584       0.001887
       1.995000       0.734236       0.001673
       2.005000       0.734428       0.001945
       2.015000       0.731448       0.001513
       2.025000       0.731226       0.001652
       2.035000       0.732194       0.001384
       2.045000       0.731885       0.002005
       2.055000       0.729058       0.001957
       2.065000       0.728364       0.001987
       2.075000       0.710124       0.001888
       2.085000       0.713731       0.001486
       2.095000       0.696406       0.001891
       2.105000       0.702525       0.001999
       2.115000       0.707017       0.002009
       2.125000       0.705935       0.002014
       2.135000       0.714575       0.002012
       2.145000       0.714569       0.001916
       2.155000       0.718458       0.001578
       2.165000       0.716442       0.001903
       2.175000       0.722851       0.002023
       2.185000       0.718117       0.001980
       2.195000       0.719383       0.002076
       2.205000       0.713394       0.002065
       2.215000       0.706238       0.002042
       2.225000       0.702743       0.002065
       2.235000       0.677246       0.002042
       2.245000       0.653361       0.002043
       2.255000       0.657587       0.002054
       2.265000       0.656627       0.002063
       2.275000       0.641327       0.002166
       2.285000       0.626685       0.002399
       2.295000       0.552522       0.003847
       2.305000       0.498481       0.003411
       2.315000       0.448003       0.002126
       2.325000       0.427119       0.001913
       2.335000       0.460762       0.001870
       2.345000       0.487227       0.001936
