USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Prehnite GDS613.a <60um    W5R4Naa_ RREF
copy of spd0300 r 4820                                      
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
      -1.23e34        0.547195       0.000000
       1.280987       0.586578       0.000000
       1.281304       0.586553       0.000000
       1.281620       0.586564       0.000000
       1.281937       0.586551       0.000000
       1.282254       0.586523       0.000000
       1.282571       0.586549       0.000000
       1.282889       0.586550       0.000000
       1.283206       0.586543       0.000000
       1.283524       0.586520       0.000000
       1.283842       0.586515       0.000000
       1.284160       0.586479       0.000000
       1.284478       0.586434       0.000000
       1.284797       0.586428       0.000000
       1.285115       0.586457       0.000000
       1.285434       0.586455       0.000000
       1.285752       0.586450       0.000000
       1.286072       0.586470       0.000000
       1.286391       0.586454       0.000000
       1.286710       0.586464       0.000000
       1.287029       0.586528       0.000000
       1.287349       0.586542       0.000000
       1.287669       0.586591       0.000000
       1.287989       0.586711       0.000000
       1.288309       0.586799       0.000000
       1.288629       0.586882       0.000000
       1.288949       0.586974       0.000000
       1.289270       0.587064       0.000000
       1.289590       0.587199       0.000000
       1.289911       0.587312       0.000000
       1.290232       0.587411       0.000000
       1.290554       0.587557       0.000000
       1.290875       0.587725       0.000000
       1.291197       0.587809       0.000000
       1.291518       0.587880       0.000000
       1.291840       0.588004       0.000000
       1.292162       0.588182       0.000000
       1.292484       0.588357       0.000000
       1.292807       0.588495       0.000000
       1.293129       0.588631       0.000000
       1.293452       0.588740       0.000000
       1.293774       0.588865       0.000000
       1.294097       0.589013       0.000000
       1.294421       0.589118       0.000000
       1.294744       0.589276       0.000000
       1.295067       0.589435       0.000000
       1.295391       0.589512       0.000000
       1.295715       0.589598       0.000000
       1.296039       0.589702       0.000000
       1.296363       0.589793       0.000000
       1.296687       0.589900       0.000000
       1.297011       0.589945       0.000000
       1.297336       0.590033       0.000000
       1.297661       0.590189       0.000000
       1.297985       0.590286       0.000000
       1.298311       0.590422       0.000000
       1.298636       0.590490       0.000000
       1.298961       0.590542       0.000000
       1.299287       0.590663       0.000000
       1.299613       0.590783       0.000000
       1.299938       0.590845       0.000000
       1.300264       0.590877       0.000000
       1.300591       0.590908       0.000000
       1.300917       0.590981       0.000000
       1.301244       0.591075       0.000000
       1.301570       0.591088       0.000000
       1.301897       0.591129       0.000000
       1.302224       0.591251       0.000000
       1.302551       0.591301       0.000000
       1.302879       0.591339       0.000000
       1.303206       0.591436       0.000000
       1.303534       0.591510       0.000000
       1.303862       0.591607       0.000000
       1.304190       0.591713       0.000000
       1.304518       0.591779       0.000000
       1.304846       0.591859       0.000000
       1.305175       0.591979       0.000000
       1.305503       0.592081       0.000000
       1.305832       0.592191       0.000000
       1.306161       0.592272       0.000000
       1.306490       0.592366       0.000000
       1.306820       0.592507       0.000000
       1.307149       0.592656       0.000000
       1.307479       0.592744       0.000000
       1.307809       0.592823       0.000000
       1.308139       0.592890       0.000000
       1.308469       0.593005       0.000000
       1.308799       0.593180       0.000000
       1.309130       0.593322       0.000000
       1.309461       0.593481       0.000000
       1.309791       0.593598       0.000000
       1.310122       0.593669       0.000000
       1.310454       0.593828       0.000000
       1.310785       0.594029       0.000000
       1.311116       0.594127       0.000000
       1.311448       0.594199       0.000000
       1.311780       0.594349       0.000000
       1.312112       0.594511       0.000000
       1.312444       0.594626       0.000000
       1.312776       0.594708       0.000000
       1.313109       0.594819       0.000000
       1.313442       0.594967       0.000000
       1.313774       0.595121       0.000000
       1.314108       0.595261       0.000000
       1.314441       0.595408       0.000000
       1.314774       0.595512       0.000000
       1.315108       0.595562       0.000000
       1.315441       0.595674       0.000000
       1.315775       0.595828       0.000000
       1.316109       0.595907       0.000000
       1.316443       0.595964       0.000000
       1.316778       0.596073       0.000000
       1.317112       0.596228       0.000000
       1.317447       0.596327       0.000000
       1.317782       0.596406       0.000000
       1.318117       0.596526       0.000000
       1.318452       0.596645       0.000000
       1.318788       0.596694       0.000000
       1.319123       0.596739       0.000000
       1.319459       0.596832       0.000000
       1.319795       0.596909       0.000000
       1.320131       0.596942       0.000000
       1.320467       0.596994       0.000000
       1.320804       0.597054       0.000000
       1.321140       0.597125       0.000000
       1.321477       0.597170       0.000000
       1.321814       0.597223       0.000000
       1.322151       0.597290       0.000000
       1.322488       0.597353       0.000000
       1.322826       0.597401       0.000000
       1.323163       0.597442       0.000000
       1.323501       0.597507       0.000000
       1.323839       0.597608       0.000000
       1.324177       0.597675       0.000000
       1.324516       0.597702       0.000000
       1.324854       0.597710       0.000000
       1.325193       0.597770       0.000000
       1.325531       0.597841       0.000000
       1.325871       0.597869       0.000000
       1.326210       0.597880       0.000000
       1.326549       0.597937       0.000000
       1.326889       0.598030       0.000000
       1.327228       0.598098       0.000000
       1.327568       0.598140       0.000000
       1.327908       0.598195       0.000000
       1.328249       0.598241       0.000000
       1.328589       0.598295       0.000000
       1.328930       0.598370       0.000000
       1.329270       0.598401       0.000000
       1.329611       0.598413       0.000000
       1.329952       0.598483       0.000000
       1.330294       0.598552       0.000000
       1.330635       0.598603       0.000000
       1.330977       0.598651       0.000000
       1.331318       0.598716       0.000000
       1.331661       0.598823       0.000000
       1.332003       0.598899       0.000000
       1.332345       0.598855       0.000000
       1.332687       0.598891       0.000000
       1.333030       0.599001       0.000000
       1.333373       0.599046       0.000000
       1.333716       0.599132       0.000000
       1.334059       0.599240       0.000000
       1.334403       0.599311       0.000000
       1.334746       0.599337       0.000000
       1.335090       0.599308       0.000000
       1.335434       0.599375       0.000000
       1.335778       0.599503       0.000000
       1.336122       0.599569       0.000000
       1.336467       0.599616       0.000000
