USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Pyrophyllite PYS1A <850um    W1R1Ba AREF
copy of splib05a r 5718                                     
       0.205100      -1.23e34        0.648166
       0.213100      -1.23e34        0.185522
       0.221100      -1.23e34        0.030567
       0.229100      -1.23e34        0.011849
       0.236100      -1.23e34        0.006581
       0.242100      -1.23e34        0.003590
       0.248100       0.120426       0.002527
       0.253600       0.127905       0.002071
       0.258600       0.134498       0.001799
       0.263600       0.148228       0.001398
       0.268600       0.162823       0.001393
       0.273100       0.184052       0.001498
       0.277100       0.202493       0.001361
       0.281100       0.226107       0.001328
       0.285100       0.249222       0.001116
       0.289100       0.272986       0.001154
       0.293100       0.294512       0.001196
       0.297100       0.316155       0.001241
       0.301100       0.335311       0.001290
       0.305100       0.352006       0.001326
       0.309100       0.365119       0.001357
       0.313100       0.377868       0.001378
       0.317100       0.389881       0.001405
       0.321100       0.399065       0.001418
       0.325100       0.409875       0.001437
       0.329100       0.419959       0.001439
       0.333100       0.430297       0.001454
       0.337100       0.437496       0.001442
       0.341100       0.446012       0.001464
       0.345100       0.454402       0.001452
       0.349100       0.457067       0.001464
       0.353100       0.467659       0.000814
       0.357100       0.470852       0.000648
       0.360600       0.474204       0.000946
       0.363600       0.474298       0.001106
       0.366600       0.477625       0.001077
       0.369600       0.482508       0.001089
       0.372600       0.483152       0.000798
       0.375600       0.485686       0.001306
       0.378600       0.489026       0.000968
       0.381100       0.489730       0.001152
       0.383100       0.491971       0.001061
       0.385100       0.496501       0.000954
       0.387100       0.497353       0.001033
       0.389100       0.500625       0.001054
       0.391100       0.502696       0.001029
       0.393100       0.507472       0.001010
       0.395100       0.509209       0.000982
       0.397100       0.512585       0.000982
       0.399100       0.515647       0.000888
       0.401100       0.518276       0.000992
       0.403100       0.520657       0.000824
       0.405100       0.523887       0.000728
       0.407100       0.525469       0.000764
       0.409100       0.527132       0.000923
       0.411100       0.528423       0.001015
       0.412800       0.530749       0.000901
       0.415800       0.532907       0.000856
       0.418800       0.534172       0.000831
       0.421800       0.536286       0.000913
       0.424800       0.538239       0.000841
       0.427800       0.541804       0.000830
       0.430800       0.544302       0.000953
       0.433800       0.545972       0.000731
       0.436800       0.550993       0.000664
       0.439800       0.555319       0.000683
       0.442800       0.559137       0.000775
       0.445800       0.562952       0.000618
       0.448800       0.564502       0.000796
       0.451300       0.566262       0.001060
       0.453300       0.568950       0.001389
       0.455300       0.570606       0.001036
       0.457300       0.572799       0.001110
       0.459300       0.572720       0.001006
       0.461300       0.574660       0.001396
       0.463300       0.575938       0.000985
       0.465300       0.578165       0.000963
       0.467300       0.579219       0.000873
       0.469300       0.581318       0.000898
       0.471300       0.581800       0.000875
       0.473300       0.584654       0.000890
       0.475300       0.584485       0.000920
       0.477300       0.586230       0.000854
       0.479300       0.586258       0.001167
       0.481300       0.587810       0.001004
       0.483300       0.590256       0.000896
       0.485300       0.590174       0.000837
       0.487300       0.592584       0.000785
       0.489300       0.593180       0.001149
       0.491300       0.595905       0.000789
       0.493300       0.597153       0.000967
       0.495300       0.599543       0.000964
       0.497300       0.601235       0.000851
       0.499300       0.602179       0.000909
       0.501300       0.604370       0.000992
       0.503300       0.605850       0.000886
       0.505300       0.606537       0.001031
       0.507300       0.609635       0.000880
       0.509300       0.610709       0.000856
       0.511300       0.613469       0.000836
       0.513300       0.614046       0.000773
       0.515300       0.615806       0.000855
       0.517300       0.617313       0.000877
       0.519300       0.618054       0.000961
       0.521300       0.620163       0.000929
       0.523300       0.622874       0.000919
       0.525300       0.622646       0.001235
       0.527300       0.626039       0.000872
       0.529300       0.626963       0.000877
       0.531300       0.628750       0.000981
       0.533300       0.629153       0.000897
       0.535300       0.632023       0.001098
       0.537300       0.633941       0.001080
       0.539300       0.634904       0.000934
       0.541300       0.637703       0.000868
       0.543300       0.637918       0.000931
       0.545300       0.639405       0.000846
       0.547300       0.639512       0.000732
       0.549300       0.640933       0.001108
       0.551300       0.641390       0.000866
       0.553300       0.641361       0.001229
       0.555300       0.643261       0.000730
       0.557300       0.644618       0.001058
       0.559300       0.646422       0.000856
       0.561300       0.646131       0.000825
       0.563300       0.648504       0.000849
       0.565300       0.649775       0.000839
       0.567300       0.650010       0.001123
       0.569300       0.651778       0.000812
       0.571300       0.653131       0.000765
       0.573300       0.652368       0.000962
       0.575300       0.653523       0.001041
       0.577300       0.655155       0.001204
       0.579300       0.657076       0.001382
       0.581300       0.657898       0.001165
       0.583300       0.659897       0.001260
       0.585300       0.660313       0.001185
       0.587300       0.659485       0.001157
       0.589300       0.662773       0.001023
       0.591300       0.662783       0.001171
       0.593300       0.663344       0.001063
       0.595300       0.663270       0.001331
       0.597300       0.666385       0.000904
       0.599300       0.666064       0.000975
       0.601100       0.668149       0.001362
       0.602700       0.667905       0.001160
       0.604300       0.668874       0.000991
       0.605900       0.668530       0.000895
       0.607500       0.670365       0.000947
       0.609100       0.669833       0.001100
       0.610700       0.669414       0.000967
       0.612300       0.670693       0.000908
       0.613900       0.672172       0.000867
       0.615500       0.672257       0.000904
       0.617100       0.674381       0.000857
       0.618700       0.675614       0.000836
       0.620300       0.675792       0.000826
       0.621900       0.676730       0.000866
       0.623500       0.679316       0.000884
       0.625100       0.680256       0.001009
       0.626700       0.681352       0.001305
       0.628300       0.681044       0.001085
       0.629900       0.681205       0.000814
       0.631700       0.684275       0.000736
       0.633700       0.686464       0.001286
       0.635700       0.687525       0.000935
       0.637700       0.688642       0.000996
       0.639700       0.688861       0.001013
       0.641700       0.692091       0.000884
       0.643700       0.694291       0.001144
       0.645700       0.696813       0.001018
       0.647700       0.696571       0.001433
       0.649700       0.697542       0.001598
       0.651700       0.700469       0.001047
       0.653700       0.702238       0.001177
       0.655700       0.703047       0.000901
       0.657700       0.703306       0.000775
       0.659700       0.707065       0.000852
       0.661700       0.708489       0.000710
       0.663700       0.709070       0.000800
       0.665700       0.712002       0.000758
       0.667700       0.714190       0.000902
       0.670200       0.715068       0.000892
       0.673200       0.717670       0.000804
       0.676200       0.720185       0.000838
       0.679200       0.722347       0.001238
       0.682200       0.725416       0.001115
       0.685200       0.727127       0.001066
       0.688200       0.730965       0.001008
       0.691200       0.732446       0.001219
       0.694200       0.734180       0.001097
       0.697200       0.737223       0.001076
       0.700200       0.739700       0.001397
       0.702000       0.741896       0.001040
       0.704000       0.741950       0.001484
       0.706000       0.745041       0.001088
       0.708000       0.746443       0.001073
       0.710000       0.748414       0.001016
       0.712000       0.751878       0.000850
       0.714000       0.749496       0.000789
       0.716000       0.751773       0.000638
       0.718000       0.753246       0.000792
       0.720000       0.754148       0.000713
       0.722000       0.755460       0.000914
       0.724000       0.757869       0.000812
       0.726000       0.759892       0.001110
       0.728000       0.760615       0.000792
       0.730000       0.759498       0.000771
       0.732000       0.758935       0.000773
       0.734000       0.763753       0.000893
       0.736000       0.764552       0.001094
       0.738000       0.767320       0.001055
       0.740000       0.767539       0.000795
       0.742000       0.770385       0.000847
       0.744000       0.771772       0.000890
       0.746000       0.770803       0.001303
       0.748000       0.774136       0.000903
       0.750500       0.775026       0.001609
       0.753500       0.777666       0.000854
       0.756500       0.778377       0.000788
       0.759500       0.780352       0.000999
       0.762500       0.784173       0.000833
       0.765500       0.786065       0.000967
       0.768500       0.787008       0.000969
       0.771500       0.790521       0.001110
       0.774500       0.790746       0.000856
       0.777500       0.792042       0.000899
       0.781000       0.795824       0.000682
       0.785000       0.796695       0.001037
       0.789000       0.800327       0.000763
       0.793000       0.801034       0.000916
       0.797000       0.803543       0.000893
       0.801500       0.806474       0.000982
       0.806500       0.809414       0.001058
       0.811500       0.812195       0.000964
       0.816500       0.814349       0.000881
       0.822000       0.816173       0.000966
       0.828000       0.816021       0.001050
       0.835000       0.819694       0.001253
       0.843000       0.821595       0.001287
       0.851000       0.824063       0.001800
       0.859000       0.827852       0.001768
       0.871000       0.831954       0.001779
       0.883000       0.835923       0.001710
       0.894000       0.838240       0.001802
       0.904000       0.836901       0.001221
       0.914000       0.843436       0.001580
       0.924000       0.843278       0.001302
       0.933000       0.846928       0.001584
       0.941000       0.842212       0.000974
       0.949000       0.806779       0.001091
       0.957000       0.826117       0.001037
       0.964000       0.854201       0.001392
       0.970000       0.857665       0.001011
       0.976000       0.860135       0.001152
       0.982000       0.861056       0.001108
       0.988000       0.862773       0.001282
       0.994000       0.862706       0.000896
       1.000000       0.868596       0.001183
       1.006000       0.868644       0.001001
       1.012000       0.869244       0.001211
       1.018000       0.871758       0.000799
       1.023500       0.875086       0.001134
       1.028500       0.874452       0.001439
       1.033500       0.876337       0.001230
       1.038500       0.878687       0.000934
       1.043500       0.882004       0.001191
       1.048500       0.880271       0.001511
       1.053500       0.885506       0.001148
       1.058500       0.885412       0.000970
       1.063500       0.883721       0.001012
       1.068500       0.884527       0.000913
       1.073500       0.881977       0.000970
       1.078500       0.886104       0.001117
       1.083500       0.886193       0.001015
       1.088500       0.890490       0.001326
       1.093500       0.889531       0.001204
       1.098500       0.889602       0.001397
       1.103500       0.890314       0.001295
       1.108500       0.890432       0.000897
       1.113500       0.892164       0.001039
       1.118500       0.893848       0.001024
       1.123500       0.896476       0.001049
       1.128500       0.894668       0.001022
       1.133500       0.894785       0.000725
       1.138500       0.897950       0.001125
       1.143500       0.895452       0.001093
       1.148500       0.896322       0.001057
       1.153500       0.895358       0.001063
       1.158500       0.896958       0.000701
       1.163500       0.896079       0.000939
       1.168500       0.894952       0.001153
       1.173500       0.892248       0.001211
       1.178500       0.893115       0.001335
       1.183500       0.893091       0.001040
       1.188500       0.894590       0.001399
       1.193500       0.893526       0.001078
       1.198500       0.891713       0.000937
       1.203500       0.890801       0.000759
       1.208500       0.888248       0.000913
       1.213500       0.888229       0.000981
       1.218500       0.891485       0.001124
       1.223500       0.886406       0.000933
       1.228500       0.871714       0.001074
       1.233500       0.855565       0.001115
       1.238500       0.878788       0.000988
       1.243500       0.889925       0.000986
       1.248500       0.890619       0.000864
       1.253500       0.892297       0.001270
       1.258500       0.890624       0.001030
       1.263500       0.891338       0.001092
       1.268500       0.887811       0.001003
       1.273500       0.887661       0.001117
       1.278500       0.887504       0.000931
       1.283500       0.884011       0.000969
       1.288500       0.882917       0.000692
       1.293500       0.881109       0.000940
       1.298500       0.876765       0.001045
       1.303500       0.874825       0.001154
       1.308500       0.871235       0.000769
       1.313500       0.863236       0.000914
       1.318500       0.856197       0.001033
       1.323500       0.848272       0.001287
       1.328500       0.832927       0.001074
       1.333500       0.822084       0.000820
       1.338500       0.833014       0.001014
       1.343500       0.846772       0.001051
       1.348500       0.843717       0.000946
       1.353500       0.845963       0.000723
       1.358500       0.825706       0.001253
       1.363500       0.808860       0.001613
       1.368500       0.828001       0.001152
       1.373500       0.823685       0.001438
       1.378500       0.802986       0.001315
       1.383500       0.744645       0.001551
       1.388500       0.554252       0.001283
       1.393500       0.361205       0.001639
       1.398500       0.557675       0.001450
       1.403500       0.707151       0.001074
       1.408500       0.759785       0.001363
       1.413500       0.817225       0.001005
       1.418500       0.846762       0.001284
       1.423500       0.842038       0.001161
       1.428500       0.838666       0.001401
       1.433500       0.847945       0.001170
       1.438500       0.862479       0.001161
       1.443500       0.872504       0.001270
       1.448500       0.878669       0.001128
       1.453500       0.875129       0.001127
       1.458500       0.873319       0.001057
       1.463500       0.878751       0.001015
       1.468500       0.886596       0.001173
       1.473500       0.892583       0.001093
       1.478500       0.893466       0.001442
       1.483500       0.896945       0.001033
       1.488500       0.897094       0.001399
       1.493500       0.902029       0.001212
       1.498500       0.906600       0.001307
       1.503500       0.902452       0.001483
       1.508500       0.904133       0.001412
       1.513500       0.903990       0.001315
       1.518500       0.906733       0.001613
       1.523500       0.909385       0.001544
       1.528500       0.911052       0.001105
       1.534000       0.910125       0.001244
       1.540000       0.911801       0.001004
       1.546000       0.910877       0.001248
       1.552000       0.909282       0.001291
       1.558000       0.910267       0.001255
       1.564000       0.914557       0.001035
       1.570500       0.916111       0.001182
       1.577500       0.918004       0.001135
       1.584500       0.917929       0.000835
       1.591500       0.918731       0.000838
       1.598500       0.916145       0.001375
       1.605500       0.916881       0.001014
       1.612500       0.916826       0.001033
       1.619500       0.916700       0.001353
       1.626500       0.917393       0.001107
       1.633500       0.919870       0.001106
       1.640500       0.919730       0.001060
       1.647500       0.917880       0.000971
       1.654500       0.919413       0.001050
       1.661500       0.920183       0.001438
       1.668500       0.916490       0.001064
       1.676000       0.915407       0.001149
       1.684000       0.907506       0.001387
       1.692000       0.911744       0.001775
       1.700000       0.913393       0.001849
       1.708000       0.915734       0.001797
       1.716000       0.912312       0.001766
       1.724000       0.907121       0.001566
       1.732000       0.907068       0.001799
       1.740000       0.911525       0.001835
       1.748000       0.913274       0.001840
       1.756000       0.909923       0.001814
       1.764000       0.916013       0.001441
       1.772000       0.915238       0.001691
       1.780000       0.918670       0.001433
       1.788000       0.917897       0.001521
       1.796000       0.913235       0.000956
       1.805000       0.905835       0.000744
       1.815000       0.909461       0.001057
       1.825000       0.908708       0.001345
       1.835000       0.910404       0.001354
       1.845000       0.907034       0.001198
       1.855000       0.904673       0.001077
       1.865000       0.899127       0.000981
       1.875000       0.892014       0.001167
       1.885000       0.881467       0.001322
       1.895000       0.872640       0.001435
       1.905000       0.864629       0.001222
       1.915000       0.860341       0.001162
       1.925000       0.856586       0.001184
       1.935000       0.852301       0.001287
       1.945000       0.845017       0.001076
       1.955000       0.839595       0.001017
       1.965000       0.844024       0.001288
       1.975000       0.848548       0.001773
       1.985000       0.844025       0.001583
       1.995000       0.842739       0.001171
       2.005000       0.831723       0.001389
       2.015000       0.833080       0.001833
       2.025000       0.832868       0.001813
       2.035000       0.830366       0.001786
       2.045000       0.820599       0.001776
       2.055000       0.772159       0.001692
       2.065000       0.713031       0.001770
       2.075000       0.660484       0.001752
       2.085000       0.601685       0.001752
       2.095000       0.675534       0.001732
       2.105000       0.754326       0.001777
       2.115000       0.739950       0.001797
       2.125000       0.685048       0.001761
       2.135000       0.635658       0.001764
       2.145000       0.573424       0.001706
       2.155000       0.437959       0.001287
       2.165000       0.295362       0.001425
       2.175000       0.386094       0.001163
       2.185000       0.541069       0.001776
       2.195000       0.601336       0.001460
       2.205000       0.614073       0.001696
       2.215000       0.598298       0.001780
       2.225000       0.610890       0.001796
       2.235000       0.631740       0.001788
       2.245000       0.621982       0.001805
       2.255000       0.595814       0.001799
       2.265000       0.568165       0.001794
       2.275000       0.535698       0.001785
       2.285000       0.490784       0.002234
       2.295000       0.458580       0.003188
       2.305000       0.431662       0.002688
       2.315000       0.387678       0.001974
       2.325000       0.406818       0.001765
       2.335000       0.449755       0.001774
