USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Pyrrhotite HS269.3B          W1R1Bb AREF
copy of splib05a r 5808                                     
       0.205100      -1.23e34        0.376859
       0.213100      -1.23e34        0.078593
       0.221100      -1.23e34        0.013499
       0.229100      -1.23e34        0.004952
       0.236100      -1.23e34        0.002977
       0.242100       0.014196       0.001485
       0.248100       0.017093       0.001124
       0.253600       0.018739       0.001072
       0.258600       0.018509       0.000892
       0.263600       0.019758       0.000768
       0.268600       0.021001       0.000735
       0.273100       0.021252       0.000738
       0.277100       0.021976       0.000732
       0.281100       0.023108       0.000612
       0.285100       0.023716       0.000608
       0.289100       0.024481       0.000598
       0.293100       0.025605       0.000620
       0.297100       0.025039       0.000642
       0.301100       0.025785       0.000666
       0.305100       0.026402       0.000685
       0.309100       0.027339       0.000701
       0.313100       0.027424       0.000713
       0.317100       0.027852       0.000723
       0.321100       0.028374       0.000732
       0.325100       0.027825       0.000738
       0.329100       0.027797       0.000741
       0.333100       0.028260       0.000746
       0.337100       0.028302       0.000749
       0.341100       0.026667       0.000752
       0.345100       0.027653       0.000756
       0.349100       0.028082       0.000758
       0.353100       0.028251       0.000747
       0.357100       0.028235       0.000434
       0.360600       0.028467       0.000622
       0.363600       0.028824       0.000742
       0.366600       0.029116       0.000745
       0.369600       0.028588       0.000730
       0.372600       0.029112       0.000693
       0.375600       0.028941       0.000747
       0.378600       0.029248       0.000738
       0.381100       0.029230       0.000531
       0.383100       0.029216       0.000753
       0.385100       0.029012       0.000754
       0.387100       0.030177       0.000753
       0.389100       0.028824       0.000743
       0.391100       0.029048       0.000720
       0.393100       0.029555       0.000749
       0.395100       0.029008       0.000735
       0.397100       0.029645       0.000753
       0.399100       0.029577       0.000651
       0.401100       0.029452       0.000652
       0.403100       0.029376       0.000718
       0.405100       0.030018       0.000521
       0.407100       0.029791       0.000574
       0.409100       0.029881       0.000636
       0.411100       0.030043       0.000723
       0.412800       0.029791       0.000728
       0.415800       0.030035       0.000683
       0.418800       0.030259       0.000739
       0.421800       0.030709       0.000634
       0.424800       0.030435       0.000645
       0.427800       0.031199       0.000738
       0.430800       0.031420       0.000631
       0.433800       0.031863       0.000733
       0.436800       0.032155       0.000596
       0.439800       0.032583       0.000601
       0.442800       0.032912       0.000582
       0.445800       0.033418       0.000550
       0.448800       0.033965       0.000756
       0.451300       0.034276       0.000757
       0.453300       0.034507       0.000762
       0.455300       0.034321       0.000781
       0.457300       0.034199       0.000716
       0.459300       0.033503       0.000772
       0.461300       0.033924       0.000775
       0.463300       0.034816       0.000772
       0.465300       0.034106       0.000690
       0.467300       0.034731       0.000780
       0.469300       0.034501       0.000645
       0.471300       0.034575       0.000776
       0.473300       0.035021       0.000605
       0.475300       0.034431       0.000740
       0.477300       0.034459       0.000779
       0.479300       0.034829       0.000624
       0.481300       0.035195       0.000625
       0.483300       0.035161       0.000682
       0.485300       0.035273       0.000615
       0.487300       0.035449       0.000637
       0.489300       0.036037       0.000705
       0.491300       0.036335       0.000701
       0.493300       0.036867       0.000784
       0.495300       0.037188       0.000791
       0.497300       0.037464       0.000625
       0.499300       0.038397       0.000602
       0.501300       0.038616       0.000644
       0.503300       0.039382       0.000635
       0.505300       0.039764       0.000669
       0.507300       0.040542       0.000672
       0.509300       0.040538       0.000634
       0.511300       0.041404       0.000700
       0.513300       0.042435       0.000784
       0.515300       0.043434       0.000777
       0.517300       0.043858       0.000790
       0.519300       0.044357       0.000739
       0.521300       0.045422       0.000751
       0.523300       0.046104       0.000671
       0.525300       0.046946       0.000730
       0.527300       0.048446       0.000770
       0.529300       0.048796       0.000654
       0.531300       0.050200       0.000792
       0.533300       0.051250       0.000799
       0.535300       0.052249       0.000806
       0.537300       0.052728       0.000777
       0.539300       0.053855       0.000781
       0.541300       0.055182       0.000782
       0.543300       0.056121       0.000690
       0.545300       0.056619       0.000779
       0.547300       0.057908       0.000759
       0.549300       0.058414       0.000642
       0.551300       0.059932       0.000558
       0.553300       0.060104       0.000592
       0.555300       0.061195       0.000573
       0.557300       0.062111       0.000594
       0.559300       0.062806       0.000784
       0.561300       0.063549       0.000615
       0.563300       0.064233       0.000621
       0.565300       0.064739       0.000689
       0.567300       0.065257       0.000588
       0.569300       0.066269       0.000630
       0.571300       0.066637       0.000788
       0.573300       0.067221       0.000738
       0.575300       0.067371       0.000613
       0.577300       0.067697       0.000764
       0.579300       0.068762       0.000805
       0.581300       0.068360       0.000802
       0.583300       0.068447       0.000802
       0.585300       0.069508       0.000815
       0.587300       0.070075       0.000790
       0.589300       0.069608       0.000776
       0.591300       0.070561       0.000788
       0.593300       0.070107       0.000778
       0.595300       0.070347       0.000700
       0.597300       0.070701       0.000639
       0.599300       0.070912       0.000798
       0.601100       0.071414       0.000786
       0.602700       0.070709       0.000790
       0.604300       0.071181       0.000693
       0.605900       0.071099       0.000660
       0.607500       0.071198       0.000797
       0.609100       0.071724       0.000683
       0.610700       0.071186       0.000666
       0.612300       0.071278       0.000586
       0.613900       0.071872       0.000595
       0.615500       0.071298       0.000590
       0.617100       0.071565       0.000584
       0.618700       0.072207       0.000629
       0.620300       0.071375       0.000650
       0.621900       0.071683       0.000623
       0.623500       0.072012       0.000649
       0.625100       0.071788       0.000637
       0.626700       0.071718       0.000640
       0.628300       0.072271       0.000707
       0.629900       0.071676       0.000576
       0.631700       0.072214       0.000661
       0.633700       0.072152       0.000602
       0.635700       0.072011       0.000586
       0.637700       0.072291       0.000770
       0.639700       0.072193       0.000717
       0.641700       0.072432       0.000736
       0.643700       0.072477       0.000626
       0.645700       0.072319       0.000734
       0.647700       0.072374       0.000802
       0.649700       0.072784       0.000789
       0.651700       0.072968       0.000760
       0.653700       0.072805       0.000790
       0.655700       0.072814       0.000498
       0.657700       0.073129       0.000618
       0.659700       0.073216       0.000534
       0.661700       0.073246       0.000554
       0.663700       0.073450       0.000571
       0.665700       0.073236       0.000653
       0.667700       0.073568       0.000708
       0.670200       0.073275       0.000551
       0.673200       0.073836       0.000637
       0.676200       0.073508       0.000690
       0.679200       0.074025       0.000793
       0.682200       0.074761       0.000707
       0.685200       0.074073       0.000787
       0.688200       0.074894       0.000791
       0.691200       0.074479       0.000805
       0.694200       0.075266       0.000790
       0.697200       0.074885       0.000810
       0.700200       0.074981       0.000817
       0.702000       0.075429       0.000728
       0.704000       0.075774       0.000782
       0.706000       0.076107       0.000795
       0.708000       0.075624       0.000791
       0.710000       0.075753       0.000803
       0.712000       0.075406       0.000797
       0.714000       0.076124       0.000584
       0.716000       0.076307       0.000557
       0.718000       0.076488       0.000622
       0.720000       0.076463       0.000623
       0.722000       0.076709       0.000705
       0.724000       0.076740       0.000552
       0.726000       0.077106       0.000773
       0.728000       0.077398       0.000668
       0.730000       0.077227       0.000504
       0.732000       0.077049       0.000612
       0.734000       0.077273       0.000670
       0.736000       0.077210       0.000634
       0.738000       0.077522       0.000573
       0.740000       0.077705       0.000709
       0.742000       0.077703       0.000638
       0.744000       0.077933       0.000712
       0.746000       0.078133       0.000808
       0.748000       0.078202       0.000605
       0.750500       0.077766       0.000820
       0.753500       0.077922       0.000613
       0.756500       0.078273       0.000491
       0.759500       0.078378       0.000549
       0.762500       0.078366       0.000523
       0.765500       0.078190       0.000521
       0.768500       0.078438       0.000587
       0.771500       0.078383       0.000624
       0.774500       0.078987       0.000773
       0.777500       0.078604       0.000529
       0.781000       0.078825       0.000520
       0.785000       0.078525       0.000576
       0.789000       0.078492       0.000540
       0.793000       0.078566       0.000812
       0.797000       0.078678       0.000662
       0.801500       0.078419       0.000491
       0.806500       0.078560       0.000767
       0.811500       0.078810       0.000639
       0.816500       0.078044       0.000692
       0.822000       0.078025       0.000817
       0.828000       0.078119       0.000669
       0.835000       0.078030       0.000637
       0.843000       0.077062       0.000849
       0.851000       0.079981       0.000986
       0.859000       0.078871       0.000898
       0.871000       0.080171       0.000899
       0.883000       0.078280       0.000898
       0.894000       0.079691       0.000901
       0.904000       0.078855       0.000887
       0.914000       0.077541       0.000886
       0.924000       0.077757       0.000893
       0.933000       0.077980       0.000894
       0.941000       0.078077       0.000880
       0.949000       0.077396       0.000891
       0.957000       0.077047       0.000874
       0.964000       0.077238       0.000900
       0.970000       0.076207       0.000896
       0.976000       0.078966       0.000897
       0.982000       0.078002       0.000891
       0.988000       0.076497       0.000852
       0.994000       0.079002       0.000725
       1.000000       0.077789       0.000882
       1.006000       0.079023       0.000890
       1.012000       0.076828       0.000546
       1.018000       0.077664       0.000880
       1.023500       0.078529       0.000893
       1.028500       0.078405       0.000895
       1.033500       0.079848       0.000902
       1.038500       0.078749       0.000892
       1.043500       0.079615       0.000872
       1.048500       0.079407       0.000881
       1.053500       0.079121       0.000827
       1.058500       0.080641       0.000636
       1.063500       0.080267       0.000744
       1.068500       0.081055       0.000901
       1.073500       0.080090       0.000866
       1.078500       0.080059       0.000683
       1.083500       0.080623       0.000891
       1.088500       0.082461       0.000848
       1.093500       0.081116       0.000853
       1.098500       0.081291       0.000717
       1.103500       0.081713       0.000763
       1.108500       0.082663       0.000742
       1.113500       0.083115       0.000731
       1.118500       0.083234       0.000824
       1.123500       0.083416       0.000742
       1.128500       0.084844       0.000744
       1.133500       0.083495       0.000698
       1.138500       0.085545       0.000813
       1.143500       0.085067       0.000816
       1.148500       0.085094       0.000683
       1.153500       0.085881       0.000820
       1.158500       0.085426       0.000626
       1.163500       0.086265       0.000754
       1.168500       0.086007       0.000709
       1.173500       0.086087       0.000753
       1.178500       0.088534       0.000890
       1.183500       0.087598       0.000910
       1.188500       0.087997       0.000789
       1.193500       0.088470       0.000887
       1.198500       0.088382       0.000864
       1.203500       0.088248       0.000744
       1.208500       0.088979       0.000732
       1.213500       0.089114       0.000785
       1.218500       0.089285       0.000713
       1.223500       0.089523       0.000584
       1.228500       0.089489       0.000689
       1.233500       0.090478       0.000748
       1.238500       0.089798       0.000760
       1.243500       0.091307       0.000793
       1.248500       0.090076       0.000720
       1.253500       0.091051       0.000659
       1.258500       0.091000       0.000714
       1.263500       0.090916       0.000767
       1.268500       0.091972       0.000824
       1.273500       0.091281       0.000764
       1.278500       0.091312       0.000617
       1.283500       0.091063       0.000683
       1.288500       0.092363       0.000532
       1.293500       0.092514       0.000648
       1.298500       0.092646       0.000553
       1.303500       0.092769       0.000692
       1.308500       0.092924       0.000778
       1.313500       0.092624       0.000732
       1.318500       0.092709       0.000723
       1.323500       0.092554       0.000557
       1.328500       0.092844       0.000792
       1.333500       0.093818       0.000539
       1.338500       0.093776       0.000649
       1.343500       0.092172       0.000867
       1.348500       0.093577       0.000758
       1.353500       0.092230       0.000716
       1.358500       0.093945       0.000825
       1.363500       0.094988       0.000885
       1.368500       0.093691       0.000904
       1.373500       0.093981       0.000911
       1.378500       0.094795       0.000915
       1.383500       0.094686       0.000902
       1.388500       0.095385       0.000894
       1.393500       0.093252       0.000770
       1.398500       0.094754       0.000907
       1.403500       0.094136       0.000910
       1.408500       0.094728       0.000899
       1.413500       0.095523       0.000888
       1.418500       0.095614       0.000756
       1.423500       0.094813       0.000897
       1.428500       0.094747       0.000910
       1.433500       0.096295       0.000906
       1.438500       0.095543       0.000809
       1.443500       0.095442       0.000904
       1.448500       0.095598       0.000914
       1.453500       0.096376       0.000882
       1.458500       0.096159       0.000909
       1.463500       0.096128       0.000882
       1.468500       0.096226       0.000899
       1.473500       0.095370       0.000818
       1.478500       0.097217       0.000920
       1.483500       0.095420       0.000916
       1.488500       0.097098       0.000805
       1.493500       0.096315       0.000921
       1.498500       0.096901       0.000918
       1.503500       0.097419       0.000904
       1.508500       0.099136       0.000879
       1.513500       0.096382       0.000920
       1.518500       0.096419       0.000917
       1.523500       0.097251       0.000893
       1.528500       0.097666       0.000901
       1.534000       0.097073       0.000804
       1.540000       0.098324       0.000907
       1.546000       0.098026       0.000739
       1.552000       0.096665       0.000886
       1.558000       0.099862       0.000763
       1.564000       0.098947       0.000907
       1.570500       0.098954       0.000647
       1.577500       0.098403       0.000780
       1.584500       0.099523       0.000865
       1.591500       0.098655       0.000805
       1.598500       0.099381       0.000685
       1.605500       0.098949       0.000669
       1.612500       0.099171       0.000578
       1.619500       0.098273       0.000884
       1.626500       0.099649       0.000705
       1.633500       0.098497       0.000906
       1.640500       0.099024       0.000840
       1.647500       0.098431       0.000917
       1.654500       0.100211       0.000902
       1.661500       0.099369       0.000913
       1.668500       0.099641       0.000875
       1.676000       0.099395       0.000894
       1.684000       0.099309       0.000912
       1.692000       0.100527       0.000908
       1.700000       0.100660       0.000918
       1.708000       0.100050       0.000911
       1.716000       0.100321       0.000904
       1.724000       0.100630       0.000786
       1.732000       0.101804       0.000907
       1.740000       0.099492       0.000919
       1.748000       0.100114       0.000920
       1.756000       0.101065       0.000912
       1.764000       0.100792       0.000912
       1.772000       0.099148       0.000913
       1.780000       0.101252       0.000923
       1.788000       0.101879       0.000906
       1.796000       0.101733       0.000863
       1.805000       0.100143       0.000713
       1.815000       0.100473       0.000755
       1.825000       0.099986       0.000872
       1.835000       0.100440       0.000824
       1.845000       0.100836       0.000805
       1.855000       0.101692       0.000907
       1.865000       0.101906       0.000900
       1.875000       0.101696       0.000911
       1.885000       0.099958       0.000836
       1.895000       0.099477       0.000722
       1.905000       0.100574       0.000729
       1.915000       0.098876       0.000901
       1.925000       0.100025       0.000915
       1.935000       0.099097       0.000871
       1.945000       0.099234       0.000839
       1.955000       0.098065       0.000913
       1.965000       0.099897       0.000909
       1.975000       0.099951       0.000879
       1.985000       0.099606       0.000905
       1.995000       0.101159       0.000833
       2.005000       0.099461       0.000913
       2.015000       0.101178       0.000914
       2.025000       0.101254       0.000910
       2.035000       0.101274       0.000903
       2.045000       0.100774       0.000908
       2.055000       0.100589       0.000904
       2.065000       0.100838       0.000907
       2.075000       0.101833       0.000906
       2.085000       0.102641       0.000902
       2.095000       0.101835       0.000901
       2.105000       0.103007       0.000896
       2.115000       0.102217       0.000901
       2.125000       0.102905       0.000899
       2.135000       0.102626       0.000902
       2.145000       0.102677       0.000890
       2.155000       0.103259       0.000896
       2.165000       0.104127       0.000906
       2.175000       0.103289       0.000908
       2.185000       0.103019       0.000912
       2.195000       0.104139       0.000914
       2.205000       0.102498       0.000911
       2.215000       0.102340       0.000914
       2.225000       0.102077       0.000916
       2.235000       0.101076       0.000917
       2.245000       0.102146       0.000915
       2.255000       0.102186       0.000916
       2.265000       0.102698       0.000915
       2.275000       0.103164       0.000962
       2.285000       0.102065       0.001159
       2.295000       0.101905       0.001879
       2.305000       0.101605       0.001345
       2.315000       0.101472       0.001076
       2.325000       0.101684       0.000916
       2.335000       0.102343       0.000911
       2.345000       0.100824       0.000907
