USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Richterite HS336.3B Amphibol W1R1Bc AREF
copy of splib05a r 5939                                     
       0.205100      -1.23e34        0.071315
       0.213100      -1.23e34        0.012023
       0.221100      -1.23e34        0.003459
       0.229100       0.042187       0.001413
       0.236100       0.041800       0.001192
       0.242100       0.038528       0.001129
       0.248100       0.039156       0.001079
       0.253600       0.040114       0.001055
       0.258600       0.039424       0.001044
       0.263600       0.041072       0.001050
       0.268600       0.040838       0.001050
       0.273100       0.042205       0.001085
       0.277100       0.042058       0.001096
       0.281100       0.043358       0.001121
       0.285100       0.045673       0.001179
       0.289100       0.046744       0.001228
       0.293100       0.048352       0.001225
       0.297100       0.051572       0.001212
       0.301100       0.052209       0.001355
       0.305100       0.055108       0.001385
       0.309100       0.056875       0.001423
       0.313100       0.059287       0.001291
       0.317100       0.060245       0.001485
       0.321100       0.063671       0.001357
       0.325100       0.067088       0.001486
       0.329100       0.067033       0.001501
       0.333100       0.069983       0.001284
       0.337100       0.071768       0.001522
       0.341100       0.073424       0.001103
       0.345100       0.074073       0.001486
       0.349100       0.074968       0.001446
       0.353100       0.077599       0.001148
       0.357100       0.076592       0.001027
       0.360600       0.079778       0.000966
       0.363600       0.079672       0.001491
       0.366600       0.080649       0.001486
       0.369600       0.082454       0.001510
       0.372600       0.083683       0.001520
       0.375600       0.084455       0.001199
       0.378600       0.084972       0.001066
       0.381100       0.085289       0.001078
       0.383100       0.086621       0.001507
       0.385100       0.086025       0.001514
       0.387100       0.087819       0.001485
       0.389100       0.088689       0.001504
       0.391100       0.089548       0.000776
       0.393100       0.088293       0.001313
       0.395100       0.088103       0.001370
       0.397100       0.089886       0.000976
       0.399100       0.092452       0.001474
       0.401100       0.092472       0.001524
       0.403100       0.092361       0.001511
       0.405100       0.093557       0.001195
       0.407100       0.096399       0.001468
       0.409100       0.096044       0.001535
       0.411100       0.096082       0.001097
       0.412800       0.098807       0.001533
       0.415800       0.099315       0.000845
       0.418800       0.096700       0.001032
       0.421800       0.099704       0.001516
       0.424800       0.099829       0.001500
       0.427800       0.102432       0.001125
       0.430800       0.099633       0.001143
       0.433800       0.100113       0.001464
       0.436800       0.101564       0.001504
       0.439800       0.101116       0.001550
       0.442800       0.101737       0.001312
       0.445800       0.103127       0.000769
       0.448800       0.103128       0.001504
       0.451300       0.106818       0.001454
       0.453300       0.106579       0.001557
       0.455300       0.107387       0.001551
       0.457300       0.105271       0.001546
       0.459300       0.107934       0.001340
       0.461300       0.108951       0.001534
       0.463300       0.111516       0.001533
       0.465300       0.112036       0.001418
       0.467300       0.113798       0.001531
       0.469300       0.114358       0.001507
       0.471300       0.115428       0.001534
       0.473300       0.116417       0.001392
       0.475300       0.116829       0.001445
       0.477300       0.117918       0.001553
       0.479300       0.121681       0.001532
       0.481300       0.122429       0.001571
       0.483300       0.123217       0.001522
       0.485300       0.126198       0.001517
       0.487300       0.123825       0.001549
       0.489300       0.129457       0.001271
       0.491300       0.127966       0.001578
       0.493300       0.129586       0.000861
       0.495300       0.131569       0.001360
       0.497300       0.133443       0.001515
       0.499300       0.134426       0.001544
       0.501300       0.134077       0.001268
       0.503300       0.134114       0.001072
       0.505300       0.139352       0.001555
       0.507300       0.138634       0.001574
       0.509300       0.140457       0.000844
       0.511300       0.141928       0.001574
       0.513300       0.142315       0.001098
       0.515300       0.144043       0.001121
       0.517300       0.144251       0.001466
       0.519300       0.145040       0.001554
       0.521300       0.146813       0.001099
       0.523300       0.147522       0.001555
       0.525300       0.150174       0.001569
       0.527300       0.151176       0.001221
       0.529300       0.152764       0.001567
       0.531300       0.152607       0.001529
       0.533300       0.153878       0.001587
       0.535300       0.153410       0.001550
       0.537300       0.156360       0.001586
       0.539300       0.155052       0.001566
       0.541300       0.156448       0.001570
       0.543300       0.156995       0.001552
       0.545300       0.163011       0.001035
       0.547300       0.160351       0.001216
       0.549300       0.161577       0.001502
       0.551300       0.165239       0.000924
       0.553300       0.163988       0.001519
       0.555300       0.167940       0.001521
       0.557300       0.168153       0.001550
       0.559300       0.169714       0.001544
       0.561300       0.171366       0.001099
       0.563300       0.173014       0.001578
       0.565300       0.173739       0.001154
       0.567300       0.176306       0.001578
       0.569300       0.177299       0.001538
       0.571300       0.179153       0.001138
       0.573300       0.179266       0.001542
       0.575300       0.178734       0.000759
       0.577300       0.180919       0.000881
       0.579300       0.180169       0.000896
       0.581300       0.183561       0.000884
       0.583300       0.183282       0.001178
       0.585300       0.186437       0.001316
       0.587300       0.186110       0.001462
       0.589300       0.189624       0.001590
       0.591300       0.187940       0.001578
       0.593300       0.189542       0.001544
       0.595300       0.192880       0.001233
       0.597300       0.191332       0.001530
       0.599300       0.193385       0.001582
       0.601100       0.194513       0.001527
       0.602700       0.195236       0.001593
       0.604300       0.196974       0.001590
       0.605900       0.197572       0.001597
       0.607500       0.197450       0.001245
       0.609100       0.197526       0.001583
       0.610700       0.199519       0.001311
       0.612300       0.198308       0.001551
       0.613900       0.201294       0.001437
       0.615500       0.201502       0.001539
       0.617100       0.201470       0.001361
       0.618700       0.203144       0.001527
       0.620300       0.202551       0.000751
       0.621900       0.205902       0.001531
       0.623500       0.203051       0.000764
       0.625100       0.204470       0.001541
       0.626700       0.205065       0.001378
       0.628300       0.204869       0.001586
       0.629900       0.208802       0.001366
       0.631700       0.207949       0.000912
       0.633700       0.206617       0.000728
       0.635700       0.211431       0.001005
       0.637700       0.210023       0.001168
       0.639700       0.211014       0.001520
       0.641700       0.212438       0.001533
       0.643700       0.212928       0.001423
       0.645700       0.212840       0.001214
       0.647700       0.214054       0.001582
       0.649700       0.215786       0.000631
       0.651700       0.215892       0.000633
       0.653700       0.216852       0.000811
       0.655700       0.218022       0.001117
       0.657700       0.217386       0.001054
       0.659700       0.218656       0.000648
       0.661700       0.219734       0.001103
       0.663700       0.220098       0.001523
       0.665700       0.222032       0.000849
       0.667700       0.222715       0.001566
       0.670200       0.222020       0.000817
       0.673200       0.224900       0.001559
       0.676200       0.226667       0.001544
       0.679200       0.228546       0.001552
       0.682200       0.228905       0.001266
       0.685200       0.228704       0.001759
       0.688200       0.228571       0.000964
       0.691200       0.231121       0.001071
       0.694200       0.233137       0.000633
       0.697200       0.233197       0.001571
       0.700200       0.233664       0.000848
       0.702000       0.234479       0.001596
       0.704000       0.235390       0.001584
       0.706000       0.237085       0.001606
       0.708000       0.236314       0.000851
       0.710000       0.237032       0.000807
       0.712000       0.236810       0.000924
       0.714000       0.237024       0.001026
       0.716000       0.237803       0.001206
       0.718000       0.240483       0.001369
       0.720000       0.239659       0.001231
       0.722000       0.240345       0.000960
       0.724000       0.239056       0.000812
       0.726000       0.242655       0.001491
       0.728000       0.241410       0.000930
       0.730000       0.241844       0.001576
       0.732000       0.242615       0.001231
       0.734000       0.244929       0.001585
       0.736000       0.243676       0.001285
       0.738000       0.244539       0.001564
       0.740000       0.243542       0.001543
       0.742000       0.245535       0.001584
       0.744000       0.246776       0.001599
       0.746000       0.247597       0.000979
       0.748000       0.245696       0.000783
       0.750500       0.246578       0.001202
       0.753500       0.246315       0.001042
       0.756500       0.249318       0.000879
       0.759500       0.247150       0.001023
       0.762500       0.249508       0.001332
       0.765500       0.250229       0.000795
       0.768500       0.250089       0.001389
       0.771500       0.252318       0.001251
       0.774500       0.252640       0.001575
       0.777500       0.252771       0.000643
       0.781000       0.252192       0.000826
       0.785000       0.252927       0.001602
       0.789000       0.253726       0.000945
       0.793000       0.255562       0.001012
       0.797000       0.254124       0.000931
       0.801500       0.255225       0.000918
       0.806500       0.258401       0.001115
       0.811500       0.257285       0.001446
       0.816500       0.257872       0.001053
       0.822000       0.258133       0.000685
       0.828000       0.260865       0.001026
       0.835000       0.260868       0.001643
       0.843000      -1.23e34        0.000000
       0.851000       0.263895       0.002000
       0.859000       0.266551       0.001754
       0.871000       0.267879       0.001743
       0.883000       0.262745       0.001760
       0.894000       0.263143       0.001737
       0.904000       0.265383       0.001726
       0.914000       0.265809       0.001763
       0.924000       0.267614       0.001766
       0.933000       0.265204       0.001274
       0.941000       0.263334       0.001618
       0.949000       0.262103       0.001770
       0.957000       0.261979       0.001714
       0.964000       0.265850       0.001777
       0.970000       0.264123       0.001772
       0.976000       0.263076       0.001700
       0.982000       0.263701       0.001583
       0.988000       0.261945       0.001717
       0.994000       0.261069       0.001751
       1.000000       0.263276       0.001762
       1.006000       0.263615       0.001620
       1.012000       0.261751       0.001564
       1.018000       0.260960       0.001633
       1.023500       0.260632       0.001718
       1.028500       0.260738       0.001770
       1.033500       0.261021       0.001693
       1.038500       0.260013       0.001752
       1.043500       0.259889       0.001735
       1.048500       0.262821       0.001791
       1.053500       0.260806       0.001514
       1.058500       0.263592       0.001546
       1.063500       0.261744       0.001637
       1.068500       0.265447       0.001749
       1.073500       0.260743       0.001578
       1.078500       0.262337       0.001540
       1.083500       0.262286       0.001584
       1.088500       0.259891       0.001357
       1.093500       0.263484       0.001297
       1.098500       0.261545       0.001509
       1.103500       0.261500       0.001251
       1.108500       0.262770       0.001785
       1.113500       0.263209       0.000996
       1.118500       0.263230       0.001367
       1.123500       0.263528       0.001598
       1.128500       0.264671       0.001720
       1.133500       0.263625       0.001178
       1.138500       0.262598       0.001731
       1.143500       0.263897       0.001658
       1.148500       0.261280       0.001378
       1.153500       0.263077       0.001560
       1.158500       0.264071       0.001429
       1.163500       0.265830       0.001197
       1.168500       0.265588       0.001164
       1.173500       0.263303       0.000880
       1.178500       0.264474       0.001117
       1.183500       0.265341       0.001001
       1.188500       0.263599       0.001753
       1.193500       0.263106       0.001443
       1.198500       0.264217       0.001137
       1.203500       0.266019       0.001155
       1.208500       0.264112       0.001582
       1.213500       0.264835       0.000930
       1.218500       0.264187       0.001302
       1.223500       0.264169       0.001277
       1.228500       0.265224       0.001328
       1.233500       0.262465       0.001462
       1.238500       0.265974       0.001642
       1.243500       0.265248       0.000923
       1.248500       0.264657       0.001210
       1.253500       0.265665       0.001068
       1.258500       0.265825       0.001162
       1.263500       0.266939       0.000915
       1.268500       0.264255       0.001139
       1.273500       0.265638       0.001505
       1.278500       0.265068       0.001140
       1.283500       0.265008       0.001448
       1.288500       0.266282       0.000960
       1.293500       0.264197       0.001456
       1.298500       0.265212       0.001315
       1.303500       0.266930       0.001084
       1.308500       0.266658       0.001246
       1.313500       0.265053       0.001234
       1.318500       0.264541       0.001377
       1.323500       0.264333       0.000901
       1.328500       0.266427       0.001191
       1.333500       0.263772       0.001481
       1.338500       0.266433       0.001169
       1.343500       0.265118       0.001638
       1.348500       0.265849       0.001430
       1.353500       0.265338       0.001742
       1.358500       0.262089       0.001130
       1.363500       0.264044       0.001811
       1.368500       0.258027       0.001716
       1.373500       0.251777       0.001279
       1.378500       0.243797       0.001813
       1.383500       0.254054       0.001778
       1.388500       0.248077       0.001724
       1.393500       0.245301       0.001408
       1.398500       0.263442       0.001817
       1.403500       0.261540       0.001265
       1.408500       0.262851       0.001816
       1.413500       0.263613       0.001441
       1.418500       0.262800       0.001511
       1.423500       0.265665       0.001233
       1.428500       0.264152       0.001175
       1.433500       0.264239       0.001790
       1.438500       0.264429       0.001821
       1.443500       0.263829       0.001788
       1.448500       0.264206       0.001667
       1.453500       0.265372       0.001487
       1.458500       0.262249       0.001289
       1.463500       0.263747       0.001323
       1.468500       0.264734       0.001250
       1.473500       0.264666       0.001788
       1.478500       0.265285       0.001749
       1.483500       0.263904       0.001758
       1.488500       0.264521       0.001793
       1.493500       0.264413       0.001725
       1.498500       0.263993       0.001803
       1.503500       0.266405       0.001739
       1.508500       0.259578       0.001801
       1.513500       0.263869       0.001783
       1.518500       0.266300       0.001833
       1.523500       0.266793       0.001800
       1.528500       0.262914       0.001504
       1.534000       0.264725       0.001672
       1.540000       0.267140       0.001099
       1.546000       0.265816       0.001794
       1.552000       0.264842       0.000927
       1.558000       0.265206       0.001249
       1.564000       0.264954       0.000828
       1.570500       0.265670       0.001281
       1.577500       0.263425       0.001569
       1.584500       0.263885       0.000985
       1.591500       0.265148       0.000898
       1.598500       0.264703       0.001246
       1.605500       0.263961       0.000964
       1.612500       0.262960       0.001165
       1.619500       0.264451       0.001340
       1.626500       0.262500       0.001265
       1.633500       0.263170       0.001051
       1.640500       0.264231       0.001168
       1.647500       0.263229       0.001397
       1.654500       0.262531       0.001163
       1.661500       0.265038       0.001665
       1.668500       0.263088       0.000771
       1.676000       0.263014       0.001526
       1.684000       0.258060       0.001030
       1.692000       0.262704       0.001817
       1.700000       0.258935       0.001817
       1.708000       0.261546       0.001857
       1.716000       0.261557       0.001334
       1.724000       0.260727       0.001813
       1.732000       0.261399       0.001787
       1.740000       0.260003       0.001835
       1.748000       0.262341       0.001852
       1.756000       0.265188       0.001838
       1.764000       0.260117       0.001371
       1.772000       0.264766       0.001614
       1.780000       0.258607       0.001841
       1.788000       0.263176       0.001589
       1.796000       0.263326       0.001793
       1.805000       0.262275       0.001305
       1.815000       0.262700       0.001114
       1.825000       0.260614       0.001707
       1.835000       0.261085       0.001260
       1.845000       0.259958       0.001785
       1.855000       0.263770       0.001620
       1.865000       0.261815       0.001379
       1.875000       0.259232       0.001426
       1.885000       0.261224       0.001473
       1.895000       0.259515       0.001136
       1.905000       0.257947       0.000899
       1.915000       0.257836       0.001789
       1.925000       0.257797       0.001510
       1.935000       0.255450       0.001786
       1.945000       0.259253       0.001730
       1.955000       0.256227       0.001828
       1.965000       0.259192       0.001632
       1.975000       0.258759       0.001799
       1.985000       0.254686       0.001629
       1.995000       0.255995       0.001755
       2.005000       0.254445       0.001788
       2.015000       0.257628       0.001756
       2.025000       0.258534       0.001036
       2.035000       0.257282       0.001708
       2.045000       0.256446       0.001822
       2.055000       0.258558       0.001774
       2.065000       0.257183       0.001834
       2.075000       0.256589       0.001819
       2.085000       0.254253       0.001820
       2.095000       0.261718       0.001832
       2.105000       0.257052       0.001795
       2.115000       0.257394       0.001833
       2.125000       0.255927       0.001831
       2.135000       0.255340       0.001794
       2.145000       0.258128       0.001474
       2.155000       0.257764       0.001800
       2.165000       0.259296       0.001465
       2.175000       0.252578       0.001776
       2.185000       0.256145       0.001790
       2.195000       0.255582       0.001836
       2.205000       0.251186       0.001838
       2.215000       0.256782       0.001852
       2.225000       0.252599       0.001866
       2.235000       0.252174       0.001859
       2.245000       0.251986       0.001869
       2.255000       0.250645       0.001866
       2.265000       0.244843       0.001889
       2.275000       0.242110       0.001896
       2.285000       0.242378       0.002176
       2.295000       0.228743       0.003631
       2.305000       0.203688       0.002994
       2.315000       0.203726       0.002108
       2.325000       0.228205       0.001829
       2.335000       0.232763       0.001830
       2.345000       0.232537       0.001746
