USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Samarium_Oxide GDS36         W1R1Ba AREF
copy of splib05a r 6037                                     
       0.205100      -1.23e34        0.007346
       0.213100       0.024648       0.001898
       0.221100       0.034927       0.001438
       0.229100       0.043834       0.001323
       0.236100       0.055072       0.001032
       0.242100       0.071599       0.000558
       0.248100       0.099265       0.000674
       0.253600       0.177571       0.000839
       0.258600       0.322648       0.000499
       0.263600       0.518391       0.000458
       0.268600       0.659623       0.000785
       0.273100       0.739391       0.000980
       0.277100       0.771632       0.000904
       0.281100       0.776676       0.000718
       0.285100       0.797338       0.000993
       0.289100       0.807625       0.000691
       0.293100       0.786602       0.000777
       0.297100       0.794249       0.000668
       0.301100       0.806453       0.000685
       0.305100       0.780869       0.000986
       0.309100       0.752685       0.000629
       0.313100       0.802738       0.000659
       0.317100       0.722548       0.000763
       0.321100       0.679392       0.000745
       0.325100       0.783880       0.000784
       0.329100       0.821776       0.000738
       0.333100       0.772295       0.000749
       0.337100       0.768335       0.000968
       0.341100       0.790219       0.000731
       0.345100       0.717503       0.000640
       0.349100       0.660626       0.000984
       0.353100       0.767651       0.000753
       0.357100       0.768610       0.001307
       0.360600       0.701993       0.000843
       0.363600       0.591635       0.000689
       0.366600       0.550020       0.000589
       0.369600       0.615985       0.000542
       0.372600       0.692592       0.000607
       0.375600       0.672694       0.000520
       0.378600       0.608048       0.000671
       0.381100       0.551144       0.000633
       0.383100       0.643014       0.000766
       0.385100       0.744090       0.000681
       0.387100       0.792590       0.000560
       0.389100       0.789259       0.000718
       0.391100       0.761761       0.000934
       0.393100       0.740318       0.000838
       0.395100       0.732925       0.001350
       0.397100       0.734715       0.000796
       0.399100       0.701743       0.001275
       0.401100       0.626134       0.000920
       0.403100       0.540912       0.000657
       0.405100       0.468174       0.000514
       0.407100       0.397190       0.000522
       0.409100       0.325038       0.000616
       0.411100       0.350910       0.000727
       0.412800       0.498611       0.000599
       0.415800       0.649108       0.000952
       0.418800       0.673054       0.000638
       0.421800       0.590083       0.000614
       0.424800       0.635336       0.000568
       0.427800       0.681759       0.000566
       0.430800       0.782664       0.000597
       0.433800       0.819621       0.000524
       0.436800       0.806209       0.000569
       0.439800       0.780092       0.000561
       0.442800       0.762388       0.000563
       0.445800       0.775455       0.000557
       0.448800       0.803145       0.000674
       0.451300       0.814427       0.001261
       0.453300       0.817800       0.000951
       0.455300       0.830428       0.000760
       0.457300       0.836399       0.000863
       0.459300       0.825547       0.000679
       0.461300       0.785606       0.000794
       0.463300       0.728880       0.000707
       0.465300       0.658168       0.000688
       0.467300       0.648958       0.000632
       0.469300       0.641356       0.000824
       0.471300       0.648131       0.000789
       0.473300       0.669012       0.000655
       0.475300       0.678014       0.000645
       0.477300       0.669900       0.000652
       0.479300       0.656179       0.001057
       0.481300       0.641070       0.000770
       0.483300       0.673873       0.000636
       0.485300       0.696914       0.000777
       0.487300       0.711557       0.000601
       0.489300       0.718404       0.001019
       0.491300       0.722162       0.000770
       0.493300       0.733818       0.000734
       0.495300       0.767825       0.000681
       0.497300       0.804614       0.000674
       0.499300       0.830526       0.000726
       0.501300       0.833090       0.000703
       0.503300       0.835160       0.001053
       0.505300       0.822879       0.000688
       0.507300       0.846658       0.000732
       0.509300       0.860980       0.000679
       0.511300       0.885607       0.000711
       0.513300       0.905491       0.000799
       0.515300       0.914386       0.000746
       0.517300       0.917121       0.000800
       0.519300       0.920458       0.000751
       0.521300       0.917031       0.000751
       0.523300       0.914211       0.000863
       0.525300       0.910022       0.000794
       0.527300       0.901749       0.001099
       0.529300       0.890563       0.000746
       0.531300       0.865785       0.000772
       0.533300       0.856612       0.000720
       0.535300       0.875952       0.000875
       0.537300       0.878553       0.001140
       0.539300       0.897146       0.001010
       0.541300       0.913752       0.000705
       0.543300       0.910914       0.001125
       0.545300       0.916447       0.000745
       0.547300       0.913721       0.000737
       0.549300       0.912285       0.000686
       0.551300       0.907594       0.001002
       0.553300       0.903301       0.000638
       0.555300       0.892936       0.000911
       0.557300       0.886696       0.000826
       0.559300       0.879146       0.000750
       0.561300       0.864725       0.000694
       0.563300       0.875617       0.001064
       0.565300       0.868687       0.000842
       0.567300       0.870067       0.000811
       0.569300       0.877523       0.000849
       0.571300       0.895688       0.000853
       0.573300       0.905251       0.000828
       0.575300       0.910161       0.001044
       0.577300       0.919645       0.001453
       0.579300       0.925161       0.001259
       0.581300       0.927850       0.000783
       0.583300       0.928507       0.001092
       0.585300       0.929899       0.001129
       0.587300       0.929906       0.000855
       0.589300       0.932654       0.000975
       0.591300       0.930611       0.001424
       0.593300       0.930666       0.000932
       0.595300       0.931356       0.000750
       0.597300       0.927930       0.001242
       0.599300       0.930753       0.000872
       0.601100       0.932103       0.000862
       0.602700       0.930063       0.000827
       0.604300       0.929423       0.001080
       0.605900       0.927339       0.000800
       0.607500       0.928812       0.000762
       0.609100       0.931542       0.000821
       0.610700       0.932929       0.000735
       0.612300       0.932976       0.000909
       0.613900       0.934361       0.000857
       0.615500       0.933672       0.000840
       0.617100       0.932288       0.000834
       0.618700       0.934362       0.000745
       0.620300       0.934361       0.000728
       0.621900       0.933669       0.000795
       0.623500       0.933678       0.000734
       0.625100       0.932287       0.000772
       0.626700       0.933680       0.000807
       0.628300       0.935710       0.000932
       0.629900       0.933668       0.000720
       0.631700       0.933627       0.000624
       0.633700       0.934327       0.000752
       0.635700       0.933620       0.000761
       0.637700       0.935623       0.000656
       0.639700       0.936319       0.000739
       0.641700       0.936327       0.000682
       0.643700       0.937048       0.000837
       0.645700       0.937705       0.000829
       0.647700       0.937667       0.000805
       0.649700       0.938360       0.000955
       0.651700       0.935576       0.001348
       0.653700       0.936929       0.000873
       0.655700       0.936925       0.000931
       0.657700       0.936231       0.000832
       0.659700       0.938277       0.001028
       0.661700       0.937545       0.000965
       0.663700       0.936811       0.000867
       0.665700       0.937545       0.001243
       0.667700       0.936150       0.000839
       0.670200       0.936723       0.001086
       0.673200       0.936020       0.000663
       0.676200       0.937332       0.000743
       0.679200       0.937430       0.000725
       0.682200       0.940102       0.000989
       0.685200       0.936598       0.000849
       0.688200       0.937924       0.000930
       0.691200       0.936477       0.000905
       0.694200       0.937099       0.000838
       0.697200       0.937800       0.001023
       0.700200       0.937724       0.001306
       0.702000       0.936864       0.000828
       0.704000       0.938240       0.000729
       0.706000       0.937525       0.000830
       0.708000       0.936027       0.001209
       0.710000       0.936696       0.001011
       0.712000       0.937360       0.000831
       0.714000       0.938698       0.000839
       0.716000       0.940078       0.000929
       0.718000       0.937859       0.001359
       0.720000       0.939291       0.000903
       0.722000       0.938538       0.000702
       0.724000       0.939886       0.000739
       0.726000       0.939131       0.000778
       0.728000       0.938381       0.000641
       0.730000       0.939087       0.000603
       0.732000       0.938336       0.000687
       0.734000       0.939645       0.000691
       0.736000       0.937462       0.000650
       0.738000       0.937462       0.000809
       0.740000       0.938811       0.000798
       0.742000       0.938731       0.000775
       0.744000       0.937936       0.000803
       0.746000       0.937932       0.000858
       0.748000       0.937845       0.001443
       0.750500       0.939210       0.000734
       0.753500       0.937688       0.001104
       0.756500       0.938361       0.000769
       0.759500       0.937554       0.001117
       0.762500       0.938923       0.000577
       0.765500       0.937440       0.000707
       0.768500       0.939452       0.000788
       0.771500       0.938724       0.000779
       0.774500       0.937903       0.000621
       0.777500       0.937057       0.001010
       0.781000       0.934045       0.000883
       0.785000       0.936846       0.000857
       0.789000       0.936024       0.001529
       0.793000       0.936585       0.001164
       0.797000       0.936454       0.001027
       0.801500       0.934852       0.000832
       0.806500       0.939083       0.000728
       0.811500       0.939705       0.000608
       0.816500       0.937301       0.001017
       0.822000       0.940002       0.000908
       0.828000       0.938920       0.000679
       0.835000       0.939260       0.000971
       0.843000       0.939050       0.001152
       0.851000       0.941163       0.001781
       0.859000       0.935614       0.001608
       0.871000       0.931345       0.001632
       0.883000       0.926333       0.001098
       0.894000       0.923714       0.001494
       0.904000       0.911704       0.001170
       0.914000       0.893191       0.001230
       0.924000       0.864090       0.001270
       0.933000       0.840603       0.001404
       0.941000       0.792577       0.001150
       0.949000       0.725163       0.000857
       0.957000       0.701879       0.001234
       0.964000       0.742145       0.001308
       0.970000       0.786283       0.001053
       0.976000       0.843985       0.000639
       0.982000       0.877724       0.001009
       0.988000       0.889653       0.000861
       0.994000       0.894420       0.000848
       1.000000       0.891850       0.000847
       1.006000       0.887608       0.000765
       1.012000       0.882638       0.000872
       1.018000       0.876061       0.001065
       1.023500       0.872062       0.001357
       1.028500       0.862097       0.000960
       1.033500       0.850598       0.000971
       1.038500       0.832495       0.000929
       1.043500       0.816014       0.000973
       1.048500       0.795566       0.000959
       1.053500       0.765413       0.001020
       1.058500       0.736176       0.001080
       1.063500       0.696303       0.000896
       1.068500       0.638990       0.000733
       1.073500       0.574380       0.001031
       1.078500       0.538706       0.000893
       1.083500       0.499798       0.000954
       1.088500       0.430691       0.000873
       1.093500       0.402733       0.000841
       1.098500       0.436985       0.000648
       1.103500       0.473001       0.000865
       1.108500       0.527735       0.000868
       1.113500       0.570458       0.000912
       1.118500       0.637135       0.000750
       1.123500       0.710274       0.001037
       1.128500       0.765542       0.000760
       1.133500       0.799529       0.000857
       1.138500       0.822382       0.001015
       1.143500       0.831986       0.000846
       1.148500       0.833785       0.000894
       1.153500       0.838395       0.000902
       1.158500       0.839132       0.000822
       1.163500       0.834628       0.001002
       1.168500       0.822406       0.000856
       1.173500       0.810320       0.000863
       1.178500       0.793952       0.000955
       1.183500       0.776493       0.001186
       1.188500       0.760710       0.001126
       1.193500       0.739879       0.000720
       1.198500       0.714002       0.001049
       1.203500       0.684763       0.000849
       1.208500       0.646548       0.000853
       1.213500       0.604522       0.001207
       1.218500       0.577480       0.001081
       1.223500       0.534876       0.000819
       1.228500       0.459867       0.000804
       1.233500       0.418908       0.000817
       1.238500       0.415311       0.000785
       1.243500       0.388881       0.000762
       1.248500       0.348295       0.000815
       1.253500       0.318747       0.000640
       1.258500       0.363434       0.000725
       1.263500       0.404084       0.000842
       1.268500       0.394657       0.000897
       1.273500       0.420299       0.000717
       1.278500       0.476814       0.000748
       1.283500       0.508654       0.000752
       1.288500       0.577822       0.000616
       1.293500       0.637413       0.000863
       1.298500       0.670578       0.000872
       1.303500       0.702408       0.000763
       1.308500       0.726807       0.000739
       1.313500       0.737299       0.000712
       1.318500       0.739426       0.000899
       1.323500       0.736507       0.000688
       1.328500       0.728244       0.000776
       1.333500       0.714249       0.000743
       1.338500       0.698441       0.000862
       1.343500       0.678971       0.000700
       1.348500       0.650798       0.000964
       1.353500       0.611927       0.000965
       1.358500       0.583327       0.001114
       1.363500       0.570998       0.001042
       1.368500       0.524925       0.001470
       1.373500       0.512361       0.000939
       1.378500       0.484062       0.001140
       1.383500       0.454625       0.001194
       1.388500       0.442771       0.001015
       1.393500       0.401943       0.001340
       1.398500       0.359755       0.000967
       1.403500       0.338467       0.000762
       1.408500       0.361832       0.000801
       1.413500       0.395689       0.000687
       1.418500       0.413747       0.000652
       1.423500       0.417225       0.001174
       1.428500       0.422767       0.001066
       1.433500       0.445720       0.000893
       1.438500       0.467666       0.000985
       1.443500       0.484739       0.000902
       1.448500       0.496625       0.001054
       1.453500       0.519370       0.000919
       1.458500       0.538999       0.000866
       1.463500       0.539338       0.001095
       1.468500       0.531317       0.001019
       1.473500       0.515504       0.000917
       1.478500       0.513819       0.001240
       1.483500       0.513476       0.001066
       1.488500       0.511427       0.000924
       1.493500       0.508449       0.000893
       1.498500       0.498853       0.000921
       1.503500       0.482424       0.000767
       1.508500       0.456953       0.001468
       1.513500       0.435740       0.000934
       1.518500       0.433369       0.001122
       1.523500       0.438133       0.001054
       1.528500       0.436079       0.000844
       1.534000       0.414065       0.000670
       1.540000       0.412719       0.000809
       1.546000       0.430271       0.001139
       1.552000       0.441403       0.000848
       1.558000       0.451966       0.000960
       1.564000       0.463613       0.000715
       1.570500       0.472605       0.000917
       1.577500       0.502153       0.000492
       1.584500       0.538886       0.000733
       1.591500       0.523701       0.000697
       1.598500       0.485690       0.000672
       1.605500       0.486751       0.000804
       1.612500       0.523832       0.000778
       1.619500       0.538551       0.000663
       1.626500       0.551473       0.000749
       1.633500       0.602260       0.000750
       1.640500       0.631962       0.000960
       1.647500       0.650887       0.000860
       1.654500       0.707983       0.001081
       1.661500       0.742384       0.001140
       1.668500       0.769477       0.001083
       1.676000       0.789784       0.000816
       1.684000       0.811595       0.001027
       1.692000       0.831579       0.001274
       1.700000       0.841209       0.001752
       1.708000       0.852577       0.001500
       1.716000       0.853128       0.001377
       1.724000       0.857301       0.001533
       1.732000       0.858179       0.001525
       1.740000       0.859997       0.001202
       1.748000       0.857478       0.001631
       1.756000       0.855794       0.001329
       1.764000       0.852363       0.001154
       1.772000       0.849816       0.001205
       1.780000       0.849954       0.000945
       1.788000       0.844312       0.000929
       1.796000       0.833419       0.001161
       1.805000       0.826445       0.000943
       1.815000       0.817272       0.000764
       1.825000       0.809887       0.000938
       1.835000       0.806848       0.001061
       1.845000       0.797324       0.001058
       1.855000       0.789827       0.000895
       1.865000       0.783624       0.001132
       1.875000       0.772496       0.001346
       1.885000       0.759036       0.000795
       1.895000       0.751495       0.000965
       1.905000       0.739336       0.001346
       1.915000       0.723764       0.000898
       1.925000       0.711175       0.001247
       1.935000       0.695554       0.001430
       1.945000       0.674315       0.001456
       1.955000       0.670698       0.001359
       1.965000       0.678690       0.001226
       1.975000       0.678214       0.001581
       1.985000       0.683306       0.001134
       1.995000       0.685594       0.001400
       2.005000       0.696680       0.001347
       2.015000       0.702249       0.001587
       2.025000       0.707526       0.001031
       2.035000       0.717766       0.001689
       2.045000       0.730828       0.001532
       2.055000       0.741781       0.001525
       2.065000       0.745862       0.001517
       2.075000       0.749908       0.001435
       2.085000       0.755001       0.001698
       2.095000       0.759785       0.001703
       2.105000       0.765615       0.001500
       2.115000       0.764630       0.001498
       2.125000       0.770255       0.001277
       2.135000       0.785688       0.001583
       2.145000       0.784835       0.001723
       2.155000       0.784260       0.001619
       2.165000       0.785820       0.001014
       2.175000       0.780455       0.001559
       2.185000       0.783483       0.001723
       2.195000       0.779917       0.001408
       2.205000       0.778911       0.001766
       2.215000       0.779146       0.001753
       2.225000       0.774095       0.001745
       2.235000       0.773359       0.001756
       2.245000       0.764604       0.001775
       2.255000       0.757148       0.001771
       2.265000       0.745175       0.001764
       2.275000       0.726579       0.001774
       2.285000       0.713125       0.002135
       2.295000       0.702620       0.003288
       2.305000       0.688806       0.002817
       2.315000       0.677958       0.002181
       2.325000       0.666067       0.001762
       2.335000       0.658414       0.001748
       2.345000       0.659801       0.001480
