USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Scolecite GDS7 Zeolite       W1R1Bb AREF
copy of splib05a r 6125                                     
       0.205100      -1.23e34        0.042462
       0.213100      -1.23e34        0.007394
       0.221100      -1.23e34        0.002413
       0.229100       0.417387       0.001357
       0.236100       0.431432       0.001248
       0.242100       0.441125       0.001181
       0.248100       0.451344       0.001124
       0.253600       0.461296       0.001116
       0.258600       0.477799       0.001108
       0.263600       0.503058       0.001122
       0.268600       0.534366       0.001142
       0.273100       0.563838       0.001175
       0.277100       0.599253       0.001181
       0.281100       0.623998       0.001244
       0.285100       0.653195       0.001276
       0.289100       0.672809       0.001336
       0.293100       0.690965       0.001404
       0.297100       0.703130       0.001450
       0.301100       0.716305       0.001530
       0.305100       0.726293       0.001571
       0.309100       0.738811       0.001615
       0.313100       0.745049       0.001498
       0.317100       0.756159       0.001688
       0.321100       0.759104       0.001699
       0.325100       0.763752       0.001693
       0.329100       0.769363       0.001498
       0.333100       0.773615       0.001706
       0.337100       0.778622       0.001639
       0.341100       0.781175       0.001580
       0.345100       0.784010       0.001740
       0.349100       0.798949       0.001691
       0.353100       0.795121       0.001596
       0.357100       0.794243       0.001722
       0.360600       0.801199       0.001702
       0.363600       0.801056       0.001662
       0.366600       0.802789       0.001224
       0.369600       0.804765       0.001461
       0.372600       0.809994       0.001736
       0.375600       0.810919       0.001701
       0.378600       0.813722       0.001658
       0.381100       0.816066       0.001732
       0.383100       0.819034       0.001746
       0.385100       0.819885       0.001743
       0.387100       0.819855       0.001731
       0.389100       0.820808       0.001744
       0.391100       0.826059       0.001741
       0.393100       0.825618       0.001162
       0.395100       0.820975       0.001506
       0.397100       0.825476       0.001696
       0.399100       0.826613       0.001729
       0.401100       0.832557       0.001706
       0.403100       0.829228       0.001639
       0.405100       0.831835       0.001741
       0.407100       0.831553       0.001531
       0.409100       0.834049       0.000853
       0.411100       0.835527       0.001763
       0.412800       0.835681       0.001696
       0.415800       0.835996       0.001735
       0.418800       0.838576       0.001234
       0.421800       0.840288       0.001048
       0.424800       0.840263       0.001309
       0.427800       0.839481       0.001046
       0.430800       0.841417       0.001715
       0.433800       0.841679       0.000935
       0.436800       0.846236       0.001347
       0.439800       0.845521       0.001566
       0.442800       0.847979       0.001507
       0.445800       0.848416       0.001414
       0.448800       0.846404       0.001201
       0.451300       0.851275       0.001820
       0.453300       0.849227       0.001813
       0.455300       0.852779       0.001784
       0.457300       0.855129       0.001739
       0.459300       0.853154       0.001725
       0.461300       0.852645       0.001404
       0.463300       0.856420       0.001571
       0.465300       0.855157       0.001787
       0.467300       0.861090       0.001800
       0.469300       0.860103       0.001800
       0.471300       0.863975       0.001730
       0.473300       0.856326       0.001803
       0.475300       0.862974       0.001816
       0.477300       0.864697       0.001721
       0.479300       0.862198       0.001752
       0.481300       0.862242       0.001822
       0.483300       0.863208       0.001580
       0.485300       0.864813       0.001616
       0.487300       0.862889       0.001271
       0.489300       0.865064       0.001746
       0.491300       0.864800       0.001489
       0.493300       0.866627       0.001129
       0.495300       0.862436       0.001529
       0.497300       0.867645       0.001719
       0.499300       0.869139       0.001826
       0.501300       0.869399       0.001768
       0.503300       0.868980       0.001441
       0.505300       0.869938       0.001233
       0.507300       0.873182       0.001801
       0.509300       0.870731       0.001832
       0.511300       0.872065       0.001830
       0.513300       0.872465       0.001519
       0.515300       0.872482       0.001835
       0.517300       0.872830       0.001829
       0.519300       0.867539       0.001783
       0.521300       0.872925       0.001795
       0.523300       0.878324       0.001779
       0.525300       0.879071       0.001820
       0.527300       0.872385       0.001805
       0.529300       0.880803       0.001766
       0.531300       0.879450       0.001776
       0.533300       0.877373       0.001848
       0.535300       0.880656       0.001866
       0.537300       0.882151       0.001559
       0.539300       0.884831       0.001843
       0.541300       0.880990       0.001806
       0.543300       0.879904       0.001832
       0.545300       0.883596       0.001713
       0.547300       0.884197       0.001319
       0.549300       0.884981       0.001349
       0.551300       0.892243       0.001730
       0.553300       0.888977       0.001803
       0.555300       0.888450       0.001829
       0.557300       0.890302       0.001464
       0.559300       0.890650       0.001159
       0.561300       0.893465       0.001791
       0.563300       0.894289       0.001586
       0.565300       0.894173       0.001741
       0.567300       0.894803       0.001242
       0.569300       0.896164       0.001733
       0.571300       0.894736       0.001840
       0.573300       0.897528       0.001624
       0.575300       0.891437       0.001815
       0.577300       0.902121       0.001872
       0.579300       0.897151       0.001841
       0.581300       0.903431       0.001877
       0.583300       0.903834       0.001880
       0.585300       0.900846       0.001872
       0.587300       0.906605       0.001862
       0.589300       0.901496       0.001853
       0.591300       0.908329       0.001728
       0.593300       0.904729       0.001789
       0.595300       0.906032       0.001185
       0.597300       0.904434       0.001753
       0.599300       0.900521       0.001568
       0.601100       0.903650       0.001851
       0.602700       0.905854       0.001864
       0.604300       0.909474       0.001791
       0.605900       0.909523       0.001858
       0.607500       0.902553       0.001835
       0.609100       0.905904       0.001537
       0.610700       0.909632       0.001343
       0.612300       0.906613       0.001628
       0.613900       0.909771       0.001754
       0.615500       0.909417       0.001870
       0.617100       0.904833       0.001375
       0.618700       0.903613       0.001752
       0.620300       0.905687       0.001532
       0.621900       0.906461       0.001693
       0.623500       0.910267       0.001395
       0.625100       0.906963       0.001828
       0.626700       0.913690       0.001808
       0.628300       0.906772       0.001444
       0.629900       0.906964       0.001623
       0.631700       0.905682       0.001515
       0.633700       0.910409       0.001043
       0.635700       0.910010       0.001720
       0.637700       0.907758       0.001816
       0.639700       0.909374       0.001429
       0.641700       0.913770       0.001742
       0.643700       0.910526       0.001872
       0.645700       0.910682       0.001605
       0.647700       0.910794       0.001809
       0.649700       0.913517       0.001751
       0.651700       0.911647       0.001629
       0.653700       0.911958       0.001791
       0.655700       0.909252       0.001822
       0.657700       0.908440       0.001392
       0.659700       0.912081       0.001796
       0.661700       0.915143       0.001833
       0.663700       0.914371       0.001821
       0.665700       0.913093       0.001839
       0.667700       0.912797       0.001588
       0.670200       0.910913       0.001779
       0.673200       0.915686       0.001721
       0.676200       0.916291       0.001844
       0.679200       0.915097       0.001843
       0.682200       0.919251       0.001809
       0.685200       0.914575       0.001868
       0.688200       0.916528       0.001848
       0.691200       0.914320       0.001284
       0.694200       0.920248       0.001335
       0.697200       0.915692       0.001298
       0.700200       0.916720       0.001857
       0.702000       0.917771       0.001554
       0.704000       0.916398       0.001805
       0.706000       0.916958       0.001885
       0.708000       0.918778       0.001904
       0.710000       0.919500       0.001884
       0.712000       0.921498       0.001877
       0.714000       0.919414       0.001829
       0.716000       0.916038       0.001856
       0.718000       0.919387       0.001841
       0.720000       0.917051       0.001675
       0.722000       0.918889       0.001243
       0.724000       0.916820       0.001753
       0.726000       0.917746       0.001688
       0.728000       0.915771       0.001292
       0.730000       0.912236       0.001245
       0.732000       0.918599       0.001282
       0.734000       0.919468       0.001771
       0.736000       0.918162       0.001587
       0.738000       0.918095       0.001650
       0.740000       0.919194       0.001817
       0.742000       0.920275       0.001911
       0.744000       0.915438       0.001416
       0.746000       0.916952       0.001506
       0.748000       0.915375       0.001910
       0.750500       0.917356       0.001799
       0.753500       0.915178       0.001918
       0.756500       0.919338       0.001844
       0.759500       0.918597       0.001644
       0.762500       0.918163       0.001013
       0.765500       0.916103       0.001589
       0.768500       0.916408       0.001600
       0.771500       0.918276       0.001347
       0.774500       0.916648       0.001827
       0.777500       0.913529       0.001934
       0.781000       0.917592       0.001675
       0.785000       0.921968       0.001857
       0.789000       0.922851       0.001835
       0.793000       0.916764       0.001775
       0.797000       0.921126       0.001942
       0.801500       0.923335       0.001859
       0.806500       0.919432       0.001584
       0.811500       0.917765       0.001044
       0.816500       0.919364       0.001435
       0.822000       0.921978       0.001770
       0.828000       0.917580       0.001726
       0.835000       0.919938       0.001903
       0.843000       0.915779       0.001621
       0.851000       0.918209       0.002399
       0.859000       0.920454       0.002058
       0.871000       0.919674       0.001983
       0.883000       0.912169       0.002046
       0.894000       0.910977       0.002033
       0.904000       0.911638       0.001750
       0.914000       0.915516       0.001555
       0.924000       0.910599       0.001883
       0.933000       0.903494       0.002029
       0.941000       0.898795       0.001683
       0.949000       0.892384       0.001605
       0.957000       0.882620       0.001963
       0.964000       0.872319       0.001980
       0.970000       0.870531       0.001679
       0.976000       0.872324       0.001934
       0.982000       0.868849       0.001909
       0.988000       0.875754       0.001296
       0.994000       0.876652       0.001484
       1.000000       0.878901       0.001234
       1.006000       0.886072       0.001485
       1.012000       0.885682       0.001511
       1.018000       0.897237       0.001335
       1.023500       0.899849       0.001981
       1.028500       0.903552       0.001774
       1.033500       0.904188       0.002063
       1.038500       0.905963       0.001644
       1.043500       0.910240       0.001880
       1.048500       0.916442       0.001561
       1.053500       0.910307       0.001439
       1.058500       0.916505       0.001850
       1.063500       0.914652       0.001145
       1.068500       0.915253       0.001530
       1.073500       0.911358       0.001427
       1.078500       0.915400       0.001702
       1.083500       0.905302       0.001552
       1.088500       0.907005       0.001255
       1.093500       0.910415       0.001418
       1.098500       0.907264       0.001654
       1.103500       0.906407       0.001540
       1.108500       0.906431       0.001664
       1.113500       0.903128       0.001043
       1.118500       0.896524       0.001116
       1.123500       0.896615       0.001474
       1.128500       0.897442       0.001296
       1.133500       0.900345       0.001578
       1.138500       0.891290       0.001183
       1.143500       0.881700       0.001517
       1.148500       0.870039       0.001427
       1.153500       0.856848       0.001142
       1.158500       0.837959       0.001474
       1.163500       0.831961       0.001881
       1.168500       0.818640       0.001339
       1.173500       0.810226       0.001567
       1.178500       0.814275       0.001968
       1.183500       0.820827       0.001684
       1.188500       0.832607       0.001724
       1.193500       0.831899       0.001413
       1.198500       0.827724       0.001404
       1.203500       0.834101       0.001629
       1.208500       0.836322       0.001114
       1.213500       0.846300       0.001250
       1.218500       0.841665       0.001028
       1.223500       0.843371       0.001455
       1.228500       0.839357       0.001312
       1.233500       0.846452       0.001131
       1.238500       0.846071       0.001240
       1.243500       0.846949       0.001450
       1.248500       0.843169       0.001289
       1.253500       0.842854       0.000939
       1.258500       0.846244       0.001254
       1.263500       0.843675       0.000881
       1.268500       0.843146       0.001214
       1.273500       0.841027       0.001314
       1.278500       0.839752       0.001074
       1.283500       0.836092       0.001320
       1.288500       0.837811       0.001456
       1.293500       0.833500       0.001211
       1.298500       0.835310       0.001184
       1.303500       0.829282       0.000979
       1.308500       0.826427       0.001528
       1.313500       0.820501       0.001416
       1.318500       0.811103       0.001483
       1.323500       0.801245       0.001344
       1.328500       0.792004       0.001240
       1.333500       0.783505       0.001463
       1.338500       0.773810       0.001377
       1.343500       0.763173       0.001278
       1.348500       0.754333       0.001250
       1.353500       0.747586       0.001530
       1.358500       0.738915       0.001952
       1.363500       0.734851       0.001987
       1.368500       0.723165       0.001599
       1.373500       0.724548       0.001761
       1.378500       0.714074       0.001923
       1.383500       0.703687       0.001801
       1.388500       0.684460       0.001867
       1.393500       0.670789       0.001835
       1.398500       0.648137       0.001858
       1.403500       0.627018       0.001061
       1.408500       0.600138       0.001469
       1.413500       0.578364       0.001709
       1.418500       0.555651       0.001814
       1.423500       0.540944       0.001512
       1.428500       0.529630       0.001743
       1.433500       0.508440       0.001451
       1.438500       0.483076       0.001769
       1.443500       0.488206       0.001867
       1.448500       0.507580       0.001780
       1.453500       0.517797       0.001875
       1.458500       0.518375       0.001599
       1.463500       0.530415       0.001120
       1.468500       0.552776       0.001576
       1.473500       0.554936       0.001180
       1.478500       0.538130       0.001222
       1.483500       0.531772       0.001446
       1.488500       0.548793       0.001908
       1.493500       0.567186       0.001898
       1.498500       0.581995       0.001890
       1.503500       0.597454       0.001580
       1.508500       0.604330       0.001899
       1.513500       0.612605       0.001809
       1.518500       0.615205       0.001894
       1.523500       0.616643       0.001913
       1.528500       0.615647       0.001762
       1.534000       0.605215       0.001266
       1.540000       0.609735       0.001808
       1.546000       0.611387       0.001201
       1.552000       0.614332       0.001206
       1.558000       0.616315       0.001153
       1.564000       0.618142       0.001247
       1.570500       0.615908       0.000860
       1.577500       0.608460       0.000992
       1.584500       0.606824       0.001258
       1.591500       0.606094       0.001466
       1.598500       0.604892       0.001112
       1.605500       0.601027       0.001047
       1.612500       0.600251       0.000937
       1.619500       0.596636       0.001524
       1.626500       0.598807       0.001650
       1.633500       0.596244       0.001306
       1.640500       0.604120       0.001359
       1.647500       0.609920       0.001869
       1.654500       0.615072       0.001752
       1.661500       0.623688       0.001725
       1.668500       0.628931       0.001848
       1.676000       0.633065       0.001864
       1.684000       0.634556       0.001901
       1.692000       0.638139       0.001974
       1.700000       0.641454       0.001975
       1.708000       0.644540       0.001997
       1.716000       0.638633       0.001623
       1.724000       0.627427       0.001933
       1.732000       0.625295       0.002005
       1.740000       0.628791       0.001960
       1.748000       0.630309       0.001969
       1.756000       0.634688       0.001940
       1.764000       0.638678       0.001555
       1.772000       0.646771       0.001975
       1.780000       0.646101       0.001940
       1.788000       0.649363       0.001854
       1.796000       0.651897       0.001422
       1.805000       0.657146       0.001616
       1.815000       0.658161       0.001011
       1.825000       0.659838       0.001517
       1.835000       0.655770       0.001762
       1.845000       0.647289       0.001714
       1.855000       0.636028       0.001804
       1.865000       0.612801       0.001890
       1.875000       0.570733       0.001886
       1.885000       0.514939       0.001663
       1.895000       0.435349       0.001617
       1.905000       0.357582       0.001034
       1.915000       0.305181       0.001660
       1.925000       0.255331       0.001314
       1.935000       0.189366       0.001796
       1.945000       0.183998       0.001535
       1.955000       0.257503       0.001425
       1.965000       0.293797       0.001809
       1.975000       0.288732       0.001507
       1.985000       0.325520       0.001792
       1.995000       0.358685       0.001538
       2.005000       0.364019       0.001822
       2.015000       0.368493       0.001640
       2.025000       0.376598       0.001555
       2.035000       0.381281       0.001382
       2.045000       0.388136       0.001654
       2.055000       0.398314       0.001871
       2.065000       0.402795       0.001864
       2.075000       0.438637       0.001710
       2.085000       0.462567       0.001855
       2.095000       0.480811       0.001822
       2.105000       0.491968       0.001878
       2.115000       0.498405       0.001902
       2.125000       0.495083       0.001840
       2.135000       0.490613       0.001858
       2.145000       0.484318       0.001857
       2.155000       0.478425       0.001881
       2.165000       0.469502       0.001629
       2.175000       0.471386       0.001876
       2.185000       0.473478       0.001928
       2.195000       0.476619       0.001881
       2.205000       0.478042       0.001932
       2.215000       0.481447       0.001924
       2.225000       0.489767       0.001943
       2.235000       0.490452       0.001941
       2.245000       0.492686       0.001950
       2.255000       0.495983       0.001950
       2.265000       0.494584       0.001986
       2.275000       0.493520       0.002387
       2.285000       0.489305       0.003332
       2.295000       0.484097       0.004233
       2.305000       0.478896       0.004140
       2.315000       0.461599       0.002362
       2.325000       0.448978       0.001915
       2.335000       0.432015       0.001870
       2.345000       0.409875       0.001593
