USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Serpentine HS8.3B            W1R1Bc AREF
copy of splib05a r 6201                                     
       0.205100      -1.23e34        0.526420
       0.213100      -1.23e34        0.152089
       0.221100      -1.23e34        0.037214
       0.229100      -1.23e34        0.015499
       0.236100      -1.23e34        0.009983
       0.242100       0.042767       0.005179
       0.248100       0.054773       0.003332
       0.253600       0.055873       0.002941
       0.258600       0.057241       0.002352
       0.263600       0.060024       0.002009
       0.268600       0.064521       0.001745
       0.273100       0.066976       0.002053
       0.277100       0.077072       0.001816
       0.281100       0.086033       0.001706
       0.285100       0.098086       0.001583
       0.289100       0.106374       0.001381
       0.293100       0.120826       0.001260
       0.297100       0.130833       0.001328
       0.301100       0.140619       0.001471
       0.305100       0.151498       0.001442
       0.309100       0.162469       0.001350
       0.313100       0.169119       0.001374
       0.317100       0.178130       0.001392
       0.321100       0.183384       0.001404
       0.325100       0.189263       0.001419
       0.329100       0.192002       0.001423
       0.333100       0.196395       0.001440
       0.337100       0.198593       0.001446
       0.341100       0.201230       0.001449
       0.345100       0.203823       0.001456
       0.349100       0.205779       0.001449
       0.353100       0.209850       0.001392
       0.357100       0.214509       0.000749
       0.360600       0.218433       0.000904
       0.363600       0.219322       0.001148
       0.366600       0.221484       0.000946
       0.369600       0.223945       0.000989
       0.372600       0.224286       0.000978
       0.375600       0.224945       0.001440
       0.378600       0.225999       0.000999
       0.381100       0.225449       0.000653
       0.383100       0.223603       0.001477
       0.385100       0.224637       0.001134
       0.387100       0.226129       0.000980
       0.389100       0.226665       0.001464
       0.391100       0.229142       0.000886
       0.393100       0.230914       0.001451
       0.395100       0.230827       0.000870
       0.397100       0.231153       0.000878
       0.399100       0.230988       0.001153
       0.401100       0.232307       0.000960
       0.403100       0.231913       0.001063
       0.405100       0.232125       0.000703
       0.407100       0.232446       0.000804
       0.409100       0.232961       0.000875
       0.411100       0.233489       0.000771
       0.412800       0.234325       0.000796
       0.415800       0.234239       0.000926
       0.418800       0.235952       0.001028
       0.421800       0.236408       0.000680
       0.424800       0.238596       0.000674
       0.427800       0.239542       0.000702
       0.430800       0.240171       0.000735
       0.433800       0.241789       0.000978
       0.436800       0.242622       0.000661
       0.439800       0.244823       0.000733
       0.442800       0.244218       0.000653
       0.445800       0.244448       0.000688
       0.448800       0.244152       0.000756
       0.451300       0.245901       0.001208
       0.453300       0.247880       0.001008
       0.455300       0.246640       0.000986
       0.457300       0.248745       0.000989
       0.459300       0.250709       0.000871
       0.461300       0.249904       0.001456
       0.463300       0.250996       0.001309
       0.465300       0.253248       0.000978
       0.467300       0.254290       0.000792
       0.469300       0.255848       0.001336
       0.471300       0.257673       0.000864
       0.473300       0.260120       0.000860
       0.475300       0.260956       0.001153
       0.477300       0.262425       0.000914
       0.479300       0.264419       0.000999
       0.481300       0.266034       0.000832
       0.483300       0.266190       0.000911
       0.485300       0.267367       0.000862
       0.487300       0.268058       0.000958
       0.489300       0.267864       0.001196
       0.491300       0.267562       0.000702
       0.493300       0.268200       0.000978
       0.495300       0.269460       0.000910
       0.497300       0.269896       0.000837
       0.499300       0.271243       0.000927
       0.501300       0.272431       0.001187
       0.503300       0.272586       0.000726
       0.505300       0.273211       0.000783
       0.507300       0.273026       0.001191
       0.509300       0.273649       0.000842
       0.511300       0.274252       0.000868
       0.513300       0.273938       0.000845
       0.515300       0.274084       0.000893
       0.517300       0.274262       0.000926
       0.519300       0.273706       0.000855
       0.521300       0.274111       0.000936
       0.523300       0.272052       0.001235
       0.525300       0.272073       0.000909
       0.527300       0.272902       0.000924
       0.529300       0.272407       0.000897
       0.531300       0.271771       0.001348
       0.533300       0.270464       0.000986
       0.535300       0.269568       0.001279
       0.537300       0.270798       0.000991
       0.539300       0.271167       0.000945
       0.541300       0.270167       0.001115
       0.543300       0.270440       0.000882
       0.545300       0.269194       0.000815
       0.547300       0.268788       0.000801
       0.549300       0.269346       0.000831
       0.551300       0.268243       0.000769
       0.553300       0.267422       0.000934
       0.555300       0.266992       0.000706
       0.557300       0.266964       0.000942
       0.559300       0.267195       0.000707
       0.561300       0.265241       0.001197
       0.563300       0.265435       0.000660
       0.565300       0.265005       0.000889
       0.567300       0.265545       0.000820
       0.569300       0.264581       0.000795
       0.571300       0.264460       0.000662
       0.573300       0.264738       0.000941
       0.575300       0.263198       0.000995
       0.577300       0.263647       0.001484
       0.579300       0.262852       0.001084
       0.581300       0.262265       0.001525
       0.583300       0.260806       0.001051
       0.585300       0.261080       0.000990
       0.587300       0.259946       0.001044
       0.589300       0.259778       0.001047
       0.591300       0.259175       0.000957
       0.593300       0.258186       0.001045
       0.595300       0.257418       0.000888
       0.597300       0.256615       0.000898
       0.599300       0.256444       0.000924
       0.601100       0.255018       0.000995
       0.602700       0.254269       0.001042
       0.604300       0.254834       0.001048
       0.605900       0.253981       0.001183
       0.607500       0.253398       0.000902
       0.609100       0.252171       0.000898
       0.610700       0.251636       0.000821
       0.612300       0.250281       0.000723
       0.613900       0.251034       0.001004
       0.615500       0.250947       0.000767
       0.617100       0.249514       0.001284
       0.618700       0.249166       0.000877
       0.620300       0.248737       0.000881
       0.621900       0.247200       0.000907
       0.623500       0.247524       0.000820
       0.625100       0.246146       0.000854
       0.626700       0.246152       0.000844
       0.628300       0.246010       0.000952
       0.629900       0.244704       0.001183
       0.631700       0.244844       0.000754
       0.633700       0.244088       0.000796
       0.635700       0.243013       0.000850
       0.637700       0.243078       0.000796
       0.639700       0.242114       0.000831
       0.641700       0.241185       0.000982
       0.643700       0.240111       0.001000
       0.645700       0.240142       0.000810
       0.647700       0.239970       0.001000
       0.649700       0.237866       0.001091
       0.651700       0.238031       0.001061
       0.653700       0.237191       0.001128
       0.655700       0.236262       0.000735
       0.657700       0.235748       0.000623
       0.659700       0.235228       0.000735
       0.661700       0.235220       0.000716
       0.663700       0.234204       0.000854
       0.665700       0.233710       0.000851
       0.667700       0.233750       0.000847
       0.670200       0.232089       0.000931
       0.673200       0.232612       0.000716
       0.676200       0.230404       0.000799
       0.679200       0.230012       0.001103
       0.682200       0.229894       0.000839
       0.685200       0.229402       0.001046
       0.688200       0.229224       0.000930
       0.691200       0.227758       0.000924
       0.694200       0.227436       0.001210
       0.697200       0.227129       0.001032
       0.700200       0.225391       0.001198
       0.702000       0.225698       0.000901
       0.704000       0.226190       0.001013
       0.706000       0.224940       0.001545
       0.708000       0.225508       0.001038
       0.710000       0.223887       0.001432
       0.712000       0.225100       0.001060
       0.714000       0.224673       0.000903
       0.716000       0.223853       0.000641
       0.718000       0.224680       0.000809
       0.720000       0.224468       0.000664
       0.722000       0.224028       0.000632
       0.724000       0.224492       0.000747
       0.726000       0.223725       0.000760
       0.728000       0.224089       0.000870
       0.730000       0.223451       0.001077
       0.732000       0.223824       0.000697
       0.734000       0.224633       0.000658
       0.736000       0.223783       0.000794
       0.738000       0.223641       0.001379
       0.740000       0.223776       0.000985
       0.742000       0.224200       0.001092
       0.744000       0.225366       0.000748
       0.746000       0.224942       0.000872
       0.748000       0.224890       0.000714
       0.750500       0.224606       0.001119
       0.753500       0.225494       0.000713
       0.756500       0.226422       0.000761
       0.759500       0.226255       0.000753
       0.762500       0.227267       0.000937
       0.765500       0.228172       0.000950
       0.768500       0.228811       0.000842
       0.771500       0.230271       0.001156
       0.774500       0.230522       0.000803
       0.777500       0.231091       0.000624
       0.781000       0.232110       0.001018
       0.785000       0.232100       0.000657
       0.789000       0.233591       0.000854
       0.793000       0.234244       0.000650
       0.797000       0.234449       0.000781
       0.801500       0.234438       0.000865
       0.806500       0.234669       0.000803
       0.811500       0.235060       0.000723
       0.816500       0.235019       0.001030
       0.822000       0.234465       0.001058
       0.828000       0.232737       0.000902
       0.835000       0.232539       0.000873
       0.843000       0.229271       0.001602
       0.851000       0.234771       0.001924
       0.859000       0.232768       0.001683
       0.871000       0.225944       0.001718
       0.883000       0.227745       0.001667
       0.894000       0.223404       0.001680
       0.904000       0.222997       0.001564
       0.914000       0.219731       0.001530
       0.924000       0.221824       0.001153
       0.933000       0.221805       0.000893
       0.941000       0.220604       0.000971
       0.949000       0.219912       0.000709
       0.957000       0.223388       0.001215
       0.964000       0.223227       0.001376
       0.970000       0.222984       0.001559
       0.976000       0.222311       0.001085
       0.982000       0.223277       0.001539
       0.988000       0.222946       0.000899
       0.994000       0.222806       0.001246
       1.000000       0.220191       0.001163
       1.006000       0.222626       0.000988
       1.012000       0.220233       0.001067
       1.018000       0.221520       0.001355
       1.023500       0.221623       0.001551
       1.028500       0.221537       0.001093
       1.033500       0.220126       0.001202
       1.038500       0.221876       0.001283
       1.043500       0.218789       0.001034
       1.048500       0.218744       0.000903
       1.053500       0.218376       0.001146
       1.058500       0.218173       0.001114
       1.063500       0.216545       0.001232
       1.068500       0.217739       0.001101
       1.073500       0.215863       0.001088
       1.078500       0.217420       0.001257
       1.083500       0.215646       0.000982
       1.088500       0.214747       0.000909
       1.093500       0.215694       0.000788
       1.098500       0.215017       0.000820
       1.103500       0.215313       0.000816
       1.108500       0.214672       0.001227
       1.113500       0.215582       0.001009
       1.118500       0.213800       0.001042
       1.123500       0.215081       0.000672
       1.128500       0.214554       0.001010
       1.133500       0.216248       0.000939
       1.138500       0.214868       0.001022
       1.143500       0.214912       0.001054
       1.148500       0.216682       0.001211
       1.153500       0.216469       0.000844
       1.158500       0.216500       0.000940
       1.163500       0.217042       0.000742
       1.168500       0.215248       0.000950
       1.173500       0.215745       0.000804
       1.178500       0.215614       0.000988
       1.183500       0.218450       0.001298
       1.188500       0.219964       0.001350
       1.193500       0.219457       0.001021
       1.198500       0.218951       0.000976
       1.203500       0.218298       0.000765
       1.208500       0.220676       0.001041
       1.213500       0.221435       0.001132
       1.218500       0.222233       0.000732
       1.223500       0.220344       0.000668
       1.228500       0.222199       0.000743
       1.233500       0.221765       0.000736
       1.238500       0.223416       0.000818
       1.243500       0.222908       0.000761
       1.248500       0.225004       0.000804
       1.253500       0.224794       0.001033
       1.258500       0.225629       0.000931
       1.263500       0.224956       0.000966
       1.268500       0.225451       0.000924
       1.273500       0.226122       0.001063
       1.278500       0.225515       0.000857
       1.283500       0.226704       0.000806
       1.288500       0.227522       0.001131
       1.293500       0.228125       0.000612
       1.298500       0.229241       0.000920
       1.303500       0.229978       0.000781
       1.308500       0.230737       0.000636
       1.313500       0.230258       0.000998
       1.318500       0.231801       0.001202
       1.323500       0.231827       0.000662
       1.328500       0.232331       0.000873
       1.333500       0.231117       0.000910
       1.338500       0.232551       0.000817
       1.343500       0.232926       0.000856
       1.348500       0.233154       0.000980
       1.353500       0.232187       0.001057
       1.358500       0.230020       0.001340
       1.363500       0.230843       0.001732
       1.368500       0.228221       0.001066
       1.373500       0.229954       0.001400
       1.378500       0.223817       0.001006
       1.383500       0.201725       0.001251
       1.388500       0.197674       0.001032
       1.393500       0.196264       0.000936
       1.398500       0.198021       0.000819
       1.403500       0.206447       0.001675
       1.408500       0.219844       0.001582
       1.413500       0.226916       0.001217
       1.418500       0.231862       0.001100
       1.423500       0.233987       0.001344
       1.428500       0.233998       0.001156
       1.433500       0.235967       0.001344
       1.438500       0.235073       0.001084
       1.443500       0.237590       0.001262
       1.448500       0.237935       0.001060
       1.453500       0.239633       0.001144
       1.458500       0.240152       0.001045
       1.463500       0.240864       0.001103
       1.468500       0.240017       0.001015
       1.473500       0.241421       0.001022
       1.478500       0.241751       0.001075
       1.483500       0.242128       0.000887
       1.488500       0.241887       0.001106
       1.493500       0.240839       0.001320
       1.498500       0.241393       0.001215
       1.503500       0.241805       0.001146
       1.508500       0.241594       0.001406
       1.513500       0.243062       0.001067
       1.518500       0.242776       0.001278
       1.523500       0.241791       0.001170
       1.528500       0.242336       0.001452
       1.534000       0.241331       0.001042
       1.540000       0.243068       0.000904
       1.546000       0.244723       0.001171
       1.552000       0.242347       0.001413
       1.558000       0.243208       0.000820
       1.564000       0.244881       0.001121
       1.570500       0.243369       0.000890
       1.577500       0.243951       0.000508
       1.584500       0.243121       0.000918
       1.591500       0.243046       0.000775
       1.598500       0.243444       0.000700
       1.605500       0.244697       0.000538
       1.612500       0.243079       0.000861
       1.619500       0.242091       0.001025
       1.626500       0.244316       0.000946
       1.633500       0.243825       0.001047
       1.640500       0.243773       0.001123
       1.647500       0.243834       0.001205
       1.654500       0.242033       0.000956
       1.661500       0.242717       0.001465
       1.668500       0.242566       0.001148
       1.676000       0.242941       0.001006
       1.684000       0.240759       0.001337
       1.692000       0.244467       0.001564
       1.700000       0.243863       0.001731
       1.708000       0.244302       0.001333
       1.716000       0.243029       0.000921
       1.724000       0.241226       0.001334
       1.732000       0.242941       0.001644
       1.740000       0.243233       0.001710
       1.748000       0.243572       0.001733
       1.756000       0.239201       0.001357
       1.764000       0.240447       0.001678
       1.772000       0.241031       0.001693
       1.780000       0.238378       0.001762
       1.788000       0.239585       0.001734
       1.796000       0.239169       0.001767
       1.805000       0.237673       0.000712
       1.815000       0.237285       0.001123
       1.825000       0.236110       0.001073
       1.835000       0.238399       0.001424
       1.845000       0.236509       0.001686
       1.855000       0.236191       0.001340
       1.865000       0.236011       0.001216
       1.875000       0.232530       0.001750
       1.885000       0.228627       0.001655
       1.895000       0.228366       0.001462
       1.905000       0.221994       0.001681
       1.915000       0.220177       0.001231
       1.925000       0.218458       0.001679
       1.935000       0.219658       0.001361
       1.945000       0.218458       0.001092
       1.955000       0.216025       0.001457
       1.965000       0.214318       0.001561
       1.975000       0.215649       0.001430
       1.985000       0.213221       0.001516
       1.995000       0.215523       0.001714
       2.005000       0.217420       0.001614
       2.015000       0.218556       0.001697
       2.025000       0.218319       0.001500
       2.035000       0.222502       0.001465
       2.045000       0.220414       0.001555
       2.055000       0.225648       0.001198
       2.065000       0.222606       0.001743
       2.075000       0.222072       0.001748
       2.085000       0.220592       0.001708
       2.095000       0.213200       0.001737
       2.105000       0.213342       0.001705
       2.115000       0.215679       0.001710
       2.125000       0.218224       0.001696
       2.135000       0.213329       0.001729
       2.145000       0.216661       0.001678
       2.155000       0.215708       0.001659
       2.165000       0.219434       0.001725
       2.175000       0.215911       0.000978
       2.185000       0.218013       0.001733
       2.195000       0.219050       0.001729
       2.205000       0.214776       0.001743
       2.215000       0.215263       0.001749
       2.225000       0.210055       0.001762
       2.235000       0.204499       0.001755
       2.245000       0.194745       0.001753
       2.255000       0.188950       0.001754
       2.265000       0.185109       0.001757
       2.275000       0.172774       0.001976
       2.285000       0.169698       0.002757
       2.295000       0.158014       0.003408
       2.305000       0.150419       0.002863
       2.315000       0.135174       0.002230
       2.325000       0.129542       0.001750
       2.335000       0.137205       0.001711
       2.345000       0.152769       0.001678
