USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Thenardite HS450.3B          W1R1Ba AREF
copy of splib05a r 6533                                     
       0.205100      -1.23e34        0.011791
       0.213100      -1.23e34        0.002201
       0.221100       0.575935       0.001071
       0.229100       0.585619       0.000967
       0.236100       0.589730       0.000885
       0.242100       0.592861       0.000819
       0.248100       0.598827       0.000772
       0.253600       0.605370       0.000766
       0.258600       0.610300       0.000745
       0.263600       0.616949       0.000742
       0.268600       0.623598       0.000771
       0.273100       0.629768       0.000743
       0.277100       0.633634       0.000620
       0.281100       0.638806       0.000807
       0.285100       0.643185       0.000795
       0.289100       0.646635       0.000871
       0.293100       0.652168       0.000888
       0.297100       0.658961       0.000923
       0.301100       0.655907       0.000875
       0.305100       0.659748       0.000927
       0.309100       0.666369       0.000798
       0.313100       0.671394       0.000746
       0.317100       0.676400       0.000983
       0.321100       0.681998       0.000781
       0.325100       0.689046       0.000738
       0.329100       0.692995       0.000807
       0.333100       0.696900       0.000685
       0.337100       0.701504       0.000614
       0.341100       0.706834       0.000686
       0.345100       0.711595       0.000621
       0.349100       0.715671       0.000655
       0.353100       0.719712       0.001026
       0.357100       0.726195       0.000759
       0.360600       0.730196       0.000813
       0.363600       0.733996       0.000735
       0.366600       0.736096       0.000790
       0.369600       0.739427       0.000629
       0.372600       0.742197       0.000698
       0.375600       0.745250       0.000610
       0.378600       0.748038       0.000832
       0.381100       0.751117       0.000845
       0.383100       0.753104       0.000731
       0.385100       0.753527       0.000836
       0.387100       0.755696       0.001010
       0.389100       0.758378       0.000815
       0.391100       0.761089       0.000668
       0.393100       0.763138       0.000674
       0.395100       0.764177       0.000701
       0.397100       0.765049       0.000657
       0.399100       0.766779       0.000984
       0.401100       0.768977       0.000967
       0.403100       0.770531       0.000647
       0.405100       0.772727       0.000755
       0.407100       0.772961       0.000686
       0.409100       0.775613       0.000665
       0.411100       0.779676       0.000880
       0.412800       0.779203       0.000755
       0.415800       0.781258       0.000686
       0.418800       0.783462       0.000694
       0.421800       0.784786       0.000717
       0.424800       0.787135       0.000691
       0.427800       0.788648       0.000994
       0.430800       0.791511       0.000713
       0.433800       0.793639       0.000681
       0.436800       0.795940       0.000710
       0.439800       0.795655       0.001023
       0.442800       0.799356       0.000632
       0.445800       0.799972       0.000992
       0.448800       0.803215       0.001042
       0.451300       0.803833       0.000782
       0.453300       0.806396       0.000869
       0.455300       0.806889       0.000905
       0.457300       0.808565       0.001028
       0.459300       0.810605       0.001029
       0.461300       0.809806       0.001040
       0.463300       0.812150       0.000886
       0.465300       0.813978       0.000789
       0.467300       0.813224       0.000935
       0.469300       0.815176       0.000777
       0.471300       0.816158       0.000919
       0.473300       0.817901       0.000882
       0.475300       0.817555       0.001008
       0.477300       0.818739       0.000811
       0.479300       0.819746       0.000945
       0.481300       0.820718       0.000751
       0.483300       0.822478       0.000789
       0.485300       0.823054       0.000806
       0.487300       0.824510       0.000825
       0.489300       0.825145       0.000834
       0.491300       0.826342       0.000865
       0.493300       0.827943       0.000855
       0.495300       0.829125       0.001032
       0.497300       0.828769       0.001007
       0.499300       0.831053       0.000993
       0.501300       0.832978       0.000899
       0.503300       0.831751       0.001034
       0.505300       0.833073       0.000847
       0.507300       0.835266       0.000847
       0.509300       0.835564       0.000899
       0.511300       0.835369       0.000899
       0.513300       0.837059       0.000945
       0.515300       0.837358       0.000888
       0.517300       0.839011       0.000858
       0.519300       0.839450       0.000894
       0.521300       0.840480       0.000794
       0.523300       0.842004       0.000994
       0.525300       0.844383       0.001000
       0.527300       0.842482       0.000920
       0.529300       0.843891       0.000966
       0.531300       0.844052       0.000957
       0.533300       0.846213       0.000908
       0.535300       0.847707       0.001029
       0.537300       0.847778       0.001005
       0.539300       0.848696       0.001027
       0.541300       0.848502       0.001032
       0.543300       0.849848       0.001012
       0.545300       0.850890       0.000999
       0.547300       0.849007       0.000942
       0.549300       0.851266       0.001012
       0.551300       0.852317       0.000974
       0.553300       0.852890       0.000958
       0.555300       0.854131       0.000749
       0.557300       0.853812       0.001003
       0.559300       0.854115       0.001007
       0.561300       0.855318       0.000903
       0.563300       0.856232       0.001029
       0.565300       0.856551       0.000829
       0.567300       0.856028       0.000852
       0.569300       0.856956       0.000907
       0.571300       0.858503       0.001007
       0.573300       0.857806       0.000616
       0.575300       0.859390       0.000599
       0.577300       0.859667       0.000657
       0.579300       0.861023       0.000690
       0.581300       0.859926       0.000689
       0.583300       0.860242       0.000794
       0.585300       0.861706       0.001027
       0.587300       0.862177       0.000905
       0.589300       0.863665       0.000693
       0.591300       0.863894       0.000598
       0.593300       0.863909       0.000723
       0.595300       0.865254       0.000787
       0.597300       0.865350       0.000749
       0.599300       0.864578       0.001021
       0.601100       0.865857       0.000785
       0.602700       0.864972       0.001021
       0.604300       0.866172       0.000760
       0.605900       0.867096       0.000650
       0.607500       0.865945       0.000995
       0.609100       0.867451       0.000987
       0.610700       0.866260       0.001012
       0.612300       0.868402       0.000850
       0.613900       0.867372       0.000914
       0.615500       0.868783       0.000872
       0.617100       0.870010       0.000898
       0.618700       0.869079       0.000853
       0.620300       0.870034       0.000805
       0.621900       0.869297       0.001007
       0.623500       0.869525       0.000992
       0.625100       0.868711       0.001014
       0.626700       0.870012       0.000894
       0.628300       0.870176       0.001001
       0.629900       0.870435       0.000908
       0.631700       0.870675       0.000916
       0.633700       0.870355       0.000790
       0.635700       0.871272       0.000989
       0.637700       0.870012       0.000595
       0.639700       0.870923       0.000588
       0.641700       0.871298       0.000630
       0.643700       0.872949       0.000700
       0.645700       0.872871       0.000673
       0.647700       0.871351       0.000971
       0.649700       0.873100       0.000783
       0.651700       0.872447       0.000637
       0.653700       0.873376       0.000676
       0.655700       0.873008       0.000648
       0.657700       0.873551       0.001007
       0.659700       0.875188       0.000727
       0.661700       0.875803       0.000755
       0.663700       0.875459       0.000853
       0.665700       0.876077       0.000897
       0.667700       0.875347       0.000684
       0.670200       0.874214       0.000874
       0.673200       0.877013       0.000758
       0.676200       0.877995       0.000587
       0.679200       0.877914       0.000628
       0.682200       0.876456       0.000971
       0.685200       0.878422       0.000704
       0.688200       0.879270       0.000744
       0.691200       0.881069       0.000809
       0.694200       0.879466       0.000925
       0.697200       0.881678       0.000976
       0.700200       0.879889       0.000689
       0.702000       0.881383       0.000600
       0.704000       0.881499       0.000651
       0.706000       0.880656       0.000610
       0.708000       0.880935       0.000778
       0.710000       0.879917       0.000699
       0.712000       0.881850       0.000633
       0.714000       0.882347       0.000716
       0.716000       0.882911       0.000784
       0.718000       0.882912       0.000665
       0.720000       0.881633       0.000727
       0.722000       0.884152       0.000813
       0.724000       0.883708       0.000723
       0.726000       0.884222       0.000705
       0.728000       0.883692       0.000882
       0.730000       0.885406       0.000937
       0.732000       0.884048       0.000999
       0.734000       0.884131       0.000785
       0.736000       0.884492       0.000796
       0.738000       0.886137       0.000825
       0.740000       0.885111       0.000953
       0.742000       0.885746       0.000984
       0.744000       0.885458       0.001013
       0.746000       0.884730       0.000977
       0.748000       0.885640       0.000771
       0.750500       0.886178       0.000711
       0.753500       0.887476       0.000723
       0.756500       0.886922       0.000999
       0.759500       0.886714       0.000717
       0.762500       0.886992       0.000883
       0.765500       0.887812       0.001009
       0.768500       0.887988       0.000991
       0.771500       0.887913       0.000847
       0.774500       0.889172       0.001018
       0.777500       0.889653       0.000882
       0.781000       0.889654       0.000823
       0.785000       0.889516       0.000830
       0.789000       0.890834       0.000783
       0.793000       0.890637       0.000748
       0.797000       0.892118       0.000865
       0.801500       0.891930       0.000719
       0.806500       0.893887       0.000774
       0.811500       0.892863       0.000768
       0.816500       0.894347       0.001011
       0.822000       0.894259       0.001040
       0.828000       0.893395       0.000830
       0.835000       0.894625       0.001006
       0.843000       0.894285       0.000995
       0.851000       0.892359       0.001275
       0.859000       0.893448       0.001063
       0.871000       0.892240       0.001055
       0.883000       0.892897       0.001068
       0.894000       0.891804       0.000964
       0.904000       0.894563       0.000878
       0.914000       0.889117       0.001049
       0.924000       0.889244       0.000964
       0.933000       0.891153       0.000865
       0.941000       0.894393       0.000874
       0.949000       0.889151       0.000779
       0.957000       0.887785       0.001063
       0.964000       0.891237       0.000855
       0.970000       0.891981       0.000902
       0.976000       0.892006       0.000996
       0.982000       0.891234       0.000742
       0.988000       0.890602       0.000895
       0.994000       0.891498       0.000941
       1.000000       0.892505       0.000830
       1.006000       0.891661       0.000849
       1.012000       0.891723       0.000857
       1.018000       0.889629       0.001061
       1.023500       0.892145       0.000956
       1.028500       0.890964       0.001039
       1.033500       0.890607       0.000875
       1.038500       0.890150       0.000882
       1.043500       0.891027       0.000947
       1.048500       0.891082       0.000756
       1.053500       0.891187       0.000922
       1.058500       0.890961       0.001031
       1.063500       0.891371       0.001035
       1.068500       0.889718       0.000832
       1.073500       0.892765       0.000838
       1.078500       0.891411       0.000694
       1.083500       0.891229       0.000756
       1.088500       0.892197       0.000891
       1.093500       0.891720       0.000713
       1.098500       0.892230       0.000958
       1.103500       0.891376       0.000921
       1.108500       0.891581       0.000854
       1.113500       0.891924       0.000690
       1.118500       0.891660       0.000738
       1.123500       0.893672       0.000924
       1.128500       0.890835       0.000950
       1.133500       0.891548       0.000754
       1.138500       0.890332       0.000661
       1.143500       0.891056       0.000835
       1.148500       0.891439       0.000875
       1.153500       0.891385       0.000932
       1.158500       0.890412       0.000895
       1.163500       0.890338       0.000748
       1.168500       0.890979       0.001006
       1.173500       0.890834       0.000654
       1.178500       0.891363       0.000862
       1.183500       0.893041       0.000920
       1.188500       0.892103       0.001029
       1.193500       0.892220       0.000892
       1.198500       0.891869       0.000686
       1.203500       0.891651       0.000728
       1.208500       0.891879       0.000766
       1.213500       0.890845       0.000858
       1.218500       0.890345       0.000758
       1.223500       0.891754       0.000736
       1.228500       0.891947       0.000719
       1.233500       0.891116       0.000759
       1.238500       0.893345       0.000829
       1.243500       0.892288       0.000583
       1.248500       0.891472       0.000845
       1.253500       0.891874       0.000585
       1.258500       0.891886       0.000821
       1.263500       0.892292       0.000959
       1.268500       0.890696       0.000812
       1.273500       0.892707       0.000844
       1.278500       0.890729       0.000859
       1.283500       0.892186       0.000705
       1.288500       0.891409       0.001050
       1.293500       0.890796       0.000750
       1.298500       0.891537       0.000724
       1.303500       0.890435       0.000789
       1.308500       0.890343       0.000742
       1.313500       0.891741       0.000789
       1.318500       0.890477       0.000744
       1.323500       0.891431       0.000835
       1.328500       0.891328       0.000898
       1.333500       0.890825       0.000790
       1.338500       0.891181       0.000614
       1.343500       0.891541       0.000715
       1.348500       0.890232       0.000654
       1.353500       0.888220       0.000951
       1.358500       0.890797       0.000877
       1.363500       0.891697       0.000707
       1.368500       0.893126       0.000964
       1.373500       0.891178       0.001049
       1.378500       0.892492       0.001050
       1.383500       0.890272       0.001037
       1.388500       0.890714       0.000871
       1.393500       0.891522       0.001051
       1.398500       0.888646       0.000857
       1.403500       0.891300       0.001064
       1.408500       0.888797       0.001024
       1.413500       0.891584       0.001048
       1.418500       0.889901       0.000945
       1.423500       0.888014       0.000859
       1.428500       0.889020       0.000885
       1.433500       0.890948       0.000853
       1.438500       0.890654       0.000768
       1.443500       0.888884       0.000932
       1.448500       0.888925       0.000900
       1.453500       0.887692       0.000828
       1.458500       0.891064       0.000692
       1.463500       0.888089       0.000900
       1.468500       0.891166       0.001073
       1.473500       0.889042       0.001040
       1.478500       0.891428       0.001039
       1.483500       0.888969       0.000825
       1.488500       0.891527       0.001014
       1.493500       0.890082       0.001051
       1.498500       0.891195       0.001048
       1.503500       0.891697       0.000874
       1.508500       0.891114       0.001041
       1.513500       0.893291       0.001070
       1.518500       0.893135       0.001065
       1.523500       0.892431       0.001068
       1.528500       0.894255       0.001069
       1.534000       0.891888       0.000696
       1.540000       0.890988       0.001068
       1.546000       0.892831       0.000768
       1.552000       0.893164       0.000947
       1.558000       0.893637       0.001068
       1.564000       0.893675       0.000991
       1.570500       0.893419       0.000670
       1.577500       0.891902       0.000826
       1.584500       0.893484       0.000866
       1.591500       0.893754       0.000884
       1.598500       0.893718       0.000737
       1.605500       0.893173       0.000806
       1.612500       0.893959       0.000878
       1.619500       0.892603       0.000812
       1.626500       0.893157       0.000771
       1.633500       0.891754       0.000760
       1.640500       0.891918       0.000879
       1.647500       0.893328       0.000970
       1.654500       0.894518       0.000891
       1.661500       0.894821       0.001069
       1.668500       0.892123       0.000981
       1.676000       0.892472       0.000817
       1.684000       0.889817       0.001046
       1.692000       0.894880       0.001071
       1.700000       0.895023       0.001062
       1.708000       0.894230       0.001040
       1.716000       0.895336       0.001061
       1.724000       0.892774       0.001038
       1.732000       0.895139       0.001074
       1.740000       0.894527       0.001049
       1.748000       0.895629       0.001063
       1.756000       0.894935       0.001072
       1.764000       0.892934       0.001014
       1.772000       0.894728       0.001055
       1.780000       0.894339       0.001051
       1.788000       0.896756       0.000914
       1.796000       0.895614       0.000871
       1.805000       0.891996       0.000685
       1.815000       0.892362       0.000811
       1.825000       0.891093       0.000966
       1.835000       0.892962       0.001064
       1.845000       0.894344       0.000910
       1.855000       0.891576       0.001072
       1.865000       0.889057       0.000811
       1.875000       0.891362       0.000853
       1.885000       0.889023       0.000697
       1.895000       0.883640       0.000842
       1.905000       0.881468       0.001073
       1.915000       0.876435       0.000918
       1.925000       0.873065       0.001006
       1.935000       0.869741       0.001069
       1.945000       0.870453       0.001064
       1.955000       0.870324       0.001052
       1.965000       0.873195       0.000761
       1.975000       0.875159       0.001059
       1.985000       0.878786       0.001040
       1.995000       0.878935       0.001055
       2.005000       0.881313       0.001065
       2.015000       0.884349       0.001053
       2.025000       0.885845       0.001054
       2.035000       0.888008       0.001051
       2.045000       0.889201       0.001064
       2.055000       0.889455       0.001046
       2.065000       0.891124       0.001052
       2.075000       0.892208       0.001047
       2.085000       0.891673       0.001051
       2.095000       0.892848       0.001059
       2.105000       0.893726       0.001054
       2.115000       0.896385       0.001046
       2.125000       0.899100       0.001055
       2.135000       0.897589       0.001045
       2.145000       0.894958       0.001041
       2.155000       0.893092       0.001038
       2.165000       0.889691       0.001046
       2.175000       0.888213       0.001040
       2.185000       0.885412       0.001051
       2.195000       0.887185       0.001056
       2.205000       0.886118       0.001057
       2.215000       0.885420       0.001133
       2.225000       0.882952       0.001164
       2.235000       0.886805       0.001165
       2.245000       0.884168       0.001240
       2.255000       0.884052       0.001300
       2.265000       0.880194       0.001825
       2.275000       0.886027       0.001815
       2.285000       0.889016       0.002397
       2.295000       0.885553       0.003363
       2.305000       0.893835       0.003444
       2.315000       0.884534       0.002528
       2.325000       0.884524       0.001385
       2.335000       0.882276       0.001102
       2.345000       0.883846       0.001041
