USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Vermiculite GDS13 Llano      W1R1Ba AREF
copy of splib05a r 6967                                     
       0.205100      -1.23e34        0.218088
       0.213100      -1.23e34        0.086709
       0.221100      -1.23e34        0.041560
       0.229100      -1.23e34        0.021462
       0.236100       0.118239       0.014733
       0.242100       0.127000       0.008361
       0.248100       0.140489       0.006740
       0.253600       0.129294       0.006095
       0.258600       0.151042       0.005353
       0.263600       0.146301       0.004087
       0.268600       0.140293       0.004268
       0.273100       0.141567       0.004547
       0.277100       0.157801       0.004084
       0.281100       0.169168       0.003540
       0.285100       0.184699       0.003753
       0.289100       0.198389       0.003030
       0.293100       0.218847       0.003060
       0.297100       0.241324       0.002624
       0.301100       0.263484       0.002979
       0.305100       0.293445       0.002876
       0.309100       0.327268       0.002832
       0.313100       0.352090       0.002466
       0.317100       0.375212       0.002349
       0.321100       0.402320       0.002213
       0.325100       0.426892       0.002219
       0.329100       0.443504       0.002199
       0.333100       0.458065       0.002205
       0.337100       0.478620       0.002217
       0.341100       0.489447       0.002222
       0.345100       0.501763       0.002228
       0.349100       0.514787       0.002233
       0.353100       0.534095       0.002149
       0.357100       0.548285       0.002209
       0.360600       0.556302       0.002167
       0.363600       0.562155       0.001955
       0.366600       0.569918       0.002041
       0.369600       0.575921       0.001907
       0.372600       0.586264       0.001517
       0.375600       0.590632       0.001307
       0.378600       0.596603       0.001825
       0.381100       0.604297       0.001786
       0.383100       0.606230       0.001971
       0.385100       0.610516       0.002000
       0.387100       0.611638       0.002145
       0.389100       0.616061       0.001919
       0.391100       0.618025       0.002157
       0.393100       0.623553       0.001824
       0.395100       0.628105       0.001974
       0.397100       0.623467       0.002098
       0.399100       0.630108       0.001657
       0.401100       0.632113       0.001843
       0.403100       0.632350       0.001206
       0.405100       0.633491       0.001791
       0.407100       0.636464       0.001544
       0.409100       0.637993       0.001207
       0.411100       0.643580       0.002225
       0.412800       0.642913       0.001896
       0.415800       0.644772       0.001429
       0.418800       0.644812       0.001692
       0.421800       0.648099       0.001706
       0.424800       0.650907       0.001620
       0.427800       0.652757       0.001460
       0.430800       0.653783       0.001467
       0.433800       0.654942       0.001918
       0.436800       0.658220       0.001295
       0.439800       0.661386       0.001425
       0.442800       0.662355       0.001399
       0.445800       0.664791       0.001610
       0.448800       0.668830       0.001771
       0.451300       0.668861       0.002215
       0.453300       0.671498       0.002246
       0.455300       0.671977       0.002209
       0.457300       0.673576       0.002127
       0.459300       0.671983       0.002236
       0.461300       0.676096       0.002081
       0.463300       0.679256       0.002112
       0.465300       0.677760       0.002065
       0.467300       0.679553       0.002005
       0.469300       0.679004       0.001987
       0.471300       0.675804       0.001938
       0.473300       0.680509       0.001587
       0.475300       0.682566       0.002028
       0.477300       0.682000       0.001492
       0.479300       0.683928       0.001980
       0.481300       0.686944       0.001629
       0.483300       0.687697       0.001738
       0.485300       0.688585       0.001932
       0.487300       0.691055       0.001823
       0.489300       0.692702       0.001901
       0.491300       0.692463       0.002027
       0.493300       0.693867       0.002192
       0.495300       0.694572       0.001623
       0.497300       0.700540       0.001701
       0.499300       0.701894       0.001885
       0.501300       0.702039       0.002033
       0.503300       0.703698       0.001709
       0.505300       0.704603       0.002047
       0.507300       0.707950       0.001904
       0.509300       0.708508       0.001837
       0.511300       0.708211       0.001797
       0.513300       0.712060       0.001574
       0.515300       0.714260       0.002000
       0.517300       0.716945       0.001883
       0.519300       0.714754       0.001567
       0.521300       0.717108       0.001408
       0.523300       0.717561       0.002286
       0.525300       0.720896       0.002087
       0.527300       0.719221       0.002171
       0.529300       0.721076       0.001601
       0.531300       0.721046       0.001845
       0.533300       0.720494       0.002102
       0.535300       0.725426       0.002314
       0.537300       0.721267       0.001915
       0.539300       0.727217       0.001865
       0.541300       0.725576       0.002013
       0.543300       0.723398       0.002142
       0.545300       0.726837       0.001945
       0.547300       0.726387       0.001903
       0.549300       0.730138       0.001807
       0.551300       0.728299       0.001538
       0.553300       0.729182       0.001756
       0.555300       0.731407       0.001957
       0.557300       0.732715       0.001628
       0.559300       0.733085       0.001857
       0.561300       0.733088       0.002214
       0.563300       0.733156       0.001972
       0.565300       0.733333       0.001788
       0.567300       0.733589       0.002064
       0.569300       0.736001       0.001771
       0.571300       0.739113       0.001746
       0.573300       0.736860       0.001949
       0.575300       0.732214       0.002064
       0.577300       0.735374       0.002090
       0.579300       0.737838       0.002309
       0.581300       0.737988       0.002305
       0.583300       0.736451       0.002280
       0.585300       0.738741       0.002331
       0.587300       0.740077       0.002148
       0.589300       0.737804       0.002271
       0.591300       0.742601       0.002144
       0.593300       0.741092       0.001772
       0.595300       0.742486       0.002009
       0.597300       0.743618       0.001747
       0.599300       0.745595       0.002053
       0.601100       0.746826       0.002259
       0.602700       0.744046       0.001762
       0.604300       0.750839       0.001784
       0.605900       0.749654       0.001674
       0.607500       0.749599       0.001738
       0.609100       0.749207       0.002067
       0.610700       0.748196       0.001596
       0.612300       0.749679       0.001717
       0.613900       0.750279       0.001936
       0.615500       0.753955       0.001541
       0.617100       0.752282       0.001818
       0.618700       0.756396       0.001836
       0.620300       0.753638       0.001659
       0.621900       0.753442       0.001583
       0.623500       0.754431       0.002148
       0.625100       0.753507       0.002167
       0.626700       0.756808       0.001780
       0.628300       0.755159       0.002151
       0.629900       0.757431       0.002015
       0.631700       0.754902       0.001581
       0.633700       0.759197       0.001760
       0.635700       0.759358       0.001763
       0.637700       0.759260       0.001874
       0.639700       0.758419       0.001972
       0.641700       0.758512       0.002048
       0.643700       0.762696       0.001923
       0.645700       0.760754       0.002203
       0.647700       0.760311       0.001900
       0.649700       0.760798       0.001884
       0.651700       0.763434       0.001622
       0.653700       0.763681       0.001993
       0.655700       0.765026       0.001987
       0.657700       0.762232       0.002003
       0.659700       0.763986       0.002279
       0.661700       0.764961       0.002239
       0.663700       0.766979       0.002224
       0.665700       0.766611       0.002224
       0.667700       0.767183       0.001844
       0.670200       0.767495       0.001869
       0.673200       0.767514       0.001966
       0.676200       0.771717       0.001815
       0.679200       0.769794       0.001597
       0.682200       0.770799       0.002130
       0.685200       0.773095       0.001640
       0.688200       0.770820       0.001868
       0.691200       0.769416       0.002210
       0.694200       0.772206       0.002200
       0.697200       0.773901       0.002330
       0.700200       0.773279       0.002336
       0.702000       0.776356       0.002166
       0.704000       0.776197       0.001827
       0.706000       0.775106       0.002188
       0.708000       0.776196       0.002023
       0.710000       0.777246       0.002149
       0.712000       0.776703       0.002230
       0.714000       0.771129       0.002055
       0.716000       0.775105       0.002069
       0.718000       0.773731       0.001826
       0.720000       0.778531       0.002065
       0.722000       0.773760       0.002251
       0.724000       0.774374       0.002091
       0.726000       0.775557       0.002219
       0.728000       0.775655       0.002314
       0.730000       0.775524       0.002007
       0.732000       0.777072       0.001879
       0.734000       0.773841       0.001889
       0.736000       0.780625       0.002062
       0.738000       0.779069       0.002017
       0.740000       0.778110       0.002269
       0.742000       0.778125       0.002297
       0.744000       0.776485       0.002145
       0.746000       0.780850       0.002214
       0.748000       0.775845       0.002203
       0.750500       0.776262       0.001916
       0.753500       0.779012       0.002037
       0.756500       0.778617       0.001931
       0.759500       0.780003       0.001953
       0.762500       0.775163       0.001724
       0.765500       0.781183       0.002149
       0.768500       0.779847       0.002243
       0.771500       0.777545       0.002045
       0.774500       0.777967       0.002006
       0.777500       0.781552       0.001852
       0.781000       0.776884       0.002168
       0.785000       0.776251       0.002127
       0.789000       0.778735       0.002261
       0.793000       0.775961       0.002267
       0.797000       0.778952       0.002289
       0.801500       0.777530       0.002244
       0.806500       0.780713       0.001827
       0.811500       0.776735       0.002345
       0.816500       0.777626       0.002222
       0.822000       0.776764       0.002135
       0.828000       0.780559       0.002456
       0.835000       0.776016       0.002421
       0.843000       0.776923       0.002438
       0.851000       0.767313       0.012076
       0.859000       0.770046       0.004262
       0.871000       0.772445       0.003345
       0.883000       0.769362       0.002917
       0.894000       0.771445       0.002883
       0.904000       0.763362       0.002603
       0.914000       0.772985       0.002604
       0.924000       0.776087       0.002603
       0.933000       0.770068       0.002608
       0.941000       0.768790       0.002605
       0.949000       0.751945       0.002599
       0.957000       0.764453       0.002609
       0.964000       0.755944       0.002617
       0.970000       0.756069       0.002608
       0.976000       0.756773       0.002611
       0.982000       0.758292       0.002613
       0.988000       0.754051       0.002608
       0.994000       0.758759       0.002608
       1.000000       0.760881       0.002610
       1.006000       0.756839       0.002607
       1.012000       0.762174       0.002609
       1.018000       0.761358       0.002617
       1.023500       0.763657       0.002627
       1.028500       0.758932       0.002616
       1.033500       0.765378       0.002620
       1.038500       0.761326       0.002618
       1.043500       0.760676       0.002614
       1.048500       0.759807       0.002618
       1.053500       0.758916       0.002617
       1.058500       0.761388       0.002621
       1.063500       0.758739       0.002623
       1.068500       0.757769       0.002620
       1.073500       0.764712       0.002616
       1.078500       0.758391       0.002619
       1.083500       0.762049       0.002616
       1.088500       0.762016       0.002620
       1.093500       0.756471       0.002619
       1.098500       0.759141       0.002620
       1.103500       0.758486       0.002619
       1.108500       0.759055       0.002616
       1.113500       0.757227       0.002616
       1.118500       0.757025       0.002617
       1.123500       0.754621       0.002618
       1.128500       0.751967       0.002614
       1.133500       0.749079       0.002622
       1.138500       0.748909       0.002621
       1.143500       0.739163       0.002623
       1.148500       0.745395       0.002618
       1.153500       0.740374       0.002625
       1.158500       0.734428       0.002620
       1.163500       0.736049       0.002626
       1.168500       0.728054       0.002619
       1.173500       0.733740       0.002620
       1.178500       0.729680       0.002625
       1.183500       0.730748       0.002628
       1.188500       0.727081       0.002631
       1.193500       0.729531       0.002618
       1.198500       0.732252       0.002622
       1.203500       0.734559       0.002619
       1.208500       0.730530       0.002620
       1.213500       0.732571       0.002623
       1.218500       0.729327       0.002618
       1.223500       0.734683       0.002621
       1.228500       0.730619       0.002620
       1.233500       0.727138       0.002621
       1.238500       0.728063       0.002618
       1.243500       0.734020       0.002622
       1.248500       0.726031       0.002621
       1.253500       0.728096       0.002623
       1.258500       0.731148       0.002627
       1.263500       0.724974       0.002620
       1.268500       0.729089       0.002626
       1.273500       0.727115       0.002625
       1.278500       0.725892       0.002620
       1.283500       0.724798       0.002627
       1.288500       0.726311       0.002620
       1.293500       0.723952       0.002621
       1.298500       0.720643       0.002620
       1.303500       0.716226       0.002620
       1.308500       0.712688       0.002618
       1.313500       0.716803       0.002624
       1.318500       0.718299       0.002623
       1.323500       0.711972       0.002625
       1.328500       0.704044       0.002623
       1.333500       0.701457       0.002623
       1.338500       0.700523       0.002625
       1.343500       0.695255       0.002621
       1.348500       0.688205       0.002629
       1.353500       0.683279       0.002624
       1.358500       0.680521       0.002636
       1.363500       0.681585       0.002632
       1.368500       0.671605       0.002631
       1.373500       0.662836       0.002630
       1.378500       0.643897       0.002629
       1.383500       0.589855       0.002626
       1.388500       0.483898       0.002617
       1.393500       0.507904       0.002624
       1.398500       0.547917       0.002627
       1.403500       0.529501       0.002626
       1.408500       0.518575       0.002619
       1.413500       0.510799       0.002624
       1.418500       0.502683       0.002618
       1.423500       0.497520       0.002616
       1.428500       0.490371       0.002621
       1.433500       0.488896       0.002622
       1.438500       0.490109       0.002623
       1.443500       0.490923       0.002627
       1.448500       0.494964       0.002625
       1.453500       0.496193       0.002626
       1.458500       0.496152       0.002625
       1.463500       0.499776       0.002628
       1.468500       0.498810       0.002628
       1.473500       0.505397       0.002631
       1.478500       0.509785       0.002634
       1.483500       0.513325       0.002632
       1.488500       0.509102       0.002636
       1.493500       0.520601       0.002632
       1.498500       0.517711       0.002645
       1.503500       0.525446       0.002646
       1.508500       0.526155       0.002639
       1.513500       0.530862       0.002640
       1.518500       0.533412       0.002647
       1.523500       0.536408       0.002645
       1.528500       0.543235       0.002640
       1.534000       0.545202       0.002641
       1.540000       0.551016       0.002639
       1.546000       0.549825       0.002640
       1.552000       0.555529       0.002641
       1.558000       0.555872       0.002643
       1.564000       0.557525       0.002640
       1.570500       0.563720       0.002639
       1.577500       0.559450       0.002640
       1.584500       0.562163       0.002641
       1.591500       0.563906       0.002640
       1.598500       0.560722       0.002644
       1.605500       0.560345       0.002638
       1.612500       0.562080       0.002643
       1.619500       0.549297       0.002644
       1.626500       0.554888       0.002645
       1.633500       0.556472       0.002644
       1.640500       0.555386       0.002648
       1.647500       0.551045       0.002646
       1.654500       0.541257       0.002647
       1.661500       0.545191       0.002654
       1.668500       0.540597       0.002644
       1.676000       0.539144       0.002647
       1.684000       0.513007       0.002654
       1.692000       0.518452       0.002722
       1.700000       0.523294       0.002662
       1.708000       0.514949       0.002654
       1.716000       0.500223       0.002648
       1.724000       0.505809       0.002653
       1.732000       0.512653       0.002663
       1.740000       0.514392       0.003055
       1.748000       0.513285       0.002991
       1.756000       0.525781       0.002738
       1.764000       0.524835       0.002660
       1.772000       0.524034       0.002659
       1.780000       0.526886       0.002667
       1.788000       0.521163       0.002659
       1.796000       0.524721       0.002654
       1.805000       0.523103       0.002652
       1.815000       0.523267       0.002649
       1.825000       0.530574       0.002650
       1.835000       0.525654       0.002652
       1.845000       0.521276       0.002648
       1.855000       0.513367       0.002642
       1.865000       0.496741       0.002642
       1.875000       0.471047       0.002640
       1.885000       0.428622       0.002639
       1.895000       0.364093       0.002637
       1.905000       0.304065       0.002638
       1.915000       0.268758       0.002635
       1.925000       0.254792       0.002634
       1.935000       0.261033       0.002635
       1.945000       0.272365       0.002635
       1.955000       0.283285       0.002639
       1.965000       0.272020       0.002639
       1.975000       0.277888       0.002639
       1.985000       0.286092       0.002664
       1.995000       0.296586       0.002636
       2.005000       0.304047       0.002659
       2.015000       0.312399       0.002780
       2.025000       0.322078       0.002689
       2.035000       0.330635       0.002880
       2.045000       0.342782       0.002913
       2.055000       0.344389       0.002953
       2.065000       0.354801       0.002910
       2.075000       0.357822       0.002924
       2.085000       0.369761       0.002993
       2.095000       0.373092       0.003705
       2.105000       0.384062       0.003171
       2.115000       0.390443       0.003665
       2.125000       0.396270       0.003486
       2.135000       0.408040       0.003338
       2.145000       0.412539       0.002966
       2.155000       0.405153       0.002625
       2.165000       0.409692       0.002734
       2.175000       0.426634       0.003363
       2.185000       0.431467       0.003388
       2.195000       0.433868       0.003756
       2.205000       0.441499       0.004616
       2.215000       0.424061       0.005192
       2.225000       0.418652       0.005895
       2.235000       0.407273       0.006503
       2.245000       0.375237       0.007227
       2.255000       0.420929       0.008642
       2.265000       0.405373       0.010120
       2.275000       0.393331       0.012613
       2.285000       0.340338       0.018189
       2.295000       0.318000       0.022082
       2.305000       0.310000       0.019595
       2.315000       0.286655       0.013687
       2.325000       0.279345       0.006889
       2.335000       0.288680       0.003805
       2.345000       0.298851       0.003066
