USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Alunite_NH4+Jaro NMNH145596A W1R1Fb AREF
copy of sprlf02a r 872                                      
       0.350000       0.107387       0.000000
       0.351000       0.108821       0.000000
       0.352000       0.108998       0.000000
       0.353000       0.109282       0.000000
       0.354000       0.109886       0.000000
       0.355000       0.110846       0.000000
       0.356000       0.113096       0.000000
       0.357000       0.113982       0.000000
       0.358000       0.114523       0.000000
       0.359000       0.116677       0.000000
       0.360000       0.118401       0.000000
       0.361000       0.120086       0.000000
       0.362000       0.121978       0.000000
       0.363000       0.124015       0.000000
       0.364000       0.125841       0.000000
       0.365000       0.127435       0.000000
       0.366000       0.128918       0.000000
       0.367000       0.130488       0.000000
       0.368000       0.132210       0.000000
       0.369000       0.134446       0.000000
       0.370000       0.136527       0.000000
       0.371000       0.138416       0.000000
       0.372000       0.140053       0.000000
       0.373000       0.142014       0.000000
       0.374000       0.143965       0.000000
       0.375000       0.145861       0.000000
       0.376000       0.147941       0.000000
       0.377000       0.149981       0.000000
       0.378000       0.151952       0.000000
       0.379000       0.153720       0.000000
       0.380000       0.156383       0.000000
       0.381000       0.159096       0.000000
       0.382000       0.161199       0.000000
       0.383000       0.163945       0.000000
       0.384000       0.166789       0.000000
       0.385000       0.169644       0.000000
       0.386000       0.173212       0.000000
       0.387000       0.176682       0.000000
       0.388000       0.180229       0.000000
       0.389000       0.184812       0.000000
       0.390000       0.188602       0.000000
       0.391000       0.192398       0.000000
       0.392000       0.197044       0.000000
       0.393000       0.202095       0.000000
       0.394000       0.207026       0.000000
       0.395000       0.211725       0.000000
       0.396000       0.216991       0.000000
       0.397000       0.222260       0.000000
       0.398000       0.227590       0.000000
       0.399000       0.233532       0.000000
       0.400000       0.239140       0.000000
       0.401000       0.244651       0.000000
       0.402000       0.250450       0.000000
       0.403000       0.256040       0.000000
       0.404000       0.261625       0.000000
       0.405000       0.267295       0.000000
       0.406000       0.272709       0.000000
       0.407000       0.277677       0.000000
       0.408000       0.282295       0.000000
       0.409000       0.287062       0.000000
       0.410000       0.291413       0.000000
       0.411000       0.295412       0.000000
       0.412000       0.299074       0.000000
       0.413000       0.302290       0.000000
       0.414000       0.305081       0.000000
       0.415000       0.307430       0.000000
       0.416000       0.309610       0.000000
       0.417000       0.311329       0.000000
       0.418000       0.312618       0.000000
       0.419000       0.313515       0.000000
       0.420000       0.313921       0.000000
       0.421000       0.314022       0.000000
       0.422000       0.313900       0.000000
       0.423000       0.313262       0.000000
       0.424000       0.312409       0.000000
       0.425000       0.311401       0.000000
       0.426000       0.309772       0.000000
       0.427000       0.307912       0.000000
       0.428000       0.305866       0.000000
       0.429000       0.303656       0.000000
       0.430000       0.301546       0.000000
       0.431000       0.299542       0.000000
       0.432000       0.297660       0.000000
       0.433000       0.296238       0.000000
       0.434000       0.295236       0.000000
       0.435000       0.294757       0.000000
       0.436000       0.295115       0.000000
       0.437000       0.296075       0.000000
       0.438000       0.297615       0.000000
       0.439000       0.300012       0.000000
       0.440000       0.302849       0.000000
       0.441000       0.306048       0.000000
       0.442000       0.309741       0.000000
       0.443000       0.313587       0.000000
       0.444000       0.317523       0.000000
       0.445000       0.321588       0.000000
       0.446000       0.325745       0.000000
       0.447000       0.329889       0.000000
       0.448000       0.334018       0.000000
       0.449000       0.338328       0.000000
       0.450000       0.342502       0.000000
       0.451000       0.346600       0.000000
       0.452000       0.350777       0.000000
       0.453000       0.354874       0.000000
       0.454000       0.358861       0.000000
       0.455000       0.362696       0.000000
       0.456000       0.366445       0.000000
       0.457000       0.370036       0.000000
       0.458000       0.373446       0.000000
       0.459000       0.376711       0.000000
       0.460000       0.379827       0.000000
       0.461000       0.382812       0.000000
       0.462000       0.385683       0.000000
       0.463000       0.388435       0.000000
       0.464000       0.391055       0.000000
       0.465000       0.393485       0.000000
       0.466000       0.395799       0.000000
       0.467000       0.398054       0.000000
       0.468000       0.400260       0.000000
       0.469000       0.402444       0.000000
       0.470000       0.404552       0.000000
       0.471000       0.406585       0.000000
       0.472000       0.408523       0.000000
       0.473000       0.410441       0.000000
       0.474000       0.412348       0.000000
       0.475000       0.414258       0.000000
       0.476000       0.416118       0.000000
       0.477000       0.417982       0.000000
       0.478000       0.419869       0.000000
       0.479000       0.421723       0.000000
       0.480000       0.423547       0.000000
       0.481000       0.425347       0.000000
       0.482000       0.427150       0.000000
       0.483000       0.428925       0.000000
       0.484000       0.430679       0.000000
       0.485000       0.432435       0.000000
       0.486000       0.434176       0.000000
       0.487000       0.435893       0.000000
       0.488000       0.437584       0.000000
       0.489000       0.439245       0.000000
       0.490000       0.440892       0.000000
       0.491000       0.442518       0.000000
       0.492000       0.444103       0.000000
       0.493000       0.445675       0.000000
       0.494000       0.447235       0.000000
       0.495000       0.448797       0.000000
       0.496000       0.450324       0.000000
       0.497000       0.451798       0.000000
       0.498000       0.453208       0.000000
       0.499000       0.454667       0.000000
       0.500000       0.456133       0.000000
       0.501000       0.457590       0.000000
       0.502000       0.458953       0.000000
       0.503000       0.460306       0.000000
       0.504000       0.461647       0.000000
       0.505000       0.462986       0.000000
       0.506000       0.464274       0.000000
       0.507000       0.465545       0.000000
       0.508000       0.466821       0.000000
       0.509000       0.468039       0.000000
       0.510000       0.469265       0.000000
       0.511000       0.470499       0.000000
       0.512000       0.471710       0.000000
       0.513000       0.472892       0.000000
       0.514000       0.474042       0.000000
       0.515000       0.475155       0.000000
       0.516000       0.476260       0.000000
       0.517000       0.477376       0.000000
       0.518000       0.478534       0.000000
       0.519000       0.479698       0.000000
       0.520000       0.480806       0.000000
       0.521000       0.481860       0.000000
       0.522000       0.483000       0.000000
       0.523000       0.484105       0.000000
       0.524000       0.485182       0.000000
       0.525000       0.486250       0.000000
       0.526000       0.487355       0.000000
       0.527000       0.488446       0.000000
       0.528000       0.489495       0.000000
       0.529000       0.490596       0.000000
       0.530000       0.491694       0.000000
       0.531000       0.492785       0.000000
       0.532000       0.493905       0.000000
       0.533000       0.495020       0.000000
       0.534000       0.496123       0.000000
       0.535000       0.497219       0.000000
       0.536000       0.498352       0.000000
       0.537000       0.499490       0.000000
       0.538000       0.500632       0.000000
       0.539000       0.501788       0.000000
       0.540000       0.502942       0.000000
       0.541000       0.504094       0.000000
       0.542000       0.505275       0.000000
       0.543000       0.506457       0.000000
       0.544000       0.507639       0.000000
       0.545000       0.508827       0.000000
       0.546000       0.510014       0.000000
       0.547000       0.511203       0.000000
       0.548000       0.512415       0.000000
       0.549000       0.513610       0.000000
       0.550000       0.514803       0.000000
       0.551000       0.516004       0.000000
       0.552000       0.517205       0.000000
       0.553000       0.518391       0.000000
       0.554000       0.519564       0.000000
       0.555000       0.520741       0.000000
       0.556000       0.521919       0.000000
       0.557000       0.523091       0.000000
       0.558000       0.524261       0.000000
       0.559000       0.525366       0.000000
       0.560000       0.526465       0.000000
       0.561000       0.527575       0.000000
       0.562000       0.528629       0.000000
       0.563000       0.529673       0.000000
       0.564000       0.530703       0.000000
       0.565000       0.531696       0.000000
       0.566000       0.532667       0.000000
       0.567000       0.533616       0.000000
       0.568000       0.534534       0.000000
       0.569000       0.535412       0.000000
       0.570000       0.536266       0.000000
       0.571000       0.537099       0.000000
       0.572000       0.537850       0.000000
       0.573000       0.538586       0.000000
       0.574000       0.539309       0.000000
       0.575000       0.539985       0.000000
       0.576000       0.540599       0.000000
       0.577000       0.541173       0.000000
       0.578000       0.541713       0.000000
       0.579000       0.542195       0.000000
       0.580000       0.542662       0.000000
       0.581000       0.543130       0.000000
       0.582000       0.543492       0.000000
       0.583000       0.543855       0.000000
       0.584000       0.544221       0.000000
       0.585000       0.544524       0.000000
       0.586000       0.544797       0.000000
       0.587000       0.545041       0.000000
       0.588000       0.545241       0.000000
       0.589000       0.545442       0.000000
       0.590000       0.545619       0.000000
       0.591000       0.545748       0.000000
       0.592000       0.545835       0.000000
       0.593000       0.545916       0.000000
       0.594000       0.545995       0.000000
       0.595000       0.546095       0.000000
       0.596000       0.546218       0.000000
       0.597000       0.546342       0.000000
       0.598000       0.546412       0.000000
       0.599000       0.546507       0.000000
       0.600000       0.546629       0.000000
       0.601000       0.546789       0.000000
       0.602000       0.546962       0.000000
       0.603000       0.547107       0.000000
       0.604000       0.547220       0.000000
       0.605000       0.547343       0.000000
       0.606000       0.547486       0.000000
       0.607000       0.547644       0.000000
       0.608000       0.547809       0.000000
       0.609000       0.547959       0.000000
       0.610000       0.548116       0.000000
       0.611000       0.548299       0.000000
       0.612000       0.548481       0.000000
       0.613000       0.548674       0.000000
       0.614000       0.548879       0.000000
       0.615000       0.549059       0.000000
       0.616000       0.549256       0.000000
       0.617000       0.549465       0.000000
       0.618000       0.549676       0.000000
       0.619000       0.549886       0.000000
       0.620000       0.550106       0.000000
       0.621000       0.550346       0.000000
       0.622000       0.550579       0.000000
       0.623000       0.550864       0.000000
       0.624000       0.551216       0.000000
       0.625000       0.551624       0.000000
       0.626000       0.552061       0.000000
       0.627000       0.552524       0.000000
       0.628000       0.553017       0.000000
       0.629000       0.553540       0.000000
       0.630000       0.554072       0.000000
       0.631000       0.554600       0.000000
       0.632000       0.555140       0.000000
       0.633000       0.555659       0.000000
       0.634000       0.556149       0.000000
       0.635000       0.556646       0.000000
       0.636000       0.557113       0.000000
       0.637000       0.557558       0.000000
       0.638000       0.558023       0.000000
       0.639000       0.558535       0.000000
       0.640000       0.559087       0.000000
       0.641000       0.559690       0.000000
       0.642000       0.560393       0.000000
       0.643000       0.561131       0.000000
       0.644000       0.561895       0.000000
       0.645000       0.562730       0.000000
       0.646000       0.563593       0.000000
       0.647000       0.564479       0.000000
       0.648000       0.565363       0.000000
       0.649000       0.566185       0.000000
       0.650000       0.566971       0.000000
       0.651000       0.567735       0.000000
       0.652000       0.568489       0.000000
       0.653000       0.569254       0.000000
       0.654000       0.570039       0.000000
       0.655000       0.570889       0.000000
       0.656000       0.571762       0.000000
       0.657000       0.572658       0.000000
       0.658000       0.573624       0.000000
       0.659000       0.574687       0.000000
       0.660000       0.575814       0.000000
       0.661000       0.576989       0.000000
       0.662000       0.578247       0.000000
       0.663000       0.579539       0.000000
       0.664000       0.580856       0.000000
       0.665000       0.582223       0.000000
       0.666000       0.583569       0.000000
       0.667000       0.584886       0.000000
       0.668000       0.586159       0.000000
       0.669000       0.587445       0.000000
       0.670000       0.588745       0.000000
       0.671000       0.590072       0.000000
       0.672000       0.591384       0.000000
       0.673000       0.592673       0.000000
       0.674000       0.593933       0.000000
       0.675000       0.595177       0.000000
       0.676000       0.596449       0.000000
       0.677000       0.597755       0.000000
       0.678000       0.599082       0.000000
       0.679000       0.600405       0.000000
       0.680000       0.601716       0.000000
       0.681000       0.602992       0.000000
       0.682000       0.604292       0.000000
       0.683000       0.605618       0.000000
       0.684000       0.606986       0.000000
       0.685000       0.608379       0.000000
       0.686000       0.609758       0.000000
       0.687000       0.611118       0.000000
       0.688000       0.612420       0.000000
       0.689000       0.613620       0.000000
       0.690000       0.614736       0.000000
       0.691000       0.615771       0.000000
       0.692000       0.616751       0.000000
       0.693000       0.617687       0.000000
       0.694000       0.618569       0.000000
       0.695000       0.619421       0.000000
       0.696000       0.620291       0.000000
       0.697000       0.621192       0.000000
       0.698000       0.622207       0.000000
       0.699000       0.623310       0.000000
       0.700000       0.624477       0.000000
       0.701000       0.625673       0.000000
       0.702000       0.626833       0.000000
       0.703000       0.627943       0.000000
       0.704000       0.628969       0.000000
       0.705000       0.630011       0.000000
       0.706000       0.631070       0.000000
       0.707000       0.632148       0.000000
       0.708000       0.633286       0.000000
       0.709000       0.634410       0.000000
       0.710000       0.635510       0.000000
       0.711000       0.636526       0.000000
       0.712000       0.637463       0.000000
       0.713000       0.638331       0.000000
       0.714000       0.639104       0.000000
       0.715000       0.639806       0.000000
       0.716000       0.640532       0.000000
       0.717000       0.641311       0.000000
       0.718000       0.642078       0.000000
       0.719000       0.642831       0.000000
       0.720000       0.643579       0.000000
       0.721000       0.644377       0.000000
       0.722000       0.645165       0.000000
       0.723000       0.645934       0.000000
       0.724000       0.646658       0.000000
       0.725000       0.647327       0.000000
       0.726000       0.647942       0.000000
       0.727000       0.648491       0.000000
       0.728000       0.648979       0.000000
       0.729000       0.649463       0.000000
       0.730000       0.649937       0.000000
       0.731000       0.650351       0.000000
       0.732000       0.650716       0.000000
       0.733000       0.651060       0.000000
       0.734000       0.651409       0.000000
       0.735000       0.651719       0.000000
       0.736000       0.652008       0.000000
       0.737000       0.652275       0.000000
       0.738000       0.652466       0.000000
       0.739000       0.652645       0.000000
       0.740000       0.652810       0.000000
       0.741000       0.652927       0.000000
       0.742000       0.653018       0.000000
       0.743000       0.653095       0.000000
       0.744000       0.653167       0.000000
       0.745000       0.653211       0.000000
       0.746000       0.653237       0.000000
       0.747000       0.653246       0.000000
       0.748000       0.653163       0.000000
       0.749000       0.653046       0.000000
       0.750000       0.652902       0.000000
       0.751000       0.652754       0.000000
       0.752000       0.652592       0.000000
       0.753000       0.652421       0.000000
       0.754000       0.652242       0.000000
       0.755000       0.652027       0.000000
       0.756000       0.651783       0.000000
       0.757000       0.651498       0.000000
       0.758000       0.651210       0.000000
       0.759000       0.650909       0.000000
       0.760000       0.650590       0.000000
       0.761000       0.650187       0.000000
       0.762000       0.649780       0.000000
       0.763000       0.649371       0.000000
       0.764000       0.648965       0.000000
       0.765000       0.648550       0.000000
       0.766000       0.648135       0.000000
       0.767000       0.647728       0.000000
       0.768000       0.647310       0.000000
       0.769000       0.646870       0.000000
       0.770000       0.646406       0.000000
       0.771000       0.645930       0.000000
       0.772000       0.645430       0.000000
       0.773000       0.644922       0.000000
       0.774000       0.644453       0.000000
       0.775000       0.643936       0.000000
       0.776000       0.643424       0.000000
       0.777000       0.642964       0.000000
       0.778000       0.642413       0.000000
       0.779000       0.641858       0.000000
       0.780000       0.641312       0.000000
       0.781000       0.640780       0.000000
       0.782000       0.640230       0.000000
       0.783000       0.639662       0.000000
       0.784000       0.639074       0.000000
       0.785000       0.638482       0.000000
       0.786000       0.637897       0.000000
       0.787000       0.637335       0.000000
       0.788000       0.636686       0.000000
       0.789000       0.636057       0.000000
       0.790000       0.635475       0.000000
       0.791000       0.634883       0.000000
       0.792000       0.634280       0.000000
       0.793000       0.633668       0.000000
       0.794000       0.633058       0.000000
       0.795000       0.632442       0.000000
       0.796000       0.631822       0.000000
       0.797000       0.631204       0.000000
       0.798000       0.630551       0.000000
       0.799000       0.629891       0.000000
       0.800000       0.629234       0.000000
       0.801000       0.628627       0.000000
       0.802000       0.628016       0.000000
       0.803000       0.627402       0.000000
       0.804000       0.626790       0.000000
       0.805000       0.626154       0.000000
