USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Calcite.33+Ca-mont.67 AMX19  W1R1Bb AREF
copy of splib05a r 7654                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600       0.282246       0.000000
       0.258600       0.287874       0.000000
       0.263600       0.287540       0.000000
       0.268600       0.294843       0.000000
       0.273100       0.297651       0.000000
       0.277100       0.309270       0.000000
       0.281100       0.315846       0.000000
       0.285100       0.326890       0.000000
       0.289100       0.340144       0.000000
       0.293100       0.353922       0.000000
       0.297100       0.372368       0.000000
       0.301100       0.397020       0.000000
       0.305100       0.421454       0.000000
       0.309100       0.439227       0.000000
       0.313100       0.466714       0.000000
       0.317100       0.485026       0.000000
       0.321100       0.505249       0.000000
       0.325100       0.526453       0.000000
       0.329100       0.544685       0.000000
       0.333100       0.557619       0.000000
       0.337100       0.571622       0.000000
       0.341100       0.581604       0.000000
       0.345100       0.589336       0.000000
       0.349100       0.598237       0.000000
       0.353100       0.604366       0.000000
       0.357100       0.607179       0.000000
       0.360600       0.615619       0.000000
       0.363600       0.612642       0.000000
       0.366600       0.615039       0.000000
       0.369600       0.615691       0.000000
       0.372600       0.622070       0.000000
       0.375600       0.621253       0.000000
       0.378600       0.625885       0.000000
       0.381100       0.628397       0.000000
       0.383100       0.631217       0.000000
       0.385100       0.633675       0.000000
       0.387100       0.640032       0.000000
       0.389100       0.641976       0.000000
       0.391100       0.646103       0.000000
       0.393100       0.646209       0.000000
       0.395100       0.648683       0.000000
       0.397100       0.650047       0.000000
       0.399100       0.651049       0.000000
       0.401100       0.654895       0.000000
       0.403100       0.658846       0.000000
       0.405100       0.658317       0.000000
       0.407100       0.659222       0.000000
       0.409100       0.664973       0.000000
       0.411100       0.668049       0.000000
       0.412800       0.668318       0.000000
       0.415800       0.670020       0.000000
       0.418800       0.673654       0.000000
       0.421800       0.677018       0.000000
       0.424800       0.677170       0.000000
       0.427800       0.679555       0.000000
       0.430800       0.683511       0.000000
       0.433800       0.683707       0.000000
       0.436800       0.687933       0.000000
       0.439800       0.690863       0.000000
       0.442800       0.691186       0.000000
       0.445800       0.697147       0.000000
       0.448800       0.703809       0.000000
       0.451300       0.706280       0.000000
       0.453300       0.704952       0.000000
       0.455300       0.705832       0.000000
       0.457300       0.710759       0.000000
       0.459300       0.709973       0.000000
       0.461300       0.708649       0.000000
       0.463300       0.713754       0.000000
       0.465300       0.716386       0.000000
       0.467300       0.715462       0.000000
       0.469300       0.718670       0.000000
       0.471300       0.719065       0.000000
       0.473300       0.719224       0.000000
       0.475300       0.721976       0.000000
       0.477300       0.722193       0.000000
       0.479300       0.723806       0.000000
       0.481300       0.723945       0.000000
       0.483300       0.729921       0.000000
       0.485300       0.730397       0.000000
       0.487300       0.730839       0.000000
       0.489300       0.728878       0.000000
       0.491300       0.730364       0.000000
       0.493300       0.731742       0.000000
       0.495300       0.735314       0.000000
       0.497300       0.738941       0.000000
       0.499300       0.738470       0.000000
       0.501300       0.736923       0.000000
       0.503300       0.739875       0.000000
       0.505300       0.740051       0.000000
       0.507300       0.744090       0.000000
       0.509300       0.745688       0.000000
       0.511300       0.744560       0.000000
       0.513300       0.745850       0.000000
       0.515300       0.748555       0.000000
       0.517300       0.745317       0.000000
       0.519300       0.748157       0.000000
       0.521300       0.751323       0.000000
       0.523300       0.749706       0.000000
       0.525300       0.754812       0.000000
       0.527300       0.751532       0.000000
       0.529300       0.757262       0.000000
       0.531300       0.755853       0.000000
       0.533300       0.757355       0.000000
       0.535300       0.758178       0.000000
       0.537300       0.758785       0.000000
       0.539300       0.761109       0.000000
       0.541300       0.762369       0.000000
       0.543300       0.764278       0.000000
       0.545300       0.765256       0.000000
       0.547300       0.767469       0.000000
       0.549300       0.767591       0.000000
       0.551300       0.768926       0.000000
       0.553300       0.769949       0.000000
       0.555300       0.772822       0.000000
       0.557300       0.775121       0.000000
       0.559300       0.774481       0.000000
       0.561300       0.778375       0.000000
       0.563300       0.777251       0.000000
       0.565300       0.779402       0.000000
       0.567300       0.780187       0.000000
       0.569300       0.780659       0.000000
       0.571300       0.782239       0.000000
       0.573300       0.786321       0.000000
       0.575300       0.789529       0.000000
       0.577300       0.785155       0.000000
       0.579300       0.792613       0.000000
       0.581300       0.786562       0.000000
       0.583300       0.787076       0.000000
       0.585300       0.790472       0.000000
       0.587300       0.791046       0.000000
       0.589300       0.791433       0.000000
       0.591300       0.794788       0.000000
       0.593300       0.795146       0.000000
       0.595300       0.796284       0.000000
       0.597300       0.792905       0.000000
       0.599300       0.794240       0.000000
       0.601100       0.795030       0.000000
       0.602700       0.797103       0.000000
       0.604300       0.791859       0.000000
       0.605900       0.799481       0.000000
       0.607500       0.800695       0.000000
       0.609100       0.802120       0.000000
       0.610700       0.802597       0.000000
       0.612300       0.799794       0.000000
       0.613900       0.801192       0.000000
       0.615500       0.798250       0.000000
       0.617100       0.799499       0.000000
       0.618700       0.801673       0.000000
       0.620300       0.801404       0.000000
       0.621900       0.802292       0.000000
       0.623500       0.803430       0.000000
       0.625100       0.804617       0.000000
       0.626700       0.806163       0.000000
       0.628300       0.802022       0.000000
       0.629900       0.804528       0.000000
       0.631700       0.806355       0.000000
       0.633700       0.807173       0.000000
       0.635700       0.810975       0.000000
       0.637700       0.808914       0.000000
       0.639700       0.808654       0.000000
       0.641700       0.808152       0.000000
       0.643700       0.809537       0.000000
       0.645700       0.810752       0.000000
       0.647700       0.809635       0.000000
       0.649700       0.812670       0.000000
       0.651700       0.814099       0.000000
       0.653700       0.815856       0.000000
       0.655700       0.809850       0.000000
       0.657700       0.816622       0.000000
       0.659700       0.815967       0.000000
       0.661700       0.818713       0.000000
       0.663700       0.820079       0.000000
       0.665700       0.817508       0.000000
       0.667700       0.811441       0.000000
       0.670200       0.815593       0.000000
       0.673200       0.816934       0.000000
       0.676200       0.820654       0.000000
       0.679200       0.822491       0.000000
       0.682200       0.822197       0.000000
       0.685200       0.822251       0.000000
       0.688200       0.819303       0.000000
       0.691200       0.818960       0.000000
       0.694200       0.817608       0.000000
       0.697200       0.821457       0.000000
       0.700200       0.820113       0.000000
       0.702000       0.825134       0.000000
       0.704000       0.826178       0.000000
       0.706000       0.821339       0.000000
       0.708000       0.821297       0.000000
       0.710000       0.824758       0.000000
       0.712000       0.823391       0.000000
       0.714000       0.824521       0.000000
       0.716000       0.823612       0.000000
       0.718000       0.821831       0.000000
       0.720000       0.824840       0.000000
       0.722000       0.829368       0.000000
       0.724000       0.826832       0.000000
       0.726000       0.830684       0.000000
       0.728000       0.827645       0.000000
       0.730000       0.828949       0.000000
       0.732000       0.828263       0.000000
       0.734000       0.828306       0.000000
       0.736000       0.830685       0.000000
       0.738000       0.827948       0.000000
       0.740000       0.832672       0.000000
       0.742000       0.831148       0.000000
       0.744000       0.830741       0.000000
       0.746000       0.830268       0.000000
       0.748000       0.831563       0.000000
       0.750500       0.830027       0.000000
       0.753500       0.835063       0.000000
       0.756500       0.835944       0.000000
       0.759500       0.832805       0.000000
       0.762500       0.837352       0.000000
       0.765500       0.834263       0.000000
       0.768500       0.833243       0.000000
       0.771500       0.834705       0.000000
       0.774500       0.839487       0.000000
       0.777500       0.837947       0.000000
       0.781000       0.841464       0.000000
       0.785000       0.835825       0.000000
       0.789000       0.840153       0.000000
       0.793000       0.837035       0.000000
       0.797000       0.842767       0.000000
       0.801500       0.840934       0.000000
       0.806500       0.841319       0.000000
       0.811500       0.843080       0.000000
       0.816500       0.840901       0.000000
       0.822000       0.840269       0.000000
       0.828000       0.846369       0.000000
       0.835000       0.847385       0.000000
       0.843000       0.843820       0.000000
       0.851000       0.843032       0.000000
       0.859000       0.845104       0.000000
       0.871000       0.846030       0.000000
       0.883000       0.840219       0.000000
       0.894000       0.844102       0.000000
       0.904000       0.845470       0.000000
       0.914000       0.842937       0.000000
       0.924000       0.841502       0.000000
       0.933000       0.838957       0.000000
       0.941000       0.841494       0.000000
       0.949000       0.841151       0.000000
       0.957000       0.837333       0.000000
       0.964000       0.837611       0.000000
       0.970000       0.837317       0.000000
       0.976000       0.839857       0.000000
       0.982000       0.841662       0.000000
       0.988000       0.844261       0.000000
       0.994000       0.844201       0.000000
       1.000000       0.844818       0.000000
       1.006000       0.850719       0.000000
       1.012000       0.849780       0.000000
       1.018000       0.851895       0.000000
       1.023500       0.850898       0.000000
       1.028500       0.851116       0.000000
       1.033500       0.851096       0.000000
       1.038500       0.852671       0.000000
       1.043500       0.851537       0.000000
       1.048500       0.851879       0.000000
       1.053500       0.853494       0.000000
       1.058500       0.854848       0.000000
       1.063500       0.855730       0.000000
       1.068500       0.853273       0.000000
       1.073500       0.855414       0.000000
       1.078500       0.854258       0.000000
       1.083500       0.855050       0.000000
       1.088500       0.854056       0.000000
       1.093500       0.856306       0.000000
       1.098500       0.855346       0.000000
       1.103500       0.856517       0.000000
       1.108500       0.854842       0.000000
       1.113500       0.853987       0.000000
       1.118500       0.854961       0.000000
       1.123500       0.856138       0.000000
       1.128500       0.855441       0.000000
       1.133500       0.853960       0.000000
       1.138500       0.851127       0.000000
       1.143500       0.849742       0.000000
       1.148500       0.839568       0.000000
       1.153500       0.839261       0.000000
       1.158500       0.838034       0.000000
       1.163500       0.841869       0.000000
       1.168500       0.842410       0.000000
       1.173500       0.845472       0.000000
       1.178500       0.845228       0.000000
       1.183500       0.844087       0.000000
       1.188500       0.847342       0.000000
       1.193500       0.845725       0.000000
       1.198500       0.847038       0.000000
       1.203500       0.849085       0.000000
       1.208500       0.849013       0.000000
       1.213500       0.848000       0.000000
       1.218500       0.850865       0.000000
       1.223500       0.850134       0.000000
       1.228500       0.849644       0.000000
       1.233500       0.849802       0.000000
       1.238500       0.850830       0.000000
       1.243500       0.850427       0.000000
       1.248500       0.851877       0.000000
       1.253500       0.852623       0.000000
       1.258500       0.849649       0.000000
       1.263500       0.849504       0.000000
       1.268500       0.849526       0.000000
       1.273500       0.852676       0.000000
       1.278500       0.850074       0.000000
       1.283500       0.849623       0.000000
       1.288500       0.847580       0.000000
       1.293500       0.846175       0.000000
       1.298500       0.844433       0.000000
       1.303500       0.843302       0.000000
       1.308500       0.841057       0.000000
       1.313500       0.839478       0.000000
       1.318500       0.837295       0.000000
       1.323500       0.835467       0.000000
       1.328500       0.833552       0.000000
       1.333500       0.828612       0.000000
       1.338500       0.827023       0.000000
       1.343500       0.824217       0.000000
       1.348500       0.820040       0.000000
       1.353500       0.816838       0.000000
       1.358500       0.816243       0.000000
       1.363500       0.807694       0.000000
       1.368500       0.804356       0.000000
       1.373500       0.797631       0.000000
       1.378500       0.782646       0.000000
       1.383500       0.765917       0.000000
       1.388500       0.749850       0.000000
       1.393500       0.719462       0.000000
       1.398500       0.689999       0.000000
       1.403500       0.670604       0.000000
       1.408500       0.652811       0.000000
       1.413500       0.640234       0.000000
       1.418500       0.636473       0.000000
       1.423500       0.649100       0.000000
       1.428500       0.664461       0.000000
       1.433500       0.676714       0.000000
       1.438500       0.686740       0.000000
       1.443500       0.694134       0.000000
       1.448500       0.701284       0.000000
       1.453500       0.702622       0.000000
       1.458500       0.700357       0.000000
       1.463500       0.701977       0.000000
       1.468500       0.707916       0.000000
       1.473500       0.714106       0.000000
       1.478500       0.721102       0.000000
       1.483500       0.729278       0.000000
       1.488500       0.735268       0.000000
       1.493500       0.743904       0.000000
       1.498500       0.746753       0.000000
       1.503500       0.752642       0.000000
       1.508500       0.755209       0.000000
       1.513500       0.758893       0.000000
       1.518500       0.763031       0.000000
       1.523500       0.766857       0.000000
       1.528500       0.772661       0.000000
       1.534000       0.775294       0.000000
       1.540000       0.776380       0.000000
       1.546000       0.782677       0.000000
       1.552000       0.788628       0.000000
       1.558000       0.787560       0.000000
       1.564000       0.788310       0.000000
       1.570500       0.791387       0.000000
       1.577500       0.793551       0.000000
       1.584500       0.796934       0.000000
       1.591500       0.801556       0.000000
       1.598500       0.802375       0.000000
       1.605500       0.802124       0.000000
       1.612500       0.802906       0.000000
       1.619500       0.805584       0.000000
       1.626500       0.807122       0.000000
       1.633500       0.805969       0.000000
       1.640500       0.808744       0.000000
       1.647500       0.809577       0.000000
       1.654500       0.810254       0.000000
       1.661500       0.809270       0.000000
       1.668500       0.810630       0.000000
       1.676000       0.809377       0.000000
       1.684000       0.808889       0.000000
       1.692000       0.806413       0.000000
       1.700000       0.805346       0.000000
       1.708000       0.806109       0.000000
       1.716000       0.799083       0.000000
       1.724000       0.796791       0.000000
       1.732000       0.795438       0.000000
       1.740000       0.790925       0.000000
       1.748000       0.786826       0.000000
       1.756000       0.782575       0.000000
       1.764000       0.779317       0.000000
       1.772000       0.782205       0.000000
       1.780000       0.776546       0.000000
       1.788000       0.772903       0.000000
       1.796000       0.770570       0.000000
       1.805000       0.767909       0.000000
       1.815000       0.765158       0.000000
       1.825000       0.762328       0.000000
       1.835000       0.755864       0.000000
       1.845000       0.745420       0.000000
       1.855000       0.731525       0.000000
       1.865000       0.707021       0.000000
       1.875000       0.656298       0.000000
       1.885000       0.606322       0.000000
       1.895000       0.541724       0.000000
       1.905000       0.486994       0.000000
       1.915000       0.483699       0.000000
       1.925000       0.508301       0.000000
       1.935000       0.528798       0.000000
       1.945000       0.541572       0.000000
       1.955000       0.547389       0.000000
       1.965000       0.552453       0.000000
       1.975000       0.561422       0.000000
       1.985000       0.570628       0.000000
       1.995000       0.574226       0.000000
       2.005000       0.592473       0.000000
       2.015000       0.612728       0.000000
       2.025000       0.634247       0.000000
       2.035000       0.647503       0.000000
       2.045000       0.656928       0.000000
       2.055000       0.662937       0.000000
       2.065000       0.669009       0.000000
       2.075000       0.672043       0.000000
       2.085000       0.677032       0.000000
       2.095000       0.676349       0.000000
       2.105000       0.678049       0.000000
       2.115000       0.680862       0.000000
       2.125000       0.681886       0.000000
       2.135000       0.682270       0.000000
       2.145000       0.678128       0.000000
       2.155000       0.674213       0.000000
       2.165000       0.671793       0.000000
       2.175000       0.673221       0.000000
       2.185000       0.666165       0.000000
       2.195000       0.645197       0.000000
       2.205000       0.604428       0.000000
       2.215000       0.578112       0.000000
       2.225000       0.588887       0.000000
       2.235000       0.597609       0.000000
       2.245000       0.603029       0.000000
       2.255000       0.607369       0.000000
       2.265000       0.600349       0.000000
       2.275000       0.588518       0.000000
       2.285000       0.568065       0.000000
       2.295000       0.547959       0.000000
       2.305000       0.537537       0.000000
       2.315000       0.519552       0.000000
       2.325000       0.504255       0.000000
