USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Chlorite+Muscovite CU93-65A  W1R1Ba AREF
copy of splib05a r 7906                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600      -1.23e34       -1.23e34 
       0.268600      -1.23e34       -1.23e34 
       0.273100      -1.23e34       -1.23e34 
       0.277100      -1.23e34       -1.23e34 
       0.281100      -1.23e34       -1.23e34 
       0.285100      -1.23e34       -1.23e34 
       0.289100      -1.23e34       -1.23e34 
       0.293100      -1.23e34       -1.23e34 
       0.297100      -1.23e34       -1.23e34 
       0.301100       0.050414       0.000000
       0.305100       0.052096       0.000000
       0.309100       0.053607       0.000000
       0.313100       0.054724       0.000000
       0.317100       0.055969       0.000000
       0.321100       0.057001       0.000000
       0.325100       0.058486       0.000000
       0.329100       0.058129       0.000000
       0.333100       0.059114       0.000000
       0.337100       0.059888       0.000000
       0.341100       0.060415       0.000000
       0.345100       0.061056       0.000000
       0.349100       0.061563       0.000000
       0.353100       0.062276       0.000000
       0.357100       0.062958       0.000000
       0.360600       0.063406       0.000000
       0.363600       0.063722       0.000000
       0.366600       0.064191       0.000000
       0.369600       0.064974       0.000000
       0.372600       0.065534       0.000000
       0.375600       0.066268       0.000000
       0.378600       0.066797       0.000000
       0.381100       0.067974       0.000000
       0.383100       0.067697       0.000000
       0.385100       0.068402       0.000000
       0.387100       0.069087       0.000000
       0.389100       0.070135       0.000000
       0.391100       0.070395       0.000000
       0.393100       0.071557       0.000000
       0.395100       0.072045       0.000000
       0.397100       0.072966       0.000000
       0.399100       0.073350       0.000000
       0.401100       0.073768       0.000000
       0.403100       0.074707       0.000000
       0.405100       0.074852       0.000000
       0.407100       0.075363       0.000000
       0.409100       0.075614       0.000000
       0.411100       0.076384       0.000000
       0.412800       0.076835       0.000000
       0.415800       0.077180       0.000000
       0.418800       0.078410       0.000000
       0.421800       0.079318       0.000000
       0.424800       0.080473       0.000000
       0.427800       0.081666       0.000000
       0.430800       0.083039       0.000000
       0.433800       0.084385       0.000000
       0.436800       0.085822       0.000000
       0.439800       0.087372       0.000000
       0.442800       0.088838       0.000000
       0.445800       0.089476       0.000000
       0.448800       0.090459       0.000000
       0.451300       0.091367       0.000000
       0.453300       0.092074       0.000000
       0.455300       0.091760       0.000000
       0.457300       0.091911       0.000000
       0.459300       0.093297       0.000000
       0.461300       0.092385       0.000000
       0.463300       0.092294       0.000000
       0.465300       0.092877       0.000000
       0.467300       0.093746       0.000000
       0.469300       0.093868       0.000000
       0.471300       0.094073       0.000000
       0.473300       0.094202       0.000000
       0.475300       0.094853       0.000000
       0.477300       0.095388       0.000000
       0.479300       0.095655       0.000000
       0.481300       0.096853       0.000000
       0.483300       0.096643       0.000000
       0.485300       0.098465       0.000000
       0.487300       0.098161       0.000000
       0.489300       0.098729       0.000000
       0.491300       0.100509       0.000000
       0.493300       0.100252       0.000000
       0.495300       0.101335       0.000000
       0.497300       0.102068       0.000000
       0.499300       0.102742       0.000000
       0.501300       0.103967       0.000000
       0.503300       0.105392       0.000000
       0.505300       0.106022       0.000000
       0.507300       0.107289       0.000000
       0.509300       0.108109       0.000000
       0.511300       0.109268       0.000000
       0.513300       0.110483       0.000000
       0.515300       0.110987       0.000000
       0.517300       0.112852       0.000000
       0.519300       0.112975       0.000000
       0.521300       0.114105       0.000000
       0.523300       0.115379       0.000000
       0.525300       0.115820       0.000000
       0.527300       0.116621       0.000000
       0.529300       0.118054       0.000000
       0.531300       0.119139       0.000000
       0.533300       0.119735       0.000000
       0.535300       0.120160       0.000000
       0.537300       0.121282       0.000000
       0.539300       0.122819       0.000000
       0.541300       0.123317       0.000000
       0.543300       0.124040       0.000000
       0.545300       0.124838       0.000000
       0.547300       0.125056       0.000000
       0.549300       0.125759       0.000000
       0.551300       0.126266       0.000000
       0.553300       0.127855       0.000000
       0.555300       0.127332       0.000000
       0.557300       0.127579       0.000000
       0.559300       0.128381       0.000000
       0.561300       0.129406       0.000000
       0.563300       0.128893       0.000000
       0.565300       0.130047       0.000000
       0.567300       0.129290       0.000000
       0.569300       0.129602       0.000000
       0.571300       0.129799       0.000000
       0.573300       0.129893       0.000000
       0.575300       0.129464       0.000000
       0.577300       0.129100       0.000000
       0.579300       0.129065       0.000000
       0.581300       0.129091       0.000000
       0.583300       0.128754       0.000000
       0.585300       0.128760       0.000000
       0.587300       0.128358       0.000000
       0.589300       0.127917       0.000000
       0.591300       0.128144       0.000000
       0.593300       0.127441       0.000000
       0.595300       0.127131       0.000000
       0.597300       0.126649       0.000000
       0.599300       0.126800       0.000000
       0.601100       0.126845       0.000000
       0.602700       0.126073       0.000000
       0.604300       0.125663       0.000000
       0.605900       0.125468       0.000000
       0.607500       0.124878       0.000000
       0.609100       0.124761       0.000000
       0.610700       0.124393       0.000000
       0.612300       0.123949       0.000000
       0.613900       0.123658       0.000000
       0.615500       0.123389       0.000000
       0.617100       0.123327       0.000000
       0.618700       0.122504       0.000000
       0.620300       0.122186       0.000000
       0.621900       0.122209       0.000000
       0.623500       0.121911       0.000000
       0.625100       0.121607       0.000000
       0.626700       0.120653       0.000000
       0.628300       0.120878       0.000000
       0.629900       0.119992       0.000000
       0.631700       0.120289       0.000000
       0.633700       0.119304       0.000000
       0.635700       0.118609       0.000000
       0.637700       0.118676       0.000000
       0.639700       0.118163       0.000000
       0.641700       0.117862       0.000000
       0.643700       0.117072       0.000000
       0.645700       0.117284       0.000000
       0.647700       0.116551       0.000000
       0.649700       0.116540       0.000000
       0.651700       0.116438       0.000000
       0.653700       0.115608       0.000000
       0.655700       0.115688       0.000000
       0.657700       0.115142       0.000000
       0.659700       0.115102       0.000000
       0.661700       0.114301       0.000000
       0.663700       0.114399       0.000000
       0.665700       0.113817       0.000000
       0.667700       0.113812       0.000000
       0.670200       0.113736       0.000000
       0.673200       0.113275       0.000000
       0.676200       0.112548       0.000000
       0.679200       0.112676       0.000000
       0.682200       0.111936       0.000000
       0.685200       0.111711       0.000000
       0.688200       0.111289       0.000000
       0.691200       0.111034       0.000000
       0.694200       0.111381       0.000000
       0.697200       0.111419       0.000000
       0.700200       0.110663       0.000000
       0.702000       0.110514       0.000000
       0.704000       0.110740       0.000000
       0.706000       0.110755       0.000000
       0.708000       0.110353       0.000000
       0.710000       0.110399       0.000000
       0.712000       0.110221       0.000000
       0.714000       0.110629       0.000000
       0.716000       0.110034       0.000000
       0.718000       0.110755       0.000000
       0.720000       0.110510       0.000000
       0.722000       0.110477       0.000000
       0.724000       0.110691       0.000000
       0.726000       0.110895       0.000000
       0.728000       0.110406       0.000000
       0.730000       0.111029       0.000000
       0.732000       0.110797       0.000000
       0.734000       0.111157       0.000000
       0.736000       0.111470       0.000000
       0.738000       0.110838       0.000000
       0.740000       0.111819       0.000000
       0.742000       0.111330       0.000000
       0.744000       0.111966       0.000000
       0.746000       0.111922       0.000000
       0.748000       0.111921       0.000000
       0.750500       0.112392       0.000000
       0.753500       0.112333       0.000000
       0.756500       0.112752       0.000000
       0.759500       0.113496       0.000000
       0.762500       0.113459       0.000000
       0.765500       0.114457       0.000000
       0.768500       0.114133       0.000000
       0.771500       0.114440       0.000000
       0.774500       0.115088       0.000000
       0.777500       0.115043       0.000000
       0.781000       0.115367       0.000000
       0.785000       0.115914       0.000000
       0.789000       0.116516       0.000000
       0.793000       0.116586       0.000000
       0.797000       0.116673       0.000000
       0.801500       0.116703       0.000000
       0.806500       0.116581       0.000000
       0.811500       0.116253       0.000000
       0.816500       0.116348       0.000000
       0.822000       0.115699       0.000000
       0.828000       0.115765       0.000000
       0.835000       0.114730       0.000000
       0.843000       0.114072       0.000000
       0.851000       0.113461       0.000000
       0.859000       0.112669       0.000000
       0.871000       0.111533       0.000000
       0.883000       0.109860       0.000000
       0.894000       0.108928       0.000000
       0.904000       0.108439       0.000000
       0.914000       0.108676       0.000000
       0.924000       0.108531       0.000000
       0.933000       0.110193       0.000000
       0.941000       0.109357       0.000000
       0.949000       0.109974       0.000000
       0.957000       0.111033       0.000000
       0.964000       0.111849       0.000000
       0.970000       0.111603       0.000000
       0.976000       0.113122       0.000000
       0.982000       0.113537       0.000000
       0.988000       0.113791       0.000000
       0.994000       0.114027       0.000000
       1.000000       0.113460       0.000000
       1.006000       0.113593       0.000000
       1.012000       0.113937       0.000000
       1.018000       0.114972       0.000000
       1.023500       0.113931       0.000000
       1.028500       0.113602       0.000000
       1.033500       0.115060       0.000000
       1.038500       0.115011       0.000000
       1.043500       0.114667       0.000000
       1.048500       0.114122       0.000000
       1.053500       0.113740       0.000000
       1.058500       0.113835       0.000000
       1.063500       0.114888       0.000000
       1.068500       0.114253       0.000000
       1.073500       0.115287       0.000000
       1.078500       0.114015       0.000000
       1.083500       0.113223       0.000000
       1.088500       0.115328       0.000000
       1.093500       0.114477       0.000000
       1.098500       0.113958       0.000000
       1.103500       0.115936       0.000000
       1.108500       0.115906       0.000000
       1.113500       0.116442       0.000000
       1.118500       0.115910       0.000000
       1.123500       0.116085       0.000000
       1.128500       0.117201       0.000000
       1.133500       0.116404       0.000000
       1.138500       0.116709       0.000000
       1.143500       0.117706       0.000000
       1.148500       0.117921       0.000000
       1.153500       0.119726       0.000000
       1.158500       0.119764       0.000000
       1.163500       0.120418       0.000000
       1.168500       0.121669       0.000000
       1.173500       0.122167       0.000000
       1.178500       0.122245       0.000000
       1.183500       0.124211       0.000000
       1.188500       0.124688       0.000000
       1.193500       0.126560       0.000000
       1.198500       0.125807       0.000000
       1.203500       0.128402       0.000000
       1.208500       0.128408       0.000000
       1.213500       0.129754       0.000000
       1.218500       0.131388       0.000000
       1.223500       0.132547       0.000000
       1.228500       0.134081       0.000000
       1.233500       0.134487       0.000000
       1.238500       0.135500       0.000000
       1.243500       0.136422       0.000000
       1.248500       0.138174       0.000000
       1.253500       0.140217       0.000000
       1.258500       0.141050       0.000000
       1.263500       0.143393       0.000000
       1.268500       0.144653       0.000000
       1.273500       0.145011       0.000000
       1.278500       0.147060       0.000000
       1.283500       0.149216       0.000000
       1.288500       0.149621       0.000000
       1.293500       0.150852       0.000000
       1.298500       0.151072       0.000000
       1.303500       0.152783       0.000000
       1.308500       0.155295       0.000000
       1.313500       0.156235       0.000000
       1.318500       0.158854       0.000000
       1.323500       0.159515       0.000000
       1.328500       0.161602       0.000000
       1.333500       0.161647       0.000000
       1.338500       0.165235       0.000000
       1.343500       0.165827       0.000000
       1.348500       0.167367       0.000000
       1.353500       0.169623       0.000000
       1.358500       0.170228       0.000000
       1.363500       0.171265       0.000000
       1.368500       0.173583       0.000000
       1.373500       0.175169       0.000000
       1.378500       0.175186       0.000000
       1.383500       0.176614       0.000000
       1.388500       0.174743       0.000000
       1.393500       0.168779       0.000000
       1.398500       0.158882       0.000000
       1.403500       0.149596       0.000000
       1.408500       0.143661       0.000000
       1.413500       0.142146       0.000000
       1.418500       0.154185       0.000000
       1.423500       0.169566       0.000000
       1.428500       0.178917       0.000000
       1.433500       0.185167       0.000000
       1.438500       0.187376       0.000000
       1.443500       0.189346       0.000000
       1.448500       0.191379       0.000000
       1.453500       0.192833       0.000000
       1.458500       0.194928       0.000000
       1.463500       0.197423       0.000000
       1.468500       0.198724       0.000000
       1.473500       0.201071       0.000000
       1.478500       0.201340       0.000000
       1.483500       0.202179       0.000000
       1.488500       0.205045       0.000000
       1.493500       0.205704       0.000000
       1.498500       0.207471       0.000000
       1.503500       0.208210       0.000000
       1.508500       0.208945       0.000000
       1.513500       0.210844       0.000000
       1.518500       0.212265       0.000000
       1.523500       0.213782       0.000000
       1.528500       0.214066       0.000000
       1.534000       0.215354       0.000000
       1.540000       0.215756       0.000000
       1.546000       0.219185       0.000000
       1.552000       0.220550       0.000000
       1.558000       0.222715       0.000000
       1.564000       0.224148       0.000000
       1.570500       0.226504       0.000000
       1.577500       0.228607       0.000000
       1.584500       0.231923       0.000000
       1.591500       0.234428       0.000000
       1.598500       0.236807       0.000000
       1.605500       0.238438       0.000000
       1.612500       0.241831       0.000000
       1.619500       0.245018       0.000000
       1.626500       0.247380       0.000000
       1.633500       0.248390       0.000000
       1.640500       0.251673       0.000000
       1.647500       0.254168       0.000000
       1.654500       0.256136       0.000000
       1.661500       0.260041       0.000000
       1.668500       0.261711       0.000000
       1.676000       0.264306       0.000000
       1.684000       0.266392       0.000000
       1.692000       0.269856       0.000000
       1.700000       0.272155       0.000000
       1.708000       0.276757       0.000000
       1.716000       0.277669       0.000000
       1.724000       0.279203       0.000000
       1.732000       0.281642       0.000000
       1.740000       0.283785       0.000000
       1.748000       0.285817       0.000000
       1.756000       0.288006       0.000000
       1.764000       0.289672       0.000000
       1.772000       0.291033       0.000000
       1.780000       0.294250       0.000000
       1.788000       0.294724       0.000000
       1.796000       0.296742       0.000000
       1.805000       0.297456       0.000000
       1.815000       0.296974       0.000000
       1.825000       0.298420       0.000000
       1.835000       0.298651       0.000000
       1.845000       0.300471       0.000000
       1.855000       0.301417       0.000000
       1.865000       0.298959       0.000000
       1.875000       0.295305       0.000000
       1.885000       0.287403       0.000000
       1.895000       0.274322       0.000000
       1.905000       0.255776       0.000000
       1.915000       0.253542       0.000000
       1.925000       0.257863       0.000000
       1.935000       0.263027       0.000000
       1.945000       0.264245       0.000000
       1.955000       0.263486       0.000000
       1.965000       0.265511       0.000000
       1.975000       0.265963       0.000000
       1.985000       0.264254       0.000000
       1.995000       0.261046       0.000000
       2.005000       0.261664       0.000000
       2.015000       0.264422       0.000000
       2.025000       0.269553       0.000000
       2.035000       0.275956       0.000000
       2.045000       0.280570       0.000000
       2.055000       0.281889       0.000000
       2.065000       0.282442       0.000000
       2.075000       0.281054       0.000000
       2.085000       0.278216       0.000000
       2.095000       0.271750       0.000000
       2.105000       0.265484       0.000000
       2.115000       0.260796       0.000000
       2.125000       0.257030       0.000000
       2.135000       0.258540       0.000000
       2.145000       0.254388       0.000000
       2.155000       0.243057       0.000000
       2.165000       0.219513       0.000000
       2.175000       0.185392       0.000000
       2.185000       0.151271       0.000000
       2.195000       0.130024       0.000000
       2.205000       0.138848       0.000000
       2.215000       0.170714       0.000000
       2.225000       0.193340       0.000000
       2.235000       0.195791       0.000000
       2.245000       0.187286       0.000000
       2.255000       0.172882       0.000000
       2.265000       0.171169       0.000000
       2.275000       0.180943       0.000000
       2.285000       0.191748       0.000000
