USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Dic.4+msc.3+gyp.2+jr.1 AMX20 W1R1Ba AREF
copy of splib05a r 8016                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100       0.247433       0.000000
       0.229100       0.253393       0.000000
       0.236100       0.255955       0.000000
       0.242100       0.259324       0.000000
       0.248100       0.263794       0.000000
       0.253600       0.267731       0.000000
       0.258600       0.271665       0.000000
       0.263600       0.272537       0.000000
       0.268600       0.276187       0.000000
       0.273100       0.278983       0.000000
       0.277100       0.282448       0.000000
       0.281100       0.288139       0.000000
       0.285100       0.294959       0.000000
       0.289100       0.301082       0.000000
       0.293100       0.309203       0.000000
       0.297100       0.316569       0.000000
       0.301100       0.329022       0.000000
       0.305100       0.341125       0.000000
       0.309100       0.354054       0.000000
       0.313100       0.364791       0.000000
       0.317100       0.376719       0.000000
       0.321100       0.387182       0.000000
       0.325100       0.397397       0.000000
       0.329100       0.406909       0.000000
       0.333100       0.415787       0.000000
       0.337100       0.424456       0.000000
       0.341100       0.433634       0.000000
       0.345100       0.442077       0.000000
       0.349100       0.451301       0.000000
       0.353100       0.461244       0.000000
       0.357100       0.471747       0.000000
       0.360600       0.481451       0.000000
       0.363600       0.489495       0.000000
       0.366600       0.497760       0.000000
       0.369600       0.504578       0.000000
       0.372600       0.514266       0.000000
       0.375600       0.521069       0.000000
       0.378600       0.528630       0.000000
       0.381100       0.535656       0.000000
       0.383100       0.540948       0.000000
       0.385100       0.544408       0.000000
       0.387100       0.549739       0.000000
       0.389100       0.554515       0.000000
       0.391100       0.559456       0.000000
       0.393100       0.564930       0.000000
       0.395100       0.570049       0.000000
       0.397100       0.574962       0.000000
       0.399100       0.580315       0.000000
       0.401100       0.585076       0.000000
       0.403100       0.589787       0.000000
       0.405100       0.594127       0.000000
       0.407100       0.598957       0.000000
       0.409100       0.602847       0.000000
       0.411100       0.606985       0.000000
       0.412800       0.611037       0.000000
       0.415800       0.613648       0.000000
       0.418800       0.618202       0.000000
       0.421800       0.621236       0.000000
       0.424800       0.625412       0.000000
       0.427800       0.627218       0.000000
       0.430800       0.628891       0.000000
       0.433800       0.630000       0.000000
       0.436800       0.632530       0.000000
       0.439800       0.637574       0.000000
       0.442800       0.639775       0.000000
       0.445800       0.644725       0.000000
       0.448800       0.650473       0.000000
       0.451300       0.654222       0.000000
       0.453300       0.657258       0.000000
       0.455300       0.660710       0.000000
       0.457300       0.663454       0.000000
       0.459300       0.665891       0.000000
       0.461300       0.666582       0.000000
       0.463300       0.669491       0.000000
       0.465300       0.671384       0.000000
       0.467300       0.673595       0.000000
       0.469300       0.674552       0.000000
       0.471300       0.676174       0.000000
       0.473300       0.678362       0.000000
       0.475300       0.678930       0.000000
       0.477300       0.681906       0.000000
       0.479300       0.684357       0.000000
       0.481300       0.685882       0.000000
       0.483300       0.689448       0.000000
       0.485300       0.690717       0.000000
       0.487300       0.691279       0.000000
       0.489300       0.695201       0.000000
       0.491300       0.697220       0.000000
       0.493300       0.698838       0.000000
       0.495300       0.699485       0.000000
       0.497300       0.699476       0.000000
       0.499300       0.700632       0.000000
       0.501300       0.701061       0.000000
       0.503300       0.700608       0.000000
       0.505300       0.701773       0.000000
       0.507300       0.702697       0.000000
       0.509300       0.704172       0.000000
       0.511300       0.704563       0.000000
       0.513300       0.707352       0.000000
       0.515300       0.707680       0.000000
       0.517300       0.710416       0.000000
       0.519300       0.711680       0.000000
       0.521300       0.712437       0.000000
       0.523300       0.714583       0.000000
       0.525300       0.714945       0.000000
       0.527300       0.715868       0.000000
       0.529300       0.718658       0.000000
       0.531300       0.719834       0.000000
       0.533300       0.721081       0.000000
       0.535300       0.722822       0.000000
       0.537300       0.724463       0.000000
       0.539300       0.724602       0.000000
       0.541300       0.726972       0.000000
       0.543300       0.727932       0.000000
       0.545300       0.729898       0.000000
       0.547300       0.730829       0.000000
       0.549300       0.732379       0.000000
       0.551300       0.733986       0.000000
       0.553300       0.735416       0.000000
       0.555300       0.736447       0.000000
       0.557300       0.738564       0.000000
       0.559300       0.738223       0.000000
       0.561300       0.741158       0.000000
       0.563300       0.741956       0.000000
       0.565300       0.743022       0.000000
       0.567300       0.745129       0.000000
       0.569300       0.746444       0.000000
       0.571300       0.747128       0.000000
       0.573300       0.749046       0.000000
       0.575300       0.749357       0.000000
       0.577300       0.750875       0.000000
       0.579300       0.752293       0.000000
       0.581300       0.753295       0.000000
       0.583300       0.754766       0.000000
       0.585300       0.755565       0.000000
       0.587300       0.757524       0.000000
       0.589300       0.757678       0.000000
       0.591300       0.761333       0.000000
       0.593300       0.761900       0.000000
       0.595300       0.762392       0.000000
       0.597300       0.763545       0.000000
       0.599300       0.765848       0.000000
       0.601100       0.766014       0.000000
       0.602700       0.768554       0.000000
       0.604300       0.769060       0.000000
       0.605900       0.769767       0.000000
       0.607500       0.772036       0.000000
       0.609100       0.772552       0.000000
       0.610700       0.773890       0.000000
       0.612300       0.774934       0.000000
       0.613900       0.775739       0.000000
       0.615500       0.776106       0.000000
       0.617100       0.777409       0.000000
       0.618700       0.778677       0.000000
       0.620300       0.780215       0.000000
       0.621900       0.781019       0.000000
       0.623500       0.783006       0.000000
       0.625100       0.783849       0.000000
       0.626700       0.783655       0.000000
       0.628300       0.785944       0.000000
       0.629900       0.786243       0.000000
       0.631700       0.787883       0.000000
       0.633700       0.787378       0.000000
       0.635700       0.790171       0.000000
       0.637700       0.790743       0.000000
       0.639700       0.792495       0.000000
       0.641700       0.793360       0.000000
       0.643700       0.793516       0.000000
       0.645700       0.796117       0.000000
       0.647700       0.796762       0.000000
       0.649700       0.798076       0.000000
       0.651700       0.798980       0.000000
       0.653700       0.800512       0.000000
       0.655700       0.800384       0.000000
       0.657700       0.802891       0.000000
       0.659700       0.803840       0.000000
       0.661700       0.804905       0.000000
       0.663700       0.806608       0.000000
       0.665700       0.807811       0.000000
       0.667700       0.808749       0.000000
       0.670200       0.809980       0.000000
       0.673200       0.812041       0.000000
       0.676200       0.813454       0.000000
       0.679200       0.814943       0.000000
       0.682200       0.817275       0.000000
       0.685200       0.818318       0.000000
       0.688200       0.819841       0.000000
       0.691200       0.822049       0.000000
       0.694200       0.822214       0.000000
       0.697200       0.824867       0.000000
       0.700200       0.825903       0.000000
       0.702000       0.826669       0.000000
       0.704000       0.827300       0.000000
       0.706000       0.828044       0.000000
       0.708000       0.828315       0.000000
       0.710000       0.828662       0.000000
       0.712000       0.829279       0.000000
       0.714000       0.829584       0.000000
       0.716000       0.830405       0.000000
       0.718000       0.831859       0.000000
       0.720000       0.831177       0.000000
       0.722000       0.830892       0.000000
       0.724000       0.831652       0.000000
       0.726000       0.831722       0.000000
       0.728000       0.831162       0.000000
       0.730000       0.831908       0.000000
       0.732000       0.831558       0.000000
       0.734000       0.831522       0.000000
       0.736000       0.832150       0.000000
       0.738000       0.831290       0.000000
       0.740000       0.831266       0.000000
       0.742000       0.830045       0.000000
       0.744000       0.830172       0.000000
       0.746000       0.829053       0.000000
       0.748000       0.829480       0.000000
       0.750500       0.829722       0.000000
       0.753500       0.830273       0.000000
       0.756500       0.830276       0.000000
       0.759500       0.829386       0.000000
       0.762500       0.829002       0.000000
       0.765500       0.826948       0.000000
       0.768500       0.827942       0.000000
       0.771500       0.826040       0.000000
       0.774500       0.825976       0.000000
       0.777500       0.826276       0.000000
       0.781000       0.824833       0.000000
       0.785000       0.822766       0.000000
       0.789000       0.822676       0.000000
       0.793000       0.821112       0.000000
       0.797000       0.821394       0.000000
       0.801500       0.819846       0.000000
       0.806500       0.818786       0.000000
       0.811500       0.817953       0.000000
       0.816500       0.815821       0.000000
       0.822000       0.813404       0.000000
       0.828000       0.812360       0.000000
       0.835000       0.812217       0.000000
       0.843000       0.778790       0.000000
       0.851000       0.808585       0.000000
       0.859000       0.807622       0.000000
       0.871000       0.803927       0.000000
       0.883000       0.804476       0.000000
       0.894000       0.801636       0.000000
       0.904000       0.800075       0.000000
       0.914000       0.795566       0.000000
       0.924000       0.794959       0.000000
       0.933000       0.795873       0.000000
       0.941000       0.787100       0.000000
       0.949000       0.785215       0.000000
       0.957000       0.786179       0.000000
       0.964000       0.779197       0.000000
       0.970000       0.774125       0.000000
       0.976000       0.787192       0.000000
       0.982000       0.792633       0.000000
       0.988000       0.795755       0.000000
       0.994000       0.794331       0.000000
       1.000000       0.797827       0.000000
       1.006000       0.800114       0.000000
       1.012000       0.800826       0.000000
       1.018000       0.803696       0.000000
       1.023500       0.807259       0.000000
       1.028500       0.808916       0.000000
       1.033500       0.809059       0.000000
       1.038500       0.811193       0.000000
       1.043500       0.811960       0.000000
       1.048500       0.813829       0.000000
       1.053500       0.814060       0.000000
       1.058500       0.816052       0.000000
       1.063500       0.814862       0.000000
       1.068500       0.816240       0.000000
       1.073500       0.816858       0.000000
       1.078500       0.817414       0.000000
       1.083500       0.817932       0.000000
       1.088500       0.818395       0.000000
       1.093500       0.818663       0.000000
       1.098500       0.817980       0.000000
       1.103500       0.818940       0.000000
       1.108500       0.817383       0.000000
       1.113500       0.817464       0.000000
       1.118500       0.817160       0.000000
       1.123500       0.818086       0.000000
       1.128500       0.817516       0.000000
       1.133500       0.817927       0.000000
       1.138500       0.816768       0.000000
       1.143500       0.817040       0.000000
       1.148500       0.815804       0.000000
       1.153500       0.813243       0.000000
       1.158500       0.809242       0.000000
       1.163500       0.804312       0.000000
       1.168500       0.801730       0.000000
       1.173500       0.799344       0.000000
       1.178500       0.797918       0.000000
       1.183500       0.797802       0.000000
       1.188500       0.798532       0.000000
       1.193500       0.798418       0.000000
       1.198500       0.797538       0.000000
       1.203500       0.795464       0.000000
       1.208500       0.796534       0.000000
       1.213500       0.798547       0.000000
       1.218500       0.798463       0.000000
       1.223500       0.796975       0.000000
       1.228500       0.795216       0.000000
       1.233500       0.793620       0.000000
       1.238500       0.793227       0.000000
       1.243500       0.791324       0.000000
       1.248500       0.792292       0.000000
       1.253500       0.798536       0.000000
       1.258500       0.799464       0.000000
       1.263500       0.804592       0.000000
       1.268500       0.805691       0.000000
       1.273500       0.804733       0.000000
       1.278500       0.803976       0.000000
       1.283500       0.800703       0.000000
       1.288500       0.794802       0.000000
       1.293500       0.790176       0.000000
       1.298500       0.785390       0.000000
       1.303500       0.775176       0.000000
       1.308500       0.772542       0.000000
       1.313500       0.772794       0.000000
       1.318500       0.772776       0.000000
       1.323500       0.768119       0.000000
       1.328500       0.767379       0.000000
       1.333500       0.766335       0.000000
       1.338500       0.761783       0.000000
       1.343500       0.757789       0.000000
       1.348500       0.748482       0.000000
       1.353500       0.738446       0.000000
       1.358500       0.717661       0.000000
       1.363500       0.713542       0.000000
       1.368500       0.709278       0.000000
       1.373500       0.678065       0.000000
       1.378500       0.634301       0.000000
       1.383500       0.620849       0.000000
       1.388500       0.655361       0.000000
       1.393500       0.671551       0.000000
       1.398500       0.655591       0.000000
       1.403500       0.626281       0.000000
       1.408500       0.584793       0.000000
       1.413500       0.499035       0.000000
       1.418500       0.529616       0.000000
       1.423500       0.623806       0.000000
       1.428500       0.682105       0.000000
       1.433500       0.707765       0.000000
       1.438500       0.717399       0.000000
       1.443500       0.719382       0.000000
       1.448500       0.725312       0.000000
       1.453500       0.737518       0.000000
       1.458500       0.746130       0.000000
       1.463500       0.749090       0.000000
       1.468500       0.748042       0.000000
       1.473500       0.752616       0.000000
       1.478500       0.759490       0.000000
       1.483500       0.759421       0.000000
       1.488500       0.758073       0.000000
       1.493500       0.761361       0.000000
       1.498500       0.766632       0.000000
       1.503500       0.770333       0.000000
       1.508500       0.774570       0.000000
       1.513500       0.774518       0.000000
       1.518500       0.774966       0.000000
       1.523500       0.776569       0.000000
       1.528500       0.774714       0.000000
       1.534000       0.771782       0.000000
       1.540000       0.774459       0.000000
       1.546000       0.780062       0.000000
       1.552000       0.786938       0.000000
       1.558000       0.791805       0.000000
       1.564000       0.797189       0.000000
       1.570500       0.801365       0.000000
       1.577500       0.805325       0.000000
       1.584500       0.809082       0.000000
       1.591500       0.814141       0.000000
       1.598500       0.817828       0.000000
       1.605500       0.820939       0.000000
       1.612500       0.823472       0.000000
       1.619500       0.827456       0.000000
       1.626500       0.827639       0.000000
       1.633500       0.830948       0.000000
       1.640500       0.833759       0.000000
       1.647500       0.834060       0.000000
       1.654500       0.836656       0.000000
       1.661500       0.835966       0.000000
       1.668500       0.836520       0.000000
       1.676000       0.833478       0.000000
       1.684000       0.833844       0.000000
       1.692000       0.827794       0.000000
       1.700000       0.823712       0.000000
       1.708000       0.815842       0.000000
       1.716000       0.804919       0.000000
       1.724000       0.794427       0.000000
       1.732000       0.782768       0.000000
       1.740000       0.773924       0.000000
       1.748000       0.768102       0.000000
       1.756000       0.768100       0.000000
       1.764000       0.766978       0.000000
       1.772000       0.763648       0.000000
       1.780000       0.760979       0.000000
       1.788000       0.759756       0.000000
       1.796000       0.753106       0.000000
       1.805000       0.752587       0.000000
       1.815000       0.754181       0.000000
       1.825000       0.750216       0.000000
       1.835000       0.748237       0.000000
       1.845000       0.744442       0.000000
       1.855000       0.747636       0.000000
       1.865000       0.742555       0.000000
       1.875000       0.730623       0.000000
       1.885000       0.714014       0.000000
       1.895000       0.693590       0.000000
       1.905000       0.669717       0.000000
       1.915000       0.648939       0.000000
       1.925000       0.633238       0.000000
       1.935000       0.625926       0.000000
       1.945000       0.621056       0.000000
       1.955000       0.622981       0.000000
       1.965000       0.627920       0.000000
       1.975000       0.628571       0.000000
       1.985000       0.631609       0.000000
       1.995000       0.639964       0.000000
       2.005000       0.650099       0.000000
       2.015000       0.659661       0.000000
       2.025000       0.663366       0.000000
       2.035000       0.661472       0.000000
       2.045000       0.657297       0.000000
       2.055000       0.647716       0.000000
       2.065000       0.639782       0.000000
       2.075000       0.629241       0.000000
       2.085000       0.621056       0.000000
       2.095000       0.605997       0.000000
       2.105000       0.593716       0.000000
       2.115000       0.574531       0.000000
       2.125000       0.572766       0.000000
       2.135000       0.554394       0.000000
       2.145000       0.529796       0.000000
       2.155000       0.505646       0.000000
       2.165000       0.457022       0.000000
       2.175000       0.412469       0.000000
       2.185000       0.385538       0.000000
       2.195000       0.386369       0.000000
       2.205000       0.350743       0.000000
       2.215000       0.380354       0.000000
       2.225000       0.458672       0.000000
       2.235000       0.497287       0.000000
       2.245000       0.504843       0.000000
       2.255000       0.489381       0.000000
       2.265000       0.481643       0.000000
       2.275000       0.485204       0.000000
       2.285000       0.484321       0.000000
       2.295000       0.469450       0.000000
       2.305000       0.452685       0.000000
       2.315000       0.454858       0.000000
       2.325000       0.446647       0.000000
       2.335000       0.435875       0.000000
