USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Dolomite.5+Na-mont.5 AMX21   W1R1Bb AREF
copy of splib05a r 8090                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100       0.072078       0.000000
       0.229100       0.131410       0.000000
       0.236100       0.134591       0.000000
       0.242100       0.156303       0.000000
       0.248100       0.164318       0.000000
       0.253600       0.188146       0.000000
       0.258600       0.220609       0.000000
       0.263600       0.241347       0.000000
       0.268600       0.268614       0.000000
       0.273100       0.287428       0.000000
       0.277100       0.302471       0.000000
       0.281100       0.310572       0.000000
       0.285100       0.327388       0.000000
       0.289100       0.336583       0.000000
       0.293100       0.350054       0.000000
       0.297100       0.360343       0.000000
       0.301100       0.375580       0.000000
       0.305100       0.388782       0.000000
       0.309100       0.400722       0.000000
       0.313100       0.416466       0.000000
       0.317100       0.422950       0.000000
       0.321100       0.438251       0.000000
       0.325100       0.445742       0.000000
       0.329100       0.449693       0.000000
       0.333100       0.459215       0.000000
       0.337100       0.466348       0.000000
       0.341100       0.467840       0.000000
       0.345100       0.476381       0.000000
       0.349100       0.482119       0.000000
       0.353100       0.488948       0.000000
       0.357100       0.494456       0.000000
       0.360600       0.498162       0.000000
       0.363600       0.502608       0.000000
       0.366600       0.510867       0.000000
       0.369600       0.515070       0.000000
       0.372600       0.522003       0.000000
       0.375600       0.529479       0.000000
       0.378600       0.536559       0.000000
       0.381100       0.544225       0.000000
       0.383100       0.547155       0.000000
       0.385100       0.554015       0.000000
       0.387100       0.556755       0.000000
       0.389100       0.561250       0.000000
       0.391100       0.564284       0.000000
       0.393100       0.568024       0.000000
       0.395100       0.570963       0.000000
       0.397100       0.573929       0.000000
       0.399100       0.576269       0.000000
       0.401100       0.578683       0.000000
       0.403100       0.582973       0.000000
       0.405100       0.584680       0.000000
       0.407100       0.587775       0.000000
       0.409100       0.590097       0.000000
       0.411100       0.593268       0.000000
       0.412800       0.595355       0.000000
       0.415800       0.600500       0.000000
       0.418800       0.604387       0.000000
       0.421800       0.608304       0.000000
       0.424800       0.612625       0.000000
       0.427800       0.614386       0.000000
       0.430800       0.619554       0.000000
       0.433800       0.621346       0.000000
       0.436800       0.624933       0.000000
       0.439800       0.627962       0.000000
       0.442800       0.633226       0.000000
       0.445800       0.636054       0.000000
       0.448800       0.639266       0.000000
       0.451300       0.641174       0.000000
       0.453300       0.643811       0.000000
       0.455300       0.644397       0.000000
       0.457300       0.645782       0.000000
       0.459300       0.648490       0.000000
       0.461300       0.649930       0.000000
       0.463300       0.649781       0.000000
       0.465300       0.648738       0.000000
       0.467300       0.652711       0.000000
       0.469300       0.654693       0.000000
       0.471300       0.655144       0.000000
       0.473300       0.655898       0.000000
       0.475300       0.657071       0.000000
       0.477300       0.658040       0.000000
       0.479300       0.659097       0.000000
       0.481300       0.659009       0.000000
       0.483300       0.660212       0.000000
       0.485300       0.659820       0.000000
       0.487300       0.660406       0.000000
       0.489300       0.662857       0.000000
       0.491300       0.662060       0.000000
       0.493300       0.664437       0.000000
       0.495300       0.665937       0.000000
       0.497300       0.667262       0.000000
       0.499300       0.667373       0.000000
       0.501300       0.670242       0.000000
       0.503300       0.669390       0.000000
       0.505300       0.669818       0.000000
       0.507300       0.672217       0.000000
       0.509300       0.673397       0.000000
       0.511300       0.674492       0.000000
       0.513300       0.677225       0.000000
       0.515300       0.677895       0.000000
       0.517300       0.679044       0.000000
       0.519300       0.681035       0.000000
       0.521300       0.683006       0.000000
       0.523300       0.683828       0.000000
       0.525300       0.684462       0.000000
       0.527300       0.687379       0.000000
       0.529300       0.688749       0.000000
       0.531300       0.689861       0.000000
       0.533300       0.690786       0.000000
       0.535300       0.692131       0.000000
       0.537300       0.691158       0.000000
       0.539300       0.693992       0.000000
       0.541300       0.693770       0.000000
       0.543300       0.696969       0.000000
       0.545300       0.695560       0.000000
       0.547300       0.696563       0.000000
       0.549300       0.697672       0.000000
       0.551300       0.699790       0.000000
       0.553300       0.697869       0.000000
       0.555300       0.698039       0.000000
       0.557300       0.701534       0.000000
       0.559300       0.700374       0.000000
       0.561300       0.701493       0.000000
       0.563300       0.700860       0.000000
       0.565300       0.701313       0.000000
       0.567300       0.701350       0.000000
       0.569300       0.701868       0.000000
       0.571300       0.701370       0.000000
       0.573300       0.701911       0.000000
       0.575300       0.703670       0.000000
       0.577300       0.702865       0.000000
       0.579300       0.703042       0.000000
       0.581300       0.702522       0.000000
       0.583300       0.702753       0.000000
       0.585300       0.702321       0.000000
       0.587300       0.703718       0.000000
       0.589300       0.703094       0.000000
       0.591300       0.704826       0.000000
       0.593300       0.704252       0.000000
       0.595300       0.702527       0.000000
       0.597300       0.703555       0.000000
       0.599300       0.703590       0.000000
       0.601100       0.704414       0.000000
       0.602700       0.702713       0.000000
       0.604300       0.704040       0.000000
       0.605900       0.702965       0.000000
       0.607500       0.704737       0.000000
       0.609100       0.702007       0.000000
       0.610700       0.703492       0.000000
       0.612300       0.703732       0.000000
       0.613900       0.702746       0.000000
       0.615500       0.703562       0.000000
       0.617100       0.704208       0.000000
       0.618700       0.703985       0.000000
       0.620300       0.703169       0.000000
       0.621900       0.704116       0.000000
       0.623500       0.704844       0.000000
       0.625100       0.703339       0.000000
       0.626700       0.703643       0.000000
       0.628300       0.704196       0.000000
       0.629900       0.704386       0.000000
       0.631700       0.704637       0.000000
       0.633700       0.705364       0.000000
       0.635700       0.704740       0.000000
       0.637700       0.704674       0.000000
       0.639700       0.705416       0.000000
       0.641700       0.705051       0.000000
       0.643700       0.704668       0.000000
       0.645700       0.706118       0.000000
       0.647700       0.705046       0.000000
       0.649700       0.707204       0.000000
       0.651700       0.706669       0.000000
       0.653700       0.706281       0.000000
       0.655700       0.706810       0.000000
       0.657700       0.707841       0.000000
       0.659700       0.707745       0.000000
       0.661700       0.708449       0.000000
       0.663700       0.708247       0.000000
       0.665700       0.710849       0.000000
       0.667700       0.709803       0.000000
       0.670200       0.711154       0.000000
       0.673200       0.710253       0.000000
       0.676200       0.713615       0.000000
       0.679200       0.711118       0.000000
       0.682200       0.713980       0.000000
       0.685200       0.712973       0.000000
       0.688200       0.711629       0.000000
       0.691200       0.715012       0.000000
       0.694200       0.716348       0.000000
       0.697200       0.716435       0.000000
       0.700200       0.716384       0.000000
       0.702000       0.718556       0.000000
       0.704000       0.716695       0.000000
       0.706000       0.717903       0.000000
       0.708000       0.720656       0.000000
       0.710000       0.718606       0.000000
       0.712000       0.720521       0.000000
       0.714000       0.719867       0.000000
       0.716000       0.720569       0.000000
       0.718000       0.720830       0.000000
       0.720000       0.719568       0.000000
       0.722000       0.719750       0.000000
       0.724000       0.724120       0.000000
       0.726000       0.722529       0.000000
       0.728000       0.720432       0.000000
       0.730000       0.721910       0.000000
       0.732000       0.720531       0.000000
       0.734000       0.724207       0.000000
       0.736000       0.720645       0.000000
       0.738000       0.720656       0.000000
       0.740000       0.720180       0.000000
       0.742000       0.722124       0.000000
       0.744000       0.722323       0.000000
       0.746000       0.722538       0.000000
       0.748000       0.725245       0.000000
       0.750500       0.724307       0.000000
       0.753500       0.725582       0.000000
       0.756500       0.722813       0.000000
       0.759500       0.723773       0.000000
       0.762500       0.724564       0.000000
       0.765500       0.725092       0.000000
       0.768500       0.723267       0.000000
       0.771500       0.723934       0.000000
       0.774500       0.722764       0.000000
       0.777500       0.725161       0.000000
       0.781000       0.725928       0.000000
       0.785000       0.725372       0.000000
       0.789000       0.725559       0.000000
       0.793000       0.725853       0.000000
       0.797000       0.723076       0.000000
       0.801500       0.725870       0.000000
       0.806500       0.725609       0.000000
       0.811500       0.726763       0.000000
       0.816500       0.725180       0.000000
       0.822000       0.725563       0.000000
       0.828000       0.725993       0.000000
       0.835000       0.723849       0.000000
       0.843000       0.725652       0.000000
       0.851000       0.721639       0.000000
       0.859000       0.720514       0.000000
       0.871000       0.722116       0.000000
       0.883000       0.719375       0.000000
       0.894000       0.715598       0.000000
       0.904000       0.716272       0.000000
       0.914000       0.715835       0.000000
       0.924000       0.714895       0.000000
       0.933000       0.714368       0.000000
       0.941000       0.707260       0.000000
       0.949000       0.708005       0.000000
       0.957000       0.706971       0.000000
       0.964000       0.706504       0.000000
       0.970000       0.705212       0.000000
       0.976000       0.706109       0.000000
       0.982000       0.707035       0.000000
       0.988000       0.706159       0.000000
       0.994000       0.706347       0.000000
       1.000000       0.708624       0.000000
       1.006000       0.707074       0.000000
       1.012000       0.706085       0.000000
       1.018000       0.706777       0.000000
       1.023500       0.708084       0.000000
       1.028500       0.707907       0.000000
       1.033500       0.705906       0.000000
       1.038500       0.706712       0.000000
       1.043500       0.707107       0.000000
       1.048500       0.706769       0.000000
       1.053500       0.706588       0.000000
       1.058500       0.706553       0.000000
       1.063500       0.707778       0.000000
       1.068500       0.707083       0.000000
       1.073500       0.709412       0.000000
       1.078500       0.707555       0.000000
       1.083500       0.708232       0.000000
       1.088500       0.710282       0.000000
       1.093500       0.708541       0.000000
       1.098500       0.705951       0.000000
       1.103500       0.708695       0.000000
       1.108500       0.709941       0.000000
       1.113500       0.708169       0.000000
       1.118500       0.708895       0.000000
       1.123500       0.709471       0.000000
       1.128500       0.707046       0.000000
       1.133500       0.709687       0.000000
       1.138500       0.708664       0.000000
       1.143500       0.709053       0.000000
       1.148500       0.708156       0.000000
       1.153500       0.707108       0.000000
       1.158500       0.707914       0.000000
       1.163500       0.707492       0.000000
       1.168500       0.707914       0.000000
       1.173500       0.709569       0.000000
       1.178500       0.709261       0.000000
       1.183500       0.708131       0.000000
       1.188500       0.708331       0.000000
       1.193500       0.709308       0.000000
       1.198500       0.710115       0.000000
       1.203500       0.708892       0.000000
       1.208500       0.710488       0.000000
       1.213500       0.710273       0.000000
       1.218500       0.711123       0.000000
       1.223500       0.708936       0.000000
       1.228500       0.709114       0.000000
       1.233500       0.711522       0.000000
       1.238500       0.710874       0.000000
       1.243500       0.712451       0.000000
       1.248500       0.710819       0.000000
       1.253500       0.711275       0.000000
       1.258500       0.710933       0.000000
       1.263500       0.711955       0.000000
       1.268500       0.711899       0.000000
       1.273500       0.713496       0.000000
       1.278500       0.713775       0.000000
       1.283500       0.711789       0.000000
       1.288500       0.711290       0.000000
       1.293500       0.713035       0.000000
       1.298500       0.711091       0.000000
       1.303500       0.712181       0.000000
       1.308500       0.712131       0.000000
       1.313500       0.710943       0.000000
       1.318500       0.709848       0.000000
       1.323500       0.711106       0.000000
       1.328500       0.709805       0.000000
       1.333500       0.708787       0.000000
       1.338500       0.709532       0.000000
       1.343500       0.710349       0.000000
       1.348500       0.709774       0.000000
       1.353500       0.709391       0.000000
       1.358500       0.708917       0.000000
       1.363500       0.705875       0.000000
       1.368500       0.705615       0.000000
       1.373500       0.702463       0.000000
       1.378500       0.696502       0.000000
       1.383500       0.689723       0.000000
       1.388500       0.680820       0.000000
       1.393500       0.668179       0.000000
       1.398500       0.656741       0.000000
       1.403500       0.644336       0.000000
       1.408500       0.635764       0.000000
       1.413500       0.635546       0.000000
       1.418500       0.642924       0.000000
       1.423500       0.654595       0.000000
       1.428500       0.664892       0.000000
       1.433500       0.677434       0.000000
       1.438500       0.681659       0.000000
       1.443500       0.685140       0.000000
       1.448500       0.688811       0.000000
       1.453500       0.688314       0.000000
       1.458500       0.687440       0.000000
       1.463500       0.690661       0.000000
       1.468500       0.694082       0.000000
       1.473500       0.695903       0.000000
       1.478500       0.701666       0.000000
       1.483500       0.702345       0.000000
       1.488500       0.704412       0.000000
       1.493500       0.706658       0.000000
       1.498500       0.709012       0.000000
       1.503500       0.708337       0.000000
       1.508500       0.709220       0.000000
       1.513500       0.710567       0.000000
       1.518500       0.712893       0.000000
       1.523500       0.714929       0.000000
       1.528500       0.713023       0.000000
       1.534000       0.716975       0.000000
       1.540000       0.717311       0.000000
       1.546000       0.717401       0.000000
       1.552000       0.719234       0.000000
       1.558000       0.720290       0.000000
       1.564000       0.721164       0.000000
       1.570500       0.720360       0.000000
       1.577500       0.722537       0.000000
       1.584500       0.722810       0.000000
       1.591500       0.721124       0.000000
       1.598500       0.724196       0.000000
       1.605500       0.722932       0.000000
       1.612500       0.725317       0.000000
       1.619500       0.724836       0.000000
       1.626500       0.723784       0.000000
       1.633500       0.724472       0.000000
       1.640500       0.724937       0.000000
       1.647500       0.725462       0.000000
       1.654500       0.727009       0.000000
       1.661500       0.727863       0.000000
       1.668500       0.723274       0.000000
       1.676000       0.725787       0.000000
       1.684000       0.725071       0.000000
       1.692000       0.725914       0.000000
       1.700000       0.724145       0.000000
       1.708000       0.721966       0.000000
       1.716000       0.720588       0.000000
       1.724000       0.720800       0.000000
       1.732000       0.721008       0.000000
       1.740000       0.722304       0.000000
       1.748000       0.721877       0.000000
       1.756000       0.720328       0.000000
       1.764000       0.719333       0.000000
       1.772000       0.720402       0.000000
       1.780000       0.714774       0.000000
       1.788000       0.718091       0.000000
       1.796000       0.715247       0.000000
       1.805000       0.715573       0.000000
       1.815000       0.711046       0.000000
       1.825000       0.707260       0.000000
       1.835000       0.705050       0.000000
       1.845000       0.700338       0.000000
       1.855000       0.692173       0.000000
       1.865000       0.685302       0.000000
       1.875000       0.673681       0.000000
       1.885000       0.642264       0.000000
       1.895000       0.585516       0.000000
       1.905000       0.554628       0.000000
       1.915000       0.568094       0.000000
       1.925000       0.595632       0.000000
       1.935000       0.609658       0.000000
       1.945000       0.615565       0.000000
       1.955000       0.617430       0.000000
       1.965000       0.623000       0.000000
       1.975000       0.625693       0.000000
       1.985000       0.630590       0.000000
       1.995000       0.646391       0.000000
       2.005000       0.653580       0.000000
       2.015000       0.667026       0.000000
       2.025000       0.674122       0.000000
       2.035000       0.673575       0.000000
       2.045000       0.676534       0.000000
       2.055000       0.680146       0.000000
       2.065000       0.680230       0.000000
       2.075000       0.680171       0.000000
       2.085000       0.675992       0.000000
       2.095000       0.678481       0.000000
       2.105000       0.676566       0.000000
       2.115000       0.678091       0.000000
       2.125000       0.678011       0.000000
       2.135000       0.672673       0.000000
       2.145000       0.665859       0.000000
       2.155000       0.661924       0.000000
       2.165000       0.652599       0.000000
       2.175000       0.635306       0.000000
       2.185000       0.616722       0.000000
       2.195000       0.596071       0.000000
       2.205000       0.570316       0.000000
       2.215000       0.574360       0.000000
       2.225000       0.583454       0.000000
       2.235000       0.587161       0.000000
       2.245000       0.581259       0.000000
       2.255000       0.573461       0.000000
       2.265000       0.567158       0.000000
       2.275000       0.558645       0.000000
       2.285000       0.552855       0.000000
       2.295000       0.538032       0.000000
       2.305000       0.521493       0.000000
       2.315000       0.506542       0.000000
       2.325000       0.502640       0.000000
       2.335000       0.516046       0.000000
