USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaol+Musc_intimate CU93-5C   W1R1Ba AREF
copy of splib05a r 8415                                     
       0.205100      -1.23e34       -1.23e34 
       0.213100      -1.23e34       -1.23e34 
       0.221100      -1.23e34       -1.23e34 
       0.229100      -1.23e34       -1.23e34 
       0.236100      -1.23e34       -1.23e34 
       0.242100      -1.23e34       -1.23e34 
       0.248100      -1.23e34       -1.23e34 
       0.253600      -1.23e34       -1.23e34 
       0.258600      -1.23e34       -1.23e34 
       0.263600      -1.23e34       -1.23e34 
       0.268600      -1.23e34       -1.23e34 
       0.273100      -1.23e34       -1.23e34 
       0.277100      -1.23e34       -1.23e34 
       0.281100      -1.23e34       -1.23e34 
       0.285100      -1.23e34       -1.23e34 
       0.289100      -1.23e34       -1.23e34 
       0.293100      -1.23e34       -1.23e34 
       0.297100      -1.23e34       -1.23e34 
       0.301100       0.065027       0.000000
       0.305100       0.067732       0.000000
       0.309100       0.071638       0.000000
       0.313100       0.075023       0.000000
       0.317100       0.078037       0.000000
       0.321100       0.081836       0.000000
       0.325100       0.084449       0.000000
       0.329100       0.087372       0.000000
       0.333100       0.089866       0.000000
       0.337100       0.092411       0.000000
       0.341100       0.094920       0.000000
       0.345100       0.096879       0.000000
       0.349100       0.098740       0.000000
       0.353100       0.101363       0.000000
       0.357100       0.103321       0.000000
       0.360600       0.104891       0.000000
       0.363600       0.106217       0.000000
       0.366600       0.106971       0.000000
       0.369600       0.109705       0.000000
       0.372600       0.111799       0.000000
       0.375600       0.114546       0.000000
       0.378600       0.117874       0.000000
       0.381100       0.121215       0.000000
       0.383100       0.123443       0.000000
       0.385100       0.125577       0.000000
       0.387100       0.128777       0.000000
       0.389100       0.130769       0.000000
       0.391100       0.134303       0.000000
       0.393100       0.137051       0.000000
       0.395100       0.139605       0.000000
       0.397100       0.142162       0.000000
       0.399100       0.144360       0.000000
       0.401100       0.147264       0.000000
       0.403100       0.149492       0.000000
       0.405100       0.152017       0.000000
       0.407100       0.154585       0.000000
       0.409100       0.156842       0.000000
       0.411100       0.159363       0.000000
       0.412800       0.161022       0.000000
       0.415800       0.164675       0.000000
       0.418800       0.168149       0.000000
       0.421800       0.172597       0.000000
       0.424800       0.177029       0.000000
       0.427800       0.182295       0.000000
       0.430800       0.187279       0.000000
       0.433800       0.193025       0.000000
       0.436800       0.198724       0.000000
       0.439800       0.204837       0.000000
       0.442800       0.209915       0.000000
       0.445800       0.214734       0.000000
       0.448800       0.219381       0.000000
       0.451300       0.222410       0.000000
       0.453300       0.224743       0.000000
       0.455300       0.227668       0.000000
       0.457300       0.228979       0.000000
       0.459300       0.229838       0.000000
       0.461300       0.232067       0.000000
       0.463300       0.233387       0.000000
       0.465300       0.235142       0.000000
       0.467300       0.236160       0.000000
       0.469300       0.237366       0.000000
       0.471300       0.238643       0.000000
       0.473300       0.240725       0.000000
       0.475300       0.241361       0.000000
       0.477300       0.243256       0.000000
       0.479300       0.245354       0.000000
       0.481300       0.246836       0.000000
       0.483300       0.249189       0.000000
       0.485300       0.251530       0.000000
       0.487300       0.253901       0.000000
       0.489300       0.256074       0.000000
       0.491300       0.259444       0.000000
       0.493300       0.262306       0.000000
       0.495300       0.264919       0.000000
       0.497300       0.268372       0.000000
       0.499300       0.272186       0.000000
       0.501300       0.275000       0.000000
       0.503300       0.278785       0.000000
       0.505300       0.282050       0.000000
       0.507300       0.285198       0.000000
       0.509300       0.289334       0.000000
       0.511300       0.292646       0.000000
       0.513300       0.296013       0.000000
       0.515300       0.299833       0.000000
       0.517300       0.304041       0.000000
       0.519300       0.307451       0.000000
       0.521300       0.311317       0.000000
       0.523300       0.315166       0.000000
       0.525300       0.319191       0.000000
       0.527300       0.322409       0.000000
       0.529300       0.326545       0.000000
       0.531300       0.331222       0.000000
       0.533300       0.335289       0.000000
       0.535300       0.338230       0.000000
       0.537300       0.342347       0.000000
       0.539300       0.346312       0.000000
       0.541300       0.350170       0.000000
       0.543300       0.354300       0.000000
       0.545300       0.357933       0.000000
       0.547300       0.360697       0.000000
       0.549300       0.365191       0.000000
       0.551300       0.368204       0.000000
       0.553300       0.372461       0.000000
       0.555300       0.375719       0.000000
       0.557300       0.378953       0.000000
       0.559300       0.382988       0.000000
       0.561300       0.385376       0.000000
       0.563300       0.388750       0.000000
       0.565300       0.392404       0.000000
       0.567300       0.395445       0.000000
       0.569300       0.397566       0.000000
       0.571300       0.401071       0.000000
       0.573300       0.404396       0.000000
       0.575300       0.406486       0.000000
       0.577300       0.407659       0.000000
       0.579300       0.410132       0.000000
       0.581300       0.412158       0.000000
       0.583300       0.413368       0.000000
       0.585300       0.415285       0.000000
       0.587300       0.416484       0.000000
       0.589300       0.418263       0.000000
       0.591300       0.419273       0.000000
       0.593300       0.420747       0.000000
       0.595300       0.421492       0.000000
       0.597300       0.422954       0.000000
       0.599300       0.423747       0.000000
       0.601100       0.424626       0.000000
       0.602700       0.425668       0.000000
       0.604300       0.426305       0.000000
       0.605900       0.427539       0.000000
       0.607500       0.428118       0.000000
       0.609100       0.428342       0.000000
       0.610700       0.428668       0.000000
       0.612300       0.429277       0.000000
       0.613900       0.430568       0.000000
       0.615500       0.430690       0.000000
       0.617100       0.431564       0.000000
       0.618700       0.432607       0.000000
       0.620300       0.432788       0.000000
       0.621900       0.433466       0.000000
       0.623500       0.434098       0.000000
       0.625100       0.434996       0.000000
       0.626700       0.435439       0.000000
       0.628300       0.435568       0.000000
       0.629900       0.436154       0.000000
       0.631700       0.436943       0.000000
       0.633700       0.438268       0.000000
       0.635700       0.438193       0.000000
       0.637700       0.439834       0.000000
       0.639700       0.440213       0.000000
       0.641700       0.440616       0.000000
       0.643700       0.441618       0.000000
       0.645700       0.442630       0.000000
       0.647700       0.442645       0.000000
       0.649700       0.443821       0.000000
       0.651700       0.444377       0.000000
       0.653700       0.445378       0.000000
       0.655700       0.446773       0.000000
       0.657700       0.447063       0.000000
       0.659700       0.447468       0.000000
       0.661700       0.448555       0.000000
       0.663700       0.449568       0.000000
       0.665700       0.449755       0.000000
       0.667700       0.450801       0.000000
       0.670200       0.452492       0.000000
       0.673200       0.452767       0.000000
       0.676200       0.455158       0.000000
       0.679200       0.455319       0.000000
       0.682200       0.456945       0.000000
       0.685200       0.457854       0.000000
       0.688200       0.460156       0.000000
       0.691200       0.461494       0.000000
       0.694200       0.463252       0.000000
       0.697200       0.464302       0.000000
       0.700200       0.466678       0.000000
       0.702000       0.467151       0.000000
       0.704000       0.468791       0.000000
       0.706000       0.469512       0.000000
       0.708000       0.470378       0.000000
       0.710000       0.471062       0.000000
       0.712000       0.471976       0.000000
       0.714000       0.473657       0.000000
       0.716000       0.474108       0.000000
       0.718000       0.475003       0.000000
       0.720000       0.476128       0.000000
       0.722000       0.477025       0.000000
       0.724000       0.477700       0.000000
       0.726000       0.478478       0.000000
       0.728000       0.479844       0.000000
       0.730000       0.480649       0.000000
       0.732000       0.481791       0.000000
       0.734000       0.482328       0.000000
       0.736000       0.482629       0.000000
       0.738000       0.483763       0.000000
       0.740000       0.483937       0.000000
       0.742000       0.485310       0.000000
       0.744000       0.485222       0.000000
       0.746000       0.487092       0.000000
       0.748000       0.486427       0.000000
       0.750500       0.487548       0.000000
       0.753500       0.488911       0.000000
       0.756500       0.489940       0.000000
       0.759500       0.490950       0.000000
       0.762500       0.491775       0.000000
       0.765500       0.492456       0.000000
       0.768500       0.493283       0.000000
       0.771500       0.494199       0.000000
       0.774500       0.494888       0.000000
       0.777500       0.495140       0.000000
       0.781000       0.495909       0.000000
       0.785000       0.497092       0.000000
       0.789000       0.498098       0.000000
       0.793000       0.498751       0.000000
       0.797000       0.498924       0.000000
       0.801500       0.499411       0.000000
       0.806500       0.499577       0.000000
       0.811500       0.500042       0.000000
       0.816500       0.500803       0.000000
       0.822000       0.500421       0.000000
       0.828000       0.500343       0.000000
       0.835000       0.498598       0.000000
       0.843000       0.498767       0.000000
       0.851000       0.495811       0.000000
       0.859000       0.496101       0.000000
       0.871000       0.496502       0.000000
       0.883000       0.494439       0.000000
       0.894000       0.493528       0.000000
       0.904000       0.494237       0.000000
       0.914000       0.493795       0.000000
       0.924000       0.494733       0.000000
       0.933000       0.496346       0.000000
       0.941000       0.496113       0.000000
       0.949000       0.495511       0.000000
       0.957000       0.495780       0.000000
       0.964000       0.496101       0.000000
       0.970000       0.496445       0.000000
       0.976000       0.499036       0.000000
       0.982000       0.499844       0.000000
       0.988000       0.499899       0.000000
       0.994000       0.501138       0.000000
       1.000000       0.500982       0.000000
       1.006000       0.501944       0.000000
       1.012000       0.501362       0.000000
       1.018000       0.502370       0.000000
       1.023500       0.502793       0.000000
       1.028500       0.503263       0.000000
       1.033500       0.503897       0.000000
       1.038500       0.504135       0.000000
       1.043500       0.503866       0.000000
       1.048500       0.504359       0.000000
       1.053500       0.505065       0.000000
       1.058500       0.505436       0.000000
       1.063500       0.506251       0.000000
       1.068500       0.505929       0.000000
       1.073500       0.506046       0.000000
       1.078500       0.506847       0.000000
       1.083500       0.506593       0.000000
       1.088500       0.507819       0.000000
       1.093500       0.507793       0.000000
       1.098500       0.508674       0.000000
       1.103500       0.507965       0.000000
       1.108500       0.509321       0.000000
       1.113500       0.508854       0.000000
       1.118500       0.509509       0.000000
       1.123500       0.510545       0.000000
       1.128500       0.510760       0.000000
       1.133500       0.511148       0.000000
       1.138500       0.510547       0.000000
       1.143500       0.510445       0.000000
       1.148500       0.510771       0.000000
       1.153500       0.512758       0.000000
       1.158500       0.511359       0.000000
       1.163500       0.513144       0.000000
       1.168500       0.513090       0.000000
       1.173500       0.513029       0.000000
       1.178500       0.514407       0.000000
       1.183500       0.515193       0.000000
       1.188500       0.516960       0.000000
       1.193500       0.516522       0.000000
       1.198500       0.516215       0.000000
       1.203500       0.516135       0.000000
       1.208500       0.515542       0.000000
       1.213500       0.517150       0.000000
       1.218500       0.517596       0.000000
       1.223500       0.516670       0.000000
       1.228500       0.518348       0.000000
       1.233500       0.517124       0.000000
       1.238500       0.518576       0.000000
       1.243500       0.518691       0.000000
       1.248500       0.519105       0.000000
       1.253500       0.519364       0.000000
       1.258500       0.519558       0.000000
       1.263500       0.519725       0.000000
       1.268500       0.520195       0.000000
       1.273500       0.519321       0.000000
       1.278500       0.520081       0.000000
       1.283500       0.520298       0.000000
       1.288500       0.518495       0.000000
       1.293500       0.519560       0.000000
       1.298500       0.518368       0.000000
       1.303500       0.519076       0.000000
       1.308500       0.516786       0.000000
       1.313500       0.517953       0.000000
       1.318500       0.516818       0.000000
       1.323500       0.516569       0.000000
       1.328500       0.516045       0.000000
       1.333500       0.515068       0.000000
       1.338500       0.515294       0.000000
       1.343500       0.515781       0.000000
       1.348500       0.514507       0.000000
       1.353500       0.511284       0.000000
       1.358500       0.509978       0.000000
       1.363500       0.510327       0.000000
       1.368500       0.506920       0.000000
       1.373500       0.502982       0.000000
       1.378500       0.494632       0.000000
       1.383500       0.481156       0.000000
       1.388500       0.467842       0.000000
       1.393500       0.458349       0.000000
       1.398500       0.448811       0.000000
       1.403500       0.438028       0.000000
       1.408500       0.421429       0.000000
       1.413500       0.403258       0.000000
       1.418500       0.419839       0.000000
       1.423500       0.444962       0.000000
       1.428500       0.459752       0.000000
       1.433500       0.469876       0.000000
       1.438500       0.476107       0.000000
       1.443500       0.480887       0.000000
       1.448500       0.482046       0.000000
       1.453500       0.485341       0.000000
       1.458500       0.484836       0.000000
       1.463500       0.484246       0.000000
       1.468500       0.485798       0.000000
       1.473500       0.487644       0.000000
       1.478500       0.490269       0.000000
       1.483500       0.492288       0.000000
       1.488500       0.496094       0.000000
       1.493500       0.497992       0.000000
       1.498500       0.496767       0.000000
       1.503500       0.500295       0.000000
       1.508500       0.501023       0.000000
       1.513500       0.502294       0.000000
       1.518500       0.504226       0.000000
       1.523500       0.503865       0.000000
       1.528500       0.505276       0.000000
       1.534000       0.506233       0.000000
       1.540000       0.506824       0.000000
       1.546000       0.507428       0.000000
       1.552000       0.508439       0.000000
       1.558000       0.509326       0.000000
       1.564000       0.509794       0.000000
       1.570500       0.509715       0.000000
       1.577500       0.510971       0.000000
       1.584500       0.511510       0.000000
       1.591500       0.510366       0.000000
       1.598500       0.512380       0.000000
       1.605500       0.512247       0.000000
       1.612500       0.513000       0.000000
       1.619500       0.513059       0.000000
       1.626500       0.512788       0.000000
       1.633500       0.512241       0.000000
       1.640500       0.512975       0.000000
       1.647500       0.513262       0.000000
       1.654500       0.513280       0.000000
       1.661500       0.512801       0.000000
       1.668500       0.513103       0.000000
       1.676000       0.512683       0.000000
       1.684000       0.512560       0.000000
       1.692000       0.513457       0.000000
       1.700000       0.511768       0.000000
       1.708000       0.513679       0.000000
       1.716000       0.511010       0.000000
       1.724000       0.509403       0.000000
       1.732000       0.508777       0.000000
       1.740000       0.510090       0.000000
       1.748000       0.506537       0.000000
       1.756000       0.505812       0.000000
       1.764000       0.506701       0.000000
       1.772000       0.503247       0.000000
       1.780000       0.501607       0.000000
       1.788000       0.502711       0.000000
       1.796000       0.501648       0.000000
       1.805000       0.500446       0.000000
       1.815000       0.498658       0.000000
       1.825000       0.496073       0.000000
       1.835000       0.496614       0.000000
       1.845000       0.496360       0.000000
       1.855000       0.491954       0.000000
       1.865000       0.487018       0.000000
       1.875000       0.473203       0.000000
       1.885000       0.446330       0.000000
       1.895000       0.398810       0.000000
       1.905000       0.348635       0.000000
       1.915000       0.338314       0.000000
       1.925000       0.352068       0.000000
       1.935000       0.364475       0.000000
       1.945000       0.373179       0.000000
       1.955000       0.379594       0.000000
       1.965000       0.386615       0.000000
       1.975000       0.392519       0.000000
       1.985000       0.400292       0.000000
       1.995000       0.407723       0.000000
       2.005000       0.414859       0.000000
       2.015000       0.421352       0.000000
       2.025000       0.428231       0.000000
       2.035000       0.432261       0.000000
       2.045000       0.436598       0.000000
       2.055000       0.438486       0.000000
       2.065000       0.438553       0.000000
       2.075000       0.439490       0.000000
       2.085000       0.437630       0.000000
       2.095000       0.436067       0.000000
       2.105000       0.434670       0.000000
       2.115000       0.432332       0.000000
       2.125000       0.431040       0.000000
       2.135000       0.428443       0.000000
       2.145000       0.418626       0.000000
       2.155000       0.401921       0.000000
       2.165000       0.387210       0.000000
       2.175000       0.378828       0.000000
       2.185000       0.364303       0.000000
       2.195000       0.342188       0.000000
       2.205000       0.314563       0.000000
       2.215000       0.330122       0.000000
       2.225000       0.361274       0.000000
       2.235000       0.379726       0.000000
       2.245000       0.388700       0.000000
       2.255000       0.395269       0.000000
       2.265000       0.400875       0.000000
       2.275000       0.397690       0.000000
       2.285000       0.393586       0.000000
