USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Kaolin_Smect H89-FR-2 .5Kaol W1R1Bb AREF
copy of splib05a r 8513                                     
       0.205100      -1.23e34        0.035051
       0.213100      -1.23e34        0.006410
       0.221100       0.032069       0.001723
       0.229100       0.033192       0.000978
       0.236100       0.032305       0.000827
       0.242100       0.031270       0.000778
       0.248100       0.031743       0.000745
       0.253600       0.032180       0.000727
       0.258600       0.032640       0.000731
       0.263600       0.034444       0.000736
       0.268600       0.037265       0.000743
       0.273100       0.040247       0.000758
       0.277100       0.043392       0.000774
       0.281100       0.047084       0.000795
       0.285100       0.050828       0.000824
       0.289100       0.053358       0.000845
       0.293100       0.057283       0.000868
       0.297100       0.059811       0.001100
       0.301100       0.064141       0.000609
       0.305100       0.066690       0.000904
       0.309100       0.068647       0.000774
       0.313100       0.070661       0.000849
       0.317100       0.073926       0.000677
       0.321100       0.076033       0.000675
       0.325100       0.079219       0.000939
       0.329100       0.082346       0.000952
       0.333100       0.087457       0.000672
       0.337100       0.091782       0.000678
       0.341100       0.098046       0.000617
       0.345100       0.104522       0.000574
       0.349100       0.111858       0.000659
       0.353100       0.121005       0.000959
       0.357100       0.128939       0.000676
       0.360600       0.137771       0.000932
       0.363600       0.145052       0.000756
       0.366600       0.152685       0.000676
       0.369600       0.160127       0.000938
       0.372600       0.167903       0.000552
       0.375600       0.176025       0.000816
       0.378600       0.183278       0.000581
       0.381100       0.190892       0.000749
       0.383100       0.195701       0.000736
       0.385100       0.200862       0.000943
       0.387100       0.205844       0.000847
       0.389100       0.210609       0.000591
       0.391100       0.214935       0.000691
       0.393100       0.220133       0.000607
       0.395100       0.223470       0.000653
       0.397100       0.227421       0.000775
       0.399100       0.230792       0.000696
       0.401100       0.235295       0.000676
       0.403100       0.239123       0.000688
       0.405100       0.241458       0.000700
       0.407100       0.245298       0.000543
       0.409100       0.248802       0.000504
       0.411100       0.252644       0.000775
       0.412800       0.254917       0.000618
       0.415800       0.259397       0.000793
       0.418800       0.264831       0.000672
       0.421800       0.268973       0.000709
       0.424800       0.272818       0.000646
       0.427800       0.276950       0.000696
       0.430800       0.281756       0.000573
       0.433800       0.284910       0.000765
       0.436800       0.288248       0.000885
       0.439800       0.291745       0.000594
       0.442800       0.295124       0.000545
       0.445800       0.299624       0.000602
       0.448800       0.303504       0.000961
       0.451300       0.308121       0.000708
       0.453300       0.309213       0.000844
       0.455300       0.311751       0.000952
       0.457300       0.314086       0.000954
       0.459300       0.317258       0.000852
       0.461300       0.318344       0.000809
       0.463300       0.319920       0.000795
       0.465300       0.322441       0.000788
       0.467300       0.324389       0.000727
       0.469300       0.325605       0.000864
       0.471300       0.328277       0.000858
       0.473300       0.329961       0.000841
       0.475300       0.332679       0.000731
       0.477300       0.333840       0.000694
       0.479300       0.336004       0.000676
       0.481300       0.338585       0.000705
       0.483300       0.339441       0.000767
       0.485300       0.341435       0.000929
       0.487300       0.344199       0.000634
       0.489300       0.344156       0.000722
       0.491300       0.346538       0.000644
       0.493300       0.347456       0.000841
       0.495300       0.349025       0.000639
       0.497300       0.350290       0.000648
       0.499300       0.352980       0.000854
       0.501300       0.353989       0.000727
       0.503300       0.356644       0.000743
       0.505300       0.357679       0.000683
       0.507300       0.360154       0.000730
       0.509300       0.362898       0.000803
       0.511300       0.363850       0.000679
       0.513300       0.366363       0.000702
       0.515300       0.366482       0.000839
       0.517300       0.369299       0.000754
       0.519300       0.370417       0.000716
       0.521300       0.372466       0.000853
       0.523300       0.375248       0.000890
       0.525300       0.378335       0.000881
       0.527300       0.378599       0.000752
       0.529300       0.381260       0.000755
       0.531300       0.383651       0.000778
       0.533300       0.385994       0.000855
       0.535300       0.387894       0.000956
       0.537300       0.389747       0.000916
       0.539300       0.392480       0.000808
       0.541300       0.394306       0.000803
       0.543300       0.395569       0.000735
       0.545300       0.396985       0.000727
       0.547300       0.398381       0.000666
       0.549300       0.399608       0.000922
       0.551300       0.401474       0.000620
       0.553300       0.403012       0.000812
       0.555300       0.405731       0.000635
       0.557300       0.407008       0.000921
       0.559300       0.407967       0.000718
       0.561300       0.411732       0.000570
       0.563300       0.411466       0.000689
       0.565300       0.413823       0.000615
       0.567300       0.414091       0.000766
       0.569300       0.415425       0.000657
       0.571300       0.416492       0.000753
       0.573300       0.417286       0.000745
       0.575300       0.419935       0.000754
       0.577300       0.419629       0.000763
       0.579300       0.421025       0.000806
       0.581300       0.423447       0.000889
       0.583300       0.424856       0.000937
       0.585300       0.423596       0.000815
       0.587300       0.425128       0.000834
       0.589300       0.427227       0.000814
       0.591300       0.427096       0.000930
       0.593300       0.428193       0.000834
       0.595300       0.428147       0.000817
       0.597300       0.428654       0.000940
       0.599300       0.430167       0.000918
       0.601100       0.430707       0.000592
       0.602700       0.431010       0.000725
       0.604300       0.432987       0.000852
       0.605900       0.433358       0.000908
       0.607500       0.433306       0.000906
       0.609100       0.434863       0.000805
       0.610700       0.433274       0.000939
       0.612300       0.434033       0.000944
       0.613900       0.434407       0.000815
       0.615500       0.435363       0.000828
       0.617100       0.436540       0.000867
       0.618700       0.437026       0.000654
       0.620300       0.437012       0.000906
       0.621900       0.438644       0.000795
       0.623500       0.437973       0.000879
       0.625100       0.438778       0.000876
       0.626700       0.441418       0.000797
       0.628300       0.440351       0.000913
       0.629900       0.441245       0.000729
       0.631700       0.441958       0.000732
       0.633700       0.442083       0.000617
       0.635700       0.442853       0.000927
       0.637700       0.443805       0.000614
       0.639700       0.444721       0.000916
       0.641700       0.446276       0.000674
       0.643700       0.445719       0.000873
       0.645700       0.447408       0.000763
       0.647700       0.449824       0.000772
       0.649700       0.449676       0.000716
       0.651700       0.450020       0.000496
       0.653700       0.450595       0.000508
       0.655700       0.451347       0.000619
       0.657700       0.452603       0.000804
       0.659700       0.453719       0.000639
       0.661700       0.455949       0.000617
       0.663700       0.456129       0.000666
       0.665700       0.457049       0.000520
       0.667700       0.458825       0.000925
       0.670200       0.460153       0.000716
       0.673200       0.460891       0.000683
       0.676200       0.462213       0.000659
       0.679200       0.464257       0.000690
       0.682200       0.464628       0.000932
       0.685200       0.466495       0.000928
       0.688200       0.468284       0.000841
       0.691200       0.470273       0.000766
       0.694200       0.471946       0.000942
       0.697200       0.474844       0.000947
       0.700200       0.475450       0.000805
       0.702000       0.475509       0.000787
       0.704000       0.476025       0.000658
       0.706000       0.478127       0.000673
       0.708000       0.478156       0.000843
       0.710000       0.480274       0.000803
       0.712000       0.480013       0.000573
       0.714000       0.481366       0.000538
       0.716000       0.482441       0.000570
       0.718000       0.482834       0.000605
       0.720000       0.483758       0.000944
       0.722000       0.484616       0.000719
       0.724000       0.485119       0.000634
       0.726000       0.486474       0.000475
       0.728000       0.487118       0.000700
       0.730000       0.488872       0.000710
       0.732000       0.488244       0.000920
       0.734000       0.488746       0.000694
       0.736000       0.490293       0.000924
       0.738000       0.491653       0.000709
       0.740000       0.491155       0.000850
       0.742000       0.492576       0.000698
       0.744000       0.494158       0.000735
       0.746000       0.493681       0.000909
       0.748000       0.495097       0.000605
       0.750500       0.494612       0.000542
       0.753500       0.496328       0.000599
       0.756500       0.497182       0.000523
       0.759500       0.497914       0.000688
       0.762500       0.499647       0.000692
       0.765500       0.500216       0.000614
       0.768500       0.501382       0.000943
       0.771500       0.503020       0.000879
       0.774500       0.504530       0.000861
       0.777500       0.505350       0.000708
       0.781000       0.505966       0.000726
       0.785000       0.507992       0.000474
       0.789000       0.508687       0.000649
       0.793000       0.510317       0.000716
       0.797000       0.511396       0.000797
       0.801500       0.513301       0.000586
       0.806500       0.513519       0.000640
       0.811500       0.516523       0.000776
       0.816500       0.516357       0.000846
       0.822000       0.517922       0.000739
       0.828000       0.518549       0.000832
       0.835000       0.519108       0.000670
       0.843000       0.520289       0.000977
       0.851000       0.519206       0.001065
       0.859000       0.519165       0.001005
       0.871000       0.520177       0.001005
       0.883000       0.520536       0.000996
       0.894000       0.520095       0.001007
       0.904000       0.519720       0.001002
       0.914000       0.520305       0.000926
       0.924000       0.518988       0.000992
       0.933000       0.518903       0.000916
       0.941000       0.518843       0.000971
       0.949000       0.516317       0.001000
       0.957000       0.517724       0.000983
       0.964000       0.518144       0.000991
       0.970000       0.517272       0.000995
       0.976000       0.519331       0.000928
       0.982000       0.517663       0.000965
       0.988000       0.518826       0.000845
       0.994000       0.517427       0.000987
       1.000000       0.517763       0.000992
       1.006000       0.517081       0.000998
       1.012000       0.515885       0.000562
       1.018000       0.515736       0.000984
       1.023500       0.516763       0.000990
       1.028500       0.516751       0.001002
       1.033500       0.517090       0.000915
       1.038500       0.516035       0.000838
       1.043500       0.516839       0.000918
       1.048500       0.515298       0.000840
       1.053500       0.514828       0.000940
       1.058500       0.514980       0.000635
       1.063500       0.514626       0.000912
       1.068500       0.514489       0.000810
       1.073500       0.515625       0.000777
       1.078500       0.513986       0.000677
       1.083500       0.514789       0.000994
       1.088500       0.513455       0.000983
       1.093500       0.516619       0.000790
       1.098500       0.515093       0.000986
       1.103500       0.514075       0.000983
       1.108500       0.516346       0.000721
       1.113500       0.516273       0.000993
       1.118500       0.515931       0.000885
       1.123500       0.517116       0.000893
       1.128500       0.515609       0.000908
       1.133500       0.516217       0.000934
       1.138500       0.516177       0.000864
       1.143500       0.517247       0.000990
       1.148500       0.515959       0.000830
       1.153500       0.516788       0.000930
       1.158500       0.516881       0.000891
       1.163500       0.517206       0.001000
       1.168500       0.517213       0.000830
       1.173500       0.518174       0.000971
       1.178500       0.519191       0.000954
       1.183500       0.519670       0.000976
       1.188500       0.523077       0.000886
       1.193500       0.521691       0.000732
       1.198500       0.522111       0.000756
       1.203500       0.521437       0.000781
       1.208500       0.523499       0.000928
       1.213500       0.525007       0.000821
       1.218500       0.526419       0.000797
       1.223500       0.525174       0.000730
       1.228500       0.524901       0.000759
       1.233500       0.525384       0.000924
       1.238500       0.527617       0.000745
       1.243500       0.525310       0.000852
       1.248500       0.527491       0.000770
       1.253500       0.529645       0.000779
       1.258500       0.530596       0.000714
       1.263500       0.530229       0.000737
       1.268500       0.531546       0.000928
       1.273500       0.533165       0.000578
       1.278500       0.533330       0.000868
       1.283500       0.533575       0.000745
       1.288500       0.533855       0.000799
       1.293500       0.533505       0.000693
       1.298500       0.533067       0.000768
       1.303500       0.532588       0.000689
       1.308500       0.533916       0.000934
       1.313500       0.533758       0.000832
       1.318500       0.534376       0.000766
       1.323500       0.534159       0.000770
       1.328500       0.532658       0.000865
       1.333500       0.535245       0.000977
       1.338500       0.535201       0.000812
       1.343500       0.534276       0.000916
       1.348500       0.532743       0.001000
       1.353500       0.531126       0.000753
       1.358500       0.530437       0.000913
       1.363500       0.529806       0.000979
       1.368500       0.528674       0.000998
       1.373500       0.521789       0.000991
       1.378500       0.510984       0.000977
       1.383500       0.493856       0.000781
       1.388500       0.485715       0.000997
       1.393500       0.481720       0.000991
       1.398500       0.477888       0.000980
       1.403500       0.471318       0.000962
       1.408500       0.457886       0.001001
       1.413500       0.445559       0.000970
       1.418500       0.468058       0.000997
       1.423500       0.490582       0.000899
       1.428500       0.501912       0.000994
       1.433500       0.511720       0.000975
       1.438500       0.517224       0.000958
       1.443500       0.522033       0.000786
       1.448500       0.524575       0.000960
       1.453500       0.525989       0.000960
       1.458500       0.527300       0.000858
       1.463500       0.527999       0.000983
       1.468500       0.529879       0.000991
       1.473500       0.532169       0.000999
       1.478500       0.533198       0.000764
       1.483500       0.537872       0.001008
       1.488500       0.539969       0.001004
       1.493500       0.540446       0.000993
       1.498500       0.542570       0.001002
       1.503500       0.543730       0.001011
       1.508500       0.547748       0.000976
       1.513500       0.549740       0.001009
       1.518500       0.548807       0.000996
       1.523500       0.551945       0.001004
       1.528500       0.551169       0.001004
       1.534000       0.553472       0.000972
       1.540000       0.555918       0.000923
       1.546000       0.555200       0.000989
       1.552000       0.557152       0.000827
       1.558000       0.558831       0.000980
       1.564000       0.559503       0.000591
       1.570500       0.559231       0.000723
       1.577500       0.559248       0.000960
       1.584500       0.561075       0.000837
       1.591500       0.561419       0.000828
       1.598500       0.561889       0.000724
       1.605500       0.561187       0.000731
       1.612500       0.563365       0.000879
       1.619500       0.564152       0.000925
       1.626500       0.565556       0.000984
       1.633500       0.564332       0.000840
       1.640500       0.565401       0.000992
       1.647500       0.566990       0.000975
       1.654500       0.567256       0.000878
       1.661500       0.566954       0.001006
       1.668500       0.567744       0.000870
       1.676000       0.565356       0.000760
       1.684000       0.566168       0.001014
       1.692000       0.567828       0.000904
       1.700000       0.569540       0.001012
       1.708000       0.567422       0.001012
       1.716000       0.565724       0.001001
       1.724000       0.566243       0.000998
       1.732000       0.564168       0.001004
       1.740000       0.564840       0.001011
       1.748000       0.565887       0.001004
       1.756000       0.563994       0.001014
       1.764000       0.562032       0.000998
       1.772000       0.563347       0.000890
       1.780000       0.560926       0.000993
       1.788000       0.563205       0.000998
       1.796000       0.559717       0.001003
       1.805000       0.556418       0.000893
       1.815000       0.554797       0.000971
       1.825000       0.554519       0.000995
       1.835000       0.554500       0.000989
       1.845000       0.553993       0.000982
       1.855000       0.550874       0.000984
       1.865000       0.544609       0.000984
       1.875000       0.527094       0.000875
       1.885000       0.497769       0.000669
       1.895000       0.445933       0.000866
       1.905000       0.397918       0.000947
       1.915000       0.398182       0.000992
       1.925000       0.420862       0.000977
       1.935000       0.441414       0.000981
       1.945000       0.451332       0.000997
       1.955000       0.457539       0.000903
       1.965000       0.467518       0.000973
       1.975000       0.473814       0.000993
       1.985000       0.480819       0.000636
       1.995000       0.489260       0.000986
       2.005000       0.497653       0.000985
       2.015000       0.503797       0.000995
       2.025000       0.510079       0.000998
       2.035000       0.514167       0.000999
       2.045000       0.516564       0.000999
       2.055000       0.518656       0.000993
       2.065000       0.518330       0.000968
       2.075000       0.516391       0.000997
       2.085000       0.517475       0.000989
       2.095000       0.515611       0.000984
       2.105000       0.512708       0.000994
       2.115000       0.512540       0.000993
       2.125000       0.511496       0.000984
       2.135000       0.503889       0.000987
       2.145000       0.487644       0.000987
       2.155000       0.462218       0.000988
       2.165000       0.436499       0.000975
       2.175000       0.419881       0.000990
       2.185000       0.408923       0.000989
       2.195000       0.398488       0.000992
       2.205000       0.374167       0.000996
       2.215000       0.407759       0.000999
       2.225000       0.447674       0.001003
       2.235000       0.454200       0.001002
       2.245000       0.459480       0.001014
       2.255000       0.464643       0.001013
       2.265000       0.466763       0.001069
       2.275000       0.462311       0.001273
       2.285000       0.458007       0.001804
       2.295000       0.449739       0.002482
       2.305000       0.435360       0.002369
       2.315000       0.425966       0.001579
       2.325000       0.420175       0.001031
       2.335000       0.418980       0.000985
